CatalogID	Assembler	Strategy	Completeness	LengthBin	LengthBinStart	Genes
megahit-individual-primary	MEGAHIT	Individual	Complete	1601-1650	1601	360
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1601-1650	1601	52
megahit-individual-primary	MEGAHIT	Individual	Partial	1601-1650	1601	111
megahit-individual-primary	MEGAHIT	Individual	Complete	1651-1700	1651	330
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1651-1700	1651	27
megahit-individual-primary	MEGAHIT	Individual	Partial	1651-1700	1651	107
megahit-individual-primary	MEGAHIT	Individual	Complete	1701-1750	1701	323
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1701-1750	1701	37
megahit-individual-primary	MEGAHIT	Individual	Partial	1701-1750	1701	77
megahit-individual-primary	MEGAHIT	Individual	Complete	1751-1800	1751	261
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1751-1800	1751	33
megahit-individual-primary	MEGAHIT	Individual	Partial	1751-1800	1751	91
megahit-individual-primary	MEGAHIT	Individual	Complete	1801-1850	1801	248
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1801-1850	1801	32
megahit-individual-primary	MEGAHIT	Individual	Partial	1801-1850	1801	68
megahit-individual-primary	MEGAHIT	Individual	Complete	1851-1900	1851	236
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1851-1900	1851	23
megahit-individual-primary	MEGAHIT	Individual	Partial	1851-1900	1851	75
megahit-individual-primary	MEGAHIT	Individual	Complete	1901-1950	1901	210
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1901-1950	1901	25
megahit-individual-primary	MEGAHIT	Individual	Partial	1901-1950	1901	63
megahit-individual-primary	MEGAHIT	Individual	Complete	1951-2000	1951	165
megahit-individual-primary	MEGAHIT	Individual	Incomplete	1951-2000	1951	19
megahit-individual-primary	MEGAHIT	Individual	Partial	1951-2000	1951	43
megahit-individual-primary	MEGAHIT	Individual	Complete	2001-2050	2001	151
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2001-2050	2001	12
megahit-individual-primary	MEGAHIT	Individual	Partial	2001-2050	2001	59
megahit-individual-primary	MEGAHIT	Individual	Complete	2051-2100	2051	169
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2051-2100	2051	21
megahit-individual-primary	MEGAHIT	Individual	Partial	2051-2100	2051	43
megahit-individual-primary	MEGAHIT	Individual	Complete	2101-2150	2101	137
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2101-2150	2101	13
megahit-individual-primary	MEGAHIT	Individual	Partial	2101-2150	2101	49
megahit-individual-primary	MEGAHIT	Individual	Complete	2151-2200	2151	129
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2151-2200	2151	11
megahit-individual-primary	MEGAHIT	Individual	Partial	2151-2200	2151	41
megahit-individual-primary	MEGAHIT	Individual	Complete	2201-2250	2201	114
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2201-2250	2201	6
megahit-individual-primary	MEGAHIT	Individual	Partial	2201-2250	2201	33
megahit-individual-primary	MEGAHIT	Individual	Complete	2251-2300	2251	90
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2251-2300	2251	14
megahit-individual-primary	MEGAHIT	Individual	Partial	2251-2300	2251	33
megahit-individual-primary	MEGAHIT	Individual	Complete	2301-2350	2301	93
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2301-2350	2301	13
megahit-individual-primary	MEGAHIT	Individual	Partial	2301-2350	2301	28
megahit-individual-primary	MEGAHIT	Individual	Complete	2351-2400	2351	88
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2351-2400	2351	14
megahit-individual-primary	MEGAHIT	Individual	Partial	2351-2400	2351	22
megahit-individual-primary	MEGAHIT	Individual	Complete	2401-2450	2401	96
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2401-2450	2401	8
megahit-individual-primary	MEGAHIT	Individual	Partial	2401-2450	2401	22
megahit-individual-primary	MEGAHIT	Individual	Complete	2451-2500	2451	89
megahit-individual-primary	MEGAHIT	Individual	Incomplete	2451-2500	2451	9
megahit-individual-primary	MEGAHIT	Individual	Partial	2451-2500	2451	27
megahit-individual-primary	MEGAHIT	Individual	Complete	>2500	2501	989
megahit-individual-primary	MEGAHIT	Individual	Incomplete	>2500	2501	114
megahit-individual-primary	MEGAHIT	Individual	Partial	>2500	2501	272
megahit-co-primary	MEGAHIT	Co-assembly	Complete	51-100	51	98
megahit-co-primary	MEGAHIT	Co-assembly	Partial	51-100	51	1137
megahit-co-primary	MEGAHIT	Co-assembly	Complete	101-150	101	780
megahit-co-primary	MEGAHIT	Co-assembly	Partial	101-150	101	1826
megahit-co-primary	MEGAHIT	Co-assembly	Complete	151-200	151	1705
megahit-co-primary	MEGAHIT	Co-assembly	Partial	151-200	151	1646
megahit-co-primary	MEGAHIT	Co-assembly	Complete	201-250	201	2650
megahit-co-primary	MEGAHIT	Co-assembly	Partial	201-250	201	1593
megahit-co-primary	MEGAHIT	Co-assembly	Complete	251-300	251	2810
megahit-co-primary	MEGAHIT	Co-assembly	Partial	251-300	251	1514
megahit-co-primary	MEGAHIT	Co-assembly	Complete	301-350	301	2417
megahit-co-primary	MEGAHIT	Co-assembly	Partial	301-350	301	1259
megahit-co-primary	MEGAHIT	Co-assembly	Complete	351-400	351	2867
megahit-co-primary	MEGAHIT	Co-assembly	Partial	351-400	351	1381
megahit-co-primary	MEGAHIT	Co-assembly	Complete	401-450	401	3121
megahit-co-primary	MEGAHIT	Co-assembly	Partial	401-450	401	1262
megahit-co-primary	MEGAHIT	Co-assembly	Complete	451-500	451	2948
megahit-co-primary	MEGAHIT	Co-assembly	Partial	451-500	451	1208
megahit-co-primary	MEGAHIT	Co-assembly	Complete	501-550	501	2676
megahit-co-primary	MEGAHIT	Co-assembly	Partial	501-550	501	1136
megahit-co-primary	MEGAHIT	Co-assembly	Complete	551-600	551	2684
megahit-co-primary	MEGAHIT	Co-assembly	Partial	551-600	551	1099
megahit-co-primary	MEGAHIT	Co-assembly	Complete	601-650	601	2430
megahit-co-primary	MEGAHIT	Co-assembly	Partial	601-650	601	1009
megahit-co-primary	MEGAHIT	Co-assembly	Complete	651-700	651	2561
megahit-co-primary	MEGAHIT	Co-assembly	Partial	651-700	651	1004
megahit-co-primary	MEGAHIT	Co-assembly	Complete	701-750	701	2497
megahit-co-primary	MEGAHIT	Co-assembly	Partial	701-750	701	880
megahit-co-primary	MEGAHIT	Co-assembly	Complete	751-800	751	2382
megahit-co-primary	MEGAHIT	Co-assembly	Partial	751-800	751	773
megahit-co-primary	MEGAHIT	Co-assembly	Complete	801-850	801	2256
megahit-co-primary	MEGAHIT	Co-assembly	Partial	801-850	801	831
megahit-co-primary	MEGAHIT	Co-assembly	Complete	851-900	851	2190
megahit-co-primary	MEGAHIT	Co-assembly	Partial	851-900	851	717
megahit-co-primary	MEGAHIT	Co-assembly	Complete	901-950	901	2047
megahit-co-primary	MEGAHIT	Co-assembly	Partial	901-950	901	627
megahit-co-primary	MEGAHIT	Co-assembly	Complete	951-1000	951	2108
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	951-1000	951	17
megahit-co-primary	MEGAHIT	Co-assembly	Partial	951-1000	951	634
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1001-1050	1001	2046
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1001-1050	1001	249
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1001-1050	1001	569
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1051-1100	1051	1621
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1051-1100	1051	187
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1051-1100	1051	455
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1101-1150	1101	1521
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1101-1150	1101	186
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1101-1150	1101	419
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1151-1200	1151	1542
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1151-1200	1151	145
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1151-1200	1151	349
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1201-1250	1201	1356
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1201-1250	1201	95
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1201-1250	1201	287
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1251-1300	1251	1407
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1251-1300	1251	93
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1251-1300	1251	245
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1301-1350	1301	1248
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1301-1350	1301	92
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1301-1350	1301	226
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1351-1400	1351	1074
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1351-1400	1351	75
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1351-1400	1351	205
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1401-1450	1401	919
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1401-1450	1401	78
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1401-1450	1401	145
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1451-1500	1451	799
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1451-1500	1451	54
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1451-1500	1451	149
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1501-1550	1501	636
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1501-1550	1501	37
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1501-1550	1501	104
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1551-1600	1551	527
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1551-1600	1551	41
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1551-1600	1551	94
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1601-1650	1601	525
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1601-1650	1601	39
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1601-1650	1601	103
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1651-1700	1651	466
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1651-1700	1651	24
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1651-1700	1651	81
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1701-1750	1701	464
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1701-1750	1701	24
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1701-1750	1701	78
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1751-1800	1751	410
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1751-1800	1751	21
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1751-1800	1751	65
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1801-1850	1801	360
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1801-1850	1801	20
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1801-1850	1801	56
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1851-1900	1851	342
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1851-1900	1851	13
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1851-1900	1851	48
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1901-1950	1901	320
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1901-1950	1901	14
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1901-1950	1901	41
megahit-co-primary	MEGAHIT	Co-assembly	Complete	1951-2000	1951	257
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	1951-2000	1951	19
megahit-co-primary	MEGAHIT	Co-assembly	Partial	1951-2000	1951	42
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2001-2050	2001	240
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2001-2050	2001	15
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2001-2050	2001	34
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2051-2100	2051	243
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2051-2100	2051	10
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2051-2100	2051	33
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2101-2150	2101	226
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2101-2150	2101	10
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2101-2150	2101	26
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2151-2200	2151	205
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2151-2200	2151	10
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2151-2200	2151	26
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2201-2250	2201	169
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2201-2250	2201	11
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2201-2250	2201	33
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2251-2300	2251	145
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2251-2300	2251	5
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2251-2300	2251	20
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2301-2350	2301	147
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2301-2350	2301	5
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2301-2350	2301	18
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2351-2400	2351	154
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2351-2400	2351	8
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2351-2400	2351	23
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2401-2450	2401	143
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2401-2450	2401	1
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2401-2450	2401	14
megahit-co-primary	MEGAHIT	Co-assembly	Complete	2451-2500	2451	131
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	2451-2500	2451	8
megahit-co-primary	MEGAHIT	Co-assembly	Partial	2451-2500	2451	14
megahit-co-primary	MEGAHIT	Co-assembly	Complete	>2500	2501	1701
megahit-co-primary	MEGAHIT	Co-assembly	Incomplete	>2500	2501	55
megahit-co-primary	MEGAHIT	Co-assembly	Partial	>2500	2501	215
megahit-mix-primary	MEGAHIT	Mix	Complete	51-100	51	118
megahit-mix-primary	MEGAHIT	Mix	Partial	51-100	51	1332
megahit-mix-primary	MEGAHIT	Mix	Complete	101-150	101	884
megahit-mix-primary	MEGAHIT	Mix	Partial	101-150	101	2048
megahit-mix-primary	MEGAHIT	Mix	Complete	151-200	151	1789
megahit-mix-primary	MEGAHIT	Mix	Partial	151-200	151	1853
megahit-mix-primary	MEGAHIT	Mix	Complete	201-250	201	2744
megahit-mix-primary	MEGAHIT	Mix	Partial	201-250	201	1739
megahit-mix-primary	MEGAHIT	Mix	Complete	251-300	251	2824
megahit-mix-primary	MEGAHIT	Mix	Partial	251-300	251	1554
megahit-mix-primary	MEGAHIT	Mix	Complete	301-350	301	2436
megahit-mix-primary	MEGAHIT	Mix	Partial	301-350	301	1313
megahit-mix-primary	MEGAHIT	Mix	Complete	351-400	351	2869
megahit-mix-primary	MEGAHIT	Mix	Partial	351-400	351	1390
megahit-mix-primary	MEGAHIT	Mix	Complete	401-450	401	3138
megahit-mix-primary	MEGAHIT	Mix	Partial	401-450	401	1309
megahit-mix-primary	MEGAHIT	Mix	Complete	451-500	451	2939
megahit-mix-primary	MEGAHIT	Mix	Partial	451-500	451	1238
megahit-mix-primary	MEGAHIT	Mix	Complete	501-550	501	2659
megahit-mix-primary	MEGAHIT	Mix	Partial	501-550	501	1151
megahit-mix-primary	MEGAHIT	Mix	Complete	551-600	551	2699
megahit-mix-primary	MEGAHIT	Mix	Partial	551-600	551	1121
megahit-mix-primary	MEGAHIT	Mix	Complete	601-650	601	2425
megahit-mix-primary	MEGAHIT	Mix	Partial	601-650	601	1010
megahit-mix-primary	MEGAHIT	Mix	Complete	651-700	651	2525
megahit-mix-primary	MEGAHIT	Mix	Partial	651-700	651	1032
megahit-mix-primary	MEGAHIT	Mix	Complete	701-750	701	2478
megahit-mix-primary	MEGAHIT	Mix	Partial	701-750	701	915
megahit-mix-primary	MEGAHIT	Mix	Complete	751-800	751	2386
megahit-mix-primary	MEGAHIT	Mix	Partial	751-800	751	797
megahit-mix-primary	MEGAHIT	Mix	Complete	801-850	801	2240
megahit-mix-primary	MEGAHIT	Mix	Partial	801-850	801	848
megahit-mix-primary	MEGAHIT	Mix	Complete	851-900	851	2198
megahit-mix-primary	MEGAHIT	Mix	Partial	851-900	851	740
megahit-mix-primary	MEGAHIT	Mix	Complete	901-950	901	2033
megahit-mix-primary	MEGAHIT	Mix	Partial	901-950	901	630
megahit-mix-primary	MEGAHIT	Mix	Complete	951-1000	951	2093
megahit-mix-primary	MEGAHIT	Mix	Incomplete	951-1000	951	18
megahit-mix-primary	MEGAHIT	Mix	Partial	951-1000	951	645
megahit-mix-primary	MEGAHIT	Mix	Complete	1001-1050	1001	2036
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1001-1050	1001	267
megahit-mix-primary	MEGAHIT	Mix	Partial	1001-1050	1001	591
megahit-mix-primary	MEGAHIT	Mix	Complete	1051-1100	1051	1609
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1051-1100	1051	196
megahit-mix-primary	MEGAHIT	Mix	Partial	1051-1100	1051	479
megahit-mix-primary	MEGAHIT	Mix	Complete	1101-1150	1101	1525
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1101-1150	1101	195
megahit-mix-primary	MEGAHIT	Mix	Partial	1101-1150	1101	435
megahit-mix-primary	MEGAHIT	Mix	Complete	1151-1200	1151	1545
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1151-1200	1151	153
megahit-mix-primary	MEGAHIT	Mix	Partial	1151-1200	1151	373
megahit-mix-primary	MEGAHIT	Mix	Complete	1201-1250	1201	1357
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1201-1250	1201	104
megahit-mix-primary	MEGAHIT	Mix	Partial	1201-1250	1201	285
megahit-mix-primary	MEGAHIT	Mix	Complete	1251-1300	1251	1384
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1251-1300	1251	103
megahit-mix-primary	MEGAHIT	Mix	Partial	1251-1300	1251	256
megahit-mix-primary	MEGAHIT	Mix	Complete	1301-1350	1301	1254
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1301-1350	1301	98
megahit-mix-primary	MEGAHIT	Mix	Partial	1301-1350	1301	242
megahit-mix-primary	MEGAHIT	Mix	Complete	1351-1400	1351	1087
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1351-1400	1351	84
megahit-mix-primary	MEGAHIT	Mix	Partial	1351-1400	1351	213
megahit-mix-primary	MEGAHIT	Mix	Complete	1401-1450	1401	926
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1401-1450	1401	85
megahit-mix-primary	MEGAHIT	Mix	Partial	1401-1450	1401	152
megahit-mix-primary	MEGAHIT	Mix	Complete	1451-1500	1451	803
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1451-1500	1451	63
megahit-mix-primary	MEGAHIT	Mix	Partial	1451-1500	1451	160
megahit-mix-primary	MEGAHIT	Mix	Complete	1501-1550	1501	627
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1501-1550	1501	45
megahit-mix-primary	MEGAHIT	Mix	Partial	1501-1550	1501	111
megahit-mix-primary	MEGAHIT	Mix	Complete	1551-1600	1551	532
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1551-1600	1551	48
megahit-mix-primary	MEGAHIT	Mix	Partial	1551-1600	1551	102
megahit-mix-primary	MEGAHIT	Mix	Complete	1601-1650	1601	523
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1601-1650	1601	43
megahit-mix-primary	MEGAHIT	Mix	Partial	1601-1650	1601	109
megahit-mix-primary	MEGAHIT	Mix	Complete	1651-1700	1651	471
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1651-1700	1651	27
megahit-mix-primary	MEGAHIT	Mix	Partial	1651-1700	1651	82
megahit-mix-primary	MEGAHIT	Mix	Complete	1701-1750	1701	469
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1701-1750	1701	27
megahit-mix-primary	MEGAHIT	Mix	Partial	1701-1750	1701	81
megahit-mix-primary	MEGAHIT	Mix	Complete	1751-1800	1751	398
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1751-1800	1751	22
megahit-mix-primary	MEGAHIT	Mix	Partial	1751-1800	1751	73
megahit-mix-primary	MEGAHIT	Mix	Complete	1801-1850	1801	366
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1801-1850	1801	20
megahit-mix-primary	MEGAHIT	Mix	Partial	1801-1850	1801	63
megahit-mix-primary	MEGAHIT	Mix	Complete	1851-1900	1851	339
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1851-1900	1851	17
megahit-mix-primary	MEGAHIT	Mix	Partial	1851-1900	1851	49
megahit-mix-primary	MEGAHIT	Mix	Complete	1901-1950	1901	322
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1901-1950	1901	17
megahit-mix-primary	MEGAHIT	Mix	Partial	1901-1950	1901	45
megahit-mix-primary	MEGAHIT	Mix	Complete	1951-2000	1951	263
megahit-mix-primary	MEGAHIT	Mix	Incomplete	1951-2000	1951	18
megahit-mix-primary	MEGAHIT	Mix	Partial	1951-2000	1951	44
megahit-mix-primary	MEGAHIT	Mix	Complete	2001-2050	2001	241
megahit-mix-primary	MEGAHIT	Mix	Incomplete	2001-2050	2001	18
megahit-mix-primary	MEGAHIT	Mix	Partial	2001-2050	2001	41
megahit-mix-primary	MEGAHIT	Mix	Complete	2051-2100	2051	242
megahit-mix-primary	MEGAHIT	Mix	Incomplete	2051-2100	2051	13
megahit-mix-primary	MEGAHIT	Mix	Partial	2051-2100	2051	39
megahit-mix-primary	MEGAHIT	Mix	Complete	2101-2150	2101	225
megahit-mix-primary	MEGAHIT	Mix	Incomplete	2101-2150	2101	10
