Step	Cached	Command	Outputs
megahit-individual-id99-cov95-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/representativeDB_h	catalogs/megahit/individual-id99-cov95/representativeDB_h.index;catalogs/megahit/individual-id99-cov95/representativeDB_h.dbtype
megahit-individual-id99-cov95-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-id99-cov95/membership.tsv	catalogs/megahit/individual-id99-cov95/membership.tsv
megahit-individual-primary-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/tmp --min-seq-id 0.95 -c 0.95 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/megahit/individual-primary/clusterDB.index;catalogs/megahit/individual-primary/clusterDB.dbtype
megahit-individual-primary-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/representatives.faa	catalogs/megahit/individual-primary/representatives.faa
megahit-individual-primary-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/individual.raw.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/sequenceDB	catalogs/megahit/individual-primary/sequenceDB;catalogs/megahit/individual-primary/sequenceDB.index
megahit-individual-primary-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/representativeDB	catalogs/megahit/individual-primary/representativeDB.index;catalogs/megahit/individual-primary/representativeDB.dbtype
megahit-individual-primary-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/representativeDB_h	catalogs/megahit/individual-primary/representativeDB_h.index;catalogs/megahit/individual-primary/representativeDB_h.dbtype
megahit-individual-primary-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/individual-primary/membership.tsv	catalogs/megahit/individual-primary/membership.tsv
megahit-mix-cdhit	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/cd-hit -i /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/mix-stage2-primary.faa -o /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-cdhit/representatives.faa -c 0.95 -G 0 -aS 0.95 -g 1 -n 5 -d 0 -T 16 -M 0	catalogs/megahit/mix-cdhit/representatives.faa;catalogs/megahit/mix-cdhit/representatives.faa.clstr
megahit-mix-id90-cov80-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/tmp --min-seq-id 0.90 -c 0.80 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/megahit/mix-id90-cov80/clusterDB.index;catalogs/megahit/mix-id90-cov80/clusterDB.dbtype
megahit-mix-id90-cov80-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/representatives.faa	catalogs/megahit/mix-id90-cov80/representatives.faa
megahit-mix-id90-cov80-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/mix-stage2-id90-cov80.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/sequenceDB	catalogs/megahit/mix-id90-cov80/sequenceDB;catalogs/megahit/mix-id90-cov80/sequenceDB.index
megahit-mix-id90-cov80-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/representativeDB	catalogs/megahit/mix-id90-cov80/representativeDB.index;catalogs/megahit/mix-id90-cov80/representativeDB.dbtype
megahit-mix-id90-cov80-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/representativeDB_h	catalogs/megahit/mix-id90-cov80/representativeDB_h.index;catalogs/megahit/mix-id90-cov80/representativeDB_h.dbtype
megahit-mix-id90-cov80-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id90-cov80/membership.tsv	catalogs/megahit/mix-id90-cov80/membership.tsv
megahit-mix-id99-cov95-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/tmp --min-seq-id 0.99 -c 0.95 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/megahit/mix-id99-cov95/clusterDB.index;catalogs/megahit/mix-id99-cov95/clusterDB.dbtype
megahit-mix-id99-cov95-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/representatives.faa	catalogs/megahit/mix-id99-cov95/representatives.faa
megahit-mix-id99-cov95-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/mix-stage2-id99-cov95.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/sequenceDB	catalogs/megahit/mix-id99-cov95/sequenceDB;catalogs/megahit/mix-id99-cov95/sequenceDB.index
megahit-mix-id99-cov95-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/representativeDB	catalogs/megahit/mix-id99-cov95/representativeDB.index;catalogs/megahit/mix-id99-cov95/representativeDB.dbtype
megahit-mix-id99-cov95-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/representativeDB_h	catalogs/megahit/mix-id99-cov95/representativeDB_h.index;catalogs/megahit/mix-id99-cov95/representativeDB_h.dbtype
megahit-mix-id99-cov95-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-id99-cov95/membership.tsv	catalogs/megahit/mix-id99-cov95/membership.tsv
megahit-mix-primary-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/tmp --min-seq-id 0.95 -c 0.95 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/megahit/mix-primary/clusterDB.index;catalogs/megahit/mix-primary/clusterDB.dbtype
megahit-mix-primary-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/representatives.faa	catalogs/megahit/mix-primary/representatives.faa
megahit-mix-primary-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/megahit/mix-stage2-primary.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/sequenceDB	catalogs/megahit/mix-primary/sequenceDB;catalogs/megahit/mix-primary/sequenceDB.index
megahit-mix-primary-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/representativeDB	catalogs/megahit/mix-primary/representativeDB.index;catalogs/megahit/mix-primary/representativeDB.dbtype
megahit-mix-primary-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/representativeDB_h	catalogs/megahit/mix-primary/representativeDB_h.index;catalogs/megahit/mix-primary/representativeDB_h.dbtype
megahit-mix-primary-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/megahit/mix-primary/membership.tsv	catalogs/megahit/mix-primary/membership.tsv
metaspades-individual-primary-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/tmp --min-seq-id 0.95 -c 0.95 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/metaspades/individual-primary/clusterDB.index;catalogs/metaspades/individual-primary/clusterDB.dbtype
metaspades-individual-primary-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/representatives.faa	catalogs/metaspades/individual-primary/representatives.faa
metaspades-individual-primary-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/metaspades/individual.raw.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/sequenceDB	catalogs/metaspades/individual-primary/sequenceDB;catalogs/metaspades/individual-primary/sequenceDB.index
metaspades-individual-primary-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/representativeDB	catalogs/metaspades/individual-primary/representativeDB.index;catalogs/metaspades/individual-primary/representativeDB.dbtype
metaspades-individual-primary-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/representativeDB_h	catalogs/metaspades/individual-primary/representativeDB_h.index;catalogs/metaspades/individual-primary/representativeDB_h.dbtype
metaspades-individual-primary-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/individual-primary/membership.tsv	catalogs/metaspades/individual-primary/membership.tsv
metaspades-mix-primary-cluster	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs cluster /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/tmp --min-seq-id 0.95 -c 0.95 --cov-mode 1 --cluster-mode 2 --alignment-mode 3 --threads 16	catalogs/metaspades/mix-primary/clusterDB.index;catalogs/metaspades/mix-primary/clusterDB.dbtype
metaspades-mix-primary-convert2fasta	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs convert2fasta /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/representativeDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/representatives.faa	catalogs/metaspades/mix-primary/representatives.faa
metaspades-mix-primary-createdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createdb /workspace/wechat/Metagenome/data/raw/article34/work/pools/metaspades/mix-stage2-primary.faa /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/sequenceDB	catalogs/metaspades/mix-primary/sequenceDB;catalogs/metaspades/mix-primary/sequenceDB.index
metaspades-mix-primary-createsubdb	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/representativeDB	catalogs/metaspades/mix-primary/representativeDB.index;catalogs/metaspades/mix-primary/representativeDB.dbtype
metaspades-mix-primary-createsubdb-headers	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createsubdb /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/sequenceDB_h /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/representativeDB_h	catalogs/metaspades/mix-primary/representativeDB_h.index;catalogs/metaspades/mix-primary/representativeDB_h.dbtype
metaspades-mix-primary-createtsv	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/mmseqs createtsv /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/sequenceDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/clusterDB /workspace/wechat/Metagenome/data/raw/article34/work/catalogs/metaspades/mix-primary/membership.tsv	catalogs/metaspades/mix-primary/membership.tsv
prodigal-megahit-co	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/data/raw/article34/work/assemblies/megahit-co.fna -a /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-co.faa -d /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-co.fna -o /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-co.gff -f gff -p meta -q	genes/megahit-co.faa;genes/megahit-co.fna;genes/megahit-co.gff
prodigal-megahit-m1	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/data/raw/article34/work/assemblies/megahit-m1.fna -a /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-m1.faa -d /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-m1.fna -o /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-m1.gff -f gff -p meta -q	genes/megahit-m1.faa;genes/megahit-m1.fna;genes/megahit-m1.gff
prodigal-megahit-m2	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/data/raw/article34/work/assemblies/megahit-m2.fna -a /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-m2.faa -d /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-m2.fna -o /workspace/wechat/Metagenome/data/raw/article34/work/genes/megahit-m2.gff -f gff -p meta -q	genes/megahit-m2.faa;genes/megahit-m2.fna;genes/megahit-m2.gff
prodigal-metaspades-co	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/data/raw/article34/work/assemblies/metaspades-co.fna -a /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-co.faa -d /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-co.fna -o /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-co.gff -f gff -p meta -q	genes/metaspades-co.faa;genes/metaspades-co.fna;genes/metaspades-co.gff
prodigal-metaspades-m1	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/data/raw/article34/work/assemblies/metaspades-m1.fna -a /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-m1.faa -d /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-m1.fna -o /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-m1.gff -f gff -p meta -q	genes/metaspades-m1.faa;genes/metaspades-m1.fna;genes/metaspades-m1.gff
prodigal-metaspades-m2	yes	/workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/data/raw/article34/work/assemblies/metaspades-m2.fna -a /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-m2.faa -d /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-m2.fna -o /workspace/wechat/Metagenome/data/raw/article34/work/genes/metaspades-m2.gff -f gff -p meta -q	genes/metaspades-m2.faa;genes/metaspades-m2.fna;genes/metaspades-m2.gff
