GenBankAssembly	Reference	RepositoryLabel	InMOCK1	InMOCK2	ExpectedAbundanceMOCK1Pct	ExpectedAbundanceMOCK2Pct	ExpectedAbundanceMeanPct	ReferenceContigs	ReferenceBases	CompressedBytes	CompressedSHA256	CanonicalSequenceSHA256	TaxonomyRenameAlias
GCA_000007985.2	Geobacter_sulfurreducens_PCA	Geobacter_sulfurreducens_PCA	yes	yes	0.587173172916	0.578871546628	0.583022359772	1	3814128	1162465	cd815c223dd269d867690f93d01e598f50efb96119ed65fdcd4010dd3ec39e54	627312bd7a1f29fd5c928150674c2e4a7c1eb3d5e565fa5945ad06298130d60b	no
GCA_000008005.1	Bacillus_cereus_ATCC_10987	Bacillus_cereus_ATCC_10987	no	yes	0	0.0371012693998	0.0185506346999	2	5432652	1656410	d384d8b8c17e7ab878099410b835867898f94a8548ea5582975c5c9a814dc48a	a6f23028e2dc09dac7f38bd5a203bfc7cd9600ac2e33327c8364827b110dbe5e	no
GCA_000008085.1	Nanoarchaeum_equitans_Kin4-M	Nanoarchaeum_equitans_Kin4-M	yes	yes	0.955656442804	0.942145092126	0.948900767465	1	490885	147779	9661872b3164156d01c406bb5dd6c46fc4176920ed89514c6e931d5c75eb00c8	ff620443cd9879b996683026f3e40afdd5ef2d5cccfce6c0f776b467f04076da	no
GCA_000008185.1	Treponema_denticola_ATCC_35405	Treponema_denticola_ATCC_35405	yes	yes	1.26746475625	1.24954496832	1.25850486228	1	2843201	863981	c164668646799b06a28e13eb05d6dc98e514908dfab2fbbe0917cfd556e941cc	8f5736c4617f3bb829a5eddad937bc28a9252d28de77c26a3d36f02eb7af8172	no
GCA_000008525.1	Helicobacter_pylori_ATCC_700392	Helicobacter_pylori_ATCC_700392	no	yes	0	0.120914377984	0.0604571889919	1	1667867	501961	7c2513d0ac577d98e2b410dc75b4eb0aa0002c8aa6ee9d11d90b67fda194f910	2dccaef2b354ff6d16cae08e467272895e6d779b6f4f4a05aad56f4ccd4b4803	no
GCA_000008565.1	Deinococcus_radiodurans_R1	Deinococcus_radiodurans_R1	yes	yes	0.619843795964	0.671262409936	0.64555310295	4	3284156	987536	88abdc940b345bc36023bd9fd810c4ce81af4ad88c7a0e4bc2604adca243da40	adc7945652c7271c583e4d479f14bfee1a62da3bdc3ce9bb804edbf3a8df7d5a	no
GCA_000008665.1	Archaeoglobus_fulgidus_DSM_4304	Archaeoglobus_fulgidus_DSM_4304	yes	yes	1.16826783762	1.15175052477	1.16000918119	1	2178400	667258	d43c3716fcf7b0a6ca64a492a1e7bc87a37c17e0780992e688d4cef59e2a13dd	d01f713ccf0845c1ad31e518c3a87390512f7412ecd8cd25851c8515a7eb50c6	no
GCA_000008805.1	Neisseria_meningitidis_MC58	Neisseria_meningitidis_MC58	no	yes	0	0.0884219680409	0.0442109840205	1	2272360	679361	da9fc4f0e23719949e864a4dd4c208296330ab5d871444ebd9d9fc3180ac271c	2e9c1e77cf9dae33a23e6922aca1c7df2cce6a0d32ee96bb6e7f32bde84d754f	no
GCA_000009145.1	Nitrosomonas_europaea_ATCC_19718	Nitrosomonas_europaea_ATCC_19718	yes	yes	5.68342949511	5.60307550436	5.64325249973	1	2812094	860752	183228e3e886c14075860081f336be9d24ed9aea5dd43cc6548e7ca98c6621a3	826d192460b4defe373c1a18d93e06e25416cb36040c5fce2d5a4309a9255c7f	no
GCA_000009225.1	Pseudomonas_fluorescens_SBW25	Pseudomonas_fluorescens_SBW25	yes	yes	1.06930867961	1.05419048032	1.06174957996	1	6722539	2046334	1423887e0187234402135ff2d713f0fd9123a99ec7e040b84549862349de951b	e7310996ebda54cd2e98d4328b39be04117e1158be42e67c1b765321339760b6	no
GCA_000009705.1	Trichormus_sp._PCC_7120	Nostoc_sp._PCC_7120	yes	yes	1.37146302611	1.35207288018	1.36176795315	7	7211789	2209988	6a30f675c3d94cd6aba7de06a1c27ef2fbd5a38e5424603d790669cf13894bb9	81078e7fe1aad1b2ffad8f12ccd91b2ae2da70d3c241248908b805254f404917	yes
GCA_000010305.1	Gemmatimonas_aurantiaca_T-27	Gemmatimonas_aurantiaca_T-27	yes	yes	2.41490124842	2.3807586673	2.39782995786	1	4636964	1403898	c7283a4391a0fb0a72a0f7373b8cd72e2495316108f33596f890bc301840d8d7	5ce4f8939ee64342ad623248b8be154d658aeca4084f7648378cb44d0708c425	no
GCA_000010425.1	Bifidobacterium_adolescentis_ATCC_15703	Bifidobacterium_adolescentis_ATCC_15703	no	yes	0	0.0960372571545	0.0480186285773	1	2089645	635771	335b2ce566fd39d69255e7c37144b3d1885892cc78a6101204c0e524b3aeb000	f08e9fb42363035403f5dcfc8f5c9557641b7816a5730f5946938eb5f07cb521	no
GCA_000010505.1	Porphyromonas_gingivalis_ATCC_33277	Porphyromonas_gingivalis_ATCC_33277	yes	yes	2.17006694673	2.22771983917	2.19889339295	1	2354886	720565	d263571f93475c23c3a2c511e358b3d0f4666911eb62dd2a07e6c4b3a542e60e	9da187dfa44234631df2441623f46f52e3303c5eb1fe115ff69d3bd45ebaac06	no
GCA_000011065.1	Bacteroides_thetaiotaomicron_VPI-5482	Bacteroides_thetaiotaomicron_VPI-5482	yes	yes	0.323509814467	0.318935937962	0.321222876214	2	6293399	1935047	d4e886c57d6148df6d9b3410f15bbbe94979b5adafba7bec4d787e235cd51068	eb10349aa9379a67e8b2c681857963cb725cc2684a6856a28a431468805335cb	no
GCA_000011105.1	Pyrococcus_horikoshii_OT3	Pyrococcus_horikoshii_OT3	yes	yes	5.85551833757	5.77273130437	5.81412482097	1	1738505	533660	b2678795cacb66a70e1ed1cac00863640c02bf39d5a355f72c03f562ef7e85ff	701df3861ba4151bcb4c0ef44ad25a667888664e91b2a358b83f54203143ac82	no
GCA_000011205.1	Sulfurisphaera_tokodaii_str._7	Sulfolobus_tokodaii_str._7	yes	yes	0.075406063925	0.0743399509085	0.0748730074167	1	2694756	818013	b9fc502a9e16d4b17476ae06b6de73d1e74538079c01490c0e6c7bf61540b2ed	94eaf57b8dc1bb8e189472ee284b6f1110d1608009aa344ed10aa9d9b2d5da41	yes
GCA_000011585.1	Methanococcus_maripaludis_S2	Methanococcus_maripaludis_S2	yes	yes	0.459615924751	0.453117740196	0.456366832473	1	1661137	501943	6d4d48b53224cbdb72f7736d80ee04f060a3785325f15e35f5866d786cfb902c	06d3b0ac232bbd6d0d4f298e423c9d3d95d81f2dbf9f895a0969bec0df2ca9aa	no
GCA_000011965.2	Ruegeria_pomeroyi_DSS-3	Ruegeria_pomeroyi_DSS-3	yes	yes	0.0665347622868	0.065594074331	0.0660644183089	2	4601048	1386857	8059b542d8b9672ba0aa3a5c349735a5f5c59a8684a74070b5edf5f2f397cd1c	df702eca72f786ac5c0562ab3524135d5ed14204b0be924b46863e42942ac0f9	no
GCA_000012825.1	Phocaeicola_vulgatus_ATCC_8482	Bacteroides_vulgatus_ATCC_8482	yes	yes	0.469244175386	0.500660025761	0.484952100573	1	5163189	1585435	056b7bae201b7b6c14df92880d1a98cb1e4628a2a1049c76ace2c8eb6655dfc4	ff61035e0f2508ad6cd6119a1a5880c3636f839f020b31b2142a1e00f0acb797	yes
GCA_000013465.1	Staphylococcus_aureus_USA300_FPR3757	Staphylococcus_aureus_USA300_FPR3757	no	yes	0	0.0692130577424	0.0346065288712	4	2917469	883755	dedc519dfa13b276676cece80acae4949ee37a532bfd25a4a6af6988c55188d1	6a36ea571fee819dde1529ba367db3ab02a1ae1a1b5accaa5a3bdc331f0360d9	no
GCA_000013645.1	Paraburkholderia_xenovorans_LB400	Paraburkholderia_xenovorans_LB400	yes	yes	0.575113272979	0.566982153088	0.571047713033	3	9731138	2950274	ab640f1ad402eb4a23693e0bb30a5321621a874cd7fa97bb3c630bf43a7c425e	7e3374f6a9a3339bcf4756199e952378b0d3d4ba74a7fa192e689ae0f1b2b4f6	no
GCA_000014425.1	Lactobacillus_gasseri_ATCC_33323	Lactobacillus_gasseri_ATCC_33323	no	yes	0	0.106199929869	0.0530999649346	1	1894360	574627	ea3687975353655889da31a3e38ee27fbd0895aecac27d3612ec2a399bc62d95	445cdfeb9814b512d65066c6d32b4d44f7a9a581f57ceba1d49e87f84930f01d	no
GCA_000015125.1	Chlorobium_phaeobacteroides_DSM_266	Chlorobium_phaeobacteroides_DSM_266	yes	yes	0.690261801222	0.680502677714	0.685382239468	1	3133902	946278	3a433e4c62393123a7a2332d1240b5664eca2386461dc48a5b848c8c1faca255	9e29d6c4b02795ea557b677f7e8bfe6f2f8ec4e00aa6268d5314bd9297f93f0d	no
GCA_000015425.1	Acinetobacter_baumannii_ATCC_17978	Acinetobacter_baumannii_ATCC_17978	no	yes	0	0.046248356556	0.023124178278	3	4001457	1228643	1b1f05a3ff6fdfc7a38b74b38650d389796c732f427e796370079c06498277e8	bf990ca1bd5a74c53542b8aa7d134b6b4b8b9894b7a97d68bda1d831ef47761e	no
GCA_000015805.1	Pyrobaculum_calidifontis_JCM_11548	Pyrobaculum_calidifontis_JCM_11548	yes	yes	2.54495465747	2.50897334316	2.52696400032	1	2009313	614834	47400e330bdfbbd462eaa09c92524a1174d5d3cc103478981fdbacdb72516bdf	e753291d771da6a2b9b7f1cf50ff7bab88680c14d6cbde98e6fb65e549bd9472	no
GCA_000015865.1	Ruminiclostridium_thermocellum_ATCC_27405	Ruminiclostridium_thermocellum_ATCC_27405	yes	yes	0.268844896556	0.26504388867	0.266944392613	1	3843301	1166987	75443e2e03de3f004705f6018fa311ddc75a6fefbf7398b4bc22915b8b1ce6c2	f3667ed8439ad931c1b1745f850a9ebdd67e29419a0c02b91a0f9fbb22365b0f	no
GCA_000015985.1	Cereibacter_A_sphaeroides_ATCC_17029	Rhodobacter_sphaeroides_ATCC_17029	no	yes	0	0.0447033112367	0.0223516556184	3	4489380	1325901	9ad5e9e409e3931bf180f89e5f28c2c918ccf753df2a530ff0d9322042fa65cf	57074e443e489d578b1cda7bb7e995a66761d37532244f23afde85808032ae1e	yes
GCA_000016065.1	Shewanella_loihica_PV-4	Shewanella_loihica_PV-4	yes	yes	0.553251012493	0.545428987644	0.549340000068	1	4602594	1410705	d62bbd6dd711922c33f402e12550feaf7dec4b15fd8be438c983a7b67e3313b0	83e713387e06b9fae27196ffd15c5a1436db49ebcb7280ae0692de0035ee13ca	no
GCA_000016085.1	Chlorobium_phaeovibrioides_DSM_265	Chlorobium_phaeovibrioides_DSM_265	yes	yes	1.29391754241	1.27562375724	1.28477064983	1	1966858	601247	909b26764138e750c84de6a0dc32ceb1d9e9f4ef64eea0b03d31f15b5a143f14	5fff06d01a4b136bc31a5506d51c5c58ebd78cbc498fc73d7f42b827df6034df	no
GCA_000016125.1	Methanococcus_maripaludis_C5	Methanococcus_maripaludis_C5	yes	yes	1.15404679485	1.13773054327	1.14588866906	2	1789046	540514	e5f6305abba55791fda54a0bc125af3041dbab577cf57f259f4d4575a06d9c5c	7e3550f24c90bdbb5e7271833878d5fc875eac49f2b347679aa5a3095ad6165d	no
GCA_000016385.1	Pyrobaculum_arsenaticum_DSM_13514	Pyrobaculum_arsenaticum_DSM_13514	yes	yes	0.0479935628542	0.0473150158063	0.0476542893302	1	2121076	652076	4bae78a056b053f7e2ee37abebd7b961517f336d7fa4c57353c73a94a1dbb07e	2057ba185a02d5f550ee3c476df81efd088357d0dcf8422cf23e28e9cdbb8d58	no
GCA_000016425.1	Micromonospora_tropica_CNB-440	Salinispora_tropica_CNB-440	yes	yes	0.49099119431	0.484049417005	0.487520305658	1	5183331	1540367	f6b2f3c9170344c992c13ef1c915780a1295908a8f2f0dd6661aa12fba205c00	fe04ce6c900fdd98fce7c5473184d2916260aff9fec01d83d8b3ffa318564627	yes
GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	Caldicellulosiruptor_saccharolyticus_DSM_8903	yes	yes	0.891081566244	0.878483194083	0.884782380163	1	2970275	895838	d1d9489282f48cda84b7df22ebcda4d469201fe1fd0c797794605ae101c8df91	76b8fa4b94b4026508d92d7a7d85bcfb61f5bbb231ffc5364c8d911db9c1f9de	no
GCA_000016785.1	Thermotoga_petrophila_RKU-1	Thermotoga_petrophila_RKU-1	yes	yes	6.95026306091	6.85199820618	6.90113063354	1	1823511	558111	2b908d61f88fbe7f5015e6b8a6b98bf2b5931149fd5812ab44fc20f9020575b2	144aae8e4e528c24a1ff809cd035865d074700e896ac47a854886e7c8a51481e	no
GCA_000017325.1	Shewanella_baltica_OS185	Shewanella_baltica_OS185	yes	yes	1.35662189775	1.33744158003	1.34703173889	2	5312910	1632773	c7ac2bbf0f780b8828b05efe9089b5d276076a7d1e3087ef5adec9bbaaa8aa26	0d7f567b0e739e02172b8c16ed6454e6ea79a131ef421c81d5945c20a3328143	no
GCA_000017945.1	Ignicoccus_hospitalis_KIN4_I	Ignicoccus_hospitalis_KIN4_I	yes	yes	2.83860327179	2.79847026737	2.81853676958	1	1297538	397098	f0687f5eb6a00a3e4601d41148139f8911bf47e7d47b5ebf9714ac07f10bfc37	bb42c6b8feed6048e4f2b7bd230a6d50967b7d6facba23ea7f4ef289518fa3f8	no
GCA_000018265.1	Micromonospora_arenicola_CNS-205	Salinispora_arenicola_CNS-205	yes	yes	0.390563872567	0.385041966149	0.387802919358	1	5786361	1720092	2068eeb68be98ff66b5c1fd8229b639298b576fbae0c43dff58084c21ec48658	e3e5fd70c5ea85b9581250efda0fbd1c3381442674ef56e0bee0a8ff7f1181d2	yes
GCA_000018565.1	Herpetosiphon_aurantiacus_DSM_785	Herpetosiphon_aurantiacus_DSM_785	yes	yes	1.6502324032	1.62690093417	1.63856666869	3	6785430	2061599	8738f5977a767b5639195b5ac465f5461df377e7a5a95b08e7fd24cca861ba11	daa835c64646c080f93fc562103461c4a7cf46bcf87600af74d5f25634dad81c	no
GCA_000018865.1	Chloroflexus_aurantiacus_J-10-fl	Chloroflexus_aurantiacus_J-10-fl	yes	yes	0.203265727015	0.200391896634	0.201828811825	1	5258541	1594830	84b6f1782c88fc25eaf3c118714ec72d040788c7b146c9ab791c0f1b6584af5a	d5baf08978894747253647fda1df50b8a9aea3c29c79f83b8c851f530d8d7f34	no
GCA_000018945.1	Thermotoga_neapolitana_DSM_4359	Thermotoga_neapolitana_DSM_4359	yes	yes	1.60748197579	1.58475492482	1.59611845031	1	1884562	575910	fe5aedcdfd25ab6b44f4421a83228a4bb74d6260668dc1e3a37dac0dfefa2c5d	0c167554db74148adc249ca7e826128c9f597e6d1420ca627b8b9953989f9fdf	no
GCA_000019085.1	Thermoanaerobacter_pseudethanolicus_ATCC_33223	Thermoanaerobacter_pseudethanolicus_ATCC_33223	yes	yes	2.48160060047	2.44651500438	2.46405780243	1	2362816	713928	f1dad9fe0c3cb37ae8467176ecb73b787178ed7313c2e54b13c39b1f6a38077f	7a778e98b9262004ac2a59ebd49a3a665b570766c3ed21f1754c769b792869b9	no
GCA_000019785.1	Leptothrix_cholodnii_SP-6	Leptothrix_cholodnii_SP-6	yes	yes	0.049764838437	0.0490612485762	0.0494130435066	1	4909403	1433857	c87914d691798829aab036693b328e6f04fa16247f5ba9cd0ce620fb91a1f531	0ca507b7d2792188a49dfda2d971ae79a2ff5ee6a823ce672417a60cf0f0ea05	no
GCA_000020225.1	Akkermansia_muciniphila_ATCC_BAA-835	Akkermansia_muciniphila_ATCC_BAA-835	yes	yes	0.907513578542	0.894682885779	0.901098232161	1	2664102	811624	fc0b915b42902bfee8843b4064610bde0c43cc6891842296911df3598ec6aaca	72bb0804e36c65b813121b9a0e319637051f6225a54dbdef6efc0b00b1e1c869	no
GCA_000020325.1	Sulfurihydrogenibium_sp._YO3AOP1	Sulfurihydrogenibium_sp._YO3AOP1	yes	yes	0.692150588942	0.6823647612	0.687257675071	1	1838442	552583	a42df9d7b52f290bfe1a190b43463867742e76b72f34558542ba2af5a24f6ca2	7406aa7f26790b3138a604de8d0a244bf3e2d4766364f08a731212092dc4c96e	no
GCA_000020465.1	Chlorobium_limicola_DSM_245	Chlorobium_limicola_DSM_245	yes	yes	2.32098007977	2.28816538364	2.30457273171	1	2763181	838824	7bff393d79620bd32836bb68c28f0da1d69bd1864c38f38e80a065d700e676fe	2e29cb0587b783fc9e8cd5d34db5f9ed02f01b864bf560dddba60edd8e4e4dfe	no
GCA_000020725.1	Geobacter_bemidjiensis_Bem	Geobacter_bemidjiensis_Bem	yes	yes	0.00331230541102	0.00326547506702	0.00328889023902	1	4615150	1407895	5dee33110e8d85559d5d7551e4754ce29c841b21c26434af495d13e2a3bce2e2	fbc5fc81ed9877bd1aafc2e0784c3cec52a6d4b73105411e61d9ecfc8b552fae	no
GCA_000020785.1	Hydrogenobaculum_sp._Y04AAS1	Hydrogenobaculum_sp._Y04AAS1	yes	yes	1.6318937727	1.6088215806	1.62035767665	1	1559514	470973	39237bf7f152901b87a495480f24e4538e8792c71855496b08e8dbc59af77e1b	fa3d549f4cce0a6bc58a840c4767fe377d0f3ac9c39de4c91f8f86c8455c9849	no
GCA_000021565.1	Persephonella_marina_EX-H1	Persephonella_marina_EX-H1	yes	yes	2.8062374214	2.76656201486	2.78639971813	2	1983966	597570	80a182008207d3a0d0c91581f48c5ea29ca9ec1beb99eb23c89fca5dd363b5b5	5ed55526b8161330f4e693de16633659aa67dcf38a277ccf7f2b440c48f77b58	no
GCA_000021645.1	Dictyoglomus_turgidum_DSM_6724	Dictyoglomus_turgidum_DSM_6724	yes	yes	0.685764582516	0.676069042004	0.68091681226	1	1855560	557757	0236fe08d7d3d34f51d6d4eacc608cf427f112b0a02ad2a3492435c6d7fb934b	b40e03ba017142cde994dbda4b48a940448346d616e1cf2fd473e40ba1bb3347	no
GCA_000021665.1	Shewanella_baltica_OS223	Shewanella_baltica_OS223	yes	yes	2.5364523173	2.50059121157	2.51852176444	4	5358884	1646382	99932ab09a780502527e899e58fa223e66d40d765c821704269e13d2f50553a9	484085d6bc4b063803211fc21a931014115137f3a8784f3493ae07314383fd18	no
GCA_000022325.1	Caldicellulosiruptor_bescii_DSM_6725	Caldicellulosiruptor_bescii_DSM_6725	yes	yes	0.214992735487	0.211953105226	0.213472920356	3	2931662	880680	55bae1cb3fe41047aee2c39369a37f8a007650f41f96b464ad5016d7e36522ff	55003137e432bac198c41e1bd3f4ba5e1821af360da5112960e5ea668dd6101f	no
GCA_000022565.1	Acidobacterium_capsulatum_ATCC_51196	Acidobacterium_capsulatum_ATCC_51196	yes	yes	0.199780321809	0.196955769108	0.198368045458	1	4127356	1258932	4a9ccecf391873cf876796b695b93bfc87f44d52b0d3489f79c54fe0c62a6d45	ef7a32585679e74962c3707685657a77c5d8fca302c54ca1cf35da0a31e3af6f	no
GCA_000025665.1	Aciduliprofundum_boonei_T469	Aciduliprofundum_boonei_T469	yes	yes	0.0342524180009	0.0337681472835	0.0340102826422	1	1486778	454891	5c56a1bb8b7d25ccfcc5fa4701652f3d5dffacbe6be23c9f0417539c51a1fa8a	13ecbd03bad9a7152193ff4657047ad236d0b689af440c163338612bf343c9a2	no
GCA_000025685.1	Haloferax_volcanii_DS2	Haloferax_volcanii_DS2	yes	yes	0.0482710050942	0.0475885354867	0.0479297702905	5	4012900	1194576	a8d58f79e2df7f892ed7adae2bab8ff0059e078a85f7dab1770deb09f233ec57	54c3ee8c93d00dc5ccb9932bc05d4ac4266106fe444c0fcc90d79d3e4a2d5c76	no
GCA_000091665.1	Methanocaldococcus_jannaschii_DSM_2661	Methanocaldococcus_jannaschii_DSM_2661	yes	yes	5.64580135165	5.56597935861	5.60589035513	3	1739927	518400	876c7466941bc18ab08592de95f443ea4380a4892b37ae4d725bfe174446dff3	05869fcf7a1c4552423bed53821cd80d4913eb72c82320ef05ba7449510a2fa0	no
GCA_000144915.1	Acidilobus_saccharovorans_345-15	Acidilobus_saccharovorans_345-15	yes	yes	0.0341604652009	0.0336774945391	0.03391897987	1	1496453	456211	8f0f40c2d3660b1c9d7dba88f39ebe5be7f25e16307c91b3261cd221f137df6c	f55050f05d0a0b561fe4687eafe752914998ff3c32bc40edc8cb62b9810fda04	no
GCA_000154225.1	Pauljensenia_odontolyticus_ATCC_17982	Actinomyces_odontolyticus_ATCC_17982	no	yes	0	0.0839823713192	0.0419911856596	2	2393958	723436	87ff067523a832de5e05bcf87a9511cc06892f1e8d5379344e951a71731702eb	ff6963b6ab45431f5e5caedf65026b4ad4db74b5482de9d26f9f983bd4f0192c	yes
GCA_000156375.1	Desulfovibrio_piger_ATCC_29098	Desulfovibrio_piger_ATCC_29098	yes	yes	4.3878528577	4.3258161089	4.3568344833	47	2867216	854115	7ece11c5253dc54537245de0f42237216d77557bd1b71f564bb6f4edd782a5c9	29e4d53a1291e1461632333aef10a7585c8a771902e7e4742101c5e2ebfc4ab5	no
GCA_000166095.1	Methanothermus_fervidus_DSM_2088	Methanothermus_fervidus_DSM_2088	yes	yes	7.18333975898	7.08177959763	7.13255967831	1	1243342	374791	12818f82bde57a9290457e9efbca2627855e7b0f7961a2c5769ae6861c71ee6a	d4d571fe5cde1a8e7931ef55856213a91f71d70fcb4c1789f96f318276fb2c23	no
GCA_000172575.2	Enterococcus_faecalis_OG1RF	Enterococcus_faecalis_OG1RF	yes	yes	0.152304030441	0.209300991722	0.180802511082	1	2739625	837205	6ce91541a6f375260b6c97dbc1c0299a8b8a9e26f588461445f08de4f4e0d6f7	0e594ea6919c3b7219f57bd1c152d2af1773477068ce75f5031b76834a007ac1	no
GCA_000189295.2	Desulfovibrio_mercurii_ND_132	Desulfovibrio_desulfuricans_ND132	yes	yes	0.0528821747006	0.0521345110267	0.0525083428637	1	3858580	1160610	6897bf84512ab9921b7e94933e437bafa64222b7b788fda36e410fc04506cc90	c257c1b39484a92be465d41cf9b48f02f98130f4cb3a27017ca24d6bada2cf05	yes
GCA_000195675.1	Bordetella_pertussis_RB50	Bordetella_bronchiseptica_RB50	yes	yes	0.476656463627	0.469917354942	0.473286909285	1	5339179	1583717	3affdfa7c73ec398513c7fe8e717b4b08016e703a7831324d8ceef1295a55d8c	8dce85dd2cd1a332af63e2c8c7f60eb99a7ed77d9c61485b542ff3e4769a50d2	yes
GCA_000195755.1	Nitratidesulfovibrio_vulgaris_Hildenborough	Desulfovibrio_vulgaris_Hildenborough	yes	yes	0.027146183013	0.0267623823271	0.02695428267	2	3773159	1147850	af3eba071f4cc8e36adc21ed84bc1497282fe9c6603ccddc0b04c10d6156893f	b061c7cee74c7105997065e03899e506674b3d838fd18f670b92c9fda1584dc1	yes
GCA_000196115.1	Rhodopirellula_baltica_SH_1	Rhodopirellula_baltica_SH_1	yes	yes	1.31778417324	1.29915295465	1.30846856395	1	7145576	2176015	409cc952f75c0b0c003e06e51a580671634e5fce3780ad5f6d8062f9a70a91c0	b39c520f979c9925d3638fded2f0bcba68a4954f3b9088cf109493c77540642c	no
GCA_000196135.1	Wolinella_succinogenes_DSM_1740	Wolinella_succinogenes_DSM_1740	yes	yes	0.65604669178	0.64677131151	0.651409001645	1	2110355	642027	44ed31fc115721c254422e91e40bc7797d5b7a4eed93cc6591e4bd9ea6ad49a5	ada4b6294996706cf8b7d692ecdfa374474cf1b9588afd2ec533a83e93920bfd	no
GCA_000231215.1	Cutibacterium_acnes_ATCC_11828	Propionibacterium_acnes_ATCC_11828	no	yes	0	0.080934623973	0.0404673119865	1	2488626	765681	2035d761d609f1489c374615e5140b6b0a49e6212f061a59dae591c29a95baf1	17e2bb24df9a40013d5910587eda5103fe74ea0113bdedf91381ad8288d0c8e8	yes
GCA_000243155.3	Desulfitobacterium_dehalogenans_ATCC_51507	Desulfitobacterium_dehalogenans_ATCC_51507	yes	yes	0.00353465924648	0.00348468519884	0.00350967222266	1	4321753	1331916	df7c9b34af1bf3acbf277c19abdf5ec8fd2cc68cc52fabdcf5810db70c6821e8	bb8cd339bc1002fbf0e08e6f0dca5ce0836ee57ad6ef04d4838394efe1860206	no
