Step	UserSeconds	SystemSeconds	ElapsedSeconds	MaximumRSSKiB	FileSystemInputs	FileSystemOutputs	ExitStatus
prodigal-truth-GCA_000016085.1	38.35	0.04	38.390	75384	0	6656	0
prodigal-truth-GCA_000016125.1	7.88	0.03	7.920	59052	0	6136	0
prodigal-truth-GCA_000016385.1	39.14	0.04	39.190	68160	0	7568	0
prodigal-truth-GCA_000016425.1	53.61	0.25	53.870	114204	0	16776	0
prodigal-truth-GCA_000016545.1	19.62	0.04	19.660	74908	0	10024	0
prodigal-truth-GCA_000016785.1	24.51	0.04	24.550	68544	0	6448	0
prodigal-truth-GCA_000017325.1	63.38	0.08	63.470	109664	0	16688	0
prodigal-truth-GCA_000017945.1	23.92	0.04	23.960	58472	0	4688	0
prodigal-truth-GCA_000018265.1	51.49	0.08	51.590	123480	0	18488	0
prodigal-truth-GCA_000018565.1	180.62	0.11	180.750	153820	0	21944	0
prodigal-truth-GCA_000018865.1	113.18	0.08	113.270	131068	0	16080	0
prodigal-truth-GCA_000018945.1	25.92	0.04	25.970	70504	0	6704	0
prodigal-truth-GCA_000019085.1	11.14	0.03	11.180	63060	0	8032	0
prodigal-truth-GCA_000019785.1	33.33	0.06	33.400	113324	0	16648	0
prodigal-truth-GCA_000020225.1	60.31	0.05	60.370	82404	0	8464	0
prodigal-truth-GCA_000020325.1	6.52	0.03	6.560	55872	0	6232	0
prodigal-truth-GCA_000020465.1	46.90	0.07	46.980	81548	0	9104	0
prodigal-truth-GCA_000020725.1	76.35	0.07	76.420	104544	0	14984	0
prodigal-truth-GCA_000020785.1	7.38	0.03	7.410	56608	0	5640	0
prodigal-truth-GCA_000021565.1	8.54	0.03	8.580	57756	0	7192	0
prodigal-truth-GCA_000021645.1	8.20	0.03	8.230	56448	0	6544	0
prodigal-truth-GCA_000021665.1	64.38	0.08	64.470	108588	0	16808	0
prodigal-truth-GCA_000022325.1	19.49	0.05	19.550	74740	0	9816	0
prodigal-truth-GCA_000022565.1	78.52	0.07	78.620	108676	0	13096	0
prodigal-truth-GCA_000025665.1	9.70	0.03	9.740	59884	0	5376	0
prodigal-truth-GCA_000025685.1	33.31	0.05	33.360	72756	0	13400	0
prodigal-truth-GCA_000091665.1	6.13	0.03	6.170	55296	0	6048	0
prodigal-truth-GCA_000144915.1	21.77	0.07	21.850	59148	0	5128	0
prodigal-truth-GCA_000154225.1	30.82	0.05	30.870	76660	0	7800	0
prodigal-truth-GCA_000156375.1	48.03	0.04	48.070	56604	0	9264	0
prodigal-truth-GCA_000166095.1	5.10	0.02	5.130	52988	0	4496	0
prodigal-truth-GCA_000172575.2	15.34	0.04	15.390	72252	0	9144	0
prodigal-truth-GCA_000189295.2	49.46	0.07	49.530	96004	0	12784	0
prodigal-truth-GCA_000195675.1	41.33	0.08	41.420	119232	0	18304	0
prodigal-truth-GCA_000195755.1	68.84	0.06	68.920	104824	0	12048	0
prodigal-truth-GCA_000196115.1	251.20	0.26	251.490	179724	0	22512	0
prodigal-truth-GCA_000196135.1	29.62	0.05	29.670	74576	0	7488	0
prodigal-truth-GCA_000231215.1	47.10	0.04	47.150	84640	0	8320	0
prodigal-truth-GCA_000243155.3	43.88	0.06	43.940	96628	0	14232	0
prodigal-truth-GCA_000308215.1	44.11	0.03	44.150	53568	0	8880	0
prodigal-truth-GCA_000328665.1	22.84	0.18	23.030	75016	0	8976	0
prodigal-truth-GCA_000767745.1	17.60	0.04	17.650	84316	0	18592	0
prodigal-truth-GCA_000817065.1	10.89	0.03	10.930	64816	0	6696	0
prodigal-truth-GCA_001481685.1	11.24	0.18	11.450	55296	0	4944	0
prodigal-truth-GCA_001639275.1	4.38	0.03	4.410	43200	0	7128	0
prodigal-truth-GCA_002563335.1	51.59	0.04	51.640	49536	0	21280	0
prodigal-truth-GCA_002952055.1	49.72	0.05	49.780	85008	0	9072	0
prodigal-truth-GCA_003019295.1	5.20	0.03	5.240	55872	0	7424	0
truth-megahit-co-primary-catalog-to-truth-recovery-convertalis	5.05	0.32	0.280	77836	0	34624	0
truth-megahit-co-primary-catalog-to-truth-recovery-search	1816.02	7.10	457.530	1699792	0	265192	0
truth-megahit-co-primary-catalog-to-truth-support-convertalis	6.20	0.28	0.290	75676	0	45760	0
truth-megahit-co-primary-catalog-to-truth-support-search	1647.49	6.18	414.640	1678416	0	220008	0
truth-megahit-co-primary-createdb	9.71	0.21	0.780	46348	8	183304	0
truth-megahit-individual-primary-catalog-to-truth-recovery-convertalis	6.15	0.27	0.230	72784	0	26032	0
truth-megahit-individual-primary-catalog-to-truth-recovery-search	1378.65	5.27	87.930	1834800	0	206424	0
truth-megahit-individual-primary-catalog-to-truth-support-convertalis	6.28	0.21	0.620	73908	0	33752	0
truth-megahit-individual-primary-catalog-to-truth-support-search	1313.25	5.49	83.910	1828588	0	171272	0
truth-megahit-individual-primary-createdb	9.63	0.21	0.550	38124	8	142328	0
truth-megahit-mix-cdhit-catalog-to-truth-recovery-convertalis	6.10	0.30	0.240	78820	0	34824	0
truth-megahit-mix-cdhit-catalog-to-truth-recovery-search	1731.74	3.12	218.280	1786412	0	269840	0
truth-megahit-mix-cdhit-catalog-to-truth-support-convertalis	6.04	0.18	0.270	76760	0	43520	0
truth-megahit-mix-cdhit-catalog-to-truth-support-search	1515.17	4.46	191.230	1765948	0	223136	0
truth-megahit-mix-cdhit-createdb	9.70	0.22	0.720	47700	0	185616	0
truth-megahit-mix-id90-cov80-catalog-to-truth-recovery-convertalis	5.77	0.28	0.260	75832	0	34328	0
truth-megahit-mix-id90-cov80-catalog-to-truth-recovery-search	1872.12	2.65	235.650	1781780	0	262760	0
truth-megahit-mix-id90-cov80-catalog-to-truth-support-convertalis	6.04	0.22	0.280	76168	0	42448	0
truth-megahit-mix-id90-cov80-catalog-to-truth-support-search	1680.53	3.49	212.310	1764104	0	216696	0
truth-megahit-mix-id90-cov80-createdb	9.68	0.18	0.650	46236	0	181768	0
truth-megahit-mix-id99-cov95-catalog-to-truth-recovery-convertalis	5.83	0.24	0.260	81128	0	37168	0
truth-megahit-mix-id99-cov95-catalog-to-truth-recovery-search	2127.91	4.99	268.440	1801448	0	295736	0
truth-megahit-mix-id99-cov95-catalog-to-truth-support-convertalis	6.59	0.15	0.930	87316	0	48656	0
truth-megahit-mix-id99-cov95-catalog-to-truth-support-search	1854.50	4.67	233.710	1781172	0	247128	0
truth-megahit-mix-id99-cov95-createdb	9.68	0.23	0.730	51768	16	201984	0
truth-megahit-mix-primary-catalog-to-truth-recovery-convertalis	5.56	0.21	0.270	77000	0	34856	0
truth-megahit-mix-primary-catalog-to-truth-recovery-search	1847.53	5.43	464.530	1706696	0	269456	0
truth-megahit-mix-primary-catalog-to-truth-support-convertalis	5.94	0.26	0.260	77760	0	43512	0
truth-megahit-mix-primary-catalog-to-truth-support-search	1648.19	5.15	414.440	1687388	0	222728	0
truth-megahit-mix-primary-createdb	9.74	0.21	0.760	46960	8	186240	0
truth-metaspades-co-primary-catalog-to-truth-recovery-convertalis	5.93	0.30	0.260	79364	0	36376	0
truth-metaspades-co-primary-catalog-to-truth-recovery-search	2040.36	3.11	256.590	1795340	0	277448	0
truth-metaspades-co-primary-catalog-to-truth-support-convertalis	5.94	0.41	0.280	78676	0	47056	0
truth-metaspades-co-primary-catalog-to-truth-support-search	1873.89	3.98	236.040	1773512	0	230280	0
truth-metaspades-co-primary-createdb	9.75	0.20	0.680	48996	0	192504	0
truth-metaspades-individual-primary-catalog-to-truth-recovery-convertalis	5.51	0.23	0.210	72452	0	27840	0
truth-metaspades-individual-primary-catalog-to-truth-recovery-search	1572.48	6.91	199.240	1732916	0	217504	0
truth-metaspades-individual-primary-catalog-to-truth-support-convertalis	5.99	0.21	0.230	73740	0	36224	0
truth-metaspades-individual-primary-catalog-to-truth-support-search	1447.04	5.49	184.130	1710112	0	180344	0
truth-metaspades-individual-primary-createdb	9.59	0.16	0.570	39264	8	151224	0
truth-metaspades-mix-primary-catalog-to-truth-recovery-convertalis	5.91	0.24	0.250	79980	0	37088	0
truth-metaspades-mix-primary-catalog-to-truth-recovery-search	1794.53	3.34	225.880	1821472	0	287872	0
truth-metaspades-mix-primary-catalog-to-truth-support-convertalis	6.28	0.35	0.260	79988	0	46808	0
truth-metaspades-mix-primary-catalog-to-truth-support-search	1636.07	3.14	206.040	1797352	0	238920	0
truth-metaspades-mix-primary-createdb	9.78	0.20	0.710	50000	8	199280	0
truth-nr-primary-cluster	925.38	5.50	61.330	1264504	0	826272	0
truth-nr-primary-convert2fasta	0.16	0.11	0.250	132936	0	236688	0
truth-nr-primary-createdb	10.87	0.48	1.800	142528	0	612480	0
truth-nr-primary-createsubdb-headers	0.13	0.07	0.180	94864	0	93856	0
truth-nr-primary-createsubdb	0.14	0.12	0.250	168880	0	182800	0
truth-nr-primary-createtsv	6.11	0.24	0.280	70204	0	97880	0
