Sample	Genome	Mean	Trimmed Mean	Covered Fraction	Relative Abundance (%)	Read Count	ANIr	Length
ERR9765747_clean_R1.fastq.gz	SGB_009	1.82737	1.7337425	0.8130703	0.7145928	12913	0.9970501	1083632
ERR9765747_clean_R1.fastq.gz	SGB_007	4.1284933	4.0341015	0.9743274	1.6144468	178326	0.99750704	6481038
ERR9765747_clean_R1.fastq.gz	SGB_018	3.2547245	3.1127036	0.9162968	1.2727596	8923	0.9979073	418156
ERR9765747_clean_R1.fastq.gz	SGB_008	2.2282674	2.1525285	0.86986864	0.87136364	13594	0.9977233	946551
ERR9765747_clean_R1.fastq.gz	SGB_017	8.691465	8.581231	0.9986653	3.3987966	124846	0.9977403	2151032
ERR9765747_clean_R1.fastq.gz	SGB_003	4.0923314	4.002212	0.9759742	1.6003058	55623	0.9973338	2039351
ERR9765747_clean_R1.fastq.gz	SGB_004	4.589229	4.507736	0.9868255	1.7946175	58525	0.997202	1906417
ERR9765747_clean_R1.fastq.gz	SGB_014	6.880621	6.806742	0.9977832	2.690666	88410	0.9978268	1920309
ERR9765747_clean_R1.fastq.gz	SGB_023	19.863142	19.319485	0.9996685	7.7674794	225302	0.9974686	1698339
ERR9765747_clean_R1.fastq.gz	SGB_021	3.5048525	3.4203057	0.9580235	1.3705722	160790	0.997169	6915991
ERR9765747_clean_R1.fastq.gz	SGB_019	6.9920564	6.916034	0.9982064	2.7342427	81204	0.99780214	1736697
ERR9765747_clean_R1.fastq.gz	SGB_010	18.558691	18.492746	0.9996956	7.2573743	214039	0.9979111	1727858
ERR9765747_clean_R1.fastq.gz	SGB_005	4.797123	4.69945	0.9876239	1.8759143	85181	0.99716675	2653984
ERR9765747_clean_R1.fastq.gz	SGB_002	7.538118	7.3660245	0.99772334	2.9477801	133246	0.9973975	2643322
