Genome	KO	DRAMPresent	METABOLICPresent	METABOLICHitCount	PresencePattern
SGB_001	K01251	true	true	1	Both
SGB_001	K01465	true	true	1	Both
SGB_001	K01480	false	true	1	METABOLIC only
SGB_001	K01491	true	true	1	Both
SGB_001	K01496	true	true	1	Both
SGB_001	K01497	false	true	1	METABOLIC only
SGB_001	K01520	true	true	1	Both
SGB_001	K01586	true	true	1	Both
SGB_001	K01588	false	true	1	METABOLIC only
SGB_001	K01591	true	true	1	Both
SGB_001	K01596	true	true	1	Both
SGB_001	K01599	true	true	1	Both
SGB_001	K01609	true	true	1	Both
SGB_001	K01624	true	true	1	Both
SGB_001	K01626	true	true	1	Both
SGB_001	K01627	true	true	1	Both
SGB_001	K01649	true	true	2	Both
SGB_001	K01657	true	true	1	Both
SGB_001	K01658	true	true	1	Both
SGB_001	K01662	true	true	1	Both
SGB_001	K01663	true	true	1	Both
SGB_001	K01676	true	true	1	Both
SGB_001	K01682	true	true	1	Both
SGB_001	K01687	true	true	1	Both
SGB_001	K01689	true	true	1	Both
SGB_001	K01693	true	true	1	Both
SGB_001	K01695	true	true	1	Both
SGB_001	K01696	true	true	1	Both
SGB_001	K01698	true	true	1	Both
SGB_001	K01703	true	true	1	Both
SGB_001	K01704	true	true	1	Both
SGB_001	K01710	true	true	1	Both
SGB_001	K01714	true	true	1	Both
SGB_001	K01719	false	true	1	METABOLIC only
SGB_001	K01733	true	true	1	Both
SGB_001	K01735	true	true	1	Both
SGB_001	K01736	true	true	1	Both
SGB_001	K01749	true	true	1	Both
SGB_001	K01755	true	true	1	Both
SGB_001	K01756	true	true	1	Both
SGB_001	K01770	false	true	1	METABOLIC only
SGB_001	K01772	true	true	1	Both
SGB_001	K01778	true	true	1	Both
SGB_001	K01783	true	true	1	Both
SGB_001	K01784	true	true	1	Both
SGB_001	K01790	true	true	1	Both
SGB_001	K01803	true	true	2	Both
SGB_001	K01808	true	true	1	Both
SGB_001	K01810	true	true	1	Both
SGB_001	K01814	true	true	1	Both
SGB_001	K01821	true	true	1	Both
SGB_001	K01845	true	true	1	Both
SGB_001	K01847	true	true	1	Both
SGB_001	K01885	true	true	1	Both
SGB_001	K01902	true	true	1	Both
SGB_001	K01903	true	true	1	Both
SGB_001	K01912	true	true	2	Both
SGB_001	K01923	true	true	1	Both
SGB_001	K01933	true	true	1	Both
SGB_001	K01935	true	true	1	Both
SGB_001	K01937	true	true	1	Both
SGB_001	K01939	true	true	2	Both
SGB_001	K01940	true	true	1	Both
SGB_001	K01945	true	true	1	Both
SGB_001	K01951	true	true	1	Both
SGB_001	K01952	true	true	1	Both
SGB_001	K01955	true	true	1	Both
SGB_001	K01956	true	true	1	Both
SGB_001	K01965	true	true	1	Both
SGB_001	K02078	true	true	4	Both
SGB_001	K02108	true	true	1	Both
SGB_001	K02109	true	true	2	Both
SGB_001	K02110	true	true	1	Both
SGB_001	K02111	true	true	1	Both
SGB_001	K02112	true	true	1	Both
SGB_001	K02113	true	true	1	Both
SGB_001	K02114	true	true	1	Both
SGB_001	K02115	true	true	1	Both
SGB_001	K02169	true	true	1	Both
SGB_001	K02188	true	true	1	Both
SGB_001	K02189	true	true	1	Both
SGB_001	K02190	true	true	3	Both
SGB_001	K02224	true	true	2	Both
SGB_001	K02227	true	true	1	Both
SGB_001	K02228	true	true	1	Both
SGB_001	K02231	true	true	1	Both
SGB_001	K02232	true	true	1	Both
SGB_001	K02303	false	true	1	METABOLIC only
SGB_001	K02372	true	true	2	Both
SGB_001	K02492	true	true	1	Both
SGB_001	K02495	true	true	1	Both
SGB_001	K02501	false	true	1	METABOLIC only
SGB_001	K02527	true	true	2	Both
SGB_001	K02535	true	true	1	Both
SGB_001	K02536	true	true	1	Both
SGB_001	K02548	true	true	1	Both
SGB_001	K03179	true	true	1	Both
SGB_001	K03183	true	true	1	Both
SGB_001	K03186	true	true	1	Both
SGB_001	K03270	true	true	1	Both
SGB_001	K03271	true	true	1	Both
SGB_001	K03273	true	true	1	Both
SGB_001	K03274	true	true	1	Both
SGB_001	K03385	true	true	1	Both
SGB_001	K03388	true	true	1	Both
SGB_001	K03389	true	true	1	Both
SGB_001	K03390	true	true	1	Both
SGB_001	K03394	true	true	1	Both
SGB_001	K03465	true	true	1	Both
SGB_001	K03474	true	true	1	Both
SGB_001	K03517	true	true	1	Both
SGB_001	K03525	true	true	1	Both
SGB_001	K03526	true	true	1	Both
SGB_001	K03527	true	true	1	Both
SGB_001	K03585	true	true	2	Both
SGB_001	K03637	true	true	1	Both
SGB_001	K03639	true	true	1	Both
SGB_001	K03737	true	true	1	Both
SGB_001	K03781	true	true	1	Both
SGB_001	K03783	true	true	1	Both
SGB_001	K03787	true	true	1	Both
SGB_001	K03841	true	true	1	Both
SGB_001	K04042	true	true	1	Both
SGB_001	K04486	true	true	1	Both
SGB_001	K04518	false	true	1	METABOLIC only
SGB_001	K05606	true	true	1	Both
SGB_001	K05810	true	true	1	Both
SGB_001	K05826	true	true	1	Both
SGB_001	K05934	true	true	1	Both
SGB_001	K05936	true	true	1	Both
SGB_001	K06001	true	true	1	Both
SGB_001	K06041	true	true	1	Both
SGB_001	K06042	true	true	1	Both
SGB_001	K07260	true	true	1	Both
SGB_001	K07389	true	true	1	Both
SGB_001	K08963	true	true	1	Both
SGB_001	K09007	true	true	1	Both
SGB_001	K09458	true	true	1	Both
SGB_001	K09460	false	true	4	METABOLIC only
SGB_001	K09789	true	true	1	Both
SGB_001	K09835	true	true	1	Both
SGB_001	K09903	true	true	1	Both
SGB_001	K09949	true	true	1	Both
SGB_001	K10206	true	true	1	Both
SGB_001	K10961	false	true	1	METABOLIC only
SGB_001	K10966	false	true	1	METABOLIC only
SGB_001	K11003	true	true	1	Both
SGB_001	K11180	true	true	1	Both
SGB_001	K11181	true	true	1	Both
SGB_001	K11261	true	true	1	Both
SGB_001	K11752	true	true	1	Both
SGB_001	K11754	true	true	1	Both
SGB_001	K11782	true	true	1	Both
SGB_001	K11783	true	true	1	Both
SGB_001	K11784	true	true	1	Both
SGB_001	K11785	true	true	1	Both
SGB_001	K12506	true	true	1	Both
SGB_001	K12630	false	true	4	METABOLIC only
SGB_001	K12634	false	true	1	METABOLIC only
SGB_001	K12901	false	true	1	METABOLIC only
SGB_001	K12902	false	true	3	METABOLIC only
SGB_001	K13038	true	true	1	Both
SGB_001	K13319	false	true	1	METABOLIC only
SGB_001	K13542	true	true	1	Both
SGB_001	K13789	true	true	1	Both
SGB_001	K14127	true	true	1	Both
SGB_001	K14170	true	true	1	Both
SGB_001	K14245	false	true	8	METABOLIC only
SGB_001	K14246	false	true	5	METABOLIC only
SGB_001	K14371	false	true	8	METABOLIC only
SGB_001	K14373	false	true	5	METABOLIC only
SGB_001	K14652	true	true	1	Both
SGB_001	K15633	true	true	1	Both
SGB_001	K15635	true	true	1	Both
SGB_001	K15876	true	true	1	Both
SGB_001	K15967	false	true	1	METABOLIC only
SGB_001	K15971	false	true	1	METABOLIC only
SGB_001	K15988	false	true	9	METABOLIC only
SGB_001	K16000	false	true	9	METABOLIC only
SGB_001	K16001	false	true	10	METABOLIC only
SGB_001	K16002	false	true	9	METABOLIC only
SGB_001	K16003	false	true	8	METABOLIC only
SGB_001	K16007	false	true	9	METABOLIC only
SGB_001	K16176	true	true	1	Both
SGB_001	K17725	false	true	1	METABOLIC only
SGB_001	K17828	true	true	1	Both
SGB_001	K18118	true	true	1	Both
SGB_001	K18138	true	true	1	Both
SGB_001	K18139	true	true	1	Both
SGB_001	K18281	false	true	3	METABOLIC only
SGB_001	K18285	true	true	1	Both
SGB_001	K19221	true	true	1	Both
SGB_001	K19650	false	true	4	METABOLIC only
SGB_001	K19858	false	true	1	METABOLIC only
SGB_001	K20172	false	true	1	METABOLIC only
SGB_001	K20810	true	true	1	Both
SGB_001	K20981	false	true	3	METABOLIC only
SGB_001	K21071	true	true	2	Both
SGB_001	K21179	false	true	2	METABOLIC only
SGB_001	K21221	false	true	5	METABOLIC only
SGB_001	K21225	false	true	6	METABOLIC only
SGB_001	K21254	false	true	8	METABOLIC only
SGB_001	K21271	false	true	2	METABOLIC only
SGB_001	K22227	true	true	1	Both
SGB_001	K22798	false	true	4	METABOLIC only
SGB_001	K23646	false	true	3	METABOLIC only
SGB_001	K24528	false	true	9	METABOLIC only
SGB_001	K24555	false	true	9	METABOLIC only
SGB_001	K24557	false	true	9	METABOLIC only
SGB_001	K24558	false	true	9	METABOLIC only
SGB_001	K24559	false	true	9	METABOLIC only
SGB_001	K24560	false	true	8	METABOLIC only
SGB_001	K24561	false	true	8	METABOLIC only
SGB_001	K24562	false	true	6	METABOLIC only
SGB_001	K24566	false	true	8	METABOLIC only
SGB_001	K24567	false	true	9	METABOLIC only
SGB_001	K24568	false	true	7	METABOLIC only
SGB_001	K24569	false	true	9	METABOLIC only
SGB_001	K24866	true	true	1	Both
SGB_002	K00003	true	true	1	Both
SGB_002	K00012	true	true	1	Both
SGB_002	K00013	true	true	1	Both
SGB_002	K00014	true	true	1	Both
SGB_002	K00018	true	true	1	Both
SGB_002	K00024	true	true	1	Both
SGB_002	K00029	true	true	1	Both
SGB_002	K00031	true	true	1	Both
SGB_002	K00033	true	true	1	Both
SGB_002	K00036	true	true	1	Both
SGB_002	K00052	true	true	1	Both
SGB_002	K00053	true	true	1	Both
SGB_002	K00055	true	true	1	Both
SGB_002	K00059	true	true	1	Both
SGB_002	K00067	true	true	1	Both
SGB_002	K00088	true	true	1	Both
SGB_002	K00097	true	true	1	Both
SGB_002	K00099	true	true	1	Both
SGB_002	K00121	true	true	1	Both
SGB_002	K00133	true	true	1	Both
SGB_002	K00134	true	true	1	Both
SGB_002	K00145	true	true	1	Both
SGB_002	K00147	true	true	1	Both
SGB_002	K00163	true	true	1	Both
SGB_002	K00164	true	true	1	Both
SGB_002	K00208	true	true	1	Both
SGB_002	K00215	true	true	1	Both
SGB_002	K00228	true	true	1	Both
SGB_002	K00239	true	true	1	Both
SGB_002	K00240	true	true	1	Both
SGB_002	K00241	true	true	1	Both
SGB_002	K00242	true	true	1	Both
SGB_002	K00254	true	true	1	Both
SGB_002	K00278	true	true	1	Both
SGB_002	K00282	true	true	1	Both
SGB_002	K00283	true	true	1	Both
SGB_002	K00286	true	true	1	Both
SGB_002	K00287	true	true	1	Both
SGB_002	K00297	true	true	1	Both
SGB_002	K00330	true	true	1	Both
SGB_002	K00331	true	true	1	Both
SGB_002	K00332	true	true	1	Both
SGB_002	K00333	true	true	1	Both
SGB_002	K00334	true	true	1	Both
SGB_002	K00335	true	true	1	Both
SGB_002	K00336	true	true	1	Both
SGB_002	K00337	true	true	1	Both
SGB_002	K00338	true	true	1	Both
SGB_002	K00339	true	true	1	Both
SGB_002	K00340	true	true	1	Both
SGB_002	K00341	true	true	1	Both
SGB_002	K00342	true	true	1	Both
SGB_002	K00343	true	true	1	Both
SGB_002	K00368	true	true	1	Both
SGB_002	K00380	true	true	1	Both
SGB_002	K00381	true	true	1	Both
SGB_002	K00382	true	true	2	Both
SGB_002	K00390	true	true	1	Both
SGB_002	K00411	true	true	1	Both
SGB_002	K00412	true	true	1	Both
SGB_002	K00413	true	true	1	Both
SGB_002	K00505	true	true	1	Both
SGB_002	K00525	true	true	1	Both
SGB_002	K00526	true	true	1	Both
SGB_002	K00529	false	true	1	METABOLIC only
SGB_002	K00537	true	true	1	Both
SGB_002	K00548	true	true	1	Both
SGB_002	K00549	true	true	1	Both
SGB_002	K00560	true	true	1	Both
SGB_002	K00568	true	true	1	Both
SGB_002	K00600	true	true	1	Both
SGB_002	K00602	true	true	1	Both
SGB_002	K00605	true	true	1	Both
SGB_002	K00606	true	true	1	Both
SGB_002	K00609	true	true	1	Both
SGB_002	K00611	true	true	1	Both
SGB_002	K00615	true	true	1	Both
SGB_002	K00616	true	true	1	Both
SGB_002	K00620	true	true	1	Both
SGB_002	K00625	false	true	1	METABOLIC only
SGB_002	K00626	true	true	1	Both
SGB_002	K00627	true	true	1	Both
SGB_002	K00632	true	true	1	Both
SGB_002	K00640	true	true	2	Both
SGB_002	K00641	true	true	1	Both
SGB_002	K00645	true	true	1	Both
SGB_002	K00648	true	true	1	Both
SGB_002	K00652	true	true	1	Both
SGB_002	K00655	true	true	1	Both
SGB_002	K00658	true	true	1	Both
SGB_002	K00674	true	true	1	Both
SGB_002	K00688	true	true	2	Both
SGB_002	K00700	true	true	1	Both
SGB_002	K00703	true	true	1	Both
SGB_002	K00762	true	true	1	Both
SGB_002	K00764	true	true	1	Both
SGB_002	K00765	true	true	1	Both
SGB_002	K00766	true	true	1	Both
SGB_002	K00767	true	true	1	Both
SGB_002	K00789	true	true	1	Both
SGB_002	K00795	true	true	1	Both
SGB_002	K00796	true	true	1	Both
SGB_002	K00797	true	true	1	Both
SGB_002	K00800	true	true	1	Both
SGB_002	K00817	true	true	2	Both
SGB_002	K00820	true	true	1	Both
SGB_002	K00821	true	true	1	Both
SGB_002	K00826	true	true	1	Both
SGB_002	K00830	true	true	1	Both
SGB_002	K00831	true	true	1	Both
SGB_002	K00833	true	true	1	Both
SGB_002	K00845	true	true	1	Both
SGB_002	K00859	true	true	1	Both
SGB_002	K00873	true	true	1	Both
SGB_002	K00891	true	true	1	Both
SGB_002	K00912	true	true	1	Both
SGB_002	K00919	true	true	1	Both
SGB_002	K00925	true	true	1	Both
SGB_002	K00927	true	true	1	Both
SGB_002	K00928	true	true	1	Both
SGB_002	K00930	true	true	1	Both
SGB_002	K00931	true	true	1	Both
SGB_002	K00939	true	true	1	Both
SGB_002	K00940	true	true	1	Both
SGB_002	K00942	true	true	1	Both
SGB_002	K00943	true	true	1	Both
SGB_002	K00948	true	true	1	Both
SGB_002	K00950	true	true	1	Both
SGB_002	K00954	true	true	1	Both
SGB_002	K00956	true	true	1	Both
SGB_002	K00957	true	true	1	Both
SGB_002	K00963	true	true	1	Both
SGB_002	K00969	true	true	1	Both
SGB_002	K00973	true	true	1	Both
SGB_002	K00975	true	true	1	Both
SGB_002	K00979	true	true	1	Both
SGB_002	K00981	true	true	1	Both
SGB_002	K00991	true	true	1	Both
SGB_002	K01007	true	true	1	Both
SGB_002	K01012	true	true	1	Both
SGB_002	K01046	true	true	1	Both
SGB_002	K01057	true	true	1	Both
SGB_002	K01070	true	true	1	Both
SGB_002	K01079	true	true	1	Both
SGB_002	K01092	true	true	2	Both
SGB_002	K01251	true	true	1	Both
SGB_002	K01439	true	true	1	Both
SGB_002	K01465	true	true	1	Both
SGB_002	K01480	true	true	1	Both
SGB_002	K01491	true	true	1	Both
SGB_002	K01496	true	true	1	Both
SGB_002	K01520	true	true	1	Both
SGB_002	K01523	true	true	1	Both
SGB_002	K01581	true	true	1	Both
SGB_002	K01586	true	true	2	Both
SGB_002	K01588	true	true	1	Both
SGB_002	K01589	true	true	1	Both
SGB_002	K01591	true	true	1	Both
SGB_002	K01595	true	true	1	Both
SGB_002	K01599	true	true	1	Both
SGB_002	K01601	true	false	0	DRAM only
SGB_002	K01602	true	true	1	Both
SGB_002	K01609	true	true	1	Both
SGB_002	K01611	true	true	1	Both
SGB_002	K01613	true	true	1	Both
SGB_002	K01624	true	true	1	Both
SGB_002	K01626	true	true	1	Both
SGB_002	K01633	true	true	1	Both
SGB_002	K01647	true	true	1	Both
SGB_002	K01649	true	true	1	Both
SGB_002	K01652	true	true	1	Both
SGB_002	K01653	true	true	1	Both
SGB_002	K01657	true	true	1	Both
SGB_002	K01658	true	true	1	Both
SGB_002	K01662	true	true	1	Both
SGB_002	K01679	true	true	1	Both
SGB_002	K01687	true	true	1	Both
SGB_002	K01689	true	true	1	Both
SGB_002	K01693	true	true	1	Both
SGB_002	K01695	true	true	1	Both
SGB_002	K01696	true	true	1	Both
SGB_002	K01698	true	true	1	Both
SGB_002	K01703	true	true	1	Both
SGB_002	K01704	true	true	1	Both
SGB_002	K01710	true	true	1	Both
SGB_002	K01714	true	true	1	Both
SGB_002	K01719	true	true	1	Both
SGB_002	K01733	true	true	1	Both
SGB_002	K01735	true	true	1	Both
SGB_002	K01736	true	true	1	Both
SGB_002	K01737	true	true	1	Both
SGB_002	K01749	true	true	1	Both
SGB_002	K01754	true	true	1	Both
SGB_002	K01755	true	true	1	Both
SGB_002	K01756	true	true	1	Both
SGB_002	K01770	true	true	1	Both
SGB_002	K01772	true	true	1	Both
SGB_002	K01778	true	true	1	Both
SGB_002	K01783	true	true	1	Both
SGB_002	K01784	true	true	1	Both
SGB_002	K01790	true	true	1	Both
SGB_002	K01803	true	true	1	Both
SGB_002	K01807	true	true	1	Both
SGB_002	K01810	true	true	1	Both
SGB_002	K01814	true	true	1	Both
SGB_002	K01817	true	true	1	Both
SGB_002	K01821	true	true	1	Both
SGB_002	K01834	true	true	2	Both
SGB_002	K01845	true	true	1	Both
SGB_002	K01885	true	true	1	Both
SGB_002	K01895	true	true	1	Both
SGB_002	K01897	true	true	1	Both
SGB_002	K01902	true	true	2	Both
SGB_002	K01903	true	true	2	Both
SGB_002	K01920	true	true	1	Both
SGB_002	K01923	true	true	1	Both
SGB_002	K01933	true	true	1	Both
SGB_002	K01935	true	true	1	Both
SGB_002	K01937	true	true	1	Both
SGB_002	K01939	true	true	1	Both
SGB_002	K01940	true	true	1	Both
SGB_002	K01945	true	true	1	Both
SGB_002	K01951	true	true	1	Both
SGB_002	K01952	true	true	1	Both
SGB_002	K01955	true	true	1	Both
SGB_002	K01956	true	true	1	Both
SGB_002	K01961	true	true	1	Both
SGB_002	K01962	true	true	1	Both
SGB_002	K01963	true	true	1	Both
SGB_002	K02045	true	true	1	Both
SGB_002	K02046	true	true	1	Both
SGB_002	K02047	true	true	1	Both
SGB_002	K02078	true	true	4	Both
SGB_002	K02108	true	true	1	Both
SGB_002	K02109	true	true	1	Both
SGB_002	K02111	true	true	1	Both
SGB_002	K02112	true	true	1	Both
SGB_002	K02113	true	true	1	Both
SGB_002	K02114	true	true	1	Both
SGB_002	K02115	true	true	1	Both
SGB_002	K02160	true	true	1	Both
SGB_002	K02169	true	true	1	Both
SGB_002	K02170	true	true	1	Both
SGB_002	K02204	true	true	1	Both
SGB_002	K02230	true	true	1	Both
SGB_002	K02257	true	true	1	Both
SGB_002	K02258	true	true	1	Both
SGB_002	K02259	true	true	1	Both
SGB_002	K02274	true	true	1	Both
SGB_002	K02275	true	true	1	Both
SGB_002	K02276	true	true	1	Both
SGB_002	K02302	true	true	1	Both
SGB_002	K02303	false	true	1	METABOLIC only
SGB_002	K02305	true	true	1	Both
SGB_002	K02372	true	true	1	Both
SGB_002	K02492	true	true	1	Both
SGB_002	K02496	true	true	1	Both
SGB_002	K02500	true	true	1	Both
SGB_002	K02501	true	true	1	Both
SGB_002	K02502	true	true	1	Both
SGB_002	K03154	true	true	1	Both
SGB_002	K03179	true	true	1	Both
SGB_002	K03181	true	true	1	Both
SGB_002	K03182	true	true	1	Both
SGB_002	K03183	true	true	1	Both
SGB_002	K03185	true	true	1	Both
SGB_002	K03186	true	true	1	Both
SGB_002	K03273	true	true	1	Both
SGB_002	K03431	true	true	1	Both
SGB_002	K03474	true	true	1	Both
SGB_002	K03517	true	true	1	Both
SGB_002	K03525	true	true	1	Both
SGB_002	K03526	true	true	1	Both
SGB_002	K03527	true	true	1	Both
SGB_002	K03585	true	true	3	Both
SGB_002	K03644	true	true	1	Both
SGB_002	K03781	true	true	1	Both
SGB_002	K03786	true	true	1	Both
SGB_002	K03787	true	true	1	Both
SGB_002	K03801	true	true	1	Both
SGB_002	K03841	true	true	1	Both
SGB_002	K04042	true	true	1	Both
SGB_002	K04517	true	true	1	Both
SGB_002	K04518	false	true	1	METABOLIC only
SGB_002	K04561	true	true	1	Both
SGB_002	K05810	true	true	1	Both
SGB_002	K06134	true	true	1	Both
SGB_002	K06445	true	true	1	Both
SGB_002	K07516	true	true	1	Both
SGB_002	K07637	true	true	1	Both
SGB_002	K07660	true	true	1	Both
SGB_002	K08310	true	true	1	Both
SGB_002	K08691	true	true	1	Both
SGB_002	K08692	true	true	1	Both
SGB_002	K08973	true	true	1	Both
SGB_002	K09007	true	true	1	Both
SGB_002	K09458	true	true	1	Both
SGB_002	K09460	false	true	6	METABOLIC only
SGB_002	K09903	true	true	1	Both
SGB_002	K10945	true	false	0	DRAM only
SGB_002	K10946	true	false	0	DRAM only
SGB_002	K10961	false	true	4	METABOLIC only
SGB_002	K10966	false	true	1	METABOLIC only
SGB_002	K11175	true	true	1	Both
SGB_002	K11529	true	true	1	Both
SGB_002	K11752	true	true	1	Both
SGB_002	K11754	true	true	1	Both
SGB_002	K12340	true	true	1	Both
SGB_002	K12630	false	true	1	METABOLIC only
SGB_002	K12634	false	true	2	METABOLIC only
SGB_002	K12901	false	true	1	METABOLIC only
SGB_002	K13038	true	true	1	Both
SGB_002	K13319	false	true	1	METABOLIC only
SGB_002	K13788	true	true	1	Both
SGB_002	K13789	false	true	1	METABOLIC only
SGB_002	K13829	false	true	1	METABOLIC only
SGB_002	K14067	true	true	1	Both
SGB_002	K14155	true	true	1	Both
SGB_002	K14170	true	true	1	Both
SGB_002	K14245	false	true	2	METABOLIC only
SGB_002	K14246	false	true	2	METABOLIC only
SGB_002	K14267	true	true	1	Both
SGB_002	K14371	false	true	3	METABOLIC only
SGB_002	K14373	false	true	2	METABOLIC only
SGB_002	K14652	true	true	1	Both
SGB_002	K14682	true	true	1	Both
SGB_002	K15753	false	true	2	METABOLIC only
SGB_002	K15777	true	true	1	Both
SGB_002	K15778	true	true	1	Both
SGB_002	K15988	false	true	3	METABOLIC only
SGB_002	K16000	false	true	3	METABOLIC only
SGB_002	K16001	false	true	3	METABOLIC only
SGB_002	K16002	false	true	3	METABOLIC only
SGB_002	K16003	false	true	3	METABOLIC only
SGB_002	K16007	false	true	3	METABOLIC only
SGB_002	K17103	true	true	1	Both
SGB_002	K17218	true	false	0	DRAM only
SGB_002	K17725	false	true	1	METABOLIC only
SGB_002	K18094	true	true	1	Both
SGB_002	K18095	true	true	1	Both
SGB_002	K18129	true	true	1	Both
SGB_002	K18138	true	true	4	Both
SGB_002	K18139	true	true	4	Both
SGB_002	K18281	false	true	1	METABOLIC only
SGB_002	K18800	true	true	1	Both
SGB_002	K19221	true	true	1	Both
SGB_002	K19222	true	true	1	Both
SGB_002	K19650	false	true	1	METABOLIC only
SGB_002	K19858	false	true	1	METABOLIC only
SGB_002	K20981	false	true	2	METABOLIC only
SGB_002	K21071	true	true	1	Both
SGB_002	K21221	false	true	3	METABOLIC only
SGB_002	K21225	false	true	5	METABOLIC only
SGB_002	K21254	false	true	2	METABOLIC only
SGB_002	K21271	false	true	1	METABOLIC only
SGB_002	K22323	false	true	1	METABOLIC only
SGB_002	K22451	true	true	1	Both
SGB_002	K22572	false	true	1	METABOLIC only
SGB_002	K22798	false	true	3	METABOLIC only
SGB_002	K23163	true	true	1	Both
SGB_002	K23646	false	true	1	METABOLIC only
SGB_002	K24528	false	true	3	METABOLIC only
SGB_002	K24555	false	true	3	METABOLIC only
SGB_002	K24557	false	true	3	METABOLIC only
SGB_002	K24558	false	true	3	METABOLIC only
SGB_002	K24559	false	true	3	METABOLIC only
SGB_002	K24560	false	true	3	METABOLIC only
SGB_002	K24561	false	true	3	METABOLIC only
SGB_002	K24562	false	true	3	METABOLIC only
SGB_002	K24566	false	true	3	METABOLIC only
SGB_002	K24567	false	true	3	METABOLIC only
