Source	ORF_ID	Contig	Start	Stop	Orientation	EvidenceTier	BestHitARO	ARO	ModelType	IdentityPercent	ReferenceLengthPercent	DrugClasses	ResistanceMechanisms	AMRGeneFamilies	Nudged
USA300 reference	GCA_000013465.1|CP000255.1_2066 # 2197452 # 2200181 # 1 # ID=4_2066;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318	GCA_000013465.1|CP000255.1	2197452	2200181	+	Strict	kdpD	3004047	protein homolog model	98.64	102.71	aminoglycoside antibiotic	antibiotic efflux	kdpDE	
USA300 reference	GCA_000013465.1|CP000255.1_2087 # 2218346 # 2219611 # -1 # ID=4_2087;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363	GCA_000013465.1|CP000255.1	2218346	2219611	-	Strict	Staphylococcus aureus murA with mutation conferring resistance to fosfomycin	3003776	protein variant model	99.29	100.00	phosphonic acid antibiotic	antibiotic target alteration	antibiotic-resistant murA transferase	
USA300 reference	GCA_000013465.1|CP000255.1_2152 # 2299243 # 2300688 # -1 # ID=4_2152;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.335	GCA_000013465.1|CP000255.1	2299243	2300688	-	Strict	Staphylococcus aureus LmrS	3004572	protein homolog model	99.58	100.21	macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_2153 # 2301007 # 2301480 # -1 # ID=4_2153;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.272	GCA_000013465.1|CP000255.1	2301007	2301480	-	Strict	sepA	3007012	protein homolog model	96.82	100.00	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_2154 # 2301579 # 2302922 # -1 # ID=4_2154;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.308	GCA_000013465.1|CP000255.1	2301579	2302922	-	Perfect	sdrM	3007013	protein homolog model	100.0	100.00	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000255.1_2316 # 2452433 # 2452852 # 1 # ID=4_2316;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.290	GCA_000013465.1|CP000255.1	2452433	2452852	+	Perfect	Staphylococcus aureus FosB	3004661	protein homolog model	100.0	100.00	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	
USA300 reference	GCA_000013465.1|CP000257.1_1 # 36 # 1415 # 1 # ID=2_1;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.283	GCA_000013465.1|CP000257.1	36	1415	+	Strict	tet(45)	3003196	protein homolog model	61.22	100.22	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	
USA300 reference	GCA_000013465.1|CP000258.1_3 # 2162 # 5236 # 1 # ID=3_3;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.287	GCA_000013465.1|CP000258.1	2162	5236	+	Strict	Staphylococcus aureus mupA conferring resistance to mupirocin	3000521	protein homolog model	99.61	100.00	mupirocin-like antibiotic	antibiotic target alteration	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	
USA300 reference	GCA_000013465.1|CP000258.1_7 # 7865 # 8599 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.256	GCA_000013465.1|CP000258.1	7865	8599	+	Strict	ErmC	3000250	protein homolog model	99.18	100.00	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	
USA300 reference	GCA_000013465.1|CP000255.1_6 # 7032 # 9695 # 1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.369	GCA_000013465.1|CP000255.1	7032	9695	+	Strict	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	3003296	protein variant model	99.89	100.00	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	
USA300 reference	GCA_000013465.1|CP000255.1_1280 # 1374167 # 1376569 # 1 # ID=4_1280;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.321	GCA_000013465.1|CP000255.1	1374167	1376569	+	Strict	Staphylococcus aureus parC conferring resistance to fluoroquinolones	3003312	protein variant model	99.88	100.00	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant parC	
