Contig	LengthBp	Topology	Genes	PlasmidScore	FDR	Hallmarks	MarkerEnrichment	ConjugationMarkerCount	ConjugationMarkers	geNomadAMRMarkerCount	CARDPrimaryARGCount	CARDPrimaryARGs	EvidenceContext	ClaimCeiling	BestReference	ReferenceLabel	ReferenceSequenceClass	AlignmentIdentity	QueryCoverage	ReferenceSupport
k141_50017	2702	No terminal repeats	6	0.9895	NA	0	4.0550	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003605.1	Plasmid	GenBank-labelled plasmid	0.994025	0.991118	Reference-plasmid supported
k141_5240	1703	No terminal repeats	3	0.9893	NA	2	2.9200	1	F_traH	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	0.953199	0.991192	Reference-plasmid supported
k141_24480	1939	No terminal repeats	3	0.9892	NA	2	2.6289	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	1.000000	0.998969	Reference-plasmid supported
k141_35943	8281	No terminal repeats	12	0.9890	NA	1	4.0195	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.998791	0.998672	Reference-plasmid supported
k141_48779	67932	No terminal repeats	50	0.9886	NA	1	11.7749	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.999248	0.997910	Reference-plasmid supported
k141_11502	2482	No terminal repeats	2	0.9885	NA	2	2.5091	2	F_traG;F_traH	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	0.764443	0.990330	No high-coverage reference support
k141_16735	8639	No terminal repeats	10	0.9880	NA	0	2.5885	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	1.000000	0.999074	Complete-cellular-reference conflict
k141_10878	11465	No terminal repeats	14	0.9879	NA	0	4.0511	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	0.984196	0.998953	Reference-plasmid supported
k141_1229	3235	DTR	5	0.9874	NA	0	1.6664	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	0.952722	0.993818	Reference-plasmid supported
k141_29432	12268	No terminal repeats	17	0.9874	NA	0	3.5929	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.998613	0.998777	Reference-plasmid supported
k141_44621	23371	No terminal repeats	29	0.9871	NA	0	6.6146	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004437.1	Other replicon	Complete cellular replicon	0.992541	0.999144	Complete-cellular-reference conflict
k141_17153	16044	No terminal repeats	10	0.9870	NA	0	0.7932	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	1.000000	0.999688	Reference-plasmid supported
k141_17129	6295	No terminal repeats	7	0.9869	NA	0	2.7173	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	1.000000	0.997935	Reference-plasmid supported
k141_52498	11350	No terminal repeats	14	0.9869	NA	0	4.6319	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.998315	0.836476	Reference-plasmid supported
k141_15510	12738	No terminal repeats	12	0.9867	NA	0	5.5451	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.998586	0.999136	Complete-cellular-reference conflict
k141_24490	1960	No terminal repeats	3	0.9862	NA	2	2.6289	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	1.000000	0.998980	Reference-plasmid supported
k141_7877	2664	No terminal repeats	2	0.9854	NA	1	1.7114	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003605.1	Plasmid	GenBank-labelled plasmid	0.847867	0.994369	No high-coverage reference support
k141_43720	2635	No terminal repeats	4	0.9847	NA	3	4.1744	2	F_traU;F_traW	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	0.947650	0.993169	No high-coverage reference support
k141_3896	1265	No terminal repeats	3	0.9845	NA	2	2.9200	1	F_traH	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	1.000000	0.992095	Reference-plasmid supported
k141_42398	1012	No terminal repeats	1	0.9843	NA	1	0.9020	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000012825.1|CP000139.1	Other replicon	Complete cellular replicon	1.000000	0.967391	Complete-cellular-reference conflict
k141_22266	29290	No terminal repeats	17	0.9837	NA	0	8.7747	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.997130	0.999249	Complete-cellular-reference conflict
k141_53683	2639	No terminal repeats	5	0.9834	NA	0	2.2649	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.986260	0.992800	Complete-cellular-reference conflict
k141_18850	5512	No terminal repeats	7	0.9827	NA	0	2.4168	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.991453	0.997642	Reference-plasmid supported
k141_55467	2623	No terminal repeats	4	0.9826	NA	0	2.6560	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.991706	0.965307	Complete-cellular-reference conflict
k141_23113	1602	No terminal repeats	2	0.9818	NA	2	2.5199	2	F_traF;F_traN	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	0.883737	0.928839	No high-coverage reference support
k141_55345	1020	No terminal repeats	2	0.9817	NA	2	2.5199	2	F_traF;F_traN	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	0.909722	0.988235	No high-coverage reference support
k141_12868	5289	No terminal repeats	6	0.9816	NA	1	6.1144	2	FATA_trsL;MOBP3	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000019085.1|CP000924.1	Other replicon	Complete cellular replicon	1.000000	0.994706	Complete-cellular-reference conflict
k141_7461	32105	DTR	33	0.9810	NA	7	12.3898	6	MOBP1;T_virB1;T_virB10;T_virB8;T_virB9;virb4	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_002952055.1|CP021255.1	Other replicon	Complete cellular replicon	0.999751	0.999034	Complete-cellular-reference conflict
k141_14498	44949	No terminal repeats	46	0.9800	NA	2	1.8657	2	B_traF;B_traL	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000010505.1|AP009380.1	Other replicon	Complete cellular replicon	1.000000	0.999622	Complete-cellular-reference conflict
k141_41876	3323	No terminal repeats	3	0.9799	NA	0	2.9918	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.981499	0.975925	Complete-cellular-reference conflict
k141_48695	20946	No terminal repeats	29	0.9792	NA	0	1.8148	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	1.000000	0.999045	Reference-plasmid supported
k141_14607	4001	No terminal repeats	6	0.9784	NA	0	1.5869	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.999500	0.999250	Reference-plasmid supported
k141_11920	13398	No terminal repeats	11	0.9783	NA	1	1.6043	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	1.000000	0.744365	No high-coverage reference support
k141_41078	3012	No terminal repeats	3	0.9782	NA	0	1.7183	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.999335	0.998672	Reference-plasmid supported
k141_16483	2546	No terminal repeats	7	0.9781	NA	1	5.7798	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003604.1	Plasmid	GenBank-labelled plasmid	1.000000	0.969364	Reference-plasmid supported
k141_41583	5251	No terminal repeats	3	0.9779	NA	1	1.6297	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	1.000000	0.024186	No high-coverage reference support
k141_13432	1878	No terminal repeats	3	0.9775	NA	1	2.8588	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003604.1	Plasmid	GenBank-labelled plasmid	0.979657	0.994675	Reference-plasmid supported
k141_29353	16240	No terminal repeats	12	0.9772	NA	0	3.5719	0		1	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.975891	0.998645	Complete-cellular-reference conflict
k141_39726	17519	No terminal repeats	16	0.9764	NA	0	2.9902	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.998857	0.999144	Reference-plasmid supported
k141_43086	1164	No terminal repeats	3	0.9757	NA	2	2.9200	1	F_traH	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	1.000000	0.978522	Reference-plasmid supported
k141_53625	9881	No terminal repeats	7	0.9756	NA	0	1.7183	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.991180	0.998280	Complete-cellular-reference conflict
k141_33557	1285	No terminal repeats	3	0.9755	NA	1	3.0498	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|AP003605.1	Plasmid	GenBank-labelled plasmid	0.982414	0.973541	Reference-plasmid supported
k141_3518	11648	No terminal repeats	9	0.9754	NA	0	1.6056	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_003019295.1|CP028101.1	Other replicon	Complete cellular replicon	0.996023	0.993046	Complete-cellular-reference conflict
k141_18202	3265	No terminal repeats	3	0.9754	NA	0	1.6210	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	0.946467	0.984074	No high-coverage reference support
k141_16538	8805	No terminal repeats	12	0.9751	NA	0	2.1987	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004437.1	Other replicon	Complete cellular replicon	0.997726	0.998751	Complete-cellular-reference conflict
k141_5378	1257	No terminal repeats	2	0.9747	NA	1	0.9631	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	0.959200	0.994431	Reference-plasmid supported
k141_52522	3631	No terminal repeats	4	0.9736	NA	0	0.4424	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.996312	0.896172	Complete-cellular-reference conflict
k141_21837	17629	No terminal repeats	16	0.9725	NA	0	1.7499	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	1.000000	0.690170	No high-coverage reference support
k141_58035	8414	DTR	8	0.9713	NA	0	1.7183	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000022325.1|CP001394.1	Plasmid	GenBank-labelled plasmid	0.997825	0.981222	Reference-plasmid supported
k141_41601	2876	No terminal repeats	4	0.9711	NA	0	1.9636	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.974576	0.984701	Complete-cellular-reference conflict
k141_56442	2496	No terminal repeats	4	0.9709	NA	2	2.9681	1	F_traW	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	1.000000	0.991186	Reference-plasmid supported
k141_14052	4942	No terminal repeats	6	0.9693	NA	1	0.7495	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	1.000000	0.997774	Reference-plasmid supported
k141_26587	3614	No terminal repeats	3	0.9676	NA	1	2.3060	2	C_alr7212;t4cp1	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|AP003602.1	Plasmid	GenBank-labelled plasmid	0.990749	0.986995	Reference-plasmid supported
k141_52057	1055	No terminal repeats	1	0.9649	NA	1	1.3505	1	t4cp2	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	0.841406	0.998104	No high-coverage reference support
k141_5877	1345	No terminal repeats	4	0.9647	NA	1	2.9469	1	G_tfc2	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.950272	0.956877	Complete-cellular-reference conflict
k141_20762	1274	No terminal repeats	2	0.9644	NA	1	1.7183	1	MOBP1	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000013645.1|CP000270.1	Other replicon	Complete cellular replicon	0.984968	0.992151	Complete-cellular-reference conflict
k141_18262	9157	No terminal repeats	8	0.9641	NA	0	2.1140	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	1.000000	0.998143	Reference-plasmid supported
k141_21851	1041	No terminal repeats	2	0.9640	NA	1	2.5661	2	C_alr7211;C_alr7212	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|AP003603.1	Plasmid	GenBank-labelled plasmid	1.000000	0.984630	Reference-plasmid supported
k141_10694	1005	No terminal repeats	1	0.9635	NA	1	1.2498	1	C_alr7210	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|AP003603.1	Plasmid	GenBank-labelled plasmid	1.000000	0.991045	Reference-plasmid supported
k141_32674	5398	DTR	2	0.9627	NA	0	0.2023	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000020465.1|CP001097.1	Other replicon	Complete cellular replicon	0.941953	0.995739	No high-coverage reference support
k141_37589	3336	No terminal repeats	5	0.9617	NA	0	1.0313	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.989192	0.998501	Complete-cellular-reference conflict
k141_34848	4245	No terminal repeats	8	0.9612	NA	0	2.9872	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.997171	0.999293	Complete-cellular-reference conflict
k141_16661	3778	No terminal repeats	6	0.9611	NA	0	3.0590	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.981052	0.991795	Complete-cellular-reference conflict
k141_52835	2640	No terminal repeats	4	0.9609	NA	0	1.7183	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001252.1	Other replicon	Complete cellular replicon	0.850418	0.996970	No high-coverage reference support
k141_33824	1712	No terminal repeats	3	0.9601	NA	2	2.5463	2	F_traU;F_trbC	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	0.960772	0.967874	Reference-plasmid supported
k141_56925	1423	No terminal repeats	3	0.9592	NA	1	1.3754	1	MOBB	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000012825.1|CP000139.1	Other replicon	Complete cellular replicon	1.000000	0.982431	Complete-cellular-reference conflict
k141_4553	3085	No terminal repeats	7	0.9581	NA	0	3.4024	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	1.000000	0.992220	Reference-plasmid supported
k141_22686	2570	No terminal repeats	4	0.9574	NA	0	0.7326	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	1.000000	0.997665	Complete-cellular-reference conflict
k141_7505	3150	No terminal repeats	4	0.9556	NA	0	1.6689	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000013645.1|CP000270.1	Other replicon	Complete cellular replicon	1.000000	0.933016	Complete-cellular-reference conflict
k141_28601	3489	No terminal repeats	4	0.9556	NA	0	1.2633	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.992172	0.988535	Complete-cellular-reference conflict
k141_45250	2874	No terminal repeats	2	0.9545	NA	0	1.1292	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000753.1	Other replicon	Complete cellular replicon	0.993168	0.967641	Complete-cellular-reference conflict
k141_15759	45940	No terminal repeats	44	0.9539	NA	1	12.8820	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009145.1|AL954747.1	Other replicon	Complete cellular replicon	0.999543	0.999543	Complete-cellular-reference conflict
k141_39464	2853	No terminal repeats	3	0.9538	NA	0	1.7152	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000013645.1|CP000271.1	Other replicon	Complete cellular replicon	0.992196	0.943218	Complete-cellular-reference conflict
k141_17354	6048	No terminal repeats	7	0.9537	NA	0	1.9412	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.971751	0.995040	Complete-cellular-reference conflict
k141_1665	4814	No terminal repeats	8	0.9536	NA	0	2.4972	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.992994	0.800582	Complete-cellular-reference conflict
k141_51890	6410	No terminal repeats	10	0.9517	NA	0	4.2339	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.967459	0.997192	Complete-cellular-reference conflict
k141_33279	3189	No terminal repeats	3	0.9501	NA	0	0.9441	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000016125.1|CP000609.1	Other replicon	Complete cellular replicon	0.996847	0.994669	Complete-cellular-reference conflict
k141_8289	3751	No terminal repeats	5	0.9497	NA	0	1.6449	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.996235	0.991202	Complete-cellular-reference conflict
k141_8645	2832	No terminal repeats	4	0.9494	NA	0	0.7811	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.992545	0.994703	Complete-cellular-reference conflict
k141_18874	7057	No terminal repeats	3	0.9493	NA	0	1.6482	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	1.000000	0.997024	Reference-plasmid supported
k141_58027	53049	DTR	69	0.9489	NA	7	5.3746	6	F_traB;F_traF;F_traG;F_traU;F_traV	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021565.1|CP001231.1	Plasmid	GenBank-labelled plasmid	0.998310	0.701370	No high-coverage reference support
k141_8101	5116	No terminal repeats	9	0.9487	NA	1	1.9659	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000020465.1|CP001097.1	Other replicon	Complete cellular replicon	0.980607	0.997850	Complete-cellular-reference conflict
k141_25764	2797	No terminal repeats	4	0.9486	NA	0	1.0369	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000007565.2|AE015451.2	Other replicon	Complete cellular replicon	0.990701	0.999642	Complete-cellular-reference conflict
k141_7399	2638	No terminal repeats	2	0.9482	NA	1	1.3074	1	F_traG	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	0.886792	0.984458	No high-coverage reference support
k141_35857	3271	No terminal repeats	2	0.9472	NA	0	1.5917	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.991432	0.999083	Complete-cellular-reference conflict
