Source	ORF_ID	Contig	Start	Stop	Orientation	EvidenceTier	BestHitARO	ARO	ModelType	IdentityPercent	ReferenceLengthPercent	DrugClasses	ResistanceMechanisms	AMRGeneFamilies	Nudged
MEGAHIT co-assembly	k141_38405_9 # 7557 # 7883 # -1 # ID=8613_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.511	k141_38405	7557	7883	-	Strict	qacG	3007015	protein homolog model	46.53	100.93	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
MEGAHIT co-assembly	k141_53060_22 # 17890 # 19266 # -1 # ID=13400_22;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.346	k141_53060	17890	19266	-	Strict	vanW gene in vanI cluster	3003724	protein homolog model	30.45	122.79	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_27877_67 # 72487 # 73581 # 1 # ID=13404_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.378	k141_27877	72487	73581	+	Strict	vanG	3002909	protein homolog model	45.76	104.30	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	
MEGAHIT co-assembly	k141_16811_3 # 1674 # 3734 # -1 # ID=11062_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.517	k141_16811	1674	3734	-	Strict	vanW gene in vanI cluster	3003724	protein homolog model	32.94	183.91	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_35574_2 # 901 # 1221 # -1 # ID=11895_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343	k141_35574	901	1221	-	Strict	qacJ	3007014	protein homolog model	40.21	99.07	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	
MEGAHIT co-assembly	k141_10342_2 # 1197 # 2261 # -1 # ID=13207_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.267	k141_10342	1197	2261	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	33.06	49.72	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_43066_12 # 10214 # 11380 # -1 # ID=12811_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.324	k141_43066	10214	11380	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	38.63	54.49	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_10473_35 # 29728 # 31170 # -1 # ID=13481_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.506	k141_10473	29728	31170	-	Strict	vanW gene in vanI cluster	3003724	protein homolog model	32.5	128.69	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_31587_413 # 384195 # 385274 # -1 # ID=14715_413;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.350	k141_31587	384195	385274	-	Strict	vanT gene in vanG cluster	3002972	protein homolog model	37.03	50.42	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	
MEGAHIT co-assembly	k141_17428_6 # 6695 # 7543 # 1 # ID=14990_6;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=10bp;gc_cont=0.532	k141_17428	6695	7543	+	Strict	vanW gene in vanG cluster	3002965	protein homolog model	42.51	100.36	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	
MEGAHIT co-assembly	k141_24474_2 # 1186 # 1383 # 1 # ID=16169_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.429	k141_24474	1186	1383	+	Strict	rsmA	3005069	protein homolog model	86.67	106.56	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	
MEGAHIT co-assembly	k141_10785_1 # 1 # 360 # 1 # ID=15164_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.594	k141_10785	1	360	+	Strict	FosA8	3007371	protein homolog model	59.66	84.40	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	
MEGAHIT co-assembly	k141_46752_16 # 18622 # 21780 # 1 # ID=16744_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555	k141_46752	18622	21780	+	Strict	adeF	3000777	protein homolog model	50.24	99.34	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	
MEGAHIT co-assembly	k141_7036_1 # 1 # 879 # -1 # ID=15715_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.477	k141_7036	1	879	-	Strict	OXA-551	3005775	protein homolog model	97.61	99.32	penicillin beta-lactam	antibiotic inactivation	OXA beta-lactamase; OXA-548-like beta-lactamase	
MEGAHIT co-assembly	k141_32648_91 # 93613 # 95082 # -1 # ID=17951_91;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.318	k141_32648	93613	95082	-	Strict	vanW gene in vanI cluster	3003724	protein homolog model	39.29	131.10	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	
