SeqName	Assembly	ReferenceLabel	ReferenceSequenceClass	OriginalHeader	LengthBp	SequenceSHA256
GCA_000011065.1|AY171301.1	GCA_000011065.1	Plasmid	GenBank-labelled plasmid	GCA_000011065.1|AY171301.1 Bacteroides thetaiotaomicron VPI-5482 plasmid p5482, complete sequence	33038	9d13ea8eea81ff2ccd735b62ce2fe4bdee8050a260e23f283be5872a538a645a
GCA_000012825.1|CP000139.1	GCA_000012825.1	Other replicon	Complete cellular replicon	GCA_000012825.1|CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome	5163189	6e7131a684c886a6c68bb1100e561a81e22678fc2c4d4a26d575e1ec5088a6ea
GCA_000010425.1|AP009256.1	GCA_000010425.1	Other replicon	Complete cellular replicon	GCA_000010425.1|AP009256.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome	2089645	7c318c6433d29bfa424c844dd063527d960d767602f3022b4938777195b7fab0
GCA_000195675.1|BX470250.1	GCA_000195675.1	Other replicon	Complete cellular replicon	GCA_000195675.1|BX470250.1 Bordetella bronchiseptica strain RB50, complete genome	5339179	ee28b8d1c8ad2230fd6b478d33f1fb8181aa5ed77d335219f236c7bab209f151
GCA_000022325.1|CP001393.1	GCA_000022325.1	Other replicon	Complete cellular replicon	GCA_000022325.1|CP001393.1 Caldicellulosiruptor bescii DSM 6725, complete genome	2919718	a9061783fbf1ef440dbbc4f1b00243fa8a1ef0325c59e68c76de48ecc20fac6a
GCA_000022325.1|CP001394.1	GCA_000022325.1	Plasmid	GenBank-labelled plasmid	GCA_000022325.1|CP001394.1 Caldicellulosiruptor bescii DSM 6725 plasmid pATHE01, complete sequence	8291	84334a76842e37f56c1d385691672cb68c67021efb5dd9ce24d66d683cad9f63
GCA_000022325.1|CP001395.1	GCA_000022325.1	Plasmid	GenBank-labelled plasmid	GCA_000022325.1|CP001395.1 Caldicellulosiruptor bescii DSM 6725 plasmid pATHE02, complete sequence	3653	bec463870340fdb5aec8a9692326a93a151805cc282e0eb62a599b9deb2c5326
GCA_000016545.1|CP000679.1	GCA_000016545.1	Other replicon	Complete cellular replicon	GCA_000016545.1|CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome	2970275	bcba290bf44e521e75d61f3c66baabc6efcb8dadd6ff8c710fda07273519ff69
GCA_000020465.1|CP001097.1	GCA_000020465.1	Other replicon	Complete cellular replicon	GCA_000020465.1|CP001097.1 Chlorobium limicola DSM 245, complete genome	2763181	863fee41955ee91e28af0a1dbf81487ef55fdc08e1279b1c4db43a62dac395bc
GCA_000015125.1|CP000492.1	GCA_000015125.1	Other replicon	Complete cellular replicon	GCA_000015125.1|CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome	3133902	e1347cf70875b854ff09906dce654ad06962248eba2790d6f588cba7dd636018
GCA_000016085.1|CP000607.1	GCA_000016085.1	Other replicon	Complete cellular replicon	GCA_000016085.1|CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome	1966858	bd4aa8daeff063a2724d7bf4a42e55a435ef06c14e32b3d33f22023cc1eb7fbb
GCA_000006985.1|AE006470.1	GCA_000006985.1	Other replicon	Complete cellular replicon	GCA_000006985.1|AE006470.1 Chlorobium tepidum TLS, complete genome	2154946	fbc3edfddec4c68fa9d0878a4527ad0a6601100c20e45b7b37432b37db3b3b03
GCA_000018865.1|CP000909.1	GCA_000018865.1	Other replicon	Complete cellular replicon	GCA_000018865.1|CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome	5258541	ff933eee5c1fa719ea4eeb0c96e4c8599a58124f27ade34337fb2ccdb804f137
GCA_000767745.1|CP006777.1	GCA_000767745.1	Other replicon	Complete cellular replicon	GCA_000767745.1|CP006777.1 Clostridium beijerinckii ATCC 35702, complete genome	5999050	e805d64b9eb4edec37e3dad3c4b2526d5f9b871b81f496f0989d65ca9886fb93
GCA_000008565.1|AE000513.1	GCA_000008565.1	Other replicon	Complete cellular replicon	GCA_000008565.1|AE000513.1 Deinococcus radiodurans R1 chromosome 1, complete sequence	2648638	9cd85c2d4f9d3af72d384d26924c888956218279c94452b3353d058f946a64b2
GCA_000008565.1|AE001825.1	GCA_000008565.1	Other replicon	Complete cellular replicon	GCA_000008565.1|AE001825.1 Deinococcus radiodurans R1 chromosome 2, complete sequence	412348	ddac00d3b17cf19a5ac1637f616d2184cb8887fbde5931a7ed3d6681f4fd2b4a
GCA_000008565.1|AE001827.1	GCA_000008565.1	Plasmid	GenBank-labelled plasmid	GCA_000008565.1|AE001827.1 Deinococcus radiodurans R1 plasmid CP1, complete sequence	45704	a491eecbcc9e959998c8f782cf6603ea80b53b55575f9fb63af59a7077f92911
GCA_000008565.1|AE001826.1	GCA_000008565.1	Plasmid	GenBank-labelled plasmid	GCA_000008565.1|AE001826.1 Deinococcus radiodurans R1 plasmid MP1, complete sequence	177466	74c52424004aa250630bbb76e5c8a96f3debddc765f938f1b20a96164b425128
GCA_000243155.3|CP003348.1	GCA_000243155.3	Other replicon	Complete cellular replicon	GCA_000243155.3|CP003348.1 Desulfitobacterium dehalogenans ATCC 51507, complete genome	4321753	38fc5f6afab4d8f7a00a9fb3423359293479b4a91956553be1219a09e562e36d
GCA_002952055.1|CP021255.1	GCA_002952055.1	Other replicon	Complete cellular replicon	GCA_002952055.1|CP021255.1 Desulfobulbus sp. ORNL chromosome, complete genome	2774417	08e480fb65a2c87e9f32718ecbf9e4080ea343ff55154f87a1202192301f453e
GCA_000189295.2|NC_016803.1	GCA_000189295.2	Other replicon	Complete cellular replicon	GCA_000189295.2|NC_016803.1 Desulfovibrio desulfuricans ND132, complete sequence	3858580	4bbabb2df6da45e77241fc9d685760527fd36ea46326c0bfb671680e7efc5c68
GCA_000156375.1|DS996397.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442 genomic scaffold, whole genome shotgun sequence	538	84383440a66884988ebd5b81e399c96b53943471c789376ae7ca71effb79c906
GCA_000156375.1|DS996396.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996396.1 Desulfovibrio piger ATCC 29098 Scfld439 genomic scaffold, whole genome shotgun sequence	522	8c502adc101577270987759a2ce9b50a200fde42a868a8fd0e31aff50300e966
GCA_000156375.1|DS996395.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996395.1 Desulfovibrio piger ATCC 29098 Scfld438 genomic scaffold, whole genome shotgun sequence	522	8501898ed58032c875442cd33e3fbaf646d9ab8eba7f5c50c8c477dab1351e67
GCA_000156375.1|DS996394.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996394.1 Desulfovibrio piger ATCC 29098 Scfld434 genomic scaffold, whole genome shotgun sequence	1144	347d38a2424afb80645217c5dcea1dcfa55d146f88f6f83f14604589e01aed53
GCA_000156375.1|DS996393.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996393.1 Desulfovibrio piger ATCC 29098 Scfld433 genomic scaffold, whole genome shotgun sequence	546	e0701097016d2e5765c11e2a50a4cbc3040f545e22f8295e2ebeb3254c24621f
GCA_000156375.1|DS996392.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996392.1 Desulfovibrio piger ATCC 29098 Scfld432 genomic scaffold, whole genome shotgun sequence	576	fd602a22014a7105402954346fa549e6bb15933573f5dc0ac5d7f5c6a0bb40a1
GCA_000156375.1|DS996391.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996391.1 Desulfovibrio piger ATCC 29098 Scfld430 genomic scaffold, whole genome shotgun sequence	864	12bae99c99424e4e2c8d98bc2069081770cbed0a04698f3cfce1bcabeaa69393
GCA_000156375.1|DS996390.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996390.1 Desulfovibrio piger ATCC 29098 Scfld429 genomic scaffold, whole genome shotgun sequence	751	4853b8ece1086d473ed6138cdc48b12a17c58c6bcb49eba9c497475e0a4cb5be
GCA_000156375.1|DS996389.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996389.1 Desulfovibrio piger ATCC 29098 Scfld427 genomic scaffold, whole genome shotgun sequence	1062	4a65df911602589151bbaffb0641162a19e9fa6b3ebc50b747b34ba7cff24864
GCA_000156375.1|DS996388.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996388.1 Desulfovibrio piger ATCC 29098 Scfld426 genomic scaffold, whole genome shotgun sequence	1143	dcf5986bde62c7664d819e49821bfa08c46f132d9cadc9c144f767c02e76afae
GCA_000156375.1|DS996387.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996387.1 Desulfovibrio piger ATCC 29098 Scfld425 genomic scaffold, whole genome shotgun sequence	877	4819f8183918404943010bd4f3e76931bb616ff288d579b0760b3b92899bd29f
GCA_000156375.1|DS996386.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996386.1 Desulfovibrio piger ATCC 29098 Scfld424 genomic scaffold, whole genome shotgun sequence	877	a23b8fb0ef511d133c62dbcd826dfdf96f343dff515f8eecc4d2f0b0c3c61b2b
GCA_000156375.1|DS996385.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996385.1 Desulfovibrio piger ATCC 29098 Scfld423 genomic scaffold, whole genome shotgun sequence	890	91266a7b2a292ca5a8f4805e812a6b7e0055d2f8fdb38e4975654fe73c657bcf
GCA_000156375.1|DS996384.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996384.1 Desulfovibrio piger ATCC 29098 Scfld422 genomic scaffold, whole genome shotgun sequence	673	004c3ebd5bd21f1f0cbf30ef1712e58bf2843969dc28b503e2413ea2ab95868a
GCA_000156375.1|DS996383.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996383.1 Desulfovibrio piger ATCC 29098 Scfld421 genomic scaffold, whole genome shotgun sequence	675	0f62fa8efe344fbdf272aa11c00f329521b07d46b3446ff2ac17a5b1b9336e54
GCA_000156375.1|DS996382.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996382.1 Desulfovibrio piger ATCC 29098 Scfld420 genomic scaffold, whole genome shotgun sequence	733	1e50e8cdff20d3cfc57ce6a670e34fe40a120814c736f32ef5457413f6e9994d
GCA_000156375.1|DS996381.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996381.1 Desulfovibrio piger ATCC 29098 Scfld419 genomic scaffold, whole genome shotgun sequence	828	d6bbb4851913e592c02e06d2aa0e9e273216706316d65b49e62f25f2042545f9
GCA_000156375.1|DS996380.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996380.1 Desulfovibrio piger ATCC 29098 Scfld418 genomic scaffold, whole genome shotgun sequence	789	e569072b2b2265e37a4da8c7dac7bcd2d5d72ab79c889b20ebceb1178a62ecfc
GCA_000156375.1|DS996379.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996379.1 Desulfovibrio piger ATCC 29098 Scfld416 genomic scaffold, whole genome shotgun sequence	1205	f6c8043e2dde21ca8e16859bbc8b94394026505a38d173ea9f826e3d4a3bd014
GCA_000156375.1|DS996378.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996378.1 Desulfovibrio piger ATCC 29098 Scfld415 genomic scaffold, whole genome shotgun sequence	1064	dcceed2e4638536f02345b13ca526f5b008c7d794d489d3ffe317c37687b2890
GCA_000156375.1|DS996377.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996377.1 Desulfovibrio piger ATCC 29098 Scfld412 genomic scaffold, whole genome shotgun sequence	834	f740ccd07d970c105ab7431a4cf446103010521592d9ae69a974a18e0ffe0300
GCA_000156375.1|DS996376.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996376.1 Desulfovibrio piger ATCC 29098 Scfld411 genomic scaffold, whole genome shotgun sequence	1005	ce81eade22d81db7223b6d59b9c8b44f5b522b0ab4882a6a3fa706855508b1b0
GCA_000156375.1|DS996375.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996375.1 Desulfovibrio piger ATCC 29098 Scfld405 genomic scaffold, whole genome shotgun sequence	632	1fb732dde5a0e6caf02c08c86092aa3a241653ef530173c998a73b72acd44c94
GCA_000156375.1|DS996374.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996374.1 Desulfovibrio piger ATCC 29098 Scfld403 genomic scaffold, whole genome shotgun sequence	826	7bfb3b3d2c3e61683175e899e300a2ade5b06bf4752aa1644b986c57e3b17a4e
GCA_000156375.1|DS996373.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996373.1 Desulfovibrio piger ATCC 29098 Scfld402 genomic scaffold, whole genome shotgun sequence	1013	b8ac9b047cbf7a7c5f0172a07d4d1e59673c916ebf145b6aea73ccd3aa2d5deb
GCA_000156375.1|DS996372.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996372.1 Desulfovibrio piger ATCC 29098 Scfld399 genomic scaffold, whole genome shotgun sequence	1066	7d2978b4c12c4fe8cb5af14393d3e41aafd263a12ac35273b8c4be73af2750e9
GCA_000156375.1|DS996371.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996371.1 Desulfovibrio piger ATCC 29098 Scfld391 genomic scaffold, whole genome shotgun sequence	629	3f110e4bd00325ff4c542a38196c8712e5b28a55fe79c12b816b831c6a185f3a
GCA_000156375.1|DS996370.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996370.1 Desulfovibrio piger ATCC 29098 Scfld390 genomic scaffold, whole genome shotgun sequence	629	512f9c09e5d4e8e7de75a9523f6938f0152e9537b814ebca221e5546704fe843
GCA_000156375.1|DS996369.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996369.1 Desulfovibrio piger ATCC 29098 Scfld387 genomic scaffold, whole genome shotgun sequence	908	65e642bdac2a9794831bb9ce3c75dd87bd3a85a9d9a7b2db0e0545924f783298
GCA_000156375.1|DS996368.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996368.1 Desulfovibrio piger ATCC 29098 Scfld201 genomic scaffold, whole genome shotgun sequence	800	91359b0467275b049475732b45a8c4f020d500f047d3a46f0b12e9d3c70bf2c2
GCA_000156375.1|DS996367.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996367.1 Desulfovibrio piger ATCC 29098 Scfld18 genomic scaffold, whole genome shotgun sequence	602	8c283e9fe7ea59e132515f5ee3ef56a51f90d206e92068d68617755e68179f38
GCA_000156375.1|DS996366.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996366.1 Desulfovibrio piger ATCC 29098 Scfld15 genomic scaffold, whole genome shotgun sequence	810	4ea9a4effc7cb11bc0797f58f1cfa570799e356aa1faffe4c9bb4a19ca40e86c
GCA_000156375.1|DS996365.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996365.1 Desulfovibrio piger ATCC 29098 Scfld14 genomic scaffold, whole genome shotgun sequence	1707	658766659dad7b441cbfa183d617b74dc99009b1f24814ae4fd552182c781af2
GCA_000156375.1|DS996364.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996364.1 Desulfovibrio piger ATCC 29098 Scfld13 genomic scaffold, whole genome shotgun sequence	1515	4f618e788f09b8ccb945b0ad9b8520aecb89b4599a6d2ddc90a753b5c8b54986
GCA_000156375.1|DS996363.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996363.1 Desulfovibrio piger ATCC 29098 Scfld12 genomic scaffold, whole genome shotgun sequence	3744	ef66a31a9d3ae21704cab073bed3c6b7a4d0358d57f9500de956098e7b5897cd
GCA_000156375.1|DS996362.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996362.1 Desulfovibrio piger ATCC 29098 Scfld11 genomic scaffold, whole genome shotgun sequence	2252	ca1967c558665fdc0b315df2990219f0d70df6b065304e6892db8426f1f8b3aa
GCA_000156375.1|DS996361.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996361.1 Desulfovibrio piger ATCC 29098 Scfld10 genomic scaffold, whole genome shotgun sequence	157119	65e20397db3a939e2fbc3c3b044d657f52f572608ee37f98b7bcbcca19a564f2
GCA_000156375.1|DS996360.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996360.1 Desulfovibrio piger ATCC 29098 Scfld9 genomic scaffold, whole genome shotgun sequence	226240	fcadeaefa27a17ab4643ef04cfa6bd0f86d61dd916cf36bd780a3dd37afc7a33
GCA_000156375.1|DS996359.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996359.1 Desulfovibrio piger ATCC 29098 Scfld8 genomic scaffold, whole genome shotgun sequence	949521	8f8aca04068ca868d34ba5cd60d965353182b5e606a21e27638271791faf7e06
GCA_000156375.1|DS996358.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996358.1 Desulfovibrio piger ATCC 29098 Scfld7 genomic scaffold, whole genome shotgun sequence	32781	bfe0126ef7d1cf19d28818c918ea057b0314901926e58579072f4a5a6dae67a3
GCA_000156375.1|DS996357.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996357.1 Desulfovibrio piger ATCC 29098 Scfld6 genomic scaffold, whole genome shotgun sequence	79727	4eb2f8a016f72baec1bcb9d41546adc2bdbf8c48981281cf0c7e672ab5294f68
GCA_000156375.1|DS996356.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996356.1 Desulfovibrio piger ATCC 29098 Scfld5 genomic scaffold, whole genome shotgun sequence	144000	6ef63080fec5803b15031a0cd2a830abe5c76b036e2352a33bd24eebe9aa6e2b
GCA_000156375.1|DS996355.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996355.1 Desulfovibrio piger ATCC 29098 Scfld4 genomic scaffold, whole genome shotgun sequence	492021	b6f907c9cc1994971eb0079ce970315ab8e1b0ed7ff3d293dec8b5465e6e4037
GCA_000156375.1|DS996354.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996354.1 Desulfovibrio piger ATCC 29098 Scfld3 genomic scaffold, whole genome shotgun sequence	239503	4fcd8fc78eb0410b5f400a3faf9c94c49c93a72ee2ab761ecd5cc9a888944afc
GCA_000156375.1|DS996353.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996353.1 Desulfovibrio piger ATCC 29098 Scfld2 genomic scaffold, whole genome shotgun sequence	121186	65356a6462f550126948e56bf023c322cb44e76142294c123f5cb016b858d9e0
GCA_000156375.1|DS996352.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996352.1 Desulfovibrio piger ATCC 29098 Scfld1 genomic scaffold, whole genome shotgun sequence	6867	ddc6e40e821ab3df18de5dce7c2b57b7b50988137fd598f911e29dd1cb18e455
GCA_000156375.1|DS996351.1	GCA_000156375.1	Other replicon	Draft scaffold/other sequence	GCA_000156375.1|DS996351.1 Desulfovibrio piger ATCC 29098 Scfld0 genomic scaffold, whole genome shotgun sequence	383000	85cb0e20d297aacb7d2cb927c19a5019f3c3fa85ded14be2e03757e96edd77e2
GCA_000195755.1|NC_002937.3	GCA_000195755.1	Other replicon	Complete cellular replicon	GCA_000195755.1|NC_002937.3 Desulfovibrio vulgaris str. Hildenborough chromosome, complete genome	3570858	332e587f9761559df60581418aece465e71d15d0b7bf603d7e2e67106f59c58e
GCA_000195755.1|NC_005863.1	GCA_000195755.1	Plasmid	GenBank-labelled plasmid	GCA_000195755.1|NC_005863.1 Desulfovibrio vulgaris str. Hildenborough plasmid pDV, complete sequence	202301	b478b022b2d33eb570bb238cf4660908315b08e2682d1375138de200f1552676
GCA_000021645.1|CP001251.1	GCA_000021645.1	Other replicon	Complete cellular replicon	GCA_000021645.1|CP001251.1 Dictyoglomus turgidum DSM 6724, complete genome	1855560	cbfad8fbfba4576b3a6d5350ff28841d386f4563ea84951ed7378feee9cac7a3
GCA_000172575.2|CP002621.1	GCA_000172575.2	Other replicon	Complete cellular replicon	GCA_000172575.2|CP002621.1 Enterococcus faecalis OG1RF, complete genome	2739625	36e584775229a1b12a0ccb710112550e26bb9c6e87767b5b880b75b096367b3c
GCA_000005845.2|U00096.3	GCA_000005845.2	Other replicon	Complete cellular replicon	GCA_000005845.2|U00096.3 Escherichia coli str. K-12 substr. MG1655, complete genome	4641652	e999dceccb76562d40e49a10d9e6d4cf1c05d184f4f80b92bb32d4a2420c11d0
GCA_003019295.1|CP028101.1	GCA_003019295.1	Other replicon	Complete cellular replicon	GCA_003019295.1|CP028101.1 Fusobacterium nucleatum subsp. nucleatum strain 25586 chromosome, complete genome	2180101	07de4041e6ba495268862252e46fa7e93c64f0e489742999e3ee1cecf780af61
GCA_000010305.1|AP009153.1	GCA_000010305.1	Other replicon	Complete cellular replicon	GCA_000010305.1|AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome	4636964	243959362433adce126988bac0f622c8cdde705da400f93a18ec04ee4b138ccb
GCA_000020725.1|CP001124.1	GCA_000020725.1	Other replicon	Complete cellular replicon	GCA_000020725.1|CP001124.1 Geobacter bemidjiensis Bem, complete genome	4615150	9a04073141c8522b05216964aab6082702c81906ebbcff0baf89b83bb3018d25
GCA_000007985.2|AE017180.2	GCA_000007985.2	Other replicon	Complete cellular replicon	GCA_000007985.2|AE017180.2 Geobacter sulfurreducens PCA, complete genome	3814128	70d178b1b9d2fc9373a9b1215255b3667521e790e6ee1bcccc522f0e51907bc3
GCA_000006805.1|AE004437.1	GCA_000006805.1	Other replicon	Complete cellular replicon	GCA_000006805.1|AE004437.1 Halobacterium sp. NRC-1, complete genome	2014239	b42026407d52405bf8809e10b73081363296d1ddacb7284979a6b7425db91802
GCA_000006805.1|AF016485.1	GCA_000006805.1	Plasmid	GenBank-labelled plasmid	GCA_000006805.1|AF016485.1 Halobacterium sp. NRC-1 plasmid pNRC100, complete sequence	191346	d956ec7f12da1b1ddbb75a1e9c88df8a8686458add245c079ac4fec8c46a660a
GCA_000006805.1|AE004438.1	GCA_000006805.1	Plasmid	GenBank-labelled plasmid	GCA_000006805.1|AE004438.1 Halobacterium sp. NRC-1 plasmid pNRC200 complete genome	365425	8dad803f6119818a100272f7b86957fcf68f6a194c0848aab03d5a56b6f4f958
GCA_000025685.1|CP001956.1	GCA_000025685.1	Other replicon	Complete cellular replicon	GCA_000025685.1|CP001956.1 Haloferax volcanii DS2 chromosome, complete genome	2847757	84e8c81d9bde972954b8af36dcebcd3a51e9ba08ec1eee4845a5899ed0335fa1
GCA_000025685.1|CP001957.1	GCA_000025685.1	Plasmid	GenBank-labelled plasmid	GCA_000025685.1|CP001957.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence	85092	4781f33d59788b1bc13f93122a82c965b6ddc528cebf3a68ca6450d3fa42fa73
GCA_000025685.1|CP001954.1	GCA_000025685.1	Plasmid	GenBank-labelled plasmid	GCA_000025685.1|CP001954.1 Haloferax volcanii DS2 plasmid pHV2, complete sequence	6359	40a159cbe11b4f55639a2ad657046af5be83611fa9caecf3a1eb50d3adeffdb2
