SeqName	Assembly	ReferenceLabel	geNomadPlasmid	ConfusionCell	LengthBp	PlasmidScore	FDR	Topology	Hallmarks	MarkerEnrichment	ConjugationGenes	geNomadAMRGenes	OriginalHeader
GCA_001639275.1|LWMU01000065.1	GCA_001639275.1	Other replicon	no	TN	16249								GCA_001639275.1|LWMU01000065.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000065, whole genome shotgun sequence
GCA_000007645.1|AE015933.1	GCA_000007645.1	Plasmid	yes	TP	17261	0.9935	NA	No terminal repeats	1	5.6425	NA	NA	GCA_000007645.1|AE015933.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-04, complete sequence
GCA_001639275.1|LWMU01000064.1	GCA_001639275.1	Other replicon	no	TN	17960								GCA_001639275.1|LWMU01000064.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000064, whole genome shotgun sequence
GCA_000007645.1|AE015934.1	GCA_000007645.1	Plasmid	yes	TP	24365	0.9928	NA	No terminal repeats	3	9.1844	NA	NF012167;NF040806	GCA_000007645.1|AE015934.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-05, complete sequence
GCA_001639275.1|LWMU01000057.1	GCA_001639275.1	Other replicon	no	TN	24397								GCA_001639275.1|LWMU01000057.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000057, whole genome shotgun sequence
GCA_000011065.1|AY171301.1	GCA_000011065.1	Plasmid	yes	TP	33038	0.9942	NA	No terminal repeats	4	24.4858	MOBB	NA	GCA_000011065.1|AY171301.1 Bacteroides thetaiotaomicron VPI-5482 plasmid p5482, complete sequence
GCA_001639275.1|LWMU01000047.1	GCA_001639275.1	Other replicon	no	TN	32899								GCA_001639275.1|LWMU01000047.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000047, whole genome shotgun sequence
GCA_000013465.1|CP000258.1	GCA_000013465.1	Plasmid	yes	TP	37136	0.9922	NA	No terminal repeats	4	17.7081	FATA_trsC;FATA_trsF;FATA_trsJ;FATA_trsL	NA	GCA_000013465.1|CP000258.1 Staphylococcus aureus subsp. aureus USA300_FPR3757 plasmid pUSA03, complete sequence
GCA_002563335.1|PDLX01000028.1	GCA_002563335.1	Other replicon	no	TN	38178								GCA_002563335.1|PDLX01000028.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_28_length_38178_cov_44.7719, whole genome shotgun sequence
GCA_000009705.1|AP003605.1	GCA_000009705.1	Plasmid	yes	TP	40340	0.9893	NA	No terminal repeats	4	14.6736	NA	NA	GCA_000009705.1|AP003605.1 Nostoc sp. PCC 7120 plasmid pCC7120epsilon DNA, complete sequence
GCA_001639275.1|LWMU01000044.1	GCA_001639275.1	Other replicon	no	TN	43012								GCA_001639275.1|LWMU01000044.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000044, whole genome shotgun sequence
GCA_000008565.1|AE001827.1	GCA_000008565.1	Plasmid	yes	TP	45704	0.9781	NA	No terminal repeats	0	4.9088	NA	NA	GCA_000008565.1|AE001827.1 Deinococcus radiodurans R1 plasmid CP1, complete sequence
GCA_001639275.1|LWMU01000041.1	GCA_001639275.1	Other replicon	no	TN	45270								GCA_001639275.1|LWMU01000041.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000041, whole genome shotgun sequence
GCA_000021565.1|CP001231.1	GCA_000021565.1	Plasmid	yes	TP	53682	0.9391	NA	DTR	6	4.1721	F_traU;F_traG;F_traF;F_traV;F_traB	NA	GCA_000021565.1|CP001231.1 Persephonella marina EX-H1 plasmid, complete sequence
GCA_001639275.1|LWMU01000022.1	GCA_001639275.1	Other replicon	no	TN	52210								GCA_001639275.1|LWMU01000022.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000022, whole genome shotgun sequence
GCA_000009705.1|AP003604.1	GCA_000009705.1	Plasmid	yes	TP	55414	0.9924	NA	No terminal repeats	3	15.5320	NA	NF033156	GCA_000009705.1|AP003604.1 Nostoc sp. PCC 7120 plasmid pCC7120delta DNA, complete sequence
GCA_001639275.1|LWMU01000011.1	GCA_001639275.1	Other replicon	no	TN	55935								GCA_001639275.1|LWMU01000011.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000011, whole genome shotgun sequence
GCA_000091665.1|L77118.1	GCA_000091665.1	Plasmid	no	FN	58407								GCA_000091665.1|L77118.1 Methanocaldococcus jannaschii DSM 2661 plasmid pDSM2661_1, complete sequence
GCA_001639275.1|LWMU01000136.1	GCA_001639275.1	Other replicon	no	TN	56881								GCA_001639275.1|LWMU01000136.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000136, whole genome shotgun sequence
GCA_000021665.1|CP001255.1	GCA_000021665.1	Plasmid	yes	TP	59223	0.9927	NA	No terminal repeats	19	33.6625	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2	NA	GCA_000021665.1|CP001255.1 Shewanella baltica OS223 plasmid pS22303, complete sequence
GCA_001639275.1|LWMU01000125.1	GCA_001639275.1	Other replicon	no	TN	60396								GCA_001639275.1|LWMU01000125.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000125, whole genome shotgun sequence
GCA_000021665.1|CP001254.1	GCA_000021665.1	Plasmid	yes	TP	65448	0.9895	NA	No terminal repeats	19	29.9142	t4cp2;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL	NA	GCA_000021665.1|CP001254.1 Shewanella baltica OS223 plasmid pS22302, complete sequence
GCA_000308215.1|CAJE01000011.1	GCA_000308215.1	Other replicon	no	TN	65531								GCA_000308215.1|CAJE01000011.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00011, whole genome shotgun sequence
GCA_000017325.1|CP000754.1	GCA_000017325.1	Plasmid	yes	TP	83224	0.9909	NA	No terminal repeats	18	31.5666	t4cp2;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE	NA	GCA_000017325.1|CP000754.1 Shewanella baltica OS185 plasmid pS18501, complete sequence
GCA_002563335.1|PDLX01000023.1	GCA_002563335.1	Other replicon	no	TN	82405								GCA_002563335.1|PDLX01000023.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_23_length_82405_cov_58.2676, whole genome shotgun sequence
GCA_000025685.1|CP001957.1	GCA_000025685.1	Plasmid	yes	TP	85092	0.9906	NA	No terminal repeats	0	20.9463	NA	NA	GCA_000025685.1|CP001957.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence
GCA_000308215.1|CAJE01000014.1	GCA_000308215.1	Other replicon	no	TN	85479								GCA_000308215.1|CAJE01000014.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00014, whole genome shotgun sequence
GCA_000021665.1|CP001253.1	GCA_000021665.1	Plasmid	yes	TP	88311	0.9915	NA	No terminal repeats	20	35.4137	F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;t4cp2	NA	GCA_000021665.1|CP001253.1 Shewanella baltica OS223 plasmid pS22301, complete sequence
GCA_000308215.1|CAJE01000020.1	GCA_000308215.1	Other replicon	no	TN	90121								GCA_000308215.1|CAJE01000020.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00020, whole genome shotgun sequence
GCA_000018565.1|CP000877.1	GCA_000018565.1	Plasmid	no	FN	99204								GCA_000018565.1|CP000877.1 Herpetosiphon aurantiacus DSM 785 plasmid pHAU02, complete sequence
GCA_001639275.1|LWMU01000092.1	GCA_001639275.1	Other replicon	no	TN	98822								GCA_001639275.1|LWMU01000092.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000092, whole genome shotgun sequence
GCA_000009705.1|AP003603.1	GCA_000009705.1	Plasmid	yes	TP	101965	0.9928	NA	No terminal repeats	6	37.7408	t4cp1;C_alr7212;C_alr7211;C_alr7210;C_alr7209;C_alr7208;C_alr7207;virb4	NA	GCA_000009705.1|AP003603.1 Nostoc sp. PCC 7120 plasmid pCC7120gamma DNA, complete sequence
GCA_000308215.1|CAJE01000003.1	GCA_000308215.1	Other replicon	no	TN	101706								GCA_000308215.1|CAJE01000003.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00003, whole genome shotgun sequence
GCA_000015985.1|CP000579.1	GCA_000015985.1	Plasmid	yes	TP	122606	0.9910	NA	No terminal repeats	1	10.1314	NA	NA	GCA_000015985.1|CP000579.1 Rhodobacter sphaeroides ATCC 17029 plasmid pRSPH01, complete sequence
GCA_000156375.1|DS996353.1	GCA_000156375.1	Other replicon	no	TN	121186								GCA_000156375.1|DS996353.1 Desulfovibrio piger ATCC 29098 Scfld2 genomic scaffold, whole genome shotgun sequence
GCA_000008565.1|AE001826.1	GCA_000008565.1	Plasmid	yes	TP	177466	0.9868	NA	No terminal repeats	1	19.0951	NA	NA	GCA_000008565.1|AE001826.1 Deinococcus radiodurans R1 plasmid MP1, complete sequence
GCA_000308215.1|CAJE01000015.1	GCA_000308215.1	Other replicon	no	TN	177149								GCA_000308215.1|CAJE01000015.1 Methanomassiliicoccus luminyensis B10 WGS project CAJE00000000 data, contig 00015, whole genome shotgun sequence
GCA_000009705.1|AP003602.1	GCA_000009705.1	Plasmid	yes	TP	186614	0.9896	NA	No terminal repeats	4	6.6766	C_alr7204;C_alr7205;virb4;C_alr7207;C_alr7208;C_alr7209;C_alr7210;C_alr7211;C_alr7212;t4cp1	NF012178	GCA_000009705.1|AP003602.1 Nostoc sp. PCC 7120 plasmid pCC7120beta DNA, complete sequence
GCA_002563335.1|PDLX01000016.1	GCA_002563335.1	Other replicon	no	TN	186957								GCA_002563335.1|PDLX01000016.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_16_length_186957_cov_50.1966, whole genome shotgun sequence
GCA_000006805.1|AF016485.1	GCA_000006805.1	Plasmid	yes	TP	191346	0.9924	NA	No terminal repeats	0	63.7297	NA	NA	GCA_000006805.1|AF016485.1 Halobacterium sp. NRC-1 plasmid pNRC100, complete sequence
GCA_002563335.1|PDLX01000015.1	GCA_002563335.1	Other replicon	no	TN	197962								GCA_002563335.1|PDLX01000015.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_15_length_197962_cov_53.2369, whole genome shotgun sequence
GCA_000195755.1|NC_005863.1	GCA_000195755.1	Plasmid	no	FN	202301								GCA_000195755.1|NC_005863.1 Desulfovibrio vulgaris str. Hildenborough plasmid pDV, complete sequence
GCA_002563335.1|PDLX01000014.1	GCA_002563335.1	Other replicon	no	TN	216945								GCA_002563335.1|PDLX01000014.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_14_length_216945_cov_59.2033, whole genome shotgun sequence
GCA_000008005.1|AE017195.1	GCA_000008005.1	Plasmid	yes	TP	208369	0.9899	NA	DTR	4	115.1028	NA	NA	GCA_000008005.1|AE017195.1 Bacillus cereus ATCC 10987 plasmid pBc10987, complete sequence
GCA_002563335.1|PDLX01000013.1	GCA_002563335.1	Other replicon	no	TN	225960								GCA_002563335.1|PDLX01000013.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_13_length_225960_cov_58.4144, whole genome shotgun sequence
GCA_000328665.1|CP003363.1	GCA_000328665.1	Plasmid	no	FN	285109								GCA_000328665.1|CP003363.1 Methanomethylovorans hollandica DSM 15978 plasmid pMETHO01, complete sequence
GCA_002563335.1|PDLX01000008.1	GCA_002563335.1	Other replicon	no	TN	290774								GCA_002563335.1|PDLX01000008.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_8_length_290774_cov_60.0206, whole genome shotgun sequence
GCA_000018565.1|CP000876.1	GCA_000018565.1	Plasmid	no	FN	339639								GCA_000018565.1|CP000876.1 Herpetosiphon aurantiacus DSM 785 plasmid pHAU01, complete sequence
GCA_002563335.1|PDLX01000005.1	GCA_002563335.1	Other replicon	no	TN	339168								GCA_002563335.1|PDLX01000005.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_5_length_339168_cov_61.2129, whole genome shotgun sequence
GCA_000006805.1|AE004438.1	GCA_000006805.1	Plasmid	yes	TP	365425	0.9906	NA	No terminal repeats	2	96.9299	NA	NA	GCA_000006805.1|AE004438.1 Halobacterium sp. NRC-1 plasmid pNRC200 complete genome
GCA_002563335.1|PDLX01000004.1	GCA_002563335.1	Other replicon	no	TN	372153								GCA_002563335.1|PDLX01000004.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_4_length_372153_cov_53.9624, whole genome shotgun sequence
GCA_000009705.1|BA000020.2	GCA_000009705.1	Plasmid	yes	TP	408101	0.9905	NA	No terminal repeats	9	112.9050	C_alr7204;C_alr7205;virb4;C_alr7207;C_alr7208;C_alr7209;C_alr7210;C_alr7211;C_alr7212;t4cp1	NF000496	GCA_000009705.1|BA000020.2 Nostoc sp. PCC 7120 plasmid pCC7120alpha DNA, complete genome
GCA_000008565.1|AE001825.1	GCA_000008565.1	Other replicon	no	TN	412348								GCA_000008565.1|AE001825.1 Deinococcus radiodurans R1 chromosome 2, complete sequence
GCA_000025685.1|CP001953.1	GCA_000025685.1	Plasmid	yes	TP	437906	0.9700	NA	No terminal repeats	0	16.1244	NA	NF012174;NF000261	GCA_000025685.1|CP001953.1 Haloferax volcanii DS2 plasmid pHV3, complete sequence
GCA_002563335.1|PDLX01000003.1	GCA_002563335.1	Other replicon	no	TN	458384								GCA_002563335.1|PDLX01000003.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_3_length_458384_cov_49.5898, whole genome shotgun sequence
GCA_000011965.2|CP000032.1	GCA_000011965.2	Plasmid	no	FN	491611								GCA_000011965.2|CP000032.1 Ruegeria pomeroyi DSS-3 megaplasmid, complete sequence
GCA_000156375.1|DS996355.1	GCA_000156375.1	Other replicon	no	TN	492021								GCA_000156375.1|DS996355.1 Desulfovibrio piger ATCC 29098 Scfld4 genomic scaffold, whole genome shotgun sequence
GCA_000025685.1|CP001955.1	GCA_000025685.1	Plasmid	yes	TP	635786	0.9865	NA	No terminal repeats	1	105.9352	NA	NF000496;NF033134	GCA_000025685.1|CP001955.1 Haloferax volcanii DS2 plasmid pHV4, complete sequence
GCA_002563335.1|PDLX01000001.1	GCA_002563335.1	Other replicon	no	TN	572868								GCA_002563335.1|PDLX01000001.1 Pseudomonas aeruginosa strain ATCC 9027 NODE_1_length_572868_cov_46.0436, whole genome shotgun sequence
