Genome	Tool	Step	Status	ElapsedSeconds	ReturnCode	Command
SGB_006	gapseq	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006/SGB_006-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006/SGB_006-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006/SGB_006-all-Pathways.tbl -b Bacteria -n SGB_006 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006
SGB_006	gapseq	find	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Bacteria -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_006.faa
SGB_006	gapseq	gapfill-construction-medium	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006/SGB_006-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/ALLmed.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006/filled-permissive
SGB_006	gapseq	transport	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_006 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_006.faa
SGB_008	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_008.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_008/SGB_008-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_008	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u archaea --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_008/SGB_008-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_008/SGB_008-diamond.tsv
SGB_008	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u archaea --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_008/SGB_008-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_008/SGB_008-draft.xml
SGB_008	gapseq	draft	completed	41.688	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008/SGB_008-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008/SGB_008-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008/SGB_008-all-Pathways.tbl -b Archaea -n SGB_008 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008
SGB_008	gapseq	find	completed	25.522	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Archaea -m Archaea -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_008.faa
SGB_008	gapseq	gapfill-construction-medium	completed	466.115	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008/SGB_008-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/autotrophic.csv -b 100 -k 0.01 -z glpk -v -e highH2 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008/filled-permissive
SGB_008	gapseq	transport	completed	8.798	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_008 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_008.faa
SGB_010	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_010.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_010/SGB_010-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_010	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u archaea --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_010/SGB_010-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_010/SGB_010-diamond.tsv
SGB_010	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u archaea --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_010/SGB_010-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_010/SGB_010-draft.xml
SGB_010	gapseq	draft	completed	82.585	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010/SGB_010-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010/SGB_010-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010/SGB_010-all-Pathways.tbl -b Archaea -n SGB_010 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010
SGB_010	gapseq	find	completed	27.323	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Archaea -m Archaea -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_010.faa
SGB_010	gapseq	gapfill-construction-medium	completed	427.158	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010/SGB_010-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/MM_anaerobic_CO2_H2.csv -b 100 -k 0.01 -z glpk -v -e highH2 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010/filled-permissive
SGB_010	gapseq	transport	completed	11.107	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_010 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_010.faa
SGB_016	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_016.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_016/SGB_016-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_016	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_016/SGB_016-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_016/SGB_016-diamond.tsv
SGB_016	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u bacteria --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_016/SGB_016-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_016/SGB_016-draft.xml
SGB_016	gapseq	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016/SGB_016-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016/SGB_016-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016/SGB_016-all-Pathways.tbl -b Bacteria -n SGB_016 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016
SGB_016	gapseq	find	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Bacteria -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_016.faa
SGB_016	gapseq	gapfill-construction-medium	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016/SGB_016-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/ALLmed.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016/filled-permissive
SGB_016	gapseq	transport	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_016 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_016.faa
SGB_018	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_018.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_018/SGB_018-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_018	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u archaea --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_018/SGB_018-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_018/SGB_018-diamond.tsv
SGB_018	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u archaea --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_018/SGB_018-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_018/SGB_018-draft.xml
SGB_018	gapseq	draft	completed	22.811	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018/SGB_018-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018/SGB_018-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018/SGB_018-all-Pathways.tbl -b Archaea -n SGB_018 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018
SGB_018	gapseq	find	completed	25.107	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Archaea -m Archaea -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_018.faa
SGB_018	gapseq	gapfill-construction-medium	completed	271.185	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018/SGB_018-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/meerwasser.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018/filled-permissive
SGB_018	gapseq	transport	completed	6.240	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_018 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_018.faa
SGB_021	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_021.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_021/SGB_021-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_021	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_021/SGB_021-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_021/SGB_021-diamond.tsv
SGB_021	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u bacteria --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_021/SGB_021-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_021/SGB_021-draft.xml
SGB_021	gapseq	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021/SGB_021-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021/SGB_021-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021/SGB_021-all-Pathways.tbl -b Bacteria -n SGB_021 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021
SGB_021	gapseq	find	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Bacteria -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_021.faa
SGB_021	gapseq	gapfill-construction-medium	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021/SGB_021-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/ALLmed.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021/filled-permissive
SGB_021	gapseq	transport	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_021 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_021.faa
SGB_024	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_024.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_024/SGB_024-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_024	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_024/SGB_024-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_024/SGB_024-diamond.tsv
SGB_024	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u bacteria --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_024/SGB_024-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_024/SGB_024-draft.xml
SGB_024	gapseq	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024/SGB_024-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024/SGB_024-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024/SGB_024-all-Pathways.tbl -b Bacteria -n SGB_024 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024
SGB_024	gapseq	find	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Bacteria -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_024.faa
SGB_024	gapseq	gapfill-construction-medium	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024/SGB_024-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/ALLmed.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024/filled-permissive
SGB_024	gapseq	transport	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_024 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_024.faa
TRUNC_050	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/TRUNC_050.faa -o /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_050/TRUNC_050-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
TRUNC_050	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_050/TRUNC_050-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_050/TRUNC_050-diamond.tsv
TRUNC_050	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u bacteria --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_050/TRUNC_050-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_050/TRUNC_050-draft.xml
TRUNC_050	gapseq	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050/TRUNC_050-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050/TRUNC_050-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050/TRUNC_050-all-Pathways.tbl -b Bacteria -n TRUNC_050 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050
TRUNC_050	gapseq	find	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Bacteria -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050 /workspace/wechat/Metagenome/work/article60/inputs/proteins/TRUNC_050.faa
TRUNC_050	gapseq	gapfill-construction-medium	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050/TRUNC_050-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/ALLmed.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050/filled-permissive
TRUNC_050	gapseq	transport	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/TRUNC_050 /workspace/wechat/Metagenome/work/article60/inputs/proteins/TRUNC_050.faa
TRUNC_070	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/TRUNC_070.faa -o /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_070/TRUNC_070-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
TRUNC_070	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_070/TRUNC_070-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/TRUNC_070/TRUNC_070-diamond.tsv
