Genome	Tool	Step	ElapsedSeconds	MaximumResidentSetKB	UserSeconds	SystemSeconds	ExitStatus
SGB_016	gapseq	gapfill-rich	nan	NA	NA	NA	NA
SGB_002	gapseq	transport	14.440	214836	25.29	1.24	0
SGB_006	gapseq	transport	18.950	256812	31.78	1.62	0
SGB_008	gapseq	transport	8.790	173276	16.65	0.94	0
SGB_010	gapseq	transport	11.100	191232	21.35	1.07	0
SGB_016	gapseq	transport	13.960	219436	25.33	1.20	0
SGB_018	gapseq	transport	6.230	169752	12.68	0.87	0
SGB_021	gapseq	transport	17.020	333280	31.78	1.28	0
SGB_024	gapseq	transport	14.200	209648	24.72	1.31	0
TRUNC_050	gapseq	transport	10.870	194688	20.42	1.06	0
TRUNC_070	gapseq	transport	12.230	203756	22.27	1.20	0
TRUNC_090	gapseq	transport	14.010	203728	24.56	1.17	0
TRUNC_100	gapseq	transport	14.450	219436	25.23	1.17	0
SGB_002	CarveMe	diamond	8.310	65372	29.88	0.21	0
SGB_006	CarveMe	diamond	9.590	70944	35.03	0.21	0
SGB_008	CarveMe	diamond	7.090	64704	25.29	0.18	0
SGB_010	CarveMe	diamond	7.410	65188	26.83	0.21	0
SGB_016	CarveMe	diamond	8.920	68712	31.41	0.22	0
SGB_018	CarveMe	diamond	6.950	65336	24.70	0.21	0
SGB_021	CarveMe	diamond	10.390	72708	37.15	0.24	0
SGB_024	CarveMe	diamond	8.300	68736	30.05	0.26	0
TRUNC_050	CarveMe	diamond	7.900	64756	27.73	0.21	0
TRUNC_070	CarveMe	diamond	7.960	67108	28.89	0.24	0
TRUNC_090	CarveMe	diamond	8.740	68988	30.64	0.26	0
TRUNC_100	CarveMe	diamond	8.390	67644	30.39	0.24	0
SGB_002	CarveMe	draft	626.530	509052	625.27	1.25	0
SGB_006	CarveMe	draft	627.940	545340	626.80	1.11	0
SGB_008	CarveMe	draft	626.060	551632	624.84	1.17	0
SGB_010	CarveMe	draft	625.830	528456	624.42	1.40	0
SGB_016	CarveMe	draft	625.670	511352	624.27	1.33	0
SGB_018	CarveMe	draft	625.320	579816	624.26	1.02	0
SGB_021	CarveMe	draft	627.250	518856	626.25	0.95	0
SGB_024	CarveMe	draft	624.610	535932	623.52	1.01	0
TRUNC_050	CarveMe	draft	626.670	539008	624.80	1.60	0
TRUNC_070	CarveMe	draft	626.640	528660	625.73	0.75	0
TRUNC_090	CarveMe	draft	628.070	505184	627.10	0.94	0
TRUNC_100	CarveMe	draft	626.040	509052	624.87	1.12	0
SGB_002	CarveMe	gapfill-rich	9.220	507304	8.74	0.48	0
SGB_006	CarveMe	gapfill-rich	10.680	516520	9.75	0.90	0
SGB_008	CarveMe	gapfill-rich	9.890	513064	9.44	0.44	0
SGB_010	CarveMe	gapfill-rich	11.270	511880	10.51	0.75	0
SGB_016	CarveMe	gapfill-rich	10.340	505540	9.75	0.59	0
SGB_018	CarveMe	gapfill-rich	9.740	509040	9.30	0.44	0
SGB_021	CarveMe	gapfill-rich	9.450	511340	8.95	0.50	0
SGB_024	CarveMe	gapfill-rich	9.600	503532	9.13	0.46	0
TRUNC_050	CarveMe	gapfill-rich	9.710	505020	9.19	0.52	0
TRUNC_070	CarveMe	gapfill-rich	8.490	506744	8.00	0.49	0
TRUNC_090	CarveMe	gapfill-rich	9.110	507900	8.61	0.49	0
TRUNC_100	CarveMe	gapfill-rich	9.020	508472	8.54	0.47	0
