Genome	Species	Domain	Tool	Stage	Reactions	InternalReactions	ExchangeReactions	DemandSinkReactions	Metabolites	Genes	GPRBackedReactions	NoGPRReactions	TopologicalDeadEndMetabolites	BiomassReaction	SBMLSHA256	ReactionStructureSHA256
SGB_024	Thermotoga neapolitana	Bacteria	gapseq	Gap-filled	1644	1487	155	1	1412	383	1130	514	252	R_EX_cpd11416_c0	1080b964acb610f769466b724b152bca7c74488e9553d39bdedd593e5fbf6d73	c7288272e6dcb268b40825c62f9811a7af7d48a591bf04a7e3428d846d0b13b9
SGB_024	Thermotoga neapolitana	Bacteria	CarveMe	Draft	925	793	131	0	683	594	683	242	0	Growth	534b25cad55b505a5b8d6b930eca6ffb52b41a60e9038efb1a69ba9b5ad7788f	822f261b96f9d8f88b2d3b4527bceb5c1b8d24d23365feb48eb7367d880537d0
SGB_024	Thermotoga neapolitana	Bacteria	CarveMe	Gap-filled	936	803	132	0	687	594	683	253	0	Growth	d4fba9e056420c9305c91e240b131ec4a6f85f28a8cb555b9575b9c95d2ed0ad	991c879328ca24a584c71223697bc774856e69005dcb411daf215212afd6a4f7
TRUNC_050	Nitrosomonas europaea	Bacteria	gapseq	Draft	1106	1008	96	1	1198	258	880	226	296	R_bio1	3dbf871a0068f88c0c6148f82510cc215a3aa7468f51fbb9aeedde3d2a1afa73	0adbd1318cbbaeaa9954e5348869ce50e753413deaad9d47d050b18110f2a5be
TRUNC_050	Nitrosomonas europaea	Bacteria	gapseq	Gap-filled	1331	1204	125	1	1315	258	880	451	246	R_EX_cpd11416_c0	df8b5d70fb5ab9cf0fd4f84980946a720c26948b2dde724ee8d6183d2b256570	b8b29afa7eb772fe1ad4d35c515129999e0427abf4df83184ed07fe2d6c57a18
TRUNC_050	Nitrosomonas europaea	Bacteria	CarveMe	Draft	1215	1076	135	3	932	381	747	468	0	Growth	3d0717bb67857d91a61318bdaf259e54618fb5c496893846e0bd47b40818879e	4046e39eca39b403af96643d9732d5ac563b50babe95976438ec99673111d64b
TRUNC_050	Nitrosomonas europaea	Bacteria	CarveMe	Gap-filled	1234	1092	138	3	939	381	747	487	1	Growth	cbfbda76081a3c7631e7c8e15c058506266bbb50ae3014134c293290ed03e7eb	df2dac8be02b0198cf23b0545763e4cff956f224b7713c9e10ca4d02c1e04297
TRUNC_070	Nitrosomonas europaea	Bacteria	gapseq	Draft	1397	1295	100	1	1411	331	1149	248	315	R_bio1	70a698b7f0d3d85d6d963b28f7eed69d5110569afa1e09557103f7ae622ee235	f63480e9dc9ffe8461dd7ba6588911dfaa54547ea4f9f5bf0f22a81f4d2087f7
TRUNC_070	Nitrosomonas europaea	Bacteria	gapseq	Gap-filled	1585	1460	123	1	1513	331	1149	436	273	R_EX_cpd11416_c0	329f6c63260dfdf15be0970e227043f67d7fb630c2dab1f843f8d2a8f2b7d672	644bf6dfeff32950711ba9a7b73fb35122adbdd56532556bd169cb3742b0b0bf
TRUNC_070	Nitrosomonas europaea	Bacteria	CarveMe	Draft	1226	1105	118	2	905	464	872	354	0	Growth	f6b80d0ffd43f2a8257855868cf58d3202482081a2eb7fdc78a38a9f0b5cb5b3	48d325b39103025904dc3063037a3f96d9bc3e53b95b5f94e881f87a4b2c14f4
TRUNC_070	Nitrosomonas europaea	Bacteria	CarveMe	Gap-filled	1245	1120	122	2	911	464	872	373	1	Growth	e44da23985bde10d201e60253d5808d2fab112f6c4733e2cbd431d4940b17b38	c2a51a643868770506a7715119598b370c4f8efc45a8c26b79348e1547a1804a
TRUNC_090	Nitrosomonas europaea	Bacteria	gapseq	Draft	1630	1508	120	1	1567	440	1344	286	345	R_bio1	8fde94341e485bbf1a36a91eabe2709f2a45dfc13be94f65234c935c366e3123	4bc710e178788b7b7558ad4eb32aec49ebc970aa84fcd85e609bf8820736fc47
TRUNC_090	Nitrosomonas europaea	Bacteria	gapseq	Gap-filled	1776	1631	143	1	1637	440	1344	432	310	R_EX_cpd11416_c0	c6e82e2bf98124225b3f3484b7fd53a23739fc6cb769cd31cc8fb5df5af6a971	ad865cb5b8983d6ec041cf757daf98e5cf8bde096c5e48860fe6e513d5d7b8b4
TRUNC_090	Nitrosomonas europaea	Bacteria	CarveMe	Draft	1406	1274	129	2	1002	616	1053	353	0	Growth	798a9ad9042d16219f094019903ba1aa198480c9418e608481ea8382e505bcfd	47053da64fcfbcbe0bb695aaf796ec5fc1b158ff1a935feb91f82b1c60b30d00
TRUNC_090	Nitrosomonas europaea	Bacteria	CarveMe	Gap-filled	1408	1276	129	2	1003	616	1053	355	0	Growth	ae33e2df21eed4f54487ee268d07d9860dc11dab681c4e89cca14baef431609f	2c0da0f1c5ffc35d9466ae4ce901a2a916116e1d3204620a5c90cb9a3b384d25
TRUNC_100	Nitrosomonas europaea	Bacteria	gapseq	Draft	1671	1545	124	1	1598	460	1383	288	351	R_bio1	1c058ecb70cb92d1bad1b4339257cd4ada094540c14613bd56d8fa339594ca43	57ab6e604607291f1af91af7074dc117c3ae176d55c53945509b821a9717f806
TRUNC_100	Nitrosomonas europaea	Bacteria	gapseq	Gap-filled	1807	1659	146	1	1664	460	1383	424	317	R_EX_cpd11416_c0	e6b4b7a7890481aba545fe2647744dd33562f5b5842e31328089f3c1dddcbd3d	6806db7e735c61ee7af476412b530ffefc0b514f24abdbc0a101e700557264d5
TRUNC_100	Nitrosomonas europaea	Bacteria	CarveMe	Draft	1449	1308	135	5	1023	648	1087	362	0	Growth	8ae8319a05835bb412f349240268f0e00d2591440ee75db8f7565f77a6ab9223	bc4dabf4b0178ccaef59bb8ba4b3a3470b0a2906f67faabf8930a0661c8d4970
TRUNC_100	Nitrosomonas europaea	Bacteria	CarveMe	Gap-filled	1452	1311	135	5	1024	648	1087	365	0	Growth	049489cda6741941ab2ce792d043b39e27b4e4b1eb34cc8d26de7205b7661e2f	638f2e232631578286b934af9d6f35e0fbe7169efdf403153eed9501249241ff
