sample	hotspring	hotspring_common_name	region	broad_region	broad_region_short	in_yellowstone	latitude	longitude	date	year	datetime	sequencing_batch	pH	temperature	conductivity	temperature_regime	type	is_hotspring	sequencing_platform	metagenome_SRR	metagenome_SAMN	mean_quality_R1	mean_quality_R2	raw_Nsequences	filtered_Nsequences	metagenome2MAG_read_recruitment_rate	hotspring.year	max_concurrent_hotspring_temperature	max_hotspring_temperature
AB09.0.3	AB09		Borax Lake	Alvord Desert	ALV	no	42.334196	-118.603	2020.08.11	2020	2020.08.11 10:57:45	1	7.848148148	44.20	2.09	30_50	mat	yes	Illumina NextSeq2000	SRR32625272	SAMN47273193	32.98	32.473	2147707	924763	0.085785	AB09.2020	44.2	61.8
AB11A.0.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334555	-118.60296	2020.08.11	2020	2020.08.11 09:20:51	1	6.817037037	59.80	2.05	50_70	mat	yes	Illumina NextSeq2000	SRR32625392	SAMN47273194	33.01	32.532	3197722	1461759	0.06454	AB11.2020	80.9	89.9
AB11B.0.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334596	-118.60296	2020.08.11	2020	2020.08.11 09:24:55	1	6.870740741	64.00	2.07	50_70	mat	yes	Illumina NextSeq2000	SRR32625385	SAMN47273195	33.052	32.684	6574842	3475216	0.059195	AB11.2020	80.9	89.9
AB11C.0.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.334623	-118.60297	2020.08.11	2020	2020.08.11 09:29:17	1	6.817037037	77.20	2.06	70_80	mat	yes	Illumina NextSeq2000	SRR32625384	SAMN47273196	33.05	32.666	3337539	1668919	0.081095	AB11.2020	80.9	89.9
AB11F.0.1	AB11		Borax Lake	Alvord Desert	ALV	no	42.33471	-118.60297	2020.08.11	2020	2020.08.11 09:47:42	1	6.645185185	80.90	2.07	80_100	mat	yes	Illumina NextSeq2000	SRR32625383	SAMN47273199	33.041	32.46	916025	380961	0.09816	AB11.2020	80.9	89.9
AB20.0.1	AB20		Borax Lake	Alvord Desert	ALV	no	42.326657	-118.604	2020.08.10	2020	2020.08.11 08:04:40	1	5.904074074	27.00	3.62	below_30	sediment	yes	Illumina NextSeq2000	SRR32625382	SAMN47273200	32.935	32.546	7033046	3383700	0.25124	AB20.2020	27	27.5
AB22.0.1	AB22		Borax Lake	Alvord Desert	ALV	no	42.329737	-118.60395	2020.08.11	2020	2020.08.11 17:16:45	1	7.343333333	80.00	2.05	80_100	sediment	yes	Illumina NextSeq2000	SRR32625381	SAMN47273202	32.97	32.319	1419057	539777	0.271785	AB22.2020	80	86.2
AB22.0.2	AB22		Borax Lake	Alvord Desert	ALV	no	42.329772	-118.60396	2020.08.11	2020	2020.08.11 17:19:29	1	7.633333333	72.50	2.07	70_80	mat	yes	Illumina NextSeq2000	SRR32625380	SAMN47273203	33.042	32.462	1610014	699653	0.126075	AB22.2020	80	86.2
AB22.0.3	AB22		Borax Lake	Alvord Desert	ALV	no	42.329806	-118.60392	2020.08.11	2020	2020.08.11 17:22:05	1	7.987777778	36.30	2.15	30_50	mat	yes	Illumina NextSeq2000	SRR32625379	SAMN47273204	32.952	32.418	1901374	818762	0.19109	AB22.2020	80	86.2
AB22.0.4	AB22		Borax Lake	Alvord Desert	ALV	no	42.329898	-118.60393	2020.08.11	2020	2020.08.11 17:31:34	1	7.740740741	48.70	2.01	30_50	mat	yes	Illumina NextSeq2000	SRR32625378	SAMN47273205	32.942	32.473	4993198	2429904	0.098785	AB22.2020	80	86.2
AB22.0.5	AB22		Borax Lake	Alvord Desert	ALV	no	42.329948	-118.60394	2020.08.11	2020	2020.08.11 17:34:15	1	7.321851852	71.80	2.04	70_80	mat	yes	Illumina NextSeq2000	SRR32625377	SAMN47273206	33.02	32.405	717641	292835	0.060495	AB22.2020	80	86.2
AB22.0.6	AB22		Borax Lake	Alvord Desert	ALV	no	42.329974	-118.60396	2020.08.11	2020	2020.08.11 17:37:22	1	8.116666667	46.30	2.03	30_50	mat	yes	Illumina NextSeq2000	SRR32625376	SAMN47273207	32.989	32.465	5404157	2556797	0.13201	AB22.2020	80	86.2
AB22.0.7	AB22		Borax Lake	Alvord Desert	ALV	no	42.329998	-118.60395	2020.08.11	2020	2020.08.11 17:45:17	1	8.256296296	45.60	2.01	30_50	mat	yes	Illumina NextSeq2000	SRR32625374	SAMN47273208	32.935	32.518	2267022	1035835	0.168105	AB22.2020	80	86.2
AB31.0.1	AB31		Borax Lake	Alvord Desert	ALV	no	42.333237	-118.60338	2020.08.12	2020	2020.08.12 07:35:05	1	6.763333333	75.30	1.99	70_80	mat	yes	Illumina NextSeq2000	SRR32625373	SAMN47273209	33.029	32.331	2129381	870252	0.125245	AB31.2020	75.3	75.3
AB32.0.1	AB32		Borax Lake	Alvord Desert	ALV	no	42.333151	-118.60338	2020.08.12	2020	2020.08.12 07:45:27	1	6.827777778	69.90	1.94	50_70	mat	yes	Illumina NextSeq2000	SRR32625372	SAMN47273211	33.02	32.483	5753694	2666189	0.08373	AB32.2020	69.9	72.5
AM01.0.1	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352572	-119.21771	2020.08.14	2020	2020.08.14 07:00:52	1	8.696666667	56.00	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625371	SAMN47273212	33.014	32.611	13418752	6752556	0.124725	AM01.2020	56	56
AM01.0.2	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352548	-119.2177	2020.08.14	2020	2020.08.14 07:04:16	1	8.707407407	55.10	0.36	50_70	mat	yes	Illumina NextSeq2000	SRR32625370	SAMN47273213	32.91	32.574	16542073	7934369	0.10529	AM01.2020	56	56
AM01.0.3	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352564	-119.21763	2020.08.14	2020	2020.08.14 07:06:39	1	8.632222222	55.10	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625369	SAMN47273214	32.962	32.63	3625445	1845995	0.13864	AM01.2020	56	56
AM01.0.4	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352546	-119.21762	2020.08.14	2020	2020.08.14 07:18:39	1	8.73962963	51.00	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625368	SAMN47273215	32.994	32.475	811435	376199	0.08543	AM01.2020	56	56
AM01.0.5	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352538	-119.21753	2020.08.14	2020	2020.08.14 07:22:38	1	8.728888889	47.50	0.36	30_50	mat	yes	Illumina NextSeq2000	SRR32625367	SAMN47273216	32.97	32.535	4689133	2307191	0.180745	AM01.2020	56	56
AM01.0.6	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352508	-119.21745	2020.08.14	2020	2020.08.14 07:27:05	1	8.428148148	45.70	0.36	30_50	mat	yes	Illumina NextSeq2000	SRR32625366	SAMN47273217	32.951	32.57	4227406	2083006	0.127745	AM01.2020	56	56
AM01.0.7	AM01		Soldier Meadows	Black Rock Desert	BLR	no	41.352463	-119.2174	2020.08.14	2020	2020.08.14 07:33:22	1	8.664444444	51.90	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625266	SAMN47273218	32.956	32.508	3856083	1799827	0.22986	AM01.2020	56	56
AM02.0.1	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.357057	-119.18905	2020.08.14	2020	2020.08.14 09:11:38	1	8.664444444	58.60	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625264	SAMN47273219	32.978	32.561	5276675	2569198	0.100735	AM02.2020	58.6	58.6
AM02.0.2	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356978	-119.18906	2020.08.14	2020	2020.08.14 09:15:01	1	8.621481481	58.00	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625263	SAMN47273220	32.997	32.546	5420361	2638103	0.10286	AM02.2020	58.6	58.6
AM02.0.3	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356917	-119.18903	2020.08.14	2020	2020.08.14 09:17:48	1	8.75037037	55.60	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625262	SAMN47273221	32.973	32.476	4346456	2076967	0.106935	AM02.2020	58.6	58.6
AM02.0.4	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356925	-119.18897	2020.08.14	2020	2020.08.14 09:22:43	1	8.621481481	57.20	0.37	50_70	filament	yes	Illumina NextSeq2000	SRR32625261	SAMN47273222	32.98	32.546	4668041	2265724	0.18999	AM02.2020	58.6	58.6
AM02.0.5	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356913	-119.1889	2020.08.14	2020	2020.08.14 09:38:30	1	8.653703704	57.00	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625260	SAMN47273223	32.971	32.542	7552712	3745678	0.156005	AM02.2020	58.6	58.6
AM02.0.6	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356884	-119.18887	2020.08.14	2020	2020.08.14 09:42:20	1	8.653703704	57.00	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625259	SAMN47273224	32.96	32.557	11862915	5799321	0.17544	AM02.2020	58.6	58.6
AM02.0.7	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356736	-119.18888	2020.08.14	2020	2020.08.14 09:46:27	1	8.825555556	55.20	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625258	SAMN47273225	32.92	32.572	8137270	3871919	0.13037	AM02.2020	58.6	58.6
AM02.0.8	AM02		Soldier Meadows	Black Rock Desert	BLR	no	41.356713	-119.18886	2020.08.14	2020	2020.08.14 09:51:06	1	8.73962963	55.30	0.37	50_70	mat	yes	Illumina NextSeq2000	SRR32625257	SAMN47273226	32.97	32.549	4767860	2319816	0.12346	AM02.2020	58.6	58.6
AR01A.0.1	AR01	Double Hot Springs	Black Rock Desert	Black Rock Desert	BLR	no	41.050939	-119.02652	2020.08.14	2020	2020.08.14 13:07:41	1	7.751481481	76.50	0.94	70_80	sediment	yes	Illumina NextSeq2000	SRR32625256	SAMN47273227	33.006	32.392	2363142	935944	0.05094	AR01.2020	83.6	86.5
AR01B.0.1	AR01	Double Hot Springs	Black Rock Desert	Black Rock Desert	BLR	no	41.050977	-119.02641	2020.08.14	2020	2020.08.14 13:10:11	1	8.062962963	57.60	0.93	50_70	mat	yes	Illumina NextSeq2000	SRR32625255	SAMN47273228	32.982	32.383	2164029	890682	0.10497	AR01.2020	83.6	86.5
AR01C.0.2	AR01	Double Hot Springs	Black Rock Desert	Black Rock Desert	BLR	no	41.050863	-119.02643	2020.08.14	2020	2020.08.14 13:20:24	1	7.622592593	83.60	0.91	80_100	mat	yes	Illumina NextSeq2000	SRR32625253	SAMN47273230	32.991	32.605	8874609	4466110	0.069055	AR01.2020	83.6	86.5
AY01.0.3	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517231	-110.82288	2020.09.22	2020	2020.09.22 11:54:20	1	8.107644444	68.30	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625252	SAMN47273234	33.069	32.608	5763920	2921271	0.06328	AY01.2020	70.4	70.4
AY01.0.4	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517192	-110.82283	2020.09.22	2020	2020.09.22 11:57:57	1	8.365422222	53.00	1.63	50_70	mat	yes	Illumina NextSeq2000	SRR32625251	SAMN47273235	32.965	32.603	6406818	3192783	0.089355	AY01.2020	70.4	70.4
AY01.0.5	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517193	-110.82293	2020.09.22	2020	2020.09.22 12:13:09	1	8.128266667	70.40	1.60	70_80	mat	yes	Illumina NextSeq2000	SRR32625250	SAMN47273236	33.049	32.643	13662771	6989454	0.07196	AY01.2020	70.4	70.4
AY01.0.6	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517192	-110.82267	2020.09.22	2020	2020.09.22 12:17:00	1	8.9944	27.50	1.0	below_30	mat	yes	Illumina NextSeq2000	SRR32625249	SAMN47273237	32.986	32.505	6592952	3219813	0.032315	AY01.2020	70.4	70.4
AY01.0.7	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.51721	-110.82265	2020.09.22	2020	2020.09.22 12:21:11	1	9.303733333	30.50	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625248	SAMN47273238	33.022	32.623	10373559	5225009	0.07161	AY01.2020	70.4	70.4
AY01.0.8	AY01		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517251	-110.82276	2020.09.22	2020	2020.09.22 12:23:13	1	9.221244444	64.40	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625247	SAMN47273239	33.01	32.471	2173712	966953	0.103675	AY01.2020	70.4	70.4
AY02.0.1	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.516999	-110.81678	2020.09.22	2020	2020.09.22 13:15:43	1	8.6232	59.80	1.23	50_70	filament	yes	Illumina NextSeq2000	SRR32625246	SAMN47273240	32.973	32.548	10211361	4941601	0.204185	AY02.2020	60.1	60.1
AY02.0.2	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.516982	-110.81676	2020.09.22	2020	2020.09.22 13:21:28	1	9.726488889	30.40	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625245	SAMN47273241	32.973	32.557	7155944	3563619	0.08026	AY02.2020	60.1	60.1
AY02.0.3	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517019	-110.81675	2020.09.22	2020	2020.09.22 13:23:17	1	8.6232	59.80	1.23	50_70	mat	yes	Illumina NextSeq2000	SRR32625244	SAMN47273242	32.986	32.474	10488444	4787301	0.13318	AY02.2020	60.1	60.1
AY02.0.4	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.517035	-110.81684	2020.09.22	2020	2020.09.22 13:30:55	1	8.746933333	53.00	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625242	SAMN47273243	32.997	32.508	9048058	4341359	0.15097	AY02.2020	60.1	60.1
AY02.0.5	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.516984	-110.81672	2020.09.22	2020	2020.09.22 13:12:34	1	8.705688889	60.10	1.23	50_70	mat	yes	Illumina NextSeq2000	SRR32625241	SAMN47273244	32.995	32.585	10465706	5107681	0.187115	AY02.2020	60.1	60.1
AY02.0.6	AY02		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.516998	-110.8167	2020.09.22	2020	2020.09.22 13:05:40	1	8.705688889	60.10	1.23	50_70	mat	yes	Illumina NextSeq2000	SRR32625240	SAMN47273245	32.97	32.384	59976496	26383659	0.15451	AY02.2020	60.1	60.1
AY03.0.5	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521321	-110.81192	2020.09.23	2020	2020.09.23 11:54:58	1	9.324355556	62.90	1.79	50_70	mat	yes	Illumina NextSeq2000	SRR32625239	SAMN47273250	33.01	32.509	13075264	6251755	0.08605	AY03.2020	74.8	90
AY03.0.6	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521256	-110.81192	2020.09.23	2020	2020.09.23 11:41:35	1	9.18	74.80	1.70	70_80	mat	yes	Illumina NextSeq2000	SRR32625238	SAMN47273251	33.017	32.388	2417826	959108	0.201355	AY03.2020	74.8	90
AY03.0.7	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521248	-110.81195	2020.09.23	2020	2020.09.23 11:46:32	1	9.18	74.80	1.70	70_80	mat	yes	Illumina NextSeq2000	SRR32625237	SAMN47273252	33.063	32.601	23379772	11939067	0.08249	AY03.2020	74.8	90
AY03.0.8	AY03	Rabbit Creek Source Pool	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.521281	-110.81194	2020.09.23	2020	2020.09.23 11:49:48	1	9.18	74.80	1.70	70_80	mat	yes	Illumina NextSeq2000	SRR32625236	SAMN47273253	33.002	32.502	1891893	886854	0.07126	AY03.2020	74.8	90
AY04.0.2	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522442	-110.81308	2020.09.23	2020	2020.09.23 13:59:45	1	8.685066667	64.40	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625235	SAMN47273255	33.066	32.372	9926844	4157177	0.073835	AY04.2020	74.8	74.8
AY04.0.3	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522387	-110.81303	2020.09.23	2020	2020.09.23 14:03:04	1	9.118133333	31.40	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625330	SAMN47273256	33.021	32.445	2361935	999576	0.067175	AY04.2020	74.8	74.8
AY04.0.4	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522401	-110.81307	2020.09.23	2020	2020.09.23 14:05:59	1	8.8088	52.90	NA	50_70	mat	yes	Illumina NextSeq2000	SRR32625329	SAMN47273257	33.017	32.511	2481971	1128955	0.06755	AY04.2020	74.8	74.8
AY04.0.5	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522352	-110.81308	2020.09.23	2020	2020.09.23 14:17:52	1	9.427466667	34.10	NA	30_50	mat	yes	Illumina NextSeq2000	SRR32625327	SAMN47273258	32.985	32.613	10033937	4934530	0.1105	AY04.2020	74.8	74.8
AY04.0.6	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522433	-110.81315	2020.09.23	2020	2020.09.23 14:20:10	1	9.489333333	35.50	1.68	30_50	mat	yes	Illumina NextSeq2000	SRR32625326	SAMN47273259	32.964	32.483	3698457	1804317	0.19586	AY04.2020	74.8	74.8
AY04.0.8	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.522427	-110.81311	2020.09.23	2020	2020.09.23 14:24:49	1	9.448088889	27.00	1.58	below_30	mat	yes	Illumina NextSeq2000	SRR32625325	SAMN47273261	32.968	32.599	5119524	2536040	0.125305	AY04.2020	74.8	74.8
AY04.0.9	AY04		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.52245	-110.81306	2020.09.23	2020	2020.09.23 14:33:46	1	8.592266667	74.80	1.67	70_80	mat	yes	Illumina NextSeq2000	SRR32625324	SAMN47273262	33.042	32.419	889625	371672	0.132765	AY04.2020	74.8	74.8
AY05.0.1	AY05		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.481799	-110.8508	2020.09.22	2020	2020.09.22 07:29:06	1	8.963466667	74.50	1.85	70_80	filament	yes	Illumina NextSeq2000	SRR32625323	SAMN47273263	33.084	32.457	1209744	539946	0.063565	AY05.2020	74.5	74.5
AY05.0.2	AY05		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.48183	-110.85078	2020.09.22	2020	2020.09.22 07:33:03	1	8.860355556	74.40	1.84	70_80	mat	yes	Illumina NextSeq2000	SRR32625322	SAMN47273264	33.05	32.4	2053622	859631	0.071705	AY05.2020	74.5	74.5
AY05.0.3	AY05		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.481838	-110.85083	2020.09.22	2020	2020.09.22 07:36:39	1	8.829422222	73.90	1.86	70_80	mat	yes	Illumina NextSeq2000	SRR32625321	SAMN47273265	32.762	32.461	1782418	1027633	0.08479	AY05.2020	74.5	74.5
AY05.0.4	AY05		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.481889	-110.8509	2020.09.22	2020	2020.09.22 07:39:40	1	9.0872	40.90	1.98	30_50	filament	yes	Illumina NextSeq2000	SRR32625320	SAMN47273266	33	32.504	2761683	1252952	0.0665	AY05.2020	74.5	74.5
AY05.0.5	AY05		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.481889	-110.85093	2020.09.22	2020	2020.09.22 07:46:09	1	9.118133333	45.00	1.88	30_50	mat	yes	Illumina NextSeq2000	SRR32625319	SAMN47273267	32.995	32.63	11313541	5786086	0.139865	AY05.2020	74.5	74.5
AY06.0.5	AY06		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.480157	-110.85105	2020.09.22	2020	2020.09.22 08:56:36	1	8.932533333	78.70	1.84	70_80	mat	yes	Illumina NextSeq2000	SRR32625318	SAMN47273272	33.073	32.427	1838230	792520	0.069195	AY06.2020	78.7	90.1
AY06.0.6	AY06		Yellowstone National Park	Yellowstone National Park	YEL	yes	44.480004	-110.85097	2020.09.22	2020	2020.09.22 09:02:59	1	9.417155556	26.50	1.82	below_30	mat	yes	Illumina NextSeq2000	SRR32625316	SAMN47273273	33.007	32.526	10538076	5144685	0.068035	AY06.2020	78.7	90.1
AY07.0.1	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538683	-110.79793	2020.09.21	2020	2020.09.21 11:22:21	1	7.592088889	65.90	1.35	50_70	mat	yes	Illumina NextSeq2000	SRR32625315	SAMN47273275	32.991	32.512	11296648	5311010	0.089795	AY07.2020	67.4	67.4
AY07.0.2	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538672	-110.79796	2020.09.21	2020	2020.09.21 11:26:35	1	7.571466667	65.40	1.35	50_70	mat	yes	Illumina NextSeq2000	SRR32625314	SAMN47273276	32.956	32.567	5103853	2407560	0.090235	AY07.2020	67.4	67.4
AY07.0.3	AY07	Mushroom Spring	Yellowstone National Park	Yellowstone National Park	YEL	yes	44.538699	-110.79799	2020.09.21	2020	2020.09.21 11:35:42	1	7.571466667	65.50	1.35	50_70	mat	yes	Illumina NextSeq2000	SRR32625313	SAMN47273277	32.987	32.562	6002235	2918913	0.08132	AY07.2020	67.4	67.4
