category	check	expected	observed	status	scope
host	logical_cpu_floor	>=2	72	PASS	smoke-task capacity only
host	memory_floor_bytes	>=1 GiB	1082088460288	PASS	smoke-task capacity only
host	filesystem_available_floor_bytes	>=18293776	17528997552128	PASS	dynamic local snapshot
container-contract	recommended_apptainer_release	1.5.2	1.5.2	PASS	frozen one-time evidence
container-contract	oci_reference	docker://alpine@sha256:eafc1edb577d2e9b458664a15f23ea1c370214193226069eb22921169fc7e43f	docker://alpine@sha256:eafc1edb577d2e9b458664a15f23ea1c370214193226069eb22921169fc7e43f	PASS	frozen one-time evidence
container-contract	oci_platform	linux/amd64	linux/amd64	PASS	frozen one-time evidence
container-contract	legacy_sif_sha256	5dd8b9d84e1dfec614fdece44123833d2acc6330a44538bf6b9ab2f0b76902d8	5dd8b9d84e1dfec614fdece44123833d2acc6330a44538bf6b9ab2f0b76902d8	PASS	frozen one-time evidence
container-contract	legacy_sif_exec	EXPECTED_FAIL	EXPECTED_FAIL	PASS	frozen one-time evidence
container-contract	local_slurm_control_plane	NOT_FOUND	NOT_FOUND	PASS	frozen one-time evidence
container-contract	log_token_eb23a51b7a	apptainer_release=1.5.2	apptainer_release=1.5.2	PASS	normalized one-time container/scheduler log
container-contract	log_token_de584df258	sha256:eafc1edb577d2e9b458664a15f23ea1c370214193226069eb22921169fc7e43f	sha256:eafc1edb577d2e9b458664a15f23ea1c370214193226069eb22921169fc7e43f	PASS	normalized one-time container/scheduler log
container-contract	log_token_0668fa30f8	docker_payload_smoke=PASS	docker_payload_smoke=PASS	PASS	normalized one-time container/scheduler log
container-contract	log_token_e147e87996	version=3.7.2	version=3.7.2	PASS	normalized one-time container/scheduler log
container-contract	log_token_4821b4502f	sif_sha256=5dd8b9d84e1dfec614fdece44123833d2acc6330a44538bf6b9ab2f0b76902d8	sif_sha256=5dd8b9d84e1dfec614fdece44123833d2acc6330a44538bf6b9ab2f0b76902d8	PASS	normalized one-time container/scheduler log
container-contract	log_token_f3adb2efa0	sif_exec=EXPECTED_FAIL	sif_exec=EXPECTED_FAIL	PASS	normalized one-time container/scheduler log
container-contract	log_token_03a9845ed2	sbatch=NOT_FOUND	sbatch=NOT_FOUND	PASS	normalized one-time container/scheduler log
container-contract	log_token_70a50ef431	sacct=NOT_FOUND	sacct=NOT_FOUND	PASS	normalized one-time container/scheduler log
runtime	recommended_apptainer	1.5.2	1.5.2	PASS	current official release contract; not locally executed
runtime	current_apptainer_cli	cluster-provided runtime	NOT_FOUND	NOT_RUN	native host command availability
runtime	current_singularity_cli	report if present; do not treat as current Apptainer	3.7.2	PASS	legacy compatibility observation
runtime	legacy_sif_exec	EXPECTED_FAIL	EXPECTED_FAIL	EXPECTED_FAIL	frozen local installation boundary
runtime	slurm_sbatch	cluster control plane	NOT_FOUND	NOT_RUN	native host command availability
runtime	slurm_sacct	cluster accounting plane	NOT_FOUND	NOT_RUN	native host command availability
scheduler-template	bash_syntax	exit 0	exit 0	PASS	syntax only; not a SLURM submission
scheduler-template	token_0a6265b30e	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_1c3fe6c1b7	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_0211767abd	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_e6fbc50865	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_22d6e7e11b	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_8d71757a05	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_91f4061f93	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_d5965541dc	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_6cfee439ee	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_0feef98ed8	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_6ed5c89cb0	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_0d24bfc5e6	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_0021ebdb5e	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_67d7d5506e	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_bdaa2ef9d8	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_edd315452f	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_3ffe3b39cb	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	token_3dc3ecdab2	present	present	PASS	static SLURM/Apptainer template contract
scheduler-template	shellcheck	run when installed	NOT_FOUND	NOT_RUN	optional static linter
local-smoke	first_run_completed	3	3	PASS	native local workflow plumbing only
local-smoke	second_run_skipped	3	3	PASS	native local workflow plumbing only
local-smoke	observed_metric_rows	15000	15000	PASS	native local workflow plumbing only
local-smoke	telemetry_rows_valid	True	True	PASS	native local workflow plumbing only
local-smoke	resume_rows_valid	True	True	PASS	native local workflow plumbing only
figure	10-input-resource-budget.pdf_exists	True	True	PASS	publication artifact
figure	10-input-resource-budget.png_exists	True	True	PASS	publication artifact
figure	10-input-resource-budget.tiff_exists	True	True	PASS	publication artifact
figure	10-resource-control-loop.pdf_exists	True	True	PASS	publication artifact
figure	10-resource-control-loop.png_exists	True	True	PASS	publication artifact
figure	10-resource-control-loop.tiff_exists	True	True	PASS	publication artifact
figure	10-restart-safe-array.pdf_exists	True	True	PASS	publication artifact
figure	10-restart-safe-array.png_exists	True	True	PASS	publication artifact
figure	10-restart-safe-array.tiff_exists	True	True	PASS	publication artifact
