Donor	Approach	ModelID	CompoundsBeforeGapfill	CompoundsAfterGapfill	BlockedReactions	TotalReactions	BlockedReactionPercent	GapfillAddedCompounds	GapfillDeltaValid	GapfillAddedFraction	SourceAnomaly	Completeness	Contamination	Species	PaperQuality
Donor 1	Reference-guided	GCF_000218345.1.fbamodel (v1) Bacteroides_fragilis	1095.0	1116.0	458.0	1072.0	42.723880597014926	21.0	True	0.01881720430107527					
Donor 1	MAG-guided	bin.35	796.0	852.0	326.0	774.0	42.11886304909561	56.0	True	0.06572769953051644		99.52	0.96	Alistipes putredinis	Paper high
Donor 1	Reference-guided	GCF_001049535.1.fbamodel (v1) Bacteroides_thetaiotaomicron	1086.0	1112.0	442.0	1054.0	41.935483870967744	26.0	True	0.023381294964028777					
Donor 1	MAG-guided	bin.4	986.0	1016.0	385.0	970.0	39.69072164948454	30.0	True	0.02952755905511811		99.52	0.16	Agathobacter rectalis	Paper high
Donor 1	Reference-guided	GCF_001405155.1.fbamodel (v1) Bacteroides_vulgatus	1109.0	1129.0	427.0	1091.0	39.13840513290559	20.0	True	0.01771479185119575					
Donor 1	MAG-guided	bin.97	871.0	919.0	314.0	881.0	35.64131668558456	48.0	True	0.05223068552774755		99.52	1.45	Acetatifactor sp900066565	Paper high
Donor 1	Reference-guided	GCF_001404735.1.fbamodel (v1) Blautia_wexlerae	1075.0	1105.0	457.0	1057.0	43.23557237464522	30.0	True	0.027149321266968326					
Donor 1	MAG-guided	bin.134	972.0	997.0	391.0	978.0	39.97955010224949	25.0	True	0.025075225677031094		99.46	0.0	Odoribacter splanchnicus	Paper high
Donor 1	Reference-guided	GCF_001305055.1.fbamodel (v1) Clostridia_bacterium_UC5.1-1C12	725.0	795.0	256.0	744.0	34.40860215053764	70.0	True	0.0880503144654088					
Donor 1	MAG-guided	bin.34	1058.0	1088.0	424.0	1020.0	41.568627450980394	30.0	True	0.027573529411764705		99.37	0.0	Blautia_A wexlerae	Paper high
Donor 1	Reference-guided	GCF_001406615.1.fbamodel (v1) Faecalibacterium_prausnitzii	1079.0	1126.0	424.0	1028.0	41.245136186770424	47.0	True	0.041740674955595025					
Donor 1	MAG-guided	bin.45	753.0	819.0	231.0	732.0	31.557377049180328	66.0	True	0.08058608058608059		99.33	1.01	Ruminococcus_E bromii_B	Paper high
Donor 1	Reference-guided	GCF_002159415.1.fbamodel (v1) Odoribacter_splanchnicus	1026.0	1048.0	491.0	1018.0	48.23182711198428	22.0	True	0.02099236641221374					
Donor 1	MAG-guided	bin.86	887.0	939.0	361.0	867.0	41.63783160322952	52.0	True	0.055378061767838126		99.33	0.0	Coprococcus sp900066115	Paper high
Donor 1	Reference-guided	GCF_003438825.1.fbamodel (v1) Parabacteroides_merdae	1151.0	1174.0	389.0	925.0	42.05405405405405	23.0	True	0.019591141396933562					
Donor 1	MAG-guided	bin.7	926.0	996.0	366.0	904.0	40.48672566371682	70.0	True	0.07028112449799197		99.04	0.0	Alistipes finegoldii	Paper high
Donor 1	Reference-guided	GCF_003945365.1.fbamodel (v1) Phascolarctobacterium_faecium	992.0	1017.0	404.0	927.0	43.581445523193096	25.0	True	0.024582104228121928					
Donor 1	MAG-guided	bin.117	979.0	1015.0	363.0	961.0	37.77315296566077	36.0	True	0.035467980295566505		98.95	1.27	Fusicatenibacter saccharivorans	Paper high
Donor 1	Reference-guided	GCF_003268275.1.fbamodel (v1) Ruminococcaceae_bacterium	862.0	1029.0	407.0	961.0	42.35171696149844	167.0	True	0.16229348882410108					
Donor 1	MAG-guided	bin.163	997.0	1029.0	380.0	980.0	38.775510204081634	32.0	True	0.031098153547133137		98.66	1.23	Anaerostipes hadrus	Paper high
Donor 1	Reference-guided	GCF_002834235.1.fbamodel (v1) Ruminococcus_bromii	801.0	863.0	310.0	754.0	41.11405835543766	62.0	True	0.07184241019698726					
Donor 1	MAG-guided	bin.79	883.0	921.0	345.0	861.0	40.069686411149824	38.0	True	0.04125950054288816		98.66	0.34	Lachnospira rogosae_A	Paper high
Donor 1	Reference-guided	GGB6612_annotated.fbamodel (v1)	708.0	810.0	293.0	678.0	43.21533923303835	102.0	True	0.1259259259259259					
Donor 1	MAG-guided	bin.147	886.0	956.0	338.0	872.0	38.76146788990826	70.0	True	0.07322175732217573		98.63	0.0	Ruminococcus_D bicirculans	Paper high
Donor 1	Reference-guided	GGB9635_annotated.fbamodel (v1)	752.0	827.0	278.0	734.0	37.87465940054496	75.0	True	0.09068923821039904					
Donor 1	MAG-guided	bin.178	754.0	818.0	281.0	759.0	37.02239789196311	64.0	True	0.07823960880195599		98.48	0.0	Faecousia sp000434635	Paper high
Donor 1	Reference-guided	GGB9633_annotated.fbamodel (v1)	685.0	761.0	279.0	696.0	40.08620689655172	76.0	True	0.09986859395532194					
Donor 1	MAG-guided	bin.110	866.0	916.0	354.0	875.0	40.457142857142856	50.0	True	0.05458515283842795		98.41	0.67	UBA1417 sp003531055	Paper high
Donor 1	Reference-guided	donor1_bin49_model (v1)	817.0	879.0	305.0	837.0	36.43966547192354	62.0	True	0.07053469852104664					
Donor 1	MAG-guided	bin.12	906.0	953.0	370.0	882.0	41.950113378684804	47.0	True	0.04931794333683106		97.99	1.34	CAG-41 sp900066215	Paper high
Donor 1	Reference-guided	donor1_bin13_model (v1)	775.0	834.0	289.0	758.0	38.12664907651715	59.0	True	0.07074340527577938					
Donor 1	MAG-guided	bin.23	1017.0	1077.0	416.0	992.0	41.935483870967744	60.0	True	0.055710306406685235		97.99	0.0	Anaerotruncus massiliensis	Paper high
Donor 1	Reference-guided	donor1_bin18_model (v1)	684.0	804.0	293.0	687.0	42.64919941775837	120.0	True	0.14925373134328357					
Donor 1	MAG-guided	bin.3	873.0	921.0	326.0	857.0	38.03967327887982	48.0	True	0.05211726384364821		97.99	0.0	Eubacterium_F sp003491505	Paper high
Donor 1	Reference-guided	ruminococcus_bicirculans_model (v1)	893.0	956.0	339.0	866.0	39.14549653579677	63.0	True	0.06589958158995816					
Donor 1	MAG-guided	bin.37	812.0	854.0	287.0	763.0	37.61467889908257	42.0	True	0.04918032786885246		97.99	0.0	Anaerotignum faecicola	Paper high
Donor 1	Reference-guided	clostridium_AF34-10BH_model (v1)	970.0	1023.0	376.0	954.0	39.41299790356394	53.0	True	0.05180840664711633					
Donor 1	MAG-guided	bin.71	879.0	927.0	336.0	854.0	39.34426229508197	48.0	True	0.05177993527508091		97.99	0.0	CAG-115 sp003531585	Paper high
Donor 1	Reference-guided	faecalibacterium_prausnitzii_1_model (v1)	1079.0	1126.0	426.0	1028.0	41.43968871595331	47.0	True	0.041740674955595025					
Donor 1	MAG-guided	bin.22	965.0	986.0	394.0	910.0	43.2967032967033	21.0	True	0.02129817444219067		97.96	0.0	Akkermansia muciniphila_B	Paper high
Donor 1	Reference-guided	methanobrevibacter_smithii_model (v1)	715.0	807.0	284.0	688.0	41.27906976744186	92.0	True	0.11400247831474597					
Donor 1	MAG-guided	bin.102	684.0	760.0	259.0	657.0	39.42161339421613	76.0	True	0.1		97.9	1.05	UMGS1322 sp900550765	Paper high
Donor 1	Reference-guided	eubacterium_rectale_model (v1)	1071.0	1111.0	444.0	1037.0	42.81581485053037	40.0	True	0.036003600360036005					
Donor 1	MAG-guided	bin.136	891.0	926.0	335.0	868.0	38.594470046082954	35.0	True	0.03779697624190065		97.87	1.74	CAG-274 sp000432155	Paper high
Donor 1	Reference-guided	coprococcus_eutactus_model (v1)	957.0	1029.0	386.0	934.0	41.32762312633833	72.0	True	0.06997084548104957					
Donor 1	MAG-guided	bin.131	717.0	843.0	293.0	703.0	41.67852062588905	126.0	True	0.1494661921708185		97.85	0.0	Scatacola_A faecigallinarum	Paper high
Donor 1	Reference-guided	oscillibacter_ER4_model (v1)	848.0	901.0	312.0	814.0	38.32923832923833	53.0	True	0.058823529411764705					
Donor 1	MAG-guided	bin.72	775.0	832.0	265.0	756.0	35.05291005291005	57.0	True	0.06850961538461539		97.32	0.0	CAG-217 sp000436335	Paper high
Donor 1	Reference-guided	candidatus_cibiobacter_model (v1)	177.0	411.0	28.0	334.0	8.383233532934131	234.0	True	0.5693430656934306					
Donor 1	MAG-guided	bin.96	872.0	923.0	318.0	880.0	36.13636363636364	51.0	True	0.0552546045503792		97.31	0.32	Copromonas sp000435795	Paper high
Donor 1	Reference-guided	Gemmiger_formicilis_model (v1)	1037.0	1037.0		956.0	0.0	0.0	True	0.0	Published blocked-reaction count is missing while percent is reported				
Donor 1	MAG-guided	bin.150	891.0	939.0	335.0	878.0	38.15489749430524	48.0	True	0.051118210862619806		97.28	0.0	Gemmiger qucibialis	Paper high
Donor 1	Reference-guided	clostridium_AF36-4_model (v1)	919.0	974.0	344.0	926.0	37.14902807775378	55.0	True	0.05646817248459959					
Donor 1	MAG-guided	bin.113	1087.0	1124.0	466.0	1073.0	43.42963653308481	37.0	True	0.03291814946619217		97.26	0.24	Bacteroides thetaiotaomicron	Paper high
Donor 1	Reference-guided	akkermansia_muciniphila_model (v1)	957.0	979.0	385.0	893.0	43.11310190369541	22.0	True	0.02247191011235955					
Donor 1	MAG-guided	bin.114	921.0	952.0	365.0	900.0	40.55555555555556	31.0	True	0.032563025210084036		96.86	1.21	Agathobacter faecis	Paper high
Donor 2	Reference-guided	Prevotella_copri_rast_annotation	928.0	967.0	357.0	909.0	39.273927392739274	39.0	True	0.04033092037228542					
Donor 2	MAG-guided	bin.103	954.0	995.0	380.0	930.0	40.86021505376344	41.0	True	0.04120603015075377		100.0	0.0	Clostridium_Q fessum	Paper high
Donor 2	Reference-guided	phocaeicola_vulgatus_rast_annotation	1091.0	1111.0	446.0	1074.0	41.527001862197395	20.0	True	0.018001800180018002					
Donor 2	MAG-guided	bin.130	941.0	990.0	383.0	901.0	42.508324084350726	49.0	True	0.049494949494949494		100.0	0.0	Alistipes_A pullistercoris	Paper high
Donor 2	Reference-guided	alistipes_putredinis_rast_annotation	858.0	901.0	414.0	810.0	51.11111111111111	43.0	True	0.04772475027746948					
Donor 2	MAG-guided	bin.79	794.0	848.0	305.0	807.0	37.79429987608427	54.0	True	0.06367924528301887		100.0	0.09	Bifidobacterium adolescentis	Paper high
Donor 2	Reference-guided	alistipes_onderdonkii_rast_annotation	1016.0	1080.0	424.0	980.0	43.26530612244898	64.0	True	0.05925925925925926					
Donor 2	MAG-guided	bin.110	941.0	978.0	363.0	889.0	40.83239595050618	37.0	True	0.03783231083844581		99.98	1.5	Phascolarctobacterium faecium	Paper high
Donor 2	Reference-guided	eubacterium_rectale_rast_annotation	1071.0	1111.0	445.0	1037.0	42.912246865959496	40.0	True	0.036003600360036005					
Donor 2	MAG-guided	bin.87	885.0	958.0	348.0	860.0	40.46511627906977	73.0	True	0.07620041753653445		99.97	0.48	Alistipes communis	Paper high
Donor 2	Reference-guided	lachnospiraceae_WCA3_rast_annotation	919.0	965.0	370.0	882.0	41.950113378684804	46.0	True	0.04766839378238342					
Donor 2	MAG-guided	bin.149	1466.0	1466.0	545.0	1600.0	34.0625	0.0	True	0.0		99.88	0.32	Citrobacter_B koseri	Paper high
Donor 2	Reference-guided	bifidobacterium_adolescentis_rast_annotation	805.0	857.0	325.0	826.0	39.346246973365616	52.0	True	0.060676779463243874					
Donor 2	MAG-guided	bin.20	920.0	962.0	355.0	903.0	39.31339977851606	42.0	True	0.04365904365904366		99.52	1.45	Acetatifactor intestinalis	Paper high
Donor 2	Reference-guided	candidatus_rast_annotation	177.0	414.0	28.0	338.0	8.284023668639055	237.0	True	0.572463768115942					
Donor 2	MAG-guided	bin.109	1019.0	1052.0	460.0	968.0	47.5206611570248	33.0	True	0.03136882129277566		99.46	0.0	Butyricimonas paravirosa	Paper high
Donor 2	Reference-guided	clostridium_rast_annotation	981.0	1022.0	375.0	947.0	39.5987328405491	41.0	True	0.040117416829745595					
Donor 2	MAG-guided	bin.11	1120.0	1143.0	481.0	1028.0	46.78988326848249	23.0	True	0.020122484689413824		99.41	0.59	Bilophila wadsworthia	Paper high
Donor 2	Reference-guided	roseburia_AF02_rast_annotation	1021.0	1062.0	403.0	994.0	40.543259557344065	41.0	True	0.038606403013182675					
Donor 2	MAG-guided	bin.81	1028.0	1059.0	543.0	962.0	56.44490644490644	31.0	True	0.02927289896128423		99.38	0.66	Sutterella wadsworthensis	Paper high
Donor 2	Reference-guided	bacteroides_caccae_rast_annotation	1075.0	1103.0	444.0	1067.0	41.611996251171504	28.0	True	0.025385312783318223					
Donor 2	MAG-guided	bin.31	947.0	991.0	356.0	933.0	38.156484458735264	44.0	True	0.044399596367305755		99.36	0.84	RUG115 sp900066395	Paper high
Donor 2	Reference-guided	bacteroides_xylanisolvens_rast_annotation	1118.0	1141.0	459.0	1095.0	41.917808219178085	23.0	True	0.020157756354075372					
Donor 2	MAG-guided	bin.4	805.0	868.0	293.0	824.0	35.55825242718447	63.0	True	0.07258064516129033		99.3	1.17	UBA11524 sp000437595	Paper high
Donor 2	Reference-guided	faecalibacterium_prausnitzii_rast_annotation	1079.0	1124.0	428.0	1028.0	41.63424124513619	45.0	True	0.0400355871886121					
Donor 2	MAG-guided	bin.131	828.0	880.0	282.0	837.0	33.691756272401435	52.0	True	0.05909090909090909		99.23	1.0	Streptococcus salivarius	Paper high
Donor 2	Reference-guided	bacteroides_uniformis_rast_annotation	1111.0	1152.0	450.0	1103.0	40.797824116047146	41.0	True	0.035590277777777776					
Donor 2	MAG-guided	bin.39	838.0	899.0	325.0	806.0	40.32258064516129	61.0	True	0.067853170189099		99.19	0.81		Paper high
Donor 2	Reference-guided	alistipes_communis_rast_annotation	938.0	996.0	327.0	921.0	35.50488599348534	58.0	True	0.05823293172690763					
Donor 2	MAG-guided	bin.52	891.0	930.0	350.0	893.0	39.193729003359465	39.0	True	0.041935483870967745		99.05	1.21	Agathobacter faecis	Paper high
Donor 2	Reference-guided	gemmiger_formicilis_rast_annotation	1037.0	1037.0		957.0	0.0	0.0	True	0.0	Published blocked-reaction count is missing while percent is reported				
Donor 2	MAG-guided	bin.115	779.0	824.0	291.0	746.0	39.00804289544236	45.0	True	0.05461165048543689		99.04	0.96	Alistipes putredinis	Paper high
Donor 2	Reference-guided	bacteroides_stercoris_rast_annotation	1076.0	1100.0	453.0	1040.0	43.55769230769231	24.0	True	0.02181818181818182					
Donor 2	MAG-guided	bin.63	991.0	1028.0	401.0	969.0	41.38286893704851	37.0	True	0.03599221789883268		99.03	0.0	Agathobacter rectalis	Paper high
Donor 2	Reference-guided	barnesiella_intestinihominis_rast_annotation	987.0	1040.0	440.0	978.0	44.989775051124745	53.0	True	0.05096153846153846					
Donor 2	MAG-guided	bin.139	901.0	842.0	361.0	882.0	40.929705215419496	-59.0	False		Published after-gapfill compound count is lower than before-gapfill count	98.66	0.0	CAG-127 sp900319515	Paper high
Donor 2	Reference-guided	oscillibacter_ER4_rast_annotation	846.0	899.0	411.0	812.0	50.61576354679803	53.0	True	0.058954393770856504					
Donor 2	MAG-guided	bin.19	788.0	846.0	278.0	781.0	35.59539052496799	58.0	True	0.06855791962174941		98.66	0.0	Eubacterium_R sp000436835	Paper high
Donor 2	Reference-guided	phascolarctobacterium_faecium_rast_annotation	981.0	1012.0	493.0	917.0	53.76226826608506	31.0	True	0.030632411067193676					
Donor 2	MAG-guided	bin.29	849.0	900.0	323.0	815.0	39.6319018404908	51.0	True	0.056666666666666664		98.66	0.0	ER4 sp000765235	Paper high
Donor 2	Reference-guided	ruminococcus_bicirculans_rast_annotation	907.0	977.0	346.0	884.0	39.14027149321267	70.0	True	0.07164790174002048					
Donor 2	MAG-guided	bin.72	856.0	915.0	352.0	864.0	40.74074074074074	59.0	True	0.06448087431693988		98.66	0.0	UBA1417 sp003531055	Paper high
Donor 2	Reference-guided	phocaeicola_massiliensis_rast_annotation	1075.0	1099.0	416.0	1040.0	40.0	24.0	True	0.02183803457688808					
Donor 2	MAG-guided	bin.75	875.0	946.0	329.0	858.0	38.344988344988344	71.0	True	0.07505285412262157		98.63	0.0	Ruminococcus_D bicirculans	Paper high
Donor 2	Reference-guided	roseburia_faecis_rast_annotation	994.0	1032.0	409.0	984.0	41.5650406504065	38.0	True	0.03682170542635659					
Donor 2	MAG-guided	bin.10	877.0	927.0	343.0	865.0	39.653179190751445	50.0	True	0.05393743257820928		98.48	0.0	Faecalibacterium prausnitzii_G	Paper high
Donor 2	Reference-guided	faecalibacterium_prausnitzii_1_rast_annotation	950.0	992.0	384.0	944.0	40.67796610169492	42.0	True	0.04233870967741935					
Donor 2	MAG-guided	bin.99	889.0	937.0	343.0	876.0	39.15525114155251	48.0	True	0.051227321237993596		98.45	0.0	Faecalibacterium prausnitzii	Paper high
Donor 2	Reference-guided	donor2_bin10_rast_annotation	910.0	956.0	356.0	924.0	38.52813852813853	46.0	True	0.04811715481171548					
Donor 2	MAG-guided	bin.21	964.0	988.0	396.0	958.0	41.33611691022965	24.0	True	0.024291497975708502		98.39	0.0	Odoribacter splanchnicus	Paper high
Donor 2	Reference-guided	donor2_bin40_rast_annotation	854.0	923.0	320.0	886.0	36.11738148984199	69.0	True	0.07475622968580715					
Donor 2	MAG-guided	bin.122	928.0	996.0	363.0	890.0	40.78651685393259	68.0	True	0.06827309236947791		98.32	1.6	Alistipes onderdonkii	Paper high
Donor 2	Reference-guided	donor2_bin14_rast_annotation	773.0	852.0	290.0	762.0	38.05774278215223	79.0	True	0.09272300469483569					
Donor 2	MAG-guided	bin.85	1046.0	1088.0	445.0	1036.0	42.95366795366795	42.0	True	0.03860294117647059		98.22	0.0	Bacteroides uniformis	Paper high
Donor 2	Reference-guided	donor2_bin23_rast_annotation	842.0	901.0	338.0	875.0	38.628571428571426	59.0	True	0.06548279689234185					
Donor 2	MAG-guided	bin.162	1113.0	1148.0	444.0	909.0	48.84488448844885	35.0	True	0.03048780487804878		98.18	0.38	Parabacteroides distasonis	Paper high
Donor 2	Reference-guided	Parabacteroides_distasonis_rast_annotation	1122.0	1142.0	452.0	1069.0	42.282507015902716	20.0	True	0.017513134851138354					
Donor 2	MAG-guided	bin.107	1033.0	1064.0	450.0	963.0	46.728971962616825	31.0	True	0.02913533834586466		98.14	0.0	Sutterella wadsworthensis	Paper high
Donor 2	Reference-guided	bacteroides_faecis_rast_annotation	1088.0	1117.0	437.0	1067.0	40.955951265229615	29.0	True	0.025962399283795883					
Donor 2	MAG-guided	bin.106	926.0	967.0	335.0	914.0	36.65207877461707	41.0	True	0.04239917269906929		98.1	0.65	UBA3402 sp003478355	Paper high
Donor 2	Reference-guided	Ecoli_rast_annotation	1480.0	1480.0	533.0	1629.0	32.71945979128299	0.0	True	0.0					
Donor 2	MAG-guided	bin.126	883.0	934.0	320.0	881.0	36.322360953461974	51.0	True	0.05460385438972163		98.05	0.63	Copromonas sp000435795	Paper high
Donor 2	Reference-guided	Odoribacter_splanchnicus_rast_annotation	1026.0	1048.0	391.0	1018.0	38.40864440078585	22.0	True	0.02099236641221374					
Donor 2	MAG-guided	bin.51	934.0	983.0	405.0	917.0	44.165757906215916	49.0	True	0.04984740590030519		97.96	0.68	Gemmiger qucibialis	Paper high
Donor 2	Reference-guided	Parabacteroides_johnsonii_rast_annotation	1163.0	1184.0	494.0	1129.0	43.7555358724535	21.0	True	0.017736486486486486					
Donor 2	MAG-guided	bin.13	979.0	1024.0	397.0	953.0	41.65792235047219	45.0	True	0.0439453125		97.65	1.34	Anaerostipes hadrus	Paper high
Donor 2	Reference-guided	faecalibacterium_prausnitzii_2_rast_annotation	1079.0	1126.0	428.0	1028.0	41.63424124513619	47.0	True	0.041740674955595025					
Donor 2	MAG-guided	bin.128	843.0	990.0	358.0	895.0	40.0	147.0	True	0.1484848484848485		96.96	0.89	Agathobaculum butyriciproducens	Paper high
Donor 2	Reference-guided	phocaeicola_dorei_rast_annotation	1108.0	1127.0	470.0	1095.0	42.922374429223744	19.0	True	0.01685891748003549					
Donor 2	MAG-guided	bin.163	898.0	954.0	360.0	878.0	41.00227790432802	56.0	True	0.05870020964360587		96.81	0.71	CAG-238 sp900542245	Paper high
Donor 2	Reference-guided	lachnospira_eligens_rast_annotation	934.0	982.0	355.0	905.0	39.226519337016576	48.0	True	0.048879837067209775					
Donor 2	MAG-guided	bin.27	931.0	978.0	366.0	896.0	40.848214285714285	47.0	True	0.04805725971370143		96.62	1.91	Prevotella copri	Paper high
Donor 2	Reference-guided	haeomophilus_rast_annotation	1095.0	1113.0	417.0	1086.0	38.39779005524862	18.0	True	0.016172506738544475					
Donor 2	MAG-guided	bin.73	969.0	1023.0	439.0	953.0	46.06505771248688	54.0	True	0.05278592375366569		96.6	0.0	Gemmiger formicilis	Paper high
