Donor	MAGID	Completeness	Contamination	GTDBr207Taxonomy	PaperQuality	Domain	Phylum	Class	Order	Family	Genus	Species	SpeciesResolved	MIMAGHighQualityStatus	NormalizedInput
Donor 1	bin.23	97.99	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus massiliensis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus massiliensis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.3	97.99	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp003491505	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.37	97.99	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum faecicola	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum faecicola	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.71	97.99	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp003531585	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.22	97.96	0.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B	Paper high	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_B	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.102	97.9	1.05	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__QALW01;g__UMGS1322;s__UMGS1322 sp900550765	Paper high	Bacteria	Firmicutes_A	Clostridia	Christensenellales	QALW01	UMGS1322	UMGS1322 sp900550765	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.136	97.87	1.74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__CAG-274;s__CAG-274 sp000432155	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	CAG-274	CAG-274	CAG-274 sp000432155	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.131	97.85	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	Paper high	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	Scatacola_A	Scatacola_A faecigallinarum	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.72	97.32	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.96	97.31	0.32	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp000435795	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas	Copromonas sp000435795	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.150	97.28	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.113	97.26	0.24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.114	96.86	1.21	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis	True	Not assessable: rRNA/tRNA evidence absent	True
Donor 1	bin.47	96.36	0.71	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci	Paper high	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella porci	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.56	96.15	0.23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.9	95.97	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C callidus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.50	95.4	0.37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Paper high	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.107	95.12	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Pseudobutyricicoccus;s__Pseudobutyricicoccus lothianensis	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Pseudobutyricicoccus	Pseudobutyricicoccus lothianensis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.89	94.97	1.01	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.59	94.78	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000437735	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.69	94.63	0.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp900317525	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.38	94.09	0.02	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q fessum	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q fessum	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.143	93.74	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644;g__UBA644;s__UBA644 sp900547165	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	UBA644	UBA644	UBA644 sp900547165	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.172	93.65	0.18	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	Paper high	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Coprobacillaceae	Faecalibacillus	Faecalibacillus intestinalis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.10	93.6	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000431375	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp000431375	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.111	93.19	1.02	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900539945	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.142	93.11	0.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.6	92.88	1.28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Ventricola;s__Ventricola sp900548125	Paper high	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-74	Ventricola	Ventricola sp900548125	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.137	92.24	1.18	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003538135	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp003538135	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.60	92.02	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E siraeum	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.90	91.94	0.08	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Gallimonas;s__Gallimonas caecicola	Paper high	Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Gallimonas	Gallimonas caecicola	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.53	90.73	2.42	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-314;g__CAG-314;s__CAG-314 sp000437915	Paper high	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-314	CAG-314	CAG-314 sp000437915	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.74	90.6	1.01	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000435975	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp000435975	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.174	90.08	0.56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	Paper high	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter asaccharolyticus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.17	90.07	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__UBA3402 sp003478355	Paper high	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp003478355	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.57	89.9	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.164	89.68	0.4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Alectryocaccomicrobium;s__Alectryocaccomicrobium faecavium	Paper medium	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-74	Alectryocaccomicrobium	Alectryocaccomicrobium faecavium	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.158	88.59	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA738;s__UBA738 sp003522945	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA738	UBA738 sp003522945	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.170	88.48	1.4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000435555	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp000435555	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.48	87.38	1.01	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp003516765	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp003516765	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.39	86.97	1.27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster lavalensis	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster lavalensis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.52	86.32	1.71	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Stercorousia;s__Stercorousia sp000437435	Paper medium	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Stercorousia	Stercorousia sp000437435	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.49	86.17	1.32	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__QAKD01;s__QAKD01 sp003343965	Paper medium	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	QAKD01	QAKD01 sp003343965	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.73	86.04	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp000433735	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp000433735	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.33	85.73	1.64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__Spyradocola;s__Spyradocola merdavium	Paper medium	Bacteria	Firmicutes_A	Clostridia	Christensenellales	UBA1750	Spyradocola	Spyradocola merdavium	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.91	85.53	1.27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375;s__UMGS1375 sp900066615	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1375	UMGS1375 sp900066615	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.152	85.52	1.68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Paper medium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.44	85.46	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A faecis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.123	84.37	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615 sp900066985	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.122	83.67	1.71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia hominis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.31	83.43	2.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp900066535	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas	Copromonas sp900066535	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.26	83.39	1.36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Avimicrobium;s__	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Avimicrobium		False	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.95	81.97	2.33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	Paper medium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.80	81.77	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp000765235	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 1	bin.99	81.35	0.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__	Paper medium	Bacteria	Firmicutes_A	Clostridia	Christensenellales	Borkfalkiaceae	Scatosoma		False	Not assessable: rRNA/tRNA evidence absent	False
