Parent	Category	PathwayID	PathwayName	Source
Donor 1	Common	map04740	Olfactory transduction	KEGG
Donor 1	Common	map01061	Biosynthesis of phenylpropanoids	KEGG
Donor 1	Common	SMP00459	Pyruvaldehyde Degradation	HMDB
Donor 1	Common	map01062	Biosynthesis of terpenoids and steroids	KEGG
Donor 1	Common	map00534	Glycosaminoglycan biosynthesis - heparan sulfate	KEGG
Donor 1	Common	map05211	Renal cell carcinoma	KEGG
Donor 1	Common	map04113	Meiosis - yeast	KEGG
Donor 1	Common	map04940	Type I diabetes mellitus	KEGG
Donor 1	Common	map00760	Nicotinate and nicotinamide metabolism	KEGG
Donor 1	Common	SMP00070	Riboflavin Metabolism	HMDB
Donor 1	Common	ULS00303	uracil from uridine (hydrolase route)	ChEBI
Donor 1	Common	map04744	Phototransduction	KEGG
Donor 1	Common	SMP00039	Glycerolipid Metabolism	HMDB
Donor 1	Common	SMP00445	Spermidine and Spermine Biosynthesis	HMDB
Donor 1	Common	SMP00007	Beta-Alanine Metabolism	HMDB
Donor 1	Common	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG
Donor 1	Common	SMP00477	DNA Replication Fork	HMDB
Donor 1	Common	map00521	Streptomycin biosynthesis	KEGG
Donor 1	Common	SMP00033	Methionine Metabolism	HMDB
Donor 1	Common	map00561	Glycerolipid metabolism	KEGG
Donor 1	Common	map00053	Ascorbate and aldarate metabolism	KEGG
Donor 1	Common	map02030	Bacterial chemotaxis	KEGG
Donor 1	Common	map00473	D-Alanine metabolism	KEGG
Donor 1	Common	map00072	Synthesis and degradation of ketone bodies	KEGG
Donor 1	Common	SMP00455	Homocysteine Degradation	HMDB
Donor 1	Common	SMP00071	Ketone Body Metabolism	HMDB
Donor 1	Only reference-guided	map00310	Lysine degradation	KEGG
Donor 1	Only reference-guided	SMP00015	Glutathione Metabolism	HMDB
Donor 1	Only reference-guided	SMP00037	Lysine Degradation	HMDB
Donor 1	Only reference-guided	map00970	Aminoacyl-tRNA biosynthesis	KEGG
Donor 1	Only reference-guided	SMP00017	Vitamin B6 Metabolism	HMDB
Donor 1	Only reference-guided	ULS00322	urate from hypoxanthine	ChEBI
Donor 1	Only MAG-guided	map00660	C5-Branched dibasic acid metabolism	KEGG
Donor 1	Only MAG-guided	map00643	Styrene degradation	KEGG
Donor 1	Only MAG-guided	SMP00465	Carnitine Synthesis	HMDB
Donor 1	Only MAG-guided	map00562	Inositol phosphate metabolism	KEGG
Donor 2	Common	map01100	Metabolic pathways	KEGG
Donor 2	Common	map00230	Purine metabolism	KEGG
Donor 2	Common	map00240	Pyrimidine metabolism	KEGG
Donor 2	Common	map02010	ABC transporters	KEGG
Donor 2	Common	map00061	Fatty acid biosynthesis	KEGG
Donor 2	Common	map00062	Fatty acid elongation in mitochondria	KEGG
Donor 2	Common	map02060	Phosphotransferase system (PTS)	KEGG
Donor 2	Common	map00260	Glycine, serine and threonine metabolism	KEGG
Donor 2	Common	map00052	Galactose metabolism	KEGG
Donor 2	Common	map00540	Lipopolysaccharide biosynthesis	KEGG
Donor 2	Common	map00270	Cysteine and methionine metabolism	KEGG
Donor 2	Common	map00770	Pantothenate and CoA biosynthesis	KEGG
Donor 2	Common	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG
Donor 2	Common	SMP00046	Pyrimidine Metabolism	HMDB
Donor 2	Common	map02020	Two-component system	KEGG
Donor 2	Common	map00071	Fatty acid metabolism	KEGG
Donor 2	Common	map00030	Pentose phosphate pathway	KEGG
Donor 2	Common	map00710	Carbon fixation in photosynthetic organisms	KEGG
Donor 2	Common	map00040	Pentose and glucuronate interconversions	KEGG
Donor 2	Common	map00330	Arginine and proline metabolism	KEGG
Donor 2	Common	map00630	Glyoxylate and dicarboxylate metabolism	KEGG
Donor 2	Common	map00860	Porphyrin and chlorophyll metabolism	KEGG
Donor 2	Common	map00790	Folate biosynthesis	KEGG
Donor 2	Common	map00250	Alanine, aspartate and glutamate metabolism	KEGG
Donor 2	Common	map00680	Methane metabolism	KEGG
Donor 2	Common	map01070	Biosynthesis of plant hormones	KEGG
Donor 2	Common	map00720	Reductive carboxylate cycle (CO2 fixation)	KEGG
Donor 2	Common	map01065	Biosynthesis of alkaloids derived from histidine and purine	KEGG
Donor 2	Common	map00650	Butanoate metabolism	KEGG
Donor 2	Common	map00520	Amino sugar and nucleotide sugar metabolism	KEGG
Donor 2	Common	SMP00050	Purine Metabolism	HMDB
Donor 2	Common	SMP00051	Fatty acid Metabolism	HMDB
Donor 2	Common	map00010	Glycolysis / Gluconeogenesis	KEGG
Donor 2	Common	SMP00054	Fatty Acid Elongation In Mitochondria	HMDB
Donor 2	Common	map00920	Sulfur metabolism	KEGG
Donor 2	Common	map00900	Terpenoid backbone biosynthesis	KEGG
Donor 2	Common	map00620	Pyruvate metabolism	KEGG
Donor 2	Common	map00740	Riboflavin metabolism	KEGG
Donor 2	Common	map00290	Valine, leucine and isoleucine biosynthesis	KEGG
Donor 2	Common	map00051	Fructose and mannose metabolism	KEGG
Donor 2	Common	SMP00057	Citric Acid Cycle	HMDB
Donor 2	Common	map00020	Citrate cycle (TCA cycle)	KEGG
Donor 2	Common	SMP00481	Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids	HMDB
Donor 2	Common	map00550	Peptidoglycan biosynthesis	KEGG
Donor 2	Common	map00750	Vitamin B6 metabolism	KEGG
Donor 2	Common	map04964	Proximal tubule bicarbonate reclamation	KEGG
Donor 2	Common	map00640	Propanoate metabolism	KEGG
Donor 2	Common	map00300	Lysine biosynthesis	KEGG
Donor 2	Common	map00190	Oxidative phosphorylation	KEGG
Donor 2	Common	map00280	Valine, leucine and isoleucine degradation	KEGG
Donor 2	Common	map00670	One carbon pool by folate	KEGG
Donor 2	Common	map00730	Thiamine metabolism	KEGG
Donor 2	Common	map00910	Nitrogen metabolism	KEGG
Donor 2	Common	map00410	beta-Alanine metabolism	KEGG
Donor 2	Common	SMP00480	Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids	HMDB
Donor 2	Common	SMP00004	Glycine and Serine Metabolism	HMDB
Donor 2	Common	SMP00019	Transcription/Translation	HMDB
Donor 2	Common	SMP00059	Urea Cycle	HMDB
Donor 2	Common	SMP00043	Galactose Metabolism	HMDB
Donor 2	Common	SMP00053	Folate Metabolism	HMDB
Donor 2	Common	SMP00128	Gluconeogenesis	HMDB
Donor 2	Common	SMP00045	Amino Sugar Metabolism	HMDB
Donor 2	Common	SMP00466	Transfer of Acetyl Groups into Mitochondria	HMDB
Donor 2	Common	SMP00009	Ammonia Recycling	HMDB
Donor 2	Common	SMP00127	Glucose-Alanine Cycle	HMDB
Donor 2	Common	map00500	Starch and sucrose metabolism	KEGG
Donor 2	Common	SMP00444	Lactose Synthesis	HMDB
Donor 2	Common	map00430	Taurine and hypotaurine metabolism	KEGG
Donor 2	Common	map00195	Photosynthesis	KEGG
Donor 2	Common	map00780	Biotin metabolism	KEGG
Donor 2	Common	SMP00482	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	HMDB
Donor 2	Common	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG
Donor 2	Common	map00053	Ascorbate and aldarate metabolism	KEGG
Donor 2	Common	map00340	Histidine metabolism	KEGG
Donor 2	Common	SMP00040	Glycolysis	HMDB
Donor 2	Common	SMP00008	Phenylalanine and Tyrosine Metabolism	HMDB
Donor 2	Common	SMP00072	Glutamate Metabolism	HMDB
Donor 2	Common	SMP00031	Pentose Phosphate Pathway	HMDB
Donor 2	Common	map05014	Amyotrophic lateral sclerosis (ALS)	KEGG
Donor 2	Common	SMP00060	Pyruvate Metabolism	HMDB
Donor 2	Common	SMP00452	Threonine and 2-Oxobutanoate Degradation	HMDB
Donor 2	Common	map04966	Collecting duct acid secretion	KEGG
Donor 2	Common	SMP00467	Trehalose Degradation	HMDB
Donor 2	Common	map00310	Lysine degradation	KEGG
Donor 2	Common	map04742	Taste transduction	KEGG
Donor 2	Common	SMP00032	Valine, Leucine and Isoleucine Degradation	HMDB
Donor 2	Common	SMP00457	Lactose Degradation	HMDB
Donor 2	Common	SMP00005	Pterine Biosynthesis	HMDB
Donor 2	Common	SMP00044	Histidine Metabolism	HMDB
Donor 2	Common	SMP00449	Ethanol Degradation	HMDB
Donor 2	Common	SMP00355	Mitochondrial Electron Transport Chain	HMDB
Donor 2	Common	map00480	Glutathione metabolism	KEGG
Donor 2	Common	SMP00055	Alanine Metabolism	HMDB
Donor 2	Common	ULS00181	betaine from choline	ChEBI
Donor 2	Common	SMP00067	Aspartate Metabolism	HMDB
Donor 2	Common	map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	KEGG
Donor 2	Common	map00643	Styrene degradation	KEGG
Donor 2	Common	map05012	Parkinson's disease	KEGG
Donor 2	Common	ULS00313	(S)-allantoin from urate	ChEBI
Donor 2	Common	SMP00010	Nucleotide Sugars Metabolism	HMDB
Donor 2	Common	SMP00073	Butyrate Metabolism	HMDB
Donor 2	Common	map04260	Cardiac muscle contraction	KEGG
Donor 2	Common	map04142	Lysosome	KEGG
Donor 2	Common	map04930	Type II diabetes mellitus	KEGG
Donor 2	Common	SMP00016	Propanoate Metabolism	HMDB
Donor 2	Common	SMP00064	Fructose and Mannose Degradation	HMDB
Donor 2	Common	map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	KEGG
Donor 2	Common	ULS00204	choline from choline sulfate	ChEBI
Donor 2	Common	SMP00024	Porphyrin Metabolism	HMDB
Donor 2	Common	ULS00347	dinitrogen from nitrate	ChEBI
Donor 2	Common	map00561	Glycerolipid metabolism	KEGG
Donor 2	Common	map01061	Biosynthesis of phenylpropanoids	KEGG
Donor 2	Common	SMP00007	Beta-Alanine Metabolism	HMDB
Donor 2	Common	SMP00048	Nicotinate and Nicotinamide Metabolism	HMDB
Donor 2	Common	SMP00129	Malate-Aspartate Shuttle	HMDB
Donor 2	Common	SMP00124	Glycerol Phosphate Shuttle	HMDB
Donor 2	Common	map05110	Vibrio cholerae infection	KEGG
Donor 2	Common	map00471	D-Glutamine and D-glutamate metabolism	KEGG
Donor 2	Common	SMP00468	Degradation of Superoxides	HMDB
Donor 2	Common	SMP00027	Pantothenate and CoA Biosynthesis	HMDB
Donor 2	Common	map04720	Long-term potentiation	KEGG
Donor 2	Common	map05010	Alzheimer's disease	KEGG
Donor 2	Common	SMP00033	Methionine Metabolism	HMDB
Donor 2	Common	map04740	Olfactory transduction	KEGG
Donor 2	Common	map05120	Epithelial cell signaling in Helicobacter pylori infection	KEGG
Donor 2	Common	map00660	C5-Branched dibasic acid metabolism	KEGG
Donor 2	Common	map04940	Type I diabetes mellitus	KEGG
Donor 2	Common	map05211	Renal cell carcinoma	KEGG
Donor 2	Common	map04113	Meiosis - yeast	KEGG
Donor 2	Common	map00534	Glycosaminoglycan biosynthesis - heparan sulfate	KEGG
Donor 2	Common	SMP00459	Pyruvaldehyde Degradation	HMDB
Donor 2	Common	ULS00303	uracil from uridine (hydrolase route)	ChEBI
Donor 2	Common	SMP00070	Riboflavin Metabolism	HMDB
Donor 2	Common	map00760	Nicotinate and nicotinamide metabolism	KEGG
Donor 2	Common	map04744	Phototransduction	KEGG
Donor 2	Common	SMP00445	Spermidine and Spermine Biosynthesis	HMDB
Donor 2	Common	SMP00039	Glycerolipid Metabolism	HMDB
Donor 2	Common	SMP00465	Carnitine Synthesis	HMDB
Donor 2	Common	SMP00477	DNA Replication Fork	HMDB
Donor 2	Common	map00521	Streptomycin biosynthesis	KEGG
Donor 2	Common	ULS00328	propane-1,3-diol from glycerol (reductive route)	ChEBI
Donor 2	Common	ULS00322	urate from hypoxanthine	ChEBI
Donor 2	Common	map00072	Synthesis and degradation of ketone bodies	KEGG
Donor 2	Common	map00473	D-Alanine metabolism	KEGG
Donor 2	Common	map02030	Bacterial chemotaxis	KEGG
Donor 2	Common	SMP00455	Homocysteine Degradation	HMDB
Donor 2	Common	map00562	Inositol phosphate metabolism	KEGG
Donor 2	Only reference-guided	SMP00015	Glutathione Metabolism	HMDB
Donor 2	Only reference-guided	SMP00450	Phytanic Acid Peroxisomal Oxidation	HMDB
Donor 2	Only MAG-guided	SMP00071	Ketone Body Metabolism	HMDB
Donor 2	Only MAG-guided	SMP00020	Arginine and Proline Metabolism	HMDB
