CAZyme ID	SGB_001 Hit numbers	SGB_001 Hits	SGB_002 Hit numbers	SGB_002 Hits	SGB_003 Hit numbers	SGB_003 Hits	SGB_004 Hit numbers	SGB_004 Hits	SGB_005 Hit numbers	SGB_005 Hits	SGB_006 Hit numbers	SGB_006 Hits	SGB_007 Hit numbers	SGB_007 Hits	SGB_008 Hit numbers	SGB_008 Hits	SGB_009 Hit numbers	SGB_009 Hits	SGB_010 Hit numbers	SGB_010 Hits	SGB_011 Hit numbers	SGB_011 Hits	SGB_012 Hit numbers	SGB_012 Hits	SGB_013 Hit numbers	SGB_013 Hits	SGB_014 Hit numbers	SGB_014 Hits	SGB_015 Hit numbers	SGB_015 Hits	SGB_016 Hit numbers	SGB_016 Hits	SGB_017 Hit numbers	SGB_017 Hits	SGB_018 Hit numbers	SGB_018 Hits	SGB_019 Hit numbers	SGB_019 Hits	SGB_020 Hit numbers	SGB_020 Hits	SGB_021 Hit numbers	SGB_021 Hits	SGB_022 Hit numbers	SGB_022 Hits	SGB_023 Hit numbers	SGB_023 Hits	SGB_024 Hit numbers	SGB_024 Hits	TRUNC_050 Hit numbers	TRUNC_050 Hits	TRUNC_070 Hit numbers	TRUNC_070 Hits	TRUNC_090 Hit numbers	TRUNC_090 Hits	TRUNC_100 Hit numbers	TRUNC_100 Hits
GH013	2	SGB_001__k141_19540_37;SGB_001__k141_50523_54	1	SGB_002__k141_21793_15	2	SGB_003__k141_29519_8;SGB_003__k141_38587_37	5	SGB_004__k141_1125_35;SGB_004__k141_12863_17;SGB_004__k141_12863_18;SGB_004__k141_50442_92;SGB_004__k141_56854_13	6	SGB_005__k141_1398_27;SGB_005__k141_25357_40;SGB_005__k141_44250_8;SGB_005__k141_44250_9;SGB_005__k141_48459_9;SGB_005__k141_48887_21	7	SGB_006__k141_2369_9;SGB_006__k141_256_3;SGB_006__k141_256_4;SGB_006__k141_43756_4;SGB_006__k141_43756_7;SGB_006__k141_43756_8;SGB_006__k141_55553_1	12	SGB_007__k141_12661_4;SGB_007__k141_1574_25;SGB_007__k141_23405_18;SGB_007__k141_2650_5;SGB_007__k141_31912_44;SGB_007__k141_31912_45;SGB_007__k141_38106_2;SGB_007__k141_4423_29;SGB_007__k141_46661_43;SGB_007__k141_5254_48;SGB_007__k141_55861_1;SGB_007__k141_57711_52	0	None	0	None	0	None	0	None	2	SGB_012__k141_19365_21;SGB_012__k141_50143_3	0	None	0	None	1	SGB_015__k141_26440_7	7	SGB_016__k141_21198_27;SGB_016__k141_21198_9;SGB_016__k141_2323_35;SGB_016__k141_53805_75;SGB_016__k141_6940_24;SGB_016__k141_6940_42;SGB_016__k141_9063_75	4	SGB_017__k141_25084_13;SGB_017__k141_32648_142;SGB_017__k141_32648_146;SGB_017__k141_32648_150	0	None	0	None	0	None	8	SGB_021__k141_20996_5;SGB_021__k141_22919_13;SGB_021__k141_33695_1;SGB_021__k141_37767_2;SGB_021__k141_37767_5;SGB_021__k141_42221_2;SGB_021__k141_51849_14;SGB_021__k141_56247_13	1	SGB_022__k141_35969_313	7	SGB_023__k141_35146_14;SGB_023__k141_36301_117;SGB_023__k141_49629_8;SGB_023__k141_52955_35;SGB_023__k141_52955_41;SGB_023__k141_57302_2;SGB_023__k141_57302_6	7	SGB_024__k141_31116_29;SGB_024__k141_38992_14;SGB_024__k141_38992_5;SGB_024__k141_41027_4;SGB_024__k141_52564_15;SGB_024__k141_57264_2;SGB_024__k141_57264_6	0	None	0	None	1	TRUNC_090__k141_21793_15	1	TRUNC_100__k141_21793_15
GH015	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_12648_2	0	None	0	None	0	None	1	SGB_010__k141_731_14	0	None	0	None	0	None	1	SGB_014__k141_31587_231	0	None	1	SGB_016__k141_14549_11	1	SGB_017__k141_12050_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH016	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_007__k141_25415_6;SGB_007__k141_46661_30	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_23333_53	0	None	0	None	0	None	0	None	2	SGB_021__k141_5144_3;SGB_021__k141_8848_9	0	None	1	SGB_023__k141_28037_24	1	SGB_024__k141_27774_39	0	None	0	None	0	None	0	None
GH018	0	None	0	None	0	None	0	None	0	None	2	SGB_006__k141_37221_2;SGB_006__k141_55916_4	4	SGB_007__k141_10473_18;SGB_007__k141_23405_4;SGB_007__k141_32077_3;SGB_007__k141_45952_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_017__k141_29905_47	0	None	0	None	2	SGB_020__k141_42201_1;SGB_020__k141_42201_2	0	None	2	SGB_022__k141_10799_21;SGB_022__k141_35969_743	0	None	0	None	0	None	0	None	0	None	0	None
GH019	0	None	1	SGB_002__k141_40894_2	0	None	0	None	0	None	0	None	1	SGB_007__k141_32077_5	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_050__k141_40894_2	1	TRUNC_070__k141_40894_2	1	TRUNC_090__k141_40894_2	1	TRUNC_100__k141_40894_2
GH020	0	None	0	None	1	SGB_003__k141_53485_5	0	None	0	None	2	SGB_006__k141_11416_3;SGB_006__k141_47829_4	1	SGB_007__k141_7845_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_23333_62	0	None	0	None	0	None	0	None	1	SGB_021__k141_28242_2	1	SGB_022__k141_31432_248	0	None	0	None	0	None	0	None	0	None	0	None
GH023	4	SGB_001__k141_20550_5;SGB_001__k141_34821_48;SGB_001__k141_7461_12;SGB_001__k141_9303_5	4	SGB_002__k141_10972_27;SGB_002__k141_33300_23;SGB_002__k141_42102_2;SGB_002__k141_52675_29	0	None	2	SGB_004__k141_56854_11;SGB_004__k141_6153_27	1	SGB_005__k141_25357_38	4	SGB_006__k141_19711_1;SGB_006__k141_33139_3;SGB_006__k141_48705_7;SGB_006__k141_56761_7	1	SGB_007__k141_38106_5	0	None	0	None	0	None	0	None	0	None	0	None	6	SGB_014__k141_31587_12;SGB_014__k141_31587_13;SGB_014__k141_31587_554;SGB_014__k141_32214_50;SGB_014__k141_41396_317;SGB_014__k141_41396_704	2	SGB_015__k141_1624_1;SGB_015__k141_30178_2	2	SGB_016__k141_14549_154;SGB_016__k141_42489_49	3	SGB_017__k141_14753_5;SGB_017__k141_29905_37;SGB_017__k141_29905_42	0	None	0	None	0	None	0	None	2	SGB_022__k141_36959_218;SGB_022__k141_36959_219	2	SGB_023__k141_36301_33;SGB_023__k141_45777_22	2	SGB_024__k141_45886_22;SGB_024__k141_54566_87	1	TRUNC_050__k141_10972_27	2	TRUNC_070__k141_10972_27;TRUNC_070__k141_42102_2	4	TRUNC_090__k141_10972_27;TRUNC_090__k141_33300_23;TRUNC_090__k141_42102_2;TRUNC_090__k141_52675_29	4	TRUNC_100__k141_10972_27;TRUNC_100__k141_33300_23;TRUNC_100__k141_42102_2;TRUNC_100__k141_52675_29
GH024	0	None	1	SGB_002__k141_3541_3	0	None	0	None	0	None	2	SGB_006__k141_11974_7;SGB_006__k141_25013_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_050__k141_3541_3	1	TRUNC_070__k141_3541_3	1	TRUNC_090__k141_3541_3	1	TRUNC_100__k141_3541_3
GH026	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_007__k141_15188_8;SGB_007__k141_42258_11	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_6940_51	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_024__k141_48847_44	0	None	0	None	0	None	0	None
GH027	0	None	0	None	1	SGB_003__k141_35274_4	0	None	0	None	0	None	1	SGB_007__k141_57711_26	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH028	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_016__k141_12034_10;SGB_016__k141_6940_50	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH029	0	None	0	None	2	SGB_003__k141_41875_6;SGB_003__k141_43852_29	0	None	0	None	0	None	1	SGB_007__k141_38456_6	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_27877_34	0	None	0	None	0	None	0	None	1	SGB_021__k141_28662_2	0	None	1	SGB_023__k141_26305_14	1	SGB_024__k141_26170_13	0	None	0	None	0	None	0	None
GH030	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_1214_7	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH031	0	None	0	None	0	None	0	None	0	None	0	None	3	SGB_007__k141_17485_2;SGB_007__k141_31912_43;SGB_007__k141_44230_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_27877_49	1	SGB_017__k141_7895_23	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_26305_16	3	SGB_024__k141_26170_15;SGB_024__k141_31494_16;SGB_024__k141_7310_15	0	None	0	None	0	None	0	None
GH032	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_017__k141_12839_1	0	None	0	None	0	None	1	SGB_021__k141_51849_7	0	None	1	SGB_023__k141_36377_2	1	SGB_024__k141_38992_307	0	None	0	None	0	None	0	None
GH033	0	None	0	None	1	SGB_003__k141_35319_48	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	8	SGB_021__k141_20301_2;SGB_021__k141_31001_14;SGB_021__k141_34797_4;SGB_021__k141_37908_16;SGB_021__k141_46752_21;SGB_021__k141_50852_4;SGB_021__k141_54034_10;SGB_021__k141_54039_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH035	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_4178_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_019__k141_21892_636	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH036	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_6108_6	1	SGB_017__k141_12839_20	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_1521_129	1	SGB_024__k141_31494_180	0	None	0	None	0	None	0	None
GH037	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_46661_47	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH038	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_017__k141_12839_18	0	None	1	SGB_019__k141_51873_132	0	None	0	None	1	SGB_022__k141_36959_37	2	SGB_023__k141_24642_21;SGB_023__k141_52955_30	2	SGB_024__k141_15871_41;SGB_024__k141_38992_19	0	None	0	None	0	None	0	None
GH039	0	None	0	None	0	None	0	None	0	None	0	None	6	SGB_007__k141_12661_36;SGB_007__k141_31912_4;SGB_007__k141_43942_4;SGB_007__k141_43942_5;SGB_007__k141_46163_30;SGB_007__k141_6357_62	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	3	SGB_016__k141_2323_10;SGB_016__k141_2323_15;SGB_016__k141_33114_21	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH042	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_54029_15	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_25469_56	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_023__k141_24642_3;SGB_023__k141_26305_18	2	SGB_024__k141_15871_3;SGB_024__k141_26170_18	0	None	0	None	0	None	0	None
GH043	0	None	0	None	0	None	0	None	0	None	6	SGB_006__k141_14839_1;SGB_006__k141_14839_2;SGB_006__k141_14839_4;SGB_006__k141_37520_1;SGB_006__k141_45356_2;SGB_006__k141_57745_4	1	SGB_007__k141_43140_20	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	4	SGB_016__k141_12034_12;SGB_016__k141_2323_17;SGB_016__k141_2323_17;SGB_016__k141_53060_13	0	None	0	None	0	None	0	None	2	SGB_021__k141_34688_17;SGB_021__k141_43242_1	0	None	2	SGB_023__k141_11151_109;SGB_023__k141_11151_111	0	None	0	None	0	None	0	None	0	None
GH048	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_19187_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH051	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_007__k141_23405_1;SGB_007__k141_7845_11	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_53060_12	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_023__k141_11151_115;SGB_023__k141_11151_117	1	SGB_024__k141_55716_104	0	None	0	None	0	None	0	None
GH053	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_24642_5	1	SGB_024__k141_15871_12	0	None	0	None	0	None	0	None
GH055	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_38734_67	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH057	0	None	2	SGB_002__k141_21793_12;SGB_002__k141_21793_13	1	SGB_003__k141_25521_9	0	None	0	None	1	SGB_006__k141_17799_6	2	SGB_007__k141_31912_174;SGB_007__k141_34594_4	0	None	0	None	1	SGB_010__k141_731_13	0	None	0	None	0	None	0	None	2	SGB_015__k141_13576_2;SGB_015__k141_37476_1	0	None	0	None	0	None	4	SGB_019__k141_15880_412;SGB_019__k141_21892_330;SGB_019__k141_21892_483;SGB_019__k141_56778_43	0	None	1	SGB_021__k141_49882_1	1	SGB_022__k141_51277_141	1	SGB_023__k141_36377_25	1	SGB_024__k141_38992_284	0	None	0	None	2	TRUNC_090__k141_21793_12;TRUNC_090__k141_21793_13	2	TRUNC_100__k141_21793_12;TRUNC_100__k141_21793_13
GH063	0	None	1	SGB_002__k141_21793_11	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_014__k141_31587_91	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_20108_40	0	None	0	None	0	None	0	None	0	None	1	TRUNC_090__k141_21793_11	1	TRUNC_100__k141_21793_11
GH065	0	None	0	None	0	None	2	SGB_004__k141_3047_38;SGB_004__k141_3047_6	2	SGB_005__k141_47395_19;SGB_005__k141_9380_5	1	SGB_006__k141_34916_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_016__k141_3997_2;SGB_016__k141_3997_7	2	SGB_017__k141_13218_48;SGB_017__k141_13218_57	0	None	1	SGB_019__k141_16648_46	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH066	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_017__k141_12050_2;SGB_017__k141_12050_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH067	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_4162_16	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_2340_20	1	SGB_024__k141_27774_8	0	None	0	None	0	None	0	None
GH073	0	None	1	SGB_002__k141_55353_30	1	SGB_003__k141_35274_11	0	None	0	None	2	SGB_006__k141_22137_3;SGB_006__k141_40266_6	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_41931_2	0	None	1	SGB_014__k141_18728_87	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_28145_8	1	SGB_024__k141_40736_17	1	TRUNC_050__k141_55353_30	1	TRUNC_070__k141_55353_30	1	TRUNC_090__k141_55353_30	1	TRUNC_100__k141_55353_30
GH074	0	None	0	None	0	None	0	None	0	None	0	None	3	SGB_007__k141_32077_46;SGB_007__k141_32077_46;SGB_007__k141_32077_46	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH077	1	SGB_001__k141_12991_46	0	None	1	SGB_003__k141_5063_1	0	None	0	None	1	SGB_006__k141_488_1	1	SGB_007__k141_5254_108	0	None	0	None	0	None	0	None	1	SGB_012__k141_19365_19	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_22248_2	1	SGB_022__k141_53907_313	0	None	0	None	0	None	0	None	0	None	0	None
GH078	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	3	SGB_021__k141_37919_1;SGB_021__k141_41381_3;SGB_021__k141_44279_1	0	None	1	SGB_023__k141_1521_8	0	None	0	None	0	None	0	None	0	None
GH081	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_21321_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH086	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_42463_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH088	0	None	1	SGB_002__k141_3299_6	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_33114_19	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_090__k141_3299_6	1	TRUNC_100__k141_3299_6
GH092	0	None	0	None	4	SGB_003__k141_15222_8;SGB_003__k141_15222_9;SGB_003__k141_29519_3;SGB_003__k141_35500_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH094	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_016__k141_2287_16;SGB_016__k141_2287_17	1	SGB_017__k141_30041_6	0	None	0	None	0	None	0	None	1	SGB_022__k141_20140_273	1	SGB_023__k141_52955_33	1	SGB_024__k141_38992_16	0	None	0	None	0	None	0	None
GH095	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_51495_5	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH097	0	None	0	None	0	None	0	None	0	None	2	SGB_006__k141_44104_2;SGB_006__k141_5086_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_31727_30	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH099	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_5254_8	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
GH102	0	None	1	SGB_002__k141_50134_12	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_050__k141_50134_12	1	TRUNC_070__k141_50134_12	1	TRUNC_090__k141_50134_12	1	TRUNC_100__k141_50134_12
GH103	0	None	1	SGB_002__k141_29181_72	0	None	0	None	0	None	3	SGB_006__k141_14574_16;SGB_006__k141_3439_1;SGB_006__k141_44821_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_090__k141_29181_72	1	TRUNC_100__k141_29181_72
