MEROPS peptidase ID	SGB_001 Hit numbers	SGB_001 Hits	SGB_002 Hit numbers	SGB_002 Hits	SGB_003 Hit numbers	SGB_003 Hits	SGB_004 Hit numbers	SGB_004 Hits	SGB_005 Hit numbers	SGB_005 Hits	SGB_006 Hit numbers	SGB_006 Hits	SGB_007 Hit numbers	SGB_007 Hits	SGB_008 Hit numbers	SGB_008 Hits	SGB_009 Hit numbers	SGB_009 Hits	SGB_010 Hit numbers	SGB_010 Hits	SGB_011 Hit numbers	SGB_011 Hits	SGB_012 Hit numbers	SGB_012 Hits	SGB_013 Hit numbers	SGB_013 Hits	SGB_014 Hit numbers	SGB_014 Hits	SGB_015 Hit numbers	SGB_015 Hits	SGB_016 Hit numbers	SGB_016 Hits	SGB_017 Hit numbers	SGB_017 Hits	SGB_018 Hit numbers	SGB_018 Hits	SGB_019 Hit numbers	SGB_019 Hits	SGB_020 Hit numbers	SGB_020 Hits	SGB_021 Hit numbers	SGB_021 Hits	SGB_022 Hit numbers	SGB_022 Hits	SGB_023 Hit numbers	SGB_023 Hits	SGB_024 Hit numbers	SGB_024 Hits	TRUNC_050 Hit numbers	TRUNC_050 Hits	TRUNC_070 Hit numbers	TRUNC_070 Hits	TRUNC_090 Hit numbers	TRUNC_090 Hits	TRUNC_100 Hit numbers	TRUNC_100 Hits
C01B	0	None	0	None	1	SGB_003__k141_30952_10	1	SGB_004__k141_36399_12	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_28805_9	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C106	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_020__k141_20427_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C108	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_24571_10	0	None	0	None	0	None	1	SGB_016__k141_53060_3	1	SGB_017__k141_29905_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C11X	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_023__k141_44305_33;SGB_023__k141_44305_34	1	SGB_024__k141_44623_33	0	None	0	None	0	None	0	None
C14B	0	None	0	None	0	None	0	None	1	SGB_005__k141_33675_2	0	None	1	SGB_007__k141_38310_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C15	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_11768_13	0	None	0	None	0	None	0	None	1	SGB_017__k141_26194_5	0	None	1	SGB_019__k141_45116_10	0	None	1	SGB_021__k141_48928_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C25	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_46972_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C26	2	SGB_001__k141_15119_11;SGB_001__k141_19622_25	5	SGB_002__k141_16170_8;SGB_002__k141_20443_52;SGB_002__k141_21507_65;SGB_002__k141_21507_125;SGB_002__k141_45374_32	3	SGB_003__k141_3451_3;SGB_003__k141_40209_10;SGB_003__k141_54268_10	5	SGB_004__k141_1125_12;SGB_004__k141_25627_160;SGB_004__k141_29297_3;SGB_004__k141_31184_10;SGB_004__k141_50442_15	6	SGB_005__k141_1237_20;SGB_005__k141_14745_71;SGB_005__k141_2230_100;SGB_005__k141_25357_56;SGB_005__k141_29684_23;SGB_005__k141_47395_31	8	SGB_006__k141_15773_2;SGB_006__k141_17_1;SGB_006__k141_29852_16;SGB_006__k141_45249_2;SGB_006__k141_49558_1;SGB_006__k141_6062_3;SGB_006__k141_6666_4;SGB_006__k141_7426_1	7	SGB_007__k141_13867_13;SGB_007__k141_27558_19;SGB_007__k141_3703_2;SGB_007__k141_37930_28;SGB_007__k141_43739_29;SGB_007__k141_46108_19;SGB_007__k141_56881_44	4	SGB_008__k141_23707_1;SGB_008__k141_44308_1;SGB_008__k141_44984_3;SGB_008__k141_8111_2	6	SGB_009__k141_21777_2;SGB_009__k141_26395_5;SGB_009__k141_32789_2;SGB_009__k141_33451_2;SGB_009__k141_42183_4;SGB_009__k141_6135_3	7	SGB_010__k141_19177_48;SGB_010__k141_19177_141;SGB_010__k141_21780_13;SGB_010__k141_30050_93;SGB_010__k141_57727_27;SGB_010__k141_57727_41;SGB_010__k141_7626_201	5	SGB_011__k141_26720_8;SGB_011__k141_28252_8;SGB_011__k141_46461_48;SGB_011__k141_5321_41;SGB_011__k141_58026_21	4	SGB_012__k141_11768_10;SGB_012__k141_12403_2;SGB_012__k141_58001_2;SGB_012__k141_5950_6	6	SGB_013__k141_18975_4;SGB_013__k141_19819_6;SGB_013__k141_22140_3;SGB_013__k141_24776_9;SGB_013__k141_30616_6;SGB_013__k141_51452_2	5	SGB_014__k141_18728_137;SGB_014__k141_31587_506;SGB_014__k141_41396_92;SGB_014__k141_41396_132;SGB_014__k141_41396_367	5	SGB_015__k141_33144_6;SGB_015__k141_34361_1;SGB_015__k141_53154_7;SGB_015__k141_6353_1;SGB_015__k141_7855_2	9	SGB_016__k141_10582_9;SGB_016__k141_10582_17;SGB_016__k141_14549_118;SGB_016__k141_14549_143;SGB_016__k141_23333_40;SGB_016__k141_25469_37;SGB_016__k141_4872_4;SGB_016__k141_53805_16;SGB_016__k141_53805_92	8	SGB_017__k141_12050_44;SGB_017__k141_13218_7;SGB_017__k141_17329_25;SGB_017__k141_28_2;SGB_017__k141_30041_20;SGB_017__k141_7895_24;SGB_017__k141_8294_47;SGB_017__k141_8294_103	0	None	4	SGB_019__k141_15880_46;SGB_019__k141_15880_445;SGB_019__k141_15880_452;SGB_019__k141_21892_114	9	SGB_020__k141_19005_2;SGB_020__k141_19005_13;SGB_020__k141_21897_3;SGB_020__k141_26593_13;SGB_020__k141_34509_16;SGB_020__k141_38233_1;SGB_020__k141_39944_15;SGB_020__k141_41521_27;SGB_020__k141_43368_28	5	SGB_021__k141_158_21;SGB_021__k141_16848_7;SGB_021__k141_25464_3;SGB_021__k141_56873_6;SGB_021__k141_9206_8	6	SGB_022__k141_25746_73;SGB_022__k141_25746_135;SGB_022__k141_25746_183;SGB_022__k141_25746_187;SGB_022__k141_51277_144;SGB_022__k141_53907_27	7	SGB_023__k141_1521_98;SGB_023__k141_15492_27;SGB_023__k141_20966_10;SGB_023__k141_24642_33;SGB_023__k141_36301_237;SGB_023__k141_51376_24;SGB_023__k141_54968_17	7	SGB_024__k141_15871_53;SGB_024__k141_21196_10;SGB_024__k141_31494_37;SGB_024__k141_31494_147;SGB_024__k141_41027_39;SGB_024__k141_52589_6;SGB_024__k141_8671_24	5	TRUNC_050__k141_45374_32;TRUNC_050__k141_20443_52;TRUNC_050__k141_21507_65;TRUNC_050__k141_21507_125;TRUNC_050__k141_16170_8	5	TRUNC_070__k141_45374_32;TRUNC_070__k141_20443_52;TRUNC_070__k141_21507_65;TRUNC_070__k141_21507_125;TRUNC_070__k141_16170_8	5	TRUNC_090__k141_45374_32;TRUNC_090__k141_20443_52;TRUNC_090__k141_21507_65;TRUNC_090__k141_21507_125;TRUNC_090__k141_16170_8	5	TRUNC_100__k141_45374_32;TRUNC_100__k141_20443_52;TRUNC_100__k141_21507_65;TRUNC_100__k141_21507_125;TRUNC_100__k141_16170_8
C39	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_015__k141_6528_2	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_40305_5	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C40	0	None	0	None	0	None	0	None	1	SGB_005__k141_44250_51	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C44	0	None	0	None	0	None	0	None	0	None	2	SGB_006__k141_29186_1;SGB_006__k141_51118_9	0	None	1	SGB_008__k141_15093_4	1	SGB_009__k141_12059_5	1	SGB_010__k141_52250_48	0	None	0	None	3	SGB_013__k141_14666_1;SGB_013__k141_15342_1;SGB_013__k141_18673_5	0	None	1	SGB_015__k141_53083_1	0	None	1	SGB_017__k141_8294_104	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_30284_7	1	SGB_024__k141_32909_7	0	None	0	None	0	None	0	None
C56	0	None	0	None	1	SGB_003__k141_34767_7	0	None	0	None	0	None	1	SGB_007__k141_57550_6	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_015__k141_34864_2	0	None	1	SGB_017__k141_26194_3	0	None	1	SGB_019__k141_15880_130	1	SGB_020__k141_7499_1	2	SGB_021__k141_24060_7;SGB_021__k141_31378_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C59	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_51903_7	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C69	0	None	0	None	1	SGB_003__k141_30463_16	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C82A	0	None	2	SGB_002__k141_23338_39;SGB_002__k141_43785_5	0	None	0	None	0	None	1	SGB_006__k141_49135_7	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_070__k141_43785_5	1	TRUNC_090__k141_43785_5	2	TRUNC_100__k141_43785_5;TRUNC_100__k141_23338_39
C93	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_41527_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
G04	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_8964_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
G05	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_014__k141_18728_239	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
I04	0	None	0	None	0	None	0	None	1	SGB_005__k141_12691_21	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_022__k141_53907_111	0	None	0	None	0	None	0	None	0	None	0	None
I39	1	SGB_001__k141_43636_9	0	None	0	None	0	None	0	None	1	SGB_006__k141_26827_11	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_44332_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_024__k141_8199_37	0	None	0	None	0	None	0	None
I51	0	None	1	SGB_002__k141_56149_18	0	None	0	None	0	None	1	SGB_006__k141_19397_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_014__k141_18728_134	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	TRUNC_090__k141_56149_18	1	TRUNC_100__k141_56149_18
I87	2	SGB_001__k141_50523_41;SGB_001__k141_50523_52	2	SGB_002__k141_10972_63;SGB_002__k141_17028_23	1	SGB_003__k141_4475_2	2	SGB_004__k141_3047_33;SGB_004__k141_6022_64	1	SGB_005__k141_31746_36	4	SGB_006__k141_16571_3;SGB_006__k141_16571_4;SGB_006__k141_34897_2;SGB_006__k141_38516_1	0	None	1	SGB_008__k141_29873_4	0	None	1	SGB_010__k141_3973_7	1	SGB_011__k141_3670_8	1	SGB_012__k141_57008_14	1	SGB_013__k141_56309_1	2	SGB_014__k141_18728_254;SGB_014__k141_18728_271	0	None	1	SGB_016__k141_28921_6	0	None	0	None	2	SGB_019__k141_15880_305;SGB_019__k141_21892_607	0	None	1	SGB_021__k141_18572_2	0	None	4	SGB_023__k141_36301_174;SGB_023__k141_39485_1;SGB_023__k141_39485_2;SGB_023__k141_8053_3	1	SGB_024__k141_41027_104	1	TRUNC_050__k141_10972_63	2	TRUNC_070__k141_10972_63;TRUNC_070__k141_17028_23	2	TRUNC_090__k141_10972_63;TRUNC_090__k141_17028_23	2	TRUNC_100__k141_10972_63;TRUNC_100__k141_17028_23
M01	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_38939_8	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M02	0	None	0	None	0	None	0	None	0	None	2	SGB_006__k141_21242_1;SGB_006__k141_24086_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M03A	0	None	1	SGB_002__k141_45374_33	2	SGB_003__k141_29473_2;SGB_003__k141_38587_40	0	None	0	None	6	SGB_006__k141_10001_1;SGB_006__k141_11968_6;SGB_006__k141_34726_1;SGB_006__k141_41207_1;SGB_006__k141_57714_2;SGB_006__k141_57714_6	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_014__k141_31587_478	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_868_8	0	None	0	None	0	None	1	TRUNC_050__k141_45374_33	1	TRUNC_070__k141_45374_33	1	TRUNC_090__k141_45374_33	1	TRUNC_100__k141_45374_33
M03B	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_6940_43	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M103	0	None	2	SGB_002__k141_10972_19;SGB_002__k141_19657_5	0	None	0	None	0	None	2	SGB_006__k141_265_4;SGB_006__k141_46643_1	0	None	1	SGB_008__k141_23707_5	1	SGB_009__k141_30425_9	2	SGB_010__k141_21780_20;SGB_010__k141_30050_69	2	SGB_011__k141_20372_11;SGB_011__k141_20372_93	0	None	3	SGB_013__k141_14391_6;SGB_013__k141_53282_6;SGB_013__k141_904_4	0	None	2	SGB_015__k141_1624_4;SGB_015__k141_56019_2	0	None	0	None	0	None	3	SGB_019__k141_15880_260;SGB_019__k141_21892_378;SGB_019__k141_51873_123	0	None	0	None	8	SGB_022__k141_20140_96;SGB_022__k141_20140_97;SGB_022__k141_31432_176;SGB_022__k141_31432_177;SGB_022__k141_51277_267;SGB_022__k141_51277_268;SGB_022__k141_53907_289;SGB_022__k141_53907_290	2	SGB_023__k141_36301_76;SGB_023__k141_36301_77	2	SGB_024__k141_54566_43;SGB_024__k141_54566_44	2	TRUNC_050__k141_10972_19;TRUNC_050__k141_19657_5	2	TRUNC_070__k141_10972_19;TRUNC_070__k141_19657_5	2	TRUNC_090__k141_10972_19;TRUNC_090__k141_19657_5	2	TRUNC_100__k141_10972_19;TRUNC_100__k141_19657_5
M13	0	None	0	None	1	SGB_003__k141_4649_31	0	None	0	None	3	SGB_006__k141_11850_5;SGB_006__k141_12191_4;SGB_006__k141_1680_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_2835_28	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M14D	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_46508_8	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M15B	0	None	0	None	0	None	0	None	0	None	1	SGB_006__k141_33502_4	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M16B	0	None	2	SGB_002__k141_29181_8;SGB_002__k141_50134_107	1	SGB_003__k141_35274_1	0	None	0	None	3	SGB_006__k141_33193_3;SGB_006__k141_33508_2;SGB_006__k141_33508_3	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_49531_5	0	None	0	None	0	None	1	SGB_016__k141_28921_58	2	SGB_017__k141_32648_17;SGB_017__k141_56331_13	0	None	0	None	0	None	0	None	1	SGB_022__k141_20140_133	0	None	0	None	1	TRUNC_050__k141_50134_107	1	TRUNC_070__k141_50134_107	2	TRUNC_090__k141_50134_107;TRUNC_090__k141_29181_8	2	TRUNC_100__k141_50134_107;TRUNC_100__k141_29181_8
M16X	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_015__k141_34841_2	0	None	1	SGB_017__k141_32648_18	0	None	0	None	0	None	1	SGB_021__k141_158_34	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M17	1	SGB_001__k141_17272_15	2	SGB_002__k141_21507_141;SGB_002__k141_23338_43	0	None	1	SGB_004__k141_2335_12	1	SGB_005__k141_48560_137	4	SGB_006__k141_29150_2;SGB_006__k141_29594_6;SGB_006__k141_53197_7;SGB_006__k141_9822_4	1	SGB_007__k141_55853_26	1	SGB_008__k141_10311_4	0	None	0	None	0	None	2	SGB_012__k141_11025_20;SGB_012__k141_53316_2	0	None	1	SGB_014__k141_41396_710	0	None	0	None	0	None	1	SGB_018__k141_43744_5	0	None	0	None	1	SGB_021__k141_33326_4	0	None	0	None	0	None	1	TRUNC_050__k141_21507_141	1	TRUNC_070__k141_21507_141	1	TRUNC_090__k141_21507_141	2	TRUNC_100__k141_21507_141;TRUNC_100__k141_23338_43
M18	1	SGB_001__k141_56591_6	1	SGB_002__k141_18579_10	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_012__k141_3332_4	0	None	0	None	0	None	1	SGB_016__k141_42473_10	1	SGB_017__k141_32648_38	0	None	0	None	0	None	0	None	0	None	1	SGB_023__k141_35146_13	1	SGB_024__k141_52564_16	0	None	1	TRUNC_070__k141_18579_10	1	TRUNC_090__k141_18579_10	1	TRUNC_100__k141_18579_10
M19	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_007__k141_6357_86	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_13268_37	1	SGB_017__k141_18458_2	0	None	3	SGB_019__k141_22243_3;SGB_019__k141_22243_4;SGB_019__k141_56778_46	0	None	0	None	4	SGB_022__k141_20140_94;SGB_022__k141_20140_287;SGB_022__k141_36959_16;SGB_022__k141_53907_126	0	None	0	None	0	None	0	None	0	None	0	None
M20A	0	None	1	SGB_002__k141_20443_148	0	None	0	None	0	None	1	SGB_006__k141_42210_3	2	SGB_007__k141_5860_49;SGB_007__k141_8948_4	0	None	1	SGB_009__k141_56982_6	0	None	0	None	1	SGB_012__k141_51765_4	1	SGB_013__k141_30967_2	0	None	0	None	1	SGB_016__k141_3997_17	1	SGB_017__k141_32648_67	0	None	3	SGB_019__k141_15880_120;SGB_019__k141_15880_514;SGB_019__k141_56778_164	0	None	1	SGB_021__k141_19842_3	3	SGB_022__k141_22188_181;SGB_022__k141_25746_12;SGB_022__k141_36058_371	1	SGB_023__k141_23700_49	1	SGB_024__k141_24255_51	1	TRUNC_050__k141_20443_148	1	TRUNC_070__k141_20443_148	1	TRUNC_090__k141_20443_148	1	TRUNC_100__k141_20443_148
M20B	1	SGB_001__k141_4222_32	0	None	1	SGB_003__k141_30476_35	0	None	0	None	0	None	1	SGB_007__k141_1823_5	0	None	0	None	0	None	0	None	1	SGB_012__k141_13395_2	0	None	0	None	0	None	0	None	1	SGB_017__k141_32648_125	0	None	0	None	0	None	1	SGB_021__k141_28690_6	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M20C	0	None	0	None	2	SGB_003__k141_17428_2;SGB_003__k141_6297_29	0	None	1	SGB_005__k141_33025_10	1	SGB_006__k141_9822_5	0	None	0	None	0	None	0	None	0	None	4	SGB_012__k141_24994_6;SGB_012__k141_26451_5;SGB_012__k141_31570_4;SGB_012__k141_52343_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
M20D	0	None	0	None	0	None	1	SGB_004__k141_3799_30	1	SGB_005__k141_52455_55	1	SGB_006__k141_33508_1	2	SGB_007__k141_33595_1;SGB_007__k141_6273_2	0	None	0	None	0	None	0	None	5	SGB_012__k141_55187_27;SGB_012__k141_57242_4;SGB_012__k141_8153_1;SGB_012__k141_8902_3;SGB_012__k141_9804_16	0	None	1	SGB_014__k141_31587_126	0	None	1	SGB_016__k141_25469_40	1	SGB_017__k141_8294_56	0	None	2	SGB_019__k141_16648_66;SGB_019__k141_56778_59	1	SGB_020__k141_18653_3	1	SGB_021__k141_45459_2	5	SGB_022__k141_20140_268;SGB_022__k141_35969_686;SGB_022__k141_35969_714;SGB_022__k141_36959_14;SGB_022__k141_53907_130	1	SGB_023__k141_36377_102	1	SGB_024__k141_38992_204	0	None	0	None	0	None	0	None
M20F	0	None	0	None	1	SGB_003__k141_19071_2	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_33698_9	1	SGB_022__k141_53907_334	0	None	0	None	0	None	0	None	0	None	0	None
