ReferenceID	Species	DomainTruth	SourceFile	SourceHeader	LengthBp
ZYMOV2|Cryptococcus_neoformans|00067|34112	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34112 59295 750960 9782+,...,29497-	59295
ZYMOV2|Cryptococcus_neoformans|00068|34163	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34163 58810 769503 10997+,...,19998+	58810
ZYMOV2|Cryptococcus_neoformans|00069|34852	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34852 58801 733315 26054+,...,27374-	58801
ZYMOV2|Cryptococcus_neoformans|00070|34923	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34923 58379 372530 27785+,...,33023-	58379
ZYMOV2|Cryptococcus_neoformans|00071|34477	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34477 57790 370095 18131-,...,30002+	57790
ZYMOV2|Cryptococcus_neoformans|00072|34399	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34399 57741 754794 16420-,...,4726-	57741
ZYMOV2|Cryptococcus_neoformans|00073|35260	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35260 57626 382949 30638-,...,31480+	57626
ZYMOV2|Cryptococcus_neoformans|00074|33978	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33978 57574 375988 7196-,...,31433-	57574
ZYMOV2|Cryptococcus_neoformans|00075|34627	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34627 57073 376266 21464-,...,32604+	57073
ZYMOV2|Cryptococcus_neoformans|00076|35532	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35532 57026 379896 31993+,...,31002-	57026
ZYMOV2|Cryptococcus_neoformans|00077|35223	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35223 56707 368660 30435+,...,30406+	56707
ZYMOV2|Cryptococcus_neoformans|00078|34732	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34732 55800 358460 23446-,...,22008-	55800
ZYMOV2|Cryptococcus_neoformans|00079|35180	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35180 55379 371511 30164-,...,32119-	55379
ZYMOV2|Cryptococcus_neoformans|00080|34517	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34517 55096 727175 18783+,...,9593+	55096
ZYMOV2|Cryptococcus_neoformans|00081|34335	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34335 54773 843470 15143+,11806+,15390+	54773
ZYMOV2|Cryptococcus_neoformans|00082|35017	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35017 54030 355170 29405+,...,11348+	54030
ZYMOV2|Cryptococcus_neoformans|00083|34145	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34145 52604 342732 10513+,...,22388+	52604
ZYMOV2|Cryptococcus_neoformans|00084|35794	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35794 52556 343898 30878+,...,32910-	52556
ZYMOV2|Cryptococcus_neoformans|00085|34039	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34039 51997 333770 8506+,...,29794-	51997
ZYMOV2|Cryptococcus_neoformans|00086|34694	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34694 51557 661997 22643+,1824+	51557
ZYMOV2|Cryptococcus_neoformans|00087|34029	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34029 51535 661754 8251+,...,24269+	51535
ZYMOV2|Cryptococcus_neoformans|00088|35797	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35797 51535 330617 31131+,...,11957+	51535
ZYMOV2|Cryptococcus_neoformans|00089|35022	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35022 51477 332680 29431+,...,26865-	51477
ZYMOV2|Cryptococcus_neoformans|00090|35018	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35018 51459 651723 29406+,...,32845+	51459
ZYMOV2|Cryptococcus_neoformans|00091|33802	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33802 51386 581486 3410+,...,31399+	51386
ZYMOV2|Cryptococcus_neoformans|00092|35641	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35641 51026 642472 32507-,...,31363+	51026
ZYMOV2|Cryptococcus_neoformans|00093|34444	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34444 50965 713674 17373+,...,3290+	50965
ZYMOV2|Cryptococcus_neoformans|00094|34308	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34308 50911 330560 14753-,...,28498-	50911
ZYMOV2|Cryptococcus_neoformans|00095|35552	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35552 50010 320704 32126-,...,12274-	50010
ZYMOV2|Cryptococcus_neoformans|00096|35033	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35033 49445 315780 29482-,...,31453+	49445
ZYMOV2|Cryptococcus_neoformans|00097|34119	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34119 49304 644762 10047-,...,10685-	49304
ZYMOV2|Cryptococcus_neoformans|00098|33880	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33880 48591 321621 5338+,...,30476-	48591
ZYMOV2|Cryptococcus_neoformans|00099|34474	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34474 48340 313474 18079-,...,30263+	48340
ZYMOV2|Cryptococcus_neoformans|00100|34084	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34084 47154 306910 9318+,...,19010+	47154
ZYMOV2|Cryptococcus_neoformans|00101|35556	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35556 47093 656614 32134-,18111+	47093
ZYMOV2|Cryptococcus_neoformans|00102|33774	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33774 47032 301040 2832+,...,32376+	47032
ZYMOV2|Cryptococcus_neoformans|00103|35127	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35127 46775 306442 29925+,...,21943+	46775
ZYMOV2|Cryptococcus_neoformans|00104|33820	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33820 45783 299595 3725+,...,30163+	45783
ZYMOV2|Cryptococcus_neoformans|00105|34647	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34647 45356 306622 21872+,...,30726-	45356
ZYMOV2|Cryptococcus_neoformans|00106|34201	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34201 45344 300556 11830+,...,30303+	45344
ZYMOV2|Cryptococcus_neoformans|00107|35609	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35609 45209 291441 32385+,...,31039+	45209
ZYMOV2|Cryptococcus_neoformans|00108|34385	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34385 45106 570769 16046+,31819-,4223+	45106
ZYMOV2|Cryptococcus_neoformans|00109|35061	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35061 44915 289065 29635+,...,32866-	44915
ZYMOV2|Cryptococcus_neoformans|00110|35095	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35095 44906 289483 29773+,...,31489+	44906
ZYMOV2|Cryptococcus_neoformans|00111|34258	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34258 44511 287930 13280+,...,30346+	44511
ZYMOV2|Cryptococcus_neoformans|00112|35639	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35639 44430 287492 32504+,...,30560+	44430
ZYMOV2|Cryptococcus_neoformans|00113|35110	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35110 43784 284084 29848-,...,30456+	43784
ZYMOV2|Cryptococcus_neoformans|00114|35431	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35431 43689 553973 31488+,...,25670+	43689
ZYMOV2|Cryptococcus_neoformans|00115|34682	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34682 43559 500397 22396-,...,29564-	43559
ZYMOV2|Cryptococcus_neoformans|00116|35742	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35742 43127 283982 32941-,...,29139-	43127
ZYMOV2|Cryptococcus_neoformans|00117|35303	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35303 43010 278492 30861+,...,32182+	43010
ZYMOV2|Cryptococcus_neoformans|00118|33913	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33913 42790 275158 5887+,...,30291-	42790
ZYMOV2|Cryptococcus_neoformans|00119|35394	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35394 42363 280855 31291-,...,17705-	42363
ZYMOV2|Cryptococcus_neoformans|00120|33924	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33924 42201 618972 6105+,...,16160+	42201
ZYMOV2|Cryptococcus_neoformans|00121|35280	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35280 41912 268639 30741-,...,32434-	41912
ZYMOV2|Cryptococcus_neoformans|00122|35566	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35566 41693 271114 32166+,...,32539+	41693
ZYMOV2|Cryptococcus_neoformans|00123|34987	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34987 41607 550080 29177+,14746+,2915+	41607
ZYMOV2|Cryptococcus_neoformans|00124|35374	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35374 41503 267736 31224+,...,32208+	41503
ZYMOV2|Cryptococcus_neoformans|00125|35784	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35784 41484 523944 5829-,...,31194-	41484
ZYMOV2|Cryptococcus_neoformans|00126|35724	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35724 41448 262482 32867-,...,31069-	41448
ZYMOV2|Cryptococcus_neoformans|00127|33945	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33945 41429 273844 6475+,...,8061-	41429
ZYMOV2|Cryptococcus_neoformans|00128|34275	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34275 40989 267382 13804+,...,32126+	40989
ZYMOV2|Cryptococcus_neoformans|00129|35177	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35177 40989 266590 30133+,...,30766+	40989
ZYMOV2|Cryptococcus_neoformans|00130|35316	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35316 40866 527764 30944+,...,31860+	40866
ZYMOV2|Cryptococcus_neoformans|00131|35501	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35501 40744 268480 31853+,...,19596+	40744
ZYMOV2|Cryptococcus_neoformans|00132|35071	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35071 40459 265789 29684+,...,32461+	40459
ZYMOV2|Cryptococcus_neoformans|00133|35146	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35146 40446 263123 29953+,...,19455-	40446
ZYMOV2|Cryptococcus_neoformans|00134|35519	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35519 40312 262697 31934-,...,26562-	40312
ZYMOV2|Cryptococcus_neoformans|00135|35138	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35138 40309 657584 29942+,...,2915+	40309
ZYMOV2|Cryptococcus_neoformans|00136|34839	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34839 40179 264743 25722+,...,9318-	40179
ZYMOV2|Cryptococcus_neoformans|00137|35025	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35025 40061 263198 29440-,...,29360-	40061
ZYMOV2|Cryptococcus_neoformans|00138|35495	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35495 39485 257146 31837+,...,29270+	39485
ZYMOV2|Cryptococcus_neoformans|00139|33990	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	33990 39423 510276 7435-,...,30039-	39423
ZYMOV2|Cryptococcus_neoformans|00140|35814	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35814 39292 252099 25563-,...,32947-	39292
ZYMOV2|Cryptococcus_neoformans|00141|34612	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34612 39019 263196 21199+,...,28366-	39019
ZYMOV2|Cryptococcus_neoformans|00142|34392	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34392 38995 362374 16273+,...,29942-	38995
ZYMOV2|Cryptococcus_neoformans|00143|34849	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34849 38912 256415 25980-,...,32586+	38912
ZYMOV2|Cryptococcus_neoformans|00144|34489	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34489 38745 522335 18308+,...,29703-	38745
ZYMOV2|Cryptococcus_neoformans|00145|35315	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35315 38710 258587 30941+,...,32269-	38710
ZYMOV2|Cryptococcus_neoformans|00146|34556	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34556 38549 252488 19820-,...,29819-	38549
ZYMOV2|Cryptococcus_neoformans|00147|35152	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35152 38515 254285 30007+,...,31488-	38515
ZYMOV2|Cryptococcus_neoformans|00148|35055	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35055 38506 252150 29604-,...,19561-	38506
ZYMOV2|Cryptococcus_neoformans|00149|34996	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34996 38222 247515 29307+,...,31200+	38222
ZYMOV2|Cryptococcus_neoformans|00150|34026	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	34026 37927 246353 8207+,...,29977+	37927
ZYMOV2|Cryptococcus_neoformans|00151|35488	Cryptococcus neoformans	Eukaryote	Cryptococcus_neoformans_draft_genome.fasta	35488 37905 249546 31790-,...,30254+	37905
