Label	Command	ExitStatus	Stdout	Stderr	Timing
eukrep-reference-10000-strict	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-10000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.strict.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.strict.prok.names --seq_names --min 3000 -m strict --tie prok -ff	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-strict.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-strict.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-strict.time.txt
eukrep-reference-10000-balanced	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-10000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.balanced.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.balanced.prok.names --seq_names --min 3000 -m balanced --tie prok -ff	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-balanced.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-balanced.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-balanced.time.txt
eukrep-reference-10000-lenient	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-10000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.lenient.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.lenient.prok.names --seq_names --min 3000 -m lenient --tie prok -ff	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-lenient.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-lenient.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-10000-lenient.time.txt
eukrep-reference-20000-strict	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-20000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.strict.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.strict.prok.names --seq_names --min 3000 -m strict --tie prok -ff	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-strict.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-strict.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-strict.time.txt
eukrep-reference-20000-balanced	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-20000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.balanced.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.balanced.prok.names --seq_names --min 3000 -m balanced --tie prok -ff	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-balanced.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-balanced.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-balanced.time.txt
eukrep-reference-20000-lenient	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-20000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.lenient.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.lenient.prok.names --seq_names --min 3000 -m lenient --tie prok -ff	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-lenient.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-lenient.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-reference-20000-lenient.time.txt
megahit	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/megahit.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/megahit.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/megahit.time.txt
eukrep-assembly-strict	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-strict.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-strict.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-strict.time.txt
eukrep-assembly-balanced	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-balanced.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-balanced.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-balanced.time.txt
eukrep-assembly-lenient	reused checksum-stable completed output	0	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-lenient.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-lenient.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/eukrep-assembly-lenient.time.txt
minimap2-assembly-truth	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/minimap2 -x asm5 --secondary=no -t 32 -o /workspace/wechat/Metagenome/work/article58/results/megahit-to-zymo-v2.paf /workspace/wechat/Metagenome/work/article58/references/zymo-v2-all-references.fna /workspace/wechat/Metagenome/work/article58/results/megahit-contigs.oneline.fna	0	/workspace/wechat/Metagenome/work/article58/logs/minimap2-assembly-truth.stdout.log	/workspace/wechat/Metagenome/work/article58/logs/minimap2-assembly-truth.stderr.log	/workspace/wechat/Metagenome/work/article58/logs/minimap2-assembly-truth.time.txt
