Contig	LengthBp	Mode	Truth	ReferenceSpecies	Prediction	IdentityPercent	QueryCoveragePercent	MapQ
k141_10414	4724	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	95.29262086513995	99.83065198983911	60
k141_10432	3135	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.71704180064309	99.20255183413079	60
k141_1048	3359	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.01980198019803	99.22596010717476	60
k141_10480	107184	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.98786951328755	99.9850723988655	60
k141_10500	16943	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.82883786814614	60
k141_10502	81000	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.44181681218124	99.97160493827161	60
k141_1051	5109	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	95.97486746514824	99.6868271677432	60
k141_1052	14654	Strict	Prokaryote	Listeria monocytogenes	Prokaryote	100.0	99.95223147263546	60
k141_10522	11471	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	99.76462383401622	60
k141_10537	93597	Strict	Prokaryote	Escherichia coli	Prokaryote	99.90285354371056	99.98397384531556	60
k141_10555	4645	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.59095801937568	60
k141_10563	62907	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.97138633220469	60
k141_10582	181368	Strict	Prokaryote	Escherichia coli	Prokaryote	99.90635363072482	99.99779453927925	60
k141_10585	12545	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.68071519795659	99.86448784376245	60
k141_10604	3233	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	97.77916796997185	98.76275904732447	60
k141_10615	16644	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.72938841782428	99.9098774333093	60
k141_10629	42224	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.84576213093081	96.73645320197043	60
k141_10661	4228	Strict	Unresolved	Unresolved	Prokaryote	100.0	53.76064333017976	60
k141_10663	3077	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.3615635179153	99.77250568735782	60
k141_10695	4137	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.75798644724104	99.85496736765772	60
k141_10706	267958	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	100.0	99.99328252935162	60
k141_1072	34497	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	99.95072035249441	60
k141_10722	56854	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.97889330566011	60
k141_1074	3240	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.49561952440551	98.64197530864197	0
k141_10748	3102	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.87025624391826	99.38749194068343	60
k141_10751	3533	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.03436523714853	99.6603453155958	60
k141_10762	3604	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.11726840190316	99.13984461709212	60
k141_10820	15727	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.83467921409041	60
k141_10831	3328	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	98.18566676746295	99.36899038461539	60
k141_10841	385768	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.99533398311938	60
k141_10843	3542	Strict	Unresolved	Unresolved	Eukaryote	92.90973547859286	99.54827780914738	60
k141_10854	3652	Strict	Unresolved	Unresolved	Prokaryote	92.16171617161716	99.5618838992333	60
k141_10856	76994	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.67497992903944	99.97532275242227	60
k141_10859	74125	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.95817875210793	60
k141_10863	26072	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.9424670144216	60
k141_10870	3642	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.59387923904053	99.58813838550246	6
k141_10877	49705	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.96378633940247	60
k141_10880	8355	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.72451790633609	99.89228007181329	60
k141_10904	4237	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	98.38862559241706	99.59877271654473	60
k141_10922	74784	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.98796534017971	60
k141_10933	247962	Strict	Unresolved	Unresolved	Prokaryote	100.0	57.678999201490555	60
k141_10940	140643	Strict	Prokaryote	Listeria monocytogenes	Prokaryote	100.0	99.98649061808977	60
k141_10941	3391	Strict	Prokaryote	Escherichia coli	Prokaryote	96.39021479713604	98.84989678560896	60
k141_10962	5431	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.760147601476	99.79745903148591	60
k141_10973	10222	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.86304050088044	60
k141_10981	3849	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.12260937909353	99.16861522473368	60
k141_10983	4645	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.82721382289417	99.67707212055974	60
k141_10984	33255	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.95489400090212	60
k141_10991	55318	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.9457426029082	99.95299902382588	60
k141_11020	415471	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.91774515911021	99.99229789804825	60
k141_11042	55449	Strict	Prokaryote	Bacillus subtilis	Prokaryote	99.87023519870235	99.94769968800159	60
k141_11093	3631	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	99.03607821536767	60
k141_1111	21921	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.84033575110625	60
k141_11169	3491	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.86240644789868	99.51303351475222	60
k141_11177	11102	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.82885966492525	60
k141_11183	4337	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.56190915379295	60
k141_11216	5420	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	96.65805022156573	99.92619926199262	0
k141_1122	8013	Strict	Prokaryote	Escherichia coli	Prokaryote	98.09833604403853	99.75040559091475	60
k141_11251	327207	Strict	Prokaryote	Escherichia coli	Prokaryote	99.94989138040081	99.99052587505768	60
k141_11252	6010	Strict	Unresolved	Unresolved	Prokaryote	99.68085106382979	62.562396006655575	60
k141_11282	4069	Strict	Prokaryote	Escherichia coli	Prokaryote	99.72893050763923	99.72966330793807	60
k141_11307	53558	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.7011468489671	99.96265730609805	60
k141_11315	4190	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.82920970453999	99.35560859188544	60
k141_11333	32136	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.98755290017426	60
k141_11341	8679	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.95391174098398	60
k141_1136	3119	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.5511381853158	60
k141_11374	3706	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	95.34380075798592	99.62223421478683	60
k141_11430	21304	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.93897859556891	60
k141_11447	3172	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.73430564362714	99.43253467843631	60
k141_11468	3801	Strict	Unresolved	Unresolved	Prokaryote	93.370607028754	98.81610102604577	1
k141_11482	3072	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.07329842931938	99.44661458333334	60
k141_11492	6095	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.50683802932937	99.55701394585726	60
k141_11512	7325	Strict	Prokaryote	Escherichia coli	Prokaryote	99.0025959830578	99.91808873720136	60
k141_11524	5052	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.92911190760654	99.40617577197149	60
k141_11527	205015	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.91952200951103	99.985854693559	60
k141_1156	81587	Strict	Prokaryote	Listeria monocytogenes	Prokaryote	100.0	99.98038903256646	60
k141_11575	44477	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.9640263506981	60
k141_11576	3396	Strict	Unresolved	Unresolved	Eukaryote	92.08505611340814	99.6760895170789	60
k141_11586	3044	Strict	Unresolved	Unresolved	Eukaryote	94.54424484364604	98.71879106438897	60
k141_11624	8147	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.8404320608813	60
k141_11653	131246	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.99314264815689	60
k141_11662	5913	Strict	Prokaryote	Escherichia coli	Prokaryote	99.38993390950687	99.7970573313039	60
k141_11665	7434	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.73096583266074	60
k141_11676	105853	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	99.59911919146293	99.98771881760554	60
k141_11684	35723	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.9440136606668	60
k141_11737	58016	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.98621070049641	60
k141_11739	23547	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	99.9362976175309	60
k141_11765	71050	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.69317382125263	60
k141_11769	3016	Strict	Unresolved	Unresolved	Eukaryote	94.3075898801598	99.60212201591511	60
k141_11792	173345	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.98557789379561	60
k141_11875	3152	Strict	Prokaryote	Escherichia coli	Prokaryote	96.12427930813581	99.0482233502538	0
k141_11884	4395	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.37266651302143	98.72582480091012	60
k141_11901	3071	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	98.20143884892086	99.54412243568869	60
k141_11920	6515	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	99.55487336914813	60
k141_11932	3158	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.2891874600128	98.98670044331855	60
k141_11934	21081	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.92404822937435	99.92884588017647	60
k141_11969	19884	Strict	Prokaryote	Escherichia coli	Prokaryote	99.64264143346084	99.91953329309999	60
k141_11970	44564	Strict	Prokaryote	Escherichia coli	Prokaryote	99.97530697914561	99.96185261646173	60
k141_11973	73317	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.66547907204438	99.96590149624235	60
k141_11994	466141	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.95967352717211	99.99678208953942	60
k141_12001	4692	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.27536231884058	60
k141_12006	97125	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.9907335907336	60
k141_1202	3402	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.79305269355314	99.85302763080541	60
k141_12047	4115	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.68277208394338	99.58687727825031	60
k141_12076	12350	Strict	Prokaryote	Escherichia coli	Prokaryote	99.27048715246819	99.89473684210526	60
k141_12090	24879	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.94774709594438	60
k141_12092	36448	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.95883870259591	99.98353819139597	60
k141_12119	138317	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.87356222183689	99.98264855368465	60
k141_1218	17388	Strict	Prokaryote	Escherichia coli	Prokaryote	99.31392332084175	99.75270301357257	60
k141_12189	3496	Strict	Unresolved	Unresolved	Eukaryote	94.65849387040281	97.91189931350115	5
k141_12196	3632	Strict	Unresolved	Unresolved	Eukaryote	93.96623304732908	99.47687224669603	60
k141_12202	56537	Strict	Prokaryote	Escherichia coli	Prokaryote	99.98761631815448	99.98054371473548	60
k141_12205	4257	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.89747224190882	99.43622269203665	60
k141_12244	45096	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.9423170785819	99.9512151853823	60
k141_12250	3207	Strict	Prokaryote	Escherichia coli	Prokaryote	99.90563070147846	99.12690988462738	60
k141_12259	22771	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.90338588555619	60
k141_12271	3427	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.57293497363796	99.62065946892325	60
k141_12287	3254	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.41158253329205	99.23171481253841	60
k141_12335	7226	Strict	Prokaryote	Escherichia coli	Prokaryote	99.2357926913992	99.5986714641572	60
k141_12336	21342	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.9109736669478	60
k141_12345	54890	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.79772209567199	99.9726726179632	60
k141_12346	7292	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.89029072956664	60
k141_12375	224823	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.9413187282168	99.99510726215735	60
k141_12379	3550	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.60362400906003	99.49295774647887	60
k141_12383	3067	Strict	Unresolved	Unresolved	Eukaryote	93.14210352786021	98.79360939028366	60
k141_124	3476	Strict	Unresolved	Unresolved	Eukaryote	93.75902918231725	99.5397008055236	60
k141_12433	59355	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.9646196613596	60
k141_12469	3643	Strict	Unresolved	Unresolved	Prokaryote	91.84979137691238	98.68240461158386	60
k141_12470	94251	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.9989390032997	60
k141_12484	16743	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.8148479961775	60
k141_12488	13251	Strict	Prokaryote	Escherichia coli	Prokaryote	99.54662233640623	99.86416119538148	60
k141_12507	170290	Strict	Prokaryote	Escherichia coli	Prokaryote	99.95771670190274	99.99295319748664	60
k141_12516	16223	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	99.8397337113974	60
k141_12538	174234	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.84175219310819	99.98794724336237	60
k141_12549	4653	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.43644980611805	99.74210186976144	60
k141_12563	5783	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.04712404712404	99.8097873076258	0
k141_12572	25936	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.99614435533621	60
k141_12577	3037	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	96.09530112508273	99.50609153770168	60
k141_12593	761809	Strict	Prokaryote	Bacillus subtilis	Prokaryote	99.99028602408279	99.99737467002883	60
k141_12594	151139	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	85.98574821852732	60
k141_12608	3708	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.70332342610105	99.81121898597627	60
k141_1261	63347	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.97474229245267	60
k141_12622	3061	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	95.91163864160896	99.08526625285855	60
k141_12625	3044	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.73623475107155	99.63863337713535	60
k141_12654	4408	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.90735260641931	99.65970961887477	60
k141_12687	6078	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	97.00115340253748	99.85192497532083	60
k141_12719	37189	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.95697652531662	60
k141_12734	33391	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.91614506903058	60
k141_12736	6839	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.59058341862846	60
k141_12741	45153	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.99778530773149	60
k141_12768	46267	Strict	Prokaryote	Escherichia coli	Prokaryote	99.53758724259383	99.95893401344371	60
k141_1278	19985	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	100.0	99.92994746059544	60
k141_12802	37474	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.9679777979399	60
k141_12804	16388	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	99.90236758603857	60
k141_12820	7408	Strict	Prokaryote	Escherichia coli	Prokaryote	96.98281693952104	99.77051835853132	60
k141_12825	6328	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.55761610397845	99.69974715549937	60
k141_12829	3102	Strict	Unresolved	Unresolved	Eukaryote	84.84264611432242	99.54867827208253	13
k141_12858	238726	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	99.97612665438098	99.99036552365473	60
k141_12872	3191	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.88287153652394	99.52992792228142	60
k141_12896	3026	Strict	Unresolved	Unresolved	Eukaryote	92.02657807308971	99.40515532055518	60
k141_12903	4904	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.36475409836065	99.510603588907	60
k141_12948	47942	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.95619707146135	60
k141_12957	18277	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.99452354874042	99.9069869234557	60
k141_1296	5896	Strict	Unresolved	Unresolved	Eukaryote	92.44482173174873	99.89823609226595	60
k141_12998	79724	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.98996538056294	60
k141_13011	23414	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.89749722388315	60
k141_13024	121959	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	100.0	99.97294172631787	60
k141_13039	3994	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	98.94472361809046	99.64947421131698	60
k141_13056	123702	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	100.0	99.99838321126579	60
k141_13057	178381	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.99215163049875	60
k141_1308	5268	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.46848899012907	60
k141_131	3615	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.46792879344449	97.89764868603042	60
k141_13149	119025	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.87914292188772	99.9831968073934	60
k141_13168	116581	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.94852833943845	99.98970672751135	60
k141_13185	572139	Strict	Unresolved	Unresolved	Prokaryote	99.80344790700991	78.27713195569608	60
k141_13188	3700	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.87074829931973	99.32432432432432	60
k141_1322	5611	Strict	Unresolved	Unresolved	Eukaryote	63.53187042842215	17.055783282837282	60
k141_13241	225480	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.93440472285995	99.99911300337058	60
k141_13243	84533	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.97397466078336	60
k141_13251	3026	Strict	Unresolved	Unresolved	Eukaryote	94.04920212765957	99.20687376074025	60
k141_13267	184701	Strict	Prokaryote	Escherichia coli	Prokaryote	99.8278997272373	99.99025451946659	60
k141_13271	311864	Strict	Prokaryote	Bacillus subtilis	Prokaryote	98.59852832825806	99.9942282533412	60
k141_13293	64321	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.95647781145566	99.97823416924489	60
k141_13302	276505	Strict	Prokaryote	Bacillus subtilis	Prokaryote	99.99493617775464	99.98770365816169	60
k141_13307	25682	Strict	Prokaryote	Bacillus subtilis	Prokaryote	99.90653113681505	99.98053111128417	60
k141_13311	144601	Strict	Prokaryote	Escherichia coli	Prokaryote	99.93226430743711	99.98824351145566	60
k141_13312	32821	Strict	Unresolved	Unresolved	Eukaryote	100.0	3.287529325736571	60
k141_13313	81046	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	97.47525202070658	94.69313723070849	60
k141_13314	49678	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.99775124243855	89.514473207456	60
k141_13315	6508	Strict	Unresolved	Unresolved	Prokaryote	100.0	71.5580823601721	60
k141_13316	3134	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	83.43969368219528	60
k141_1333	210884	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	99.89719342795959	99.98814514140474	60
k141_1350	3512	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	97.22301746349842	99.40205011389521	60
k141_1358	5069	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.44762280528704	60
k141_1373	6863	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.75229491476031	60
k141_1399	80625	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.79203545300372	99.98759689922481	60
k141_1403	67272	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.96581044119395	60
k141_1420	3759	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.0624162871685	99.30832668262836	60
k141_1465	8753	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.80578087512852	60
k141_1581	46382	Strict	Prokaryote	Escherichia coli	Prokaryote	99.98274634977462	99.96765986805227	60
k141_16	5299	Strict	Prokaryote	Lactobacillus fermentum	Prokaryote	99.64096749811036	99.8678996036988	60
k141_161	3227	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.71980074719801	99.53517198636504	60
k141_1610	75997	Strict	Prokaryote	Bacillus subtilis	Prokaryote	100.0	99.97368317170414	60
k141_1642	3802	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.52459016393442	96.26512361914781	60
k141_1673	3281	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.69334559950936	99.39042974702834	60
k141_1681	126979	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	99.87490755747172	99.97479898250891	60
k141_1684	35468	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.99718055712191	60
k141_1692	56880	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.957805907173	60
k141_1701	5749	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	96.6515521450994	99.739085058271	1
k141_1735	8558	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	99.61439588688947	60
k141_1748	46493	Strict	Prokaryote	Staphylococcus aureus	Prokaryote	100.0	99.98494397006002	60
k141_1779	102135	Strict	Prokaryote	Escherichia coli	Prokaryote	99.99804123206502	99.97062711117638	60
k141_1791	22281	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.89228490642252	60
k141_1824	3050	Strict	Unresolved	Unresolved	Prokaryote	83.70786516853933	99.21311475409837	45
k141_1837	4173	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	97.60696156635244	99.137311286844	60
k141_1856	4272	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.91011235955057	99.95318352059925	60
k141_1859	5978	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.58179993308799	60
k141_1878	3504	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	97.67841788478074	99.57191780821918	11
k141_1884	90017	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	83.77639779152827	60
k141_1885	117886	Strict	Prokaryote	Escherichia coli	Prokaryote	99.96606545972818	99.98982067421068	60
k141_190	6152	Strict	Prokaryote	Escherichia coli	Prokaryote	100.0	99.59362808842653	60
k141_1901	3132	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	98.62223646267222	99.64878671775223	60
k141_1923	40222	Strict	Prokaryote	Salmonella enterica	Prokaryote	100.0	99.92292775098205	60
k141_1930	4258	Strict	Unresolved	Unresolved	Prokaryote	79.00565504241281	99.60075152653828	60
k141_1944	14679	Strict	Prokaryote	Escherichia coli	Prokaryote	99.65213832617148	99.87737584304108	60
k141_1967	4252	Strict	Prokaryote	Pseudomonas aeruginosa	Prokaryote	100.0	99.60018814675446	60
k141_1985	3193	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	98.45230574857865	99.15440025054806	60
k141_2010	86616	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.98845185578678	99.97460053569779	60
k141_2012	3115	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	99.15884826916856	99.22953451043338	60
k141_2032	61600	Strict	Prokaryote	Salmonella enterica	Prokaryote	99.7941786594062	99.96266233766234	60
k141_2056	4610	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.34146341463415	99.60954446854664	60
k141_2062	3330	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	95.47101449275362	99.45945945945947	3
k141_2066	3323	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	99.21235989094214	99.33794763767679	60
k141_2067	3411	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.6421207658321	99.53092934623278	60
k141_2093	5099	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	100.0	99.74504804863699	0
k141_2108	3642	Strict	Eukaryote	Saccharomyces cerevisiae	Prokaryote	96.08829281922324	98.27018121911037	60
k141_2136	4966	Strict	Eukaryote	Saccharomyces cerevisiae	Eukaryote	96.98685540950454	99.5771244462344	60
k141_2138	30830	Strict	Prokaryote	Enterococcus faecalis	Prokaryote	100.0	99.86052546221214	60
k141_2190	3477	Strict	Unresolved	Unresolved	Prokaryote	90.88754279694496	99.2522289329882	60
