FragmentLength	Mode	Species	Truth	PredictedEukaryote	PredictedProkaryote	Unclassified	CorrectPercent
5000	Strict	Saccharomyces cerevisiae	Eukaryote	57	23	0	71.25
5000	Strict	Salmonella enterica	Prokaryote	0	80	0	100.0
5000	Strict	Staphylococcus aureus	Prokaryote	3	77	0	96.25
5000	Balanced	Bacillus subtilis	Prokaryote	0	80	0	100.0
5000	Balanced	Cryptococcus neoformans	Eukaryote	71	9	0	88.75
5000	Balanced	Enterococcus faecalis	Prokaryote	2	78	0	97.5
5000	Balanced	Escherichia coli	Prokaryote	0	80	0	100.0
5000	Balanced	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
5000	Balanced	Listeria monocytogenes	Prokaryote	0	80	0	100.0
5000	Balanced	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
5000	Balanced	Saccharomyces cerevisiae	Eukaryote	64	16	0	80.0
5000	Balanced	Salmonella enterica	Prokaryote	0	80	0	100.0
5000	Balanced	Staphylococcus aureus	Prokaryote	4	76	0	95.0
5000	Lenient	Bacillus subtilis	Prokaryote	1	79	0	98.75
5000	Lenient	Cryptococcus neoformans	Eukaryote	78	2	0	97.5
5000	Lenient	Enterococcus faecalis	Prokaryote	2	78	0	97.5
5000	Lenient	Escherichia coli	Prokaryote	0	80	0	100.0
5000	Lenient	Lactobacillus fermentum	Prokaryote	2	78	0	97.5
5000	Lenient	Listeria monocytogenes	Prokaryote	0	80	0	100.0
5000	Lenient	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
5000	Lenient	Saccharomyces cerevisiae	Eukaryote	76	4	0	95.0
5000	Lenient	Salmonella enterica	Prokaryote	0	80	0	100.0
5000	Lenient	Staphylococcus aureus	Prokaryote	6	74	0	92.5
10000	Strict	Bacillus subtilis	Prokaryote	0	80	0	100.0
10000	Strict	Cryptococcus neoformans	Eukaryote	49	31	0	61.25000000000001
10000	Strict	Enterococcus faecalis	Prokaryote	1	79	0	98.75
10000	Strict	Escherichia coli	Prokaryote	0	80	0	100.0
10000	Strict	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
10000	Strict	Listeria monocytogenes	Prokaryote	0	80	0	100.0
10000	Strict	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
10000	Strict	Saccharomyces cerevisiae	Eukaryote	41	39	0	51.24999999999999
10000	Strict	Salmonella enterica	Prokaryote	0	80	0	100.0
10000	Strict	Staphylococcus aureus	Prokaryote	0	80	0	100.0
10000	Balanced	Bacillus subtilis	Prokaryote	0	80	0	100.0
10000	Balanced	Cryptococcus neoformans	Eukaryote	58	22	0	72.5
10000	Balanced	Enterococcus faecalis	Prokaryote	1	79	0	98.75
10000	Balanced	Escherichia coli	Prokaryote	0	80	0	100.0
10000	Balanced	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
10000	Balanced	Listeria monocytogenes	Prokaryote	0	80	0	100.0
10000	Balanced	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
10000	Balanced	Saccharomyces cerevisiae	Eukaryote	49	31	0	61.25000000000001
10000	Balanced	Salmonella enterica	Prokaryote	0	80	0	100.0
10000	Balanced	Staphylococcus aureus	Prokaryote	0	80	0	100.0
10000	Lenient	Bacillus subtilis	Prokaryote	0	80	0	100.0
10000	Lenient	Cryptococcus neoformans	Eukaryote	73	7	0	91.25
10000	Lenient	Enterococcus faecalis	Prokaryote	1	79	0	98.75
10000	Lenient	Escherichia coli	Prokaryote	0	80	0	100.0
10000	Lenient	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
10000	Lenient	Listeria monocytogenes	Prokaryote	0	80	0	100.0
10000	Lenient	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
10000	Lenient	Saccharomyces cerevisiae	Eukaryote	74	6	0	92.5
10000	Lenient	Salmonella enterica	Prokaryote	0	80	0	100.0
10000	Lenient	Staphylococcus aureus	Prokaryote	0	80	0	100.0
20000	Strict	Bacillus subtilis	Prokaryote	0	80	0	100.0
20000	Strict	Cryptococcus neoformans	Eukaryote	64	16	0	80.0
20000	Strict	Enterococcus faecalis	Prokaryote	0	80	0	100.0
20000	Strict	Escherichia coli	Prokaryote	0	80	0	100.0
20000	Strict	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
20000	Strict	Listeria monocytogenes	Prokaryote	0	80	0	100.0
20000	Strict	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
20000	Strict	Saccharomyces cerevisiae	Eukaryote	54	26	0	67.5
20000	Strict	Salmonella enterica	Prokaryote	0	80	0	100.0
20000	Strict	Staphylococcus aureus	Prokaryote	0	80	0	100.0
20000	Balanced	Bacillus subtilis	Prokaryote	0	80	0	100.0
20000	Balanced	Cryptococcus neoformans	Eukaryote	70	10	0	87.5
20000	Balanced	Enterococcus faecalis	Prokaryote	0	80	0	100.0
20000	Balanced	Escherichia coli	Prokaryote	0	80	0	100.0
20000	Balanced	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
20000	Balanced	Listeria monocytogenes	Prokaryote	0	80	0	100.0
20000	Balanced	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
20000	Balanced	Saccharomyces cerevisiae	Eukaryote	60	20	0	75.0
20000	Balanced	Salmonella enterica	Prokaryote	0	80	0	100.0
20000	Balanced	Staphylococcus aureus	Prokaryote	0	80	0	100.0
20000	Lenient	Bacillus subtilis	Prokaryote	0	80	0	100.0
20000	Lenient	Cryptococcus neoformans	Eukaryote	77	3	0	96.25
20000	Lenient	Enterococcus faecalis	Prokaryote	0	80	0	100.0
20000	Lenient	Escherichia coli	Prokaryote	0	80	0	100.0
20000	Lenient	Lactobacillus fermentum	Prokaryote	0	80	0	100.0
20000	Lenient	Listeria monocytogenes	Prokaryote	0	80	0	100.0
20000	Lenient	Pseudomonas aeruginosa	Prokaryote	0	80	0	100.0
20000	Lenient	Saccharomyces cerevisiae	Eukaryote	80	0	0	100.0
20000	Lenient	Salmonella enterica	Prokaryote	0	80	0	100.0
20000	Lenient	Staphylococcus aureus	Prokaryote	1	79	0	98.75
