FragmentID	FragmentLength	Species	DomainTruth	WithinSpeciesRank	SourceSequence	Start1	End1	Selection
FRAG|3000|Bacillus_subtilis|Prokaryote|018|00001|BS.pilon.polished.v3.ST170922|867001	3000	Bacillus subtilis	Prokaryote	18	00001|BS.pilon.polished.v3.ST170922	867001	870000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|019|00001|BS.pilon.polished.v3.ST170922|918001	3000	Bacillus subtilis	Prokaryote	19	00001|BS.pilon.polished.v3.ST170922	918001	921000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|020|00001|BS.pilon.polished.v3.ST170922|969001	3000	Bacillus subtilis	Prokaryote	20	00001|BS.pilon.polished.v3.ST170922	969001	972000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|021|00001|BS.pilon.polished.v3.ST170922|1023001	3000	Bacillus subtilis	Prokaryote	21	00001|BS.pilon.polished.v3.ST170922	1023001	1026000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|022|00001|BS.pilon.polished.v3.ST170922|1074001	3000	Bacillus subtilis	Prokaryote	22	00001|BS.pilon.polished.v3.ST170922	1074001	1077000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|023|00001|BS.pilon.polished.v3.ST170922|1125001	3000	Bacillus subtilis	Prokaryote	23	00001|BS.pilon.polished.v3.ST170922	1125001	1128000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|024|00001|BS.pilon.polished.v3.ST170922|1176001	3000	Bacillus subtilis	Prokaryote	24	00001|BS.pilon.polished.v3.ST170922	1176001	1179000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|025|00001|BS.pilon.polished.v3.ST170922|1227001	3000	Bacillus subtilis	Prokaryote	25	00001|BS.pilon.polished.v3.ST170922	1227001	1230000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|026|00001|BS.pilon.polished.v3.ST170922|1278001	3000	Bacillus subtilis	Prokaryote	26	00001|BS.pilon.polished.v3.ST170922	1278001	1281000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|027|00001|BS.pilon.polished.v3.ST170922|1329001	3000	Bacillus subtilis	Prokaryote	27	00001|BS.pilon.polished.v3.ST170922	1329001	1332000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|028|00001|BS.pilon.polished.v3.ST170922|1380001	3000	Bacillus subtilis	Prokaryote	28	00001|BS.pilon.polished.v3.ST170922	1380001	1383000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|029|00001|BS.pilon.polished.v3.ST170922|1431001	3000	Bacillus subtilis	Prokaryote	29	00001|BS.pilon.polished.v3.ST170922	1431001	1434000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|030|00001|BS.pilon.polished.v3.ST170922|1482001	3000	Bacillus subtilis	Prokaryote	30	00001|BS.pilon.polished.v3.ST170922	1482001	1485000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|031|00001|BS.pilon.polished.v3.ST170922|1533001	3000	Bacillus subtilis	Prokaryote	31	00001|BS.pilon.polished.v3.ST170922	1533001	1536000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|032|00001|BS.pilon.polished.v3.ST170922|1584001	3000	Bacillus subtilis	Prokaryote	32	00001|BS.pilon.polished.v3.ST170922	1584001	1587000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|033|00001|BS.pilon.polished.v3.ST170922|1635001	3000	Bacillus subtilis	Prokaryote	33	00001|BS.pilon.polished.v3.ST170922	1635001	1638000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|034|00001|BS.pilon.polished.v3.ST170922|1686001	3000	Bacillus subtilis	Prokaryote	34	00001|BS.pilon.polished.v3.ST170922	1686001	1689000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|035|00001|BS.pilon.polished.v3.ST170922|1737001	3000	Bacillus subtilis	Prokaryote	35	00001|BS.pilon.polished.v3.ST170922	1737001	1740000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|036|00001|BS.pilon.polished.v3.ST170922|1788001	3000	Bacillus subtilis	Prokaryote	36	00001|BS.pilon.polished.v3.ST170922	1788001	1791000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|037|00001|BS.pilon.polished.v3.ST170922|1839001	3000	Bacillus subtilis	Prokaryote	37	00001|BS.pilon.polished.v3.ST170922	1839001	1842000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|038|00001|BS.pilon.polished.v3.ST170922|1890001	3000	Bacillus subtilis	Prokaryote	38	00001|BS.pilon.polished.v3.ST170922	1890001	1893000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|039|00001|BS.pilon.polished.v3.ST170922|1941001	3000	Bacillus subtilis	Prokaryote	39	00001|BS.pilon.polished.v3.ST170922	1941001	1944000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|040|00001|BS.pilon.polished.v3.ST170922|1992001	3000	Bacillus subtilis	Prokaryote	40	00001|BS.pilon.polished.v3.ST170922	1992001	1995000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|041|00001|BS.pilon.polished.v3.ST170922|2046001	3000	Bacillus subtilis	Prokaryote	41	00001|BS.pilon.polished.v3.ST170922	2046001	2049000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|042|00001|BS.pilon.polished.v3.ST170922|2097001	3000	Bacillus subtilis	Prokaryote	42	00001|BS.pilon.polished.v3.ST170922	2097001	2100000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|043|00001|BS.pilon.polished.v3.ST170922|2148001	3000	Bacillus subtilis	Prokaryote	43	00001|BS.pilon.polished.v3.ST170922	2148001	2151000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|044|00001|BS.pilon.polished.v3.ST170922|2199001	3000	Bacillus subtilis	Prokaryote	44	00001|BS.pilon.polished.v3.ST170922	2199001	2202000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|045|00001|BS.pilon.polished.v3.ST170922|2250001	3000	Bacillus subtilis	Prokaryote	45	00001|BS.pilon.polished.v3.ST170922	2250001	2253000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|046|00001|BS.pilon.polished.v3.ST170922|2301001	3000	Bacillus subtilis	Prokaryote	46	00001|BS.pilon.polished.v3.ST170922	2301001	2304000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|047|00001|BS.pilon.polished.v3.ST170922|2352001	3000	Bacillus subtilis	Prokaryote	47	00001|BS.pilon.polished.v3.ST170922	2352001	2355000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|048|00001|BS.pilon.polished.v3.ST170922|2403001	3000	Bacillus subtilis	Prokaryote	48	00001|BS.pilon.polished.v3.ST170922	2403001	2406000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|049|00001|BS.pilon.polished.v3.ST170922|2454001	3000	Bacillus subtilis	Prokaryote	49	00001|BS.pilon.polished.v3.ST170922	2454001	2457000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|050|00001|BS.pilon.polished.v3.ST170922|2505001	3000	Bacillus subtilis	Prokaryote	50	00001|BS.pilon.polished.v3.ST170922	2505001	2508000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|051|00001|BS.pilon.polished.v3.ST170922|2556001	3000	Bacillus subtilis	Prokaryote	51	00001|BS.pilon.polished.v3.ST170922	2556001	2559000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|052|00001|BS.pilon.polished.v3.ST170922|2607001	3000	Bacillus subtilis	Prokaryote	52	00001|BS.pilon.polished.v3.ST170922	2607001	2610000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|053|00001|BS.pilon.polished.v3.ST170922|2658001	3000	Bacillus subtilis	Prokaryote	53	00001|BS.pilon.polished.v3.ST170922	2658001	2661000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|054|00001|BS.pilon.polished.v3.ST170922|2709001	3000	Bacillus subtilis	Prokaryote	54	00001|BS.pilon.polished.v3.ST170922	2709001	2712000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|055|00001|BS.pilon.polished.v3.ST170922|2760001	3000	Bacillus subtilis	Prokaryote	55	00001|BS.pilon.polished.v3.ST170922	2760001	2763000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|056|00001|BS.pilon.polished.v3.ST170922|2811001	3000	Bacillus subtilis	Prokaryote	56	00001|BS.pilon.polished.v3.ST170922	2811001	2814000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|057|00001|BS.pilon.polished.v3.ST170922|2862001	3000	Bacillus subtilis	Prokaryote	57	00001|BS.pilon.polished.v3.ST170922	2862001	2865000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|058|00001|BS.pilon.polished.v3.ST170922|2913001	3000	Bacillus subtilis	Prokaryote	58	00001|BS.pilon.polished.v3.ST170922	2913001	2916000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|059|00001|BS.pilon.polished.v3.ST170922|2964001	3000	Bacillus subtilis	Prokaryote	59	00001|BS.pilon.polished.v3.ST170922	2964001	2967000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|060|00001|BS.pilon.polished.v3.ST170922|3015001	3000	Bacillus subtilis	Prokaryote	60	00001|BS.pilon.polished.v3.ST170922	3015001	3018000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|061|00001|BS.pilon.polished.v3.ST170922|3069001	3000	Bacillus subtilis	Prokaryote	61	00001|BS.pilon.polished.v3.ST170922	3069001	3072000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|062|00001|BS.pilon.polished.v3.ST170922|3120001	3000	Bacillus subtilis	Prokaryote	62	00001|BS.pilon.polished.v3.ST170922	3120001	3123000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|063|00001|BS.pilon.polished.v3.ST170922|3171001	3000	Bacillus subtilis	Prokaryote	63	00001|BS.pilon.polished.v3.ST170922	3171001	3174000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|064|00001|BS.pilon.polished.v3.ST170922|3222001	3000	Bacillus subtilis	Prokaryote	64	00001|BS.pilon.polished.v3.ST170922	3222001	3225000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|065|00001|BS.pilon.polished.v3.ST170922|3273001	3000	Bacillus subtilis	Prokaryote	65	00001|BS.pilon.polished.v3.ST170922	3273001	3276000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|066|00001|BS.pilon.polished.v3.ST170922|3324001	3000	Bacillus subtilis	Prokaryote	66	00001|BS.pilon.polished.v3.ST170922	3324001	3327000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|067|00001|BS.pilon.polished.v3.ST170922|3375001	3000	Bacillus subtilis	Prokaryote	67	00001|BS.pilon.polished.v3.ST170922	3375001	3378000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|068|00001|BS.pilon.polished.v3.ST170922|3426001	3000	Bacillus subtilis	Prokaryote	68	00001|BS.pilon.polished.v3.ST170922	3426001	3429000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|069|00001|BS.pilon.polished.v3.ST170922|3477001	3000	Bacillus subtilis	Prokaryote	69	00001|BS.pilon.polished.v3.ST170922	3477001	3480000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|070|00001|BS.pilon.polished.v3.ST170922|3528001	3000	Bacillus subtilis	Prokaryote	70	00001|BS.pilon.polished.v3.ST170922	3528001	3531000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|071|00001|BS.pilon.polished.v3.ST170922|3579001	3000	Bacillus subtilis	Prokaryote	71	00001|BS.pilon.polished.v3.ST170922	3579001	3582000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|072|00001|BS.pilon.polished.v3.ST170922|3630001	3000	Bacillus subtilis	Prokaryote	72	00001|BS.pilon.polished.v3.ST170922	3630001	3633000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|073|00001|BS.pilon.polished.v3.ST170922|3681001	3000	Bacillus subtilis	Prokaryote	73	00001|BS.pilon.polished.v3.ST170922	3681001	3684000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|074|00001|BS.pilon.polished.v3.ST170922|3732001	3000	Bacillus subtilis	Prokaryote	74	00001|BS.pilon.polished.v3.ST170922	3732001	3735000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|075|00001|BS.pilon.polished.v3.ST170922|3783001	3000	Bacillus subtilis	Prokaryote	75	00001|BS.pilon.polished.v3.ST170922	3783001	3786000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|076|00001|BS.pilon.polished.v3.ST170922|3834001	3000	Bacillus subtilis	Prokaryote	76	00001|BS.pilon.polished.v3.ST170922	3834001	3837000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|077|00001|BS.pilon.polished.v3.ST170922|3885001	3000	Bacillus subtilis	Prokaryote	77	00001|BS.pilon.polished.v3.ST170922	3885001	3888000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|078|00001|BS.pilon.polished.v3.ST170922|3936001	3000	Bacillus subtilis	Prokaryote	78	00001|BS.pilon.polished.v3.ST170922	3936001	3939000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|079|00001|BS.pilon.polished.v3.ST170922|3987001	3000	Bacillus subtilis	Prokaryote	79	00001|BS.pilon.polished.v3.ST170922	3987001	3990000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Bacillus_subtilis|Prokaryote|080|00001|BS.pilon.polished.v3.ST170922|4041001	3000	Bacillus subtilis	Prokaryote	80	00001|BS.pilon.polished.v3.ST170922	4041001	4044000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|001|00001|34076|1	3000	Cryptococcus neoformans	Eukaryote	1	00001|34076	1	3000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|002|00002|35312|99001	3000	Cryptococcus neoformans	Eukaryote	2	00002|35312	99001	102000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|003|00003|34941|204001	3000	Cryptococcus neoformans	Eukaryote	3	00003|34941	204001	207000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|004|00005|34677|126001	3000	Cryptococcus neoformans	Eukaryote	4	00005|34677	126001	129000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|005|00007|34177|81001	3000	Cryptococcus neoformans	Eukaryote	5	00007|34177	81001	84000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|006|00009|33960|51001	3000	Cryptococcus neoformans	Eukaryote	6	00009|33960	51001	54000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|007|00011|35630|30001	3000	Cryptococcus neoformans	Eukaryote	7	00011|35630	30001	33000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|008|00013|33666|48001	3000	Cryptococcus neoformans	Eukaryote	8	00013|33666	48001	51000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|009|00015|34549|84001	3000	Cryptococcus neoformans	Eukaryote	9	00015|34549	84001	87000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|010|00018|35739|6001	3000	Cryptococcus neoformans	Eukaryote	10	00018|35739	6001	9000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|011|00020|34532|87001	3000	Cryptococcus neoformans	Eukaryote	11	00020|34532	87001	90000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|012|00023|35334|63001	3000	Cryptococcus neoformans	Eukaryote	12	00023|35334	63001	66000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|013|00026|30189|66001	3000	Cryptococcus neoformans	Eukaryote	13	00026|30189	66001	69000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|014|00029|34718|84001	3000	Cryptococcus neoformans	Eukaryote	14	00029|34718	84001	87000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|015|00033|33966|45001	3000	Cryptococcus neoformans	Eukaryote	15	00033|33966	45001	48000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|016|00037|33925|48001	3000	Cryptococcus neoformans	Eukaryote	16	00037|33925	48001	51000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|017|00041|35289|69001	3000	Cryptococcus neoformans	Eukaryote	17	00041|35289	69001	72000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|018|00046|34992|24001	3000	Cryptococcus neoformans	Eukaryote	18	00046|34992	24001	27000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|019|00051|34603|6001	3000	Cryptococcus neoformans	Eukaryote	19	00051|34603	6001	9000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|020|00056|34686|3001	3000	Cryptococcus neoformans	Eukaryote	20	00056|34686	3001	6000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|021|00061|34528|12001	3000	Cryptococcus neoformans	Eukaryote	21	00061|34528	12001	15000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|022|00066|34800|33001	3000	Cryptococcus neoformans	Eukaryote	22	00066|34800	33001	36000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|023|00072|34399|9001	3000	Cryptococcus neoformans	Eukaryote	23	00072|34399	9001	12000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|024|00077|35223|45001	3000	Cryptococcus neoformans	Eukaryote	24	00077|35223	45001	48000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|025|00083|34145|42001	3000	Cryptococcus neoformans	Eukaryote	25	00083|34145	42001	45000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|026|00090|35018|3001	3000	Cryptococcus neoformans	Eukaryote	26	00090|35018	3001	6000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|027|00096|35033|27001	3000	Cryptococcus neoformans	Eukaryote	27	00096|35033	27001	30000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|028|00103|35127|21001	3000	Cryptococcus neoformans	Eukaryote	28	00103|35127	21001	24000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|029|00110|35095|27001	3000	Cryptococcus neoformans	Eukaryote	29	00110|35095	27001	30000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|030|00118|33913|12001	3000	Cryptococcus neoformans	Eukaryote	30	00118|33913	12001	15000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|031|00126|35724|9001	3000	Cryptococcus neoformans	Eukaryote	31	00126|35724	9001	12000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|032|00134|35519|18001	3000	Cryptococcus neoformans	Eukaryote	32	00134|35519	18001	21000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|033|00142|34392|27001	3000	Cryptococcus neoformans	Eukaryote	33	00142|34392	27001	30000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|034|00151|35488|21001	3000	Cryptococcus neoformans	Eukaryote	34	00151|35488	21001	24000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|035|00160|35713|18001	3000	Cryptococcus neoformans	Eukaryote	35	00160|35713	18001	21000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|036|00169|35119|18001	3000	Cryptococcus neoformans	Eukaryote	36	00169|35119	18001	21000	80 evenly spaced non-overlapping exact-length fragments per species
FRAG|3000|Cryptococcus_neoformans|Eukaryote|037|00179|35502|6001	3000	Cryptococcus neoformans	Eukaryote	37	00179|35502	6001	9000	80 evenly spaced non-overlapping exact-length fragments per species
