FragmentID	FragmentLength	Mode	Species	Truth	Prediction	Correct
FRAG|3000|Bacillus_subtilis|Prokaryote|035|00001|BS.pilon.polished.v3.ST170922|1737001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|036|00001|BS.pilon.polished.v3.ST170922|1788001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|037|00001|BS.pilon.polished.v3.ST170922|1839001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|038|00001|BS.pilon.polished.v3.ST170922|1890001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|039|00001|BS.pilon.polished.v3.ST170922|1941001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|040|00001|BS.pilon.polished.v3.ST170922|1992001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|041|00001|BS.pilon.polished.v3.ST170922|2046001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|042|00001|BS.pilon.polished.v3.ST170922|2097001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|043|00001|BS.pilon.polished.v3.ST170922|2148001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|044|00001|BS.pilon.polished.v3.ST170922|2199001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|045|00001|BS.pilon.polished.v3.ST170922|2250001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|046|00001|BS.pilon.polished.v3.ST170922|2301001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|047|00001|BS.pilon.polished.v3.ST170922|2352001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|048|00001|BS.pilon.polished.v3.ST170922|2403001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|049|00001|BS.pilon.polished.v3.ST170922|2454001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|050|00001|BS.pilon.polished.v3.ST170922|2505001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|051|00001|BS.pilon.polished.v3.ST170922|2556001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|052|00001|BS.pilon.polished.v3.ST170922|2607001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|053|00001|BS.pilon.polished.v3.ST170922|2658001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|054|00001|BS.pilon.polished.v3.ST170922|2709001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|055|00001|BS.pilon.polished.v3.ST170922|2760001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|056|00001|BS.pilon.polished.v3.ST170922|2811001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|057|00001|BS.pilon.polished.v3.ST170922|2862001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|058|00001|BS.pilon.polished.v3.ST170922|2913001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|059|00001|BS.pilon.polished.v3.ST170922|2964001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|060|00001|BS.pilon.polished.v3.ST170922|3015001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|061|00001|BS.pilon.polished.v3.ST170922|3069001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|062|00001|BS.pilon.polished.v3.ST170922|3120001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|063|00001|BS.pilon.polished.v3.ST170922|3171001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|064|00001|BS.pilon.polished.v3.ST170922|3222001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|065|00001|BS.pilon.polished.v3.ST170922|3273001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|066|00001|BS.pilon.polished.v3.ST170922|3324001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|067|00001|BS.pilon.polished.v3.ST170922|3375001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|068|00001|BS.pilon.polished.v3.ST170922|3426001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|069|00001|BS.pilon.polished.v3.ST170922|3477001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|070|00001|BS.pilon.polished.v3.ST170922|3528001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|071|00001|BS.pilon.polished.v3.ST170922|3579001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|072|00001|BS.pilon.polished.v3.ST170922|3630001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|073|00001|BS.pilon.polished.v3.ST170922|3681001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|074|00001|BS.pilon.polished.v3.ST170922|3732001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|075|00001|BS.pilon.polished.v3.ST170922|3783001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|076|00001|BS.pilon.polished.v3.ST170922|3834001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|077|00001|BS.pilon.polished.v3.ST170922|3885001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|078|00001|BS.pilon.polished.v3.ST170922|3936001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|079|00001|BS.pilon.polished.v3.ST170922|3987001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Bacillus_subtilis|Prokaryote|080|00001|BS.pilon.polished.v3.ST170922|4041001	3000	Strict	Bacillus subtilis	Prokaryote	Prokaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|001|00001|34076|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|002|00002|35312|99001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|003|00003|34941|204001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|004|00005|34677|126001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|005|00007|34177|81001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|006|00009|33960|51001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|007|00011|35630|30001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|008|00013|33666|48001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|009|00015|34549|84001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|010|00018|35739|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|011|00020|34532|87001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|012|00023|35334|63001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|013|00026|30189|66001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|014|00029|34718|84001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|015|00033|33966|45001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|016|00037|33925|48001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|017|00041|35289|69001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|018|00046|34992|24001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|019|00051|34603|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|020|00056|34686|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|021|00061|34528|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|022|00066|34800|33001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|023|00072|34399|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|024|00077|35223|45001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|025|00083|34145|42001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|026|00090|35018|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|027|00096|35033|27001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|028|00103|35127|21001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|029|00110|35095|27001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|030|00118|33913|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|031|00126|35724|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|032|00134|35519|18001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|033|00142|34392|27001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|034|00151|35488|21001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|035|00160|35713|18001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|036|00169|35119|18001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|037|00179|35502|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|038|00188|34121|30001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|039|00198|35688|24001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|040|00209|35185|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|041|00220|35486|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|042|00230|32852|21001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|043|00242|35237|18001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|044|00254|33813|15001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|045|00266|35215|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|046|00279|35378|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|047|00292|35365|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|048|00305|35808|18001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|049|00319|35754|15001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|050|00335|35749|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|051|00350|35569|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|052|00365|35167|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|053|00381|34471|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|054|00398|34436|15001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|055|00416|35109|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|056|00434|34555|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|057|00452|35683|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|058|00473|35117|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|059|00494|35225|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|060|00516|35435|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|061|00537|35135|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|062|00558|34609|12001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|063|00585|34181|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|064|00611|35531|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|065|00638|31724|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|066|00665|34293|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|067|00691|34018|9001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|068|00720|35661|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|069|00755|35044|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Prokaryote	false
FRAG|3000|Cryptococcus_neoformans|Eukaryote|070|00791|34195|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|071|00826|35307|6001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|072|00862|34451|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|073|00905|34037|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|074|00958|34557|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|075|01011|31662|3001	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|076|01065|35506|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|077|01126|35253|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|078|01232|34432|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|079|01339|34669|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Cryptococcus_neoformans|Eukaryote|080|01446|32024|1	3000	Strict	Cryptococcus neoformans	Eukaryote	Eukaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|001|00001|Enterococcus_faecalis_complete_genome|1	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|002|00001|Enterococcus_faecalis_complete_genome|33001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|003|00001|Enterococcus_faecalis_complete_genome|69001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|004|00001|Enterococcus_faecalis_complete_genome|105001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|005|00001|Enterococcus_faecalis_complete_genome|141001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|006|00001|Enterococcus_faecalis_complete_genome|177001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|007|00001|Enterococcus_faecalis_complete_genome|213001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|008|00001|Enterococcus_faecalis_complete_genome|249001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|009|00001|Enterococcus_faecalis_complete_genome|285001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|010|00001|Enterococcus_faecalis_complete_genome|321001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|011|00001|Enterococcus_faecalis_complete_genome|357001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|012|00001|Enterococcus_faecalis_complete_genome|393001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
FRAG|3000|Enterococcus_faecalis|Prokaryote|013|00001|Enterococcus_faecalis_complete_genome|429001	3000	Strict	Enterococcus faecalis	Prokaryote	Prokaryote	true
