seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_48695	20946	No terminal repeats	29	11	0.9792	NA	0	1.8148	NA	NA
k141_14607	4001	No terminal repeats	6	11	0.9784	NA	0	1.5869	NA	NA
k141_11920	13398	No terminal repeats	11	11	0.9783	NA	1	1.6043	NA	NA
k141_41078	3012	No terminal repeats	3	11	0.9782	NA	0	1.7183	NA	NA
k141_16483	2546	No terminal repeats	7	11	0.9781	NA	1	5.7798	NA	NA
k141_41583	5251	No terminal repeats	3	11	0.9779	NA	1	1.6297	NA	NA
k141_13432	1878	No terminal repeats	3	11	0.9775	NA	1	2.8588	NA	NA
k141_29353	16240	No terminal repeats	12	11	0.9772	NA	0	3.5719	NA	NF012174
k141_39726	17519	No terminal repeats	16	11	0.9764	NA	0	2.9902	NA	NA
k141_43086	1164	No terminal repeats	3	11	0.9757	NA	2	2.9200	F_traH	NA
k141_53625	9881	No terminal repeats	7	11	0.9756	NA	0	1.7183	NA	NA
k141_33557	1285	No terminal repeats	3	11	0.9755	NA	1	3.0498	NA	NA
k141_3518	11648	No terminal repeats	9	11	0.9754	NA	0	1.6056	NA	NA
k141_18202	3265	No terminal repeats	3	11	0.9754	NA	0	1.6210	NA	NA
k141_16538	8805	No terminal repeats	12	11	0.9751	NA	0	2.1987	NA	NA
k141_5378	1257	No terminal repeats	2	11	0.9747	NA	1	0.9631	NA	NA
k141_52522	3631	No terminal repeats	4	11	0.9736	NA	0	0.4424	NA	NA
k141_21837	17629	No terminal repeats	16	11	0.9725	NA	0	1.7499	NA	NA
k141_58035	8414	DTR	8	11	0.9713	NA	0	1.7183	NA	NA
k141_41601	2876	No terminal repeats	4	11	0.9711	NA	0	1.9636	NA	NA
k141_56442	2496	No terminal repeats	4	11	0.9709	NA	2	2.9681	F_traW	NA
k141_14052	4942	No terminal repeats	6	11	0.9693	NA	1	0.7495	NA	NA
k141_26587	3614	No terminal repeats	3	11	0.9676	NA	1	2.3060	t4cp1;C_alr7212	NA
k141_52057	1055	No terminal repeats	1	11	0.9649	NA	1	1.3505	t4cp2	NA
k141_5877	1345	No terminal repeats	4	11	0.9647	NA	1	2.9469	G_tfc2	NA
k141_20762	1274	No terminal repeats	2	11	0.9644	NA	1	1.7183	MOBP1	NA
k141_18262	9157	No terminal repeats	8	11	0.9641	NA	0	2.1140	NA	NA
k141_21851	1041	No terminal repeats	2	11	0.9640	NA	1	2.5661	C_alr7212;C_alr7211	NA
k141_10694	1005	No terminal repeats	1	11	0.9635	NA	1	1.2498	C_alr7210	NA
k141_32674	5398	DTR	2	11	0.9627	NA	0	0.2023	NA	NA
k141_37589	3336	No terminal repeats	5	11	0.9617	NA	0	1.0313	NA	NA
k141_34848	4245	No terminal repeats	8	11	0.9612	NA	0	2.9872	NA	NA
k141_16661	3778	No terminal repeats	6	11	0.9611	NA	0	3.0590	NA	NA
k141_52835	2640	No terminal repeats	4	11	0.9609	NA	0	1.7183	NA	NA
k141_33824	1712	No terminal repeats	3	11	0.9601	NA	2	2.5463	F_trbC;F_traU	NA
k141_56925	1423	No terminal repeats	3	11	0.9592	NA	1	1.3754	MOBB	NA
k141_4553	3085	No terminal repeats	7	11	0.9581	NA	0	3.4024	NA	NA
k141_22686	2570	No terminal repeats	4	11	0.9574	NA	0	0.7326	NA	NA
k141_7505	3150	No terminal repeats	4	11	0.9556	NA	0	1.6689	NA	NA
k141_28601	3489	No terminal repeats	4	11	0.9556	NA	0	1.2633	NA	NA
k141_45250	2874	No terminal repeats	2	11	0.9545	NA	0	1.1292	NA	NA
k141_15759	45940	No terminal repeats	44	11	0.9539	NA	1	12.8820	NA	NA
k141_39464	2853	No terminal repeats	3	11	0.9538	NA	0	1.7152	NA	NA
k141_17354	6048	No terminal repeats	7	11	0.9537	NA	0	1.9412	NA	NA
k141_1665	4814	No terminal repeats	8	11	0.9536	NA	0	2.4972	NA	NA
k141_51890	6410	No terminal repeats	10	11	0.9517	NA	0	4.2339	NA	NA
k141_33279	3189	No terminal repeats	3	11	0.9501	NA	0	0.9441	NA	NA
k141_8289	3751	No terminal repeats	5	11	0.9497	NA	0	1.6449	NA	NA
k141_8645	2832	No terminal repeats	4	11	0.9494	NA	0	0.7811	NA	NA
k141_18874	7057	No terminal repeats	3	11	0.9493	NA	0	1.6482	NA	NA
k141_58027	53049	DTR	69	11	0.9489	NA	7	5.3746	F_traU;F_traG;F_traF;F_traV;F_traB;F_traU	NA
k141_8101	5116	No terminal repeats	9	11	0.9487	NA	1	1.9659	NA	NA
k141_25764	2797	No terminal repeats	4	11	0.9486	NA	0	1.0369	NA	NA
k141_7399	2638	No terminal repeats	2	11	0.9482	NA	1	1.3074	F_traG	NA
k141_35857	3271	No terminal repeats	2	11	0.9472	NA	0	1.5917	NA	NA
k141_2643	3051	No terminal repeats	4	11	0.9471	NA	0	0.7895	NA	NA
k141_4514	4813	No terminal repeats	7	11	0.9439	NA	0	1.4144	NA	NA
k141_42959	5649	No terminal repeats	7	11	0.9437	NA	0	1.2328	NA	NA
k141_54157	1784	No terminal repeats	4	11	0.9401	NA	3	3.0798	G_tfc5;T_virB1;G_tfc3	NA
k141_247	3418	No terminal repeats	3	11	0.9397	NA	0	1.6344	NA	NA
k141_3345	16963	ITR	22	11	0.9379	NA	0	0.8546	NA	NA
k141_1490	2933	No terminal repeats	4	11	0.9374	NA	0	0.6337	NA	NA
k141_9804	11618	No terminal repeats	15	11	0.9370	NA	0	1.7692	NA	NA
k141_3183	1208	No terminal repeats	2	11	0.9362	NA	1	2.3161	virb4;C_alr7207	NA
k141_29776	1097	No terminal repeats	2	11	0.9345	NA	1	1.2491	F_traF	NA
k141_7276	3246	No terminal repeats	6	11	0.9343	NA	0	0.8487	NA	NA
k141_58040	3794	DTR	6	11	0.9328	NA	0	0.4697	NA	NA
k141_56912	3556	No terminal repeats	4	11	0.9319	NA	0	2.0417	NA	NA
k141_17167	3974	No terminal repeats	3	11	0.9282	NA	0	1.7152	NA	NA
k141_37715	4305	No terminal repeats	4	11	0.9281	NA	0	1.2486	NA	NA
k141_28513	2069	No terminal repeats	3	11	0.9254	NA	1	2.1838	NA	NA
k141_53024	3469	No terminal repeats	5	11	0.9246	NA	0	1.1514	NA	NA
k141_57206	4272	No terminal repeats	4	11	0.9229	NA	0	1.6962	NA	NA
k141_14661	2653	No terminal repeats	4	11	0.9217	NA	0	1.7363	NA	NA
k141_21703	3724	No terminal repeats	4	11	0.9211	NA	0	0.1951	NA	NA
k141_29595	5375	No terminal repeats	4	11	0.9197	NA	0	0.5885	NA	NA
k141_28543	1606	No terminal repeats	4	11	0.9190	NA	1	1.0541	virb4	NA
k141_37244	25060	No terminal repeats	22	11	0.9180	NA	0	5.3643	NA	NA
k141_14465	2661	No terminal repeats	5	11	0.9160	NA	0	2.7718	NA	NA
k141_48815	5834	No terminal repeats	4	11	0.9136	NA	0	1.6258	NA	NA
k141_2197	1261	No terminal repeats	2	11	0.9112	NA	1	2.3198	C_alr7209;C_alr7210	NA
k141_2161	2510	No terminal repeats	5	11	0.9106	NA	0	0.4395	NA	NA
k141_2182	10059	No terminal repeats	16	11	0.9056	NA	1	0.9869	NA	NA
k141_21191	4525	No terminal repeats	7	11	0.9029	NA	0	2.4072	NA	NA
k141_30337	4372	No terminal repeats	4	11	0.9007	NA	0	0.7141	NA	NA
k141_3541	3875	No terminal repeats	4	11	0.8988	NA	0	0.5286	NA	NA
k141_51730	5897	No terminal repeats	4	11	0.8973	NA	0	0.4361	NA	NA
k141_55002	2901	No terminal repeats	5	11	0.8954	NA	1	1.4048	NA	NA
k141_48812	3450	No terminal repeats	5	11	0.8936	NA	0	0.6784	NA	NA
k141_908	3130	No terminal repeats	2	11	0.8907	NA	0	1.1117	NA	NA
k141_4235	5636	No terminal repeats	7	11	0.8883	NA	0	0.1918	NA	NA
k141_25558	1711	No terminal repeats	2	11	0.8875	NA	1	1.2708	F_traN	NA
k141_26912	3158	No terminal repeats	3	11	0.8850	NA	0	1.1434	NA	NA
k141_30327	3613	No terminal repeats	5	11	0.8845	NA	0	1.5000	NA	NA
k141_38624	3668	No terminal repeats	4	11	0.8803	NA	0	2.7548	NA	NA
k141_41035	1348	No terminal repeats	2	11	0.8777	NA	1	1.2063	F_traU	NA
k141_15690	2966	No terminal repeats	5	11	0.8770	NA	0	0.7222	NA	NA
k141_45253	3364	No terminal repeats	5	11	0.8751	NA	0	1.4028	NA	NA
k141_9873	3516	No terminal repeats	3	11	0.8723	NA	0	2.3274	NA	NA
k141_37999	3945	No terminal repeats	5	11	0.8700	NA	0	1.6121	NA	NA
k141_11077	5958	No terminal repeats	8	11	0.8700	NA	0	1.1216	NA	NA
k141_49342	6418	No terminal repeats	6	11	0.8684	NA	0	1.5998	NA	NA
k141_53845	6089	No terminal repeats	11	11	0.8678	NA	0	1.4064	NA	NA
k141_40645	14710	No terminal repeats	15	11	0.8636	NA	1	0.8346	NA	NA
k141_57918	3621	No terminal repeats	4	11	0.8620	NA	0	1.7183	NA	NA
k141_2935	2880	No terminal repeats	4	11	0.8613	NA	0	0.5647	NA	NA
k141_6649	2954	No terminal repeats	4	11	0.8608	NA	0	0.7783	NA	NA
k141_29435	20893	No terminal repeats	24	11	0.8584	NA	0	0.5000	NA	NA
k141_9264	2806	No terminal repeats	3	11	0.8572	NA	1	0.5999	MOBH	NA
k141_36686	2941	No terminal repeats	4	11	0.8555	NA	0	0.8486	NA	NA
k141_24582	2631	No terminal repeats	4	11	0.8546	NA	0	0.1704	NA	NA
k141_48735	2700	No terminal repeats	5	11	0.8538	NA	0	0.2763	NA	NA
k141_48689	50296	No terminal repeats	44	11	0.8476	NA	1	2.0844	NA	NA
k141_37114	1153	No terminal repeats	1	11	0.8472	NA	1	0.9921	virb4	NA
k141_11016	2800	No terminal repeats	3	11	0.8438	NA	0	1.7142	NA	NA
k141_34131	4307	No terminal repeats	4	11	0.8429	NA	0	1.5456	NA	NA
k141_7386	4660	No terminal repeats	5	11	0.8422	NA	0	1.3867	NA	NA
k141_7662	2674	No terminal repeats	6	11	0.8385	NA	0	1.9137	NA	NA
k141_51544	1132	No terminal repeats	2	11	0.8296	NA	2	2.1023	G_tfc12;G_tfc13	NA
k141_18527	3684	No terminal repeats	5	11	0.8274	NA	0	0.3312	NA	NA
k141_8727	1333	No terminal repeats	2	11	0.8260	NA	1	1.2063	F_traU	NA
k141_45306	6338	No terminal repeats	5	11	0.8251	NA	0	0.9068	NA	NA
k141_47893	2514	No terminal repeats	2	11	0.8240	NA	0	1.2334	NA	NA
k141_45600	2522	No terminal repeats	3	11	0.8159	NA	0	0.1435	NA	NA
k141_53129	7520	No terminal repeats	9	11	0.8117	NA	0	1.6424	NA	NA
k141_35967	5270	No terminal repeats	8	11	0.8106	NA	0	0.3573	NA	NA
k141_13343	3006	No terminal repeats	4	11	0.8099	NA	0	0.7338	NA	NA
k141_10030	2767	No terminal repeats	3	11	0.8084	NA	0	1.3498	NA	NA
k141_9541	2697	No terminal repeats	4	11	0.8075	NA	0	0.5845	NA	NA
k141_43151	37803	No terminal repeats	36	11	0.8032	NA	0	0.7875	NA	NA
k141_29546	3859	No terminal repeats	5	11	0.8005	NA	0	0.5177	NA	NA
k141_43295	9315	No terminal repeats	7	11	0.8004	NA	0	1.5650	NA	NA
k141_14864	3526	No terminal repeats	3	11	0.7974	NA	0	1.3498	NA	NA
k141_39603	3164	No terminal repeats	7	11	0.7930	NA	0	0.2733	NA	NA
k141_35823	3069	No terminal repeats	3	11	0.7921	NA	0	0.3276	NA	NA
k141_24043	1935	No terminal repeats	2	11	0.7853	NA	1	1.2376	NA	NA
k141_43882	3398	No terminal repeats	6	11	0.7798	NA	0	0.3077	NA	NA
k141_57043	2521	No terminal repeats	3	11	0.7795	NA	0	0.7139	NA	NA
k141_24236	7157	No terminal repeats	4	11	0.7682	NA	0	0.4578	NA	NA
k141_46341	3250	No terminal repeats	2	11	0.7652	NA	0	1.6998	NA	NA
k141_35456	2540	No terminal repeats	4	11	0.7627	NA	0	0.8846	NA	NA
k141_18357	8425	No terminal repeats	8	11	0.7617	NA	0	0.2598	NA	NA
k141_20118	3262	No terminal repeats	4	11	0.7610	NA	0	0.3942	NA	NA
k141_12193	3893	No terminal repeats	4	11	0.7606	NA	1	1.9419	T_virB9	NA
k141_1392	2537	No terminal repeats	3	11	0.7548	NA	0	1.3498	NA	NA
k141_50831	3549	No terminal repeats	4	11	0.7546	NA	0	0.2064	NA	NA
k141_21665	2547	No terminal repeats	5	11	0.7543	NA	0	0.8055	NA	NA
k141_5903	3097	No terminal repeats	5	11	0.7502	NA	0	0.8191	NA	NA
k141_21622	2532	No terminal repeats	3	11	0.7483	NA	0	0.5401	NA	NA
k141_8238	3057	No terminal repeats	7	11	0.7468	NA	0	0.6746	NA	NA
k141_37781	3017	No terminal repeats	4	11	0.7453	NA	0	0.8602	NA	NA
k141_5901	3139	No terminal repeats	4	11	0.7439	NA	0	1.0315	NA	NA
k141_56035	5628	No terminal repeats	4	11	0.7416	NA	0	0.2510	NA	NA
k141_36226	2589	No terminal repeats	4	11	0.7390	NA	0	0.7533	NA	NA
k141_41126	5564	No terminal repeats	5	11	0.7368	NA	0	0.5771	NA	NA
k141_55703	3276	No terminal repeats	5	11	0.7293	NA	0	0.2276	NA	NA
k141_55392	3105	No terminal repeats	5	11	0.7268	NA	0	0.2933	NA	NA
k141_4445	21205	No terminal repeats	14	11	0.7246	NA	0	0.9943	NA	NA
k141_30071	3710	No terminal repeats	4	11	0.7132	NA	0	0.4547	NA	NA
k141_3793	10866	No terminal repeats	6	11	0.7108	NA	1	1.4150	NA	NA
k141_20015	2859	No terminal repeats	3	11	0.7086	NA	0	0.3198	NA	NA
k141_1896	2588	No terminal repeats	5	11	0.7078	NA	0	0.9178	NA	NA
