Algorithm	Feature	Species	OuterFoldsAvailable	MeanDeltaAUROC	SEDeltaAUROC	PositiveFoldFraction	Lower95	Upper95	Rank
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum	Gemella morbillorum	25	0.00289510489510489	0.00276449841758738	0.4	-0.00252331200336636	0.00831352179357615	11
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	Bacteroides thetaiotaomicron	25	0.00278088578088578	0.002191595532464	0.32	-0.00151464146274365	0.00707641302451521	12
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	Hungatella hathewayi	25	0.00274825174825175	0.00158959105899652	0.44	-0.000367346727381439	0.00586385022388493	13
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	Roseburia intestinalis	25	0.00241491841491841	0.00242575271599793	0.36	-0.00233955690843754	0.00716939373827435	14
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	Butyricimonas virosa	25	0.00238694638694638	0.0017877007374399	0.44	-0.00111694705843582	0.00589083983232858	15
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	Clostridium sp CAG 58	25	0.00227272727272727	0.00157471744796451	0.36	-0.000813718925283164	0.0053591734707377	16
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250	Anaeromassilibacillus sp An250	25	0.00221212121212121	0.0011047106747611	0.24	0.0000468882895894537	0.00437735413465296	17
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	Eubacterium rectale	25	0.00218648018648019	0.0018768463016546	0.44	-0.00149213856476283	0.0058650989377232	18
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes	Dialister pneumosintes	25	0.00190675990675991	0.00419980400519596	0.52	-0.00632485594342416	0.010138375756944	19
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_274	Eubacterium sp CAG 274	25	0.00186247086247086	0.000832364779647455	0.28	0.000231035894361847	0.00349390583057987	20
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_brachy	Eubacterium brachy	25	0.00152913752913753	0.000626669431423783	0.2	0.00030086544354691	0.00275740961472814	21
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12	Streptococcus sp A12	25	0.00143822843822844	0.000898140219486161	0.28	-0.000322126391964434	0.00319858326842132	22
Random forest	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	Olsenella scatoligenes	25	0.00142191142191142	0.0013933548966474	0.2	-0.00130906417551749	0.00415288701934033	23
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	Ruminococcaceae bacterium D5	25	0.00141258741258741	0.00134980802194518	0.28	-0.00123303631042515	0.00405821113559997	24
Random forest	k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139	Proteobacteria bacterium CAG 139	25	0.00131002331002331	0.000894480193089307	0.16	-0.000443157868431729	0.00306320448847836	25
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	Streptococcus parasanguinis	25	0.00127972027972028	0.00103398128519731	0.24	-0.000746883039266452	0.003306323598707	26
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	Coprococcus catus	25	0.00118881118881119	0.00118356246439038	0.16	-0.00113097124139395	0.00350859361901632	27
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An138	Lachnoclostridium sp An138	23	0.000988142292490123	0.000699410851415946	0.173913043478261	-0.000382702976285132	0.00235898756126538	28
Random forest	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	Adlercreutzia equolifaciens	25	0.000946386946386943	0.000525039410244352	0.12	-0.000082690297691987	0.00197546419046587	29.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri	Lactobacillus paragasseri	25	0.000946386946386943	0.000683354513995894	0.16	-0.000392987901045009	0.0022857617938189	29.5
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	Bacteroides uniformis	25	0.000927738927738928	0.00260456246822351	0.24	-0.00417720350997914	0.006032681365457	31
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	Allisonella histaminiformans	25	0.000909090909090908	0.000666207371629945	0.08	-0.000396675539303783	0.0022148573574856	32
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	Parabacteroides merdae	25	0.000839160839160837	0.00212630241292999	0.28	-0.00332839189018194	0.00500671356850361	33
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	Dorea longicatena	25	0.000808857808857808	0.00150941145687818	0.12	-0.00214958864662343	0.00376730426433905	34
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_lactatifermentans	Anaerotignum lactatifermentans	25	0.000780885780885772	0.00159032552175623	0.24	-0.00233615224175645	0.00389792380352799	35
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	Bacteroides coprocola	11	0.000757575757575755	0.000757575757575755	0.0909090909090909	-0.000727272727272725	0.00224242424242423	36
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	Clostridium symbiosum	25	0.000750582750582747	0.00177579418152085	0.32	-0.00272997384519811	0.00423113934636361	37
Random forest	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	Methanobrevibacter smithii	25	0.000720279720279717	0.000932776488080252	0.12	-0.00110796219635758	0.00254852163691701	38
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci	Eubacterium sulci	25	0.000713286713286712	0.000979328955887879	0.12	-0.00120619804025353	0.00263277146682696	39
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	Veillonella parvula	25	0.000696969696969694	0.00080877495438731	0.08	-0.000888229213629434	0.00228216860756882	40
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257	Blautia sp CAG 257	25	0.000673659673659666	0.00101188548966371	0.16	-0.0013096358860812	0.00265695523340053	41
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	Porphyromonas asaccharolytica	24	0.000662878787878786	0.000458989809951735	0.0833333333333333	-0.000236741239626615	0.00156249881538419	42
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	Dialister invisus	25	0.000636363636363635	0.00044104531201254	0.08	-0.000228085175180944	0.00150081244790821	43
Random forest	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	Firmicutes bacterium CAG 95	25	0.000559440559440563	0.00071012727664553	0.08	-0.000832408902784676	0.0019512900216658	44
Random forest	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	Collinsella stercoris	25	0.000552447552447553	0.000613053613053612	0.12	-0.000649137529137526	0.00175403263403263	45
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	Bacteroides caccae	25	0.000505827505827505	0.00153917774292409	0.12	-0.0025109608703037	0.00352261588195872	46
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	Ruminococcus bromii	25	0.000498834498834508	0.00150945555372322	0.2	-0.00245969838646299	0.00345736738413201	47
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	Streptococcus oralis	25	0.00047552447552448	0.00145810235912945	0.12	-0.00238235614836923	0.00333340509941819	48
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_celatum	Clostridium celatum	16	0.000473484848484848	0.000473484848484848	0.0625	-0.000454545454545454	0.00140151515151515	49
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	Streptococcus mitis	25	0.000386946386946381	0.00109201550690594	0.16	-0.00175340400658926	0.00252729678048202	50
Random forest	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	Turicimonas muris	25	0.000363636363636362	0.000987874140163823	0.12	-0.00157259695108473	0.00229986967835745	51
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora	Harryflintia acetispora	23	0.000362318840579709	0.000362318840579709	0.0434782608695652	-0.000347826086956521	0.00107246376811594	52
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_F0442	Streptococcus sp F0442	20	0.000349650349650349	0.000349650349650349	0.05	-0.000335664335664335	0.00103496503496503	53
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis	Catabacter hongkongensis	24	0.000347222222222221	0.000347222222222221	0.0416666666666667	-0.000333333333333332	0.00102777777777777	54
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	Bacteroides clarus	25	0.000310023310023304	0.000537487725094557	0.08	-0.000743452631162027	0.00136349925120864	55.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum	Eubacterium limosum	25	0.000310023310023304	0.000692964691825023	0.12	-0.00104818748595374	0.00166823410600035	55.5
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	Actinomyces sp HMSC035G02	25	0.000303030303030307	0.000303030303030307	0.04	-0.000290909090909095	0.000896969696969709	57
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	Romboutsia ilealis	25	0.000303030303030303	0.000303030303030303	0.04	-0.000290909090909091	0.000896969696969696	58.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri	Streptococcus milleri	25	0.000303030303030303	0.000303030303030303	0.04	-0.000290909090909091	0.000896969696969696	58.5
Random forest	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__[Collinsella]_massiliensis	[Collinsella] massiliensis	25	0.000279720279720284	0.0011836246306798	0.2	-0.00204018399641212	0.00259962455585268	60
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens	Clostridium scindens	25	0.000279720279720279	0.000279720279720279	0.04	-0.000268531468531468	0.000827972027972026	61
Random forest	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	Firmicutes bacterium CAG 170	25	0.000272727272727278	0.000703743977711126	0.12	-0.00110661092358653	0.00165206546904109	62
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	Streptococcus sanguinis	25	0.000256410256410255	0.00159149955884628	0.2	-0.00286292887892846	0.00337574939174897	63
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	Aeriscardovia aeriphila	25	0.00024242424242424	0.00140558377494656	0.16	-0.00251251995647102	0.0029973684413195	64
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	Eubacterium sp CAG 251	25	0.000156177156177155	0.00133687911822882	0.08	-0.00246410591555134	0.00277646022790565	65
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	Bacteroides xylanisolvens	25	0.000153846153846144	0.00217981924930805	0.28	-0.00411859957479763	0.00442629188248992	66
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	Alistipes onderdonkii	25	0.000053613053613053	0.000443987109911886	0.04	-0.000816601681814244	0.00092382778904035	67
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta	Blautia producta	24	0.000031565656565651	0.000479304738610566	0.0416666666666667	-0.000907871631111058	0.00097100294424236	68
Random forest	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified|s__Desulfovibrionaceae_bacterium	Desulfovibrionaceae bacterium	25	0.0000303030303030294	0.00045973468879698	0.04	-0.000870776959739051	0.00093138302034511	69.5
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp_CAG_266	Phascolarctobacterium sp CAG 266	25	0.0000303030303030294	0.000634557320950663	0.08	-0.00121342931876027	0.00127403537936633	69.5
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	Actinomyces sp oral taxon 181	25	0.0000303030303030249	0.00113508345398273	0.12	-0.00219446053950312	0.00225506660010917	71
Random forest	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	Holdemania filiformis	25	0.0000233100233100236	0.000833340125270488	0.12	-0.00161003662222013	0.00165665666884018	72
Random forest	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94	Firmicutes bacterium CAG 94	25	0.00000699300699300132	0.000623337220649621	0.08	-0.00121474794548026	0.00122873395946626	73
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	Actinomyces sp S6 Spd3	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_vaginalis	Anaerococcus vaginalis	3	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Bacteroides_pectinophilus	Bacteroides pectinophilus	4	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_443	Bacteroides sp CAG 443	5	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_porcorum	Cloacibacillus porcorum	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_hylemonae	Clostridium hylemonae	3	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317	Dorea sp CAG 317	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_dolichum_CAG_375	Eubacterium dolichum CAG 375	9	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_infirmum	Eubacterium infirmum	20	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens	Granulicatella adiacens	7	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	Granulicatella elegans	8	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	Lactobacillus gasseri	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae	Lactobacillus mucosae	1	0		0			88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae	Lactobacillus rogosae	25	0	0.000437386567567898	0.04	-0.00085727767243308	0.00085727767243308	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius	Lactobacillus salivarius	6	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Lactonifactor|s__Lactonifactor_longoviformis	Lactonifactor longoviformis	23	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_hypermegale	Megamonas hypermegale	2	0	0	0	0	0	88.5
Random forest	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	Methanosphaera stadtmanae	9	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_multacida	Mitsuokella multacida	21	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli	Olsenella uli	11	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	Parabacteroides johnsonii	23	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp_CAG_409	Parabacteroides sp CAG 409	19	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii	Propionibacterium freudenreichii	10	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus	Pseudoflavonifractor capillosus	1	0		0			88.5
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	Rothia dentocariosa	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	Rothia mucilaginosa	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis	Ruminococcus champanellensis	8	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_330	Ruminococcus sp CAG 330	1	0		0			88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis	Sellimonas intestinalis	25	0	0	0	0	0	88.5
Random forest	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis	Streptococcus lutetiensis	1	0		0			88.5
Random forest	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_403	Ruminococcus sp CAG 403	24	-0.00000000000000000462588809405877	0.00045600701926428	0.0416666666666667	-0.000893773757757994	0.000893773757757985	104
Random forest	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	Klebsiella pneumoniae	25	-0.0000233100233100236	0.00042087342856102	0.04	-0.000848221943289623	0.000801601896669576	105
Random forest	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	Eggerthella lenta	25	-0.0000233100233100281	0.000911813805182011	0.16	-0.00181046508146677	0.00176384503484671	106
