genome_id	metagenome_id	genome_length	num_contigs	n50	num_16s	num_5s	num_23s	num_trna	completeness	contamination	quality_score	mimag_quality	otu_id	ecosystem	ecosystem_category	ecosystem_type	habitat	longitude	latitude
3300025516_12	3300025516	2064405	268	9462	0	0	0	31	82.46	0.8	78.46	MQ	OTU-1266	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA6171;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_5	3300025516	3033503	49	101185	1	1	1	36	72.41	0	72.41	MQ	OTU-17791	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Azohydromonas;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_10	3300025510	2015428	97	29482	0	1	1	46	94.17	1.83	85.02	MQ	OTU-1262	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_11	3300025510	1566137	104	21137	1	1	1	40	92.08	1.28	85.68	HQ	OTU-7919	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA912;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_8	3300025510	2200413	91	36208	2	2	1	47	91.53	0.36	89.73	HQ	OTU-6204	d__Bacteria;p__Firmicutes_D;c__UBA994;o__UBA994;f__UBA994;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_9	3300025510	2098559	11	264483	0	3	1	31	66.83	0	66.83	MQ	OTU-17792	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA7960;g__UBA7960;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_4	3300025510	2724409	100	42568	1	2	1	43	94.31	0.17	93.46	HQ	OTU-6208	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__UBA2250;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_5	3300025510	2624873	192	20033	1	1	0	46	90.68	2.76	76.88	MQ	OTU-6209	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_6	3300025510	2507664	139	28536	0	2	0	33	91.53	0.82	87.43	MQ	OTU-6210	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_7	3300025510	2377982	109	36913	0	1	0	37	87.58	2.05	77.33	MQ	OTU-10661	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Macromonas;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_1	3300025510	3664918	143	37261	0	0	0	39	98.27	0.14	97.57	MQ	OTU-11017	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__32-66-9;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025510_2	3300025510	3225081	13	290911	1	1	1	46	98.1	0.95	93.35	HQ	OTU-6213	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ga0077548;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025490_2	3300025490	2200727	51	70786	1	3	1	41	93.22	1.41	86.17	HQ	OTU-15737	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025490_1	3300025490	2388197	22	171979	1	2	0	28	68.88	0.77	65.03	MQ	OTU-15739	d__Bacteria;p__Firmicutes_B;c__Moorellia;o__PH28-bin88;f__PH28-bin88;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025490_3	3300025490	2165110	88	37900	0	2	0	37	90.68	1.13	85.03	MQ	OTU-6210	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025490_4	3300025490	1797631	28	107777	3	2	0	37	57.2	0	57.2	MQ	OTU-15738	d__Bacteria;p__Firmicutes_D;c__UBA994;o__UBA994;f__UBA994;g__UBA994;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_13	3300025536	1962606	84	34594	0	1	0	39	95.27	0.9	90.77	MQ	OTU-75	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Ga0074140;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_10	3300025536	2662278	15	437323	1	1	1	36	97.54	0.41	95.49	HQ	OTU-8993	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_11	3300025536	2618229	108	32788	0	0	0	26	93.43	1.57	85.58	MQ	OTU-9251	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_25	3300025536	819377	6	112267	1	1	1	45	63.93	0	63.93	MQ	OTU-11498	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_54	3300025536	984893	1	984893	1	1	1	19	63.79	0	63.79	MQ	OTU-7756	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_24	3300025536	819670	6	276801	1	0	1	46	78.58	0	78.58	MQ	OTU-11518	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Ryanbacterales;f__GWA2-47-10b;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_23	3300025536	834915	14	134010	1	1	1	47	83.91	1.88	74.51	MQ	OTU-290	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Taylorbacteraceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_20	3300025536	901556	41	35506	0	0	1	46	62.79	0	62.79	MQ	OTU-1905	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__UBA10103;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_18	3300025536	1022262	44	38316	0	1	1	38	59.8	0.85	55.55	MQ	OTU-8988	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__UBA10103;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_14	3300025536	1383162	31	68887	0	0	0	32	90.71	1.35	83.96	MQ	OTU-85	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__SM23-39;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_1	3300025536	6135301	261	39751	1	1	1	49	96.97	4.51	74.42	HQ	OTU-9872	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_2	3300025536	6084197	229	41841	0	1	0	74	95.57	1.57	87.72	MQ	OTU-9873	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__UBA7693;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_3	3300025536	4429002	121	60830	0	3	0	39	99.14	0.56	96.34	MQ	OTU-9874	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_5	3300025536	3643500	352	13018	1	1	1	48	85.59	2.75	71.84	MQ	OTU-9875	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_6	3300025536	3589238	340	13829	1	1	0	32	86.01	3.69	67.56	MQ	OTU-9876	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_8	3300025536	3356062	51	86388	1	1	1	43	90.05	0.55	87.3	HQ	OTU-9878	d__Bacteria;p__Bacteroidota;c__UBA10030;o__;f__;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_9	3300025536	3086897	52	93878	1	1	1	45	99.25	0.05	99	HQ	OTU-9879	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_26	3300025536	798931	5	206119	1	1	1	42	83.91	0	83.91	MQ	OTU-11487	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__1-14-0-10-45-20;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025536_7	3300025536	3503261	16	391201	1	1	1	36	98.63	0	98.63	HQ	OTU-9877	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300000228_25	3300000228	1846872	215	10759	0	0	0	25	84.63	3.78	65.73	MQ	OTU-14694	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_29	3300000228	1606728	176	10625	0	2	0	25	74.86	0.65	71.61	MQ	OTU-3882	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_6	3300000228	3281403	424	9047	1	0	0	38	88.81	3.33	72.16	MQ	OTU-6832	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_46	3300000228	607993	58	13480	1	1	1	36	72.23	4.31	50.68	MQ	OTU-11101	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA1006;g__UBA1006;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_23	3300000228	2078614	301	7691	1	0	0	25	76.8	3.52	59.2	MQ	OTU-17816	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__SR-FBR-E99;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_18	3300000228	2372058	272	10864	0	0	0	34	81.46	2.86	67.16	MQ	OTU-13247	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA6680;g__;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_17	3300000228	2457568	230	14237	0	1	1	29	96.43	1.34	89.73	MQ	OTU-13542	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_15	3300000228	2679218	206	18525	1	1	1	38	91.94	2.42	79.84	HQ	OTU-9528	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__4572-128;g__;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_11	3300000228	3080319	218	20991	0	2	0	32	89.43	0	89.43	MQ	OTU-13547	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300000228_27	3300000228	1736489	225	8972	0	0	0	36	89.75	1.23	83.6	MQ	OTU-4249	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__FS08-3;s__	Aquatic	Freshwater	Groundwater	12.95	43.3833
3300023070_2	3300023070	2607478	55	189999	1	1	1	51	97.41	3.88	78.01	HQ	OTU-948	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__70-9;s__	Terrestrial	Plant litter	plant litter	-89.38	43.3
3300023097_6	3300023097	3637056	451	9458	1	1	2	31	79.97	2.71	66.42	MQ	OTU-15805	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	Terrestrial	Plant litter	plant litter	-89.38	43.3
3300023169_6	3300023169	3040313	66	83985	2	1	1	45	98.42	1.98	88.52	HQ	OTU-9567	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ga0077548;s__	Terrestrial	Plant litter	plant litter	-89.38	43.3
3300023169_4	3300023169	4329765	65	142757	1	1	1	49	98.92	2.87	84.57	HQ	OTU-3561	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	Terrestrial	Plant litter	plant litter	-89.38	43.3
3300023169_3	3300023169	7267629	455	22822	1	1	1	47	96.02	2.03	85.87	HQ	OTU-9571	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Ohtaekwangia;s__	Terrestrial	Plant litter	plant litter	-89.38	43.3
3300004626_3	3300004626	2452628	155	21037	1	1	1	49	87.76	0.34	86.06	MQ	OTU-4840	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiosymbion;s__	Annelida	Digestive system	Marine gutless worms symbiont	8.81	50.8
3300004626_1	3300004626	4216611	613	7907	0	0	0	32	87.01	1.91	77.46	MQ	OTU-2777	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__;s__	Annelida	Digestive system	Marine gutless worms symbiont	8.81	50.8
3300007803_15	3300007803	1278095	132	12612	1	1	1	14	65.83	2.2	54.83	MQ	OTU-9009	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rogosae	Human	Digestive system	Human	-77.1012	39.0043
3300007803_19	3300007803	1135045	137	9930	0	0	0	7	68.56	0.62	65.46	MQ	OTU-1221	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_10	3300007803	1557142	78	26736	1	0	0	22	54.52	0.64	51.32	MQ	OTU-14680	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nanceiensis	Human	Digestive system	Human	-77.1012	39.0043
3300007803_26	3300007803	874859	6	245865	0	0	0	28	61.24	1.12	55.64	MQ	OTU-16994	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_9	3300007803	1612842	11	228954	0	0	0	37	90.34	0.48	87.94	MQ	OTU-5259	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_8	3300007803	1657448	61	40931	1	1	1	18	55.3	0	55.3	MQ	OTU-7258	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_5	3300007803	1979162	116	27585	1	0	0	17	94.54	3.59	76.59	MQ	OTU-8087	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella sanguinis	Human	Digestive system	Human	-77.1012	39.0043
3300007803_4	3300007803	2110433	117	36342	1	2	1	34	94.7	4.54	72	HQ	OTU-14182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Parvimonas;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_7	3300007803	1779982	69	39587	1	1	1	21	97.2	0	97.2	MQ	OTU-4772	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_6	3300007803	1851988	173	13482	1	1	1	32	87.08	3.15	71.33	MQ	OTU-17343	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_3	3300007803	2482248	80	43851	1	3	0	31	89.71	1.97	79.86	MQ	OTU-920	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens	Human	Digestive system	Human	-77.1012	39.0043
3300025553_13	3300025553	2886858	357	10163	0	0	0	33	94.22	1.09	88.77	MQ	OTU-9763	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300025553_16	3300025553	2655892	358	8644	0	1	1	25	85.55	0.89	81.1	MQ	OTU-17105	d__Bacteria;p__UBP10;c__GR-WP33-30;o__UBA7539;f__UBA7539;g__UBA7539;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300025553_15	3300025553	2728632	281	12348	0	0	0	32	90.16	2.15	79.41	MQ	OTU-3142	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__Gallionella;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300025553_18	3300025553	2158358	348	6476	0	0	0	30	68.51	2.3	57.01	MQ	OTU-14031	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__UBA2241;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300025553_21	3300025553	1502221	97	23936	1	1	1	33	80.23	1.31	73.68	MQ	OTU-15820	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__UBA590;f__UBA590;g__UBA590;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300025553_9	3300025553	3226071	266	17727	0	0	0	44	96.3	3.85	77.05	MQ	OTU-3139	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8190;g__;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300025553_8	3300025553	3301501	355	13283	1	1	1	36	94.02	2.75	80.27	MQ	OTU-2467	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__;s__	Terrestrial	Soil	Arctic peat soil	-156.61	71.2999
3300027539_1	3300027539	1233419	27	91579	0	0	0	30	66.45	2	56.45	MQ	OTU-2690	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	Arthropoda	Digestive system	Termite gut	-80.2332	26.0625
3300026873_1	3300026873	3255966	491	7561	0	3	0	47	82.05	2.05	71.8	MQ	OTU-12819	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	Terrestrial	Soil	Soil	-89.38	43.3
3300003177_2	3300003177	3446418	555	6693	1	0	0	44	69.41	2.98	54.51	MQ	OTU-14409	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae;g__;s__	Aquatic	Marine	Black smoker hydrothermal chimney	149.989	-3.565
3300003177_7	3300003177	1379646	156	11331	0	1	0	32	87.47	2.85	73.22	MQ	OTU-14411	d__Bacteria;p__Campylobacterota;c__Desulfurellia;o__;f__;g__;s__	Aquatic	Marine	Black smoker hydrothermal chimney	149.989	-3.565
3300026062_2	3300026062	3773452	605	6617	0	0	0	31	78.53	2.58	65.63	MQ	OTU-14208	d__Bacteria;p__UBP10;c__GR-WP33-30;o__UBA9968;f__;g__;s__	Terrestrial	Soil	Natural and restored wetlands	-121.769	38.0525
3300025847_116	3300025847	1063733	1	1063733	0	0	0	34	64.12	0	64.12	MQ	OTU-2241	d__Bacteria;p__Caldisericota;c__Caldisericia;o__;f__;g__;s__	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_38	3300025847	2362664	239	14636	0	1	0	36	97.26	1.72	88.66	MQ	OTU-1037	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga prima	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_33	3300025847	2576253	290	11517	0	2	0	36	94.02	2.88	79.62	MQ	OTU-1040	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__;s__	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_32	3300025847	2633485	280	11780	1	2	2	31	81.28	0.25	80.03	MQ	OTU-6763	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__BACL12;g__UBA11426;s__UBA11426 sp1	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_31	3300025847	2688535	464	5952	0	2	0	25	74.16	3.44	56.96	MQ	OTU-10004	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_30	3300025847	2755459	242	14401	0	1	1	40	93.69	1.62	85.59	MQ	OTU-9516	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__Tetrasphaera elongata	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_36	3300025847	2429332	180	25333	3	2	1	43	89.24	2.05	78.99	MQ	OTU-4952	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas_B;s__	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_35	3300025847	2381936	283	10075	0	0	0	45	87.53	4.86	63.23	MQ	OTU-11501	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA1368;s__GCA_002305965.1	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_34	3300025847	2546707	430	6207	1	1	1	28	65.18	1.66	56.88	MQ	OTU-623	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
3300025847_19	3300025847	3379379	261	18558	1	2	1	39	93.4	1.79	84.45	HQ	OTU-10922	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__6E;s__	Wastewater	Anaerobic digestor	Anaerobic digestor sludge	114.17	22.28
