SGB	dRepCluster	Representative	RepresentativeSHA256	GenomeBp	Contigs	N50Bp	Completeness	Contamination	MIMAGQuality	Path
SGB_014	14_1	semibin2__043.fna	f9cb447c36eebe1ad17d2c773f6fc751e2e9892b50c0415deed4835901794c1b	1920309	8	672984	100.0	0.48	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_014.fna
SGB_015	15_1	binette__017.fna	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	1122363	361	3441	69.48	1.49	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_015.fna
SGB_016	16_1	binette__001.fna	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	2770249	92	67435	99.99	0.02	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_016.fna
SGB_017	17_1	binette__002.fna	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	2151032	57	68740	99.98	0.31	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_017.fna
SGB_018	18_1	binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	418156	70	8323	87.33	0.21	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_018.fna
SGB_019	19_1	binette__005.fna	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6	1736697	14	443866	99.47	0.19	High quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_019.fna
SGB_020	20_1	semibin2__020.fna	5a24399386277d9a8baa1001aee0fb331f24d173be22d398dfc32b11e9741587	2000542	199	14503	89.61	0.02	Not re-audited for complete markers	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_020.fna
SGB_021	21_1	binette__011.fna	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b	6915991	682	15347	97.85	3.87	High quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_021.fna
SGB_022	22_1	binette__006.fna	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	4629413	13	432090	99.94	0.79	High quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_022.fna
SGB_023	23_1	binette__024.fna	77e8136b6b221277df458756be3ed1c72bf834589b89611b6a3292a4dc625947	1698339	54	82868	99.93	0.15	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_023.fna
SGB_024	24_1	binette__007.fna	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086	1772843	31	88409	99.5	0.45	Medium quality	/workspace/wechat/Metagenome/results/46-gtdbtk-taxonomy/inputs/genomes/SGB_024.fna
