Reference	ExpectedAbundancePct	AbundanceBin	Branch	GenomeFractionPct	RecoveredGe90Pct	FullGenomeGe99Pct	MismatchesPer100Kbp	IndelsPer100Kbp	ReferenceReportPresent	BranchReportPresent
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	spades-short-only	0	no	no	NA	NA	no	no
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	spades-illumina-ont	0	no	no	NA	NA	no	no
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	spades-illumina-hifi	0	no	no	NA	NA	no	no
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	flye-ont	0	no	no	NA	NA	no	no
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	flye-ont-polypolish-default	0	no	no	NA	NA	no	no
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	flye-ont-polypolish-careful	0	no	no	NA	NA	no	no
Aciduliprofundum_boonei_T469	0.0342524180009	<0.1%	flye-hifi	0	no	no	NA	NA	no	no
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	spades-short-only	98.092	yes	no	60.12	5.62	yes	yes
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	spades-illumina-ont	99.091	yes	yes	87.84	14.03	yes	yes
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	spades-illumina-hifi	99.08	yes	yes	76.57	1.59	yes	yes
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	flye-ont	99.438	yes	yes	394.93	1166.77	yes	yes
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	flye-ont-polypolish-default	99.438	yes	yes	223.01	568.26	yes	yes
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	flye-ont-polypolish-careful	99.438	yes	yes	226.89	579.41	yes	yes
Akkermansia_muciniphila_ATCC_BAA-835	0.907513578542	0.1-<1%	flye-hifi	99.971	yes	yes	33.53	2.97	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	spades-short-only	92.387	yes	no	85.23	19.14	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	spades-illumina-ont	98.752	yes	no	129.91	91.73	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	spades-illumina-hifi	99.043	yes	yes	94.98	7.95	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	flye-ont	88.284	no	no	617.1	1784.62	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	flye-ont-polypolish-default	90.249	yes	no	520.74	1383	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	flye-ont-polypolish-careful	90.249	yes	no	522.69	1392.42	yes	yes
Archaeoglobus_fulgidus_DSM_4304	1.16826783762	>=1%	flye-hifi	99.855	yes	yes	1.33	12.33	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	spades-short-only	22.793	no	no	131.34	27.36	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	spades-illumina-ont	56.29	no	no	545.78	730.77	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	spades-illumina-hifi	85.901	no	no	145.73	14.72	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	flye-ont	13.919	no	no	943.58	2001.36	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	flye-ont-polypolish-default	15.595	no	no	942.85	1975.48	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	flye-ont-polypolish-careful	15.595	no	no	943.65	1981.64	yes	yes
Bacteroides_thetaiotaomicron_VPI-5482	0.323509814467	0.1-<1%	flye-hifi	97.323	yes	no	13.2	15.19	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	spades-short-only	1.11	no	no	260	37.14	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	spades-illumina-ont	2.422	no	no	597.68	693.71	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	spades-illumina-hifi	23.603	no	no	330.96	99.11	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	flye-ont	0.211	no	no	1222.21	2072.45	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	flye-ont-polypolish-default	0.211	no	no	1222.54	2046.42	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	flye-ont-polypolish-careful	0.211	no	no	1222.54	2046.42	yes	yes
Bordetella_pertussis_RB50	0.476656463627	0.1-<1%	flye-hifi	29.138	no	no	8.46	54.62	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	spades-short-only	69.431	no	no	128.93	15.61	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	spades-illumina-ont	79.375	no	no	236.89	177.25	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	spades-illumina-hifi	75.946	no	no	145.03	17.24	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	flye-ont	26.077	no	no	695.56	2003.83	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	flye-ont-polypolish-default	29.349	no	no	637.74	1670.21	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	flye-ont-polypolish-careful	28.777	no	no	651.85	1728.57	yes	yes
Caldicellulosiruptor_bescii_DSM_6725	0.214992735487	0.1-<1%	flye-hifi	24.715	no	no	21.8	36.61	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	spades-short-only	95.235	yes	no	23.59	2.37	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	spades-illumina-ont	98.612	yes	no	26.77	3.24	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	spades-illumina-hifi	99.44	yes	yes	30.33	4.15	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	flye-ont	99.665	yes	yes	28.86	424	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	flye-ont-polypolish-default	99.665	yes	yes	13.31	15.39	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	flye-ont-polypolish-careful	99.665	yes	yes	13.67	38.63	yes	yes
Caldicellulosiruptor_saccharolyticus_DSM_8903	0.891081566244	0.1-<1%	flye-hifi	99.826	yes	yes	11.91	2.04	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	spades-short-only	98.822	yes	no	12.44	1.27	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	spades-illumina-ont	99.57	yes	yes	25.86	4.61	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	spades-illumina-hifi	99.769	yes	yes	31.01	7.02	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	flye-ont	100	yes	yes	88.05	526.09	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	flye-ont-polypolish-default	100	yes	yes	5.85	59.61	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	flye-ont-polypolish-careful	100	yes	yes	8.45	71.83	yes	yes
Chlorobaculum_tepidum_TLS	0.243282052687	0.1-<1%	flye-hifi	100	yes	yes	0.28	0.37	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	spades-short-only	97.515	yes	no	13.65	2.63	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	spades-illumina-ont	99.112	yes	yes	21.09	4.63	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	spades-illumina-hifi	99.281	yes	yes	23.26	4.18	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	flye-ont	99.918	yes	yes	44.71	415.75	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	flye-ont-polypolish-default	99.918	yes	yes	12.19	9.11	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	flye-ont-polypolish-careful	99.918	yes	yes	14.65	26.59	yes	yes
Chlorobium_limicola_DSM_245	2.32098007977	>=1%	flye-hifi	99.918	yes	yes	13.35	2.52	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	spades-short-only	93.311	yes	no	50.57	3.83	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	spades-illumina-ont	97.152	yes	no	98.62	14.72	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	spades-illumina-hifi	97.369	yes	no	98.79	7.7	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	flye-ont	99.763	yes	yes	267.14	805.46	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	flye-ont-polypolish-default	99.763	yes	yes	45.9	172.76	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	flye-ont-polypolish-careful	99.763	yes	yes	69.88	230.58	yes	yes
Chlorobium_phaeobacteroides_DSM_266	0.690261801222	0.1-<1%	flye-hifi	100	yes	yes	2.19	0.54	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	spades-short-only	99.432	yes	yes	8.39	1.59	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	spades-illumina-ont	99.969	yes	yes	14.66	3.09	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	spades-illumina-hifi	100	yes	yes	11.12	1.63	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	flye-ont	100	yes	yes	101.36	479.18	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	flye-ont-polypolish-default	100	yes	yes	0.81	4.71	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	flye-ont-polypolish-careful	100	yes	yes	5.12	11.8	yes	yes
Chlorobium_phaeovibrioides_DSM_265	1.29391754241	>=1%	flye-hifi	100	yes	yes	0.36	0.41	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	spades-short-only	94.872	yes	no	71.7	10.42	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	spades-illumina-ont	97.964	yes	no	126.3	53.63	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	spades-illumina-hifi	98.244	yes	no	93.58	7.25	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	flye-ont	88.64	no	no	787.44	1519.95	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	flye-ont-polypolish-default	94.218	yes	no	573.42	1057.97	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	flye-ont-polypolish-careful	93.558	yes	no	581.5	1075.95	yes	yes
Chloroflexus_aurantiacus_J-10-fl	0.203265727015	0.1-<1%	flye-hifi	99.71	yes	yes	0.55	2.21	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	spades-short-only	14.219	no	no	196.11	35.11	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	spades-illumina-ont	30.129	no	no	604.91	736.95	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	spades-illumina-hifi	77.226	no	no	269.81	52.09	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	flye-ont	7.775	no	no	879.15	2009.49	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	flye-ont-polypolish-default	7.775	no	no	835.87	1913.29	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	flye-ont-polypolish-careful	7.775	no	no	839.34	1924.89	yes	yes
Deinococcus_radiodurans_R1	0.619843795964	0.1-<1%	flye-hifi	98.628	yes	no	2.4	32.55	yes	yes
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	spades-short-only	0	no	no	NA	NA	no	no
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	spades-illumina-ont	0	no	no	NA	NA	no	no
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	spades-illumina-hifi	0	no	no	NA	NA	no	no
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	flye-ont	0	no	no	NA	NA	no	no
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	flye-ont-polypolish-default	0	no	no	NA	NA	no	no
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	flye-ont-polypolish-careful	0	no	no	NA	NA	no	no
Desulfitobacterium_dehalogenans_ATCC_51507	0.00353465924648	<0.1%	flye-hifi	0	no	no	NA	NA	no	no
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	spades-short-only	97.533	yes	no	13.02	2.07	yes	yes
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	spades-illumina-ont	98.886	yes	no	22.25	3.9	yes	yes
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	spades-illumina-hifi	99.033	yes	yes	21.87	3.13	yes	yes
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	flye-ont	100	yes	yes	39.2	363.93	yes	yes
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	flye-ont-polypolish-default	100	yes	yes	7.36	19.34	yes	yes
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	flye-ont-polypolish-careful	100	yes	yes	9.51	38.01	yes	yes
Desulfobulbus_oralis_sp._ONRL	7.35004955226	>=1%	flye-hifi	100	yes	yes	0.04	1.44	yes	yes
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	spades-short-only	0	no	no	NA	NA	no	no
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	spades-illumina-ont	0	no	no	NA	NA	no	no
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	spades-illumina-hifi	0	no	no	NA	NA	no	no
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	flye-ont	0	no	no	NA	NA	no	no
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	flye-ont-polypolish-default	0	no	no	NA	NA	no	no
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	flye-ont-polypolish-careful	0	no	no	NA	NA	no	no
Desulfovibrio_mercurii_ND_132	0.0528821747006	<0.1%	flye-hifi	0	no	no	NA	NA	no	no
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	spades-short-only	98.021	yes	no	90.57	8.36	yes	yes
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	spades-illumina-ont	99.038	yes	yes	122.4	24.66	yes	yes
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	spades-illumina-hifi	99.033	yes	yes	120.81	6.26	yes	yes
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	flye-ont	90.8	yes	no	609.4	1460.69	yes	yes
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	flye-ont-polypolish-default	94.931	yes	no	453.41	884.27	yes	yes
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	flye-ont-polypolish-careful	94.587	yes	no	454.16	891.93	yes	yes
Desulfovibrio_piger_ATCC_29098	4.3878528577	>=1%	flye-hifi	99.711	yes	yes	87.69	3.66	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	spades-short-only	3.87	no	no	147.82	32.07	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	spades-illumina-ont	10.562	no	no	462.92	882.23	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	spades-illumina-hifi	36.61	no	no	93.42	47.08	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	flye-ont	0.209	no	no	900.9	2007.72	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	flye-ont-polypolish-default	0.209	no	no	849.42	1904.76	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	flye-ont-polypolish-careful	0.209	no	no	849.42	1904.76	yes	yes
Dictyoglomus_turgidum_DSM_6724	0.685764582516	0.1-<1%	flye-hifi	16.237	no	no	1.66	46.45	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	spades-short-only	0.721	no	no	217.18	45.46	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	spades-illumina-ont	3.454	no	no	557.78	935.23	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	spades-illumina-hifi	32.812	no	no	92.14	76.47	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	flye-ont	0.041	no	no	531.44	1682.91	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	flye-ont-polypolish-default	0.041	no	no	443.66	1597.16	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	flye-ont-polypolish-careful	0.041	no	no	443.66	1597.16	yes	yes
Enterococcus_faecalis_OG1RF	0.152304030441	0.1-<1%	flye-hifi	34.677	no	no	12.2	55.44	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	spades-short-only	97.532	yes	no	3.53	0.52	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	spades-illumina-ont	99.499	yes	yes	10.93	0.97	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	spades-illumina-hifi	99.759	yes	yes	10.25	0.87	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	flye-ont	99.999	yes	yes	42.08	572.87	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	flye-ont-polypolish-default	99.999	yes	yes	12.8	26.61	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	flye-ont-polypolish-careful	99.999	yes	yes	14.82	43.44	yes	yes
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2.80887154653	>=1%	flye-hifi	100	yes	yes	5.14	0.69	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	spades-short-only	99.957	yes	yes	0.35	0.13	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	spades-illumina-ont	100	yes	yes	0.35	0.13	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	spades-illumina-hifi	100	yes	yes	0.35	0.11	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	flye-ont	100	yes	yes	16.71	152.35	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	flye-ont-polypolish-default	100	yes	yes	0.32	0.39	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	flye-ont-polypolish-careful	100	yes	yes	0.32	0.91	yes	yes
Gemmatimonas_aurantiaca_T-27	2.41490124842	>=1%	flye-hifi	100	yes	yes	0.32	0.13	yes	yes
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	spades-short-only	0	no	no	NA	NA	no	no
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	spades-illumina-ont	0	no	no	NA	NA	no	no
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	spades-illumina-hifi	0	no	no	NA	NA	no	no
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	flye-ont	0	no	no	NA	NA	no	no
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	flye-ont-polypolish-default	0	no	no	NA	NA	no	no
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	flye-ont-polypolish-careful	0	no	no	NA	NA	no	no
Geobacter_bemidjiensis_Bem	0.00331230541102	<0.1%	flye-hifi	0	no	no	NA	NA	no	no
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	spades-short-only	78.881	no	no	117.85	16.69	yes	yes
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	spades-illumina-ont	92.446	yes	no	237.46	189.94	yes	yes
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	spades-illumina-hifi	96.35	yes	no	135.68	15.34	yes	yes
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	flye-ont	31.932	no	no	721.16	1857.26	yes	yes
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	flye-ont-polypolish-default	35.274	no	no	666.02	1616.99	yes	yes
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	flye-ont-polypolish-careful	35.274	no	no	667.04	1619.76	yes	yes
Geobacter_sulfurreducens_PCA	0.587173172916	0.1-<1%	flye-hifi	86.749	no	no	1.98	47.13	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	spades-short-only	91.094	yes	no	5.63	0.38	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	spades-illumina-ont	92.461	yes	no	11	0.63	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	spades-illumina-hifi	92.436	yes	no	8.77	0.92	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	flye-ont	93.986	yes	no	100.14	306.88	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	flye-ont-polypolish-default	94.259	yes	no	43.02	65.99	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	flye-ont-polypolish-careful	94.258	yes	no	46.17	79.3	yes	yes
Halobacterium_salinarum_NRC-1	2.53229319151	>=1%	flye-hifi	95.38	yes	no	1.85	2.01	yes	yes
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	spades-short-only	0	no	no	NA	NA	no	no
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	spades-illumina-ont	0	no	no	NA	NA	no	no
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	spades-illumina-hifi	0	no	no	NA	NA	no	no
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	flye-ont	0	no	no	NA	NA	no	no
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	flye-ont-polypolish-default	0	no	no	NA	NA	no	no
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	flye-ont-polypolish-careful	0	no	no	NA	NA	no	no
Haloferax_volcanii_DS2	0.0482710050942	<0.1%	flye-hifi	0	no	no	NA	NA	no	no
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	spades-short-only	98.719	yes	no	3.41	0.52	yes	yes
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	spades-illumina-ont	99.819	yes	yes	9.76	1.43	yes	yes
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	spades-illumina-hifi	99.923	yes	yes	12.21	1.86	yes	yes
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	flye-ont	99.671	yes	yes	117.94	355.3	yes	yes
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	flye-ont-polypolish-default	99.671	yes	yes	7.25	7.57	yes	yes
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	flye-ont-polypolish-careful	99.671	yes	yes	11.55	18.48	yes	yes
Herpetosiphon_aurantiacus_DSM_785	1.6502324032	>=1%	flye-hifi	99.998	yes	yes	0	0.03	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	spades-short-only	99.269	yes	yes	11.24	0.9	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	spades-illumina-ont	99.351	yes	yes	11.23	1.23	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	spades-illumina-hifi	99.325	yes	yes	18.46	1.55	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	flye-ont	85.823	no	no	139.64	910.59	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	flye-ont-polypolish-default	85.825	no	no	79.86	195.89	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	flye-ont-polypolish-careful	85.823	no	no	88.54	243.75	yes	yes
Hydrogenobaculum_sp._Y04AAS1	1.6318937727	>=1%	flye-hifi	17.236	no	no	18.18	22.63	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	spades-short-only	99.92	yes	yes	2.78	0.31	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	spades-illumina-ont	100	yes	yes	4.16	0.39	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	spades-illumina-hifi	100	yes	yes	4.16	0.39	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	flye-ont	99.578	yes	yes	93.8	590.96	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	flye-ont-polypolish-default	99.578	yes	yes	9.85	34.86	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	flye-ont-polypolish-careful	99.578	yes	yes	14.85	51.64	yes	yes
Ignicoccus_hospitalis_KIN4_I	2.83860327179	>=1%	flye-hifi	99.969	yes	yes	0.38	2.31	yes	yes
