cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
61	MB111;MB143;MB088;MB082;MB053;MB059;MB060;MB067;MB075;MB089;MB052;MB080;MB078;MB095;MB056;MB068;MB064;MB083;MB063;MB085;MB026;MB071;MB054;MB070;MB128;MB123;MB126	MT085	1.2086996011432918e-07
62	MB149	MT114;MT010;MT017;MT027;MT035;MT037	1.3948131365059857e-07
63	MB122	MT100;MT042;MT045	1.4444607871223754e-07
64	MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT022	1.4776382896529514e-07
65	MB111;MB143;MB088;MB082;MB053;MB059;MB060;MB067;MB075;MB089;MB052;MB080;MB078;MB095;MB056;MB068;MB064;MB083;MB063;MB085;MB026;MB071;MB054;MB070;MB128;MB123;MB126	MT067	1.4940392803999158e-07
66	MB103;MB121;MB125;MB133;MB098;MB099	MT026;MT028;MT029	1.8946127389256834e-07
67	MB026;MB071;MB054;MB070;MB128;MB123;MB126	MT114	1.9214239046435253e-07
68	MB074;MB094	MT114;MT010;MT017;MT027;MT035;MT037	1.9382254183463432e-07
69	MB118	MT146	2.013599366222442e-07
70	MB040	MT068;MT124;MT137;MT073;MT103;MT109	2.013599366222442e-07
71	MB105;MB107	MT010;MT017;MT027;MT035;MT037	2.1934985873759883e-07
72	MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT027	2.1934985873759883e-07
73	MB061;MB079;MB066;MB073;MB007;MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090;MB045;MB100;MB124;MB047;MB046;MB130	MT061	2.5269582878953115e-07
74	MB073	MT106;MT123	2.7170809994123516e-07
75	MB022;MB010;MB018	MT115;MT066;MT092;MT049;MT062;MT055;MT053;MT048;MT069	2.82895053171264e-07
76	MB104	MT148;MT149;MT007;MT012	3.3024712638317043e-07
77	MB025;MB092;MB091;MB057;MB077;MB090	MT011	3.324097850213991e-07
78	MB031;MB106;MB112;MB120;MB122;MB072;MB086;MB110	MT038;MT039	3.37280280712549e-07
79	MB103;MB121;MB125;MB133;MB098;MB099	MT108	3.7853503610888835e-07
80	MB055;MB058	MT033	3.838577383299533e-07
81	MB149	MT089	3.890849407361765e-07
82	MB124	MT095;MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	4.522511613943602e-07
83	MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT106;MT123	4.674694262672366e-07
84	MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036;MB137;MB142;MB001;MB038	MT056	5.115445088852392e-07
85	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT051	5.31861870000436e-07
86	MB093;MB028;MB065	MT060;MT001;MT119;MT116;MT143	6.030495665685333e-07
87	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT146	6.88464415365713e-07
88	MB055;MB058	MT009;MT016	7.421810348007929e-07
89	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT032;MT030;MT097	7.421810348007929e-07
90	MB049	MT090	7.923000610302008e-07
91	MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT068;MT124;MT137;MT073;MT103;MT109	8.310947952119676e-07
92	MB165	MT086;MT135	8.76001790185989e-07
93	MB135	MT118;MT099;MT130;MT146	9.131240743739552e-07
94	MB025;MB092;MB091;MB057;MB077;MB090	MT079;MT063;MT078	9.141562408880522e-07
95	MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT095	1.0974319586036469e-06
96	MB009	MT057;MT131;MT041;MT098;MT136	1.280753686887401e-06
97	MB055;MB058	MT128	1.2822501337401232e-06
98	MB055;MB058	MT010;MT017;MT027;MT035;MT037	1.2890348613562038e-06
99	MB103	MT147	1.5767536118970355e-06
100	MB043;MB087;MB076;MB055;MB058	MT001	1.607931584646049e-06
101	MB163;MB164;MB161;MB162	MT089	1.6236112160899117e-06
102	MB017;MB021;MB012;MB016;MB011;MB013	MT044	1.6854652958957215e-06
103	MB020	MT089	1.7007072714857305e-06
104	MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT095	1.8168487736823104e-06
105	MB048;MB119;MB117;MB114;MB115	MT011	1.9737238466775397e-06
106	MB015;MB019;MB020	MT019;MT020	1.9814021066234167e-06
107	MB047;MB046;MB130	MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	2.1381303376676015e-06
108	MB049	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	2.150611895211277e-06
109	MB019	MT106;MT123	2.190937865313705e-06
110	MB015;MB019;MB020;MB014;MB017;MB021;MB012;MB016;MB011;MB013;MB022;MB010;MB018	MT025	2.190937865313705e-06
111	MB165	MT054;MT110;MT121;MT089;MT105	2.1979704391062272e-06
112	MB003;MB004	MT089	2.224830008283549e-06
113	MB030	MT150	2.340664038462044e-06
114	MB136	MT111;MT134;MT054;MT110;MT121;MT089;MT105	2.513951952301017e-06
115	MB049	MT104;MT100;MT042;MT045;MT107;MT106;MT123;MT052;MT058;MT068;MT124;MT137;MT073;MT103;MT109	2.585553950572897e-06
116	MB040	MT147;MT044;MT059	2.657199757584331e-06
117	MB073	MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	2.707805265463922e-06
118	MB071;MB054;MB070	MT055;MT053;MT048;MT069	2.7201405181671436e-06
119	MB009	MT011;MT088;MT083;MT142;MT120;MT079;MT063;MT078	2.786055617454708e-06
120	MB049;MB136;MB023;MB015;MB019;MB020;MB014;MB017;MB021;MB012;MB016;MB011;MB013;MB022;MB010;MB018	MT084	3.7389211397299718e-06
121	MB008	MT036;MT038;MT039	3.986976296435577e-06
122	MB001	MT037	4.341402120562988e-06
123	MB127	MT102;MT057;MT131;MT041;MT098;MT136	4.603649353149753e-06
124	MB052;MB080	MT023;MT150;MT151;MT152;MT003;MT006	4.866117282269174e-06
125	MB075	MT083;MT142;MT120;MT079;MT063;MT078	5.016235727107049e-06
126	MB133	MT147	5.132851521250104e-06
127	MB129	MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	5.464728188538982e-06
128	MB079;MB066;MB073;MB007;MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT056	5.555232607884846e-06
129	MB111	MT001	5.572215394551841e-06
130	MB122	MT109	5.60627879241375e-06
131	MB040	MT052;MT058	5.978382616100138e-06
132	MB071;MB054;MB070;MB128;MB123;MB126	MT026	6.0757479848263235e-06
133	MB165;MB118;MB135;MB151	MT051	6.162230960866426e-06
134	MB072	MT031;MT033;MT026;MT028;MT029	6.164030976466235e-06
135	MB094	MT034;MT014;MT015	6.266299584991115e-06
136	MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT052	6.4034579129872165e-06
137	MB037;MB034;MB036	MT118;MT099;MT130;MT146	6.802329748548827e-06
138	MB113	MT019	6.859596191205891e-06
139	MB105;MB107	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	6.8720711339824515e-06
140	MB165;MB118;MB135;MB151	MT028	7.038764174294069e-06
141	MB040	MT107	7.079740577052402e-06
142	MB019;MB020	MT147;MT044;MT059	7.36243076242272e-06
143	MB128	MT102;MT057;MT131;MT041;MT098;MT136	7.462461868538667e-06
144	MB071;MB054;MB070;MB128;MB123;MB126	MT103;MT109	7.491152322332582e-06
145	MB015;MB019;MB020	MT036;MT038;MT039	7.522568730400352e-06
146	MB030;MB008;MB009	MT033	7.62895348395075e-06
147	MB131	MT037	7.727552984909239e-06
148	MB133	MT072;MT040;MT115;MT066;MT092;MT049;MT062;MT055;MT053;MT048;MT069	7.889336068286627e-06
149	MB112;MB120;MB122;MB072;MB086;MB110	MT104	7.938905736088628e-06
150	MB031;MB106	MT035;MT037	8.347079185649325e-06
151	MB017;MB021;MB012;MB016;MB011;MB013	MT043	9.176026019801802e-06
152	MB007	MT102;MT057;MT131;MT041;MT098;MT136	9.426598588164108e-06
153	MB009	MT032	9.454804095215586e-06
154	MB049	MT011;MT088;MT083;MT142;MT120;MT079;MT063;MT078	9.902213143049108e-06
155	MB040	MT026;MT028;MT029	1.0237217286575899e-05
156	MB025	MT060	1.0296978807883467e-05
157	MB064;MB083	MT021	1.0894380566618432e-05
158	MB148	MT001;MT119	1.238032646290543e-05
159	MB144;MB150	MT027;MT035;MT037	1.2899014241176321e-05
160	MB136	MT095;MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	1.3330949432809037e-05
161	MB112	MT023	1.3350696320297023e-05
162	MB017	MT118;MT099;MT130;MT146	1.3455523884936896e-05
163	MB064;MB083	MT023;MT150;MT151;MT152;MT003;MT006	1.3767558040372877e-05
164	MB062	MT027	1.382842868908474e-05
165	MB031;MB106	MT067	1.4348526427813436e-05
166	MB144	MT098;MT136	1.5203014577428682e-05
167	MB136	MT072;MT040;MT115;MT066;MT092;MT049;MT062;MT055;MT053;MT048;MT069	1.5711224156803e-05
168	MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT017	1.57307219099362e-05
169	MB028;MB065	MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	1.5926845050536525e-05
170	MB071;MB054;MB070	MT011;MT088;MT083;MT142;MT120;MT079;MT063;MT078	1.60706408421371e-05
171	MB127	MT032;MT030;MT097	1.6462307656049978e-05
172	MB024;MB029	MT010;MT017;MT027;MT035;MT037	1.6862368686976753e-05
173	MB073	MT063;MT078	1.715736459022419e-05
174	MB055;MB058	MT031	1.7224977290790713e-05
175	MB119;MB117;MB114;MB115	MT120;MT079;MT063;MT078	1.7361248167808784e-05
176	MB112	MT003;MT006	1.7654973056391865e-05
177	MB072	MT120	1.770776070995345e-05
178	MB165	MT081	1.7763063371425416e-05
179	MB009	MT067	1.779840738016309e-05
180	MB122	MT090;MT093	1.8006522596219395e-05
181	MB128	MT148;MT149;MT007;MT012	1.9357410241544143e-05
182	MB055;MB058	MT036;MT038;MT039	2.0522865878451555e-05
183	MB120	MT023	2.0551079870102584e-05
184	MB071;MB054;MB070;MB128;MB123;MB126	MT124;MT137	2.0646061070921234e-05
185	MB113	MT060;MT001;MT119;MT116;MT143	2.1569942226510017e-05
186	MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036;MB137;MB142;MB001;MB038	MT029	2.1789519265595906e-05
187	MB150	MT098;MT136	2.212117830342575e-05
188	MB056;MB068;MB064;MB083;MB063;MB085	MT079;MT063;MT078	2.214628314435811e-05
189	MB128	MT089	2.29075771818231e-05
190	MB054;MB070	MT065;MT084;MT108	2.2941625038692112e-05
191	MB045;MB100	MT060;MT001;MT119;MT116;MT143	2.3148209798173465e-05
192	MB052;MB080	MT114	2.3167144221641706e-05
193	MB048;MB119;MB117;MB114;MB115	MT112	2.3343748265909673e-05
194	MB071;MB054;MB070	MT052	2.4477126872405424e-05
195	MB017	MT148;MT149;MT007;MT012	2.4604296204685488e-05
196	MB131;MB132;MB074;MB094	MT075	2.4799041396115723e-05
197	MB043;MB087;MB076;MB055;MB058	MT040	2.5036017967349063e-05
198	MB121;MB125;MB133;MB098;MB099	MT074	2.6174122203877572e-05
199	MB047;MB046;MB130	MT095	2.639940627208959e-05
200	MB009	MT097	2.8044218225700146e-05
201	MB064;MB083	MT115	2.822966903906136e-05
202	MB027	MT090;MT093	2.833713902672151e-05
203	MB037;MB034;MB036	MT043;MT080	2.880181765291765e-05
204	MB100	MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	2.9702660992281537e-05
205	MB040	MT131	3.0029168463984306e-05
206	MB064	MT068;MT124;MT137;MT073;MT103;MT109	3.0351280214217692e-05
207	MB065	MT134;MT054;MT110;MT121;MT089;MT105	3.152503115488489e-05
208	MB124	MT123	3.168935347164021e-05
209	MB103	MT072;MT040;MT115;MT066;MT092;MT049;MT062;MT055;MT053;MT048;MT069	3.189245044375226e-05
210	MB126	MT035;MT037	3.2040605733842674e-05
211	MB116	MT092;MT049;MT062;MT055;MT053;MT048;MT069	3.436640914674341e-05
212	MB049	MT050;MT067;MT032;MT030;MT097	3.550420735473312e-05
213	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT044;MT059	3.563459334534551e-05
214	MB018	MT004;MT043;MT080	3.563459334534551e-05
215	MB089;MB052;MB080	MT138	3.578638838290624e-05
216	MB073	MT068	3.613412678218027e-05
217	MB075;MB089;MB052;MB080;MB078;MB095;MB056;MB068;MB064;MB083;MB063;MB085;MB026;MB071;MB054;MB070;MB128;MB123;MB126	MT022;MT047	3.616892763216083e-05
218	MB086	MT108	3.7281894777823684e-05
219	MB011;MB013	MT145	3.907706729645965e-05
220	MB071;MB054;MB070	MT107;MT106;MT123	3.9635555653477246e-05
221	MB027;MB138;MB145	MT044;MT059	3.9967747208957094e-05
222	MB075	MT023;MT150;MT151;MT152;MT003;MT006	4.054125456459091e-05
223	MB082	MT010;MT017;MT027;MT035;MT037	4.3190164472944295e-05
224	MB056;MB068;MB064;MB083;MB063;MB085	MT142	4.3456897625429856e-05
225	MB049	MT131	4.351682306558203e-05
226	MB030;MB008;MB009	MT026;MT028;MT029	4.5582115818951975e-05
227	MB019	MT063;MT078	4.5582115818951975e-05
228	MB051	MT124;MT137;MT073;MT103;MT109	4.6548672728957524e-05
229	MB046;MB130	MT078	4.800523065895913e-05
230	MB147	MT037	4.8141023006953295e-05
231	MB071;MB054;MB070	MT115	4.9004910017913666e-05
232	MB073	MT022	4.9004910017913666e-05
233	MB045;MB100;MB124;MB047;MB046;MB130	MT127;MT128	4.903038201053696e-05
234	MB120;MB122	MT120	4.930765992441567e-05
235	MB128	MT095	5.0066726182166955e-05
236	MB111	MT031;MT033;MT026;MT028;MT029	5.011244678806084e-05
237	MB104;MB105;MB107	MT038	5.1714474988530726e-05
238	MB153;MB157	MT028	5.28667285707638e-05
239	MB092;MB091;MB057;MB077;MB090	MT026	5.372396000340529e-05
240	MB152	MT102;MT057;MT131;MT041;MT098;MT136	5.372396000340529e-05
241	MB048;MB119;MB117;MB114;MB115	MT127;MT128	5.387141312819356e-05
242	MB075;MB089;MB052;MB080	MT026	5.427071113720373e-05
243	MB097	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	5.474259594423035e-05
244	MB003;MB004	MT028	5.474259594423035e-05
245	MB015;MB019;MB020	MT050;MT067;MT032;MT030;MT097	5.535841892353809e-05
246	MB144;MB150	MT017	5.620704271559451e-05
247	MB124	MT050;MT067;MT032;MT030;MT097	5.660711334845737e-05
248	MB056;MB068	MT068;MT124;MT137;MT073;MT103;MT109	5.731931944883183e-05
249	MB147	MT102;MT057;MT131;MT041;MT098;MT136	5.747304760711615e-05
250	MB146	MT011;MT088;MT083;MT142;MT120;MT079;MT063;MT078;MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	5.7874901762169116e-05
251	MB116	MT018;MT009;MT016	5.7874901762169116e-05
252	MB071;MB054;MB070	MT001	5.797973025269554e-05
253	MB056;MB068;MB064;MB083;MB063;MB085	MT040	6.330463579436777e-05
254	MB019	MT116;MT143	6.373450418235741e-05
255	MB048	MT060;MT001;MT119;MT116;MT143	6.508317256363805e-05
256	MB133	MT065	6.6180970862491e-05
257	MB064;MB083	MT066	6.859860551228054e-05
258	MB003;MB004	MT040	6.96666853719266e-05
259	MB040	MT106	6.989702721735615e-05
260	MB071;MB054;MB070;MB128;MB123;MB126	MT068	7.05983981627984e-05
261	MB044;MB062	MT044	7.06137768425485e-05
262	MB003;MB004	MT086;MT135	7.264400160510824e-05
263	MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT002	7.283037467315484e-05
264	MB157	MT005;MT018;MT009;MT016;MT024;MT025	7.317428068974814e-05
265	MB136	MT100;MT042;MT045	7.436982643559424e-05
266	MB019	MT103;MT109	7.539646734986697e-05
267	MB001;MB038	MT146	7.780865703016644e-05
268	MB058	MT065;MT084;MT108	7.837242640914923e-05
269	MB021;MB012;MB016;MB011;MB013	MT094	7.839463843360208e-05
270	MB122	MT073	7.878957501635333e-05
271	MB137;MB142;MB001;MB038	MT081	8.179690360757084e-05
272	MB164;MB161;MB162	MT028	8.241163497718029e-05
273	MB101	MT038;MT039	8.348044942929221e-05
274	MB122	MT103	8.482969681582898e-05
275	MB056;MB068;MB064;MB083;MB063;MB085	MT123	8.844545355970138e-05
276	MB137;MB142;MB001;MB038	MT086;MT135	8.852233806873099e-05
277	MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT044	8.932320950400387e-05
278	MB015;MB019;MB020	MT114;MT010;MT017;MT027;MT035;MT037	9.143359651366793e-05
279	MB009	MT001;MT119	9.357765729383262e-05
280	MB081;MB084	MT026;MT028;MT029	9.729341322871194e-05
281	MB143	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	9.804628217011598e-05
282	MB055;MB058	MT018	0.00010217058416144436
283	MB016	MT131;MT041;MT098;MT136	0.00010217058416144436
284	MB055;MB058	MT143	0.00010251043260451427
285	MB065	MT086;MT135	0.00010274719716441484
286	MB050	MT086;MT135	0.00010436478480125292
287	MB128;MB123;MB126	MT030;MT097	0.00010628700041641378
288	MB079;MB066;MB073	MT060;MT001;MT119;MT116;MT143	0.00010783025103001993
289	MB075;MB089;MB052;MB080	MT011;MT088	0.00010823809153713265
290	MB006	MT090	0.0001093587261812898
291	MB030	MT068	0.00010946618400367308
292	MB055;MB058	MT119	0.00011059797362152574
293	MB131	MT114	0.00011092413419361103
294	MB128	MT050	0.00011109576291830545
295	MB021;MB012;MB016	MT130;MT146	0.00011532984710640707
296	MB015;MB019;MB020	MT043	0.00011803045754882559
297	MB056;MB068;MB064;MB083;MB063;MB085	MT138	0.0001180459217286693
298	MB030	MT057;MT131;MT041;MT098;MT136	0.00012182704123749885
299	MB071;MB054;MB070	MT040	0.00012387973633768342
300	MB154;MB155	MT086;MT135	0.0001239330551909067
301	MB136	MT043	0.00012791819882053816
302	MB124	MT112	0.0001280946406819283
303	MB165;MB118;MB135;MB151	MT036	0.000131696923942434
304	MB014;MB017;MB021;MB012;MB016;MB011;MB013;MB022;MB010;MB018	MT072	0.00013262044793869405
305	MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT042;MT045	0.00013265625504727902
306	MB040	MT150;MT151;MT152;MT003;MT006	0.00013290816754520275
307	MB021	MT131;MT041;MT098;MT136	0.00013511049056005
308	MB007	MT063;MT078	0.00013743215163364297
309	MB122	MT080	0.0001380354403804894
310	MB109;MB154;MB155	MT036	0.00013928814793870564
311	MB025;MB092;MB091;MB057;MB077;MB090	MT128	0.00014663757280820172
312	MB107	MT075	0.00014751959772899616
313	MB055;MB058	MT060	0.00014774435958522005
