Feature	DNAPrevalence	RNAPrevalence	CoDetection	MeanDNA	MeanRNA	PathwayID	Description	Selected
GLUDEG-I-PWY: GABA shunt	0.6146272855133614	0.10689170182841069	0.09563994374120956	0.00027959674623066104	5.5464963431786216e-05	GLUDEG-I-PWY	GABA shunt	False
GLUTORN-PWY: L-ornithine biosynthesis	0.9718706047819972	0.6146272855133614	0.6118143459915611	0.0012838101681715893	0.0005447844123769339	GLUTORN-PWY	L-ornithine biosynthesis	True
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.8340365682137834	0.40365682137834036	0.38677918424753865	0.0006409633762306609	0.0002857390423347398	GLYCOCAT-PWY	glycogen degradation I (bacterial)	True
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.9943741209563994	0.8762306610407876	0.8748241912798875	0.0033345315676511955	0.003451141700140647	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	True
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.43037974683544306	0.11814345991561181	0.10126582278481013	0.00010390278061884669	4.8356978199718705e-05	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	False
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.9142053445850914	0.5358649789029536	0.5161744022503516	0.0009341131817158932	0.0010105297727144866	GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	True
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.4936708860759494	0.15611814345991562	0.14486638537271448	0.00032119279497890295	0.00023983214135021099	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	False
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.9929676511954993	0.9774964838255977	0.9746835443037974	0.004648416317862165	0.01607830417721519	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	True
GLYOXYLATE-BYPASS: glyoxylate cycle	0.5738396624472574	0.31645569620253167	0.29535864978902954	0.0002159464762728551	0.0005619069558368496	GLYOXYLATE-BYPASS	glyoxylate cycle	True
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.6230661040787623	0.08720112517580872	0.0759493670886076	0.00010920053655414909	2.7802081715893108e-05	GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	False
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.2517580872011252	0.04219409282700422	0.0379746835443038	5.9045229676511955e-05	4.147374036568213e-05	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	False
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0.8438818565400844	0.3909985935302391	0.369901547116737	0.0003845120584950774	0.00019937670028129394	HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	True
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.9507735583684951	0.5949367088607594	0.5879043600562588	0.0007438391086497891	0.0004069885275668073	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	True
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.9353023909985936	0.38255977496483823	0.37834036568213786	0.0012387262368495076	0.0004738351787623066	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	True
HISDEG-PWY: L-histidine degradation I	0.9156118143459916	0.7243319268635724	0.69901547116737	0.0013747057580450071	0.005510048840225035	HISDEG-PWY	L-histidine degradation I	True
HISTSYN-PWY: L-histidine biosynthesis	0.9929676511954993	0.8663853727144867	0.8635724331926864	0.0036782794177215193	0.0020122393108298175	HISTSYN-PWY	L-histidine biosynthesis	True
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.9789029535864979	0.459915611814346	0.45850914205344584	0.0012604428568213782	0.00028528106357243315	HOMOSER-METSYN-PWY	L-methionine biosynthesis I	True
HSERMETANA-PWY: L-methionine biosynthesis III	0.9732770745428974	0.7257383966244726	0.7215189873417721	0.0015807506056258788	0.0006893207741209565	HSERMETANA-PWY	L-methionine biosynthesis III	True
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1.0	0.9535864978902954	0.9535864978902954	0.016401271800281295	0.011276396343178622	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	True
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.37834036568213786	0.09985935302390998	0.09282700421940929	8.842277914205343e-05	5.8373962587904355e-05	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	False
KETOGLUCONMET-PWY: ketogluconate metabolism	0.39662447257383965	0.08860759493670886	0.0829817158931083	0.00012741056047819971	5.429263966244726e-05	KETOGLUCONMET-PWY	ketogluconate metabolism	False
LACTOSECAT-PWY: lactose and galactose degradation I	0.6849507735583685	0.2320675105485232	0.22081575246132207	0.00020507008874824195	0.00039249529662447257	LACTOSECAT-PWY	lactose and galactose degradation I	True
LIPASYN-PWY: phospholipases	0.005625879043600563	0.0014064697609001407	0.0014064697609001407	4.142045991561182e-07	2.0587904360056257e-08	LIPASYN-PWY	phospholipases	False
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0.1420534458509142	0.029535864978902954	0.02812939521800281	5.2781164416315044e-05	1.9062116596343178e-05	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	False
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.9789029535864979	0.459915611814346	0.45850914205344584	0.0021151422583684954	0.00045896517158931083	MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	True
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0.02812939521800281	0.02812939521800281	0.02109704641350211	3.708069085794655e-06	3.2309545850914204e-05	METHANOGENESIS-PWY	methanogenesis from H2 and CO2	False
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.42053445850914206	0.08720112517580872	0.08438818565400844	9.488579859353024e-05	3.800593445850915e-05	METHGLYUT-PWY	superpathway of methylglyoxal degradation	False
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.9789029535864979	0.459915611814346	0.45850914205344584	0.0021411045734177217	0.0004770971182841069	METSYN-PWY	L-homoserine and L-methionine biosynthesis	True
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.5949367088607594	0.23066104078762306	0.2222222222222222	0.0002892471903094234	0.00015346178396624473	NAD-BIOSYNTHESIS-II	NAD salvage pathway II	True
NADSYN-PWY: NAD biosynthesis II (from tryptophan)	0.0028129395218002813	0.0	0.0	1.6562039381153304e-08	0.0	NADSYN-PWY	NAD biosynthesis II (from tryptophan)	False
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.929676511954993	0.7510548523206751	0.7369901547116737	0.0006147524312236286	0.0014525292445850915	NAGLIPASYN-PWY	lipid IVA biosynthesis	True
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.9971870604781997	0.9859353023909986	0.9845288326300985	0.015037032869198311	0.015179327789029536	NONMEVIPP-PWY	methylerythritol phosphate pathway I	True
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.9971870604781997	0.9859353023909986	0.9845288326300985	0.00827786052967651	0.01173221971026723	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	True
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.9437412095639943	0.5527426160337553	0.549929676511955	0.0013835598414908582	0.0006520148423347399	OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	True
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.1940928270042194	0.015471167369901548	0.015471167369901548	5.730826551336147e-05	6.1979057665260205e-06	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	False
ORNDEG-PWY: superpathway of ornithine degradation	0.19971870604781997	0.02109704641350211	0.02109704641350211	8.530835997187061e-05	1.467231617440225e-05	ORNDEG-PWY	superpathway of ornithine degradation	False
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.44163150492264414	0.12658227848101267	0.1111111111111111	0.00023433328917018284	0.00023976810970464135	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	False
P108-PWY: pyruvate fermentation to propanoate I	0.6118143459915611	0.43037974683544306	0.4022503516174402	0.00022865907164556964	0.0005546194877637131	P108-PWY	pyruvate fermentation to propanoate I	True
P122-PWY: heterolactic fermentation	0.5021097046413502	0.15611814345991562	0.1350210970464135	0.00015934138504922644	0.00011217832770745428	P122-PWY	heterolactic fermentation	False
P124-PWY: Bifidobacterium shunt	0.2320675105485232	0.02531645569620253	0.009845288326300985	4.635364627285514e-05	2.7710362728551338e-05	P124-PWY	Bifidobacterium shunt	False
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0.0379746835443038	0.007032348804500703	0.0028129395218002813	4.010526357243319e-06	7.055554852320675e-06	P125-PWY	superpathway of (R,R)-butanediol biosynthesis	False
P161-PWY: acetylene degradation	0.960618846694796	0.6708860759493671	0.6497890295358649	0.00044526903797468355	0.0006095911106891702	P161-PWY	acetylene degradation	True
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.7383966244725738	0.530239099859353	0.4781997187060478	0.0003226167041350211	0.0012367289184247539	P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	True
P163-PWY: L-lysine fermentation to acetate and butanoate	0.030942334739803096	0.014064697609001406	0.014064697609001406	1.0137063009845288e-05	5.139154191279888e-05	P163-PWY	L-lysine fermentation to acetate and butanoate	False
P164-PWY: purine nucleobases degradation I (anaerobic)	0.5907172995780591	0.6118143459915611	0.4050632911392405	0.00024977091146272855	0.0009915335919831224	P164-PWY	purine nucleobases degradation I (anaerobic)	True
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.7426160337552743	0.36146272855133615	0.33755274261603374	0.000253470692419128	0.0004986584393811532	P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	True
P221-PWY: octane oxidation	0.02250351617440225	0.0	0.0	3.205240112517581e-06	0.0	P221-PWY	octane oxidation	False
P23-PWY: reductive TCA cycle I	0.14345991561181434	0.02390998593530239	0.009845288326300985	3.703583652601969e-05	9.028269901547115e-06	P23-PWY	reductive TCA cycle I	False
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0.9212376933895922	0.19268635724331926	0.19127988748241911	0.0010066294901547115	0.00012984743684950776	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	False
P42-PWY: incomplete reductive TCA cycle	0.9648382559774965	0.7918424753867792	0.7777777777777778	0.0011079117801687762	0.002046764113642757	P42-PWY	incomplete reductive TCA cycle	True
P441-PWY: superpathway of N-acetylneuraminate degradation	0.9648382559774965	0.5386779184247539	0.5260196905766527	0.0009813534098452883	0.0008886830665260197	P441-PWY	superpathway of N-acetylneuraminate degradation	True
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.9268635724331927	0.34177215189873417	0.3333333333333333	0.0006313643926722926	0.00022415670253164558	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	True
PANTO-PWY: phosphopantothenate biosynthesis I	0.9957805907172996	0.9859353023909986	0.9831223628691983	0.01369982800281294	0.01149071835302391	PANTO-PWY	phosphopantothenate biosynthesis I	True
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.9943741209563994	0.9451476793248945	0.9423347398030942	0.006155307597327708	0.004391029864978903	PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	True
PENTOSE-P-PWY: pentose phosphate pathway	0.9690576652601969	0.7791842475386779	0.770745428973277	0.0014953256784810125	0.0024260948623066104	PENTOSE-P-PWY	pentose phosphate pathway	True
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.9971870604781997	0.9873417721518988	0.9859353023909986	0.016007445499296766	0.010320998874824192	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	True
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.980309423347398	0.7032348804500703	0.69901547116737	0.003578195943459916	0.002065392902390999	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	True
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0.5963431786216596	0.10689170182841069	0.09985935302390998	0.00019463689492264414	3.248430604781997e-05	POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	False
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.9845288326300985	0.4641350210970464	0.4613220815752461	0.0010636809593389592	0.0002366280254571027	POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	True
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.44022503516174405	0.15611814345991562	0.13783403656821377	0.00013398293369901545	0.0001133544029535865	POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	False
PPGPPMET-PWY: ppGpp biosynthesis	0.7932489451476793	0.3881856540084388	0.36427566807313644	0.00032733859583684947	0.00021993431940928274	PPGPPMET-PWY	ppGpp biosynthesis	True
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0.06610407876230662	0.005625879043600563	0.005625879043600563	1.2568138776371309e-05	9.979853727144866e-07	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	False
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0.909985935302391	0.34458509142053445	0.3319268635724332	0.0017854289485232067	0.0006575807046413502	PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	True
PWY-101: photosynthesis light reactions	0.0014064697609001407	0.11392405063291139	0.0	7.826821378340366e-07	0.00012743431814345993	PWY-101	photosynthesis light reactions	False
PWY-1042: glycolysis IV (plant cytosol)	0.9957805907172996	0.9957805907172996	0.9915611814345991	0.012740346146272856	0.03248484331926864	PWY-1042	glycolysis IV (plant cytosol)	True
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.9915611814345991	0.9521800281293952	0.9465541490857946	0.003497073354852321	0.00539958051673699	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	True
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0.11673699015471167	0.009845288326300985	0.0028129395218002813	1.5174048382559773e-05	5.560836849507736e-06	PWY-1861	formaldehyde assimilation II (RuMP Cycle)	False
PWY-2201: folate transformations I	0.0028129395218002813	0.005625879043600563	0.0014064697609001407	3.4660239099859354e-07	8.39782559774965e-06	PWY-2201	folate transformations I	False
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.16455696202531644	0.03375527426160337	0.015471167369901548	5.196191441631505e-05	3.805902258790436e-05	PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	False
PWY-2723: trehalose degradation V	0.38396624472573837	0.15330520393811534	0.13361462728551335	0.0001116480777496484	0.00010198477974683545	PWY-2723	trehalose degradation V	False
PWY-2941: L-lysine biosynthesis II	0.8846694796061885	0.5682137834036568	0.5611814345991561	0.0011082410552742616	0.0018138251755274262	PWY-2941	L-lysine biosynthesis II	True
PWY-2942: L-lysine biosynthesis III	0.9971870604781997	0.9915611814345991	0.9887482419127989	0.016516028368495077	0.015976902814345995	PWY-2942	L-lysine biosynthesis III	True
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.9957805907172996	0.9662447257383966	0.9634317862165963	0.006799186985935302	0.004316885745428973	PWY-3001	superpathway of L-isoleucine biosynthesis I	True
PWY-3781: aerobic respiration I (cytochrome c)	0.16033755274261605	0.7187060478199718	0.13642756680731363	4.7795408227848104e-05	0.004579934717580872	PWY-3781	aerobic respiration I (cytochrome c)	False
PWY-3801: sucrose degradation II (sucrose synthase)	0.011251758087201125	0.3037974683544304	0.008438818565400843	2.1473101265822783e-06	0.000705415223488045	PWY-3801	sucrose degradation II (sucrose synthase)	False
PWY-3841: folate transformations II	0.9971870604781997	0.9789029535864979	0.9760900140646976	0.01237568992967651	0.01627962322081575	PWY-3841	folate transformations II	True
PWY-4041: &gamma;-glutamyl cycle	0.5021097046413502	0.3037974683544304	0.2841068917018284	0.00023458253133614625	0.0003003248198171589	PWY-4041	γ-glutamyl cycle	True
PWY-4242: pantothenate and coenzyme A biosynthesis III	0.9943741209563994	0.9029535864978903	0.90014064697609	0.002857343747679325	0.002423522448945148	PWY-4242	pantothenate and coenzyme A biosynthesis III	True
PWY-4321: L-glutamate degradation IV	0.011251758087201125	0.0	0.0	9.896441912798873e-07	0.0	PWY-4321	L-glutamate degradation IV	False
