Feature	PathwayID	ControlN	CDN	UCN	ControlMedian	CDMedian	UCMedian	MedianRange	KruskalH	PValue	QValue	BH05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	26	50	27	-0.76327693937726	-0.6817705042978544	-0.6203116094452933	0.14296532993196676	0.7259222662658544	0.6956134692899383	0.8533422955274298	False
LACTOSECAT-PWY: lactose and galactose degradation I	LACTOSECAT-PWY	14	27	18	0.23394930850310844	0.06145059331703811	0.38679993248325484	0.3253493391662167				False
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	MET-SAM-PWY	24	44	24	-1.639180072651282	-1.5903787282006543	-1.1353332754814822	0.5038467971697997	0.27644608780650515	0.8709044201598249	0.9298868996462106	False
METSYN-PWY: L-homoserine and L-methionine biosynthesis	METSYN-PWY	24	44	24	-1.6077666546308653	-1.513882911130015	-1.1674669476296011	0.4402997070012642	0.1907274002294912	0.9090422555652413	0.9368700797151978	False
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	NAD-BIOSYNTHESIS-II	14	33	18	1.0120960791875806	-0.10958642770075296	-0.030999499547398373	1.1216825068883336				False
NAGLIPASYN-PWY: lipid IVA biosynthesis	NAGLIPASYN-PWY	26	48	27	1.727070160012786	1.4929421356422372	1.5975582948305416	0.2341280243705488	1.4069089978378884	0.49487281000328076	0.7749171133384707	False
NONMEVIPP-PWY: methylerythritol phosphate pathway I	NONMEVIPP-PWY	26	50	27	-0.0013450007862114977	-0.015259377501670862	-0.1362917620780286	0.1349467612918171	0.888461283136337	0.6413174892969703	0.8237470769445486	False
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	NONOXIPENT-PWY	26	50	28	0.36768943695939554	0.5157209646840488	0.2718153006435369	0.24390566404051195	3.938693756792645	0.13954796825100663	0.4701153124648184	False
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	OANTIGEN-PWY	24	42	22	-0.9540596755917821	-0.3928613564668504	-0.9106393207388302	0.5611983191249317	5.8909435814440485	0.0525772485058264	0.35328369255754377	False
P108-PWY: pyruvate fermentation to propanoate I	P108-PWY	24	38	19	1.5628983763165691	1.6019262502826503	1.5268572375661276	0.07506901271652278	0.6483422875164706	0.7231264732066798	0.855275318720354	False
P161-PWY: acetylene degradation	P161-PWY	26	50	26	0.716104138008931	0.5232758422220523	0.9115078574039992	0.38823201518194694	2.1986521987436163	0.33309548133285183	0.6295257953920773	False
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	P162-PWY	23	41	24	2.494001876599782	2.2653492980693555	2.356930022766413	0.22865257853042653	0.2996121087915071	0.860874923142393	0.9298868996462106	False
P164-PWY: purine nucleobases degradation I (anaerobic)	P164-PWY	20	40	23	1.7504132753796413	1.9582566677731945	2.230357538080977	0.4799442627013355	3.157045573598765	0.20627959218484235	0.5194189006584522	False
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	P185-PWY	21	36	24	1.9296821372118136	1.7858876183595345	1.9087369334749047	0.14379451885227912	0.985740095496169	0.6108706479243686	0.8237470769445486	False
P42-PWY: incomplete reductive TCA cycle	P42-PWY	26	49	27	0.38487240190744587	1.2562453604514516	0.7085529224080506	0.8713729585440058	3.7148092993732575	0.15607718012509367	0.4915693313189772	False
P441-PWY: superpathway of N-acetylneuraminate degradation	P441-PWY	24	45	26	0.9575194171424926	0.4886172928290511	0.6308215280457874	0.46890212431344147	2.7979281938821146	0.24685254684758123	0.5194189006584522	False
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	P461-PWY	21	42	24	-0.5022889363871679	-0.9470298708257465	-0.8357801451693463	0.44474093443857865	4.453901701746531	0.10785680072567774	0.4357414749317381	False
PANTO-PWY: phosphopantothenate biosynthesis I	PANTO-PWY	26	50	27	-0.36446500496562695	-0.2813041031260307	-0.45912347514219853	0.17781937201616782	0.7711070259090889	0.680074102180364	0.847993633582923	False
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	PANTOSYN-PWY	26	50	27	-0.7435132946162863	-0.3833200864273391	-0.39254676972717456	0.36019320818894723	6.238791610016392	0.04418385602114999	0.35328369255754377	False
PENTOSE-P-PWY: pentose phosphate pathway	PENTOSE-P-PWY	26	48	27	1.268483149137058	0.9632057263725737	0.38407133199245547	0.8844118171446026	7.1706707435449175	0.027727367094450985	0.3416596554463312	False
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY	26	50	27	-0.7127069890732438	-0.5871895359878863	-0.6869599102702462	0.12551745308535756	0.32595577768842077	0.8496099740654003	0.9264725463454211	False
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	PHOSLIPSYN-PWY	26	47	27	-0.22156093519204878	-0.45727187061149505	-0.7476538844664407	0.5260929492743919	5.256694592536178	0.07219768507517445	0.3984156411432914	False
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	POLYAMSYN-PWY	23	39	24	-2.1708150077230353	-1.480606307047327	-1.3772363511678127	0.7935786565552225	7.646668392100878	0.021854811055958608	0.3416596554463312	False
PPGPPMET-PWY: ppGpp biosynthesis	PPGPPMET-PWY	22	44	22	0.6781452850311812	0.010447997347647654	-0.16191566154711973	0.8400609465783009	4.1146926362707745	0.12779264134770538	0.46934751913157247	False
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY	22	36	20	-0.48713492819812854	-0.06967875880227664	-0.2564238752539455	0.4174561693958519	3.0323183145968073	0.21955354020115958	0.5194189006584522	False
PWY-1042: glycolysis IV (plant cytosol)	PWY-1042	26	50	27	1.2855168673815287	1.219797918701837	1.3718971664621051	0.15209924776026806	4.597730734123559	0.10037266526986661	0.4137811915206746	False
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	PWY-1269	26	50	27	0.805368085673106	0.3569510237158971	0.47244325355978023	0.44841706195720893	3.628438112381275	0.16296512531485322	0.4987720502060659	False
PWY-2941: L-lysine biosynthesis II	PWY-2941	22	41	24	1.0529107984316215	0.893397254045871	1.0767155770700125	0.18331832302414153	1.6726511328593006	0.4332997330034921	0.7233598848488051	False
PWY-2942: L-lysine biosynthesis III	PWY-2942	26	50	27	-0.0139458294294217	-0.026145154587085575	-0.062157198476063984	0.048211369046642284	0.31778377791823686	0.8530885822784571	0.9264725463454211	False
PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-3001	26	50	27	-0.7530787140585975	-0.6010171770436631	-0.6295756310720413	0.1520615370149344	0.9307525708048274	0.6278987915822831	0.8237470769445486	False
PWY-3841: folate transformations II	PWY-3841	26	50	27	0.3060270111948519	0.45621311513502005	0.110907790452464	0.34530532468255604	7.375985650728012	0.025022175548034778	0.3416596554463312	False
PWY-4041: &gamma;-glutamyl cycle	PWY-4041	18	38	18	2.33702411258661	0.7614978364184343	0.7000175415293696	1.6370065710572401	7.438356250987823	0.02425389331304007	0.3416596554463312	False
PWY-4242: pantothenate and coenzyme A biosynthesis III	PWY-4242	26	50	27	-0.7940408779743133	-0.39897375026930293	-0.17633911671099906	0.6177017612633142	3.7322444355080506	0.15472248010769574	0.4915693313189772	False
PWY-4702: phytate degradation I	PWY-4702	21	35	11	0.10527501324326458	0.3150061244894719	-0.12610180001973134	0.4411079245092032				False
PWY-4981: L-proline biosynthesis II (from arginine)	PWY-4981	26	50	27	2.453099177643218	2.6775630453049404	2.2546115969955234	0.422951448309417	4.015518980231434	0.1342892141739256	0.4701153124648184	False
PWY-4984: urea cycle	PWY-4984	25	46	26	1.2660872044345295	0.8851033315117769	0.8708835536753761	0.3952036507591534	2.9525202107874975	0.22849062329596448	0.5194189006584522	False
PWY-5030: L-histidine degradation III	PWY-5030	25	43	26	1.4854137584868379	1.6686442673799051	1.3562841342648504	0.31236013311505473	1.692467247744787	0.42902777272090087	0.7233598848488051	False
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	PWY-5083	21	42	22	2.271798909798327	1.3708929230243216	1.5079592085754936	0.9009059867740052	3.822925364648995	0.14786395035870117	0.481750289878349	False
PWY-5097: L-lysine biosynthesis VI	PWY-5097	26	50	27	-0.378214942157776	-0.5680128716341083	-0.5790165862659775	0.2008016441082015	3.2973006389510715	0.19230928964352725	0.5194189006584522	False
PWY-5100: pyruvate fermentation to acetate and lactate II	PWY-5100	26	50	27	-0.11164312026312855	0.4652095023114572	0.3489153936240784	0.5768526225745857	8.378998614861189	0.015153870404188094	0.3416596554463312	False
PWY-5101: L-isoleucine biosynthesis II	PWY-5101	25	44	24	-1.507214097908777	-1.707482708009583	-1.4627250015882576	0.24475770642132533	2.0027971548012715	0.36736529292073045	0.6567060988494473	False
PWY-5103: L-isoleucine biosynthesis III	PWY-5103	26	50	27	-0.5333412423362598	-0.5989728831422589	-1.12536926148299	0.5920280191467302	2.8209158512220256	0.244031509285336	0.5194189006584522	False
PWY-5104: L-isoleucine biosynthesis IV	PWY-5104	24	47	26	-0.007300578606133954	0.47303391391059035	-0.0867625700070574	0.5597964839176477	3.937400807759275	0.13963821162321338	0.4701153124648184	False
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121	19	32	17	0.38170704642644826	0.062076932175888264	0.6793953466628367	0.6173184144869485	2.196454623375814	0.33346168369778356	0.6295257953920773	False
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	PWY-5154	26	44	27	-0.579768391315859	-0.9531182850722916	-0.34487454493505576	0.6082437401372358	5.70021510154055	0.057838100008107844	0.35328369255754377	False
PWY-5173: superpathway of acetyl-CoA biosynthesis	PWY-5173	17	38	19	3.09291644028928	2.1909106672116163	1.9097657793154468	1.1831506609738331	3.199956488996719	0.2019009104024632	0.5194189006584522	False
PWY-5177: glutaryl-CoA degradation	PWY-5177	26	50	27	1.5068950199945605	1.8944038272776424	1.8718080579690595	0.3875088072830819	4.315533980582472	0.11558293089183097	0.4577990596107815	False
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	PWY-5188	26	50	27	-0.3635787461448754	0.15076261638285693	0.21859913902758157	0.5821778851724569	4.748683862813834	0.09307571926929425	0.4094426404653729	False
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	PWY-5189	20	34	20	1.281077474128339	0.8879929778568181	0.6872446566114943	0.5938328175168448	1.4755357710651822	0.47818007784998584	0.7666061565531519	False
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	PWY-5347	24	44	24	-1.6070641663974852	-1.4564775727631503	-1.1732527126000944	0.4338114537973907	0.1922946151557312	0.9083302022910548	0.9368700797151978	False
PWY-5367: petroselinate biosynthesis	PWY-5367	21	27	19	-1.6619547073396495	-1.2104697480060458	-1.1733142348467922	0.48864047249285725	0.2310429277759738	0.8909014498229318	0.9298868996462106	False
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	PWY-5384	19	34	21	-0.5008748982770864	-0.586560380741755	-0.5338213537321855	0.08568548246466856	0.47822513358116225	0.7873262505951144	0.9008531192279791	False
PWY-5484: glycolysis II (from fructose 6-phosphate)	PWY-5484	26	50	27	2.366032321781632	1.7593333811582577	2.222415930873078	0.6066989406233745	7.052222222222213	0.029419101312093795	0.3416596554463312	False
PWY-5659: GDP-mannose biosynthesis	PWY-5659	26	50	27	0.06362091664288405	0.4126340520529236	0.028861452440023007	0.38377259961290056	5.6447821119217565	0.059463591816616285	0.35328369255754377	False
PWY-5667: CDP-diacylglycerol biosynthesis I	PWY-5667	26	50	27	-0.05526629906371061	0.022428503597481934	0.06223155297163735	0.11749785203534796	0.6512719021083626	0.7220680076861024	0.855275318720354	False
PWY-5676: acetyl-CoA fermentation to butanoate II	PWY-5676	23	42	25	1.062860916162629	0.8044892187702799	0.9633579488712913	0.2583716973923491	0.2618767622991527	0.8772718292072534	0.9298868996462106	False
PWY-5686: UMP biosynthesis	PWY-5686	26	50	27	-0.33456449643438047	-0.4087125526248824	-0.3900569378493254	0.07414805619050191	0.7099139554329668	0.7012036099401566	0.8533422955274298	False
PWY-5690: TCA cycle II (plants and fungi)	PWY-5690	23	44	21	-0.4038863232544134	-0.03223268897758379	-0.43348371513350464	0.40125102615592084	2.0456676600478545	0.3595745219339413	0.6485183342022869	False
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	PWY-5695	26	50	27	-0.0797158998483066	0.1654551400272321	0.09895132141650845	0.2451710398755387	5.032130177514773	0.08077683187775565	0.3984156411432914	False
PWY-5918: superpathay of heme biosynthesis from glutamate	PWY-5918	14	30	16	0.2852528840130556	0.5043124145607785	0.093098719554827	0.41121369500595145				False
PWY-5973: cis-vaccenate biosynthesis	PWY-5973	26	50	27	0.5594038655190642	0.6890983484512366	0.40130355516557287	0.28779479328566376	4.981715146524721	0.08283889568325861	0.3984156411432914	False
PWY-5989: stearate biosynthesis II (bacteria and plants)	PWY-5989	26	48	26	0.05519586531133246	0.19342883592760998	-0.5900898506779442	0.7835186866055541	1.4447010662605066	0.48560947225774587	0.7723867196540525	False
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	PWY-6121	26	50	27	-0.21314644833327032	-0.06190878125568267	-0.2370521427907278	0.17514336153504514	1.8291239156661163	0.4006921076929727	0.6917932115724829	False
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	26	50	27	-0.24082896667302753	-0.10744669081846442	-0.22908783544738598	0.1333822758545631	1.3366541557355163	0.5125653428423749	0.7903679332378605	False
PWY-6123: inosine-5'-phosphate biosynthesis I	PWY-6123	26	50	27	0.1899290592150467	0.30688264300293233	0.3044051217019339	0.11695358378788562	1.515714686939475	0.4686695498237744	0.7666061565531519	False
PWY-6124: inosine-5'-phosphate biosynthesis II	PWY-6124	26	49	27	-0.017626056296331336	0.28876218945099347	0.179434296404006	0.3063882457473248	3.8645788080397097	0.1448162757121818	0.47955553596492995	False
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	PWY-6125	26	50	27	-0.7815667695448644	-0.5996291339823516	-0.4486936482637559	0.33287312128110846	2.639195279038404	0.2672428082810834	0.5452833057856449	False
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	PWY-6126	26	50	28	-1.1365946710468406	-0.7970901991656745	-0.6854975797221646	0.451097091324676	5.091007366260101	0.07843353638078043	0.3984156411432914	False
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	25	47	26	0.039605250585380516	-0.1603731839944899	-0.015077163443054254	0.1999784345798704	1.098398055844882	0.577412116191061	0.8237470769445486	False
PWY-6151: S-adenosyl-L-methionine cycle I	PWY-6151	26	50	27	-0.819143080658445	-0.9496598553889992	-0.8288656983687849	0.13051677473055423	0.5990482117666147	0.741170855616269	0.8654133689854703	False
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163	26	50	27	-0.2142823650201105	-0.2121337055080449	-0.4568057117707497	0.2446720062627048	3.149452263776368	0.2070642532126164	0.5194189006584522	False
PWY-6168: flavin biosynthesis III (fungi)	PWY-6168	26	50	27	-0.7648646996587696	-0.7823596550623784	-0.9141718165485073	0.14930711688973775	0.8711550270325006	0.6468909709018885	0.8237470769445486	False
PWY-621: sucrose degradation III (sucrose invertase)	PWY-621	26	50	27	-0.4063367909560397	-0.5469449666349893	-0.3937564051265028	0.15318856150848648	0.3243089306345155	0.8503098510148078	0.9264725463454211	False
PWY-6270: isoprene biosynthesis I	PWY-6270	17	31	17	0.6544702851696884	0.1044301560692983	0.29066798873096256	0.5500401291003901	0.9535329945196906	0.6207874679458116	0.8237470769445486	False
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	PWY-6277	26	50	27	-0.24082896667302753	-0.10744669081846442	-0.22908783544738598	0.1333822758545631	1.3366541557355163	0.5125653428423749	0.7903679332378605	False
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	PWY-6282	26	48	24	1.093446181873059	1.0545942375836135	0.5325943113195994	0.5608518705534595	0.9141632177346537	0.6331286690408292	0.8237470769445486	False
PWY-6305: putrescine biosynthesis IV	PWY-6305	26	49	27	-1.3538671586943893	-0.6925839082857342	-0.9806195730812697	0.6612832504086551	4.887630597837074	0.08682894033236865	0.4019597883377306	False
PWY-6317: galactose degradation I (Leloir pathway)	PWY-6317	26	50	27	-1.0858539677051062	-0.8681255256290861	-1.016927261494354	0.21772844207602016	4.984183948986015	0.08273670233525536	0.3984156411432914	False
PWY-6353: purine nucleotides degradation II (aerobic)	PWY-6353	25	47	23	0.17260713079603424	0.3033949321388603	0.029002000222692607	0.2743929319161677	0.9981097424412155	0.6071041802774151	0.8237470769445486	False
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	PWY-6385	26	50	27	-0.9353489296848676	-0.7471144983394993	-0.6849498432903981	0.2503990863944695	1.6812611146218615	0.43143839100888604	0.7233598848488051	False
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	PWY-6386	26	50	27	-0.49863895116857093	-0.5426909406001926	-0.6033977794424176	0.10475882827384664	1.693964050222462	0.42870680792450766	0.7233598848488051	False
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	PWY-6387	26	50	27	-0.6682631119851478	-0.5892201133975086	-0.6231969569076381	0.07904299858763919	0.8918992359395475	0.6402160266323202	0.8237470769445486	False
