AnalysisAccession	PipelineVersion	ExperimentType	StudyAccession	RunAccession	SampleAccession	SampleTitle	NucleicAcid	AssemblyAccession
MGYA00005060	V2	Metagenomic	MGYS00000410	ERR599030	SAMEA2623350	TARA_20111210T1408Z_138_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001989	RNA	
MGYA00005061	V2	Metagenomic	MGYS00000410	ERR599031	SAMEA2619970	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000315	RNA	
MGYA00005062	V2	Metagenomic	MGYS00000410	ERR599032	SAMEA2622923	TARA_20110905T1840Z_128_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000614	DNA	
MGYA00005063	V2	Metagenomic	MGYS00000410	ERR598978	SAMEA2622173	TARA_20110421T2007Z_102_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000900	RNA	
MGYA00005064	V2	Metagenomic	MGYS00000410	ERR598979	SAMEA2620855	TARA_20100712T0559Z_065_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000437	DNA	
MGYA00005065	V2	Metagenomic	MGYS00000410	ERR598976	SAMEA2623850	TARA_20120309T0859Z_151_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001564	RNA	
MGYA00005066	V2	Metagenomic	MGYS00000410	ERR598977	SAMEA2620217	TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000287	RNA	
MGYA00005067	V2	Metagenomic	MGYS00000410	ERR598974	SAMEA2619952	TARA_20100312T1223Z_036_EVENT_PUMP_P_D_(17 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000035	DNA	
MGYA00005068	V2	Metagenomic	MGYS00000410	ERR599033	SAMEA2622673	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000678	RNA	
MGYA00005069	V2	Metagenomic	MGYS00000410	ERR598972	SAMEA2620828	TARA_20100708T0621Z_064_EVENT_PUMP_P_D_(65 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000405	DNA	
MGYA00005070	V2	Metagenomic	MGYS00000410	ERR598973	SAMEA2620929	TARA_20100715T1222Z_066_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000475	DNA	
MGYA00005071	V2	Metagenomic	MGYS00000410	ERR598970	SAMEA2620786	TARA_20100707T0448Z_064_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000401	DNA	
MGYA00005072	V2	Metagenomic	MGYS00000410	ERR598971	SAMEA2622362	TARA_20110513T1617Z_109_Combined-EVENTS_CAST_MB_M_(380 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000929	RNA	
MGYA00005073	V2	Metagenomic	MGYS00000410	ERR599135	SAMEA2621066	TARA_20100921T0655Z_070_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000459	DNA	
MGYA00005074	V2	Metagenomic	MGYS00000410	ERR599134	SAMEA2619857	TARA_20100113T0716Z_033_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001234	DNA	
MGYA00005075	V2	Metagenomic	MGYS00000410	ERR598985	SAMEA2623513	TARA_20120110T1451Z_142_Combined-EVENTS_CAST_MB_M_(640 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002049	DNA	
MGYA00005076	V2	Metagenomic	MGYS00000410	ERR599085	SAMEA2622048	TARA_20110404T1359Z_098_Combined-EVENTS_CAST_MB_M_(488 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001013	DNA	
MGYA00005077	V2	Metagenomic	MGYS00000410	ERR598984	SAMEA2621132	TARA_20101005T0800Z_072_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000424	DNA	
MGYA00005078	V2	Metagenomic	MGYS00000410	ERR599130	SAMEA2620259	TARA_20100404T0950Z_042_EVENT_PUMP_P_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000131	DNA	
MGYA00005079	V2	Metagenomic	MGYS00000410	ERR599008	SAMEA2621551	TARA_20110107T1041Z_085_Combined-EVENTS_CAST_MB_M_(790 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000809	DNA	
MGYA00005080	V2	Metagenomic	MGYS00000410	ERR598942	SAMEA2623135	TARA_20111019T0009Z_133_EVENT_PUMP_P_D_(45 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001094	DNA	
MGYA00005081	V2	Metagenomic	MGYS00000410	ERR599005	SAMEA2621176	TARA_20101006T0759Z_072_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000508	DNA	
MGYA00005082	V2	Metagenomic	MGYS00000410	ERR599131	SAMEA2620995	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MB_M_(700 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000470	DNA	
MGYA00005083	V2	Metagenomic	MGYS00000410	ERR599007	SAMEA2622219	TARA_20110422T2113Z_102_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000902	RNA	
MGYA00005084	V2	Metagenomic	MGYS00000410	ERR599006	SAMEA2621254	TARA_20101104T1004Z_078_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000524	RNA	
MGYA00005085	V2	Metagenomic	MGYS00000410	ERR599001	SAMEA2623919	TARA_20120319T1848Z_152_EVENT_CAST_B2-B10_I_(5-160 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002029	DNA	
MGYA00005086	V2	Metagenomic	MGYS00000410	ERR599000	SAMEA2621232	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000749	DNA	
MGYA00005087	V2	Metagenomic	MGYS00000410	ERR599003	SAMEA2619376	TARA_20090915T1130Z_004_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_X000000263	DNA	
MGYA00005088	V2	Metagenomic	MGYS00000410	ERR599002	SAMEA2620570	TARA_20100517T1142Z_052_EVENT_PUMP_P_D_(75 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000214	RNA	
MGYA00005089	V2	Metagenomic	MGYS00000410	ERR599162	SAMEA2623426	TARA_20111221T1620Z_140_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002019	DNA	
MGYA00005090	V2	Metagenomic	MGYS00000410	ERR599163	SAMEA2622097	TARA_20110415T1245Z_100_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000963	RNA	
MGYA00005091	V2	Metagenomic	MGYS00000410	ERR599160	SAMEA2622710	TARA_20110731T1720Z_123_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000683	RNA	
MGYA00005092	V2	Metagenomic	MGYS00000410	ERR599161	SAMEA2622796	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000676	RNA	
MGYA00005093	V2	Metagenomic	MGYS00000410	ERR599166	SAMEA2623649	TARA_20120202T1839Z_145_Combined-EVENTS_CAST_MB_M_(590 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001146	DNA	
MGYA00005094	V2	Metagenomic	MGYS00000410	ERR599167	SAMEA2620035	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MB_M_(340 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000071	RNA	
MGYA00005095	V2	Metagenomic	MGYS00000410	ERR599164	SAMEA2620815	TARA_20100707T1217Z_064_Combined-EVENTS_CAST_MB_M_(1000 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000408	DNA	
MGYA00005096	V2	Metagenomic	MGYS00000410	ERR599165	SAMEA2621066	TARA_20100921T0655Z_070_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000459	DNA	
MGYA00005097	V2	Metagenomic	MGYS00000410	ERR599142	SAMEA2623059	TARA_20111004T1746Z_132_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001248	DNA	
MGYA00005098	V2	Metagenomic	MGYS00000410	ERR599081	SAMEA2622119	TARA_20110415T1938Z_100_EVENT_PUMP_P_D_(50 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000965	RNA	
MGYA00005099	V2	Metagenomic	MGYS00000410	ERR599168	SAMEA2622219	TARA_20110422T2113Z_102_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000902	RNA	
MGYA00005100	V2	Metagenomic	MGYS00000410	ERR599169	SAMEA2622097	TARA_20110415T1245Z_100_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000963	RNA	
MGYA00005101	V2	Metagenomic	MGYS00000410	ERR599080	SAMEA2622759	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000674	RNA	
MGYA00005102	V2	Metagenomic	MGYS00000410	ERR598943	SAMEA2622173	TARA_20110421T2007Z_102_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000900	RNA	
MGYA00005103	V2	Metagenomic	MGYS00000410	ERR599084	SAMEA2622796	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000676	RNA	
MGYA00005104	V2	Metagenomic	MGYS00000410	ERR599087	SAMEA2623370	TARA_20111211T1332Z_138_Combined-EVENTS_CAST_MB_D_(60 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001996	RNA	
MGYA00005105	V2	Metagenomic	MGYS00000410	ERR599086	SAMEA2622499	TARA_20110601T1603Z_111_Combined-EVENTS_CAST_MB_M_(350 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000586	DNA	
MGYA00005106	V2	Metagenomic	MGYS00000410	ERR315861	SAMEA2591084	TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075	DNA	
MGYA00005107	V2	Metagenomic	MGYS00000410	ERR315860	SAMEA2591098	TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081	DNA	
MGYA00005108	V2	Metagenomic	MGYS00000410	ERR598945	SAMEA2621487	TARA_20110103T1105Z_084_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000780	RNA	
MGYA00005109	V2	Metagenomic	MGYS00000410	ERR315862	SAMEA2591108	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015	DNA	
MGYA00005110	V2	Metagenomic	MGYS00000410	ERR598949	SAMEA2620021	TARA_20100315T1118Z_038_EVENT_PUMP_P_D_(25 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000073	RNA	
MGYA00005111	V2	Metagenomic	MGYS00000410	ERR599082	SAMEA2620021	TARA_20100315T1118Z_038_EVENT_PUMP_P_D_(25 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000073	RNA	
MGYA00005112	V2	Metagenomic	MGYS00000410	ERR599089	SAMEA2622796	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000676	RNA	
MGYA00005113	V2	Metagenomic	MGYS00000410	ERR599088	SAMEA2620786	TARA_20100707T0448Z_064_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000401	DNA	
MGYA00005114	V2	Metagenomic	MGYS00000410	ERR599022	SAMEA2621254	TARA_20101104T1004Z_078_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000524	RNA	
MGYA00005115	V2	Metagenomic	MGYS00000410	ERR599143	SAMEA2619927	TARA_20100312T0606Z_036_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000034	DNA	
MGYA00005116	V2	Metagenomic	MGYS00000410	ERR598946	SAMEA2622149	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_MB_M_(177 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000959	RNA	
MGYA00005117	V2	Metagenomic	MGYS00000410	ERR599132	SAMEA2622197	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MB_M_(480 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000953	RNA	
MGYA00005118	V2	Metagenomic	MGYS00000410	ERR599148	SAMEA2621216	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_MB_D_(150 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000519	DNA	
MGYA00005119	V2	Metagenomic	MGYS00000410	ERR598948	SAMEA2622690	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_MB_D_(115 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000700	RNA	
MGYA00005120	V2	Metagenomic	MGYS00000410	ERR599018	SAMEA2620890	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000441	DNA	
MGYA00005121	V2	Metagenomic	MGYS00000410	ERR599019	SAMEA2620404	TARA_20100419T0756Z_048_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000242	DNA	
MGYA00005122	V2	Metagenomic	MGYS00000410	ERR599016	SAMEA2620570	TARA_20100517T1142Z_052_EVENT_PUMP_P_D_(75 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000214	RNA	
MGYA00005123	V2	Metagenomic	MGYS00000410	ERR599017	SAMEA2621037	TARA_20100914T1330Z_068_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000482	DNA	
MGYA00005124	V2	Metagenomic	MGYS00000410	ERR599014	SAMEA2622402	TARA_20110521T2100Z_110_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001113	DNA	
MGYA00005125	V2	Metagenomic	MGYS00000410	ERR599015	SAMEA2623314	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MB_M_(375 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001971	RNA	
MGYA00005126	V2	Metagenomic	MGYS00000410	ERR599012	SAMEA2620756	TARA_20100703T0809Z_062_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000532	DNA	
MGYA00005127	V2	Metagenomic	MGYS00000410	ERR599013	SAMEA2620259	TARA_20100404T0950Z_042_EVENT_PUMP_P_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000131	DNA	
MGYA00005128	V2	Metagenomic	MGYS00000410	ERR599010	SAMEA2621198	TARA_20101016T0955Z_076_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000513	RNA	
MGYA00005129	V2	Metagenomic	MGYS00000410	ERR599011	SAMEA2620194	TARA_20100330T0247Z_041_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000282	RNA	
MGYA00005130	V2	Metagenomic	MGYS00000410	ERR599157	SAMEA2622733	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000686	RNA	
MGYA00005131	V2	Metagenomic	MGYS00000410	ERR599156	SAMEA2622837	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MB_X_(140 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001123	RNA	
MGYA00005132	V2	Metagenomic	MGYS00000410	ERR599155	SAMEA2619818	TARA_20100111T0721Z_032_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001035	DNA	
MGYA00005133	V2	Metagenomic	MGYS00000410	ERR599154	SAMEA2621232	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000749	DNA	
MGYA00005134	V2	Metagenomic	MGYS00000410	ERR599153	SAMEA2619782	TARA_20091123T1352Z_025_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000331	DNA	
MGYA00005135	V2	Metagenomic	MGYS00000410	ERR599152	SAMEA2623314	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MB_M_(375 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001971	RNA	
MGYA00005136	V2	Metagenomic	MGYS00000410	ERR599151	SAMEA2622759	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000674	RNA	
MGYA00005137	V2	Metagenomic	MGYS00000410	ERR599150	SAMEA2620786	TARA_20100707T0448Z_064_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000401	DNA	
MGYA00005138	V2	Metagenomic	MGYS00000410	ERR164409	SAMEA2591084	TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075	DNA	
MGYA00005139	V2	Metagenomic	MGYS00000410	ERR598951	SAMEA2619766	TARA_20091123T0912Z_025_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000178	DNA	
MGYA00005140	V2	Metagenomic	MGYS00000410	ERR599159	SAMEA2621287	TARA_20101105T1235Z_078_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000745	DNA	
MGYA00005141	V2	Metagenomic	MGYS00000410	ERR599026	SAMEA2620734	TARA_20100629T1500Z_058_EVENT_PUMP_P_D_(66 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000557	DNA	
MGYA00005142	V2	Metagenomic	MGYS00000410	ERR599096	SAMEA2622673	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000678	RNA	
MGYA00005143	V2	Metagenomic	MGYS00000410	ERR599097	SAMEA2619840	TARA_20100111T1417Z_032_EVENT_PUMP_P_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001037	DNA	
MGYA00005144	V2	Metagenomic	MGYS00000410	ERR599094	SAMEA2619782	TARA_20091123T1352Z_025_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000331	DNA	
MGYA00005145	V2	Metagenomic	MGYS00000410	ERR599095	SAMEA2619399	TARA_20090915T1800Z_004_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_X000000368	DNA	
MGYA00005146	V2	Metagenomic	MGYS00000410	ERR598950	SAMEA2619399	TARA_20090915T1800Z_004_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_X000000368	DNA	
MGYA00005147	V2	Metagenomic	MGYS00000410	ERR599093	SAMEA2621990	TARA_20110403T1344Z_098_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001027	DNA	
MGYA00005148	V2	Metagenomic	MGYS00000410	ERR598952	SAMEA2622336	TARA_20110512T2215Z_109_EVENT_PUMP_P_D_(30 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000927	RNA	
MGYA00005149	V2	Metagenomic	MGYS00000410	ERR598953	SAMEA2622149	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_MB_M_(177 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000959	RNA	
MGYA00005150	V2	Metagenomic	MGYS00000410	ERR598958	SAMEA2623756	TARA_20120227T1532Z_148b_Combined-EVENTS_CAST_MB_M_(250 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001750	RNA	
MGYA00005151	V2	Metagenomic	MGYS00000410	ERR598959	SAMEA2619879	TARA_20100120T0427Z_034_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000003	DNA	
MGYA00005152	V2	Metagenomic	MGYS00000410	ERR599098	SAMEA2620542	TARA_20100517T0410Z_052_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000212	RNA	
MGYA00005153	V2	Metagenomic	MGYS00000410	ERR599099	SAMEA2623295	TARA_20111202T2042Z_137_EVENT_PUMP_MB_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001964	RNA	
MGYA00005154	V2	Metagenomic	MGYS00000410	ERR598944	SAMEA2623907	TARA_20120319T1502Z_152_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001179	DNA	
MGYA00005155	V2	Metagenomic	MGYS00000410	ERR599029	SAMEA2623446	TARA_20111230T1335Z_141_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001939	DNA	
MGYA00005156	V2	Metagenomic	MGYS00000410	ERR599023	SAMEA2620828	TARA_20100708T0621Z_064_EVENT_PUMP_P_D_(65 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000405	DNA	
MGYA00005157	V2	Metagenomic	MGYS00000410	ERR599149	SAMEA2621092	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000446	DNA	
MGYA00005158	V2	Metagenomic	MGYS00000410	ERR599021	SAMEA2620815	TARA_20100707T1217Z_064_Combined-EVENTS_CAST_MB_M_(1000 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000408	DNA	
MGYA00005159	V2	Metagenomic	MGYS00000410	ERR599020	SAMEA2622429	TARA_20110522T1320Z_110_Combined-EVENTS_CAST_MB_M_(380 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001079	DNA	
