SampleAccession	ENAAccessions	SampleTitle	Latitude	Longitude	DepthAnnotation	DepthM	SamplingSite	ProtocolLabel	NucleicAcid	SizeFractionMicrometre	CollectionDateStart	CollectionDateEnd	EnvironmentFeature	EnvironmentMaterial	BroadContext	LocalContext	Temperature	Salinity	Status	MetadataStudyAccessions	ValidCoordinates
SAMEA2619818	SAMEA2619818;ERS488569	TARA_20100111T0721Z_032_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001035	23.36	37.2183	5	5	TARA_032	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-01-11	2010-01-11	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619840	SAMEA2619840;ERS488599	TARA_20100111T1417Z_032_EVENT_PUMP_P_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001037	23.4183	37.245	80	80	TARA_032	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-01-11	2010-01-11	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2619857	SAMEA2619857;ERS488621	TARA_20100113T0716Z_033_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001234	21.9467	38.2517	5	5	TARA_033	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-01-13	2010-01-13	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619879	ERS488649;SAMEA2619879	TARA_20100120T0427Z_034_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000003	18.3967	39.875	5	5	TARA_034	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-01-20	2010-01-20	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619907	ERS488685;SAMEA2619907	TARA_20100120T1150Z_034_EVENT_PUMP_P_D_(60 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000029	18.4417	39.8567	60	60	TARA_034	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-01-20	2010-01-20	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2619927	SAMEA2619927;ERS488714	TARA_20100312T0606Z_036_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000034	20.8183	63.5047	5	5	TARA_036	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-03-12	2010-03-12	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619952	SAMEA2619952;ERS488747	TARA_20100312T1223Z_036_EVENT_PUMP_P_D_(17 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000035	20.8222	63.5133	17	17	TARA_036	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-03-12	2010-03-12	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2619970	ERS488769;SAMEA2619970	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MB_M_(600 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000315	20.8457	63.5851	600	600	TARA_037	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-03-12	2010-03-13	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)			public	PRJEB7988;PRJEB6608	True
SAMEA2620000	ERS488799;SAMEA2620000	TARA_20100315T0335Z_038_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000066	19.0393	64.4913	5	5	TARA_038	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-03-15	2010-03-15	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2620021	ERS488830;SAMEA2620021	TARA_20100315T1118Z_038_EVENT_PUMP_P_D_(25 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000073	19.0284	64.5126	25	25	TARA_038	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-03-15	2010-03-15	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2620035	SAMEA2620035;ERS488849	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MB_M_(340 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000071	19.0351	64.5638	340	340	TARA_038	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-03-16	2010-03-16	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)			public	PRJEB7988;PRJEB6608	True
SAMEA2620081	ERS488916;SAMEA2620081	TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000085	18.5839	66.4727	25	25	TARA_039	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-03-18	2010-03-18	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2620084	ERS488919;SAMEA2620084	TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_BACT_NUC-DNA(100L)_W1.6-20_TARA_B100000105	18.5839	66.4727	25	25	TARA_039	BACT_NUC-DNA(100L)_W1.6-20	DNA	1.6-20	2010-03-18	2010-03-18	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB22493;PRJEB1787	True
SAMEA2620097	ERS488936;SAMEA2620097	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MB_M_(270 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000097	18.7341	66.3896	270	270	TARA_039	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-03-20	2010-03-20	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)			public	PRJEB7988;PRJEB6610	True
SAMEA2620194	ERS489043;SAMEA2620194	TARA_20100330T0247Z_041_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000282	14.6059	69.9776	5	5	TARA_041	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-03-29	2010-03-30	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2620217	ERS489074;SAMEA2620217	TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000287	14.5536	70.0128	60	60	TARA_041	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-03-29	2010-03-30	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2620230	SAMEA2620230;ERS489087	TARA_20100404T0247Z_042_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000123	6.0001	73.8955	5	5	TARA_042	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-04-03	2010-04-04	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2620259	ERS489134;SAMEA2620259	TARA_20100404T0950Z_042_EVENT_PUMP_P_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000131	5.9998	73.9067	80	80	TARA_042	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-04-03	2010-04-04	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2620339	ERS489236;SAMEA2620339	TARA_20100413T0321Z_045_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000161	0.0033	71.6428	5	5	TARA_045	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-04-12	2010-04-13	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2620404	ERS489315;SAMEA2620404	TARA_20100419T0756Z_048_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000242	-9.3921	66.4228	5	5	TARA_048	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-04-18	2010-04-19	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2620542	ERS489529;SAMEA2620542	TARA_20100517T0410Z_052_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000212	-16.957	53.9801	5	5	TARA_052	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-05-16	2010-05-17	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2620570	ERS489585;SAMEA2620570	TARA_20100517T1142Z_052_EVENT_PUMP_P_D_(75 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000214	-16.9534	53.9601	75	75	TARA_052	BACT_NUC-RNA(10L-or-10min)_W0.22-1.6	RNA	0.22-1.6	2010-05-16	2010-05-17	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2620651	ERS489712;SAMEA2620651	TARA_20100626T0705Z_056_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000609	-15.3424	43.2965	5	5	TARA_056	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-06-25	2010-06-26	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2620666	SAMEA2620666;ERS489727	TARA_20100626T0713Z_056_EVENT_CAST_B5_M_(1000 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000378	-15.3379	43.2948	1000	1000	TARA_056	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-06-25	2010-06-26	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2620672	ERS489733;SAMEA2620672	TARA_20100627T1205Z_057_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000565	-17.0248	42.7401	5	5	TARA_057	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-06-26	2010-06-27	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB1787	True
SAMEA2620734	ERS489846;SAMEA2620734	TARA_20100629T1500Z_058_EVENT_PUMP_P_D_(66 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000557	-17.2855	42.2866	66	66	TARA_058	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-06-28	2010-06-29	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2620756	SAMEA2620756;ERS489877	TARA_20100703T0809Z_062_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000532	-22.3368	40.3412	5	5	TARA_062	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-02	2010-07-03	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2620786	ERS489917;SAMEA2620786	TARA_20100707T0448Z_064_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000401	-29.5019	37.9889	5	5	TARA_064	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-06	2010-07-07	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2620815	ERS489987;SAMEA2620815	TARA_20100707T1217Z_064_Combined-EVENTS_CAST_MB_M_(1000 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000408	-29.5046	37.9599	1000	1000	TARA_064	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-06	2010-07-07	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2620828	ERS490002;SAMEA2620828	TARA_20100708T0621Z_064_EVENT_PUMP_P_D_(65 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000405	-29.5333	37.9117	65	65	TARA_064	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-07	2010-07-08	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2620855	ERS490029;SAMEA2620855	TARA_20100712T0559Z_065_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000437	-35.1728	26.2868	5	5	TARA_065	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-11	2010-07-12	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB1787	True
SAMEA2620882	SAMEA2620882;ERS490065	TARA_20100712T0650Z_065_Combined-EVENTS_CAST_MB_M_(850 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000460	-35.1889	26.2905	850	850	TARA_065	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-11	2010-07-12	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2620890	ERS490085;SAMEA2620890	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000441	-35.2421	26.3048	30	30	TARA_065	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-11	2010-07-12	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2620929	SAMEA2620929;ERS490124	TARA_20100715T1222Z_066_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000475	-34.9449	17.9189	5	5	TARA_066	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-14	2010-07-15	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB1787	True
SAMEA2620950	ERS490163;SAMEA2620950	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_MB_D_(30 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000477	-34.8901	18.0459	30	30	TARA_066	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-07-14	2010-07-15	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2620970	SAMEA2620970;ERS490183	TARA_20100907T0619Z_067_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000497	-32.2401	17.7103	5	5	TARA_067	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-09-06	2010-09-07	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB1787	True
SAMEA2620995	SAMEA2620995;ERS490230	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MB_M_(700 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000470	-31.0198	4.6685	700	700	TARA_068	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2010-09-12	2010-09-13	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
