GenomeID	Completeness	Contamination	QualityScore	MIMAGQuality	EcosystemCategory
3300020476_23	72.37	2.85	58.12	MQ	Aquatic
3300014060_16	74.07	0	74.07	MQ	Aquatic
3300027137_10	61.31	0.54	58.61	MQ	Aquatic
3300020468_20	84.53	3.2	68.53	MQ	Aquatic
3300026279_4	91.32	0.84	87.12	MQ	Aquatic
3300024333_14	87.59	0.99	82.64	MQ	Aquatic
3300020307_7	68.23	0.23	67.08	MQ	Aquatic
3300018424_19	91.36	1.71	82.81	MQ	Aquatic
3300027162_11	74.95	0.85	70.7	MQ	Aquatic
3300014208_126	63.12	0	63.12	MQ	Aquatic
3300026201_28	50.3	0	50.3	MQ	Aquatic
3300026080_22	77.36	1.53	69.71	MQ	Aquatic
3300020214_15	90.48	1.68	82.08	HQ	Aquatic
3300023208_15	72.6	1.88	63.2	MQ	Aquatic
3300025590_16	88.52	2.66	75.22	MQ	Aquatic
3300021425_11	97.73	1.14	92.03	HQ	Aquatic
3300027878_42	51.72	0.07	51.37	MQ	Aquatic
3300026509_8	69.02	0	69.02	MQ	Aquatic
3300025785_10	82.05	1.28	75.65	MQ	Aquatic
3300027834_151	99.57	0.65	96.32	HQ	Aquatic
3300000342_9	74.75	0.74	71.05	MQ	Aquatic
3300027819_115	79.13	0	79.13	MQ	Aquatic
3300009760_5	98.86	3.41	81.81	HQ	Aquatic
3300000347_6	76.31	2.3	64.81	MQ	Aquatic
3300013131_122	82.8	0	82.8	MQ	Aquatic
3300024054_26	74.14	0	74.14	MQ	Aquatic
3300020578_46	91.37	3.16	75.57	MQ	Aquatic
3300025892_32	89.53	1.69	81.08	MQ	Aquatic
3300026259_11	92.72	1.22	86.62	HQ	Aquatic
3300025658_15	53.48	0.68	50.08	MQ	Aquatic
3300025869_35	84.23	0.99	79.28	MQ	Aquatic
3300017989_39	90.11	3.3	73.61	MQ	Aquatic
3300027220_1	91.36	1.85	82.11	HQ	Aquatic
3300023273_42	59.19	0.73	55.54	MQ	Aquatic
3300027418_10	60.59	1.51	53.04	MQ	Aquatic
3300027832_37	96.88	1.54	89.18	MQ	Aquatic
3300027819_156	67.92	0	67.92	MQ	Aquatic
3300027844_15	99.66	0.17	98.81	MQ	Aquatic
3300027241_12	60.49	1.72	51.89	MQ	Aquatic
3300003894_37	74	0.8	70	MQ	Aquatic
3300005101_14	62.05	1.62	53.95	MQ	Aquatic
3300026261_37	76.15	0	76.15	MQ	Aquatic
3300025622_29	95.93	0.41	93.88	MQ	Aquatic
3300024301_28	94.44	2.1	83.94	MQ	Aquatic
3300027792_11	78.93	2.85	64.68	MQ	Aquatic
3300027976_35	98.58	0.16	97.78	HQ	Aquatic
3300020153_16	79.06	2.91	64.51	MQ	Aquatic
3300027820_56	50	0	50	MQ	Aquatic
3300000158_7	71.94	2.84	57.74	MQ	Aquatic
3300027818_12	95.45	4.08	75.05	HQ	Aquatic
3300025643_37	65.96	2.95	51.21	MQ	Aquatic
3300025775_36	76.78	0	76.78	MQ	Aquatic
3300026237_1	93.43	0.15	92.68	MQ	Aquatic
3300013126_49	81.99	1.02	76.89	MQ	Aquatic
3300017526_28	89.21	4.24	68.01	MQ	Aquatic
3300027897_52	92	0.86	87.7	MQ	Aquatic
3300020200_49	79.44	2.02	69.34	MQ	Aquatic
3300027863_29	94.59	3.07	79.24	MQ	Aquatic
3300020301_7	91.67	0.27	90.32	MQ	Aquatic
3300020418_11	91.53	0.91	86.98	MQ	Aquatic
3300007722_36	92.84	0.65	89.59	MQ	Aquatic
3300017989_87	77.26	0	77.26	MQ	Aquatic
3300015360_79	98.9	0.2	97.9	MQ	Aquatic
3300027721_7	73.97	2.83	59.82	MQ	Aquatic
3300025658_17	73.02	0.62	69.92	MQ	Aquatic
3300000425_6	74.39	3.38	57.49	MQ	Aquatic
3300026877_11	57.74	0	57.74	MQ	Aquatic
3300021093_64	66.56	0.48	64.16	MQ	Aquatic
3300017395_8	81.06	2.44	68.86	MQ	Aquatic
3300022744_11	94.1	1.46	86.8	MQ	Aquatic
3300018021_27	71.78	0	71.78	MQ	Aquatic
3300000496_1	67.43	2.35	55.68	MQ	Aquatic
3300025105_33	95.37	1.01	90.32	MQ	Aquatic
3300022916_16	97.6	2.97	82.75	HQ	Aquatic
3300027819_126	70.73	3.47	53.38	MQ	Aquatic
3300020179_45	86.46	2.64	73.26	MQ	Aquatic
3300017963_91	80.46	3.45	63.21	MQ	Aquatic
3300013136_159	55.45	0	55.45	MQ	Aquatic
3300027790_9	88.81	0.5	86.31	MQ	Aquatic
3300021123_8	69.31	0.28	67.91	MQ	Aquatic
3300018035_13	94.61	0.65	91.36	MQ	Aquatic
3300007722_113	68.52	0	68.52	MQ	Aquatic
3300027697_24	74.02	0.66	70.72	MQ	Aquatic
3300013123_147	69.94	0.07	69.59	MQ	Aquatic
3300025669_42	57.35	0.46	55.05	MQ	Aquatic
3300020677_3	80.36	1.26	74.06	MQ	Aquatic
3300020603_23	94.09	1.29	87.64	MQ	Aquatic
3300023108_25	85.73	0.8	81.73	MQ	Aquatic
3300012186_12	54.27	0.85	50.02	MQ	Aquatic
3300027878_49	67.24	0	67.24	MQ	Aquatic
3300020389_45	68.76	0	68.76	MQ	Aquatic
3300023208_49	57.26	0	57.26	MQ	Aquatic
3300002481_13	98.18	0.83	94.03	HQ	Aquatic
3300029890_10	96.59	1.14	90.89	MQ	Aquatic
3300027212_1	78.18	0.76	74.38	MQ	Aquatic
3300012950_7	91.16	0.68	87.76	MQ	Aquatic
3300013137_401	63.39	0.85	59.14	MQ	Aquatic
3300020201_37	92.74	0.85	88.49	HQ	Aquatic
3300022832_5	84.85	1.45	77.6	MQ	Aquatic
3300027800_69	69.73	0	69.73	MQ	Aquatic
3300009703_34	74.79	1.68	66.39	MQ	Aquatic
3300025371_8	65.17	0.38	63.27	MQ	Aquatic
3300027850_14	75.73	2.73	62.08	MQ	Aquatic
3300026267_13	87.91	1.1	82.41	MQ	Aquatic
3300000233_24	60.97	2.14	50.27	MQ	Aquatic
3300017400_34	99.07	3.74	80.37	HQ	Aquatic
3300024344_35	76.21	0.97	71.36	MQ	Aquatic
3300014819_4	65.69	0.33	64.04	MQ	Aquatic
3300025644_28	87.16	0.23	86.01	MQ	Aquatic
3300020344_22	74	0	74	MQ	Aquatic
3300023273_23	82.52	4.13	61.87	MQ	Aquatic
3300018080_56	63.4	0.05	63.15	MQ	Aquatic
3300018018_16	72.73	3.01	57.68	MQ	Aquatic
3300018035_11	81.95	2.2	70.95	MQ	Aquatic
3300025351_13	85.67	0	85.67	MQ	Aquatic
3300027216_3	86	1.34	79.3	MQ	Aquatic
3300021469_13	60.94	0.54	58.24	MQ	Aquatic
3300020057_25	56.83	0	56.83	MQ	Aquatic
3300025061_6	100	1.22	93.9	MQ	Aquatic
3300027749_40	80.12	2.83	65.97	MQ	Aquatic
3300009702_80	76.69	1.27	70.34	MQ	Aquatic
3300020213_20	100	0.55	97.25	MQ	Aquatic
3300027778_7	96.67	1.5	89.17	HQ	Aquatic
3300020376_9	94.35	1.08	88.95	MQ	Aquatic
3300007519_95	75.43	0	75.43	MQ	Aquatic
3300020452_21	73.66	0.86	69.36	MQ	Aquatic
3300027367_7	54.28	0	54.28	MQ	Aquatic
3300025449_2	82.1	2.46	69.8	MQ	Aquatic
3300020358_16	77.59	0	77.59	MQ	Aquatic
3300020057_51	69.8	0	69.8	MQ	Aquatic
3300013131_89	68.8	0.38	66.9	MQ	Aquatic
3300027506_10	86.5	0.15	85.75	MQ	Aquatic
3300013138_269	54.02	0	54.02	MQ	Aquatic
3300025103_13	60.75	0	60.75	MQ	Aquatic
3300000575_20	67.64	1.4	60.64	MQ	Aquatic
3300028298_11	87.65	1.2	81.65	MQ	Aquatic
3300025729_34	71.29	0.2	70.29	MQ	Aquatic
3300009702_73	74.2	1.79	65.25	MQ	Aquatic
3300025584_21	62.67	0	62.67	MQ	Aquatic
3300020214_69	57.63	0	57.63	MQ	Aquatic
3300025181_3	77.59	3.45	60.34	MQ	Aquatic
3300005253_34	70.1	0	70.1	MQ	Aquatic
3300024259_45	74.36	1.92	64.76	MQ	Aquatic
3300027815_198	72.43	0	72.43	MQ	Aquatic
3300000234_32	80.11	1.24	73.91	MQ	Aquatic
3300013138_190	58.74	0	58.74	MQ	Aquatic
3300025488_8	90.11	2.2	79.11	HQ	Aquatic
3300012116_2	97.24	0.73	93.59	MQ	Aquatic
3300027329_4	92.17	1.89	82.72	HQ	Aquatic
3300018004_18	87.72	3.23	71.57	MQ	Aquatic
3300021091_44	99.73	0	99.73	MQ	Aquatic
3300014913_23	84.8	3.02	69.7	MQ	Aquatic
3300023239_11	64.86	1.68	56.46	MQ	Aquatic
3300026321_7	92.1	1.72	83.5	MQ	Aquatic
3300027515_29	94.02	4.27	72.67	HQ	Aquatic
3300020477_42	94.44	2.2	83.44	HQ	Aquatic
3300020389_16	94.44	3.58	76.54	MQ	Aquatic
3300020328_5	75.44	1.31	68.89	MQ	Aquatic
3300017990_36	77.51	0.72	73.91	MQ	Aquatic
3300008012_14	80.41	1.68	72.01	MQ	Aquatic
3300014720_61	71.11	4.05	50.86	MQ	Aquatic
3300027835_190	68.91	2.25	57.66	MQ	Aquatic
3300027796_16	96.7	0.47	94.35	MQ	Aquatic
3300018004_15	93.68	3.42	76.58	HQ	Aquatic
3300027976_18	80.05	0.59	77.1	MQ	Aquatic
3300012263_3	78.09	2.08	67.69	MQ	Aquatic
3300005722_5	75.99	0	75.99	MQ	Aquatic
3300025350_16	93.85	0.32	92.25	MQ	Aquatic
3300027339_2	99.8	0	99.8	MQ	Aquatic
3300012271_9	76.51	1.12	70.91	MQ	Aquatic
3300025277_12	99.66	0.36	97.86	MQ	Aquatic
3300020423_66	70.33	0	70.33	MQ	Aquatic
3300024502_6	99.58	0	99.58	MQ	Aquatic
3300017453_36	73.15	0	73.15	MQ	Aquatic
3300005662_42	71.04	2.52	58.44	MQ	Aquatic
3300022884_4	89.83	1.69	81.38	MQ	Aquatic
3300028419_8	94.06	0.99	89.11	HQ	Aquatic
3300026204_16	70.91	1.55	63.16	MQ	Aquatic
3300012268_6	80.83	2.2	69.83	MQ	Aquatic
3300013137_26	84.58	2.52	71.98	MQ	Aquatic
3300026091_8	71.67	0	71.67	MQ	Aquatic
3300000233_27	79.37	4.07	59.02	MQ	Aquatic
3300005613_22	69.49	1.69	61.04	MQ	Aquatic
3300025462_20	51.01	0	51.01	MQ	Aquatic
3300027685_13	91.62	0.54	88.92	MQ	Aquatic
3300000342_10	94.64	0	94.64	MQ	Aquatic
3300017400_26	96.2	2.11	85.65	MQ	Aquatic
3300013006_49	88.11	0.09	87.66	MQ	Aquatic
3300000354_2	63.32	1	58.32	MQ	Aquatic
3300014159_15	88.73	1.66	80.43	MQ	Aquatic
3300027719_31	95.27	0	95.27	MQ	Aquatic
3300013099_32	98.64	0.41	96.59	MQ	Aquatic
3300020197_74	86.11	0	86.11	MQ	Aquatic
3300022905_44	63.17	2.2	52.17	MQ	Aquatic
3300014153_10	91.61	3.55	73.86	HQ	Aquatic
3300000477_4	89.78	3.9	70.28	MQ	Aquatic
3300027976_12	97.22	0.25	95.97	HQ	Aquatic
3300028398_41	72.34	1.7	63.84	MQ	Aquatic
3300024264_19	84.63	1.59	76.68	MQ	Aquatic
3300000361_15	71.45	4.09	51	MQ	Aquatic
3300009503_137	93.34	0	93.34	MQ	Aquatic
3300005512_39	62.89	0.37	61.04	MQ	Aquatic
3300026519_20	94.94	2.14	84.24	MQ	Aquatic
3300027739_28	71.24	1.72	62.64	MQ	Aquatic
3300022188_17	85.38	2.78	71.48	MQ	Aquatic
3300020355_12	81.2	2.64	68	MQ	Aquatic
3300027294_9	79.03	0.54	76.33	MQ	Aquatic
3300017398_7	77.64	2.27	66.29	MQ	Aquatic
3300027719_81	63.87	0	63.87	MQ	Aquatic
3300000193_22	61.81	1.94	52.11	MQ	Aquatic
3300013137_206	66.83	0.5	64.33	MQ	Aquatic
3300027885_7	96.59	1.14	90.89	HQ	Aquatic
3300020052_43	50.9	0	50.9	MQ	Aquatic
3300019750_1	98.67	0	98.67	HQ	Aquatic
3300027630_3	65.69	1.26	59.39	MQ	Aquatic
3300000227_31	57.73	0	57.73	MQ	Aquatic
3300024358_3	99.58	0	99.58	MQ	Aquatic
3300027863_66	90.37	2.02	80.27	MQ	Aquatic
3300027493_9	62.29	0	62.29	MQ	Aquatic
3300025180_2	92.97	0	92.97	MQ	Aquatic
3300027819_241	93.38	0.93	88.73	MQ	Aquatic
3300014911_39	60.56	1.19	54.61	MQ	Aquatic
3300025446_16	96.73	0.65	93.48	HQ	Aquatic
3300020196_68	81.4	1.39	74.45	MQ	Aquatic
3300020204_28	89.37	0.28	87.97	MQ	Aquatic
3300005613_52	93.93	0.93	89.28	HQ	Aquatic
3300027185_1	92.96	0.76	89.16	HQ	Aquatic
3300025458_8	86.43	0.55	83.68	MQ	Aquatic
3300012265_6	66.96	1.24	60.76	MQ	Aquatic
3300027541_5	60.44	0	60.44	MQ	Aquatic
3300000394_6	91.69	4.7	68.19	MQ	Aquatic
3300028175_19	55.28	0	55.28	MQ	Aquatic
3300026262_16	80.16	2.75	66.41	MQ	Aquatic
3300020193_65	66.14	0	66.14	MQ	Aquatic
3300000447_8	73.67	1.93	64.02	MQ	Aquatic
3300027677_13	83.37	2.64	70.17	MQ	Aquatic
3300021502_10	61.2	2.09	50.75	MQ	Aquatic
3300028198_16	56.08	0	56.08	MQ	Aquatic
3300025897_34	89.07	4.16	68.27	MQ	Aquatic
3300025498_18	88.4	0.8	84.4	MQ	Aquatic
3300027700_23	67.43	0	67.43	MQ	Aquatic
3300027983_46	99.15	0.85	94.9	MQ	Aquatic
3300021093_43	94.82	1.95	85.07	HQ	Aquatic
3300018025_19	79.94	1.16	74.14	MQ	Aquatic
3300021487_5	100	2.97	85.15	MQ	Aquatic
3300025648_37	78.36	0	78.36	MQ	Aquatic
3300020348_17	68.07	0	68.07	MQ	Aquatic
3300027820_33	98.94	0.43	96.79	MQ	Aquatic
3300024979_5	88.54	1.79	79.59	MQ	Aquatic
3300026204_31	86.8	0	86.8	MQ	Aquatic
3300014574_1	93.75	0.03	93.6	MQ	Aquatic
3300025712_28	62.94	1.15	57.19	MQ	Aquatic
3300025362_8	66.12	0	66.12	MQ	Aquatic
3300025775_10	87.16	2.03	77.01	MQ	Aquatic
3300020316_6	75.41	2.31	63.86	MQ	Aquatic
3300026260_82	55.17	0	55.17	MQ	Aquatic
3300013094_35	79.05	1.62	70.95	MQ	Aquatic
3300022931_33	72.7	2.47	60.35	MQ	Aquatic
3300026512_23	85.08	3.43	67.93	MQ	Aquatic
3300027302_10	85.21	1.79	76.26	MQ	Aquatic
3300027323_36	99.19	0	99.19	MQ	Aquatic
3300027157_6	65.06	0.62	61.96	MQ	Aquatic
3300020139_55	71.6	0.93	66.95	MQ	Aquatic
3300025349_10	93.22	0	93.22	HQ	Aquatic
3300014155_25	58.93	1.28	52.53	MQ	Aquatic
3300000866_7	92.2	1.1	86.7	HQ	Aquatic
3300013137_209	66.22	0.86	61.92	MQ	Aquatic
3300028195_32	61.39	2.09	50.94	MQ	Aquatic
3300027492_9	81.64	1.34	74.94	MQ	Aquatic
3300025380_4	75.71	0.86	71.41	MQ	Aquatic
3300027863_141	95.76	1.85	86.51	MQ	Aquatic
3300021513_12	98.53	2.21	87.48	MQ	Aquatic
3300027746_7	89.54	4.39	67.59	MQ	Aquatic
3300026531_28	81.76	0.82	77.66	MQ	Aquatic
3300025812_18	70.74	0.65	67.49	MQ	Aquatic
3300027375_13	75.15	2.01	65.1	MQ	Aquatic
3300025361_16	85.67	0	85.67	MQ	Aquatic
3300013123_117	71.45	0.99	66.5	MQ	Aquatic
3300013286_17	61.55	1.05	56.3	MQ	Aquatic
3300025373_17	86.71	2.53	74.06	MQ	Aquatic
3300000412_1	93.32	3.05	78.07	HQ	Aquatic
3300027720_21	56.95	0.18	56.05	MQ	Aquatic
3300025532_5	97.83	1.09	92.38	MQ	Aquatic
3300000227_3	91.89	2.3	80.39	HQ	Aquatic
3300022931_8	81.64	3.3	65.14	MQ	Aquatic
3300027791_6	91.23	4.94	66.53	MQ	Aquatic
3300025105_3	98.02	1.98	88.12	HQ	Aquatic
3300009503_168	82.19	1.68	73.79	MQ	Aquatic
3300025707_6	82.24	4.49	59.79	MQ	Aquatic
3300013103_78	55.55	0.61	52.5	MQ	Aquatic
3300024433_34	77.61	2.56	64.81	MQ	Aquatic
3300013137_155	61.11	0	61.11	MQ	Aquatic
3300023242_4	87	1.48	79.6	MQ	Aquatic
3300027149_15	60.17	0	60.17	MQ	Aquatic
3300027804_52	64.05	0.18	63.15	MQ	Aquatic
3300025043_2	99.95	0.7	96.45	MQ	Aquatic
3300017963_73	80.14	0	80.14	MQ	Aquatic
3300009503_202	65.8	0.86	61.5	MQ	Aquatic
3300014149_29	93.75	0	93.75	HQ	Aquatic
3300025478_12	86.28	2.43	74.13	MQ	Aquatic
3300025603_4	99.35	3.98	79.45	HQ	Aquatic
3300013010_4	78.16	4.87	53.81	MQ	Aquatic
3300025590_14	82.59	1.59	74.64	MQ	Aquatic
3300028198_13	96.95	1.98	87.05	HQ	Aquatic
3300027733_32	51.72	0	51.72	MQ	Aquatic
3300021472_37	66.25	0.99	61.3	MQ	Aquatic
3300017400_49	95.33	1.87	85.98	MQ	Aquatic
3300004097_84	68.65	0.92	64.05	MQ	Aquatic
3300021419_15	94.63	0.31	93.08	MQ	Aquatic
3300009084_76	79.31	1.72	70.71	MQ	Aquatic
3300017405_2	59.25	0.83	55.1	MQ	Aquatic
3300025681_22	96.95	1.98	87.05	HQ	Aquatic
3300025649_14	97.04	0.33	95.39	MQ	Aquatic
3300003483_2	98.75	0	98.75	MQ	Aquatic
3300028156_13	85.86	1.48	78.46	MQ	Aquatic
3300013093_22	72	1.24	65.8	MQ	Aquatic
3300027704_20	62.79	0.56	59.99	MQ	Aquatic
3300026202_4	92.37	1.29	85.92	HQ	Aquatic
3300017449_22	70.89	0	70.89	MQ	Aquatic
3300009083_107	82.87	1.39	75.92	MQ	Aquatic
3300025665_13	81.32	3.3	64.82	MQ	Aquatic
3300027819_85	71.26	1.14	65.56	MQ	Aquatic
3300026293_8	89.09	0.91	84.54	MQ	Aquatic
3300025608_15	83.1	1.72	74.5	MQ	Aquatic
3300027719_52	67.72	0	67.72	MQ	Aquatic
3300014656_18	97.31	0.72	93.71	MQ	Aquatic
3300027742_35	91.76	1.65	83.51	MQ	Aquatic
3300025840_11	84.23	2.69	70.78	MQ	Aquatic
3300017929_26	96.26	0	96.26	MQ	Aquatic
3300027834_22	99.24	0.03	99.09	MQ	Aquatic
3300020194_27	64.73	0.03	64.58	MQ	Aquatic
3300021504_6	98.57	2.38	86.67	HQ	Aquatic
3300020460_50	58.91	0	58.91	MQ	Aquatic
3300027752_40	66.94	0.49	64.49	MQ	Aquatic
3300025789_7	70.51	3.92	50.91	MQ	Aquatic
3300027896_28	95.63	3.01	80.58	HQ	Aquatic
3300025695_21	74.25	1.67	65.9	MQ	Aquatic
3300005838_15	99.19	2.42	87.09	HQ	Aquatic
3300027800_61	64.07	0	64.07	MQ	Aquatic
3300027977_50	70.44	0	70.44	MQ	Aquatic
3300005611_11	91.35	0.58	88.45	HQ	Aquatic
3300013125_173	54.72	0.31	53.17	MQ	Aquatic
3300017522_37	64.83	0	64.83	MQ	Aquatic
3300025372_2	76.94	0.53	74.29	MQ	Aquatic
3300026201_26	67.64	2.1	57.14	MQ	Aquatic
3300007345_18	68.97	0.83	64.82	MQ	Aquatic
3300020428_31	58.03	0	58.03	MQ	Aquatic
3300005086_15	83.7	0.87	79.35	MQ	Aquatic
3300027736_32	62.71	1.93	53.06	MQ	Aquatic
3300000234_16	93.93	4.68	70.53	MQ	Aquatic
3300020477_10	96.7	2.2	85.7	HQ	Aquatic
3300025360_11	86.41	0	86.41	MQ	Aquatic
3300013123_152	50.85	0	50.85	MQ	Aquatic
3300027329_13	51.38	0.07	51.03	MQ	Aquatic
3300025248_12	72.67	1.15	66.92	MQ	Aquatic
3300017402_7	87.93	1.9	78.43	MQ	Aquatic
3300025832_25	78.95	1.4	71.95	MQ	Aquatic
3300027839_41	91.56	1.36	84.76	MQ	Aquatic
3300028162_13	96	1.56	88.2	MQ	Aquatic
3300017532_31	72.54	3.25	56.29	MQ	Aquatic
3300025430_2	77.98	0.34	76.28	MQ	Aquatic
3300017987_81	91.98	0	91.98	MQ	Aquatic
3300005298_12	91.38	0	91.38	HQ	Aquatic
3300020200_13	97.75	0.13	97.1	MQ	Aquatic
3300013128_14	92.31	3.3	75.81	MQ	Aquatic
3300018033_8	96.45	0.65	93.2	HQ	Aquatic
3300012186_15	58.36	0	58.36	MQ	Aquatic
3300024264_22	90.07	0.56	87.27	MQ	Aquatic
3300013094_16	99.51	0	99.51	MQ	Aquatic
3300013125_82	89.61	3.76	70.81	MQ	Aquatic
3300013014_116	50.03	0	50.03	MQ	Aquatic
3300020198_55	66.24	1.23	60.09	MQ	Aquatic
3300027896_55	98.6	4.67	75.25	MQ	Aquatic
3300022871_4	79.19	5	54.19	MQ	Aquatic
3300005081_14	66.31	2.27	54.96	MQ	Aquatic
3300000151_27	75.07	0.66	71.77	MQ	Aquatic
3300026261_18	76.36	0	76.36	MQ	Aquatic
3300005962_5	97.53	0.82	93.43	HQ	Aquatic
3300021591_2	90.54	2.56	77.74	HQ	Aquatic
3300025276_1	95.59	4.45	73.34	MQ	Aquatic
3300028297_9	63.44	2.3	51.94	MQ	Aquatic
3300012530_9	75.65	2.7	62.15	MQ	Aquatic
3300021124_1	94.69	1.92	85.09	MQ	Aquatic
3300025608_21	78.41	0	78.41	MQ	Aquatic
3300025874_38	72.26	0.43	70.11	MQ	Aquatic
3300027800_52	95.41	1.34	88.71	MQ	Aquatic
3300025894_15	79.44	2.47	67.09	MQ	Aquatic
3300028399_24	98.64	0.91	94.09	MQ	Aquatic
3300018017_6	86.05	3.48	68.65	MQ	Aquatic
3300025897_39	82.69	0.49	80.24	MQ	Aquatic
3300020398_3	99.17	1.43	92.02	MQ	Aquatic
3300020183_27	89.98	1.23	83.83	MQ	Aquatic
3300027743_16	76.7	1.14	71	MQ	Aquatic
3300028284_9	97.9	0.43	95.75	HQ	Aquatic
3300012182_7	97.85	1.61	89.8	MQ	Aquatic
3300020359_7	70.21	3.3	53.71	MQ	Aquatic
3300020578_68	92.67	0	92.67	HQ	Aquatic
3300017518_39	95.09	0.24	93.89	HQ	Aquatic
3300025052_6	73.34	0.31	71.79	MQ	Aquatic
3300024968_5	72.93	3.45	55.68	MQ	Aquatic
3300027820_16	95.19	1.23	89.04	MQ	Aquatic
3300013094_64	72.22	3.1	56.72	MQ	Aquatic
3300013138_216	66.28	0	66.28	MQ	Aquatic
3300026453_5	65.8	0.56	63	MQ	Aquatic
3300017960_16	84.1	2.37	72.25	MQ	Aquatic
3300021509_8	78.71	0.43	76.56	MQ	Aquatic
3300001419_18	83.88	0.55	81.13	MQ	Aquatic
3300020710_5	80.92	2.11	70.37	MQ	Aquatic
3300027819_155	69.8	0.5	67.3	MQ	Aquatic
3300027144_6	87.96	1.4	80.96	MQ	Aquatic
3300021378_24	83.37	3.49	65.92	MQ	Aquatic
3300027687_12	89.05	0.31	87.5	MQ	Aquatic
3300027804_59	68.61	2.06	58.31	MQ	Aquatic
3300027791_22	70.09	0.85	65.84	MQ	Aquatic
3300013138_251	55.94	0	55.94	MQ	Aquatic
3300028177_18	78.16	1.55	70.41	MQ	Aquatic
3300017963_27	97.74	2.2	86.74	MQ	Aquatic
3300026264_26	86.26	1.1	80.76	MQ	Aquatic
3300020684_2	68.42	0	68.42	MQ	Aquatic
3300013128_41	68.88	1.34	62.18	MQ	Aquatic
3300018035_6	91.61	2.26	80.31	HQ	Aquatic
3300017480_30	95.32	2.87	80.97	MQ	Aquatic
3300014158_9	82.76	1.72	74.16	MQ	Aquatic
3300000162_3	97.97	2.85	83.72	MQ	Aquatic
3300009083_142	54.92	0.48	52.52	MQ	Aquatic
3300027962_18	93.06	2.74	79.36	HQ	Aquatic
3300025662_24	84	1.2	78	MQ	Aquatic
3300024180_6	97.04	1.05	91.79	MQ	Aquatic
3300003839_1	99.4	0.6	96.4	MQ	Aquatic
3300026519_29	94.3	0.44	92.1	HQ	Aquatic
3300014656_25	79.33	0	79.33	MQ	Aquatic
3300013137_76	76.63	1.15	70.88	MQ	Aquatic
3300027806_31	69.42	1.76	60.62	MQ	Aquatic
3300012527_19	82.66	0.74	78.96	MQ	Aquatic
3300027863_188	76.79	4.05	56.54	MQ	Aquatic
3300025093_13	99.68	0	99.68	HQ	Aquatic
3300027841_16	80.77	1.75	72.02	MQ	Aquatic
3300025584_31	76.22	0.99	71.27	MQ	Aquatic
3300027792_10	78.56	2.62	65.46	MQ	Aquatic
3300025659_37	95.53	1.22	89.43	MQ	Aquatic
3300025132_7	82.65	0.93	78	MQ	Aquatic
3300025676_33	63.13	0	63.13	MQ	Aquatic
3300013126_61	90.86	0	90.86	MQ	Aquatic
3300027839_57	91.98	0.99	87.03	MQ	Aquatic
3300000470_5	98.91	3.55	81.16	MQ	Aquatic
