GenomeID	EcosystemCategory	Longitude	Latitude	MIMAGQuality
3300025258_8	Plants	-79.0499	35.9082	MQ
3300022661_166	Mammals	-119.667	34.4204	MQ
3300010276_26	Bioreactor	-72.1429	43.726	MQ
3300010297_7	Aquatic	-76.1104	37.1849	MQ
3300022146_11	Bioreactor	-89.4147	43.0737	MQ
3300008754_18	Human	-77.1012	39.0043	HQ
3300025730_6	Wastewater	-90.43	41.53	MQ
3300029681_14	Human	-0.12	51.5	HQ
3300008640_20	Human	-77.1012	39.0043	MQ
3300025177_1	Aquatic	82.62	-29.81	MQ
3300013017_1	Terrestrial	-79.9761	39.6018	MQ
3300014682_3	Built environment	-73.96	40.79	MQ
3300027947_1	Terrestrial	-119.272	46.372	MQ
3300020153_17	Aquatic	-119.366	40.6614	HQ
3300025644_48	Aquatic	-123.5	48.6	MQ
3300011980_61	Human	-118.444	34.0722	MQ
3300025748_11	Wastewater	-75.22	39.88	MQ
3300017958_43	Aquatic	-81.028	31.972	MQ
3300012121_5	Aquatic	78.1913	-68.5558	MQ
3300006349_4	Human	-77.1012	39.0043	MQ
3300009704_39	Wastewater	135.27	34.72	HQ
3300027791_28	Aquatic	-150.225	77.0991	HQ
3300029711_11	Human	-0.12	51.5	HQ
3300010167_67	Arthropoda	-53.0462	5.0626	MQ
3300029391_29	Human	-76.6259	39.2885	MQ
3300007124_19	Human	-77.1012	39.0043	HQ
3300027873_9	Plants	-83.9607	35.8443	MQ
3300020595_20	Aquatic	7.9	54.1841	MQ
3300006051_14	Plants	-83.9607	35.8443	MQ
3300025669_22	Aquatic	78.188	-68.4725	MQ
3300027770_17	Aquatic	-72.0994	45.4091	MQ
3300027968_33	Terrestrial	-76.3402	40.7999	MQ
3300012187_6	Aquatic	163.75	-78.0824	HQ
3300017788_94	Aquatic	29.2	-1.78	MQ
3300027832_55	Aquatic	162.445	-77.714	HQ
3300020221_56	Aquatic	29.4853	-4.9054	HQ
3300012940_21	Terrestrial	-122.29	37.83	MQ
3300011903_2	Built environment	-73.76	40.6	MQ
3300013138_81	Aquatic	29.05	-1.64	MQ
3300012864_11	Terrestrial	-89.4011	43.073	MQ
3300025216_5	Aquatic	-133.315	18.064	MQ
3300022661_97	Mammals	-119.667	34.4204	MQ
3300011738_2	Terrestrial	-72.426	43.7271	HQ
3300008154_15	Human	-77.1012	39.0043	MQ
3300007186_11	Human	-77.1012	39.0043	MQ
3300020267_4	Aquatic	-84.5304	2.0663	MQ
3300025601_2	Aquatic	78.188	-68.4725	HQ
3300026288_19	Wastewater	-89.4117	43.0762	HQ
3300017400_17	Aquatic	98.46	25.4413	MQ
3300026293_71	Aquatic	-110.798	44.534	MQ
3300023225_8	Arthropoda	-89.4125	43.0758	MQ
3300020152_12	Terrestrial	-116.255	33.3049	MQ
3300029770_39	Human	116.416	39.9119	MQ
3300025866_9	Wastewater	-87.68	41.84	HQ
3300008096_50	Human	-77.1012	39.0043	MQ
3300029046_14	Human	12.531	55.678	MQ
3300008676_11	Human	-77.1012	39.0043	MQ
3300029891_15	Aquatic	141.859	45.0453	MQ
3300012241_2	Built environment	-73.95	40.66	MQ
3300018025_13	Aquatic	-93.4828	47.5028	HQ
3300028568_31	Built environment	-123.147	49.1151	MQ
3300029098_11	Human	12.5683	55.6761	MQ
3300010275_6	Animal	-88.79	43.78	MQ
3300029871_24	Human	-0.12	51.5	HQ
3300029134_8	Human	116.416	39.9119	MQ
3300006524_25	Human	-77.1012	39.0043	MQ
3300029537_5	Human	121.465	31.2112	MQ
3300010280_28	Animal	-89.4	43.07	MQ
3300029253_5	Human	116.416	39.9119	HQ
3300028298_10	Aquatic	-124.009	49.68	MQ
3300029505_13	Human	121.468	31.2123	MQ
3300029850_13	Human	-0.12	51.5	MQ
3300029719_7	Human	-0.12	51.5	HQ
3300021484_5	Aquatic	-110.596	27.0114	MQ
3300020399_10	Aquatic	4.6606	-31.056	MQ
3300027962_13	Aquatic	-67.1932	17.9511	MQ
3300005275_16	Aquatic	-119.37	40.67	MQ
3300007977_22	Human	-77.1012	39.0043	MQ
3300011665_2	Built environment	-73.97	40.68	MQ
3300002504_2	Arthropoda	-53.0462	5.0626	MQ
3300027152_8	Aquatic	-123.183	46.1812	MQ
3300028400_41	Aquatic	-176.568	-21.9879	MQ
3300024221_16	Aquatic	-121.905	36.8313	MQ
3300028553_26	Aquatic	-1.8737	39.9879	MQ
3300007781_2	Human	-77.1012	39.0043	MQ
3300029523_3	Human	121.468	31.2123	MQ
3300005286_48	Solid waste	-121.75	38.5403	MQ
3300020603_134	Aquatic	29.4853	-4.9054	MQ
3300002037_13	Algae	151.13	-33.59	MQ
3300025689_34	Wastewater	135.27	34.72	MQ
3300003364_9	Terrestrial	7.1648	47.379	HQ
3300029131_8	Human	116.416	39.9119	MQ
3300024972_6	Aquatic	-122.16	48.3807	MQ
3300022137_11	Bioreactor	-89.4147	43.0737	MQ
3300023084_48	Aquatic	-81.028	31.972	MQ
3300005958_5	Aquatic	-110.704	44.7231	MQ
3300012859_10	Terrestrial	-89.4011	43.073	HQ
3300029184_3	Human	12.5683	55.6761	MQ
3300026255_34	Bioreactor	-122.305	47.6525	MQ
3300014203_89	Aquatic	-80.577	43.442	MQ
3300005281_28	Solid waste	-121.75	38.5403	MQ
3300020810_16	Aquatic	-81.028	31.972	HQ
3300020180_19	Aquatic	161.59	-77.5281	MQ
3300029580_12	Human	-0.12	51.5	HQ
3300027970_27	Aquatic	-1.8737	39.9879	HQ
3300008483_8	Human	-77.1012	39.0043	MQ
3300013308_26	Plants	-85.3738	42.3948	MQ
3300009790_16	Aquatic	-13.602	2.405	MQ
3300007194_13	Human	-77.1012	39.0043	HQ
3300029060_30	Human	12.531	55.678	MQ
3300014206_41	Solid waste	-80.577	43.442	MQ
3300023116_16	Aquatic	-81.028	31.972	MQ
3300029451_3	Human	121.468	31.2123	HQ
3300013482_3	Built environment	-73.97	40.75	MQ
3300029333_19	Human	-76.6259	39.2885	HQ
3300027819_79	Aquatic	-73.6044	43.0994	MQ
3300013382_11	Animal	37.1	2.717	MQ
3300007501_11	Human	-77.1012	39.0043	MQ
3300014024_8	Human	-118.444	34.0722	MQ
3300024218_10	Arthropoda	-89.4125	43.0758	MQ
3300025471_14	Wastewater	-123.1	49.25	MQ
3300009767_66	Wastewater	142.37	43.77	MQ
3300017697_16	Aquatic	-76.1811	37.1043	MQ
3300014946_18	Human	12.531	55.678	MQ
3300029000_12	Human	12.531	55.678	MQ
3300025862_28	Terrestrial	-156.61	71.299	MQ
3300014752_8	Human	12.531	55.678	MQ
3300013467_1	Built environment	-74	40.71	HQ
3300008513_11	Human	-77.1012	39.0043	MQ
3300012007_3	Mammals	-105.585	41.3142	HQ
3300029493_14	Human	-76.6259	39.2885	HQ
3300029516_11	Human	121.468	31.2123	HQ
3300006192_13	Aquatic	-76.9856	41.2451	MQ
3300013132_45	Aquatic	29.05	-1.64	MQ
3300027659_6	Aquatic	-82.8541	44.7011	MQ
3300029005_2	Human	12.531	55.678	HQ
3300021424_44	Aquatic	29.9194	-5.7366	MQ
3300029617_33	Human	-0.12	51.5	MQ
3300029022_4	Human	12.531	55.678	MQ
3300026821_6	Aquatic	-110.702	44.7219	MQ
3300020197_68	Aquatic	29.4853	-4.9054	MQ
3300024932_4	Aquatic	-122.16	48.3807	MQ
3300011986_17	Human	-118.444	34.0722	MQ
3300010271_24	Bioreactor	-72.1429	43.726	MQ
3300024278_4	Aquatic	-89.9778	29.8571	MQ
3300009779_58	Wastewater	114.17	22.28	MQ
3300029441_31	Human	-76.6259	39.2885	HQ
3300017395_15	Aquatic	-119.375	40.653	MQ
3300029473_11	Human	121.468	31.2123	MQ
3300028048_35	Mammals	-112.842	49.6935	MQ
3300013665_2	Built environment	-73.87	40.82	MQ
3300000558_38	Wastewater	-111.55	57.02	MQ
3300021508_3	Aquatic	-110.591	27.0074	MQ
3300020716_3	Aquatic	-89.686	46.041	MQ
3300029613_28	Human	-0.12	51.5	HQ
3300011542_2	Built environment	-73.99	40.74	HQ
3300020193_17	Aquatic	29.586	-4.8915	HQ
3300014832_10	Wastewater	153.191	-27.486	HQ
3300025887_36	Aquatic	-75.3633	39.283	HQ
3300010287_42	Bioreactor	-72.1429	43.726	MQ
3300008130_16	Human	-77.1012	39.0043	MQ
3300026534_34	Aquatic	-32.2765	37.2904	MQ
3300005443_3	Bioremediation	103.756	1.332	MQ
3300029007_7	Human	12.531	55.678	MQ
3300029243_14	Human	116.416	39.9119	MQ
3300025775_46	Aquatic	-116.516	49.9543	MQ
3300010268_4	Bioreactor	-72.1429	43.726	HQ
3300027492_7	Aquatic	-123.183	46.1812	MQ
3300029574_21	Human	-76.6259	39.2885	HQ
3300025730_31	Wastewater	-90.43	41.53	HQ
3300022884_9	Aquatic	78.188	-68.4725	HQ
3300029472_17	Human	121.468	31.2123	HQ
3300025201_4	Aquatic	39.89	-33.55	MQ
3300011226_2	Built environment	-73.83	40.88	HQ
3300025713_40	Wastewater	-70.96	42.35	MQ
3300023247_4	Terrestrial	19.0475	68.3529	MQ
3300025039_2	Aquatic	-144.994	49.9984	MQ
3300025438_16	Aquatic	78.188	-68.4725	MQ
3300020344_6	Aquatic	-116.696	14.2016	MQ
3300028028_54	Solid waste	-80.577	43.442	MQ
3300000205_19	Solid waste	-121.929	37.4546	MQ
3300011951_2	Built environment	-73.91	40.8	MQ
3300006057_11	Aquatic	-78.5142	41.5935	MQ
3300018878_166	Mammals	-119.667	34.4204	MQ
3300013138_99	Aquatic	29.05	-1.64	MQ
3300027656_17	Aquatic	-86.5698	43.1998	MQ
3300008012_25	Aquatic	-75.3633	39.283	MQ
3300012813_5	Insecta	-89.4011	43.073	HQ
3300029719_37	Human	-0.12	51.5	MQ
3300008636_2	Human	-77.1012	39.0043	MQ
3300006847_27	Plants	-83.9607	35.8443	MQ
3300013101_22	Aquatic	-111.38	27.0151	MQ
3300029125_16	Human	116.416	39.9119	HQ
3300025268_3	Aquatic	-118.774	14.5287	MQ
3300017687_1	Aquatic	21.4899	61.242	MQ
3300021492_5	Aquatic	-110.596	27.0114	MQ
3300028174_16	Aquatic	-123.5	48.6	HQ
3300029608_15	Human	-0.12	51.5	HQ
3300029661_16	Human	-0.12	51.5	MQ
3300007296_18	Human	-77.1012	39.0043	MQ
3300006746_5	Human	-77.1012	39.0043	MQ
3300028274_15	Aquatic	-123.5	48.6	MQ
3300029086_7	Human	12.5683	55.6761	HQ
3300007348_6	Human	-77.1012	39.0043	MQ
3300029551_18	Human	121.465	31.2112	MQ
3300029902_17	Aquatic	-68.15	76.23	MQ
3300020214_80	Aquatic	29.586	-4.8915	MQ
3300025251_7	Aquatic	8.1	43.29	MQ
3300010314_8	Annelida	-157.716	21.3935	MQ
3300025695_39	Aquatic	-123.5	48.6	MQ
3300014913_21	Aquatic	-111.38	27.0151	MQ
3300014964_34	Mammals	114.183	22.3356	MQ
3300027850_29	Aquatic	163.163	-77.605	HQ
3300024975_5	Aquatic	-122.16	48.3807	MQ
3300029395_19	Human	-76.6259	39.2885	HQ
3300029228_10	Human	116.416	39.9119	MQ
3300007190_10	Arthropoda	-70.1	-12.5	MQ
3300017971_75	Aquatic	-115.8	33.3	MQ
3300012194_3	Built environment	-73.9	40.87	MQ
3300015370_15	Aquatic	16.66	57.4344	MQ
3300028997_5	Human	12.531	55.678	MQ
3300011748_2	Built environment	-73.87	40.74	HQ
3300007527_9	Human	-77.1012	39.0043	MQ
3300027719_34	Aquatic	-3.1724	55.9225	MQ
3300025297_16	Plants	-79.0499	35.9082	MQ
3300011974_30	Human	-118.444	34.0722	MQ
3300029357_8	Human	-76.6259	39.2885	HQ
3300025698_17	Aquatic	78.188	-68.4725	HQ
3300006479_8	Human	-77.1012	39.0043	MQ
3300001484_5	Mammals	175.608	-40.352	MQ
3300002247_1	Lab enrichment	9.04375	48.5295	HQ
3300025385_11	Aquatic	-89.6063	46.0072	MQ
3300025372_4	Aquatic	-89.6063	46.0072	MQ
3300018878_133	Mammals	-119.667	34.4204	MQ
3300025689_30	Wastewater	135.27	34.72	MQ
3300029875_19	Human	-0.12	51.5	MQ
3300000386_6	Aquatic	-122.103	37.5691	MQ
3300024514_1	Aquatic	-81.6053	31.4271	MQ
3300025364_10	Aquatic	-119.476	48.9735	MQ
3300017470_18	Aquatic	-122.432	39.0314	MQ
3300020354_23	Aquatic	37.9202	-29.5082	MQ
3300020277_11	Aquatic	-116.682	14.1468	MQ
3300025231_14	Plants	-79.0499	35.9082	MQ
3300011955_4	Built environment	-73.93	40.7	MQ
3300027141_5	Aquatic	-123.183	46.1812	MQ
3300027863_168	Aquatic	-110.44	44.611	MQ
3300012850_5	Insecta	-89.4011	43.073	MQ
3300024344_17	Aquatic	25.4868	36.5264	HQ
3300028603_71	Solid waste	-80.577	43.442	MQ
3300015202_19	Terrestrial	18.581	67.9015	MQ
3300007722_44	Aquatic	163.163	-77.605	MQ
3300008130_13	Human	-77.1012	39.0043	MQ
3300007795_9	Human	-77.1012	39.0043	MQ
3300025364_6	Aquatic	-119.476	48.9735	HQ
3300025432_7	Aquatic	-93.4828	47.5028	HQ
3300020603_77	Aquatic	29.4853	-4.9054	MQ
3300029893_12	Terrestrial	26.7944	-28.2323	HQ
3300018427_42	Mammals	-119.84	34.4148	MQ
3300029675_11	Human	-0.12	51.5	MQ
3300020263_13	Aquatic	-49.3613	-61.9898	MQ
3300000347_2	Aquatic	-121.744	36.8219	MQ
3300029603_12	Human	-0.12	51.5	HQ
3300027965_102	Terrestrial	-76.3402	40.7999	MQ
3300027586_11	Aquatic	-82.8541	44.7011	MQ
3300029484_10	Human	121.468	31.2123	HQ
3300029749_22	Human	-0.12	51.5	MQ
3300008136_34	Human	-77.1012	39.0043	MQ
3300029742_17	Human	-0.12	51.5	HQ
3300011690_1	Built environment	-73.93	40.83	HQ
3300011979_3	Mammals	-105.585	41.3142	MQ
3300020239_6	Aquatic	39.855	18.4017	MQ
3300000235_17	Aquatic	12.95	43.3833	MQ
3300029622_35	Human	-0.12	51.5	MQ
3300000158_15	Aquatic	-123.5	48.6	MQ
3300026509_31	Aquatic	-110.715	44.963	MQ
3300029406_15	Human	-76.6259	39.2885	MQ
3300025094_30	Aquatic	-116.516	49.9543	MQ
3300011379_3	Built environment	-73.85	40.9	MQ
3300011878_2	Built environment	-73.91	40.68	HQ
3300027706_18	Terrestrial	-76.3402	40.7999	HQ
3300027974_13	Aquatic	-71.2508	48.2311	MQ
3300029572_18	Human	121.465	31.2112	HQ
3300023243_5	Aquatic	78.188	-68.4725	MQ
3300009343_3	Human	-77.1012	39.0043	MQ
3300018025_16	Aquatic	-93.4828	47.5028	MQ
3300022888_21	Aquatic	-123.501	48.5847	HQ
3300020314_6	Aquatic	63.5138	20.8199	MQ
3300029357_9	Human	-76.6259	39.2885	HQ
3300017470_26	Aquatic	-122.432	39.0314	MQ
3300028397_4	Aquatic	-121.905	36.8313	MQ
3300029114_8	Human	116.416	39.9119	MQ
3300008273_6	Human	-77.1012	39.0043	MQ
3300007120_2	Human	-77.1012	39.0043	MQ
3300006914_34	Plants	-83.9599	35.8444	MQ
3300025881_71	Aquatic	7.9	54.1883	MQ
3300021255_82	Mammals	171.6	-42.26	MQ
3300027891_23	Arthropoda	34.856	0.2917	MQ
3300011185_5	Aquatic	78.1913	-68.5558	MQ
3300027649_32	Aquatic	-82.8541	44.7011	MQ
3300021376_37	Aquatic	29.6087	-4.8369	MQ
3300019373_10	Mammals	-119.84	34.4148	MQ
3300006744_8	Human	-77.1012	39.0043	MQ
3300025748_42	Wastewater	-75.22	39.88	MQ
3300002173_48	Biotransformation	8.4956	52.0385	MQ
3300029377_32	Human	-76.6259	39.2885	HQ
3300025886_16	Aquatic	7.9	54.1842	MQ
3300027897_31	Aquatic	-86.23	41.7	MQ
3300029840_17	Human	-0.12	51.5	MQ
3300011660_2	Built environment	-73.9	40.68	HQ
3300021431_57	Mammals	171.6	-42.26	MQ
3300020372_6	Aquatic	-49.3331	-62.1363	MQ
3300018423_26	Aquatic	-81.028	31.972	MQ
3300018048_58	Aquatic	-81.028	31.972	MQ
3300029885_26	Human	-0.12	51.5	MQ
3300002092_2	Aquatic	13.0225	53.1527	HQ
3300025634_11	Terrestrial	-156.61	71.2999	MQ
3300028569_25	Aquatic	-1.8737	39.9879	MQ
3300020213_25	Aquatic	161.59	-77.5281	MQ
3300024051_5	Arthropoda	-89.4125	43.0758	MQ
3300026519_16	Aquatic	-33.9011	36.2297	MQ
3300020603_41	Aquatic	29.4853	-4.9054	HQ
3300010055_4	Aquatic	-65.114	10.847	MQ
3300013232_27	Wastewater	-79.99	40.44	MQ
3300018878_112	Mammals	-119.667	34.4204	MQ
3300005529_108	Terrestrial	-76.3402	40.7999	MQ
3300022826_4	Aquatic	78.188	-68.4725	HQ
3300029779_11	Human	-76.6259	39.2885	HQ
3300022377_6	Mammals	-119.84	34.4148	MQ
3300007295_1	Human	-77.1012	39.0043	HQ
3300012900_5	Terrestrial	-89.38	43.3	MQ
3300029741_29	Human	-0.12	51.5	HQ
3300027301_14	Aquatic	-74.7949	45.0061	MQ
3300027839_112	Aquatic	-150.061	79.2466	MQ
3300013426_6	Animal	37.1	2.717	MQ
3300027373_37	Bioremediation	-106.08	35.992	MQ
3300029416_8	Human	-76.6259	39.2885	MQ
3300027739_5	Aquatic	-3.1724	55.9225	MQ
3300014502_33	Terrestrial	19.05	68.35	MQ
3300029736_18	Human	-0.12	51.5	MQ
3300027391_17	Porifera	13.56	45.5099	HQ
3300028629_23	Wastewater	-88.23	44.11	MQ
3300029890_16	Aquatic	141.859	45.0453	MQ
3300029512_6	Human	121.468	31.2123	MQ
3300006564_11	Human	-77.1012	39.0043	MQ
3300021127_6	Aquatic	-89.686	46.041	MQ
3300008695_5	Human	-77.1012	39.0043	HQ
3300025665_13	Aquatic	-123.5	48.6	MQ
3300021604_32	Bioreactor	-122.258	37.8719	MQ
3300024323_4	Terrestrial	-87.0297	40.4449	MQ
3300018878_108	Mammals	-119.667	34.4204	MQ
3300029714_34	Human	-0.12	51.5	MQ
3300020435_28	Aquatic	-100.663	-16.9727	MQ
3300029129_21	Human	116.416	39.9119	MQ
3300023065_8	Terrestrial	-93	42	MQ
3300029661_4	Human	-0.12	51.5	MQ
3300020263_12	Aquatic	-49.3613	-61.9898	MQ
3300029297_20	Mammals	114.183	22.3356	MQ
3300027878_94	Aquatic	163.163	-77.605	HQ
3300020266_12	Aquatic	19.4084	39.3599	MQ
3300022900_45	Aquatic	-81.028	31.972	MQ
3300007736_16	Human	-77.1012	39.0043	MQ
3300025547_47	Aquatic	-123.5	48.6	MQ
3300027819_149	Aquatic	-73.6044	43.0994	MQ
3300022907_22	Aquatic	-81.028	31.972	MQ
3300024258_17	Aquatic	-123.501	48.5847	HQ
3300028198_16	Aquatic	-123.5	48.6	MQ
3300025458_19	Aquatic	-123.5	48.6	MQ
3300025775_38	Aquatic	-116.516	49.9543	MQ
3300012139_9	Fungi	-82.2846	28.571	HQ
3300007793_23	Human	-77.1012	39.0043	MQ
3300014725_2	Built environment	-73.99	40.75	MQ
3300029246_8	Human	116.416	39.9119	HQ
3300024344_25	Aquatic	25.4868	36.5264	MQ
3300021387_69	Mammals	171.6	-42.26	MQ
3300028603_35	Solid waste	-80.577	43.442	MQ
3300027777_36	Aquatic	-72.5	46.8319	MQ
3300027352_6	Lab enrichment	-122.29	37.8408	MQ
3300011954_4	Built environment	-73.9	40.68	HQ
3300018475_123	Mammals	-119.667	34.4204	MQ
3300007109_13	Human	-77.1012	39.0043	MQ
3300006458_10	Human	-77.1012	39.0043	MQ
3300026484_5	Aquatic	-111.407	27.0078	MQ
3300029513_21	Human	121.468	31.2123	MQ
3300029336_16	Human	-76.6259	39.2885	HQ
3300029025_7	Human	12.5683	55.6761	MQ
3300011517_1	Built environment	-73.98	40.73	HQ
3300029759_22	Human	-76.6259	39.2885	MQ
3300006502_27	Human	-77.1012	39.0043	MQ
3300025631_16	Wastewater	139.38	36.29	MQ
3300018878_176	Mammals	-119.667	34.4204	MQ
3300029567_26	Human	121.465	31.2112	MQ
3300028601_70	Solid waste	-80.577	43.442	MQ
3300029355_15	Human	-76.6259	39.2885	HQ
3300027353_7	Lab enrichment	-122.29	37.8408	MQ
3300011788_1	Built environment	-73.94	40.8	HQ
3300029456_17	Human	121.468	31.2123	MQ
3300006247_20	Human	-77.1012	39.0043	MQ
3300011249_6	Terrestrial	12.0922	79.4842	MQ
3300027917_40	Aquatic	-77.1094	34.6402	MQ
3300029798_7	Aquatic	25.1136	61.2081	HQ
3300010167_97	Arthropoda	-53.0462	5.0626	MQ
3300020139_25	Aquatic	-119.366	40.6614	HQ
3300017423_22	Aquatic	-124.721	50.0621	MQ
3300021256_51	Mammals	171.6	-42.26	MQ
3300013126_116	Aquatic	29.05	-1.64	MQ
3300017968_17	Aquatic	-81.028	31.972	MQ
3300005460_45	Mammals	16.37	48.2	MQ
3300018878_75	Mammals	-119.667	34.4204	MQ
3300025855_48	Wastewater	-87.64	41.12	MQ
3300028287_20	Aquatic	-123.5	48.6	HQ
3300009702_57	Aquatic	25.4867	36.5263	MQ
3300010287_36	Bioreactor	-72.1429	43.726	MQ
3300025221_6	Aquatic	-33.41	-15.83	MQ
3300009566_19	Terrestrial	-87.3692	30.7036	HQ
3300027373_27	Bioremediation	-106.08	35.992	MQ
3300008130_31	Human	-77.1012	39.0043	MQ
3300025802_6	Terrestrial	-122.502	38.015	MQ
3300027232_13	Aquatic	-123.884	46.187	HQ
3300024327_26	Aquatic	-123.501	48.5847	MQ
3300027689_3	Aquatic	-86.5698	43.1998	MQ
3300029460_12	Human	121.468	31.2123	MQ
3300000447_8	Aquatic	4.371	52.002	MQ
3300029104_17	Human	12.5683	55.6761	HQ
3300027462_1	Plants	-122.022	37.9314	MQ
3300026549_71	Mammals	-112.842	49.6935	MQ
3300024301_28	Aquatic	-81.028	31.972	MQ
3300007184_3	Human	-77.1012	39.0043	MQ
3300020375_6	Aquatic	-85.2995	-5.2771	MQ
3300029426_32	Human	-76.6259	39.2885	MQ
3300029675_16	Human	-0.12	51.5	MQ
3300025832_89	Aquatic	7.9	54.1883	MQ
3300029400_10	Human	-76.6259	39.2885	MQ
3300024344_32	Aquatic	25.4868	36.5264	MQ
3300008082_2	Human	-77.1012	39.0043	HQ
3300008080_6	Human	-77.1012	39.0043	MQ
3300025981_16	Plants	-85.3738	42.3948	MQ
3300012165_16	Fungi	-74.5207	39.8721	MQ
3300012178_11	Aquatic	78.1913	-68.5558	MQ
3300006462_30	Human	-77.1012	39.0043	MQ
3300012821_8	Terrestrial	-89.4011	43.073	MQ
3300029556_23	Human	121.465	31.2112	HQ
3300007996_20	Human	-77.1012	39.0043	MQ
3300026074_7	Aquatic	-22.9623	-0.015038	MQ
3300007517_61	Aquatic	163.163	-77.605	MQ
3300025924_14	Plants	-85.3738	42.3948	MQ
3300006459_20	Human	-77.1012	39.0043	MQ
3300012833_11	Terrestrial	-89.4011	43.073	MQ
3300025720_21	Wastewater	138.83	37.43	HQ
3300013125_11	Aquatic	29.05	-1.64	MQ
3300021255_78	Mammals	171.6	-42.26	MQ
3300020083_39	Aquatic	29.4853	-4.9054	MQ
3300022928_33	Aquatic	-81.028	31.972	MQ
3300029385_24	Human	-76.6259	39.2885	MQ
3300014531_10	Human	12.531	55.678	MQ
3300013137_90	Aquatic	29.05	-1.64	MQ
3300012531_10	Aquatic	163.895	-78.0767	MQ
3300005711_2	Mammals	107.618	33.9633	MQ
3300009084_49	Aquatic	163.163	-77.605	MQ
3300019132_8	Terrestrial	-109.695	38.7121	MQ
3300027509_35	Algae	-9.71	51.64	MQ
3300006564_42	Human	-77.1012	39.0043	MQ
3300013001_14	Fungi	-47.851	-21.167	MQ
3300029254_13	Human	116.416	39.9119	MQ
3300008278_9	Human	-77.1012	39.0043	HQ
3300011217_3	Built environment	-73.94	40.75	MQ
3300028489_9	Aquatic	-145	50	MQ
3300029351_7	Human	-76.6259	39.2885	MQ
3300022841_4	Aquatic	78.188	-68.4725	HQ
3300028283_21	Aquatic	-124.009	49.68	MQ
3300011517_2	Built environment	-73.98	40.73	MQ
3300025815_3	Aquatic	-75.3633	39.283	MQ
3300021424_38	Aquatic	29.9194	-5.7366	MQ
3300026124_11	Aquatic	-122.133	37.4961	MQ
3300020182_25	Aquatic	7.9	54.1841	MQ
3300014950_11	Human	12.531	55.678	MQ
3300029354_19	Human	-76.6259	39.2885	MQ
3300029881_26	Human	-0.12	51.5	MQ
3300007320_33	Human	-77.1012	39.0043	MQ
3300029603_19	Human	-0.12	51.5	HQ
3300029416_21	Human	-76.6259	39.2885	MQ
3300025691_44	Wastewater	114.17	22.28	MQ
3300029730_7	Human	-0.12	51.5	HQ
3300011383_1	Built environment	-73.82	40.68	MQ
3300027032_1	Terrestrial	-119.272	46.372	MQ
3300029370_8	Human	-76.6259	39.2885	MQ
3300007794_6	Human	-77.1012	39.0043	MQ
3300028644_23	Wastewater	-88.23	44.11	MQ
