Dataset	FeatureSpace	SampleID	Q	Metric	Value	SubjectID	AgeCategory	HotSpring	Temperature	DetectionBoundary
AsnicarF_2017	Species	MV_FEI4_t2Q15	2	Inverse Simpson	6.04197000899409	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI5_t1Q14	2	Inverse Simpson	1.55190449567165	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI5_t2Q14	2	Inverse Simpson	9.08534236340761	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI5_t3Q15	2	Inverse Simpson	6.73670522732328	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM1_t1Q14	2	Inverse Simpson	1.63169352101708	MV_FEM1	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM2_t1Q14	2	Inverse Simpson	17.2843867268771	MV_FEM2	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM3_t1Q14	2	Inverse Simpson	9.03066541472105	MV_FEM3	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM4_t1Q14	2	Inverse Simpson	3.42919800959446	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM4_t2Q15	2	Inverse Simpson	13.0713267783663	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM5_t1Q14	2	Inverse Simpson	10.4813328657687	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM5_t2Q14	2	Inverse Simpson	4.30241358755487	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM5_t3Q15	2	Inverse Simpson	23.0059286941207	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM1_t1M14	2	Inverse Simpson	1	MV_MIM1	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM2_t1M14	2	Inverse Simpson	1	MV_MIM2	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM3_t1M14	2	Inverse Simpson	1.36596799381557	MV_MIM3	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM4_t1M14	2	Inverse Simpson	1.36333995822946	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM4_t2F15	2	Inverse Simpson	1.6510121751892	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM5_t1M14	2	Inverse Simpson	2.34656415278654	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM5_t2M14	2	Inverse Simpson	2.59668263782842	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM5_t3F15	2	Inverse Simpson	4.36828661600693	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI1_t1Q14	0	Observed richness	57661	MV_FEI1	newborn			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI2_t1Q14	0	Observed richness	13897	MV_FEI2	newborn			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI3_t1Q14	0	Observed richness	49517	MV_FEI3	newborn			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI4_t1Q14	0	Observed richness	54472	MV_FEI4	child			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI4_t2Q15	0	Observed richness	58574	MV_FEI4	child			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI5_t1Q14	0	Observed richness	16820	MV_FEI5	child			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI5_t2Q14	0	Observed richness	80439	MV_FEI5	child			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI5_t3Q15	0	Observed richness	66599	MV_FEI5	child			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM1_t1Q14	0	Observed richness	75957	MV_FEM1	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM2_t1Q14	0	Observed richness	105217	MV_FEM2	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM3_t1Q14	0	Observed richness	99275	MV_FEM3	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM4_t1Q14	0	Observed richness	83684	MV_FEM4	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM4_t2Q15	0	Observed richness	122637	MV_FEM4	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM5_t1Q14	0	Observed richness	84587	MV_FEM5	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM5_t2Q14	0	Observed richness	72540	MV_FEM5	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEM5_t3Q15	0	Observed richness	113743	MV_FEM5	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM1_t1M14	0	Observed richness	52	MV_MIM1	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM2_t1M14	0	Observed richness	80	MV_MIM2	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM3_t1M14	0	Observed richness	138	MV_MIM3	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM4_t1M14	0	Observed richness	86	MV_MIM4	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM4_t2F15	0	Observed richness	651	MV_MIM4	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM5_t1M14	0	Observed richness	151	MV_MIM5	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM5_t2M14	0	Observed richness	249	MV_MIM5	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_MIM5_t3F15	0	Observed richness	5113	MV_MIM5	adult			Detection/filter dependent
AsnicarF_2017	Gene families	MV_FEI1_t1Q14	1	exp(Shannon)	21036.1292259548	MV_FEI1	newborn			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI2_t1Q14	1	exp(Shannon)	3982.64051128561	MV_FEI2	newborn			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI3_t1Q14	1	exp(Shannon)	17868.1556446279	MV_FEI3	newborn			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI4_t1Q14	1	exp(Shannon)	24270.5359069484	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI4_t2Q15	1	exp(Shannon)	14807.2846773556	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI5_t1Q14	1	exp(Shannon)	4290.95129602335	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI5_t2Q14	1	exp(Shannon)	30947.3090310754	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI5_t3Q15	1	exp(Shannon)	25027.3660386409	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM1_t1Q14	1	exp(Shannon)	8274.80560002754	MV_FEM1	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM2_t1Q14	1	exp(Shannon)	35292.4927635843	MV_FEM2	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM3_t1Q14	1	exp(Shannon)	25487.9389857088	MV_FEM3	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM4_t1Q14	1	exp(Shannon)	16432.6791863081	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM4_t2Q15	1	exp(Shannon)	41028.6284877795	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM5_t1Q14	1	exp(Shannon)	33865.4022777266	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM5_t2Q14	1	exp(Shannon)	14711.2996549345	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM5_t3Q15	1	exp(Shannon)	52967.4645398762	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM1_t1M14	1	exp(Shannon)	12.0633645656619	MV_MIM1	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM2_t1M14	1	exp(Shannon)	16.0863732864703	MV_MIM2	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM3_t1M14	1	exp(Shannon)	25.0350456506598	MV_MIM3	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM4_t1M14	1	exp(Shannon)	45.6286673846559	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM4_t2F15	1	exp(Shannon)	236.743698089982	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM5_t1M14	1	exp(Shannon)	41.1050479172289	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM5_t2M14	1	exp(Shannon)	81.8821368926578	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM5_t3F15	1	exp(Shannon)	1798.70176556482	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI1_t1Q14	2	Inverse Simpson	5044.29034851731	MV_FEI1	newborn			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI2_t1Q14	2	Inverse Simpson	2566.48999689437	MV_FEI2	newborn			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI3_t1Q14	2	Inverse Simpson	6206.17259883619	MV_FEI3	newborn			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI4_t1Q14	2	Inverse Simpson	7622.28718059692	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI4_t2Q15	2	Inverse Simpson	5162.3548119775	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI5_t1Q14	2	Inverse Simpson	3008.31925336558	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI5_t2Q14	2	Inverse Simpson	12383.2648882585	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEI5_t3Q15	2	Inverse Simpson	11259.7233180749	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM1_t1Q14	2	Inverse Simpson	2950.73724151056	MV_FEM1	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM2_t1Q14	2	Inverse Simpson	7886.20577696064	MV_FEM2	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM3_t1Q14	2	Inverse Simpson	8244.47273399734	MV_FEM3	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM4_t1Q14	2	Inverse Simpson	4727.902417721	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM4_t2Q15	2	Inverse Simpson	15806.8403393576	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM5_t1Q14	2	Inverse Simpson	11179.1000183734	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM5_t2Q14	2	Inverse Simpson	4638.43373326254	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_FEM5_t3Q15	2	Inverse Simpson	15534.9925120407	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM1_t1M14	2	Inverse Simpson	6.27750075760888	MV_MIM1	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM2_t1M14	2	Inverse Simpson	7.79760720331133	MV_MIM2	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM3_t1M14	2	Inverse Simpson	9.9913375427725	MV_MIM3	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM4_t1M14	2	Inverse Simpson	23.3574854216229	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM4_t2F15	2	Inverse Simpson	48.2794841166162	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM5_t1M14	2	Inverse Simpson	14.2948893785145	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM5_t2M14	2	Inverse Simpson	28.8059015770396	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Gene families	MV_MIM5_t3F15	2	Inverse Simpson	516.903785262889	MV_MIM5	adult			Abundance-weighted effective number
Western US hot springs	MAG catalog	AA01.0.1	0	Observed richness	202			AA01	56	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.0.2	0	Observed richness	221			AA01	56.6	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.0.3	0	Observed richness	242			AA01	56	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.0.4	0	Observed richness	113			AA01	33	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.0.5	0	Observed richness	137			AA01	57	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.1.1	0	Observed richness	202			AA01	41.4	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.1.2	0	Observed richness	225			AA01	52.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.1.3	0	Observed richness	230			AA01	51.3	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.1.5	0	Observed richness	190			AA01	35.4	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.1.6	0	Observed richness	172			AA01	31.9	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.2.1	0	Observed richness	227			AA01	49.2	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.2.2	0	Observed richness	237			AA01	52.7	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.2.3	0	Observed richness	246			AA01	52	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.2.4	0	Observed richness	229			AA01	53.3	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.2.5	0	Observed richness	190			AA01	48.8	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.2.6	0	Observed richness	244			AA01	51.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.3.1	0	Observed richness	36			AA01	52.4	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.3.2	0	Observed richness	236			AA01	51.9	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.3.3	0	Observed richness	261			AA01	51	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.3.4	0	Observed richness	166			AA01	48.1	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.3.5	0	Observed richness	255			AA01	52.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA01.3.6	0	Observed richness	262			AA01	36.1	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.0.3	0	Observed richness	147			AA03	71	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.0.4	0	Observed richness	185			AA03	55.1	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.0.5	0	Observed richness	101			AA03	37	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.2	0	Observed richness	183			AA03	41.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.3	0	Observed richness	226			AA03	62.2	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.4	0	Observed richness	212			AA03	45.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.5	0	Observed richness	171			AA03	65.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.6	0	Observed richness	231			AA03	28.1	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.7	0	Observed richness	224			AA03	60.3	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.1.8	0	Observed richness	181			AA03	29.2	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.1	0	Observed richness	160			AA03	92.8	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.2	0	Observed richness	177			AA03	63	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.3	0	Observed richness	255			AA03	45.3	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.4	0	Observed richness	229			AA03	45.4	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.5	0	Observed richness	153			AA03	67.7	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.6	0	Observed richness	192			AA03	35.4	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.2.7	0	Observed richness	245			AA03	54.5	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.1	0	Observed richness	242			AA03	71.9	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.2	0	Observed richness	141			AA03	70.8	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.3	0	Observed richness	191			AA03	66.9	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.4	0	Observed richness	243			AA03	71.7	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.5	0	Observed richness	199			AA03	64.4	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.6	0	Observed richness	277			AA03	56.7	Detection/filter dependent
Western US hot springs	MAG catalog	AA03.3.7	0	Observed richness	270			AA03	57	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.0.1	0	Observed richness	155			AB02	76.9	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.0.2	0	Observed richness	175			AB02	68.5	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.1.1	0	Observed richness	175			AB02		Detection/filter dependent
Western US hot springs	MAG catalog	AB02.1.2	0	Observed richness	209			AB02	53.8	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.2.1	0	Observed richness	162			AB02	72.6	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.2.2	0	Observed richness	178			AB02	47.8	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.3.1	0	Observed richness	149			AB02	72.1	Detection/filter dependent
Western US hot springs	MAG catalog	AB02.3.2	0	Observed richness	208			AB02	65.3	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.0.1	0	Observed richness	55			AB03	87.3	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.0.2	0	Observed richness	185			AB03	70	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.0.3	0	Observed richness	188			AB03	43.6	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.1.1	0	Observed richness	58			AB03	89.6	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.1.2	0	Observed richness	139			AB03	67.6	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.1.3	0	Observed richness	247			AB03	43.7	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.2.1	0	Observed richness	211			AB03	38	Detection/filter dependent
Western US hot springs	MAG catalog	AB03.3.1	0	Observed richness	258			AB03	44.5	Detection/filter dependent
Western US hot springs	MAG catalog	AB04.0.1	0	Observed richness	179			AB04	71	Detection/filter dependent
Western US hot springs	MAG catalog	AB04.1.1	0	Observed richness	168			AB04	67.7	Detection/filter dependent
Western US hot springs	MAG catalog	AB04.2.1	0	Observed richness	188			AB04	71.1	Detection/filter dependent
Western US hot springs	MAG catalog	AB04.3.1	0	Observed richness	187			AB04	70.2	Detection/filter dependent
Western US hot springs	MAG catalog	AB07.0.1	0	Observed richness	255			AB07	56.3	Detection/filter dependent
Western US hot springs	MAG catalog	AB07.0.2	0	Observed richness	149			AB07	56.3	Detection/filter dependent
Western US hot springs	MAG catalog	AB07.1.1	0	Observed richness	219			AB07	52.8	Detection/filter dependent
Western US hot springs	MAG catalog	AB07.2.1	0	Observed richness	197			AB07	52.2	Detection/filter dependent
Western US hot springs	MAG catalog	AB07.3.1	0	Observed richness	269			AB07	50.2	Detection/filter dependent
Western US hot springs	MAG catalog	AB07.3.2	0	Observed richness	298			AB07	49.9	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.0.2	0	Observed richness	84			AB08	66.1	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.0.3	0	Observed richness	184			AB08	52.6	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.1.2	0	Observed richness	221			AB08	48.5	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.1.3	0	Observed richness	190			AB08	59	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.2.1	0	Observed richness	293			AB08	90	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.2.2	0	Observed richness	269			AB08	47.9	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.2.4	0	Observed richness	218			AB08	51.8	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.3.2	0	Observed richness	261			AB08	53.7	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.3.3	0	Observed richness	261			AB08	50.9	Detection/filter dependent
Western US hot springs	MAG catalog	AB08.3.4	0	Observed richness	206			AB08	54	Detection/filter dependent
Western US hot springs	MAG catalog	AB09.0.3	0	Observed richness	211			AB09	44.2	Detection/filter dependent
Western US hot springs	MAG catalog	AB09.1.2	0	Observed richness	221			AB09	36.3	Detection/filter dependent
Western US hot springs	MAG catalog	AB09.2.2	0	Observed richness	233			AB09	46	Detection/filter dependent
Western US hot springs	MAG catalog	AB09.3.1	0	Observed richness	201			AB09	61.8	Detection/filter dependent
