UnitType	UnitID	Profiles	Repeated	SampleIDs	Dataset	Boundary
Hot spring	AA01	22	Yes	AA01.0.1;AA01.0.2;AA01.0.3;AA01.0.4;AA01.0.5;AA01.1.1;AA01.1.2;AA01.1.3;AA01.1.5;AA01.1.6;AA01.2.1;AA01.2.2;AA01.2.3;AA01.2.4;AA01.2.5;AA01.2.6;AA01.3.1;AA01.3.2;AA01.3.3;AA01.3.4;AA01.3.5;AA01.3.6	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AA03	24	Yes	AA03.0.3;AA03.0.4;AA03.0.5;AA03.1.2;AA03.1.3;AA03.1.4;AA03.1.5;AA03.1.6;AA03.1.7;AA03.1.8;AA03.2.1;AA03.2.2;AA03.2.3;AA03.2.4;AA03.2.5;AA03.2.6;AA03.2.7;AA03.3.1;AA03.3.2;AA03.3.3;AA03.3.4;AA03.3.5;AA03.3.6;AA03.3.7	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB02	8	Yes	AB02.0.1;AB02.0.2;AB02.1.1;AB02.1.2;AB02.2.1;AB02.2.2;AB02.3.1;AB02.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB03	8	Yes	AB03.0.1;AB03.0.2;AB03.0.3;AB03.1.1;AB03.1.2;AB03.1.3;AB03.2.1;AB03.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB04	4	Yes	AB04.0.1;AB04.1.1;AB04.2.1;AB04.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB07	6	Yes	AB07.0.1;AB07.0.2;AB07.1.1;AB07.2.1;AB07.3.1;AB07.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB08	10	Yes	AB08.0.2;AB08.0.3;AB08.1.2;AB08.1.3;AB08.2.1;AB08.2.2;AB08.2.4;AB08.3.2;AB08.3.3;AB08.3.4	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB09	5	Yes	AB09.0.3;AB09.1.2;AB09.2.2;AB09.3.1;AB09.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB11	18	Yes	AB11A.0.1;AB11A.1.1;AB11A.2.1;AB11A.3.1;AB11B.0.1;AB11B.1.1;AB11B.2.1;AB11B.3.1;AB11C.0.1;AB11C.1.1;AB11C.2.1;AB11C.3.1;AB11D.1.1;AB11D.3.1;AB11E.3.1;AB11F.0.1;AB11F.1.1;AB11F.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB20	4	Yes	AB20.0.1;AB20.1.1;AB20.2.1;AB20.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB22	24	Yes	AB22.0.1;AB22.0.2;AB22.0.3;AB22.0.4;AB22.0.5;AB22.0.6;AB22.0.7;AB22.1.1;AB22.1.2;AB22.1.3;AB22.1.4;AB22.1.5;AB22.1.6;AB22.1.7;AB22.2.1;AB22.2.2;AB22.2.3;AB22.2.4;AB22.2.5;AB22.3.1;AB22.3.2;AB22.3.3;AB22.3.4;AB22.3.5	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB31	4	Yes	AB31.0.1;AB31.1.1;AB31.2.1;AB31.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB32	4	Yes	AB32.0.1;AB32.1.1;AB32.2.1;AB32.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AB35	5	Yes	AB35.1.1;AB35.2.1;AB35.2.2;AB35.3.1;AB35.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AM01	33	Yes	AM01.0.1;AM01.0.2;AM01.0.3;AM01.0.4;AM01.0.5;AM01.0.6;AM01.0.7;AM01.1.1;AM01.1.2;AM01.1.3;AM01.1.4;AM01.1.5;AM01.2.10;AM01.2.11;AM01.2.12;AM01.2.13;AM01.2.1;AM01.2.2;AM01.2.3;AM01.2.4;AM01.2.5;AM01.2.6;AM01.2.7;AM01.2.8;AM01.2.9;AM01.3.1;AM01.3.2;AM01.3.3;AM01.3.4;AM01.3.5;AM01.3.6;AM01.3.7;AM01.3.8	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AM02	29	Yes	AM02.0.1;AM02.0.2;AM02.0.3;AM02.0.4;AM02.0.5;AM02.0.6;AM02.0.7;AM02.0.8;AM02.1.1;AM02.1.2;AM02.1.3;AM02.1.4;AM02.1.5;AM02.2.1;AM02.2.2;AM02.2.3;AM02.2.4;AM02.2.5;AM02.2.6;AM02.2.7;AM02.2.8;AM02.3.1;AM02.3.2;AM02.3.3;AM02.3.4;AM02.3.5;AM02.3.6;AM02.3.7;AM02.3.8	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AR01	11	Yes	AR01A.0.1;AR01A.3.1;AR01B.0.1;AR01B.1.1;AR01B.2.1;AR01B.3.1;AR01C.0.2;AR01C.3.1;AR01D.1.1;AR01D.1.2;AR01D.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AR08	4	Yes	AR08.1.1;AR08.1.2;AR08.1.3;AR08.1.4	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AR10	10	Yes	AR10.2.1;AR10.2.2;AR10.2.3;AR10.2.4;AR10.2.5;AR10.3.1;AR10.3.2;AR10.3.3;AR10.3.4;AR10.3.5	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AR11	4	Yes	AR11.2.1;AR11.2.2;AR11.2.3;AR11.2.4	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AW01	2	Yes	AW01.3.1;AW01.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AW03	1	No	AW03.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY01	26	Yes	AY01.0.3;AY01.0.4;AY01.0.5;AY01.0.6;AY01.0.7;AY01.0.8;AY01.1.1;AY01.1.3;AY01.1.4;AY01.1.5;AY01.1.6;AY01.1.7;AY01.2.2;AY01.2.3;AY01.2.4;AY01.2.5;AY01.2.6;AY01.2.7;AY01.2.8;AY01.3.1;AY01.3.2;AY01.3.3;AY01.3.4;AY01.3.5;AY01.3.6;AY01.3.8	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY02	22	Yes	AY02.0.1;AY02.0.2;AY02.0.3;AY02.0.4;AY02.0.5;AY02.0.6;AY02.1.1;AY02.1.2;AY02.1.3;AY02.1.4;AY02.2.1;AY02.2.2;AY02.2.3;AY02.2.4;AY02.2.5;AY02.2.6;AY02.3.1;AY02.3.2;AY02.3.3;AY02.3.4;AY02.3.5;AY02.3.6	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY03	29	Yes	AY03.0.5;AY03.0.6;AY03.0.7;AY03.0.8;AY03.1.3;AY03.1.4;AY03.1.5;AY03.1.6;AY03.1.7;AY03.1.8;AY03.1.9;AY03.2.10;AY03.2.1;AY03.2.2;AY03.2.4;AY03.2.5;AY03.2.6;AY03.2.7;AY03.2.8;AY03.2.9;AY03.3.10;AY03.3.2;AY03.3.3;AY03.3.4;AY03.3.5;AY03.3.6;AY03.3.7;AY03.3.8;AY03.3.9	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY04	31	Yes	AY04.0.2;AY04.0.3;AY04.0.4;AY04.0.5;AY04.0.6;AY04.0.8;AY04.0.9;AY04.1.1;AY04.1.2;AY04.1.3;AY04.1.4;AY04.1.5;AY04.1.6;AY04.1.7;AY04.2.1;AY04.2.2;AY04.2.3;AY04.2.4;AY04.2.5;AY04.2.6;AY04.2.7;AY04.2.8;AY04.2.9;AY04.3.1;AY04.3.2;AY04.3.3;AY04.3.4;AY04.3.5;AY04.3.6;AY04.3.7;AY04.3.8	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY05	14	Yes	AY05.0.1;AY05.0.2;AY05.0.3;AY05.0.4;AY05.0.5;AY05.2.1;AY05.2.2;AY05.2.3;AY05.2.4;AY05.2.5;AY05.3.1;AY05.3.2;AY05.3.3;AY05.3.4	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY06	18	Yes	AY06.0.5;AY06.0.6;AY06.1.1;AY06.1.4;AY06.1.5;AY06.1.6;AY06.2.1;AY06.2.2;AY06.2.5;AY06.2.6;AY06.2.7;AY06.3.1;AY06.3.2;AY06.3.3;AY06.3.4;AY06.3.5;AY06.3.6;AY06.3.7	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY07	30	Yes	AY07.0.1;AY07.0.2;AY07.0.3;AY07.0.4;AY07.0.5;AY07.0.6;AY07.0.7;AY07.0.8;AY07.1.1;AY07.1.2;AY07.1.3;AY07.1.4;AY07.1.5;AY07.1.6;AY07.2.1;AY07.2.2;AY07.2.3;AY07.2.4;AY07.2.5;AY07.2.6;AY07.2.7;AY07.2.8;AY07.3.1;AY07.3.2;AY07.3.3;AY07.3.4;AY07.3.5;AY07.3.6;AY07.3.7;AY07.3.8	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY08	24	Yes	AY08.0.3;AY08.0.4;AY08.0.5;AY08.0.6;AY08.0.8;AY08.1.2;AY08.1.3;AY08.1.4;AY08.1.5;AY08.1.6;AY08.2.1;AY08.2.2;AY08.2.3;AY08.2.4;AY08.2.5;AY08.2.6;AY08.2.7;AY08.3.1;AY08.3.2;AY08.3.3;AY08.3.4;AY08.3.5;AY08.3.6;AY08.3.7	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY10	1	No	AY10.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY11	14	Yes	AY11.0.1;AY11.1.2;AY11.1.3;AY11.1.5;AY11.1.6;AY11.2.1;AY11.2.2;AY11.2.3;AY11.2.5;AY11.3.1;AY11.3.2;AY11.3.3;AY11.3.4;AY11.3.5	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	AY12	2	Yes	AY12.1.2;AY12.1.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LB01	1	No	LB01.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LB02	1	No	LB02.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LB04	1	No	LB04.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LB07	1	No	LB07.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LC02	1	No	LC02.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LC04	1	No	LC04.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LC05	1	No	LC05.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LD01	2	Yes	LD01.3.1;LD01.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LE01	3	Yes	LE01.3.1;LE01.3.2;LE01.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LH02	2	Yes	LH02.3.1;LH02.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LH03	3	Yes	LH03.3.1;LH03.3.2;LH03.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LP01	1	No	LP01.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LP02	1	No	LP02.3.1	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LP03	2	Yes	LP03.3.1;LP03.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LR01	3	Yes	LR01.3.1;LR01.3.2;LR01.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LS01	3	Yes	LS01.3.1;LS01.3.2;LS01.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LS02	3	Yes	LS02.3.1;LS02.3.2;LS02.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LT01	3	Yes	LT01.3.1;LT01.3.2;LT01.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LT12	3	Yes	LT12.3.1;LT12.3.2;LT12.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LT16	4	Yes	LT16.3.1;LT16.3.2;LT16.3.3;LT16.3.4	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LU02	2	Yes	LU02.3.1;LU02.3.2	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LU04	3	Yes	LU04.3.1;LU04.3.2;LU04.3.3	Western US hot springs	Site clustering requires blocked inference in later analyses
Hot spring	LV02	4	Yes	LV02.3.1;LV02.3.2;LV02.3.3;LV02.3.4	Western US hot springs	Site clustering requires blocked inference in later analyses
