Habitat	Units	FeatureID	Label	BootstrapReplicates	CoreInclusionFrequency
Anterior nares	74	SP0046	Alistipes inops	1000	0
Anterior nares	74	SP0047	Haemophilus parainfluenzae	1000	0
Anterior nares	74	SP0048	Lactobacillus rogosae	1000	0
Anterior nares	74	SP0049	Victivallis vadensis	1000	0
Anterior nares	74	SP0050	Dielma fastidiosa	1000	0
Anterior nares	74	SP0051	Prevotella disiens	1000	0
Anterior nares	74	SP0052	Parabacteroides goldsteinii	1000	0
Anterior nares	74	SP0053	Oxalobacter formigenes	1000	0
Anterior nares	74	SP0054	Collinsella aerofaciens	1000	0
Anterior nares	74	SP0055	Lawsonibacter asaccharolyticus	1000	0
Anterior nares	74	SP0056	Flavonifractor plautii	1000	0
Anterior nares	74	SP0057	Streptococcus salivarius	1000	0
Anterior nares	74	SP0058	Dialister invisus	1000	0
Anterior nares	74	SP0059	Veillonella sp T11011 6	1000	0
Anterior nares	74	SP0060	Veillonella infantium	1000	0
Anterior nares	74	SP0061	Bacteroides stercoris	1000	0
Anterior nares	74	SP0062	Bacteroides uniformis	1000	0
Anterior nares	74	SP0063	Barnesiella intestinihominis	1000	0
Anterior nares	74	SP0064	Ruminococcus bromii	1000	0
Anterior nares	74	SP0065	Bacteroides thetaiotaomicron	1000	0
Anterior nares	74	SP0066	Parabacteroides johnsonii	1000	0
Anterior nares	74	SP0067	Phascolarctobacterium faecium	1000	0
Anterior nares	74	SP0068	Roseburia inulinivorans	1000	0
Anterior nares	74	SP0069	Bacteroides clarus	1000	0
Anterior nares	74	SP0070	Roseburia faecis	1000	0
Anterior nares	74	SP0071	Firmicutes bacterium CAG 110	1000	0
Anterior nares	74	SP0072	Bacteroides xylanisolvens	1000	0
Anterior nares	74	SP0073	Firmicutes bacterium CAG 95	1000	0
Anterior nares	74	SP0074	Monoglobus pectinilyticus	1000	0
Anterior nares	74	SP0075	Bacteroides dorei	1000	0
Anterior nares	74	SP0076	Ruminococcus torques	1000	0
Anterior nares	74	SP0077	Clostridium sp CAG 58	1000	0
Anterior nares	74	SP0078	Alistipes timonensis	1000	0
Anterior nares	74	SP0079	Firmicutes bacterium CAG 83	1000	0
Anterior nares	74	SP0080	Alistipes finegoldii	1000	0
Anterior nares	74	SP0081	Dorea longicatena	1000	0
Anterior nares	74	SP0082	Eubacterium hallii	1000	0
Anterior nares	74	SP0083	Gordonibacter pamelaeae	1000	0
Anterior nares	74	SP0084	Clostridium spiroforme	1000	0
Anterior nares	74	SP0085	Collinsella stercoris	1000	0
Anterior nares	74	SP0086	Coprococcus comes	1000	0
Anterior nares	74	SP0087	Oscillibacter sp PC13	1000	0
Anterior nares	74	SP0088	Holdemania filiformis	1000	0
Anterior nares	74	SP0089	Adlercreutzia equolifaciens	1000	0
Anterior nares	74	SP0090	Christensenella minuta	1000	0
Anterior nares	74	SP0091	Asaccharobacter celatus	1000	0
Anterior nares	74	SP0092	[Collinsella] massiliensis	1000	0
Anterior nares	74	SP0093	Clostridium leptum	1000	0
Anterior nares	74	SP0094	Eggerthella lenta	1000	0
Anterior nares	74	SP0095	Collinsella intestinalis	1000	0
Anterior nares	74	SP0096	Bilophila wadsworthia	1000	0
Anterior nares	74	SP0097	Blautia wexlerae	1000	0
Anterior nares	74	SP0098	Streptococcus mitis	1000	0
Anterior nares	74	SP0099	Clostridium citroniae	1000	0
Anterior nares	74	SP0100	Streptococcus infantis	1000	0
Anterior nares	74	SP0101	Enorma massiliensis	1000	0
Anterior nares	74	SP0102	Gemella sanguinis	1000	0
Anterior nares	74	SP0103	Clostridium innocuum	1000	0
Anterior nares	74	SP0104	Enterorhabdus caecimuris	1000	0
Anterior nares	74	SP0105	Olsenella scatoligenes	1000	0
Anterior nares	74	SP0106	Fretibacterium fastidiosum	1000	0
Anterior nares	74	SP0107	Rothia mucilaginosa	1000	0
Anterior nares	74	SP0108	Actinomyces sp ICM47	1000	0
Anterior nares	74	SP0109	Prevotella melaninogenica	1000	0
Anterior nares	74	SP0110	Actinomyces sp oral taxon 181	1000	0
Anterior nares	74	SP0111	Actinomyces graevenitzii	1000	0
Anterior nares	74	SP0112	Prevotella salivae	1000	0
Anterior nares	74	SP0113	Prevotella histicola	1000	0
Anterior nares	74	SP0114	Oribacterium sinus	1000	0
Anterior nares	74	SP0115	Actinomyces sp HMSC035G02	1000	0
Anterior nares	74	SP0116	Veillonella rogosae	1000	0
Anterior nares	74	SP0117	Campylobacter concisus	1000	0
Anterior nares	74	SP0118	Megasphaera micronuciformis	1000	0
Anterior nares	74	SP0119	Fusobacterium periodonticum	1000	0
Anterior nares	74	SP0120	Actinomyces odontolyticus	1000	0
Anterior nares	74	SP0121	Atopobium parvulum	1000	0
Anterior nares	74	SP0122	Prevotella pallens	1000	0
Anterior nares	74	SP0123	Granulicatella elegans	1000	0
Anterior nares	74	SP0124	Stomatobaculum longum	1000	0
Anterior nares	74	SP0125	Leptotrichia wadei	1000	0
Anterior nares	74	SP0126	Actinomyces sp S6 Spd3	1000	0
Anterior nares	74	SP0127	Streptococcus thermophilus	1000	0
Anterior nares	74	SP0128	Neisseria flavescens	1000	0
Anterior nares	74	SP0129	Streptococcus oralis	1000	0
Anterior nares	74	SP0130	Neisseria subflava	1000	0
Anterior nares	74	SP0131	Lachnoanaerobaculum saburreum	1000	0
Anterior nares	74	SP0132	Streptococcus sanguinis	1000	0
Anterior nares	74	SP0133	Streptococcus australis	1000	0
Anterior nares	74	SP0134	Streptococcus gordonii	1000	0
Anterior nares	74	SP0135	Leptotrichia sp oral taxon 215	1000	0
Anterior nares	74	SP0136	Streptococcus sp F0442	1000	0
Anterior nares	74	SP0137	Porphyromonas somerae	1000	0
Anterior nares	74	SP0138	Kingella oralis	1000	0
Anterior nares	74	SP0139	Prevotella sp oral taxon 299	1000	0
Anterior nares	74	SP0140	Oribacterium asaccharolyticum	1000	0
Anterior nares	74	SP0141	Rothia dentocariosa	1000	0
Anterior nares	74	SP0142	Solobacterium moorei	1000	0
Anterior nares	74	SP0143	Haemophilus sputorum	1000	0
Anterior nares	74	SP0144	Staphylococcus aureus	1000	0
Anterior nares	74	SP0145	Streptococcus sp HPH0090	1000	0
Anterior nares	74	SP0146	Gemella haemolysans	1000	0
Anterior nares	74	SP0147	Streptococcus sp A12	1000	0
Anterior nares	74	SP0148	Lactobacillus helveticus	1000	0
Anterior nares	74	SP0149	Leptotrichia sp oral taxon 212	1000	0
Anterior nares	74	SP0150	Fusobacterium nucleatum	1000	0
Anterior nares	74	SP0151	Capnocytophaga leadbetteri	1000	0
Anterior nares	74	SP0152	Granulicatella adiacens	1000	0
Anterior nares	74	SP0153	Prevotella nigrescens	1000	0
Anterior nares	74	SP0154	Streptococcus vestibularis	1000	0
Anterior nares	74	SP0155	Streptococcus sp HMSC034E03	1000	0
Anterior nares	74	SP0156	Actinomyces sp HPA0247	1000	0
Anterior nares	74	SP0157	Capnocytophaga gingivalis	1000	0
Anterior nares	74	SP0158	Actinomyces oris	1000	0
Anterior nares	74	SP0159	Rothia aeria	1000	0
Anterior nares	74	SP0160	Haemophilus influenzae	1000	0
Anterior nares	74	SP0161	Haemophilus quentini	1000	0
Anterior nares	74	SP0162	Streptococcus cristatus	1000	0
Anterior nares	74	SP0163	Streptococcus mutans	1000	0
Anterior nares	74	SP0164	Streptococcus sp HMSC067H01	1000	0
Anterior nares	74	SP0165	Atopobium rimae	1000	0
Anterior nares	74	SP0166	Haemophilus haemolyticus	1000	0
Anterior nares	74	SP0167	Capnocytophaga granulosa	1000	0
Anterior nares	74	SP0168	Neisseria sicca	1000	0
Anterior nares	74	SP0169	Leptotrichia hofstadii	1000	0
Anterior nares	74	SP0170	Cardiobacterium hominis	1000	0
Anterior nares	74	SP0171	Capnocytophaga sputigena	1000	0
Anterior nares	74	SP0172	Streptococcus sp HMSC071D03	1000	0
Anterior nares	74	SP0173	Streptococcus pseudopneumoniae	1000	0
Anterior nares	74	SP0174	Corynebacterium durum	1000	0
Anterior nares	74	SP0175	Prevotella pleuritidis	1000	0
Anterior nares	74	SP0176	Gemella morbillorum	1000	0
Anterior nares	74	SP0177	Lautropia mirabilis	1000	0
Anterior nares	74	SP0178	Prevotella sp oral taxon 473	1000	0
Anterior nares	74	SP0179	Aggregatibacter sp oral taxon 458	1000	0
Anterior nares	74	SP0180	Bulleidia extructa	1000	0
Anterior nares	74	SP0181	Leptotrichia sp oral taxon 225	1000	0
Anterior nares	74	SP0182	Leptotrichia sp oral taxon 498	1000	0
Anterior nares	74	SP0183	Actinomyces naeslundii	1000	0
Anterior nares	74	SP0184	Haemophilus parahaemolyticus	1000	0
Anterior nares	74	SP0185	Bifidobacterium longum	1000	0
Anterior nares	74	SP0186	Prevotella oris	1000	0
Anterior nares	74	SP0187	Parvimonas micra	1000	0
Anterior nares	74	SP0188	Streptococcus pneumoniae	1000	0
Anterior nares	74	SP0189	Haemophilus paraphrohaemolyticus	1000	0
Anterior nares	74	SP0190	Corynebacterium matruchotii	1000	0
Anterior nares	74	SP0191	Actinomyces sp oral taxon 170	1000	0
Anterior nares	74	SP0192	Actinobaculum sp oral taxon 183	1000	0
Anterior nares	74	SP0193	Actinomyces massiliensis	1000	0
Anterior nares	74	SP0194	Campylobacter gracilis	1000	0
Anterior nares	74	SP0195	Capnocytophaga sp oral taxon 863	1000	0
Anterior nares	74	SP0196	Eikenella corrodens	1000	0
Anterior nares	74	SP0197	Cardiobacterium valvarum	1000	0
Anterior nares	74	SP0198	Pseudopropionibacterium propionicum	1000	0
Anterior nares	74	SP0199	Actinomyces viscosus	1000	0
Anterior nares	74	SP0200	Campylobacter showae	1000	0
Anterior nares	74	SP0201	Actinomyces johnsonii	1000	0
Anterior nares	74	SP0202	Prevotella loescheii	1000	0
Anterior nares	74	SP0203	Streptococcus sp oral taxon 056	1000	0
Anterior nares	74	SP0204	Eubacterium brachy	1000	0
Anterior nares	74	SP0205	Abiotrophia defectiva	1000	0
Anterior nares	74	SP0206	Capnocytophaga ochracea	1000	0
Anterior nares	74	SP0207	Streptococcus anginosus group	1000	0
Anterior nares	74	SP0208	Actinomyces meyeri	1000	0
Anterior nares	74	SP0209	Actinomyces sp oral taxon 448	1000	0
Anterior nares	74	SP0210	Eikenella sp NML130454	1000	0
Anterior nares	74	SP0211	Selenomonas noxia	1000	0
Anterior nares	74	SP0212	Oribacterium sp oral taxon 078	1000	0
Anterior nares	74	SP0213	Abiotrophia sp HMSC24B09	1000	0
Anterior nares	74	SP0214	Leptotrichia sp oral taxon 879	1000	0
Anterior nares	74	SP0215	Aggregatibacter actinomycetemcomitans	1000	0
Anterior nares	74	SP0216	Actinomyces sp oral taxon 180	1000	0
Anterior nares	74	SP0217	Aggregatibacter segnis	1000	0
Anterior nares	74	SP0218	Actinomyces denticolens	1000	0
Anterior nares	74	SP0219	Selenomonas infelix	1000	0
Anterior nares	74	SP0220	Kingella denitrificans	1000	0
Anterior nares	74	SP0221	Capnocytophaga sp oral taxon 338	1000	0
Anterior nares	74	SP0222	Staphylococcus argenteus	1000	0
Anterior nares	74	SP0223	Staphylococcus epidermidis	1000	0.933
Anterior nares	74	SP0224	Cutibacterium acnes	1000	1
Anterior nares	74	SP0225	Corynebacterium accolens	1000	0.077
Anterior nares	74	SP0226	Escherichia coli	1000	0
Anterior nares	74	SP0227	Haemophilus sp HMSC71H05	1000	0
Anterior nares	74	SP0228	Propionibacterium namnetense	1000	0
Anterior nares	74	SP0229	Klebsiella pneumoniae	1000	0
Anterior nares	74	SP0230	Gardnerella vaginalis	1000	0
Anterior nares	74	SP0231	Lactobacillus iners	1000	0
Anterior nares	74	SP0232	Atopobium vaginae	1000	0
Anterior nares	74	SP0233	Sneathia amnii	1000	0
Anterior nares	74	SP0234	Veillonellaceae bacterium DNF00626	1000	0
Anterior nares	74	SP0235	Prevotella timonensis	1000	0
Anterior nares	74	SP0236	Prevotella buccalis	1000	0
Anterior nares	74	SP0237	Anaerococcus tetradius	1000	0
Anterior nares	74	SP0238	Dialister micraerophilus	1000	0
Anterior nares	74	SP0239	Peptoniphilus lacrimalis	1000	0
Anterior nares	74	SP0240	Aerococcus christensenii	1000	0
Anterior nares	74	SP0241	Mobiluncus curtisii	1000	0
Anterior nares	74	SP0242	Tissierellia bacterium KA00581	1000	0
Anterior nares	74	SP0243	Prevotella bivia	1000	0
Anterior nares	74	SP0244	Lactobacillus jensenii	1000	0
Anterior nares	74	SP0245	Mageeibacillus indolicus	1000	0
Anterior nares	74	SP0246	Gemella asaccharolytica	1000	0
Anterior nares	74	SP0247	Prevotella colorans	1000	0
Anterior nares	74	SP0248	Lactobacillus coleohominis	1000	0
Anterior nares	74	SP0249	Prevotella sp S7 1 8	1000	0
Anterior nares	74	SP0250	Lactobacillus gasseri	1000	0
Anterior nares	74	SP0251	Mycoplasma hominis	1000	0
Anterior nares	74	SP0252	Porphyromonas uenonis	1000	0
Anterior nares	74	SP0253	Peptococcus niger	1000	0
Anterior nares	74	SP0254	Peptoniphilus sp BV3C26	1000	0
Anterior nares	74	SP0255	Bacteroides coagulans	1000	0
Anterior nares	74	SP0256	Porphyromonas asaccharolytica	1000	0
Anterior nares	74	SP0257	Peptoniphilus duerdenii	1000	0
Anterior nares	74	SP0258	Mobiluncus mulieris	1000	0
Anterior nares	74	SP0259	Peptoniphilus harei	1000	0
Anterior nares	74	SP0260	Actinomyces neuii	1000	0
Anterior nares	74	SP0261	Anaerococcus lactolyticus	1000	0
Anterior nares	74	SP0262	Atopobium deltae	1000	0
Anterior nares	74	SP0263	Ureaplasma parvum	1000	0
Anterior nares	74	SP0264	Varibaculum cambriense	1000	0
Anterior nares	74	SP0265	Atopobium minutum	1000	0
Anterior nares	74	SP0266	Lactobacillus paragasseri	1000	0
Anterior nares	74	SP0267	Prevotella bergensis	1000	0
Anterior nares	74	SP0268	Peptoniphilus coxii	1000	0
Anterior nares	74	SP0269	Neisseria perflava	1000	0
Anterior nares	74	SP0270	Prevotella shahii	1000	0
Anterior nares	74	SP0271	Lachnospiraceae bacterium oral taxon 096	1000	0
Anterior nares	74	SP0272	Eubacterium sulci	1000	0
Anterior nares	74	SP0273	Oribacterium parvum	1000	0
Anterior nares	74	SP0274	Tannerella sp oral taxon HOT 286	1000	0
Anterior nares	74	SP0275	Mogibacterium diversum	1000	0
Anterior nares	74	SP0276	Alloprevotella tannerae	1000	0
Anterior nares	74	SP0277	Prevotella jejuni	1000	0
Anterior nares	74	SP0278	Lachnoanaerobaculum umeaense	1000	0
Anterior nares	74	SP0279	Veillonella tobetsuensis	1000	0
Anterior nares	74	SP0280	Gemella bergeri	1000	0
Anterior nares	74	SP0281	Treponema sp OMZ 838	1000	0
Anterior nares	74	SP0282	Neisseria sp oral taxon 014	1000	0
Anterior nares	74	SP0283	Treponema socranskii	1000	0
Anterior nares	74	SP0284	Peptostreptococcus stomatis	1000	0
Anterior nares	74	SP0285	Alloscardovia omnicolens	1000	0
Anterior nares	74	SP0286	Campylobacter mucosalis	1000	0
Anterior nares	74	SP0287	Streptococcus peroris	1000	0
Anterior nares	74	SP0288	Neisseria elongata	1000	0
Anterior nares	74	SP0289	Alloprevotella rava	1000	0
Anterior nares	74	SP0290	Treponema denticola	1000	0
Anterior nares	74	SP0291	Mogibacterium pumilum	1000	0
Anterior nares	74	SP0292	Porphyromonas endodontalis	1000	0
Anterior nares	74	SP0293	Bacteroidetes oral taxon 274	1000	0
Anterior nares	74	SP0294	Prevotella oulorum	1000	0
Anterior nares	74	SP0295	Capnocytophaga sp oral taxon 332	1000	0
Anterior nares	74	SP0296	Prevotella denticola	1000	0
Anterior nares	74	SP0297	Prevotella scopos	1000	0
Anterior nares	74	SP0298	Leptotrichia buccalis	1000	0
Anterior nares	74	SP0299	Selenomonas sputigena	1000	0
Anterior nares	74	SP0300	Porphyromonas catoniae	1000	0
Anterior nares	74	SP0301	Streptococcus sp M334	1000	0
Anterior nares	74	SP0302	Prevotella veroralis	1000	0
Anterior nares	74	SP0303	Slackia exigua	1000	0
Anterior nares	74	SP0304	Parvimonas sp oral taxon 110	1000	0
Anterior nares	74	SP0305	Leptotrichia goodfellowii	1000	0
Anterior nares	74	SP0306	Treponema medium	1000	0
Anterior nares	74	SP0307	Haemophilus pittmaniae	1000	0
Anterior nares	74	SP0308	Fusobacterium hwasookii	1000	0
Anterior nares	74	SP0309	Porphyromonas canoris	1000	0
Anterior nares	74	SP0310	Olsenella uli	1000	0
Anterior nares	74	SP0311	Prevotella sp oral taxon 306	1000	0
Anterior nares	74	SP0312	Selenomonas flueggei	1000	0
Anterior nares	74	SP0313	Porphyromonas sp oral taxon 278	1000	0
Anterior nares	74	SP0314	Aggregatibacter aphrophilus	1000	0
Anterior nares	74	SP0315	Eubacterium yurii	1000	0
Anterior nares	74	SP0316	Prevotella buccae	1000	0
Anterior nares	74	SP0317	Anaeroglobus geminatus	1000	0
Anterior nares	74	SP0318	Parvimonas sp oral taxon 393	1000	0
Anterior nares	74	SP0319	Tannerella forsythia	1000	0
Anterior nares	74	SP0320	Eubacterium infirmum	1000	0
Anterior nares	74	SP0321	Actinomyces sp oral taxon 414	1000	0
Anterior nares	74	SP0322	Ottowia sp oral taxon 894	1000	0
Anterior nares	74	SP0323	Treponema maltophilum	1000	0
Anterior nares	74	SP0324	Selenomonas sp oral taxon 892	1000	0
Anterior nares	74	SP0325	Prevotella saccharolytica	1000	0
Anterior nares	74	SP0326	Johnsonella ignava	1000	0
Anterior nares	74	SP0327	Catonella morbi	1000	0
Anterior nares	74	SP0328	Actinomyces hongkongensis	1000	0
Anterior nares	74	SP0329	Prevotella micans	1000	0
Anterior nares	74	SP0330	Actinomyces georgiae	1000	0
Anterior nares	74	SP0331	Selenomonas artemidis	1000	0
Anterior nares	74	SP0332	Prevotella maculosa	1000	0
Anterior nares	74	SP0333	Prevotella enoeca	1000	0
Anterior nares	74	SP0334	Centipeda periodontii	1000	0
Anterior nares	74	SP0335	Campylobacter curvus	1000	0
Anterior nares	74	SP0336	Selenomonas sp FOBRC6	1000	0
Anterior nares	74	SP0337	Neisseria gonorrhoeae	1000	0
Anterior nares	74	SP0338	Selenomonas sp oral taxon 920	1000	0
Anterior nares	74	SP0339	Selenomonas sp oral taxon 138	1000	0
Anterior nares	74	SP0340	Sutterella parvirubra	1000	0
Anterior nares	74	SP0341	Treponema vincentii	1000	0
Anterior nares	74	SP0342	Neisseria mucosa	1000	0
Anterior nares	74	SP0343	Campylobacter rectus	1000	0
Anterior nares	74	SP0344	Selenomonas sp oral taxon 126	1000	0
Anterior nares	74	SP0345	Prevotella copri	1000	0
Anterior nares	74	SP0346	Butyrivibrio crossotus	1000	0
Anterior nares	74	SP0347	Bacteroides massiliensis	1000	0
Anterior nares	74	SP0348	Catenibacterium mitsuokai	1000	0
Anterior nares	74	SP0349	Eubacterium sp CAG 180	1000	0
Anterior nares	74	SP0350	Eubacterium siraeum	1000	0
Anterior nares	74	SP0351	Bacteroides finegoldii	1000	0
Anterior nares	74	SP0352	Bacteroides eggerthii	1000	0
Anterior nares	74	SP0353	Bacteroides faecichinchillae	1000	0
Anterior nares	74	SP0354	Coprobacter fastidiosus	1000	0
Anterior nares	74	SP0355	Desulfovibrionaceae bacterium	1000	0
Anterior nares	74	SP0356	Methanobrevibacter smithii	1000	0
Anterior nares	74	SP0357	Bacteroides salyersiae	1000	0
Anterior nares	74	SP0358	Ruminococcus lactaris	1000	0
Anterior nares	74	SP0359	Roseburia sp CAG 471	1000	0
Anterior nares	74	SP0360	Clostridium sp CAG 167	1000	0
Anterior nares	74	SP0361	Bacteroides nordii	1000	0
Anterior nares	74	SP0362	Bifidobacterium adolescentis	1000	0
Anterior nares	74	SP0363	Alistipes onderdonkii	1000	0
Anterior nares	74	SP0364	Roseburia sp CAG 182	1000	0
Anterior nares	74	SP0365	Coprococcus catus	1000	0
Anterior nares	74	SP0366	Bacteroides intestinalis	1000	0
Anterior nares	74	SP0367	Sharpea azabuensis	1000	0
Anterior nares	74	SP0368	Slackia isoflavoniconvertens	1000	0
Anterior nares	74	SP0369	Turicibacter sanguinis	1000	0
Anterior nares	74	SP0370	Firmicutes bacterium CAG 238	1000	0
Anterior nares	74	SP0371	Ruminococcaceae bacterium D5	1000	0
Anterior nares	74	SP0372	Firmicutes bacterium CAG 170	1000	0
Anterior nares	74	SP0373	Morococcus cerebrosus	1000	0
Anterior nares	74	SP0374	Neisseria cinerea	1000	0
Anterior nares	74	SP0375	Fusobacterium sp oral taxon 370	1000	0
Anterior nares	74	SP0376	Tannerella sp oral taxon 808	1000	0
Anterior nares	74	SP0377	Prevotella sp F0091	1000	0
Anterior nares	74	SP0378	Streptococcus sp SK643	1000	0
Anterior nares	74	SP0379	Neisseria meningitidis	1000	0
Anterior nares	74	SP0380	Neisseria macacae	1000	0
Anterior nares	74	SP0381	Streptococcus sp oral taxon 058	1000	0
Anterior nares	74	SP0382	Candida albicans	1000	0
Anterior nares	74	SP0383	Neisseria bacilliformis	1000	0
Anterior nares	74	SP0384	Neisseria sp HMSC064E01	1000	0
Anterior nares	74	SP0385	Selenomonas sp F0473	1000	0
Anterior nares	74	SP0386	Bacteroides coprocola	1000	0
Anterior nares	74	SP0387	Acidaminococcus intestini	1000	0
Anterior nares	74	SP0388	Ruminococcus sp CAG 330	1000	0
Anterior nares	74	SP0389	Anaeromassilibacillus sp An250	1000	0
Anterior nares	74	SP0390	Anaerotruncus colihominis	1000	0
Anterior nares	74	SP0391	Harryflintia acetispora	1000	0
Anterior nares	74	SP0392	Firmicutes bacterium CAG 94	1000	0
Anterior nares	74	SP0393	Lachnoclostridium sp An138	1000	0
Anterior nares	74	SP0394	Massiliomicrobiota timonensis	1000	0
Anterior nares	74	SP0395	Ruminococcaceae bacterium D16	1000	0
Anterior nares	74	SP0396	Neisseria lactamica	1000	0
Anterior nares	74	SP0397	Streptococcus milleri	1000	0
Anterior nares	74	SP0398	Filifactor alocis	1000	0
Anterior nares	74	SP0399	Prevotella fusca	1000	0
Anterior nares	74	SP0400	Prevotella oralis	1000	0
Anterior nares	74	SP0401	Actinomyces sp oral taxon 897	1000	0
Anterior nares	74	SP0402	Veillonella rodentium	1000	0
Anterior nares	74	SP0403	Shuttleworthia satelles	1000	0
Anterior nares	74	SP0404	Olsenella profusa	1000	0
Anterior nares	74	SP0405	Corynebacterium pseudodiphtheriticum	1000	0
Anterior nares	74	SP0406	Anaerococcus octavius	1000	0
Anterior nares	74	SP0407	Lactobacillus vaginalis	1000	0
Anterior nares	74	SP0408	Finegoldia magna	1000	0
Anterior nares	74	SP0409	Campylobacter ureolyticus	1000	0
Anterior nares	74	SP0410	Faecalitalea cylindroides	1000	0
Anterior nares	74	SP0411	Clostridium bolteae	1000	0
Anterior nares	74	SP0412	Blautia sp CAG 257	1000	0
Anterior nares	74	SP0413	Eubacterium dolichum CAG 375	1000	0
Anterior nares	74	SP0414	Absiella dolichum	1000	0
Anterior nares	74	SP0415	Clostridium bolteae CAG 59	1000	0
Anterior nares	74	SP0416	Bacteroides faecis	1000	0
Anterior nares	74	SP0417	Clostridium lavalense	1000	0
Anterior nares	74	SP0418	Clostridium saccharolyticum	1000	0
Anterior nares	74	SP0419	Clostridium clostridioforme	1000	0
Anterior nares	74	SP0420	Clostridium symbiosum	1000	0
Anterior nares	74	SP0421	Bacteroides plebeius	1000	0
Anterior nares	74	SP0422	Blautia hydrogenotrophica	1000	0
Anterior nares	74	SP0423	Ruminococcus sp CAG 403	1000	0
Anterior nares	74	SP0424	Ruminococcus gnavus	1000	0
Anterior nares	74	SP0425	Lactococcus lactis	1000	0
Anterior nares	74	SP0426	Roseburia sp CAG 309	1000	0
Anterior nares	74	SP0427	Romboutsia ilealis	1000	0
Anterior nares	74	SP0428	Peptoanaerobacter stomatis	1000	0
Anterior nares	74	SP0429	Streptococcus sp NLAE zl C503	1000	0
Anterior nares	74	SP0430	Treponema lecithinolyticum	1000	0
Anterior nares	74	SP0431	Prevotella marshii	1000	0
Anterior nares	74	SP0432	Limnochorda pilosa	1000	0
Anterior nares	74	SP0433	Lactobacillus crispatus	1000	0
Anterior nares	74	SP0434	Moraxella nonliquefaciens	1000	0
Anterior nares	74	SP0435	Dolosigranulum pigrum	1000	0
Anterior nares	74	SP0436	Cutibacterium granulosum	1000	0
Anterior nares	74	SP0437	Corynebacterium pseudogenitalium	1000	0
Anterior nares	74	SP0438	Cutibacterium avidum	1000	0
Anterior nares	74	SP0439	Cloacibacterium normanense	1000	0
Anterior nares	74	SP0440	Anaerotignum lactatifermentans	1000	0
Anterior nares	74	SP0441	Lachnoclostridium sp An14	1000	0
Anterior nares	74	SP0442	Intestinibacter bartlettii	1000	0
Anterior nares	74	SP0443	Erysipelatoclostridium ramosum	1000	0
Anterior nares	74	SP0444	Eisenbergiella tayi	1000	0
Anterior nares	74	SP0445	Eubacterium sp CAG 274	1000	0
