UnitSet	Habitat	Units	FeatureID	Label	Phylum	CoreEligible	Detected	Prevalence	WilsonLower	WilsonUpper	MeanRelativeAbundance	MedianWhenDetected	OperationalCore	BootstrapInclusionFrequency	StableCore	SelectionScore
Subject-habitat representatives	Anterior nares	74	SP0041	Intestinimonas butyriciproducens	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0042	Blautia obeum	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0043	Bacteroides galacturonicus	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0044	Veillonella atypica	Firmicutes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.000236852655636496	0.00876354825855035	FALSE	0	FALSE	0.000415946433833983
Subject-habitat representatives	Anterior nares	74	SP0045	Veillonella parvula	Firmicutes	TRUE	6	0.0810810810810811	0.0376898501938264	0.165819424435578	0.00127224436722897	0.00412575035989007	FALSE	0	FALSE	0.00289204335358108
Subject-habitat representatives	Anterior nares	74	SP0046	Alistipes inops	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0047	Haemophilus parainfluenzae	Proteobacteria	TRUE	16	0.216216216216216	0.13770451655905	0.322737250125385	0.00165584051888125	0.00397474920505016	FALSE	0	FALSE	0.00879827466686018
Subject-habitat representatives	Anterior nares	74	SP0048	Lactobacillus rogosae	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0049	Victivallis vadensis	Lentisphaerae	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0050	Dielma fastidiosa	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0051	Prevotella disiens	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0052	Parabacteroides goldsteinii	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0053	Oxalobacter formigenes	Proteobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0054	Collinsella aerofaciens	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0055	Lawsonibacter asaccharolyticus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0056	Flavonifractor plautii	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0057	Streptococcus salivarius	Firmicutes	TRUE	4	0.0540540540540541	0.0212190121728748	0.130903764045524	0.000253529686757576	0.00145454996647	FALSE	0	FALSE	0.000860681922987135
Subject-habitat representatives	Anterior nares	74	SP0058	Dialister invisus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0059	Veillonella sp T11011 6	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0060	Veillonella infantium	Firmicutes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000487405443924343	0.00180340014252007	FALSE	0	FALSE	0.00018868764483581
Subject-habitat representatives	Anterior nares	74	SP0061	Bacteroides stercoris	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.00043828645731339	0.0123797975240405	FALSE	0	FALSE	0.00084872806004561
Subject-habitat representatives	Anterior nares	74	SP0062	Bacteroides uniformis	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000981283697994354	0.0272486027248603	FALSE	0	FALSE	0.00126995059821417
Subject-habitat representatives	Anterior nares	74	SP0063	Barnesiella intestinihominis	Bacteroidetes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000306364803591904	0.00113354977329004	FALSE	0	FALSE	0.00014959521804404
Subject-habitat representatives	Anterior nares	74	SP0064	Ruminococcus bromii	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000324432432432432	0.0024008	FALSE	0	FALSE	0.0000769715818030733
Subject-habitat representatives	Anterior nares	74	SP0065	Bacteroides thetaiotaomicron	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.0000192175637240548	0.000470699905860019	FALSE	0	FALSE	0.000177720980211253
Subject-habitat representatives	Anterior nares	74	SP0066	Parabacteroides johnsonii	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0067	Phascolarctobacterium faecium	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0068	Roseburia inulinivorans	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0069	Bacteroides clarus	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0070	Roseburia faecis	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0071	Firmicutes bacterium CAG 110	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0072	Bacteroides xylanisolvens	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000165735106546492	0.00286889942622011	FALSE	0	FALSE	0.000521911409302081
Subject-habitat representatives	Anterior nares	74	SP0073	Firmicutes bacterium CAG 95	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0074	Monoglobus pectinilyticus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0075	Bacteroides dorei	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.00049558116143218	0.00424139957586004	FALSE	0	FALSE	0.000902499416025179
Subject-habitat representatives	Anterior nares	74	SP0076	Ruminococcus torques	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0077	Clostridium sp CAG 58	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0078	Alistipes timonensis	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0079	Firmicutes bacterium CAG 83	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0080	Alistipes finegoldii	Bacteroidetes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000240945923348651	0.00172759982724002	FALSE	0	FALSE	0.0000663327605579666
Subject-habitat representatives	Anterior nares	74	SP0081	Dorea longicatena	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0082	Eubacterium hallii	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0083	Gordonibacter pamelaeae	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0084	Clostridium spiroforme	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0085	Collinsella stercoris	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0086	Coprococcus comes	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0087	Oscillibacter sp PC13	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0088	Holdemania filiformis	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0089	Adlercreutzia equolifaciens	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0090	Christensenella minuta	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0091	Asaccharobacter celatus	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0092	[Collinsella] massiliensis	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0093	Clostridium leptum	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0094	Eggerthella lenta	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0095	Collinsella intestinalis	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0096	Bilophila wadsworthia	Proteobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0097	Blautia wexlerae	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0098	Streptococcus mitis	Firmicutes	TRUE	28	0.378378378378378	0.276475346910608	0.492285410239865	0.00964440115218978	0.00559044972929003	FALSE	0	FALSE	0.0371589937305736
Subject-habitat representatives	Anterior nares	74	SP0099	Clostridium citroniae	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0100	Streptococcus infantis	Firmicutes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.00015608913178503	0.0019786	FALSE	0	FALSE	0.000506495822202113
Subject-habitat representatives	Anterior nares	74	SP0101	Enorma massiliensis	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0102	Gemella sanguinis	Firmicutes	TRUE	5	0.0675675675675676	0.0292040861653622	0.148611939258539	0.000344736479304737	0.00176159911920044	FALSE	0	FALSE	0.00125453246805625
Subject-habitat representatives	Anterior nares	74	SP0103	Clostridium innocuum	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0104	Enterorhabdus caecimuris	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0105	Olsenella scatoligenes	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0106	Fretibacterium fastidiosum	Synergistetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0107	Rothia mucilaginosa	Actinobacteria	TRUE	8	0.108108108108108	0.0558073286815147	0.199088444358896	0.00118008093208869	0.00281374948030544	FALSE	0	FALSE	0.00371376281800345
Subject-habitat representatives	Anterior nares	74	SP0108	Actinomyces sp ICM47	Actinobacteria	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.000125867545943518	0.00465709919991016	FALSE	0	FALSE	0.000303218125306886
Subject-habitat representatives	Anterior nares	74	SP0109	Prevotella melaninogenica	Bacteroidetes	TRUE	6	0.0810810810810811	0.0376898501938264	0.165819424435578	0.000491017605809209	0.00296404919233027	FALSE	0	FALSE	0.00179666895179373
Subject-habitat representatives	Anterior nares	74	SP0110	Actinomyces sp oral taxon 181	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0111	Actinomyces graevenitzii	Actinobacteria	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000144824319540812	0.00176989964602007	FALSE	0	FALSE	0.000487876931103247
Subject-habitat representatives	Anterior nares	74	SP0112	Prevotella salivae	Bacteroidetes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000202256721932439	0.000748349871150025	FALSE	0	FALSE	0.000121548543189664
Subject-habitat representatives	Anterior nares	74	SP0113	Prevotella histicola	Bacteroidetes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.00138396864225843	0.102364379527124	FALSE	0	FALSE	0.000502726067870698
Subject-habitat representatives	Anterior nares	74	SP0114	Oribacterium sinus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0115	Actinomyces sp HMSC035G02	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0116	Veillonella rogosae	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000812162162162162	0.00601	FALSE	0	FALSE	0.000121783837927958
Subject-habitat representatives	Anterior nares	74	SP0117	Campylobacter concisus	Proteobacteria	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.000221632388234874	0.00817654836469033	FALSE	0	FALSE	0.000402360083013203
Subject-habitat representatives	Anterior nares	74	SP0118	Megasphaera micronuciformis	Firmicutes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000338081018472985	0.00125089976835004	FALSE	0	FALSE	0.000157147931886489
Subject-habitat representatives	Anterior nares	74	SP0119	Fusobacterium periodonticum	Fusobacteria	TRUE	4	0.0540540540540541	0.0212190121728748	0.130903764045524	0.000934987858356761	0.00408625078380016	FALSE	0	FALSE	0.00165284168460001
Subject-habitat representatives	Anterior nares	74	SP0120	Actinomyces odontolyticus	Actinobacteria	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000202162162162162	0.001496	FALSE	0	FALSE	0.000060760063233908
Subject-habitat representatives	Anterior nares	74	SP0121	Atopobium parvulum	Actinobacteria	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000445067478554072	0.00329349934130013	FALSE	0	FALSE	0.0000901532133248265
Subject-habitat representatives	Anterior nares	74	SP0122	Prevotella pallens	Bacteroidetes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.000214152673315684	0.0078786989126803	FALSE	0	FALSE	0.000395512329039153
Subject-habitat representatives	Anterior nares	74	SP0123	Granulicatella elegans	Firmicutes	TRUE	5	0.0675675675675676	0.0292040861653622	0.148611939258539	0.000437099870955872	0.00395459920908016	FALSE	0	FALSE	0.00141263064606491
Subject-habitat representatives	Anterior nares	74	SP0124	Stomatobaculum longum	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0125	Leptotrichia wadei	Fusobacteria	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000276229674483795	0.00204409959118008	FALSE	0	FALSE	0.0000710237249946938
Subject-habitat representatives	Anterior nares	74	SP0126	Actinomyces sp S6 Spd3	Actinobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0127	Streptococcus thermophilus	Firmicutes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000565572996743245	0.0136320013632001	FALSE	0	FALSE	0.000964126162326599
Subject-habitat representatives	Anterior nares	74	SP0128	Neisseria flavescens	Proteobacteria	TRUE	7	0.0945945945945946	0.0465799379842249	0.182622585850683	0.00311933529106973	0.0113595977280805	FALSE	0	FALSE	0.00528320362582579
Subject-habitat representatives	Anterior nares	74	SP0129	Streptococcus oralis	Firmicutes	TRUE	14	0.189189189189189	0.116179695667346	0.292875572606084	0.00208851870501714	0.00566155	FALSE	0	FALSE	0.00864600536236015
Subject-habitat representatives	Anterior nares	74	SP0130	Neisseria subflava	Proteobacteria	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.000296778364336494	0.0109807994804503	FALSE	0	FALSE	0.000465601525316743
Subject-habitat representatives	Anterior nares	74	SP0131	Lachnoanaerobaculum saburreum	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000125770245116221	0.000930699813860037	FALSE	0	FALSE	0.0000479244606474178
Subject-habitat representatives	Anterior nares	74	SP0132	Streptococcus sanguinis	Firmicutes	TRUE	13	0.175675675675676	0.105642085366831	0.277719933701095	0.00167348082329992	0.00218510043702009	FALSE	0	FALSE	0.00718657566721556
Subject-habitat representatives	Anterior nares	74	SP0133	Streptococcus australis	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.00000539594324797432	0.0003992998003501	FALSE	0	FALSE	0.0000313907698603864
Subject-habitat representatives	Anterior nares	74	SP0134	Streptococcus gordonii	Firmicutes	TRUE	5	0.0675675675675676	0.0292040861653622	0.148611939258539	0.000229085137383524	0.00310719937856012	FALSE	0	FALSE	0.0010226728856315
Subject-habitat representatives	Anterior nares	74	SP0135	Leptotrichia sp oral taxon 215	Fusobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0136	Streptococcus sp F0442	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0137	Porphyromonas somerae	Bacteroidetes	TRUE	6	0.0810810810810811	0.0376898501938264	0.165819424435578	0.00107386626447637	0.00276964954547009	FALSE	0	FALSE	0.00265701881805143
Subject-habitat representatives	Anterior nares	74	SP0138	Kingella oralis	Proteobacteria	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.00000377297221837853	0.000279199944160011	FALSE	0	FALSE	0.0000262488380847531
Subject-habitat representatives	Anterior nares	74	SP0139	Prevotella sp oral taxon 299	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0140	Oribacterium asaccharolyticum	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0141	Rothia dentocariosa	Actinobacteria	TRUE	11	0.148648648648649	0.085080595484994	0.246894925171926	0.00182924285978551	0.0007255	FALSE	0	FALSE	0.00635765049957409
Subject-habitat representatives	Anterior nares	74	SP0142	Solobacterium moorei	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0143	Haemophilus sputorum	Proteobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
