Habitat	Units	DetectionThreshold	PrevalenceThreshold	CoreSpecies	MeanCoreMass	MedianCoreMass	DetectionLabel	PrevalenceLabel
Stool	95	0.00001	0.9	4	0.0321316623465204	0.0241010024101002	0.001%	90%
Stool	95	0.00001	1	0	0	0	0.001%	100%
Stool	95	0.0001	0.5	43	0.727471564346624	0.767398323260167	0.01%	50%
Stool	95	0.0001	0.8	9	0.353830489371846	0.352842264715773	0.01%	80%
Stool	95	0.0001	0.9	1	0.0279095651869793	0.0161243	0.01%	90%
Stool	95	0.0001	1	0	0	0	0.01%	100%
Stool	95	0.001	0.5	21	0.675175283558435	0.706615529338447	0.1%	50%
Stool	95	0.001	0.8	4	0.333320463022077	0.328414267158573	0.1%	80%
Stool	95	0.001	0.9	1	0.0279095651869793	0.0161243	0.1%	90%
Stool	95	0.001	1	0	0	0	0.1%	100%
Posterior fornix	42	0	0.5	2	0.548982326508381	0.725347986479083	Any > 0	50%
Posterior fornix	42	0	0.8	0	0	0	Any > 0	80%
Posterior fornix	42	0	0.9	0	0	0	Any > 0	90%
Posterior fornix	42	0	1	0	0	0	Any > 0	100%
Posterior fornix	42	0.00001	0.5	2	0.548982326508381	0.725347986479083	0.001%	50%
Posterior fornix	42	0.00001	0.8	0	0	0	0.001%	80%
Posterior fornix	42	0.00001	0.9	0	0	0	0.001%	90%
Posterior fornix	42	0.00001	1	0	0	0	0.001%	100%
Posterior fornix	42	0.0001	0.5	2	0.548982326508381	0.725347986479083	0.01%	50%
Posterior fornix	42	0.0001	0.8	0	0	0	0.01%	80%
Posterior fornix	42	0.0001	0.9	0	0	0	0.01%	90%
Posterior fornix	42	0.0001	1	0	0	0	0.01%	100%
Posterior fornix	42	0.001	0.5	1	0.13710211989609	0.00427949983169001	0.1%	50%
Posterior fornix	42	0.001	0.8	0	0	0	0.1%	80%
Posterior fornix	42	0.001	0.9	0	0	0	0.1%	90%
Posterior fornix	42	0.001	1	0	0	0	0.1%	100%
