FeatureID	Label	Phylum	CoreHabitats	Habitats
SP0120	Actinomyces odontolyticus	Actinobacteria	1	Tongue dorsum
SP0115	Actinomyces sp HMSC035G02	Actinobacteria	1	Tongue dorsum
SP0156	Actinomyces sp HPA0247	Actinobacteria	1	Tongue dorsum
SP0108	Actinomyces sp ICM47	Actinobacteria	1	Tongue dorsum
SP0110	Actinomyces sp oral taxon 181	Actinobacteria	1	Tongue dorsum
SP0126	Actinomyces sp S6 Spd3	Actinobacteria	1	Tongue dorsum
SP0121	Atopobium parvulum	Actinobacteria	1	Tongue dorsum
SP0006	Bacteroides ovatus	Bacteroidetes	1	Stool
SP0062	Bacteroides uniformis	Bacteroidetes	1	Stool
SP0002	Bacteroides vulgatus	Bacteroidetes	1	Stool
SP0194	Campylobacter gracilis	Proteobacteria	1	Supragingival plaque
SP0200	Campylobacter showae	Proteobacteria	1	Supragingival plaque
SP0167	Capnocytophaga granulosa	Bacteroidetes	1	Supragingival plaque
SP0151	Capnocytophaga leadbetteri	Bacteroidetes	1	Supragingival plaque
SP0206	Capnocytophaga ochracea	Bacteroidetes	1	Supragingival plaque
SP0171	Capnocytophaga sputigena	Bacteroidetes	1	Supragingival plaque
SP0170	Cardiobacterium hominis	Proteobacteria	1	Supragingival plaque
SP0197	Cardiobacterium valvarum	Proteobacteria	1	Supragingival plaque
SP0174	Corynebacterium durum	Actinobacteria	1	Supragingival plaque
SP0190	Corynebacterium matruchotii	Actinobacteria	1	Supragingival plaque
SP0436	Cutibacterium granulosum	Actinobacteria	1	Retroauricular crease
SP0035	Dorea formicigenerans	Firmicutes	1	Stool
SP0081	Dorea longicatena	Firmicutes	1	Stool
SP0196	Eikenella corrodens	Proteobacteria	1	Supragingival plaque
SP0023	Eubacterium rectale	Firmicutes	1	Stool
SP0272	Eubacterium sulci	Firmicutes	1	Tongue dorsum
SP0010	Faecalibacterium prausnitzii	Firmicutes	1	Stool
SP0166	Haemophilus haemolyticus	Proteobacteria	1	Buccal mucosa
SP0138	Kingella oralis	Proteobacteria	1	Supragingival plaque
SP0131	Lachnoanaerobaculum saburreum	Firmicutes	1	Tongue dorsum
SP0177	Lautropia mirabilis	Proteobacteria	1	Supragingival plaque
SP0169	Leptotrichia hofstadii	Fusobacteria	1	Supragingival plaque
SP0149	Leptotrichia sp oral taxon 212	Fusobacteria	1	Supragingival plaque
SP0135	Leptotrichia sp oral taxon 215	Fusobacteria	1	Tongue dorsum
SP0125	Leptotrichia wadei	Fusobacteria	1	Tongue dorsum
SP0513	Malassezia globosa	Basidiomycota	1	Retroauricular crease
SP0495	Malassezia restricta	Basidiomycota	1	Retroauricular crease
SP0118	Megasphaera micronuciformis	Firmicutes	1	Tongue dorsum
SP0275	Mogibacterium diversum	Firmicutes	1	Tongue dorsum
SP0288	Neisseria elongata	Proteobacteria	1	Supragingival plaque
SP0130	Neisseria subflava	Proteobacteria	1	Tongue dorsum
SP0140	Oribacterium asaccharolyticum	Firmicutes	1	Tongue dorsum
SP0273	Oribacterium parvum	Firmicutes	1	Tongue dorsum
SP0114	Oribacterium sinus	Firmicutes	1	Tongue dorsum
SP0113	Prevotella histicola	Bacteroidetes	1	Tongue dorsum
SP0122	Prevotella pallens	Bacteroidetes	1	Tongue dorsum
SP0112	Prevotella salivae	Bacteroidetes	1	Tongue dorsum
SP0139	Prevotella sp oral taxon 299	Bacteroidetes	1	Tongue dorsum
SP0198	Pseudopropionibacterium propionicum	Actinobacteria	1	Supragingival plaque
SP0068	Roseburia inulinivorans	Firmicutes	1	Stool
SP0159	Rothia aeria	Actinobacteria	1	Supragingival plaque
SP0025	Ruthenibacterium lactatiformans	Firmicutes	1	Stool
SP0142	Solobacterium moorei	Firmicutes	1	Tongue dorsum
SP0124	Stomatobaculum longum	Firmicutes	1	Tongue dorsum
SP0133	Streptococcus australis	Firmicutes	1	Tongue dorsum
SP0036	Streptococcus parasanguinis	Firmicutes	1	Tongue dorsum
SP0057	Streptococcus salivarius	Firmicutes	1	Tongue dorsum
SP0136	Streptococcus sp F0442	Firmicutes	1	Tongue dorsum
SP0155	Streptococcus sp HMSC034E03	Firmicutes	1	Tongue dorsum
SP0164	Streptococcus sp HMSC067H01	Firmicutes	1	Tongue dorsum
SP0044	Veillonella atypica	Firmicutes	1	Tongue dorsum
SP0060	Veillonella infantium	Firmicutes	1	Tongue dorsum
SP0059	Veillonella sp T11011 6	Firmicutes	1	Tongue dorsum
