ContigID	LengthBp	geNomadDetected	geNomadVirusScore	geNomadTopology	geNomadHallmarks	geNomadTaxonomy	VirSorter2Detected	VirSorter2MaxScoreAll	VirSorter2FinalScore	VirSorter2HighConfidence	VirSorter2Group	VirSorter2Hallmarks	VirSorter2ViralGenePct	VirSorter2CellularGenePct	DiscoveryPattern	CheckVProvirus	CheckVProviralLength	CheckVQuality	MIUViGQuality	CompletenessPct	CompletenessMethod	ContaminationPct	CheckVWarnings
2013338001_____MeugFOFF_C4795	5143	True	0.9826	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	3	100.000	0.000	Both	No	NA	Low-quality	Genome-fragment	3.07	AAI-based (medium-confidence)	0.0	
2013338001_____MeugFOFF_C5216	5456	True	0.9638	No terminal repeats	2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	1	66.700	0.000	Both	No	NA	Low-quality	Genome-fragment	7.97	HMM-based (lower-bound)	0.0	
2013338002_____MeugFWYF_C6159	5135	True	0.9766	No terminal repeats	3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	3	77.800	0.000	Both	No	NA	Low-quality	Genome-fragment	4.17	HMM-based (lower-bound)	0.0	
2013338002_____MeugFWYF_C6321	14082	True	0.9829	DTR	7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	14	90.000	0.000	Both	No	NA	Low-quality	Genome-fragment	27.24	HMM-based (lower-bound)	0.0	low-confidence DTR
2013843001_____PLMO_C1010	7812	True	0.9260	No terminal repeats	5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.98	0.980	True	dsDNAphage	4	54.500	18.200	Both	No	NA	Low-quality	Genome-fragment	11.42	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C1011	20515	True	0.9594	No terminal repeats	14	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	10	70.400	7.400	Both	No	NA	Low-quality	Genome-fragment	29.29	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C1280	23319	True	0.8115	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.967	0.967	True	dsDNAphage	1	13.600	4.500	Both	No	NA	Low-quality	Genome-fragment	15.3	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C1410	6539	True	0.9442	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.96	0.960	True	dsDNAphage	0	23.500	5.900	Both	No	NA	Low-quality	Genome-fragment	10.18	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C1550	11657	True	0.9534	No terminal repeats	1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.913	0.913	True	dsDNAphage	0	40.900	0.000	Both	No	NA	Low-quality	Genome-fragment	5.69	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C2323	10742	True	0.9796	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.893	0.893	False	dsDNAphage	0	60.000	0.000	Both	No	NA	Low-quality	Genome-fragment	13.49	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C2429	49521	True	0.9759	No terminal repeats	13	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	9	55.900	1.500	Both	No	NA	Medium-quality	Genome-fragment	73.72	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C243	10298	True	0.9764	No terminal repeats	6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.967	0.967	True	dsDNAphage	3	58.300	0.000	Both	No	NA	Low-quality	Genome-fragment	22.73	AAI-based (medium-confidence)	0.0	
2013843001_____PLMO_C2782	26715	True	0.9116	No terminal repeats	4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	1	37.800	2.200	Both	No	NA	Low-quality	Genome-fragment	37.69	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C312	16344	True	0.9570	No terminal repeats	4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	1	35.000	5.000	Both	No	NA	Low-quality	Genome-fragment	41.96	AAI-based (high-confidence)	0.0	
2013843001_____PLMO_C42	6040	True	0.9721	No terminal repeats	6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.987	0.987	True	dsDNAphage	5	77.800	0.000	Both	No	NA	Low-quality	Genome-fragment	7.45	HMM-based (lower-bound)	0.0	
2013843001_____PLMO_C457	8998	True	0.9644	No terminal repeats	6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.987	0.987	True	dsDNAphage	5	61.500	15.400	Both	No	NA	Low-quality	Genome-fragment	21.1	AAI-based (medium-confidence)	0.0	
2013843002_____DCKB1_C1454	36570	True	0.9760	DTR	14	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	9	67.500	7.500	Both	No	NA	Medium-quality	Genome-fragment	52.37	HMM-based (lower-bound)	0.0	low-confidence DTR
2013843002_____DCKB1_C2382	81346	False	0.6916	Not called	NA	Not assigned	True	0.64	0.773	False	dsDNAphage	0	60.000	8.000	VirSorter2 only	No	NA	Medium-quality	Genome-fragment	84.04	HMM-based (lower-bound)	0.0	low-confidence DTR
2013843002_____DCKB1_C2547	27099	True	0.9756	No terminal repeats	9	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	7	47.900	4.200	Both	No	NA	Low-quality	Genome-fragment	41.23	HMM-based (lower-bound)	0.0	
2013843002_____DCKB1_C3067	6913	False	0.6321	Not called	NA	Not assigned	True	0.873	0.873	False	dsDNAphage	0	41.700	8.300	VirSorter2 only	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected; low-confidence DTR
2013843002_____DCKB1_C3122	7917	True	0.9757	No terminal repeats	1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	1	38.500	0.000	Both	No	NA	Low-quality	Genome-fragment	7.04	HMM-based (lower-bound)	0.0	
2013843002_____DCKB1_C717	26277	True	0.8269	DTR	0	Unclassified	True	0.82	0.873	False	dsDNAphage	0	53.800	7.700	Both	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected; low-confidence DTR
2013843003_____YNP4_C4539	8423	True	0.9351	No terminal repeats	0	Viruses;;;;;;Globuloviridae	True	0.993	0.993	True	dsDNAphage	1	44.400	0.000	Both	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected
2013843003_____YNP4_C4540	5953	True	0.9171	No terminal repeats	0	Viruses;;;;;;Globuloviridae	True	0.927	0.927	True	dsDNAphage	0	66.700	0.000	Both	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected
2013954001_____YNP14_C4148	8751	True	0.9652	No terminal repeats	0	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae	True	0.987	0.987	True	dsDNAphage	2	40.000	0.000	Both	No	NA	Low-quality	Genome-fragment	27.98	AAI-based (high-confidence)	0.0	
2013954001_____YNP14_C558	7545	True	0.9371	No terminal repeats	1	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae	True	0.947	0.947	True	dsDNAphage	1	42.900	0.000	Both	No	NA	Low-quality	Genome-fragment	18.93	AAI-based (medium-confidence)	0.0	
2014031003_____YNP3_C2415	10680	True	0.9673	No terminal repeats	0	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae	True	0.94	0.940	True	dsDNAphage	6	81.800	0.000	Both	No	NA	Low-quality	Genome-fragment	16.15	HMM-based (lower-bound)	0.0	
2014031003_____YNP3_C2743	6644	False	0.2135	Not called	NA	Not assigned	False	0.333	NA	False	Not called	NA	NA	NA	Neither	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected
2014031003_____YNP3_C3059	6360	False	0.5287	Not called	NA	Not assigned	True	0.593	0.593	False	dsDNAphage	0	25.000	0.000	VirSorter2 only	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected
2014031003_____YNP3_C3265	5160	False	0.4705	Not called	NA	Not assigned	False	0.187	NA	False	Not called	NA	NA	NA	Neither	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected
UHGV-0018530	135193	True	0.9788	No terminal repeats	6	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	9	56.500	1.300	Both	No	NA	Medium-quality	Genome-fragment	71.05	HMM-based (lower-bound)	0.0	
UHGV-0000346	7028	True	0.9801	No terminal repeats	3	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	True	0.987	0.987	True	dsDNAphage	5	63.600	0.000	Both	Yes	4899	High-quality	High-quality	100.0	AAI-based (high-confidence)	30.29	
UHGV-0215553	15637	True	0.9682	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae	True	0.973	0.973	True	dsDNAphage	2	27.600	3.400	Both	Yes	5055	Low-quality	Genome-fragment	5.04	AAI-based (medium-confidence)	67.67	
UHGV-0018535	76866	True	0.9642	No terminal repeats	3	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	6	39.700	0.000	Both	No	NA	Low-quality	Genome-fragment	42.61	HMM-based (lower-bound)	0.0	
UHGV-0001702	33095	True	0.9778	No terminal repeats	11	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	5	50.900	1.800	Both	No	NA	Low-quality	Genome-fragment	48.22	HMM-based (lower-bound)	0.0	
UHGV-0001715	29667	True	0.9733	No terminal repeats	11	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.98	0.980	True	dsDNAphage	6	44.800	3.400	Both	No	NA	Low-quality	Genome-fragment	44.3	HMM-based (lower-bound)	0.0	
