MAG	Contig	Start	End	Strand	Marker	CompleteHit	Attributes
binette__005	k141_21892	331224	334273	+	23S	True	ID=23S_rRNA-1;Name=23S_rRNA;Alias=LSU_rRNA_archaea;Dbxref=Rfam:RF02540;product=23S ribosomal RNA
binette__005	k141_21892	331237	331379	+	Other	True	ID=5.8S_rRNA-1;Name=5.8S_rRNA;Alias=5_8S_rRNA;Dbxref=Rfam:RF00002;product=5.8S ribosomal RNA
binette__006	k141_21772	10555	10671	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__006	k141_21772	10835	13782	-	23S	True	ID=23S_rRNA-1;Name=23S_rRNA;Alias=LSU_rRNA_bacteria;Dbxref=Rfam:RF02541;product=23S ribosomal RNA
binette__006	k141_21772	14102	15625	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__007	k141_24255	1	225	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__007	k141_55716	213	329	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__008	k141_33948	190	300	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__009	k141_12769	2339	2455	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__009	k141_21413	83	199	+	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__009	k141_36496	8425	8479	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__009	k141_40947	2852	2900	+	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__011	k141_29137	5511	8402	+	23S	True	ID=23S_rRNA-1;Name=23S_rRNA;Alias=LSU_rRNA_bacteria;Dbxref=Rfam:RF02541;product=23S ribosomal RNA
binette__011	k141_29137	8510	8618	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__011	k141_52361	5879	7413	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__012	k141_20443	104597	106134	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__012	k141_20443	106541	109426	+	23S	True	ID=23S_rRNA-1;Name=23S_rRNA;Alias=LSU_rRNA_bacteria;Dbxref=Rfam:RF02541;product=23S ribosomal RNA
binette__012	k141_20443	109499	109611	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__014	k141_22641	1699	1783	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__014	k141_31760	4050	4134	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__014	k141_3226	1	70	+	5S	True	ID=5S_rRNA-3;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__014	k141_38698	3712	3930	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__014	k141_5663	2156	2246	-	5S	True	ID=5S_rRNA-4;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__014	k141_5800	1700	1815	-	5S	True	ID=5S_rRNA-5;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__014	k141_901	1	103	+	5S	True	ID=5S_rRNA-6;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__015	k141_1379	1062	1168	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__015	k141_24433	302	408	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__017	k141_20497	1	1104	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__017	k141_53404	2190	2309	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__017	k141_53404	2367	5293	-	23S	True	ID=23S_rRNA-1;Name=23S_rRNA;Alias=LSU_rRNA_bacteria;Dbxref=Rfam:RF02541;product=23S ribosomal RNA
binette__017	k141_53404	5584	7139	-	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__018	k141_36356	8043	8157	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__019	k141_19867	1018	1131	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__019	k141_41139	78	224	-	Other	True	ID=5.8S_rRNA-1;Name=5.8S_rRNA;Alias=5_8S_rRNA;Dbxref=Rfam:RF00002;product=5.8S ribosomal RNA
binette__021	k141_33027	34201	34282	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__023	k141_21780	77793	77833	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_archaea;Dbxref=Rfam:RF01959;product=16S ribosomal RNA
binette__023	k141_30050	5359	5473	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__023	k141_42662	93131	93245	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__023	k141_4887	109331	109371	+	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_archaea;Dbxref=Rfam:RF01959;product=16S ribosomal RNA
binette__024	k141_11151	213	329	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__024	k141_23700	1	224	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__025	k141_23089	6928	7061	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__025	k141_27869	22	135	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__025	k141_40109	3112	3245	+	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__026	k141_11534	2247	2363	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__026	k141_11788	49886	50002	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
