Label	Command	ReturnCode	StartedUTC	EndedUTC	Stdout	Stderr	ResourceLog
trnascan-binette__003	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__003/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__003/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__003/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__003/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__003.fna	0	2026-07-29T09:14:17.466946+00:00	2026-07-29T09:14:30.776300+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__003.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__003.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__003.time.txt
prodigal-binette__003	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__003.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__003/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__003/proteins.faa	0	2026-07-29T09:14:30.777033+00:00	2026-07-29T09:14:40.500003+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__003.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__003.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__003.time.txt
barrnap-binette__004	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__004.fna	0	2026-07-29T09:14:40.501050+00:00	2026-07-29T09:14:42.765734+00:00	${ARTICLE44_WORK_DIR}/features/binette__004/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__004.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__004.time.txt
trnascan-binette__004	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__004/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__004/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__004/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__004/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__004.fna	0	2026-07-29T09:14:42.766536+00:00	2026-07-29T09:15:19.004609+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__004.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__004.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__004.time.txt
prodigal-binette__004	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__004.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__004/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__004/proteins.faa	0	2026-07-29T09:15:19.005365+00:00	2026-07-29T09:15:24.157932+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__004.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__004.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__004.time.txt
barrnap-binette__005	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__005.fna	0	2026-07-29T09:15:24.158873+00:00	2026-07-29T09:15:32.388844+00:00	${ARTICLE44_WORK_DIR}/features/binette__005/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__005.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__005.time.txt
trnascan-binette__005	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__005/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__005/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__005/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__005/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__005.fna	0	2026-07-29T09:15:32.389694+00:00	2026-07-29T09:16:22.200332+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__005.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__005.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__005.time.txt
prodigal-binette__005	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__005.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__005/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__005/proteins.faa	0	2026-07-29T09:16:22.201116+00:00	2026-07-29T09:16:34.105962+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__005.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__005.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__005.time.txt
barrnap-binette__006	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__006.fna	0	2026-07-29T09:16:34.106938+00:00	2026-07-29T09:16:42.081519+00:00	${ARTICLE44_WORK_DIR}/features/binette__006/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__006.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__006.time.txt
trnascan-binette__006	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__006/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__006/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__006/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__006/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__006.fna	0	2026-07-29T09:16:42.082365+00:00	2026-07-29T09:17:11.987631+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__006.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__006.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__006.time.txt
prodigal-binette__006	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__006.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__006/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__006/proteins.faa	0	2026-07-29T09:17:11.988453+00:00	2026-07-29T09:18:58.274502+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__006.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__006.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__006.time.txt
barrnap-binette__007	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__007.fna	0	2026-07-29T09:18:58.275514+00:00	2026-07-29T09:19:00.670502+00:00	${ARTICLE44_WORK_DIR}/features/binette__007/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__007.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__007.time.txt
trnascan-binette__007	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__007/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__007/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__007/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__007/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__007.fna	0	2026-07-29T09:19:00.671418+00:00	2026-07-29T09:19:24.907681+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__007.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__007.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__007.time.txt
prodigal-binette__007	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__007.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__007/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__007/proteins.faa	0	2026-07-29T09:19:24.908566+00:00	2026-07-29T09:19:52.906499+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__007.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__007.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__007.time.txt
barrnap-binette__008	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__008.fna	0	2026-07-29T09:19:52.907561+00:00	2026-07-29T09:19:54.876447+00:00	${ARTICLE44_WORK_DIR}/features/binette__008/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__008.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__008.time.txt
trnascan-binette__008	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__008/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__008/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__008/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__008/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__008.fna	0	2026-07-29T09:19:54.877404+00:00	2026-07-29T09:20:31.775316+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__008.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__008.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__008.time.txt
prodigal-binette__008	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__008.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__008/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__008/proteins.faa	0	2026-07-29T09:20:31.776244+00:00	2026-07-29T09:21:00.426740+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__008.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__008.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__008.time.txt
barrnap-binette__009	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__009.fna	0	2026-07-29T09:21:00.429363+00:00	2026-07-29T09:21:02.498229+00:00	${ARTICLE44_WORK_DIR}/features/binette__009/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__009.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__009.time.txt
trnascan-binette__009	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__009/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__009/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__009/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__009/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__009.fna	0	2026-07-29T09:21:02.499170+00:00	2026-07-29T09:21:44.225063+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__009.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__009.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__009.time.txt
prodigal-binette__009	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__009.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__009/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__009/proteins.faa	0	2026-07-29T09:21:44.227523+00:00	2026-07-29T09:21:48.346696+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__009.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__009.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__009.time.txt
barrnap-binette__011	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__011.fna	0	2026-07-29T09:21:48.348973+00:00	2026-07-29T09:22:02.449551+00:00	${ARTICLE44_WORK_DIR}/features/binette__011/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__011.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__011.time.txt
trnascan-binette__011	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__011/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__011/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__011/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__011/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__011.fna	0	2026-07-29T09:22:02.450669+00:00	2026-07-29T09:24:27.573913+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__011.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__011.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__011.time.txt
prodigal-binette__011	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__011.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__011/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__011/proteins.faa	0	2026-07-29T09:24:27.574984+00:00	2026-07-29T09:27:03.197505+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__011.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__011.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__011.time.txt
barrnap-binette__012	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__012.fna	0	2026-07-29T09:27:03.198692+00:00	2026-07-29T09:27:11.662765+00:00	${ARTICLE44_WORK_DIR}/features/binette__012/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__012.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__012.time.txt
trnascan-binette__012	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__012/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__012/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__012/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__012/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__012.fna	0	2026-07-29T09:27:11.663854+00:00	2026-07-29T09:27:45.605943+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__012.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__012.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__012.time.txt
prodigal-binette__012	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__012.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__012/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__012/proteins.faa	0	2026-07-29T09:27:45.607077+00:00	2026-07-29T09:28:32.117720+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__012.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__012.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__012.time.txt
barrnap-binette__013	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__013.fna	0	2026-07-29T09:28:32.134584+00:00	2026-07-29T09:28:33.384297+00:00	${ARTICLE44_WORK_DIR}/features/binette__013/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__013.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__013.time.txt
trnascan-binette__013	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__013/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__013/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__013/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__013/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__013.fna	0	2026-07-29T09:28:33.385557+00:00	2026-07-29T09:29:23.682907+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__013.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__013.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__013.time.txt
prodigal-binette__013	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__013.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__013/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__013/proteins.faa	0	2026-07-29T09:29:23.684080+00:00	2026-07-29T09:29:24.573113+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__013.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__013.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__013.time.txt
barrnap-binette__014	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__014.fna	0	2026-07-29T09:29:24.574443+00:00	2026-07-29T09:29:27.895056+00:00	${ARTICLE44_WORK_DIR}/features/binette__014/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__014.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__014.time.txt
trnascan-binette__014	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__014/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__014/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__014/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__014/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__014.fna	0	2026-07-29T09:29:27.896270+00:00	2026-07-29T09:31:33.677325+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__014.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__014.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__014.time.txt
prodigal-binette__014	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__014.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__014/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__014/proteins.faa	0	2026-07-29T09:31:33.678496+00:00	2026-07-29T09:32:15.384919+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__014.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__014.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__014.time.txt
barrnap-binette__015	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__015.fna	0	2026-07-29T09:32:15.386311+00:00	2026-07-29T09:32:20.755206+00:00	${ARTICLE44_WORK_DIR}/features/binette__015/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__015.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__015.time.txt
