MAG	Contigs	BinBp	N50Bp	GCPct	ProteinCodingGenes	CodingDensityPct	MAGFASTA_SHA256	CheckM2Completeness	CheckM2Contamination	CheckM2Model	GUNCPass	GUNCCladeSeparationScore	CheckM1MarkerLineage	MarkerDomain	CheckM1Completeness	CheckM1Contamination	CheckM1StrainHeterogeneityPct	Complete5S	Complete16S	Complete23S	CompleteRRNASet	TRNAGenes	TRNAIsotypes	PreMarkerHQ	MIMAGQuality	GraphContinuity	K141Components	PairedBoundaryPct	Taxonomy
binette__012	77	2643322	47024	50.52649658270918	2468	87.95069234849178	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	100.0	0.04	Neural Network (Specific Model)	True	0.0	c__Betaproteobacteria (UID3959)	Bacteria	99.97	0.26	0.0	True	True	True	True	41	22	True	High quality	Fragmented in k141 graph	67	65.59203693438698	Pending independent GTDB-Tk classification
binette__013	70	418156	8323	31.59562459943179	541	94.8105491730359	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	87.33	0.21	Neural Network (Specific Model)	True	0.0	k__Archaea (UID2)	Archaea	67.21	0.0	0.0	False	False	False	False	36	16	False	Medium quality	Fragmented in k141 graph	70	64.38299606836792	Pending independent GTDB-Tk classification
binette__014	996	5073077	6633	46.38216608973213	5075	85.29957262623847	7a6bae8324de5738961f6cecc42d9e50801ce2de695f004f9549575464d2803c	99.58	7.36	Neural Network (Specific Model)	True	0.0	g__Shewanella (UID4838)	Bacteria	93.54	8.67	88.89	True	True	False	False	63	21	False	Medium quality	Fragmented in k141 graph	783	58.47059271092435	Pending independent GTDB-Tk classification
binette__015	272	1083632	4753	56.66360904809012	1454	93.06138984452286	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	78.95	0.29	Neural Network (Specific Model)	True	0.0	c__Thermoprotei (UID148)	Archaea	88.35	3.24	16.67	True	False	False	False	33	18	False	Medium quality	Fragmented in k141 graph	270	46.563688172606525	Pending independent GTDB-Tk classification
binette__017	361	1122363	3441	34.80825722159408	1457	94.49598748355034	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	69.48	1.49	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID3060)	Bacteria	75.94	2.44	16.67	True	True	True	True	30	20	False	Medium quality	Fragmented in k141 graph	361	52.24062536891925	Pending independent GTDB-Tk classification
binette__018	380	1366218	4054	32.719741651771535	1776	88.52818510662281	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	72.13	3.33	Neural Network (Specific Model)	True	0.0	p__Euryarchaeota (UID5)	Archaea	81.31	3.39	83.33	True	False	False	False	23	18	False	Medium quality	Fragmented in k141 graph	377	62.877613963112815	Pending independent GTDB-Tk classification
binette__019	324	946551	3170	44.512657004218475	1276	90.41319485162448	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	59.42	0.0	Neural Network (Specific Model)	True	0.0	c__Thermoprotei (UID148)	Archaea	63.51	1.66	0.0	True	False	False	False	29	17	False	Medium quality	Fragmented in k141 graph	324	63.78299522028318	Pending independent GTDB-Tk classification
binette__021	48	1859642	48450	53.07935613413765	1755	92.28942990102396	ce8e021af9fa69702a64dde572c32832261e73f2f9da67008e0a4cccb395b33d	100.0	0.06	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID2570)	Bacteria	98.36	0.55	0.0	True	False	False	False	43	21	True	Medium quality	Fragmented in k141 graph	48	84.86241024645864	Pending independent GTDB-Tk classification
binette__022	94	2653984	55634	51.21922362757274	2544	88.54088796315276	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	100.0	0.14	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID2570)	Bacteria	99.45	0.0	0.0	False	False	False	False	44	21	True	Medium quality	Fragmented in k141 graph	85	76.07083178640977	Pending independent GTDB-Tk classification
binette__023	43	1733559	79303	31.090433034006917	1877	88.36238051315242	e21379b05a2d8bfee13a32910f8ba4bbf89aa9f3f0c36ea9933e0e27cd5cf43b	99.91	0.12	Neural Network (Specific Model)	True	0.0	p__Euryarchaeota (UID5)	Archaea	99.52	0.0	0.0	True	True	False	False	35	23	True	Medium quality	Fragmented in k141 graph	32	43.33315074627875	Pending independent GTDB-Tk classification
binette__024	54	1698339	82868	46.36365295738954	1735	95.43012319684115	77e8136b6b221277df458756be3ed1c72bf834589b89611b6a3292a4dc625947	99.93	0.15	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID209)	Bacteria	100.0	0.0	0.0	True	True	False	False	45	20	True	Medium quality	Fragmented in k141 graph	39	75.57671684070152	Pending independent GTDB-Tk classification
binette__025	306	6481038	46222	50.58098718137434	5684	88.96730739736444	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	99.97	0.28	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID1452)	Bacteria	98.18	1.82	0.0	True	True	False	False	49	22	True	Medium quality	Fragmented in k141 graph	287	56.41894897119868	Pending independent GTDB-Tk classification
binette__026	65	2595739	59244	60.04282402814767	2362	88.13050926922931	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	99.98	0.21	Neural Network (Specific Model)	True	0.17	c__Deltaproteobacteria (UID3217)	Bacteria	98.78	0.0	0.0	True	False	False	False	46	21	True	Medium quality	Fragmented in k141 graph	55	87.63530835441648	Pending independent GTDB-Tk classification
