Label	WallSeconds	PeakRAMGiB	ExitStatus	Command	MeasurementStatus
barrnap-binette__013	1.24	0.261	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__013.fna	GNU time exact
barrnap-binette__014	3.31	0.264	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__014.fna	GNU time exact
barrnap-binette__015	5.36	0.573	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__015.fna	GNU time exact
barrnap-binette__017	12.89	0.96	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__017.fna	GNU time exact
barrnap-binette__018	2.0	0.264	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__018.fna	GNU time exact
barrnap-binette__019	2.48	0.32	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__019.fna	GNU time exact
barrnap-binette__021	2.31	0.269	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__021.fna	GNU time exact
barrnap-binette__022	2.78	0.273	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__022.fna	GNU time exact
barrnap-binette__023	3.26	0.766	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__023.fna	GNU time exact
barrnap-binette__024	2.78	0.328	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__024.fna	GNU time exact
barrnap-binette__025	4.99	0.279	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__025.fna	GNU time exact
barrnap-binette__026	2.87	0.309	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__026.fna	GNU time exact
checkm1-lineage-selected-mags	1681.26	34.787	0	/workspace/miniconda3/envs/metagenome-checkm1-2026.07/bin/checkm lineage_wf -x fna -t 24 --pplacer_threads 1 --aai_strain 0.9 --tab_table -f /workspace/wechat/Metagenome/work/article44/qc/checkm1-qa.tsv --tmpdir /workspace/wechat/Metagenome/work/article44/tmp/checkm1 /workspace/wechat/Metagenome/work/article44/bins /workspace/wechat/Metagenome/work/article44/qc/checkm1	GNU time exact
checkm2-selected-mags	513.63	7.792	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/checkm2 predict --input /workspace/wechat/Metagenome/work/article44/bins --output-directory /workspace/wechat/Metagenome/work/article44/qc/checkm2 --extension .fna --threads 24 --database_path /workspace/databases/metagenome-mag-qc/checkm2-v1.1.0/CheckM2_database/uniref100.KO.1.dmnd --tmpdir /workspace/wechat/Metagenome/work/article44/tmp/checkm2 --remove_intermediates	GNU time exact
gunc-selected-mags	1204.7	8.716	0	/workspace/miniconda3/envs/metagenome-gunc-2026.07/bin/gunc run --input_dir /workspace/wechat/Metagenome/work/article44/bins --file_suffix .fna --db_file /workspace/databases/metagenome-mag-qc/gunc-progenomes2.1/gunc_db_progenomes2.1.dmnd --threads 24 --out_dir /workspace/wechat/Metagenome/work/article44/qc/gunc --temp_dir /workspace/wechat/Metagenome/work/article44/tmp/gunc --contig_taxonomy_output	GNU time exact
megahit-k141-fastg	2.02	0.159	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/megahit_toolkit contig2fastg 141 /workspace/wechat/Metagenome/data/raw/article30/work/assemblies/megahit-coassembly/intermediate_contigs/k141.contigs.fa	GNU time exact
prodigal-binette__001	17.9	0.042	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__001.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__001/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__001/proteins.faa	GNU time exact
prodigal-binette__002	11.08	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__002.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__002/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__002/proteins.faa	GNU time exact
prodigal-binette__003	9.72	0.044	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__003.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__003/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__003/proteins.faa	GNU time exact
prodigal-binette__004	5.15	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__004.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__004/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__004/proteins.faa	GNU time exact
prodigal-binette__005	11.9	0.046	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__005.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__005/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__005/proteins.faa	GNU time exact
prodigal-binette__006	106.28	0.06	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__006.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__006/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__006/proteins.faa	GNU time exact
prodigal-binette__007	27.99	0.043	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__007.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__007/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__007/proteins.faa	GNU time exact
prodigal-binette__008	28.64	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__008.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__008/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__008/proteins.faa	GNU time exact
prodigal-binette__009	4.11	0.04	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__009.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__009/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__009/proteins.faa	GNU time exact
prodigal-binette__011	155.62	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__011.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__011/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__011/proteins.faa	GNU time exact
prodigal-binette__012	46.5	0.043	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__012.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__012/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__012/proteins.faa	GNU time exact
prodigal-binette__013	0.88	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__013.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__013/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__013/proteins.faa	GNU time exact
prodigal-binette__014	41.7	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__014.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__014/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__014/proteins.faa	GNU time exact
prodigal-binette__015	14.46	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__015.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__015/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__015/proteins.faa	GNU time exact
prodigal-binette__017	4.14	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__017.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__017/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__017/proteins.faa	GNU time exact
prodigal-binette__018	4.51	0.041	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__018.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__018/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__018/proteins.faa	GNU time exact
prodigal-binette__019	4.87	0.04	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__019.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__019/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__019/proteins.faa	GNU time exact
prodigal-binette__021	46.4	0.042	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__021.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__021/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__021/proteins.faa	GNU time exact
prodigal-binette__022	49.26	0.042	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__022.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__022/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__022/proteins.faa	GNU time exact
prodigal-binette__023	7.49	0.042	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__023.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__023/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__023/proteins.faa	GNU time exact
prodigal-binette__024	28.15	0.043	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__024.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__024/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__024/proteins.faa	GNU time exact
prodigal-binette__025	145.88	0.044	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__025.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__025/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__025/proteins.faa	GNU time exact
prodigal-binette__026	64.74	0.043	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article44/bins/binette__026.fna -p meta -f gff -o /workspace/wechat/Metagenome/work/article44/features/binette__026/prodigal.gff -a /workspace/wechat/Metagenome/work/article44/features/binette__026/proteins.faa	GNU time exact
trnascan-binette__001	31.39	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__001/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__001/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__001/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__001/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__001.fna	GNU time exact
trnascan-binette__002	26.76	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__002/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__002/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__002/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__002/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__002.fna	GNU time exact
trnascan-binette__003	13.3	0.105	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__003/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__003/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__003/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__003/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__003.fna	GNU time exact
trnascan-binette__004	36.23	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__004/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__004/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__004/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__004/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__004.fna	GNU time exact
trnascan-binette__005	49.8	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__005/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__005/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__005/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__005/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__005.fna	GNU time exact
trnascan-binette__006	29.9	0.119	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__006/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__006/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__006/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__006/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__006.fna	GNU time exact
trnascan-binette__007	24.23	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__007/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__007/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__007/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__007/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__007.fna	GNU time exact
trnascan-binette__008	36.89	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__008/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__008/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__008/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__008/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__008.fna	GNU time exact
trnascan-binette__009	41.72	0.105	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__009/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__009/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__009/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__009/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__009.fna	GNU time exact
trnascan-binette__011	145.12	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__011/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__011/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__011/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__011/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__011.fna	GNU time exact
trnascan-binette__012	33.94	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__012/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__012/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__012/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__012/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__012.fna	GNU time exact
trnascan-binette__013	50.29	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__013/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__013/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__013/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__013/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__013.fna	GNU time exact
trnascan-binette__014	125.77	0.107	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__014/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__014/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__014/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__014/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__014.fna	GNU time exact
trnascan-binette__015	114.03	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__015/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__015/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__015/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__015/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__015.fna	GNU time exact
trnascan-binette__017	63.61	0.107	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__017/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__017/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__017/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__017/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__017.fna	GNU time exact
trnascan-binette__018	71.32	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__018/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__018/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__018/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__018/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__018.fna	GNU time exact
trnascan-binette__019	87.62	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__019/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__019/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__019/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__019/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__019.fna	GNU time exact
trnascan-binette__021	36.86	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__021/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__021/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__021/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__021/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__021.fna	GNU time exact
trnascan-binette__022	45.3	0.107	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__022/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__022/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__022/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__022/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__022.fna	GNU time exact
trnascan-binette__023	49.39	0.201	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -A --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__023/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__023/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__023/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__023/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__023.fna	GNU time exact
trnascan-binette__024	35.75	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__024/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__024/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__024/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__024/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__024.fna	GNU time exact
trnascan-binette__025	98.26	0.106	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__025/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__025/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__025/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__025/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__025.fna	GNU time exact
trnascan-binette__026	51.02	0.107	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output /workspace/wechat/Metagenome/work/article44/features/binette__026/trnascan.tsv --stats /workspace/wechat/Metagenome/work/article44/features/binette__026/trnascan.stats --gff /workspace/wechat/Metagenome/work/article44/features/binette__026/trnascan.gff --log /workspace/wechat/Metagenome/work/article44/features/binette__026/trnascan.log --forceow --quiet /workspace/wechat/Metagenome/work/article44/bins/binette__026.fna	GNU time exact
