Sample	Protocol	Specimen	Taxon	FACS_cells	Actual_mock_fraction	Observed_mock_fraction	Relative_efficiency_observation
H6	H	6	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0465289990205206	2.36383974722188
H6	H	6	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0247162445399382	1.37184299628431
H6	H	6	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0113497524274966	1.46921719999715
H6	H	6	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00051257247075774	0.569930986369902
H6	H	6	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0180304356213636	45.0280244129371
H7	H	7	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.533517637782057	2.93588366122517
H7	H	7	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.147184066827209	1.00892250044777
H7	H	7	Salmonella_enterica	58450203.7244456	0.187342850106017	0.212868682784735	1.83095441717567
H7	H	7	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00923325093423086	0.109524842099664
H7	H	7	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.000751581483491216	0.0167443783988029
H7	H	7	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.043098158965247	2.1527350328171
H7	H	7	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0230670199070084	1.25878325150639
H7	H	7	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.012199973282357	1.5527303205223
H7	H	7	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000506571239757744	0.553789937293311
H7	H	7	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0175730567939065	43.1480848830316
H8	H	8	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.495662939670375	2.98098009666202
H8	H	8	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.210835794905345	1.57951560935051
H8	H	8	Salmonella_enterica	58450203.7244456	0.187342850106017	0.189058261166847	1.77723143559989
H8	H	8	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00990910834934072	0.128462136852723
H8	H	8	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.000345255458295108	0.0084065166747866
H8	H	8	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0379836343378843	2.07353296298688
H8	H	8	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.020345476815312	1.21341652589735
H8	H	8	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0111957460100398	1.55730170486643
H8	H	8	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000362472115164677	0.433073590307105
H8	H	8	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0243013111713967	65.211844740471
HM	H	M	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.482452733709191	2.0944152450627
HM	H	M	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.230345745378261	1.24564750411934
HM	H	M	Salmonella_enterica	58450203.7244456	0.187342850106017	0.185882129277567	1.26130859916353
HM	H	M	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0131678248328307	0.123222494418089
HM	H	M	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.00321764783007736	0.0565521896779352
HM	H	M	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0362329880687033	1.42775591825489
HM	H	M	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0194961321620559	0.839316737830474
HM	H	M	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0104634849875442	1.05058565845288
HM	H	M	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00118080503474498	1.01835848259728
HM	H	M	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0175605087190245	34.0149050646358
Q1	Q	1	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.423567172192248	1.79562328051442
Q1	Q	1	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.0813096780491268	0.429380308531648
Q1	Q	1	Salmonella_enterica	58450203.7244456	0.187342850106017	0.339407811834446	2.24900523778136
Q1	Q	1	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00857622373278432	0.0783712859106187
Q1	Q	1	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0522316040749681	0.896456447104283
Q1	Q	1	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0395516825216527	1.52194758624959
Q1	Q	1	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0379094269132472	1.59371095519509
Q1	Q	1	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0147398125798665	1.44521343067444
Q1	Q	1	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000752076529887832	0.633387429568861
Q1	Q	1	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00195451157177339	3.69705006070358
Q2	Q	2	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.149487864148544	0.611037942904451
Q2	Q	2	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.0847124933894406	0.431336942192729
Q2	Q	2	Salmonella_enterica	58450203.7244456	0.187342850106017	0.573978242742985	3.66718966109387
Q2	Q	2	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00879244952452639	0.0774711606576989
Q2	Q	2	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0974826341010775	1.61321553440403
Q2	Q	2	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0298132172254144	1.10614710189105
Q2	Q	2	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0378497107576107	1.53424321764514
Q2	Q	2	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0145124083849471	1.37198330540462
Q2	Q	2	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00102200059048923	0.829904002368003
Q2	Q	2	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00234897913496572	4.28415872315732
Q3	Q	3	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.307542702519871	1.26436802220435
Q3	Q	3	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.100713975838058	0.515780318530426
Q3	Q	3	Salmonella_enterica	58450203.7244456	0.187342850106017	0.44679740292208	2.8711403067505
Q3	Q	3	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0119522937668659	0.105922268262477
Q3	Q	3	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.034706137545129	0.577666600128572
Q3	Q	3	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0390921992073471	1.4588141909931
Q3	Q	3	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0423532525974456	1.72672926777812
Q3	Q	3	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0128346531959794	1.22039187802534
Q3	Q	3	Blautia_hansenii	459882.896574735	0.00147400294728637	0.0005477981455746	0.447407340195126
Q3	Q	3	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00345958426164898	6.34623486977992
Q4	Q	4	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.448348595739262	1.797299943793
Q4	Q	4	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.143997516625476	0.719062594721138
Q4	Q	4	Salmonella_enterica	58450203.7244456	0.187342850106017	0.27559646755893	1.72684792353902
Q4	Q	4	Clostridium_difficile	42383204.7009957	0.135845383922767	0.01501964014948	0.12978730399307
Q4	Q	4	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0397666264710213	0.64539618549667
Q4	Q	4	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0257459078047208	0.936816984354315
Q4	Q	4	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0348110207704033	1.38385602907746
Q4	Q	4	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0112555766483199	1.04356520499161
Q4	Q	4	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000567514754985653	0.451956227016365
Q4	Q	4	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00489113347740089	8.74859703015512
Q5	Q	5	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.455229787508936	1.76469300610534
Q5	Q	5	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.0889086238021511	0.42932811420054
Q5	Q	5	Salmonella_enterica	58450203.7244456	0.187342850106017	0.318241803799468	1.92828587069214
Q5	Q	5	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00858042793526665	0.0716993762067999
Q5	Q	5	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.044796123438333	0.703042893473648
Q5	Q	5	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0329189711437234	1.15831463878667
Q5	Q	5	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0332377112895772	1.27772975530273
Q5	Q	5	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0131911567711694	1.18268330941616
Q5	Q	5	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00203880111111821	1.57010184650603
Q5	Q	5	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00285659320025755	4.94095663120915
Q6	Q	6	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.391852399519422	1.59387669289658
Q6	Q	6	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.057805525651241	0.292892676447154
Q6	Q	6	Salmonella_enterica	58450203.7244456	0.187342850106017	0.359703110520518	2.28692594728488
Q6	Q	6	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0110627923996693	0.0969984755282876
Q6	Q	6	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0817719950743223	1.34660338153457
Q6	Q	6	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.038647336961816	1.42690014625738
Q6	Q	6	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0396714383128804	1.60021950912706
Q6	Q	6	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0171399596853761	1.61246055393166
Q6	Q	6	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00139003024845698	1.12323578402612
Q6	Q	6	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.000955411626297924	1.73399117433164
Q7	Q	7	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.469994940829259	1.80897089670682
Q7	Q	7	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.113576025324147	0.544542788898461
Q7	Q	7	Salmonella_enterica	58450203.7244456	0.187342850106017	0.282849411189323	1.7016466178633
Q7	Q	7	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0138625320240119	0.115013520135559
Q7	Q	7	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.03955651753902	0.616395336853865
Q7	Q	7	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0304560731269111	1.06403056263658
Q7	Q	7	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0297197650550749	1.13436592817863
Q7	Q	7	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0136617819733191	1.21616595168448
Q7	Q	7	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000788853387118179	0.603183095321545
Q7	Q	7	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00553409955181541	9.50406757192726
Q8	Q	8	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.367875058741724	1.5798787752885
Q8	Q	8	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.130634907293143	0.698859076439619
Q8	Q	8	Salmonella_enterica	58450203.7244456	0.187342850106017	0.386618921903117	2.59526807702671
Q8	Q	8	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00960689847519858	0.0889353785432608
Q8	Q	8	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.018184145274491	0.316168944907969
Q8	Q	8	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0249332350165623	0.971949834306662
Q8	Q	8	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0406454521488964	1.73103075594661
Q8	Q	8	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0161152904229022	1.60069522850756
Q8	Q	8	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000587417236254437	0.501169434281426
Q8	Q	8	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00479867348771104	9.19536075113794
QM	Q	M	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.514516236031658	2.50534993137654
QM	Q	M	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.0804134025002932	0.487758332218592
QM	Q	M	Salmonella_enterica	58450203.7244456	0.187342850106017	0.286274449410703	2.178851326376
QM	Q	M	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00570505993666935	0.0598821601042791
QM	Q	M	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0504857896962711	0.995271026263136
QM	Q	M	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0223078845832627	0.985983161469332
QM	Q	M	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0235952879909873	1.13936794664242
QM	Q	M	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0141097577300475	1.58904413771137
QM	Q	M	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00128355334002258	1.24164573595347
QM	Q	M	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.00130857878008532	2.84310785268567
W1	W	1	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.433743775599519	1.39715800222062
W1	W	1	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.288920969030299	1.15930651934403
W1	W	1	Salmonella_enterica	58450203.7244456	0.187342850106017	0.147349152350707	0.741883321906305
W1	W	1	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0334729036596121	0.232420050448436
W1	W	1	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0276462328761428	0.360538067306532
W1	W	1	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0282148339041979	0.824957479063764
W1	W	1	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0164048949300689	0.524028762753283
W1	W	1	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00863198168059783	0.643087207493522
W1	W	1	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00310450895210558	1.9866421873197
W1	W	1	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0125107470167501	17.9812409427334
W2	W	2	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.416942724600885	1.32205622150397
W2	W	2	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.2741876821945	1.08299989091777
W2	W	2	Salmonella_enterica	58450203.7244456	0.187342850106017	0.171567369678152	0.850322980673696
W2	W	2	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0328315049321742	0.224404856314919
W2	W	2	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0248407300584368	0.318889909331045
W2	W	2	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0373665941417758	1.07547133239611
W2	W	2	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0191647065681444	0.602622167627034
W2	W	2	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00917928960150504	0.673177651488977
W2	W	2	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00261019855744056	1.64422610730051
W2	W	2	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0113091996669867	16.0003523760353
W3	W	3	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.418647600685685	1.31887813931982
W3	W	3	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.293022608925843	1.1499107720699
W3	W	3	Salmonella_enterica	58450203.7244456	0.187342850106017	0.151294473910819	0.744997521431642
W3	W	3	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0355139829344063	0.241170054479946
W3	W	3	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.028890317613826	0.368477757051403
W3	W	3	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0300789685054046	0.860123476146638
W3	W	3	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0192456487440965	0.60125406183312
W3	W	3	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00906973203134957	0.660841963124951
W3	W	3	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00292974783694233	1.83358385269631
W3	W	3	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0113069188116283	15.8936808611934
W4	W	4	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.428314567641649	1.40843128368456
W4	W	4	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.291553784567654	1.19425879652017
W4	W	4	Salmonella_enterica	58450203.7244456	0.187342850106017	0.150956296707457	0.775889276288519
W4	W	4	Clostridium_difficile	42383204.7009957	0.135845383922767	0.033991449755366	0.240940852006378
W4	W	4	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0258193371783703	0.343732663836546
W4	W	4	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0287490641660448	0.858100843105894
W4	W	4	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0173774103468008	0.566666160564998
W4	W	4	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00870120338137791	0.661758046604333
W4	W	4	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00249008414234724	1.62667693979624
W4	W	4	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0120468021129323	17.6753794150495
W5	W	5	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.422906567251587	1.32545662607856
W5	W	5	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.28369404208836	1.10758803315969
W5	W	5	Salmonella_enterica	58450203.7244456	0.187342850106017	0.157703640295717	0.772571189794703
W5	W	5	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0355566724668769	0.240220540094278
W5	W	5	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0290797710281929	0.368990318415435
W5	W	5	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0292521692823708	0.832187079204262
W5	W	5	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0194882950560593	0.605709440399715
W5	W	5	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00846770861030179	0.613810183756435
W5	W	5	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00360278694305734	2.24323174178284
W5	W	5	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0102483469774772	14.3317447071888
W6	W	6	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.419045500333549	1.33314583729983
W6	W	6	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.30408999481609	1.20510686063807
W6	W	6	Salmonella_enterica	58450203.7244456	0.187342850106017	0.147407732799338	0.733014296418549
W6	W	6	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0270232490772016	0.185319867123421
W6	W	6	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0277388249269033	0.357278955662308
W6	W	6	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0302873575354211	0.87462052106242
W6	W	6	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.017351078583374	0.547409538957136
W6	W	6	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00918500788293346	0.67583877700282
W6	W	6	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00296342384307059	1.87294368923485
W6	W	6	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0149078302021189	21.1619199976062
W7	W	7	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.423484165015694	1.37069790504555
W7	W	7	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.279694770231408	1.12770593878012
W7	W	7	Salmonella_enterica	58450203.7244456	0.187342850106017	0.164948445818618	0.834504148950023
W7	W	7	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0312055805153454	0.217723233697513
W7	W	7	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0279941547245029	0.366838432705055
W7	W	7	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0307712650608782	0.904048487007104
W7	W	7	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0196549655373558	0.630879281117355
W7	W	7	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00924257742194336	0.691902283658353
W7	W	7	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00252836877824977	1.62577133595554
W7	W	7	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0104757068960046	15.1290641083606
W8	W	8	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.43755423017756	1.41461225700058
W8	W	8	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.268882620110179	1.08286722620045
W8	W	8	Salmonella_enterica	58450203.7244456	0.187342850106017	0.164165844694034	0.82959100522253
W8	W	8	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0316434999377535	0.220525075383483
W8	W	8	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.0264469792721606	0.346166073622816
W8	W	8	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0300257196453474	0.881131554763386
W8	W	8	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0189695532336061	0.608179864379326
W8	W	8	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00861057869751496	0.643850391096941
W8	W	8	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00301860062711161	1.9387671744773
W8	W	8	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0106823736047332	15.4098156803944
WM	W	M	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.446185799349502	1.49011615187199
WM	W	M	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.269401466099828	1.12075653902201
