contigName	contigLen	totalAvgDepth	MOCK1.primary.sorted	MOCK1.primary.sorted-var	MOCK2.primary.sorted	MOCK2.primary.sorted-var
k141_10897	1364	4.3673	2.06477	1.54047	2.30253	1.12027
k141_54457	1160	2.57627	1.0791	0.570552	1.49718	1.99764
k141_43557	11963	6.00556	3.08344	3.71966	2.92212	3.37351
k141_3644	2608	2.8	1.3988	1.11987	1.4012	0.410123
k141_7281	1186	6.02298	3.92004	3.96138	2.10294	1.06759
k141_29050	4664	47.6189	21.9341	23.3971	25.6848	26.8269
k141_18159	3127	4.51997	2.96996	2.80924	1.55002	1.1736
k141_50831	3549	4.58997	2.56331	3.30232	2.02666	1.39989
k141_10899	1261	2.9828	1.50559	0.664985	1.47721	1.09307
k141_17	7706	8.34543	3.88722	4.56183	4.4582	5.90197
k141_29052	1132	3.84429	2.4207	2.24588	1.4236	0.705192
k141_7282	2046	3.52515	2.45123	2.33403	1.07392	0.773174
k141_47200	2589	4.0269	1.37856	1.28837	2.64833	2.33329
k141_54461	1017	2.32318	0.762786	0.551515	1.56039	0.950315
k141_14543	1301	2.75977	1.30424	0.742639	1.45553	0.477852
k141_3645	2970	5.19638	2.8851	2.3943	2.31128	1.98177
k141_18161	1058	5.02187	1.55729	1.01652	3.46458	6.85795
k141_43561	1843	5.50659	2.40458	1.73415	3.10201	1.5825
k141_50834	1333	3.76923	2.47287	1.75351	1.29636	1.47611
k141_32671	17592	8.35075	4.15354	5.18146	4.19721	5.41862
k141_43562	1025	3.88457	2.29342	2.03477	1.59115	0.572399
k141_7285	1127	3.63848	1.77843	1.16097	1.86006	1.49207
k141_47203	1294	6.20151	2.82776	1.19876	3.37375	1.94972
k141_50835	1050	2.50315	1.1271	0.476992	1.37605	0.51459
k141_21	1037	3.3525	1.21299	0.700853	2.13951	1.27156
k141_29059	1088	3.47677	1.25758	0.610032	2.21919	2.53128
k141_7286	1427	36.3123	18.8104	14.5995	17.5019	15.6116
k141_23	1051	2.8489	1.49738	0.695631	1.35152	1.06013
k141_18166	1173	4.76279	1.94512	1.34988	2.81767	2.68741
k141_3653	1166	3.22659	1.63296	0.896079	1.59363	0.66883
k141_43566	1578	8.57027	3.48986	3.71589	5.08041	5.05438
k141_10908	1579	6.90817	2.82984	3.69402	4.07833	4.99657
k141_24	1600	4.08722	1.56525	1.41844	2.52197	2.10046
k141_29063	2308	4.05339	2.72036	2.71671	1.33303	1.72787
k141_43568	1098	2.895	1.395	0.373351	1.5	1.81982
k141_47208	2061	3.80591	1.90423	0.973485	1.90168	1.93988
k141_54464	5115	15.9157	7.56069	8.13488	8.35499	11.3838
k141_7294	1192	2.99086	2.03565	1.00788	0.95521	0.531389
k141_32674	5398	9.45396	4.67849	5.6104	4.77547	6.65845
k141_18170	1391	4.00077	1.80742	1.27328	2.19335	1.48116
k141_26	1212	3.22711	1.61131	2.98537	1.6158	0.687836
k141_47210	1062	5.85788	2.72925	2.85806	3.12863	2.77058
k141_29064	1944	5.68527	2.8039	1.83254	2.88137	1.96914
k141_54465	1455	3.29108	1.36772	0.889014	1.92336	1.08409
k141_14544	7942	5.96685	2.8502	3.08148	3.11665	3.58641
k141_54466	1062	2.98548	1.50519	0.46415	1.48029	0.314254
k141_43571	1859	2.6502	1.15446	0.910217	1.49574	0.834223
k141_47212	1760	4.15283	2.19916	1.17103	1.95367	1.95753
k141_32677	1570	26.7819	13.2215	10.9489	13.5605	9.94199
k141_25415	23822	7.28545	3.62089	3.22993	3.66456	4.42371
k141_14546	1185	3.16651	1.49586	0.946344	1.67065	1.37762
k141_3662	1415	3.46925	1.73197	0.881753	1.73728	0.658893
k141_10917	1066	3.54752	1.78926	0.873846	1.75826	1.04388
k141_3663	1553	3.79588	2.5732	1.8363	1.22268	0.767433
k141_32678	2264	3.94506	1.91505	1.38679	2.03001	1.15523
k141_54472	1423	3.52075	1.56755	0.738061	1.95321	1.08996
k141_25418	1405	3.09793	1.39556	0.525652	1.70237	0.993278
k141_14547	3100	6.02931	2.97535	2.25258	3.05396	2.4836
k141_29065	6232	8.79948	4.82132	6.20003	3.97815	5.09834
k141_3668	1255	4.34226	1.98617	1.14859	2.35609	2.44403
k141_43575	3810	4.50754	1.82489	2.40911	2.68265	2.30239
k141_32682	1978	3.80585	2.16117	2.09375	1.64468	1.98969
k141_47221	3938	4.35234	1.77214	1.29087	2.58021	2.00867
k141_54480	1090	3.90323	1.28024	0.712512	2.62298	2.47726
k141_32683	1294	5.1505	1.55435	1.33847	3.59615	3.63008
k141_47222	1061	4.22118	3.18172	3.27568	1.03946	0.449584
k141_18177	7383	7.17282	3.88717	3.56551	3.28566	2.85432
k141_54482	1210	2.73741	0.90018	0.295159	1.83723	0.761062
k141_10919	5929	6.2425	3.59149	2.68221	2.651	2.70402
k141_18178	1224	2.43872	1.10657	0.689072	1.33215	0.89225
k141_47225	1228	5.03628	1.19469	1.93371	3.84159	7.84472
k141_54483	1732	5.32007	2.84394	2.8397	2.47613	1.39471
k141_10920	1666	3.02296	1.48916	1.06051	1.5338	1.07607
k141_29070	4291	4.57095	1.91581	2.83713	2.65514	2.03802
k141_47226	1886	2.87584	1.39653	0.831483	1.47931	0.822738
k141_32693	1218	7.26964	3.53482	3.25886	3.73482	2.39521
k141_7295	15314	8.76853	4.2849	4.16369	4.48364	5.78643
k141_18181	2205	3.59848	1.49312	1.18169	2.10536	1.21872
k141_47227	1291	2.5088	0.75021	0.390577	1.75859	0.911469
k141_43582	4191	4.78329	2.53408	2.94048	2.24921	1.475
k141_10922	1978	2.93191	1.66489	0.893505	1.26702	0.513011
k141_47228	1368	3.07402	2.40394	0.753172	0.670079	0.92731
k141_29074	1617	2.66294	1.842	2.0475	0.820935	0.446173
k141_28	15994	21.7524	10.3133	75.0308	11.4391	60.0176
k141_54488	2009	3.40502	1.60492	0.970021	1.8001	0.837498
k141_32695	1553	3.01924	1.30034	1.29281	1.7189	1.18984
k141_25422	9916	6.45712	2.85211	2.23278	3.60501	2.8151
k141_29075	1194	3.34124	1.28102	0.834195	2.06022	1.00459
k141_47229	1947	3.02272	1.88913	1.32265	1.13359	0.835503
k141_3670	11687	27.4119	13.773	382.083	13.6389	414.813
k141_10925	2257	6.56739	2.66512	1.91422	3.90227	6.29205
k141_25424	1645	2.77699	1.57466	0.736179	1.20233	1.25334
k141_29078	1420	5.10439	2.4584	3.20379	2.64599	4.64532
k141_43587	2014	4.38935	2.19207	2.08006	2.19729	1.79605
k141_32700	1498	3.19214	1.24071	0.631795	1.95143	1.81752
k141_54494	1175	4.64902	2.09285	1.30365	2.55617	4.13369
k141_29079	1107	2.87215	1.88404	1.23555	0.988107	0.468116
k141_25426	1012	2.83807	1.42341	1.01986	1.41466	2.04144
k141_7297	5664	4.55929	2.91394	2.80535	1.64535	1.19065
k141_10928	1073	3.66051	1.20308	0.91149	2.45744	2.54412
k141_47232	2279	4.24301	1.69555	2.03847	2.54746	1.64787
k141_25427	1144	3.45794	1.42734	1.06793	2.03059	1.27754
k141_54495	2391	3.77671	2.58133	1.58293	1.19538	0.942621
k141_43592	1096	2.26954	1.45391	0.74562	0.815631	1.52866
k141_3674	2827	3.12935	1.67461	1.40434	1.45475	0.972392
k141_10931	1160	2.69397	0.706215	0.516812	1.98776	1.33915
k141_47234	1740	4.55664	1.33009	1.07685	3.22655	2.83831
k141_18186	6722	9.52899	5.13738	5.48404	4.39161	4.83396
k141_33	6040	6.54847	3.1343	3.66109	3.41417	3.48087
k141_18187	1993	3.41266	1.33456	1.88481	2.0781	0.795381
k141_35	1439	15.4735	8.53169	7.79698	6.94183	7.28762
k141_47238	2261	3.64216	1.95932	1.91043	1.68285	1.40539
k141_25436	1211	4.79515	1.3531	1.01998	3.44205	2.96809
k141_32713	1066	13.9411	5.37397	3.85587	8.56715	10.7194
k141_54498	3612	3.82328	2.11981	2.45218	1.70347	1.55507
k141_43598	3339	4.54397	1.98612	2.61556	2.55785	2.36459
k141_3683	1935	3.57431	1.65161	1.3012	1.9227	1.86438
k141_29082	7179	6.66318	3.68973	4.00838	2.97345	1.88628
k141_39936	46035	11.2631	5.58145	5.16429	5.68161	6.1426
k141_38	1316	31.2061	15.243	40.9253	15.9631	37.0645
k141_39937	1041	4.0106	2.47614	1.03525	1.53446	1.25119
k141_32716	1817	6.16812	2.82315	3.92332	3.34497	4.40312
k141_3685	1076	2.88855	1.57975	0.626694	1.30879	0.428605
k141_29084	1116	4.55206	2.20727	0.624648	2.34479	3.28413
k141_39938	1090	4.50202	2.2873	1.08892	2.21472	2.44126
k141_10934	5483	9.76899	4.56286	6.00464	5.20613	5.17902
k141_42	1163	2.82254	1.89108	2.06333	0.931455	0.843982
k141_18194	1995	3.64945	2.30891	1.40663	1.34054	1.43567
k141_44	1212	3.93537	1.82496	3.20652	2.11041	0.939281
k141_29090	1053	3.83979	1.79791	0.754712	2.04188	2.71102
k141_39943	1627	3.10399	2.09353	1.14897	1.01046	0.315338
k141_10938	1331	3.90592	1.98865	1.33915	1.91727	1.30809
k141_43602	3832	5.63417	2.60391	1.72655	3.03026	2.04386
k141_32723	1938	4.42663	2.42065	1.95893	2.00598	1.68728
k141_10939	1078	3.61735	1.44796	0.639781	2.16939	1.87527
k141_3695	1116	3.09627	0.965619	0.646803	2.13065	0.99668
k141_32724	1091	2.43404	1.38671	1.09828	1.04733	0.670148
k141_48	1439	4.71141	1.74273	1.4942	2.96868	3.17811
k141_54500	7276	5.40206	2.81262	2.66552	2.58944	2.69903
k141_32725	1241	2.61067	1.50744	0.680981	1.10324	0.794934
k141_29094	2652	3.46868	1.74628	1.02686	1.7224	0.864161
k141_43606	1929	4.73566	2.31021	1.29825	2.42545	4.75059
k141_18198	4609	5.79694	3.43826	3.09098	2.35868	2.12409
k141_54503	1203	2.65339	0.950226	0.790101	1.70317	1.18716
k141_10944	1111	2.93189	1.40967	0.815207	1.52221	0.915756
k141_3697	3090	4.5244	1.68282	2.18988	2.84158	2.24505
k141_50	2914	5.17578	2.84659	4.53636	2.32919	2.14416
k141_43607	1714	4.5922	2.56312	1.8437	2.02908	1.44745
k141_10945	1647	3.30665	1.76178	2.06659	1.54487	1.597
k141_18199	2295	4.65954	2.08921	2.00659	2.57032	5.57573
k141_51	2115	3.29499	1.55875	1.56612	1.73624	0.888729
k141_54504	3006	4.59525	2.48693	1.64037	2.10832	2.98209
k141_10946	1418	3.85	2.03485	1.06475	1.81515	2.3464
k141_43613	1243	3.65764	2.41048	1.54464	1.24716	0.637289
k141_32727	5981	4.94119	2.54326	2.49605	2.39793	2.58431
k141_18201	3442	6.29037	3.33672	1.42053	2.95365	6.52944
k141_54508	1668	3.63631	1.44777	1.50428	2.18853	2.1276
k141_47249	12379	6.35404	3.13924	2.9213	3.2148	3.23102
k141_54	2363	3.68212	2.09713	1.30328	1.58499	1.22432
k141_43616	1318	3.7582	2.54262	1.96126	1.21557	1.15367
k141_10952	1318	3.97623	1.98934	1.56429	1.98689	2.61015
k141_3703	4888	7.98664	3.98017	3.29116	4.00647	6.00603
k141_56	1351	3.03432	1.99601	0.954459	1.03831	0.88511
k141_10954	1383	3.86226	1.82957	1.04648	2.03268	1.48179
k141_43619	1278	3.5178	2.66949	1.77023	0.848305	0.573239
k141_18202	3265	22.3997	11.1402	37.9437	11.2596	31.0923
k141_58	1325	3.68297	1.31785	1.11587	2.36512	1.23525
k141_47253	2063	3.33791	1.39338	1.16036	1.94453	1.18176
k141_54515	1620	3.86334	2.25296	2.1023	1.61038	0.73238
k141_43620	1878	3.51124	1.87022	1.80046	1.64101	1.20607
k141_39944	17135	6.48148	3.51793	3.57165	2.96355	2.60905
k141_32731	5114	10.3485	5.25977	22.4342	5.08872	20.3732
k141_3707	3088	6.52977	3.83645	3.47242	2.69331	1.6319
k141_43623	1084	3.93408	1.62373	1.04508	2.31034	1.38581
k141_54518	1292	2.67002	0.963987	0.594674	1.70603	0.646956
k141_10957	3979	5.87271	2.85262	2.20452	3.0201	2.15785
k141_3709	1790	2.96099	1.04965	0.51675	1.91135	1.58408
k141_18213	1524	4.19565	2.16199	1.71338	2.03366	2.28516
k141_39946	4719	5.89223	2.55161	2.48551	3.34062	3.12505
k141_10959	1464	2.43924	1.27818	0.499849	1.16105	0.576242
k141_62	5600	28.5067	14.3411	27.2402	14.1656	31.0688
k141_18214	1441	5.11988	3.70216	1.79348	1.41772	0.578735
k141_43630	1183	2.37419	1.18802	0.852063	1.18618	1.23467
k141_54522	2355	12.0084	5.61409	4.34701	6.39433	7.16711
k141_21780	77833	37.0957	18.3492	23.4794	18.7465	21.0733
k141_39948	1234	3.79225	1.80722	1.02624	1.98504	1.08612
k141_43631	1055	6.66667	2.79101	4.86418	3.87565	3.07552
k141_3716	1311	2.97692	1.66612	1.35461	1.3108	0.874444
k141_18215	2281	4.60696	2.10628	2.34981	2.50069	1.57184
k141_21782	1352	3.05821	1.49362	2.17357	1.56459	1.0904
k141_39952	1033	4.10588	1.50695	1.56285	2.59893	1.32399
k141_54525	2267	4.18811	2.09959	1.77698	2.08852	2.12225
k141_7310	32383	49.9679	25.1621	25.7546	24.8058	26.4873
k141_43633	1495	4.70651	1.93128	1.39643	2.77523	2.62853
k141_21783	1021	2.9675	1.24702	0.867331	1.72048	1.27753
k141_68	1357	9.30342	5.61001	25.599	3.69341	9.30338
k141_7312	1170	2.55784	1.34888	1.00048	1.20896	0.796632
k141_54529	1014	2.74891	1.12773	0.963996	1.62118	0.655243
k141_69	1208	3.41712	2.56036	3.15371	0.856757	0.669265
k141_10963	4925	7.61446	4.18355	3.85845	3.43091	3.29918
k141_3724	1531	3.56036	1.83601	1.49892	1.72435	2.33525
k141_43635	2196	4.91945	2.52193	1.43801	2.39752	1.50716
k141_21788	1417	3.20546	1.31615	1.20727	1.88931	1.00292
k141_71	1475	3.43863	1.75018	1.03929	1.68845	1.2161
k141_54532	1240	2.62172	1.05779	0.552308	1.56392	1.0875
k141_10966	1385	3.36364	1.82517	1.01841	1.53846	1.74951
k141_7313	3506	8.4419	3.27729	4.33553	5.16461	4.53674
k141_32732	15731	6.52012	2.89202	2.71089	3.62809	3.30739
k141_73	1038	2.99043	2.3734	0.900882	0.617021	0.236557
k141_18225	1874	3.70721	1.94876	2.07908	1.75845	0.942742
k141_32733	1446	4.15579	2.3049	1.54543	1.85089	0.708997
k141_18226	1140	3.64971	2.11228	0.929742	1.53743	1.43423
k141_75	1076	3.12883	2.65133	1.13829	0.477505	0.249749
k141_7317	2539	4.55551	2.02294	2.67405	2.53257	1.38675
k141_50836	68474	11.3623	5.64457	5.95232	5.71777	5.92949
k141_32736	2159	3.39592	0.873362	0.718428	2.52256	2.93212
k141_54534	4800	3.9866	2.27052	2.47439	1.71608	0.887432
k141_32740	1051	4.98531	2.31794	0.834732	2.66737	2.00372
k141_54537	1464	3.52709	0.832357	0.541104	2.69473	1.18512
k141_50840	2360	4.20115	2.29487	2.02579	1.90628	1.23757
k141_10967	8247	5.52681	2.83912	2.36164	2.68769	3.42832
k141_32741	2475	10.0606	4.76146	5.8215	5.29912	4.0018
k141_7322	3812	3.9895	1.75148	1.19893	2.23802	2.35649
k141_32742	1062	3.59544	1.7417	1.56249	1.85373	1.03258
k141_50841	2511	3.22006	1.82677	1.19553	1.39329	1.33657
k141_10969	1748	3.78121	2.21939	0.866333	1.56182	1.41311
k141_54543	1425	33.3843	16.7717	15.199	16.6127	22.607
k141_7325	2329	4.64186	2.7203	1.91724	1.92156	1.58892
k141_50842	2426	6.5567	3.75859	1.95887	2.79811	1.67302
k141_50843	1274	2.66412	1.24915	1.08767	1.41497	0.837019
k141_29097	41722	8.44585	4.16438	3.90562	4.28147	4.57412
k141_7330	1045	1.93347	1.16367	0.204684	0.769799	0.403607
k141_54546	1444	4.96285	2.64116	1.31277	2.32169	1.56111
k141_18233	10237	5.72295	2.79643	2.7312	2.92652	3.90264
k141_29098	1282	2.61909	0.506757	0.250166	2.11233	2.30944
k141_54547	1128	3.06505	0.969903	0.760027	2.09515	2.51572
k141_47257	30931	8.2292	3.98365	4.61587	4.24555	5.00313
k141_32743	6059	6.90337	3.24811	4.95829	3.65526	2.9576
k141_39955	21467	6.71271	3.14961	3.09481	3.56311	3.63981
k141_50844	2119	8.76051	3.81148	2.86496	4.94904	6.93162
k141_54548	1056	2.83716	1.45616	1.24311	1.381	0.509854
k141_7332	1908	3.53591	2.02099	2.06704	1.51492	0.787232
k141_32745	1398	4.96538	2.88923	1.59973	2.07615	1.2852
k141_18234	2454	4.26486	2.20246	1.97555	2.06239	1.56512
k141_7333	1427	5.19789	2.3228	1.68714	2.87509	2.44071
k141_29102	1302	3.13787	1.49003	0.856919	1.64784	0.9216
k141_54549	2039	2.47295	1.58423	1.88013	0.888717	0.411322
k141_18235	1891	4.72616	2.24651	0.799699	2.47964	2.1772
k141_50845	3364	6.66779	4.11451	5.85142	2.55328	2.36119
k141_29103	1947	4.18767	2.67117	1.63315	1.5165	1.26934
k141_7340	1062	4.53942	3.03423	2.08085	1.50519	1.38004
k141_32747	3559	4.13493	2.0575	1.79818	2.07743	2.13268
k141_29105	1449	4.13323	2.28497	1.27058	1.84826	1.90954
k141_39964	1042	2.96716	1.11229	0.67879	1.85487	1.40309
k141_32748	1671	4.34901	1.93452	1.70373	2.41449	1.41333
k141_54550	4211	3.95356	1.92025	1.44062	2.03331	2.36393
k141_39965	1509	83.7725	42.8824	93.3904	40.8901	105.749
k141_18236	4009	6.30913	2.66658	1.57679	3.64255	2.2825
k141_21793	22661	14.8162	7.14639	32.5711	7.66981	48.0773
k141_54552	1415	2.35839	0.873956	0.558568	1.48443	1.19676
k141_29112	1190	3.76374	1.08516	0.743436	2.67857	3.24306
k141_32749	2523	4.42887	2.34763	1.2013	2.08124	2.61924
k141_39968	1345	3.2085	1.76022	1.8357	1.44828	0.714611
k141_21795	1118	3.10588	1.42255	1.06662	1.68333	0.823074
k141_18238	2592	8.16881	4.20409	3.78384	3.96472	2.95581
k141_54554	1486	3.35375	1.29683	1.03945	2.05692	0.79488
k141_39970	1029	4.35338	1.94092	0.827685	2.41246	1.84044
k141_18240	1050	4.76681	3.98529	3.54551	0.781513	0.644115
k141_50846	7878	8.40913	3.99807	4.13511	4.41105	5.5266
k141_21796	1927	4.70366	2.84308	2.73303	1.86058	0.98547
k141_29116	1662	3.2743	1.98018	1.79551	1.29412	1.16105
k141_54555	2112	2.78153	1.87438	1.41742	0.90715	0.658537
k141_50847	1203	19.2443	9.69864	12.4281	9.5457	13.2337
k141_32752	3529	7.83737	4.14282	3.98717	3.69455	4.4221
k141_39974	1508	3.27943	1.34326	1.85087	1.93617	1.57295
k141_29117	1952	5.03128	2.65588	1.45517	2.3754	1.3625
k141_18245	1261	3.38951	2.3577	1.56042	1.03181	1.18059
k141_32754	1468	3.65109	0.978102	0.60288	2.67299	1.29985
k141_39976	1189	4.23465	2.2319	1.6627	2.00275	1.43944
k141_54558	1630	5.78916	2.37076	2.08061	3.41841	3.14358
k141_21797	4432	6.97831	2.88233	2.755	4.09599	6.37573
k141_39977	1970	3.05395	1.38034	0.943452	1.67361	1.23014
k141_54559	1841	2.93976	1.17556	0.606357	1.7642	1.09189
k141_7343	12187	20.0088	9.79171	11.4976	10.2171	8.31545
k141_32758	1689	4.21999	2.55688	0.939994	1.66311	1.76693
k141_21800	1043	29.4254	14.472	19.33	14.9534	26.7987
k141_32760	1072	2.77207	1.75667	0.476187	1.0154	0.32145
k141_39979	1586	3.00134	1.27755	0.63104	1.72379	0.723255
k141_7345	1118	3.40882	1.6549	0.618766	1.75392	0.937427
k141_21801	1037	3.49201	1.89457	1.76179	1.59744	1.09364
k141_29119	5184	7.66949	4.09654	3.70069	3.57295	4.86966
k141_54561	2001	2.80872	1.66579	1.29941	1.14293	0.596804
k141_32761	1252	3.57019	1.92201	1.61925	1.64818	0.771176
k141_39980	1272	2.89438	2.00937	2.4543	0.885009	0.47014
k141_7346	1337	3.18079	2.13479	0.654675	1.046	1.03584
k141_29120	1113	4.4532	2.44433	2.26294	2.00887	1.78198
k141_32762	1108	3.25941	1.54851	0.838569	1.71089	0.95498
k141_18256	1197	1.79618	0.756142	0.410426	1.04004	0.430094
k141_7347	1650	2.80992	2.43235	0.73559	0.377577	0.235168
k141_18258	1280	2.87479	2.11337	1.23523	0.761421	0.512041
k141_7349	1784	3.50059	1.42052	1.83431	2.08007	1.99772
k141_32766	2002	5.17384	1.91859	2.03909	3.25525	1.55649
k141_39986	1878	3.74775	2.16011	1.63202	1.58764	0.98895
k141_18259	1003	4.16464	2.73812	2.19352	1.42652	0.689559
k141_21808	1471	3.37291	0.861617	0.561015	2.51129	1.44832
k141_54562	4343	5.88269	2.99482	2.52403	2.88787	2.25041
k141_39987	1239	3.2305	1.46275	0.726018	1.76775	0.841627
k141_3728	41594	9.7138	4.82726	5.08842	4.88654	5.12933
k141_32769	1034	5.77778	2.71368	3.39814	3.0641	1.60659
k141_39988	1022	2.96645	1.35498	0.601917	1.61147	1.19775
k141_54563	1652	4.16152	1.9601	1.71637	2.20142	2.03858
k141_32770	1007	3.16612	1.91969	1.11359	1.24642	0.996476
k141_54564	1102	4.74602	3.3496	1.66728	1.39641	0.418971
k141_3732	1728	3.40061	2.1227	1.49752	1.27791	1.82387
k141_21816	1026	1.98491	1.07328	0.769169	0.911638	0.63943
k141_32772	1887	4.31582	2.48127	2.49251	1.83454	1.05649
k141_25437	85981	15.5619	7.70256	8.75303	7.85932	9.26923
k141_39994	1135	3.27001	1.93346	0.965653	1.33655	0.827746
k141_32773	1412	4.4376	2.02968	2.12783	2.40791	1.1724
k141_50848	16563	7.51643	3.77577	3.65837	3.74066	4.16333
k141_43636	46157	11.5895	5.50576	6.3735	6.08372	6.29565
k141_21819	1627	3.43689	1.62459	2.00559	1.8123	0.913047
k141_7350	7360	6.69196	3.40581	3.89914	3.28615	3.96256
k141_50849	1386	3.50233	2.49224	1.7311	1.01009	0.224453
k141_43638	1407	2.76547	0.572956	0.474226	2.19251	0.886471
k141_39999	1250	3.0408	2.13802	1.48832	0.902778	0.628246
k141_32778	1247	3.04003	1.30548	0.954515	1.73455	0.46171
k141_32779	1634	3.87435	1.69206	1.73768	2.18229	1.87293
k141_43639	1856	176.622	89.4084	686.507	87.2139	559.001
k141_21824	1142	1.87165	0.528736	0.427744	1.34291	0.582204
k141_18262	9157	16.1856	7.88166	7.68611	8.3039	11.4487
k141_40002	1461	3.70359	2.11812	1.33186	1.58547	1.10631
k141_18263	1798	5.23706	2.55118	1.98268	2.68588	2.59226
k141_40005	1366	3.10726	1.15536	0.941115	1.95189	0.50992
k141_32781	2096	3.52753	2.25125	1.20875	1.27628	1.06636
k141_18266	1109	3.03956	0.837784	0.47663	2.20178	3.56523
k141_25445	6080	4.75226	2.43163	1.99127	2.32063	2.24329
k141_7367	1364	2.61216	1.27251	1.08693	1.33965	0.788893
k141_18268	1033	3.4738	2.10267	0.993729	1.37112	0.753987
k141_50852	6254	7.06449	2.76868	3.24376	4.29581	5.22724
k141_21829	3251	5.18205	2.98827	3.17778	2.19378	2.18419
k141_40009	1800	4.6228	2.28437	4.85497	2.33843	1.47034
k141_7370	1021	4.21343	1.68147	0.753099	2.53196	1.11692
k141_50853	1821	2.76669	1.26349	1.40209	1.50319	0.661277
k141_25450	1575	4.67976	1.31347	1.49854	3.36628	2.85288
k141_3735	12670	8.40853	4.50032	4.1781	3.90821	4.00829
k141_32789	2403	5.44165	3.32581	2.45499	2.11584	1.31514
k141_29123	23578	15.8992	7.91593	11.1066	7.98326	13.2155
k141_3737	1414	3.68085	1.98252	1.67803	1.69833	2.32337
k141_50856	1143	4.11196	2.5512	2.70164	1.56077	0.690988
k141_18274	2114	4.812	2.04613	2.0371	2.76587	4.07408
k141_7374	2903	3.85989	1.47059	0.775607	2.3893	1.61374
k141_25452	2429	6.34577	2.92364	5.311	3.42214	3.6552
k141_29125	1164	3.24109	2.05535	0.940602	1.18574	0.498799
k141_79	57806	10.1359	5.0318	23.1064	5.10406	21.9504
k141_18275	1613	4.49241	2.02376	1.18174	2.46865	2.45526
k141_29126	1043	3.87619	1.94603	0.485427	1.93016	0.855285
k141_32794	1082	2.7815	1.30691	1.23633	1.47459	0.872192
k141_80	1325	2.57457	1.18745	0.88327	1.38712	0.854089
k141_25456	1335	5.26677	2	1.73463	3.26677	1.01939
k141_81	1401	4.1888	2.18726	2.37201	2.00153	1.59754
k141_18276	2976	5.08443	2.41557	1.81751	2.66887	2.81109
