EvaluationData	CutoffSource	Group	TimeDays	TimeMonths	Survival	CILower	CIUpper	AtRisk	Events	Censored
Full data	Full data (leaky)	High	0	0	1	1	1	53	0	0
Full data	Full data (leaky)	Low	5	0.164271047227926	0.982456140350877	0.881920135888882	0.997509944854405	57	1	0
Full data	Full data (leaky)	Low	19	0.624229979466119	0.964912280701754	0.866903972728243	0.991107424381743	56	1	0
Full data	Full data (leaky)	Low	28	0.919917864476386	0.947368421052631	0.845639381189039	0.9827156841659	55	1	0
Full data	Full data (leaky)	Low	37	1.21560574948665	0.929824561403509	0.823738183726191	0.973067348126834	54	1	0
Full data	Full data (leaky)	Low	38	1.24845995893224	0.912280701754386	0.802006674319576	0.962519365485943	53	1	0
Full data	Full data (leaky)	Low	39	1.28131416837782	0.894736842105263	0.780612065684146	0.951278226267931	52	1	0
Full data	Full data (leaky)	Low	40	1.31416837782341	0.87719298245614	0.759578652138871	0.93947645932464	51	1	0
Full data	Full data (leaky)	Low	42	1.37987679671458	0.842105263157895	0.718530544270789	0.914530605439715	50	2	0
Full data	Full data (leaky)	Low	43	1.41273100616016	0.824561403508772	0.698468357791107	0.901502030323992	48	1	0
Full data	Full data (leaky)	Low	55	1.80698151950719	0.789473684210526	0.65915755679413	0.874528302707858	47	2	0
Full data	Full data (leaky)	Low	56	1.83983572895277	0.771929824561403	0.639872470241529	0.860637834063419	45	1	0
Full data	Full data (leaky)	Low	57	1.87268993839836	0.75438596491228	0.620814033732077	0.846506368742564	44	1	0
Full data	Full data (leaky)	Low	63	2.06981519507187	0.736842105263158	0.601969721602567	0.832150400216472	43	1	0
Full data	Full data (leaky)	Low	69	2.26694045174538	0.719298245614035	0.583328781138216	0.817583698296836	42	1	0
Full data	Full data (leaky)	Low	70	2.29979466119096	0.701754385964912	0.564881985270351	0.80281784145741	41	1	0
Full data	Full data (leaky)	Low	75	2.46406570841889	0.684210526315789	0.5466214236521	0.787862615516629	40	1	0
Full data	Full data (leaky)	Low	79	2.59548254620123	0.666666666666666	0.528540329216761	0.772726316928865	39	1	0
Full data	Full data (leaky)	Low	83	2.72689938398357	0.649122807017543	0.510632935548347	0.757415986492847	38	1	0
Full data	Full data (leaky)	Low	86	2.82546201232033	0.631578947368421	0.492894360311289	0.741937591280163	37	1	0
Full data	Full data (leaky)	Low	89	2.92402464065708	0.614035087719298	0.475320510513824	0.726296167298589	36	1	0
Full data	Full data (leaky)	Low	95	3.1211498973306	0.596491228070175	0.457908006069855	0.710495931828084	35	1	0
Full data	Full data (leaky)	Low	102	3.35112936344969	0.578947368421052	0.44065411880115	0.694540371893521	34	1	0
Full data	Full data (leaky)	Low	107	3.51540041067762	0.56140350877193	0.42355672462549	0.678432313590292	33	1	0
Full data	Full data (leaky)	Low	114	3.74537987679671	0.543859649122807	0.406614267196018	0.66217397571632	32	1	0
Full data	Full data (leaky)	Low	124	4.07392197125257	0.526315789473684	0.389825731700809	0.645767010230106	31	1	0
Full data	Full data (leaky)	Low	189	6.20944558521561	0.508771929824561	0.373190627915185	0.629212531344121	30	1	0
Full data	Full data (leaky)	Low	210	6.8993839835729	0.491228070175439	0.356708981939698	0.612511134503932	29	1	0
Full data	Full data (leaky)	Low	258	8.47638603696099	0.491228070175439	0.356708981939698	0.612511134503932	28	0	1
Full data	Full data (leaky)	Low	272	8.93634496919918	0.473034437946719	0.33960496177184	0.595183123314515	27	1	0
Full data	Full data (leaky)	Low	294	9.65913757700205	0.454840805717999	0.322686079246505	0.577690066727033	26	1	0
Full data	Full data (leaky)	Low	342	11.2361396303901	0.436647173489279	0.305952917862905	0.560031045587599	25	1	0
Full data	Full data (leaky)	Low	356	11.6960985626283	0.418453541260559	0.289406893724298	0.542204493883024	24	1	0
Full data	Full data (leaky)	Low	357	11.7289527720739	0.418453541260559	0.289406893724298	0.542204493883024	23	0	1
Full data	Full data (leaky)	Low	385	12.6488706365503	0.399432925748715	0.272093628807304	0.523594340401832	22	1	0
Full data	Full data (leaky)	Low	429	14.0944558521561	0.380412310236872	0.255016759631813	0.504784395481605	21	1	0
Full data	Full data (leaky)	Low	454	14.9158110882957	0.380412310236872	0.255016759631813	0.504784395481605	20	0	1
Full data	Full data (leaky)	Low	487	16	0.360390609698089	0.237032358190985	0.48503948675883	19	1	0
Full data	Full data (leaky)	Low	504	16.5585215605749	0.340368909159306	0.219355250091013	0.465046096331544	18	1	0
Full data	Full data (leaky)	Low	546	17.9383983572895	0.320347208620523	0.201991022530982	0.444797043680847	17	1	0
Full data	Full data (leaky)	Low	560	18.3983572895277	0.320347208620523	0.201991022530982	0.444797043680847	16	0	1
Full data	Full data (leaky)	Low	582	19.1211498973306	0.320347208620523	0.201991022530982	0.444797043680847	15	0	1
Full data	Full data (leaky)	Low	597	19.6139630390144	0.320347208620523	0.201991022530982	0.444797043680847	14	0	1
Full data	Full data (leaky)	Low	601	19.7453798767967	0.320347208620523	0.201991022530982	0.444797043680847	13	0	1
Full data	Full data (leaky)	Low	687	22.570841889117	0.320347208620523	0.201991022530982	0.444797043680847	12	0	1
Full data	Full data (leaky)	Low	707	23.2279260780287	0.320347208620523	0.201991022530982	0.444797043680847	11	0	1
Full data	Full data (leaky)	Low	730	23.9835728952772	0.320347208620523	0.201991022530982	0.444797043680847	10	0	1
Full data	Full data (leaky)	Low	744	24.4435318275154	0.320347208620523	0.201991022530982	0.444797043680847	9	0	1
Full data	Full data (leaky)	Low	794	26.0862422997947	0.320347208620523	0.201991022530982	0.444797043680847	8	0	1
Full data	Full data (leaky)	Low	830	27.2689938398357	0.320347208620523	0.201991022530982	0.444797043680847	7	0	1
Full data	Full data (leaky)	Low	856	28.1232032854209	0.320347208620523	0.201991022530982	0.444797043680847	6	0	1
Full data	Full data (leaky)	Low	864	28.3860369609856	0.320347208620523	0.201991022530982	0.444797043680847	5	0	1
Full data	Full data (leaky)	Low	991	32.5585215605749	0.240260406465393	0.0996245333970948	0.414067422287919	4	1	0
Full data	Full data (leaky)	Low	1340	44.0246406570842	0.240260406465393	0.0996245333970948	0.414067422287919	3	0	1
Full data	Full data (leaky)	Low	1362	44.7474332648871	0.240260406465393	0.0996245333970948	0.414067422287919	2	0	1
Full data	Full data (leaky)	Low	1463	48.0657084188912	0.240260406465393	0.0996245333970948	0.414067422287919	1	0	1
Full data	Full data (leaky)	High	26	0.854209445585216	0.981132075471698	0.873516288020181	0.997320480542874	53	1	0
Full data	Full data (leaky)	High	41	1.34702258726899	0.962264150943396	0.857427897866255	0.990426614849597	52	1	0
Full data	Full data (leaky)	High	45	1.47843942505133	0.943396226415094	0.834689305844377	0.981385468357464	51	1	0
Full data	Full data (leaky)	High	46	1.51129363449692	0.924528301886792	0.811287325601144	0.970984869097783	50	1	0
Full data	Full data (leaky)	High	56	1.83983572895277	0.886792452830189	0.765247883382621	0.947479343947827	49	2	0
Full data	Full data (leaky)	High	62	2.03696098562628	0.867924528301887	0.742812875392551	0.93473913742479	47	1	0
Full data	Full data (leaky)	High	63	2.06981519507187	0.849056603773585	0.720760715658958	0.921486241695606	46	1	0
Full data	Full data (leaky)	High	83	2.72689938398357	0.830188679245283	0.699066076990246	0.907791570128404	45	1	0
Full data	Full data (leaky)	High	97	3.18685831622177	0.811320754716981	0.677702967186378	0.893708331305943	44	1	0
Full data	Full data (leaky)	High	139	4.56673511293635	0.792452830188679	0.656647592522732	0.879277605436301	43	1	0
Full data	Full data (leaky)	High	149	4.8952772073922	0.773584905660377	0.635879056928331	0.864531826268016	42	1	0
Full data	Full data (leaky)	High	169	5.5523613963039	0.754716981132076	0.615379320353353	0.84949705786228	41	1	0
Full data	Full data (leaky)	High	190	6.24229979466119	0.735849056603774	0.595132923157251	0.834194540184342	40	1	0
Full data	Full data (leaky)	High	209	6.86652977412731	0.716981132075472	0.575126662614633	0.818641771252194	39	1	0
Full data	Full data (leaky)	High	256	8.41067761806982	0.69811320754717	0.555349288197303	0.802853284527126	38	1	0
Full data	Full data (leaky)	High	266	8.73921971252567	0.679245283018868	0.535791236329248	0.786841219459724	37	1	0
Full data	Full data (leaky)	High	297	9.75770020533881	0.679245283018868	0.535791236329248	0.786841219459724	36	0	1
Full data	Full data (leaky)	High	337	11.0718685831622	0.659838274932615	0.515704285022291	0.770261236997415	35	1	0
Full data	Full data (leaky)	High	376	12.35318275154	0.659838274932615	0.515704285022291	0.770261236997415	34	0	1
Full data	Full data (leaky)	High	379	12.4517453798768	0.659838274932615	0.515704285022291	0.770261236997415	33	0	1
Full data	Full data (leaky)	High	386	12.6817248459959	0.63921832884097	0.494187854256576	0.752670469596299	32	1	0
Full data	Full data (leaky)	High	553	18.1683778234086	0.63921832884097	0.494187854256576	0.752670469596299	31	0	1
Full data	Full data (leaky)	High	554	18.2012320328542	0.63921832884097	0.494187854256576	0.752670469596299	30	0	1
Full data	Full data (leaky)	High	586	19.2525667351129	0.63921832884097	0.494187854256576	0.752670469596299	29	0	1
Full data	Full data (leaky)	High	591	19.4168377823409	0.63921832884097	0.494187854256576	0.752670469596299	28	0	1
Full data	Full data (leaky)	High	603	19.8110882956879	0.63921832884097	0.494187854256576	0.752670469596299	27	0	1
Full data	Full data (leaky)	High	613	20.1396303901437	0.63921832884097	0.494187854256576	0.752670469596299	26	0	1
Full data	Full data (leaky)	High	615	20.2053388090349	0.613649595687332	0.465867090067123	0.731842939818916	25	1	0
Full data	Full data (leaky)	High	617	20.2710472279261	0.613649595687332	0.465867090067123	0.731842939818916	24	0	1
Full data	Full data (leaky)	High	627	20.5995893223819	0.586969178483535	0.43671715544259	0.709901534448237	23	1	0
Full data	Full data (leaky)	High	635	20.8624229979466	0.586969178483535	0.43671715544259	0.709901534448237	22	0	1
Full data	Full data (leaky)	High	651	21.388090349076	0.559018265222414	0.406596809778278	0.686714941860074	21	1	0
Full data	Full data (leaky)	High	658	21.6180698151951	0.559018265222414	0.406596809778278	0.686714941860074	20	0	1
Full data	Full data (leaky)	High	669	21.9794661190965	0.559018265222414	0.406596809778278	0.686714941860074	19	0	1
Full data	Full data (leaky)	High	687	22.570841889117	0.559018265222414	0.406596809778278	0.686714941860074	18	0	1
Full data	Full data (leaky)	High	688	22.6036960985626	0.559018265222414	0.406596809778278	0.686714941860074	17	0	1
Full data	Full data (leaky)	High	699	22.9650924024641	0.559018265222414	0.406596809778278	0.686714941860074	16	0	1
Full data	Full data (leaky)	High	702	23.0636550308008	0.559018265222414	0.406596809778278	0.686714941860074	15	0	1
Full data	Full data (leaky)	High	728	23.917864476386	0.559018265222414	0.406596809778278	0.686714941860074	14	0	1
Full data	Full data (leaky)	High	749	24.6078028747433	0.559018265222414	0.406596809778278	0.686714941860074	13	0	1
Full data	Full data (leaky)	High	800	26.2833675564682	0.559018265222414	0.406596809778278	0.686714941860074	12	0	1
Full data	Full data (leaky)	High	896	29.4373716632444	0.559018265222414	0.406596809778278	0.686714941860074	11	0	1
Full data	Full data (leaky)	High	1168	38.3737166324435	0.559018265222414	0.406596809778278	0.686714941860074	10	0	1
Full data	Full data (leaky)	High	1210	39.7535934291581	0.559018265222414	0.406596809778278	0.686714941860074	9	0	1
Full data	Full data (leaky)	High	1314	43.170431211499	0.559018265222414	0.406596809778278	0.686714941860074	8	0	1
Full data	Full data (leaky)	High	1483	48.7227926078029	0.559018265222414	0.406596809778278	0.686714941860074	7	0	1
Full data	Full data (leaky)	High	1546	50.7926078028747	0.559018265222414	0.406596809778278	0.686714941860074	6	0	1
Full data	Full data (leaky)	High	1549	50.8911704312115	0.559018265222414	0.406596809778278	0.686714941860074	5	0	1
Full data	Full data (leaky)	High	1591	52.2710472279261	0.559018265222414	0.406596809778278	0.686714941860074	4	0	1
Full data	Full data (leaky)	High	1708	56.1149897330595	0.559018265222414	0.406596809778278	0.686714941860074	3	0	1
Full data	Full data (leaky)	High	1845	60.6160164271047	0.559018265222414	0.406596809778278	0.686714941860074	2	0	1
Full data	Full data (leaky)	High	2437	80.0657084188912	0.559018265222414	0.406596809778278	0.686714941860074	1	0	1
