SearchData	CutoffLog2	CutoffPPM	LowN	HighN	ChiSquare	PValue	Selected
Full data (leaky)	15.4215060342754	43862	72	38	1.6013433719237	0.205712939211272	FALSE
Full data (leaky)	15.5594965931187	48267	73	37	1.22634019391929	0.26811996564534	FALSE
Full data (leaky)	15.6754609109963	52309	74	36	0.800437458479334	0.3709626088137	FALSE
Full data (leaky)	15.7117476228665	53642	75	35	1.33795305358356	0.247395274134474	FALSE
Full data (leaky)	15.7766643468418	56112	76	34	1.67256040125884	0.195915940522622	FALSE
Full data (leaky)	15.791061114717	56675	77	33	2.30088549559513	0.129300266843951	FALSE
Full data (leaky)	15.8013799770871	57082	78	32	2.81046287279799	0.0936513506540267	FALSE
Full data (leaky)	15.8284092452177	58162	79	31	2.09771071936189	0.147519866535972	FALSE
Full data (leaky)	15.8335325189468	58369	80	30	2.62075424703577	0.105474295046198	FALSE
Full data (leaky)	15.9514668619328	63343	81	29	2.85025807866442	0.0913592700418012	FALSE
Full data (leaky)	15.9790008634047	64564	82	28	2.12551499363149	0.144864082609701	FALSE
Full data (leaky)	16.0710223472184	68818.0000000001	83	27	2.96608380207792	0.0850274613197658	FALSE
Full data (leaky)	16.1379517347154	72087	84	26	3.91087231961431	0.0479746896616535	FALSE
Full data (leaky)	16.1779839536398	74115.9999999999	85	25	4.65848374910656	0.0309004675689052	FALSE
Full data (leaky)	16.1809969195797	74271.0000000001	86	24	5.58421486538369	0.0181230554378668	FALSE
Full data (leaky)	16.1928129232456	74882	87	23	4.65844899962638	0.0309010929773995	FALSE
