Sample1	Sample2	Study1	Study2	Country1	Country2	PairStratum	ComparableSites	SNPs	PDistance	DifferencesPer10kb
G78505	SID530054	VatanenT_2016	FengQ_2015	RUS	AUT	Different country	17507	3258	0.1860969898	1860.969898
G78505	SRS011302	VatanenT_2016	HMP_2012	RUS	USA	Different country	16805	2996	0.1782802737	1782.802737
G78505	SZAXPI003417-4	VatanenT_2016	YuJ_2015	RUS	CHN	Different country	17894	4257	0.2379009724	2379.009724
G78505	T2D-025	VatanenT_2016	QinJ_2012	RUS	CHN	Different country	17878	4281	0.239456315	2394.56315
G78505	T2D-063	VatanenT_2016	QinJ_2012	RUS	CHN	Different country	17868	4617	0.2583948959	2583.948959
G78505	T2D-105	VatanenT_2016	QinJ_2012	RUS	CHN	Different country	17888	4287	0.2396578712	2396.578712
G78505	W1.27.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	17839	2614	0.1465328774	1465.328774
G78505	YSZC12003_36795	VatanenT_2016	XieH_2016	RUS	GBR	Different country	17350	3320	0.1913544669	1913.544669
G88884	G88970	SchirmerM_2016	SchirmerM_2016	NLD	NLD	Same study	17357	3051	0.1757792245	1757.792245
G88884	G89027	SchirmerM_2016	SchirmerM_2016	NLD	NLD	Same study	17349	3098	0.17856937	1785.6937
G88884	H2M514903	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	17316	3145	0.1816239316	1816.239316
G88884	H3M518116	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	17310	4767	0.275389948	2753.89948
G88884	HD-1	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17332	3405	0.1964574198	1964.574198
G88884	HD-5	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17326	4807	0.2774443034	2774.443034
G88884	HV-6	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17265	4666	0.2702577469	2702.577469
G88884	LD-48	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17248	4563	0.2645524119	2645.524119
G88884	M1.42.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17352	3081	0.1775587828	1775.587828
G88884	M2.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17338	3030	0.1747606414	1747.606414
G88884	M2.58.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17364	3070	0.1768025801	1768.025801
G88884	N021	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	17320	4542	0.2622401848	2622.401848
G88884	RA023	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	17310	4524	0.2613518198	2613.518198
G88884	S353	SchirmerM_2016	KarlssonFH_2013	NLD	SWE	Different country	17040	2201	0.1291666667	1291.666667
G88884	SID530054	SchirmerM_2016	FengQ_2015	NLD	AUT	Different country	17046	2335	0.1369822832	1369.822832
G88884	SRS011302	SchirmerM_2016	HMP_2012	NLD	USA	Different country	16412	1981	0.1207043627	1207.043627
G88884	SZAXPI003417-4	SchirmerM_2016	YuJ_2015	NLD	CHN	Different country	17320	4433	0.2559468822	2559.468822
G88884	T2D-025	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17296	4436	0.2564754857	2564.754857
G88884	T2D-063	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17290	4759	0.2752458068	2752.458068
G88884	T2D-105	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17311	4429	0.2558488822	2558.488822
G88884	W1.27.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17273	3091	0.1789498061	1789.498061
G88884	YSZC12003_36795	SchirmerM_2016	XieH_2016	NLD	GBR	Different country	16913	2190	0.1294861941	1294.861941
G88970	G89027	SchirmerM_2016	SchirmerM_2016	NLD	NLD	Same study	17950	2651	0.1476880223	1476.880223
G88970	H2M514903	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	17903	2521	0.1408143886	1408.143886
G88970	H3M518116	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	17897	4633	0.2588702017	2588.702017
G88970	HD-1	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17921	2817	0.157189889	1571.89889
G88970	HD-5	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17907	4698	0.2623555034	2623.555034
G88970	HV-6	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17855	4564	0.2556146738	2556.146738
G88970	LD-48	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17833	4483	0.2513878764	2513.878764
G88970	M1.42.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17953	2552	0.1421489445	1421.489445
G88970	M2.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17943	2601	0.144959037	1449.59037
G88970	M2.58.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17970	2672	0.1486922649	1486.922649
G88970	N021	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	17912	4478	0.25	2500.0
G88970	RA023	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	17890	4501	0.2515930688	2515.930688
G88970	S353	SchirmerM_2016	KarlssonFH_2013	NLD	SWE	Different country	17519	3452	0.1970432102	1970.432102
G88970	SID530054	SchirmerM_2016	FengQ_2015	NLD	AUT	Different country	17531	3274	0.1867548913	1867.548913
G88970	SRS011302	SchirmerM_2016	HMP_2012	NLD	USA	Different country	16823	2955	0.1756523807	1756.523807
G88970	SZAXPI003417-4	SchirmerM_2016	YuJ_2015	NLD	CHN	Different country	17907	4293	0.2397386497	2397.386497
G88970	T2D-025	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17891	4314	0.2411268235	2411.268235
G88970	T2D-063	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17873	4712	0.2636378896	2636.378896
G88970	T2D-105	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17896	4376	0.244523916	2445.23916
G88970	W1.27.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17865	2630	0.1472152253	1472.152253
G88970	YSZC12003_36795	SchirmerM_2016	XieH_2016	NLD	GBR	Different country	17362	3253	0.187363207	1873.63207
G89027	H2M514903	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	17892	2745	0.1534205231	1534.205231
G89027	H3M518116	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	17889	4645	0.2596567723	2596.567723
G89027	HD-1	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17918	2916	0.1627413774	1627.413774
G89027	HD-5	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17898	4744	0.2650575483	2650.575483
G89027	HV-6	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17843	4561	0.2556184498	2556.184498
G89027	LD-48	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	17821	4524	0.2538578082	2538.578082
G89027	M1.42.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17941	2594	0.1445850287	1445.850287
G89027	M2.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17922	2652	0.1479745564	1479.745564
G89027	M2.58.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17954	2721	0.1515539713	1515.539713
G89027	N021	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	17901	4517	0.2523322719	2523.322719
G89027	RA023	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	17880	4498	0.2515659955	2515.659955
G89027	S353	SchirmerM_2016	KarlssonFH_2013	NLD	SWE	Different country	17510	3454	0.1972587093	1972.587093
G89027	SID530054	SchirmerM_2016	FengQ_2015	NLD	AUT	Different country	17522	3276	0.1869649583	1869.649583
G89027	SRS011302	SchirmerM_2016	HMP_2012	NLD	USA	Different country	16816	3046	0.1811370124	1811.370124
G89027	SZAXPI003417-4	SchirmerM_2016	YuJ_2015	NLD	CHN	Different country	17896	4269	0.2385449262	2385.449262
G89027	T2D-025	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17876	4271	0.2389236966	2389.236966
G89027	T2D-063	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17862	4694	0.2627925204	2627.925204
G89027	T2D-105	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	17885	4377	0.2447302209	2447.302209
G89027	W1.27.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	17848	2716	0.152173913	1521.73913
G89027	YSZC12003_36795	SchirmerM_2016	XieH_2016	NLD	GBR	Different country	17355	3317	0.1911264765	1911.264765
H2M514903	H3M518116	LiJ_2017	LiJ_2017	CHN	CHN	Same study	17844	4605	0.2580699395	2580.699395
H2M514903	HD-1	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17869	2825	0.1580950249	1580.950249
H2M514903	HD-5	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17854	4702	0.2633583511	2633.583511
H2M514903	HV-6	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17797	4610	0.2590324212	2590.324212
H2M514903	LD-48	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17775	4495	0.252883263	2528.83263
H2M514903	M1.42.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17898	2647	0.1478936194	1478.936194
H2M514903	M2.48.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17877	2719	0.1520948705	1520.948705
H2M514903	M2.58.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17907	2747	0.1534036969	1534.036969
H2M514903	N021	LiJ_2017	WenC_2017	CHN	CHN	Same country, different study	17854	4487	0.2513162317	2513.162317
H2M514903	RA023	LiJ_2017	WenC_2017	CHN	CHN	Same country, different study	17842	4521	0.2533908755	2533.908755
H2M514903	S353	LiJ_2017	KarlssonFH_2013	CHN	SWE	Different country	17472	3491	0.1998054029	1998.054029
H2M514903	SID530054	LiJ_2017	FengQ_2015	CHN	AUT	Different country	17481	3256	0.1862593673	1862.593673
H2M514903	SRS011302	LiJ_2017	HMP_2012	CHN	USA	Different country	16779	3053	0.1819536325	1819.536325
H2M514903	SZAXPI003417-4	LiJ_2017	YuJ_2015	CHN	CHN	Same country, different study	17847	4294	0.2406006612	2406.006612
H2M514903	T2D-025	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	17827	4300	0.2412071577	2412.071577
H2M514903	T2D-063	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	17821	4676	0.2623870714	2623.870714
H2M514903	T2D-105	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	17845	4363	0.2444942561	2444.942561
H2M514903	W1.27.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17866	2608	0.1459755961	1459.755961
H2M514903	YSZC12003_36795	LiJ_2017	XieH_2016	CHN	GBR	Different country	17319	3362	0.1941220625	1941.220625
H3M518116	HD-1	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17879	4538	0.2538173276	2538.173276
H3M518116	HD-5	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17880	3380	0.1890380313	1890.380313
H3M518116	HV-6	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17824	3258	0.1827872531	1827.872531
H3M518116	LD-48	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	17808	3860	0.2167565139	2167.565139
H3M518116	M1.42.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17889	4558	0.2547934485	2547.934485
H3M518116	M2.48.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17871	4573	0.2558894298	2558.894298
H3M518116	M2.58.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17900	4603	0.257150838	2571.50838
H3M518116	N021	LiJ_2017	WenC_2017	CHN	CHN	Same country, different study	17878	3718	0.2079650968	2079.650968
H3M518116	RA023	LiJ_2017	WenC_2017	CHN	CHN	Same country, different study	17868	3843	0.215077233	2150.77233
H3M518116	S353	LiJ_2017	KarlssonFH_2013	CHN	SWE	Different country	17461	5026	0.2878414753	2878.414753
H3M518116	SID530054	LiJ_2017	FengQ_2015	CHN	AUT	Different country	17471	4856	0.277946311	2779.46311
H3M518116	SRS011302	LiJ_2017	HMP_2012	CHN	USA	Different country	16770	4555	0.2716159809	2716.159809
H3M518116	SZAXPI003417-4	LiJ_2017	YuJ_2015	CHN	CHN	Same country, different study	17872	3959	0.2215196956	2215.196956
H3M518116	T2D-025	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	17856	3950	0.2212141577	2212.141577
H3M518116	T2D-063	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	17849	3903	0.2186677125	2186.677125
H3M518116	T2D-105	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	17862	3613	0.2022729817	2022.729817
H3M518116	W1.27.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	17803	4664	0.2619783183	2619.783183
H3M518116	YSZC12003_36795	LiJ_2017	XieH_2016	CHN	GBR	Different country	17314	4858	0.2805821878	2805.821878
HD-1	HD-5	QinN_2014	QinN_2014	CHN	CHN	Same study	17891	4582	0.2561064222	2561.064222
HD-1	HV-6	QinN_2014	QinN_2014	CHN	CHN	Same study	17835	4343	0.2435099523	2435.099523
HD-1	LD-48	QinN_2014	QinN_2014	CHN	CHN	Same study	17819	4302	0.2414276895	2414.276895
HD-1	M1.42.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17920	2879	0.1606584821	1606.584821
HD-1	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17895	2863	0.1599888237	1599.888237
HD-1	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17927	2950	0.1645562559	1645.562559
HD-1	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17890	4405	0.2462269424	2462.269424
HD-1	RA023	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17877	4372	0.2445600492	2445.600492
HD-1	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	17497	3762	0.2150082871	2150.082871
HD-1	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	17513	3582	0.2045337749	2045.337749
HD-1	SRS011302	QinN_2014	HMP_2012	CHN	USA	Different country	16797	3254	0.19372507	1937.2507
HD-1	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	17879	4198	0.2348006041	2348.006041
HD-1	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17867	4196	0.2348463648	2348.463648
HD-1	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17854	4632	0.259437661	2594.37661
HD-1	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17879	4108	0.2297667655	2297.667655
HD-1	W1.27.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17831	2790	0.1564690707	1564.690707
HD-1	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	17351	3565	0.205463662	2054.63662
HD-5	HV-6	QinN_2014	QinN_2014	CHN	CHN	Same study	17839	3344	0.1874544537	1874.544537
HD-5	LD-48	QinN_2014	QinN_2014	CHN	CHN	Same study	17825	3617	0.2029172511	2029.172511
HD-5	M1.42.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17897	4692	0.2621668436	2621.668436
HD-5	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17879	4664	0.2608647016	2608.647016
HD-5	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17906	4678	0.2612532112	2612.532112
HD-5	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17882	3663	0.2048428587	2048.428587
HD-5	RA023	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17878	3593	0.2009732632	2009.732632
HD-5	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	17477	5028	0.2876923957	2876.923957
HD-5	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	17485	4915	0.2810980841	2810.980841
HD-5	SRS011302	QinN_2014	HMP_2012	CHN	USA	Different country	16786	4568	0.2721315382	2721.315382
HD-5	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	17889	3517	0.1966012633	1966.012633
HD-5	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17873	3500	0.1958261064	1958.261064
HD-5	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17865	3634	0.2034144976	2034.144976
HD-5	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17873	3428	0.1917976837	1917.976837
HD-5	W1.27.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17817	4728	0.2653645395	2653.645395
HD-5	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	17330	4904	0.2829774957	2829.774957
HV-6	LD-48	QinN_2014	QinN_2014	CHN	CHN	Same study	17790	3512	0.1974142777	1974.142777
HV-6	M1.42.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17845	4520	0.2532922387	2532.922387
HV-6	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17831	4511	0.252986372	2529.86372
HV-6	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17856	4525	0.2534162186	2534.162186
HV-6	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17837	3687	0.2067051634	2067.051634
HV-6	RA023	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17823	3513	0.1971048645	1971.048645
HV-6	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	17422	4894	0.2809091953	2809.091953
HV-6	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	17434	4882	0.2800275324	2800.275324
HV-6	SRS011302	QinN_2014	HMP_2012	CHN	USA	Different country	16734	4529	0.2706465878	2706.465878
HV-6	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	17845	3641	0.2040347436	2040.347436
HV-6	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17847	3618	0.2027231467	2027.231467
HV-6	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17837	3391	0.1901104446	1901.104446
HV-6	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17822	3635	0.203961396	2039.61396
HV-6	W1.27.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17759	4569	0.2572779999	2572.779999
HV-6	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	17275	4785	0.2769898698	2769.898698
LD-48	M1.42.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17827	4454	0.2498457396	2498.457396
LD-48	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17809	4453	0.2500421135	2500.421135
LD-48	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17831	4505	0.2526498794	2526.498794
LD-48	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17819	3803	0.2134238734	2134.238734
LD-48	RA023	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	17803	3327	0.186878616	1868.78616
LD-48	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	17407	4866	0.2795427127	2795.427127
LD-48	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	17415	4741	0.2722365777	2722.365777
LD-48	SRS011302	QinN_2014	HMP_2012	CHN	USA	Different country	16713	4401	0.2633279483	2633.279483
LD-48	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	17824	2305	0.129320018	1293.20018
LD-48	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17828	2307	0.129403186	1294.03186
LD-48	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17799	3675	0.2064722737	2064.722737
LD-48	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	17797	3786	0.212732483	2127.32483
LD-48	W1.27.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	17739	4530	0.2553695248	2553.695248
LD-48	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	17255	4739	0.2746450304	2746.450304
M1.42.ST	M2.48.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	17928	2567	0.1431838465	1431.838465
M1.42.ST	M2.58.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	17956	2658	0.1480285141	1480.285141
M1.42.ST	N021	BritoIL_2016	WenC_2017	FJI	CHN	Different country	17900	4462	0.249273743	2492.73743
M1.42.ST	RA023	BritoIL_2016	WenC_2017	FJI	CHN	Different country	17882	4498	0.2515378593	2515.378593
M1.42.ST	S353	BritoIL_2016	KarlssonFH_2013	FJI	SWE	Different country	17516	3492	0.1993605846	1993.605846
M1.42.ST	SID530054	BritoIL_2016	FengQ_2015	FJI	AUT	Different country	17522	3195	0.1823421984	1823.421984
M1.42.ST	SRS011302	BritoIL_2016	HMP_2012	FJI	USA	Different country	16813	3001	0.1784928329	1784.928329
M1.42.ST	SZAXPI003417-4	BritoIL_2016	YuJ_2015	FJI	CHN	Different country	17894	4230	0.2363920867	2363.920867
M1.42.ST	T2D-025	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17878	4247	0.2375545363	2375.545363
M1.42.ST	T2D-063	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17865	4627	0.2589980409	2589.980409
M1.42.ST	T2D-105	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17886	4253	0.2377837415	2377.837415
M1.42.ST	W1.27.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	17855	2546	0.1425931112	1425.931112
M1.42.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	17360	3257	0.1876152074	1876.152074
M2.48.ST	M2.58.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	17946	2586	0.1440989636	1440.989636
M2.48.ST	N021	BritoIL_2016	WenC_2017	FJI	CHN	Different country	17893	4470	0.2498183647	2498.183647
M2.48.ST	RA023	BritoIL_2016	WenC_2017	FJI	CHN	Different country	17866	4497	0.2517071533	2517.071533
M2.48.ST	S353	BritoIL_2016	KarlssonFH_2013	FJI	SWE	Different country	17502	3496	0.1997486002	1997.486002
M2.48.ST	SID530054	BritoIL_2016	FengQ_2015	FJI	AUT	Different country	17513	3287	0.1876891452	1876.891452
M2.48.ST	SRS011302	BritoIL_2016	HMP_2012	FJI	USA	Different country	16803	3021	0.1797893233	1797.893233
M2.48.ST	SZAXPI003417-4	BritoIL_2016	YuJ_2015	FJI	CHN	Different country	17888	4243	0.2371981216	2371.981216
M2.48.ST	T2D-025	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	17867	4267	0.2388201713	2388.201713
