pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
	0.0	Acetobacterium wieringae	Acetobacterium wieringae	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	52694.0		GCF_001766835.1	2690315663.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Engineered	Wastewater	Dissolved organics (anaerobic)	Nutrient removal	Gram+	Anaerobe	0.0	0	0.0	3895828.0	3664.0	1716937.0	44.0	3619.0	98.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/766/835/GCF_001766835.1_ASM176683v1	Acetobacterium_wieringae.json	0.0		0.0	0.0	Acetobacterium_wieringae	species
Acetonema longum DSM 6540 (1009370.3)	1.0	Acetonema longum DSM 6540	Acetonema longum	Acetonema	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	Human	1009370.0	1009370.3	GCF_000219125.1	651324002.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Insecta	Unclassified	Digestive system	Gram-	Anaerobe	0.0	0	0.0	4323011.0	4347.0	2177104.0	50.0	4284.0	98.55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1	Acetonema_longum.json	0.0				Acetonema_longum	species
Achromobacter xylosoxidans AXX-A (1003200.3)	2.0	Achromobacter insuavis AXX-A	Achromobacter insuavis	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	1003200.0	1003200.3	GCF_000219745.1	2529293051.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Host-associated	Unclassified	Unclassified	Unclassified	Gram-	Aerobe	0.0	Motile	0.0	6707795.0	6220.0	4574268.0	68.0	6161.0	99.05	https://www.ncbi.nlm.nih.gov/assembly/GCF_000219745.1/	Achromobacter_insuavis.json	0.0				Achromobacter_insuavis	species
Achromobacter xylosoxidans A8 (762376.5)			Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human		762376.5					0.0	0.0	Yes						Gram-	Aerobe	0.0	Motile	0.0								Achromobacter_xylosoxidans.json	0.0				Achromobacter_xylosoxidans	species
	0.0	Acidaminobacter hydrogenoformans DSM 2784	Acidaminobacter hydrogenoformans	Acidaminobacter	Eubacteriales Family XII. Incertae Sedis	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	1120920.0		GCF_900103005.1	2599185234.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Anaerobe	0.0	Nonmotile	0.0	3615609.0	3376.0	1762943.0	49.0	3280.0	97.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/005/GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	Acidaminobacter_hydrogenoformans.json	0.0				Acidaminobacter_hydrogenoformans	species
Acidaminococcus fermentans DSM 20731 (591001.3)	2.0	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	591001.0	591001.3	GCF_000025305.1		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram-	Anaerobe	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1	Acidaminococcus_fermentans.json	0.0		0.0	0.0	Acidaminococcus_fermentans	species
Acidaminococcus intestini RyC-MR95 (568816.4)	2.0	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	568816.0	568816.4	GCF_000230275.1	2511231106.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Unclassified	Skin	Gram-	Anaerobe	0.0	0	0.0	2487765.0	2462.0	1244395.0	50.0	2401.0	97.52	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/275/GCF_000230275.1_ASM23027v1	Acidaminococcus_intestini.json					Acidaminococcus_intestini	species
	0.0	Acidaminococcus massiliensis Marseille P2828	Acidaminococcus massiliensis	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	1852375.0		GCF_900095825.1		PMID:30745586	Literature research									Gram-											ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/825/GCF_900095825.1_PRJEB15304	Acidaminococcus_massiliensis.json		GCF_900095825.1			Acidaminococcus_massiliensis	species
	0.0	Acidaminococcus sp. BV3L6	Acidaminococcus sp. BV3L6	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	1111120.0		GCF_000468835.1	2558860385.0	PMID:31171880	Literature research	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Reproductive system	Gram-	Anaerobe	0.0	0		2171264.0	2172.0	1076511.0	50.0	2115.0	97.38	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/835/GCF_000468835.1_AspBV3L6v1.0	Acidaminococcus_sp__BV3L6.json				0.0	Acidaminococcus_sp__BV3L6	species
Acidaminococcus sp. D21 (563191.3)	2.0	Acidaminococcus	Acidaminococcus sp. D21	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	904.0	563191.3	GCF_000174215.1		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram-	Anaerobe	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/215/GCF_000174215.1_ASM17421v1	Acidaminococcus_sp__D21.json	0.0		0.0	0.0	Acidaminococcus_sp__D21	species
Acidaminococcus sp. HPA0509 (1203555.3)	1.0	Acidaminococcus sp. HPA0509	Acidaminococcus sp. HPA0509	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	1203555.0	1203555.3	GCF_000411395.1	2541047012.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Digestive system	Gram-	Anaerobe	0.0	0		2243882.0	2169.0	1120667.0	50.0	2108.0	97.19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/395/GCF_000411395.1_Acid_sp_HPA0509_V1	Acidaminococcus_sp__HPA0509.json		GCF_000411395.1		0.0	Acidaminococcus_sp__HPA0509	species
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	2.0	Acidipropionibacterium acidipropionici ATCC 4875	Acidipropionibacterium acidipropionici	Acidipropionibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	1171373.0	1171373.8	GCF_000310065.1	2521172602.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Dairy products	Gram+	Anaerobe	0.0	Nonmotile	0.0	3656170.0	3401.0	2514482.0	69.0	3336.0	98.09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/310/065/GCF_000310065.1_ASM31006v1	Acidipropionibacterium_acidipropionici.json	0.0	GCF_000162935.1			Acidipropionibacterium_acidipropionici	species
	0.0	Acidipropionibacterium jensenii DSM 20535	Acidipropionibacterium jensenii	Acidipropionibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Human	1122997.0		GCF_000425285.1	2523533551.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Dairy products	Gram+	Anaerobe	0.0	0	0.0	3028354.0	2781.0	2079158.0	69.0	2719.0	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/285/GCF_000425285.1_ASM42528v1	Acidipropionibacterium_jensenii.json	0.0			0.0	Acidipropionibacterium_jensenii	species
	0.0	Acidobacterium ailaaui	Acidobacterium ailaaui	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria	Mouse	1382359.0		GCF_000688455.1	2558860986.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0							Gram-	Obligate aerobe	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/455/GCF_000688455.1_ASM68845v1	Acidobacterium_ailaaui.json	0.0		0.0	0.0	Acidobacterium_ailaaui	species
Acidobacterium capsulatum ATCC 51196 (240015.3)	1.0	Acidobacterium capsulatum ATCC 51196	Acidobacterium capsulatum	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria	Mouse	240015.0	240015.3	GCF_000022565.1	643692001.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Environmental	Terrestrial	Mine	Geologic	Gram-	Obligate aerobe	0.0	Nonmotile	0.0	4127356.0	3425.0	2496927.0	60.0	3377.0	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/565/GCF_000022565.1_ASM2256v1	Acidobacterium_capsulatum.json	0.0				Acidobacterium_capsulatum	species
	0.0	Acidovorax caeni	Acidovorax caeni	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	343013.0		GCF_001298675.1	2740892283.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Anaerobe	0.0	Motile	0.0	4174129.0	3952.0	2734603.0	66.0	3882.0	98.23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/675/GCF_001298675.1_Draft_Genome	Acidovorax_caeni.json	0.0	GCF_001298675.1	0.0		Acidovorax_caeni	species
			Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0	Nonmotile	0.0								Acinetobacter_baumannii.json	0.0				Acinetobacter_baumannii	species
			Acinetobacter calcoaceticus	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0				39.0				Acinetobacter_calcoaceticus.json	0.0		0.0	0.0	Acinetobacter_calcoaceticus	species
			Acinetobacter guillouiae	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human					https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0				38.0				Acinetobacter_guillouiae.json	0.0		0.0	0.0	Acinetobacter_guillouiae	species
			Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile									Acinetobacter_haemolyticus.json					Acinetobacter_haemolyticus	species
	2.0		Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0								Acinetobacter_johnsonii.json	0.0		0.0	0.0	Acinetobacter_johnsonii	species
	2.0		Acinetobacter junii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0								Acinetobacter_junii.json	0.0		0.0	0.0	Acinetobacter_junii	species
			Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0		0.0								Acinetobacter_lwoffii.json	0.0		0.0	0.0	Acinetobacter_lwoffii	species
			Acinetobacter nosocomialis	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes	0.0					Gram-	Aerobe	0.0	Nonmotile	0.0				39.0				Acinetobacter_nosocomialis.json	0.0		0.0	0.0	Acinetobacter_nosocomialis	species
			Acinetobacter pittii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe	0.0		0.0				39.0				Acinetobacter_pittii.json	0.0				Acinetobacter_pittii	species
	2.0		Acinetobacter radioresistens	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes		Host-associated		Unclassified		Gram-	Aerobe	0.0		0.0								Acinetobacter_radioresistens.json	0.0				Acinetobacter_radioresistens	species
Acinetobacter sp. ATCC 27244 (525244.5)	1.0	Acinetobacter sp. ATCC 27244	Acinetobacter sp. ATCC 27244	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	525244.0	525244.5	GCF_000156555.1	643886214.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	3330366.0	3392.0	1313420.0	39.0	3327.0	98.08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/555/GCF_000156555.1_ASM15655v1	Acinetobacter_sp__ATCC_27244.json					Acinetobacter_sp__ATCC_27244	species
Acinetobacter baumannii OIFC021 (903928.3)	2.0	Acinetobacter sp. OIFC021	Acinetobacter sp. OIFC021	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	903928.0	903928.3	GCF_000335575.1	2537562057.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Host-associated	Animal	Unclassified	Respiratory system	Gram-	Aerobe	0.0	Nonmotile		4084065.0	4004.0	1578277.0	39.0	3932.0	98.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/575/GCF_000335575.1_gacin41v1.0	Acinetobacter_sp__OIFC021.json					Acinetobacter_sp__OIFC021	species
Acinetobacter sp. SH024 (575565.3)	1.0	Acinetobacter sp. SH024	Acinetobacter sp. SH024	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	575565.0	575565.3	GCF_000163635.1	647533108.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Skin	Gram-	Aerobe	0.0	Nonmotile	0.0	3970841.0	3703.0	1525103.0	39.0	3631.0	98.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/635/GCF_000163635.1_ASM16363v1	Acinetobacter_sp__SH024.json		NZ_GG753625			Acinetobacter_sp__SH024	species
Acinetobacter baumannii WC-141 (903915.3)	2.0	Acinetobacter sp. WC-141	Acinetobacter sp. WC-141	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	903915.0	903915.3	GCF_000313935.1	2531839352.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Host-associated	Human	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	3932253.0	3886.0	1527729.0	39.0	3812.0	98.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/935/GCF_000313935.1_gacin27v1.0	Acinetobacter_sp__WC_141.json	0.0				Acinetobacter_sp__WC_141	species
Acinetobacter baumannii WC-323 (903918.3)	2.0	Acinetobacter sp. WC-323	Acinetobacter sp. WC-323	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	903918.0	903918.3	GCF_000314615.1	2531839355.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Engineered	Built environment	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	4047401.0	3967.0	1725120.0	43.0	3887.0	97.98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/615/GCF_000314615.1_gacin30v1.0	Acinetobacter_sp__WC_323.json	0.0				Acinetobacter_sp__WC_323	species
			Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	Human							0.0	0.0	Yes						Gram-	Aerobe		Nonmotile									Actinobacillus_pleuropneumoniae.json					Actinobacillus_pleuropneumoniae	species
	0.0	Actinomyces bowdenii	Actinomyces bowdenii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Mouse	131109.0		GCF_003860075.1		PMID:27670113	Literature research	0.0	0.0							Gram+	Facultative anaerobe	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/075/GCF_003860075.1_ASM386007v1	Actinomyces_bowdenii.json	0.0	GCF_003860075.1	0.0	0.0	Actinomyces_bowdenii	species
	0.0	Actinomyces gerencseriae DSM 6844	Actinomyces gerencseriae	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Human	1120943.0		GCF_000429265.1	2524023137.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Skin	Gram+	Facultative anaerobe	0.0	Nonmotile	0.0	3420019.0	2893.0	2418367.0	71.0	2826.0	97.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/265/GCF_000429265.1_ASM42926v1	Actinomyces_gerencseriae.json	0.0	GCF_000429265.1		0.0	Actinomyces_gerencseriae	species
Actinomyces graevenitzii C83 (435830.3)	2.0	Actinomyces graevenitzii C83	Actinomyces graevenitzii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Human	435830.0	435830.3	GCF_000239695.1	2513237375.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Host-associated	Human	Unclassified	Respiratory system	Gram+	Facultative anaerobe	0.0	Nonmotile		2196917.0	1910.0	1269862.0	58.0	1853.0	97.02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/695/GCF_000239695.1_Acti_grae_C83_V1	Actinomyces_graevenitzii.json					Actinomyces_graevenitzii	species
	0.0	Pauljensenia hongkongensis	Actinomyces hongkongensis	Pauljensenia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Human	178339.0		GCF_001746855.1	2751185834.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Human	Unclassified	Unclassified	Gram+	Facultative anaerobe	0.0	0	0.0	2141493.0	1882.0	1465351.0	70.0	1833.0	97.4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/855/GCF_001746855.1_ASM174685v1	Actinomyces_hongkongensis.json	0.0	GCF_001746855.1		0.0	Actinomyces_hongkongensis	species
	0.0	Actinomyces ihuae DSM 100538	Actinomyces ihuae	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Human	1673722.0		GCF_001457875.1		PMID:30745586	Literature research									Gram+											ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/875/GCA_001457875.1_Actinomyces_ihumii	Actinomyces_ihuae.json		GCF_001457875.1			Actinomyces_ihuae	species
	0.0	Actinomyces israelii DSM 43320	Actinomyces israelii	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	Human	1120944.0		GCF_000711965.1	2565956542.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes		Host-associated	Human	Unclassified	Skin	Gram+	Facultative anaerobe	0.0	0	0.0	4027570.0	3411.0	2875784.0	71.0	3346.0	98.09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/711/965/GCF_000711965.1_ASM71196v1	Actinomyces_israelii.json		GCF_000711965.1			Actinomyces_israelii	species
