reaction	metabolite	global_id	flux	PositiveFlux	Compound	SMETANACompound	SMETANAMembership
EX_ocdcea_m	ocdcea_m	EX_ocdcea(e)	0.0681445	True	ocdcea	ocdcea	True
EX_gsn_m	gsn_m	EX_gsn(e)	0.1	True	gsn	gsn	True
EX_arab_D_m	arab_D_m	EX_arab_D(e)	0.1	True	arab_D	arab_D	True
EX_glyleu_m	glyleu_m	EX_glyleu(e)	0.1132568205000007	True	glyleu	glyleu	True
EX_succ_m	succ_m	EX_succ(e)	0.0020024175	True	succ	succ	True
EX_glcn_m	glcn_m	EX_glcn(e)	0.0148985999999999	True	glcn	glcn	True
EX_ala_D_m	ala_D_m	EX_ala_D(e)	0.1	True	ala_D	ala_D	True
EX_chor_m	chor_m	EX_chor(e)	0.1	True	chor	chor	True
EX_oxa_m	oxa_m	EX_oxa(e)	0.0446957	True	oxa	oxa	True
EX_gthox_m	gthox_m	EX_gthox(e)	0.1	True	gthox	gthox	True
EX_lanost_m	lanost_m	EX_lanost(e)	0.1	True	lanost	lanost	True
EX_fuc_L_m	fuc_L_m	EX_fuc_L(e)	0.0148985999999999	True	fuc_L	fuc_L	True
EX_pullulan1200_m	pullulan1200_m	EX_pullulan1200(e)	1.18e-05	True	pullulan1200	pullulan1200	True
EX_rmn_m	rmn_m	EX_rmn(e)	0.0148985999999999	True	rmn	rmn	True
EX_strch1_m	strch1_m	EX_strch1(e)	0.257339	True	strch1	strch1	True
EX_mobd_m	mobd_m	EX_mobd(e)	0.1	True	mobd	mobd	True
EX_glyasp_m	glyasp_m	EX_glyasp(e)	0.0837885898388894	True	glyasp	glyasp	True
EX_sbt_D_m	sbt_D_m	EX_sbt_D(e)	0.0075490653638889	True	sbt_D	sbt_D	True
EX_kestopt_m	kestopt_m	EX_kestopt(e)	0.002821167	True	kestopt	kestopt	True
EX_pime_m	pime_m	EX_pime(e)	0.1	True	pime	pime	True
EX_meoh_m	meoh_m	EX_meoh(e)	10.0	True	meoh	meoh	True
EX_pect_m	pect_m	EX_pect(e)	3.34e-05	True	pect	pect	True
EX_dextran40_m	dextran40_m	EX_dextran40(e)	0.0001763229999999	True	dextran40	dextran40	True
EX_arabinogal_m	arabinogal_m	EX_arabinogal(e)	2.19e-05	True	arabinogal	arabinogal	True
EX_homogal_m	homogal_m	EX_homogal(e)	0.000128235	True	homogal	homogal	True
EX_rhamnogalurI_m	rhamnogalurI_m	EX_rhamnogalurI(e)	1.4499999999999992e-05	True	rhamnogalurI	rhamnogalurI	True
EX_amylopect900_m	amylopect900_m	EX_amylopect900(e)	1.57e-05	True	amylopect900	amylopect900	True
EX_amylose300_m	amylose300_m	EX_amylose300(e)	4.7e-05	True	amylose300	amylose300	True
EX_arabinan101_m	arabinan101_m	EX_arabinan101(e)	0.000166277	True	arabinan101	arabinan101	True
EX_arabinoxyl_m	arabinoxyl_m	EX_arabinoxyl(e)	0.000306649	True	arabinoxyl	arabinoxyl	True
EX_bglc_m	bglc_m	EX_bglc(e)	7.05e-08	True	bglc	bglc	True
EX_galmannan_m	galmannan_m	EX_galmannan(e)	1.41e-05	True	galmannan	galmannan	True
EX_glcmannan_m	glcmannan_m	EX_glcmannan(e)	3.2899999999999987e-05	True	glcmannan	glcmannan	True
EX_levan1000_m	levan1000_m	EX_levan1000(e)	1.41e-05	True	levan1000	levan1000	True
EX_lichn_m	lichn_m	EX_lichn(e)	8.3e-05	True	lichn	lichn	True
EX_lmn30_m	lmn30_m	EX_lmn30(e)	0.000470195	True	lmn30	lmn30	True
EX_xyluglc_m	xyluglc_m	EX_xyluglc(e)	1.31e-05	True	xyluglc	xyluglc	True
EX_xylan_m	xylan_m	EX_xylan(e)	3.21e-05	True	xylan	xylan	True
EX_rhamnogalurII_m	rhamnogalurII_m	EX_rhamnogalurII(e)	0.000266987	True	rhamnogalurII	rhamnogalurII	True
EX_acmana_m	acmana_m	EX_acmana(e)	0.1	True	acmana	acmana	True
EX_cellul_m	cellul_m	EX_cellul(e)	2.82e-05	True	cellul	cellul	True
EX_starch1200_m	starch1200_m	EX_starch1200(e)	1.18e-05	True	starch1200	starch1200	True
EX_amet_m	amet_m	EX_amet(e)	0.1	True	amet	amet	True
EX_sel_m	sel_m	EX_sel(e)	0.1	True	sel	sel	True
EX_fald_m	fald_m	EX_fald(e)	0.1	True	fald	fald	True
EX_chsterol_m	chsterol_m	EX_chsterol(e)	0.0004958	True	chsterol	chsterol	True
EX_glc_m	glc_m	EX_glc(e)	0.0	False	glc	glc	False
EX_arachd_m	arachd_m	EX_arachd(e)	0.0	False	arachd	arachd	False
EX_hdcea_m	hdcea_m	EX_hdcea(e)	0.0	False	hdcea	hdcea	False
EX_lnlc_m	lnlc_m	EX_lnlc(e)	0.0	False	lnlc	lnlc	False
EX_lnlnca_m	lnlnca_m	EX_lnlnca(e)	0.0	False	lnlnca	lnlnca	False
EX_lnlncg_m	lnlncg_m	EX_lnlncg(e)	0.0	False	lnlncg	lnlncg	False
EX_octa_m	octa_m	EX_octa(e)	0.0	False	octa	octa	False
EX_adpcbl_m	adpcbl_m	EX_adpcbl(e)	0.0	False	adpcbl	adpcbl	False
EX_fe3dcit_m	fe3dcit_m	EX_fe3dcit(e)	0.0	False	fe3dcit	fe3dcit	False
EX_pydx5p_m	pydx5p_m	EX_pydx5p(e)	0.0	False	pydx5p	pydx5p	False
EX_glu_D_m	glu_D_m	EX_glu_D(e)	0.0	False	glu_D	glu_D	False
