medium	compound	PoolExchange	PresentInSubcommunity
western_diet_gut_anoxic_membership	chsterol	R_EX_M_chsterol_e_pool	True
western_diet_gut_anoxic_membership	cit	R_EX_M_cit_e_pool	True
western_diet_gut_anoxic_membership	cl	R_EX_M_cl_e_pool	True
western_diet_gut_anoxic_membership	cobalt2	R_EX_M_cobalt2_e_pool	True
western_diet_gut_anoxic_membership	csn	R_EX_M_csn_e_pool	False
western_diet_gut_anoxic_membership	cu2	R_EX_M_cu2_e_pool	True
western_diet_gut_anoxic_membership	cys_L	R_EX_M_cys_L_e_pool	True
western_diet_gut_anoxic_membership	cytd	R_EX_M_cytd_e_pool	True
western_diet_gut_anoxic_membership	dad_2	R_EX_M_dad_2_e_pool	True
western_diet_gut_anoxic_membership	dcyt	R_EX_M_dcyt_e_pool	True
western_diet_gut_anoxic_membership	ddca	R_EX_M_ddca_e_pool	True
western_diet_gut_anoxic_membership	dextran40	R_EX_M_dextran40_e_pool	False
western_diet_gut_anoxic_membership	dgsn	R_EX_M_dgsn_e_pool	True
western_diet_gut_anoxic_membership	drib	R_EX_M_drib_e_pool	True
western_diet_gut_anoxic_membership	fald	R_EX_M_fald_e_pool	False
western_diet_gut_anoxic_membership	fe2	R_EX_M_fe2_e_pool	True
western_diet_gut_anoxic_membership	fe3	R_EX_M_fe3_e_pool	True
western_diet_gut_anoxic_membership	fol	R_EX_M_fol_e_pool	True
western_diet_gut_anoxic_membership	for	R_EX_M_for_e_pool	True
western_diet_gut_anoxic_membership	fru	R_EX_M_fru_e_pool	True
western_diet_gut_anoxic_membership	fuc_L	R_EX_M_fuc_L_e_pool	False
western_diet_gut_anoxic_membership	fum	R_EX_M_fum_e_pool	True
western_diet_gut_anoxic_membership	gal	R_EX_M_gal_e_pool	True
western_diet_gut_anoxic_membership	galmannan	R_EX_M_galmannan_e_pool	False
western_diet_gut_anoxic_membership	gam	R_EX_M_gam_e_pool	True
western_diet_gut_anoxic_membership	glcmannan	R_EX_M_glcmannan_e_pool	False
western_diet_gut_anoxic_membership	glcn	R_EX_M_glcn_e_pool	False
western_diet_gut_anoxic_membership	gln_L	R_EX_M_gln_L_e_pool	True
western_diet_gut_anoxic_membership	glu_L	R_EX_M_glu_L_e_pool	True
western_diet_gut_anoxic_membership	gly	R_EX_M_gly_e_pool	True
western_diet_gut_anoxic_membership	glyasp	R_EX_M_glyasp_e_pool	True
western_diet_gut_anoxic_membership	glyc	R_EX_M_glyc_e_pool	True
western_diet_gut_anoxic_membership	glyc3p	R_EX_M_glyc3p_e_pool	True
western_diet_gut_anoxic_membership	glyleu	R_EX_M_glyleu_e_pool	True
western_diet_gut_anoxic_membership	gsn	R_EX_M_gsn_e_pool	True
western_diet_gut_anoxic_membership	gthox	R_EX_M_gthox_e_pool	True
western_diet_gut_anoxic_membership	gthrd	R_EX_M_gthrd_e_pool	False
western_diet_gut_anoxic_membership	gua	R_EX_M_gua_e_pool	True
western_diet_gut_anoxic_membership	h	R_EX_M_h_e_pool	True
western_diet_gut_anoxic_membership	h2	R_EX_M_h2_e_pool	True
western_diet_gut_anoxic_membership	h2o	R_EX_M_h2o_e_pool	True
western_diet_gut_anoxic_membership	h2s	R_EX_M_h2s_e_pool	True
western_diet_gut_anoxic_membership	hdca	R_EX_M_hdca_e_pool	False
western_diet_gut_anoxic_membership	his_L	R_EX_M_his_L_e_pool	True
western_diet_gut_anoxic_membership	homogal	R_EX_M_homogal_e_pool	False
western_diet_gut_anoxic_membership	hxan	R_EX_M_hxan_e_pool	True
western_diet_gut_anoxic_membership	ile_L	R_EX_M_ile_L_e_pool	True
western_diet_gut_anoxic_membership	indole	R_EX_M_indole_e_pool	True
western_diet_gut_anoxic_membership	inulin	R_EX_M_inulin_e_pool	True
western_diet_gut_anoxic_membership	k	R_EX_M_k_e_pool	True
western_diet_gut_anoxic_membership	kestopt	R_EX_M_kestopt_e_pool	True
western_diet_gut_anoxic_membership	lanost	R_EX_M_lanost_e_pool	False
western_diet_gut_anoxic_membership	lcts	R_EX_M_lcts_e_pool	True
western_diet_gut_anoxic_membership	leu_L	R_EX_M_leu_L_e_pool	True
western_diet_gut_anoxic_membership	levan1000	R_EX_M_levan1000_e_pool	False
western_diet_gut_anoxic_membership	lichn	R_EX_M_lichn_e_pool	False
western_diet_gut_anoxic_membership	lmn30	R_EX_M_lmn30_e_pool	False
western_diet_gut_anoxic_membership	lys_L	R_EX_M_lys_L_e_pool	True
western_diet_gut_anoxic_membership	malt	R_EX_M_malt_e_pool	True
western_diet_gut_anoxic_membership	man	R_EX_M_man_e_pool	True
western_diet_gut_anoxic_membership	melib	R_EX_M_melib_e_pool	True
western_diet_gut_anoxic_membership	meoh	R_EX_M_meoh_e_pool	False
western_diet_gut_anoxic_membership	met_L	R_EX_M_met_L_e_pool	True
western_diet_gut_anoxic_membership	metsox_S_L	R_EX_M_metsox_S_L_e_pool	True
western_diet_gut_anoxic_membership	mg2	R_EX_M_mg2_e_pool	True
western_diet_gut_anoxic_membership	mn2	R_EX_M_mn2_e_pool	True
western_diet_gut_anoxic_membership	mnl	R_EX_M_mnl_e_pool	True
western_diet_gut_anoxic_membership	mobd	R_EX_M_mobd_e_pool	False
western_diet_gut_anoxic_membership	mqn7	R_EX_M_mqn7_e_pool	True
western_diet_gut_anoxic_membership	mqn8	R_EX_M_mqn8_e_pool	True
western_diet_gut_anoxic_membership	na1	R_EX_M_na1_e_pool	True
western_diet_gut_anoxic_membership	nac	R_EX_M_nac_e_pool	True
western_diet_gut_anoxic_membership	ncam	R_EX_M_ncam_e_pool	False
western_diet_gut_anoxic_membership	nmn	R_EX_M_nmn_e_pool	True
western_diet_gut_anoxic_membership	no2	R_EX_M_no2_e_pool	False
western_diet_gut_anoxic_membership	ocdca	R_EX_M_ocdca_e_pool	True
western_diet_gut_anoxic_membership	ocdcea	R_EX_M_ocdcea_e_pool	True
western_diet_gut_anoxic_membership	orn	R_EX_M_orn_e_pool	True
western_diet_gut_anoxic_membership	oxa	R_EX_M_oxa_e_pool	False
western_diet_gut_anoxic_membership	pect	R_EX_M_pect_e_pool	False
western_diet_gut_anoxic_membership	phe_L	R_EX_M_phe_L_e_pool	True
western_diet_gut_anoxic_membership	pheme	R_EX_M_pheme_e_pool	True
western_diet_gut_anoxic_membership	pi	R_EX_M_pi_e_pool	True
western_diet_gut_anoxic_membership	pime	R_EX_M_pime_e_pool	True
western_diet_gut_anoxic_membership	pnto_R	R_EX_M_pnto_R_e_pool	True
western_diet_gut_anoxic_membership	pro_L	R_EX_M_pro_L_e_pool	True
western_diet_gut_anoxic_membership	ptrc	R_EX_M_ptrc_e_pool	True
western_diet_gut_anoxic_membership	pullulan1200	R_EX_M_pullulan1200_e_pool	False
western_diet_gut_anoxic_membership	pydam	R_EX_M_pydam_e_pool	True
western_diet_gut_anoxic_membership	pydx	R_EX_M_pydx_e_pool	True
western_diet_gut_anoxic_membership	pydxn	R_EX_M_pydxn_e_pool	True
western_diet_gut_anoxic_membership	q8	R_EX_M_q8_e_pool	True
western_diet_gut_anoxic_membership	raffin	R_EX_M_raffin_e_pool	True
western_diet_gut_anoxic_membership	rhamnogalurI	R_EX_M_rhamnogalurI_e_pool	False
western_diet_gut_anoxic_membership	rhamnogalurII	R_EX_M_rhamnogalurII_e_pool	False
western_diet_gut_anoxic_membership	rib_D	R_EX_M_rib_D_e_pool	True
western_diet_gut_anoxic_membership	ribflv	R_EX_M_ribflv_e_pool	True
western_diet_gut_anoxic_membership	rmn	R_EX_M_rmn_e_pool	True
western_diet_gut_anoxic_membership	sbt_D	R_EX_M_sbt_D_e_pool	True
western_diet_gut_anoxic_membership	sel	R_EX_M_sel_e_pool	False
western_diet_gut_anoxic_membership	ser_L	R_EX_M_ser_L_e_pool	True
western_diet_gut_anoxic_membership	sheme	R_EX_M_sheme_e_pool	True
western_diet_gut_anoxic_membership	so4	R_EX_M_so4_e_pool	True
western_diet_gut_anoxic_membership	spmd	R_EX_M_spmd_e_pool	True
western_diet_gut_anoxic_membership	starch1200	R_EX_M_starch1200_e_pool	False
western_diet_gut_anoxic_membership	strch1	R_EX_M_strch1_e_pool	True
western_diet_gut_anoxic_membership	succ	R_EX_M_succ_e_pool	True
western_diet_gut_anoxic_membership	sucr	R_EX_M_sucr_e_pool	True
western_diet_gut_anoxic_membership	thm	R_EX_M_thm_e_pool	True
western_diet_gut_anoxic_membership	thr_L	R_EX_M_thr_L_e_pool	True
western_diet_gut_anoxic_membership	thymd	R_EX_M_thymd_e_pool	True
western_diet_gut_anoxic_membership	tre	R_EX_M_tre_e_pool	True
western_diet_gut_anoxic_membership	trp_L	R_EX_M_trp_L_e_pool	True
western_diet_gut_anoxic_membership	ttdca	R_EX_M_ttdca_e_pool	True
western_diet_gut_anoxic_membership	tyr_L	R_EX_M_tyr_L_e_pool	True
western_diet_gut_anoxic_membership	ura	R_EX_M_ura_e_pool	True
western_diet_gut_anoxic_membership	uri	R_EX_M_uri_e_pool	True
western_diet_gut_anoxic_membership	val_L	R_EX_M_val_L_e_pool	True
western_diet_gut_anoxic_membership	xan	R_EX_M_xan_e_pool	True
western_diet_gut_anoxic_membership	xyl_D	R_EX_M_xyl_D_e_pool	True
western_diet_gut_anoxic_membership	xylan	R_EX_M_xylan_e_pool	False
western_diet_gut_anoxic_membership	xyluglc	R_EX_M_xyluglc_e_pool	False
western_diet_gut_anoxic_membership	zn2	R_EX_M_zn2_e_pool	True
