genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
vamb__023.fna,5_1,0.0010000000000000009,average,fastANI,5
binette__014.fna,6_1,0.0010000000000000009,average,fastANI,6
metabat2-mock1__004.fna,6_1,0.0010000000000000009,average,fastANI,6
metabat2-multisample__018.fna,6_1,0.0010000000000000009,average,fastANI,6
semibin2__003.fna,6_1,0.0010000000000000009,average,fastANI,6
binette__025.fna,7_1,0.0010000000000000009,average,fastANI,7
metabat2-mock1__003.fna,7_1,0.0010000000000000009,average,fastANI,7
metabat2-multisample__027.fna,7_1,0.0010000000000000009,average,fastANI,7
semibin2__019.fna,7_1,0.0010000000000000009,average,fastANI,7
taxvamb__033.fna,7_1,0.0010000000000000009,average,fastANI,7
vamb__021.fna,7_1,0.0010000000000000009,average,fastANI,7
binette__019.fna,8_1,0.0010000000000000009,average,fastANI,8
semibin2__018.fna,8_1,0.0010000000000000009,average,fastANI,8
taxvamb__026.fna,8_1,0.0010000000000000009,average,fastANI,8
binette__015.fna,9_1,0.0010000000000000009,average,fastANI,9
metabat2-mock1__033.fna,9_1,0.0010000000000000009,average,fastANI,9
metabat2-multisample__005.fna,9_1,0.0010000000000000009,average,fastANI,9
semibin2__015.fna,9_1,0.0010000000000000009,average,fastANI,9
taxvamb__021.fna,9_1,0.0010000000000000009,average,fastANI,9
vamb__010.fna,9_1,0.0010000000000000009,average,fastANI,9
binette__023.fna,10_1,0.0010000000000000009,average,fastANI,10
metabat2-mock1__005.fna,10_1,0.0010000000000000009,average,fastANI,10
metabat2-multisample__033.fna,10_1,0.0010000000000000009,average,fastANI,10
semibin2__038.fna,10_1,0.0010000000000000009,average,fastANI,10
taxvamb__034.fna,10_1,0.0010000000000000009,average,fastANI,10
binette__004.fna,11_1,0.0010000000000000009,average,fastANI,11
metabat2-mock1__017.fna,11_1,0.0010000000000000009,average,fastANI,11
metabat2-multisample__023.fna,11_1,0.0010000000000000009,average,fastANI,11
semibin2__017.fna,11_1,0.0010000000000000009,average,fastANI,11
taxvamb__008.fna,11_1,0.0010000000000000009,average,fastANI,11
binette__009.fna,12_1,0.0010000000000000009,average,fastANI,12
metabat2-mock1__007.fna,12_1,0.0010000000000000009,average,fastANI,12
metabat2-multisample__013.fna,12_1,0.0010000000000000009,average,fastANI,12
semibin2__004.fna,12_1,0.0010000000000000009,average,fastANI,12
taxvamb__014.fna,12_1,0.0010000000000000009,average,fastANI,12
vamb__006.fna,12_1,0.0010000000000000009,average,fastANI,12
binette__018.fna,13_1,0.0010000000000000009,average,fastANI,13
semibin2__006.fna,13_1,0.0010000000000000009,average,fastANI,13
taxvamb__028.fna,13_1,0.0010000000000000009,average,fastANI,13
binette__003.fna,14_1,0.0010000000000000009,average,fastANI,14
metabat2-mock1__023.fna,14_1,0.0010000000000000009,average,fastANI,14
metabat2-multisample__025.fna,14_1,0.0010000000000000009,average,fastANI,14
semibin2__043.fna,14_1,0.0010000000000000009,average,fastANI,14
taxvamb__015.fna,14_1,0.0010000000000000009,average,fastANI,14
vamb__009.fna,14_1,0.0010000000000000009,average,fastANI,14
binette__017.fna,15_1,0.0010000000000000009,average,fastANI,15
metabat2-mock1__011.fna,15_1,0.0010000000000000009,average,fastANI,15
metabat2-multisample__034.fna,15_1,0.0010000000000000009,average,fastANI,15
semibin2__007.fna,15_1,0.0010000000000000009,average,fastANI,15
vamb__020.fna,15_1,0.0010000000000000009,average,fastANI,15
binette__001.fna,16_1,0.0010000000000000009,average,fastANI,16
metabat2-mock1__032.fna,16_1,0.0010000000000000009,average,fastANI,16
metabat2-multisample__006.fna,16_1,0.0010000000000000009,average,fastANI,16
semibin2__028.fna,16_1,0.0010000000000000009,average,fastANI,16
binette__002.fna,17_1,0.0010000000000000009,average,fastANI,17
metabat2-mock1__020.fna,17_1,0.0010000000000000009,average,fastANI,17
metabat2-multisample__026.fna,17_1,0.0010000000000000009,average,fastANI,17
semibin2__030.fna,17_1,0.0010000000000000009,average,fastANI,17
binette__013.fna,18_1,0.0010000000000000009,average,fastANI,18
metabat2-mock1__030.fna,18_1,0.0010000000000000009,average,fastANI,18
metabat2-multisample__030.fna,18_1,0.0010000000000000009,average,fastANI,18
semibin2__031.fna,18_1,0.0010000000000000009,average,fastANI,18
vamb__008.fna,18_1,0.0010000000000000009,average,fastANI,18
binette__005.fna,19_1,0.0010000000000000009,average,fastANI,19
metabat2-mock1__012.fna,19_1,0.0010000000000000009,average,fastANI,19
metabat2-multisample__017.fna,19_1,0.0010000000000000009,average,fastANI,19
semibin2__039.fna,19_1,0.0010000000000000009,average,fastANI,19
taxvamb__022.fna,19_1,0.0010000000000000009,average,fastANI,19
vamb__012.fna,19_1,0.0010000000000000009,average,fastANI,19
metabat2-mock1__006.fna,20_1,0.0010000000000000009,average,fastANI,20
metabat2-multisample__028.fna,20_1,0.0010000000000000009,average,fastANI,20
semibin2__020.fna,20_1,0.0010000000000000009,average,fastANI,20
taxvamb__013.fna,20_1,0.0010000000000000009,average,fastANI,20
vamb__005.fna,20_1,0.0010000000000000009,average,fastANI,20
binette__011.fna,21_1,0.0010000000000000009,average,fastANI,21
metabat2-mock1__018.fna,21_1,0.0010000000000000009,average,fastANI,21
metabat2-multisample__011.fna,21_1,0.0010000000000000009,average,fastANI,21
semibin2__035.fna,21_1,0.0010000000000000009,average,fastANI,21
taxvamb__011.fna,21_1,0.0010000000000000009,average,fastANI,21
vamb__004.fna,21_1,0.0010000000000000009,average,fastANI,21
binette__006.fna,22_1,0.0010000000000000009,average,fastANI,22
metabat2-mock1__027.fna,22_1,0.0010000000000000009,average,fastANI,22
metabat2-multisample__019.fna,22_1,0.0010000000000000009,average,fastANI,22
semibin2__041.fna,22_1,0.0010000000000000009,average,fastANI,22
taxvamb__025.fna,22_1,0.0010000000000000009,average,fastANI,22
vamb__001.fna,22_1,0.0010000000000000009,average,fastANI,22
binette__024.fna,23_1,0.0010000000000000009,average,fastANI,23
metabat2-mock1__024.fna,23_1,0.0010000000000000009,average,fastANI,23
metabat2-multisample__021.fna,23_1,0.0010000000000000009,average,fastANI,23
semibin2__012.fna,23_1,0.0010000000000000009,average,fastANI,23
binette__007.fna,24_1,0.0010000000000000009,average,fastANI,24
metabat2-mock1__028.fna,24_1,0.0010000000000000009,average,fastANI,24
metabat2-multisample__014.fna,24_1,0.0010000000000000009,average,fastANI,24
semibin2__014.fna,24_1,0.0010000000000000009,average,fastANI,24
taxvamb__027.fna,24_2,0.0010000000000000009,average,fastANI,24
