OriginalContigID	NormalizedContigID	LengthBp	Selected
k141_22266	megahit-co__c005532	29290	yes
k141_44623	megahit-co__c005537	43961	yes
k141_48560	megahit-co__c005539	192840	yes
k141_26337	megahit-co__c005594	125055	yes
k141_1237	megahit-co__c005659	33810	yes
k141_8294	megahit-co__c005662	126361	yes
k141_41337	megahit-co__c005682	20718	yes
k141_51852	megahit-co__c005690	73722	yes
k141_48586	megahit-co__c005728	21968	yes
k141_11989	megahit-co__c005735	21382	yes
k141_30190	megahit-co__c005790	25529	yes
k141_44654	megahit-co__c005794	29954	yes
k141_22307	megahit-co__c005823	45944	yes
k141_33884	megahit-co__c005889	23956	yes
k141_41363	megahit-co__c005895	32920	yes
k141_12034	megahit-co__c005948	23095	yes
k141_15541	megahit-co__c005959	71800	yes
k141_22323	megahit-co__c005979	33370	yes
k141_8357	megahit-co__c006029	64897	yes
k141_44714	megahit-co__c006095	29723	yes
k141_12050	megahit-co__c006111	53448	yes
k141_4649	megahit-co__c006115	56749	yes
k141_51873	megahit-co__c006138	142331	yes
k141_22353	megahit-co__c006156	54662	yes
k141_33948	megahit-co__c006165	46040	yes
k141_48689	megahit-co__c006169	50296	yes
k141_19177	megahit-co__c006174	174240	yes
k141_8414	megahit-co__c006179	20894	yes
k141_15620	megahit-co__c006189	22803	yes
k141_1398	megahit-co__c006195	69035	yes
k141_48695	megahit-co__c006243	20946	yes
k141_44725	megahit-co__c006325	76467	yes
k141_15625	megahit-co__c006337	44901	yes
k141_26521	megahit-co__c006375	66793	yes
k141_30375	megahit-co__c006388	21310	yes
k141_51945	megahit-co__c006430	39839	yes
k141_22422	megahit-co__c006440	31758	yes
k141_4702	megahit-co__c006446	62697	yes
k141_55716	megahit-co__c006458	112890	yes
k141_33992	megahit-co__c006470	39189	yes
k141_12114	megahit-co__c006523	87818	yes
k141_19200	megahit-co__c006537	97116	yes
k141_26550	megahit-co__c006575	55598	yes
k141_55746	megahit-co__c006619	20594	yes
k141_19217	megahit-co__c006638	23547	yes
k141_30392	megahit-co__c006676	92018	yes
k141_12151	megahit-co__c006721	26268	yes
k141_48779	megahit-co__c006727	67932	yes
k141_19229	megahit-co__c006853	56680	yes
k141_48800	megahit-co__c006879	38851	yes
k141_55779	megahit-co__c006880	32250	yes
k141_52048	megahit-co__c006901	43434	yes
k141_15759	megahit-co__c006925	45940	yes
k141_30463	megahit-co__c006937	23992	yes
k141_1521	megahit-co__c006957	133343	yes
k141_37908	megahit-co__c006972	26254	yes
k141_26591	megahit-co__c006998	86482	yes
k141_8671	megahit-co__c007031	46841	yes
k141_30476	megahit-co__c007074	59232	yes
k141_34119	megahit-co__c007089	101155	yes
k141_37930	megahit-co__c007109	46222	yes
k141_55803	megahit-co__c007121	72300	yes
k141_4872	megahit-co__c007128	74532	yes
k141_12246	megahit-co__c007158	21424	yes
k141_52122	megahit-co__c007163	30843	yes
k141_22559	megahit-co__c007181	125902	yes
k141_19343	megahit-co__c007189	20312	yes
k141_48847	megahit-co__c007199	64494	yes
k141_26639	megahit-co__c007214	22972	yes
k141_45018	megahit-co__c007298	21615	yes
k141_22567	megahit-co__c007302	34642	yes
k141_1574	megahit-co__c007306	93543	yes
k141_19365	megahit-co__c007307	20020	yes
k141_12280	megahit-co__c007313	21503	yes
k141_30590	megahit-co__c007399	22273	yes
k141_55853	megahit-co__c007406	28501	yes
k141_48887	megahit-co__c007447	34565	yes
k141_4887	megahit-co__c007473	109371	yes
k141_15871	megahit-co__c007571	88409	yes
k141_38044	megahit-co__c007593	46602	yes
k141_22628	megahit-co__c007636	35849	yes
k141_15875	megahit-co__c007713	36831	yes
k141_22640	megahit-co__c007758	29773	yes
k141_8876	megahit-co__c007786	33971	yes
k141_55900	megahit-co__c007810	41329	yes
k141_41396	megahit-co__c007850	708053	yes
k141_45116	megahit-co__c007851	41250	yes
k141_22645	megahit-co__c007878	38963	yes
k141_8888	megahit-co__c007885	25509	yes
k141_41402	megahit-co__c007919	22178	yes
k141_52250	megahit-co__c007930	52055	yes
k141_55915	megahit-co__c007990	52668	yes
k141_19540	megahit-co__c008019	45659	yes
k141_5044	megahit-co__c008045	20437	yes
k141_12454	megahit-co__c008058	24318	yes
k141_38106	megahit-co__c008086	123045	yes
k141_41443	megahit-co__c008098	27779	yes
k141_1728	megahit-co__c008111	78896	yes
k141_45155	megahit-co__c008128	67161	yes
k141_26889	megahit-co__c008135	21259	yes
k141_34457	megahit-co__c008144	31514	yes
k141_55940	megahit-co__c008155	27518	yes
k141_49121	megahit-co__c008209	24329	yes
k141_38121	megahit-co__c008252	46648	yes
k141_12477	megahit-co__c008281	27959	yes
k141_5060	megahit-co__c008309	56240	yes
k141_26936	megahit-co__c008327	27621	yes
k141_34491	megahit-co__c008342	24727	yes
k141_1760	megahit-co__c008358	37824	yes
k141_9008	megahit-co__c008372	41813	yes
k141_52355	megahit-co__c008380	27752	yes
k141_19622	megahit-co__c008418	65627	yes
k141_34509	megahit-co__c008439	21505	yes
k141_30952	megahit-co__c008447	38082	yes
k141_49171	megahit-co__c008456	44186	yes
k141_12488	megahit-co__c008480	49229	yes
k141_52361	megahit-co__c008484	34422	yes
k141_41521	megahit-co__c008521	50520	yes
k141_1773	megahit-co__c008551	55413	yes
k141_26984	megahit-co__c008588	50724	yes
k141_52364	megahit-co__c008593	27666	yes
k141_34545	megahit-co__c008628	23328	yes
k141_30990	megahit-co__c008648	22916	yes
k141_22863	megahit-co__c008664	36282	yes
k141_38218	megahit-co__c008681	32276	yes
k141_56021	megahit-co__c008723	58647	yes
k141_31001	megahit-co__c008770	30351	yes
k141_12516	megahit-co__c008814	57329	yes
k141_56029	megahit-co__c008889	43518	yes
k141_9063	megahit-co__c008914	114468	yes
k141_31023	megahit-co__c008915	25752	yes
k141_22919	megahit-co__c008987	20718	yes
k141_41649	megahit-co__c009023	21425	yes
k141_15880	megahit-co__c009087	443866	yes
k141_27128	megahit-co__c009118	21906	yes
k141_38315	megahit-co__c009160	49681	yes
k141_9106	megahit-co__c009162	24176	yes
k141_22964	megahit-co__c009229	20482	yes
k141_9112	megahit-co__c009237	21976	yes
k141_1971	megahit-co__c009290	20068	yes
k141_34688	megahit-co__c009293	28942	yes
k141_45374	megahit-co__c009297	46534	yes
k141_5254	megahit-co__c009355	127277	yes
k141_52455	megahit-co__c009387	79564	yes
k141_31077	megahit-co__c009412	70408	yes
k141_56149	megahit-co__c009543	24908	yes
k141_38405	megahit-co__c009576	48108	yes
k141_23022	megahit-co__c009612	34827	yes
k141_52501	megahit-co__c009620	21339	yes
k141_31116	megahit-co__c009633	35314	yes
k141_12661	megahit-co__c009687	71111	yes
k141_9195	megahit-co__c009745	79483	yes
k141_38453	megahit-co__c009758	29249	yes
k141_34814	megahit-co__c009776	26511	yes
k141_52544	megahit-co__c009800	28648	yes
k141_5321	megahit-co__c009804	81898	yes
k141_38456	megahit-co__c009821	24752	yes
k141_2092	megahit-co__c009830	21374	yes
k141_45469	megahit-co__c009855	70149	yes
k141_27349	megahit-co__c009868	25455	yes
k141_23055	megahit-co__c009914	57844	yes
k141_56247	megahit-co__c009930	27964	yes
k141_41875	megahit-co__c009936	30902	yes
k141_52564	megahit-co__c009966	42542	yes
k141_49629	megahit-co__c009969	27817	yes
k141_31184	megahit-co__c009970	55383	yes
k141_34821	megahit-co__c009973	70902	yes
k141_9260	megahit-co__c010040	54540	yes
k141_12680	megahit-co__c010082	110151	yes
k141_2138	megahit-co__c010104	33287	yes
k141_52569	megahit-co__c010178	28613	yes
k141_12691	megahit-co__c010230	26329	yes
k141_16157	megahit-co__c010262	22157	yes
k141_2173	megahit-co__c010294	29850	yes
k141_27429	megahit-co__c010300	22398	yes
k141_9303	megahit-co__c010307	27367	yes
k141_38587	megahit-co__c010329	61522	yes
k141_34883	megahit-co__c010350	49456	yes
k141_49665	megahit-co__c010402	99981	yes
k141_2175	megahit-co__c010424	48529	yes
k141_20108	megahit-co__c010434	59174	yes
k141_9335	megahit-co__c010435	22067	yes
k141_27464	megahit-co__c010444	25415	yes
k141_16170	megahit-co__c010447	56551	yes
k141_23194	megahit-co__c010474	21516	yes
k141_38614	megahit-co__c010484	21482	yes
k141_52613	megahit-co__c010489	52178	yes
k141_12747	megahit-co__c010558	60482	yes
k141_27481	megahit-co__c010574	30148	yes
k141_42083	megahit-co__c010577	26998	yes
k141_56331	megahit-co__c010584	131661	yes
k141_9380	megahit-co__c010622	26485	yes
k141_16176	megahit-co__c010699	77642	yes
k141_2179	megahit-co__c010713	96880	yes
k141_42102	megahit-co__c010719	23882	yes
k141_12756	megahit-co__c010746	40121	yes
k141_49724	megahit-co__c010759	70773	yes
k141_45707	megahit-co__c010770	25840	yes
k141_35036	megahit-co__c010817	20822	yes
k141_38696	megahit-co__c010827	36169	yes
k141_52675	megahit-co__c010832	47024	yes
k141_31431	megahit-co__c010892	33465	yes
k141_52677	megahit-co__c010903	21125	yes
k141_9467	megahit-co__c010917	20733	yes
k141_49752	megahit-co__c010944	32711	yes
k141_45746	megahit-co__c010947	20438	yes
k141_38720	megahit-co__c010969	23251	yes
k141_16231	megahit-co__c011007	27689	yes
k141_27558	megahit-co__c011029	85448	yes
k141_35097	megahit-co__c011049	36735	yes
k141_52724	megahit-co__c011094	46046	yes
k141_23333	megahit-co__c011097	72032	yes
k141_9490	megahit-co__c011111	65230	yes
k141_12839	megahit-co__c011132	44287	yes
k141_16288	megahit-co__c011144	22398	yes
k141_23338	megahit-co__c011187	38085	yes
k141_49775	megahit-co__c011199	98437	yes
k141_42241	megahit-co__c011207	55177	yes
k141_35122	megahit-co__c011221	56749	yes
k141_2230	megahit-co__c011240	163930	yes
k141_38729	megahit-co__c011261	134042	yes
k141_45838	megahit-co__c011354	38661	yes
k141_42258	megahit-co__c011361	47979	yes
k141_35146	megahit-co__c011381	31429	yes
k141_2287	megahit-co__c011419	25223	yes
k141_5860	megahit-co__c011432	61403	yes
k141_56591	megahit-co__c011482	26982	yes
k141_38734	megahit-co__c011495	90778	yes
k141_45886	megahit-co__c011541	20157	yes
k141_56605	megahit-co__c011572	21576	yes
k141_23405	megahit-co__c011595	62086	yes
k141_2323	megahit-co__c011650	58018	yes
k141_27649	megahit-co__c011675	179560	yes
k141_56617	megahit-co__c011706	26708	yes
k141_2340	megahit-co__c011877	30094	yes
k141_38835	megahit-co__c011908	20148	yes
k141_12991	megahit-co__c011925	59244	yes
k141_35274	megahit-co__c011981	72648	yes
k141_31432	megahit-co__c011990	432090	yes
k141_2354	megahit-co__c011998	28130	yes
k141_20140	megahit-co__c012004	509735	yes
k141_56676	megahit-co__c012068	22622	yes
k141_42448	megahit-co__c012078	52251	yes
k141_52955	megahit-co__c012093	53615	yes
k141_23514	megahit-co__c012132	25658	yes
k141_27774	megahit-co__c012147	44420	yes
k141_38900	megahit-co__c012159	20037	yes
k141_31460	megahit-co__c012180	30940	yes
k141_6022	megahit-co__c012192	77660	yes
k141_2385	megahit-co__c012208	23786	yes
k141_23521	megahit-co__c012228	23562	yes
k141_42473	megahit-co__c012230	30524	yes
k141_13012	megahit-co__c012257	86608	yes
k141_50085	megahit-co__c012293	22623	yes
k141_31466	megahit-co__c012319	38938	yes
k141_6048	megahit-co__c012339	21929	yes
k141_53003	megahit-co__c012368	28861	yes
k141_35319	megahit-co__c012373	65351	yes
k141_6061	megahit-co__c012442	29723	yes
k141_42489	megahit-co__c012459	67277	yes
k141_27838	megahit-co__c012469	56071	yes
k141_46108	megahit-co__c012487	56968	yes
k141_2431	megahit-co__c012488	61318	yes
k141_6068	megahit-co__c012510	30507	yes
k141_9954	megahit-co__c012516	41861	yes
k141_46127	megahit-co__c012577	26615	yes
k141_27869	megahit-co__c012585	28740	yes
k141_16648	megahit-co__c012614	91501	yes
k141_9974	megahit-co__c012629	24991	yes
k141_6108	megahit-co__c012658	21266	yes
k141_53060	megahit-co__c012668	71941	yes
k141_35440	megahit-co__c012674	21693	yes
k141_2482	megahit-co__c012688	24387	yes
k141_20350	megahit-co__c012756	25229	yes
k141_23699	megahit-co__c012773	21476	yes
k141_2502	megahit-co__c012799	25797	yes
k141_50134	megahit-co__c012805	153844	yes
k141_46163	megahit-co__c012811	47134	yes
k141_35473	megahit-co__c012823	20566	yes
k141_31494	megahit-co__c012835	182134	yes
k141_20356	megahit-co__c012837	33004	yes
k141_27877	megahit-co__c012847	103425	yes
k141_13204	megahit-co__c012861	45522	yes
k141_56778	megahit-co__c012870	174737	yes
k141_6153	megahit-co__c012906	45136	yes
k141_23700	megahit-co__c012934	61208	yes
k141_35500	megahit-co__c012955	27543	yes
k141_46168	megahit-co__c012973	56733	yes
k141_13218	megahit-co__c013046	53440	yes
k141_46183	megahit-co__c013086	24633	yes
k141_10107	megahit-co__c013097	50634	yes
k141_42662	megahit-co__c013115	93403	yes
k141_27977	megahit-co__c013131	20680	yes
k141_2594	megahit-co__c013150	46623	yes
k141_53166	megahit-co__c013158	48294	yes
k141_38992	megahit-co__c013183	307522	yes
k141_50188	megahit-co__c013189	103750	yes
k141_6235	megahit-co__c013192	20793	yes
k141_56854	megahit-co__c013204	26947	yes
k141_23774	megahit-co__c013225	21488	yes
k141_42713	megahit-co__c013278	21680	yes
k141_28037	megahit-co__c013338	25355	yes
k141_20372	megahit-co__c013344	154393	yes
k141_13267	megahit-co__c013370	51645	yes
k141_10148	megahit-co__c013392	42609	yes
k141_2649	megahit-co__c013395	21861	yes
k141_6297	megahit-co__c013455	29969	yes
k141_42750	megahit-co__c013470	22208	yes
k141_13268	megahit-co__c013534	40290	yes
k141_56881	megahit-co__c013697	111616	yes
k141_39106	megahit-co__c013720	69377	yes
k141_28145	megahit-co__c013790	23734	yes
k141_10255	megahit-co__c013804	23726	yes
k141_46368	megahit-co__c013809	38632	yes
k141_17027	megahit-co__c013851	31699	yes
k141_56918	megahit-co__c013875	20895	yes
k141_17028	megahit-co__c013919	22199	yes
k141_39143	megahit-co__c013950	41885	yes
k141_53409	megahit-co__c014041	20430	yes
k141_57008	megahit-co__c014186	20139	yes
k141_42954	megahit-co__c014213	33410	yes
k141_6357	megahit-co__c014223	173122	yes
k141_2835	megahit-co__c014296	86083	yes
k141_20443	megahit-co__c014298	196262	yes
k141_6369	megahit-co__c014317	21358	yes
k141_13458	megahit-co__c014351	32560	yes
k141_24060	megahit-co__c014356	37072	yes
k141_50442	megahit-co__c014430	118693	yes
k141_46461	megahit-co__c014433	106814	yes
k141_2873	megahit-co__c014524	44955	yes
k141_57063	megahit-co__c014545	23091	yes
k141_53511	megahit-co__c014553	32085	yes
k141_13467	megahit-co__c014610	64340	yes
k141_43066	megahit-co__c014728	38909	yes
k141_10473	megahit-co__c014764	32430	yes
k141_50516	megahit-co__c014777	37716	yes
k141_2938	megahit-co__c014827	34240	yes
k141_20550	megahit-co__c014862	51159	yes
k141_10487	megahit-co__c014906	33915	yes
k141_50523	megahit-co__c014973	63540	yes
k141_28496	megahit-co__c014979	44590	yes
k141_57152	megahit-co__c014988	27335	yes
k141_46598	megahit-co__c015002	23194	yes
k141_13575	megahit-co__c015043	43573	yes
k141_31587	megahit-co__c015054	672984	yes
k141_43140	megahit-co__c015058	63528	yes
k141_3018	megahit-co__c015106	32123	yes
k141_24255	megahit-co__c015154	61410	yes
k141_13579	megahit-co__c015174	20607	yes
k141_10568	megahit-co__c015189	27284	yes
k141_43151	megahit-co__c015195	37803	yes
k141_24270	megahit-co__c015253	25951	yes
k141_10582	megahit-co__c015282	26698	yes
k141_17272	megahit-co__c015302	181610	yes
k141_39540	megahit-co__c015308	21414	yes
k141_3047	megahit-co__c015317	53212	yes
k141_53745	megahit-co__c015340	21603	yes
k141_31608	megahit-co__c015348	75303	yes
k141_57196	megahit-co__c015358	70798	yes
k141_50641	megahit-co__c015363	25295	yes
k141_39554	megahit-co__c015466	34951	yes
k141_46661	megahit-co__c015509	97124	yes
k141_20718	megahit-co__c015534	68288	yes
k141_17329	megahit-co__c015541	23683	yes
k141_6773	megahit-co__c015563	26329	yes
k141_3133	megahit-co__c015720	26398	yes
k141_57241	megahit-co__c015740	54280	yes
k141_43263	megahit-co__c015741	23593	yes
k141_46679	megahit-co__c015764	56647	yes
k141_31727	megahit-co__c015858	49520	yes
k141_53805	megahit-co__c015898	103495	yes
k141_3163	megahit-co__c015933	39791	yes
k141_28789	megahit-co__c015984	20466	yes
k141_31736	megahit-co__c015993	23167	yes
k141_57273	megahit-co__c016017	34299	yes
k141_10768	megahit-co__c016018	29150	yes
k141_46712	megahit-co__c016054	71499	yes
k141_43315	megahit-co__c016059	40653	yes
k141_3193	megahit-co__c016078	38316	yes
k141_31746	megahit-co__c016081	42954	yes
k141_24531	megahit-co__c016104	25131	yes
k141_31750	megahit-co__c016143	26712	yes
k141_17458	megahit-co__c016167	102463	yes
k141_6940	megahit-co__c016182	67435	yes
k141_43363	megahit-co__c016201	20637	yes
k141_57292	megahit-co__c016237	66905	yes
k141_46752	megahit-co__c016259	42181	yes
k141_10799	megahit-co__c016267	100061	yes
k141_43368	megahit-co__c016280	37852	yes
k141_31794	megahit-co__c016293	31896	yes
k141_24594	megahit-co__c016368	26648	yes
k141_17485	megahit-co__c016371	61912	yes
k141_20966	megahit-co__c016414	41235	yes
k141_10811	megahit-co__c016416	55545	yes
k141_7012	megahit-co__c016419	35079	yes
k141_28921	megahit-co__c016506	96108	yes
k141_3299	megahit-co__c016540	76808	yes
k141_43471	megahit-co__c016630	25250	yes
k141_46787	megahit-co__c016635	112552	yes
k141_24642	megahit-co__c016703	69186	yes
k141_14113	megahit-co__c016781	23825	yes
k141_46832	megahit-co__c016815	24288	yes
k141_17682	megahit-co__c016840	22844	yes
k141_7177	megahit-co__c016852	43199	yes
k141_29036	megahit-co__c016866	58690	yes
k141_57532	megahit-co__c016868	38536	yes
k141_3385	megahit-co__c016931	23786	yes
k141_17719	megahit-co__c017004	63253	yes
k141_31912	megahit-co__c017012	224039	yes
k141_57556	megahit-co__c017019	28736	yes
k141_21196	megahit-co__c017075	41178	yes
k141_53907	megahit-co__c017077	399026	yes
k141_46936	megahit-co__c017081	20504	yes
k141_31935	megahit-co__c017093	30422	yes
k141_3444	megahit-co__c017102	29962	yes
k141_21198	megahit-co__c017138	30793	yes
k141_3451	megahit-co__c017171	29679	yes
k141_35969	megahit-co__c017180	1064594	yes
k141_53921	megahit-co__c017183	40478	yes
