FragmentID	GenomeStart1	GenomeEnd1	LengthBp
salinispora-fragment-0058	1140001	1160000	20000
salinispora-fragment-0059	1160001	1180000	20000
salinispora-fragment-0060	1180001	1200000	20000
salinispora-fragment-0061	1200001	1220000	20000
salinispora-fragment-0062	1220001	1240000	20000
salinispora-fragment-0063	1240001	1260000	20000
salinispora-fragment-0064	1260001	1280000	20000
salinispora-fragment-0065	1280001	1300000	20000
salinispora-fragment-0066	1300001	1320000	20000
salinispora-fragment-0067	1320001	1340000	20000
salinispora-fragment-0068	1340001	1360000	20000
salinispora-fragment-0069	1360001	1380000	20000
salinispora-fragment-0070	1380001	1400000	20000
salinispora-fragment-0071	1400001	1420000	20000
salinispora-fragment-0072	1420001	1440000	20000
salinispora-fragment-0073	1440001	1460000	20000
salinispora-fragment-0074	1460001	1480000	20000
salinispora-fragment-0075	1480001	1500000	20000
salinispora-fragment-0076	1500001	1520000	20000
salinispora-fragment-0077	1520001	1540000	20000
salinispora-fragment-0078	1540001	1560000	20000
salinispora-fragment-0079	1560001	1580000	20000
salinispora-fragment-0080	1580001	1600000	20000
salinispora-fragment-0081	1600001	1620000	20000
salinispora-fragment-0082	1620001	1640000	20000
salinispora-fragment-0083	1640001	1660000	20000
salinispora-fragment-0084	1660001	1680000	20000
salinispora-fragment-0085	1680001	1700000	20000
salinispora-fragment-0086	1700001	1720000	20000
salinispora-fragment-0087	1720001	1740000	20000
salinispora-fragment-0088	1740001	1760000	20000
salinispora-fragment-0089	1760001	1780000	20000
salinispora-fragment-0090	1780001	1800000	20000
salinispora-fragment-0091	1800001	1820000	20000
salinispora-fragment-0092	1820001	1840000	20000
salinispora-fragment-0093	1840001	1860000	20000
salinispora-fragment-0094	1860001	1880000	20000
salinispora-fragment-0095	1880001	1900000	20000
salinispora-fragment-0096	1900001	1920000	20000
salinispora-fragment-0097	1920001	1940000	20000
salinispora-fragment-0098	1940001	1960000	20000
salinispora-fragment-0099	1960001	1980000	20000
salinispora-fragment-0100	1980001	2000000	20000
salinispora-fragment-0101	2000001	2020000	20000
salinispora-fragment-0102	2020001	2040000	20000
salinispora-fragment-0103	2040001	2060000	20000
salinispora-fragment-0104	2060001	2080000	20000
salinispora-fragment-0105	2080001	2100000	20000
salinispora-fragment-0106	2100001	2120000	20000
salinispora-fragment-0107	2120001	2140000	20000
salinispora-fragment-0108	2140001	2160000	20000
salinispora-fragment-0109	2160001	2180000	20000
salinispora-fragment-0110	2180001	2200000	20000
salinispora-fragment-0111	2200001	2220000	20000
salinispora-fragment-0112	2220001	2240000	20000
salinispora-fragment-0113	2240001	2260000	20000
salinispora-fragment-0114	2260001	2280000	20000
salinispora-fragment-0115	2280001	2300000	20000
salinispora-fragment-0116	2300001	2320000	20000
salinispora-fragment-0117	2320001	2340000	20000
salinispora-fragment-0118	2340001	2360000	20000
salinispora-fragment-0119	2360001	2380000	20000
salinispora-fragment-0120	2380001	2400000	20000
salinispora-fragment-0121	2400001	2420000	20000
salinispora-fragment-0122	2420001	2440000	20000
salinispora-fragment-0123	2440001	2460000	20000
salinispora-fragment-0124	2460001	2480000	20000
salinispora-fragment-0125	2480001	2500000	20000
salinispora-fragment-0126	2500001	2520000	20000
salinispora-fragment-0127	2520001	2540000	20000
salinispora-fragment-0128	2540001	2560000	20000
salinispora-fragment-0129	2560001	2580000	20000
salinispora-fragment-0130	2580001	2600000	20000
salinispora-fragment-0131	2600001	2620000	20000
salinispora-fragment-0132	2620001	2640000	20000
salinispora-fragment-0133	2640001	2660000	20000
salinispora-fragment-0134	2660001	2680000	20000
salinispora-fragment-0135	2680001	2700000	20000
salinispora-fragment-0136	2700001	2720000	20000
salinispora-fragment-0137	2720001	2740000	20000
salinispora-fragment-0138	2740001	2760000	20000
salinispora-fragment-0139	2760001	2780000	20000
salinispora-fragment-0140	2780001	2800000	20000
salinispora-fragment-0141	2800001	2820000	20000
salinispora-fragment-0142	2820001	2840000	20000
salinispora-fragment-0143	2840001	2860000	20000
salinispora-fragment-0144	2860001	2880000	20000
salinispora-fragment-0145	2880001	2900000	20000
salinispora-fragment-0146	2900001	2920000	20000
salinispora-fragment-0147	2920001	2940000	20000
salinispora-fragment-0148	2940001	2960000	20000
salinispora-fragment-0149	2960001	2980000	20000
salinispora-fragment-0150	2980001	3000000	20000
salinispora-fragment-0151	3000001	3020000	20000
salinispora-fragment-0152	3020001	3040000	20000
salinispora-fragment-0153	3040001	3060000	20000
salinispora-fragment-0154	3060001	3080000	20000
salinispora-fragment-0155	3080001	3100000	20000
salinispora-fragment-0156	3100001	3120000	20000
salinispora-fragment-0157	3120001	3140000	20000
salinispora-fragment-0158	3140001	3160000	20000
salinispora-fragment-0159	3160001	3180000	20000
salinispora-fragment-0160	3180001	3200000	20000
salinispora-fragment-0161	3200001	3220000	20000
salinispora-fragment-0162	3220001	3240000	20000
salinispora-fragment-0163	3240001	3260000	20000
salinispora-fragment-0164	3260001	3280000	20000
salinispora-fragment-0165	3280001	3300000	20000
salinispora-fragment-0166	3300001	3320000	20000
salinispora-fragment-0167	3320001	3340000	20000
salinispora-fragment-0168	3340001	3360000	20000
salinispora-fragment-0169	3360001	3380000	20000
salinispora-fragment-0170	3380001	3400000	20000
salinispora-fragment-0171	3400001	3420000	20000
salinispora-fragment-0172	3420001	3440000	20000
salinispora-fragment-0173	3440001	3460000	20000
salinispora-fragment-0174	3460001	3480000	20000
salinispora-fragment-0175	3480001	3500000	20000
salinispora-fragment-0176	3500001	3520000	20000
salinispora-fragment-0177	3520001	3540000	20000
salinispora-fragment-0178	3540001	3560000	20000
salinispora-fragment-0179	3560001	3580000	20000
salinispora-fragment-0180	3580001	3600000	20000
salinispora-fragment-0181	3600001	3620000	20000
salinispora-fragment-0182	3620001	3640000	20000
salinispora-fragment-0183	3640001	3660000	20000
salinispora-fragment-0184	3660001	3680000	20000
salinispora-fragment-0185	3680001	3700000	20000
salinispora-fragment-0186	3700001	3720000	20000
salinispora-fragment-0187	3720001	3740000	20000
salinispora-fragment-0188	3740001	3760000	20000
salinispora-fragment-0189	3760001	3780000	20000
salinispora-fragment-0190	3780001	3800000	20000
salinispora-fragment-0191	3800001	3820000	20000
salinispora-fragment-0192	3820001	3840000	20000
salinispora-fragment-0193	3840001	3860000	20000
salinispora-fragment-0194	3860001	3880000	20000
salinispora-fragment-0195	3880001	3900000	20000
salinispora-fragment-0196	3900001	3920000	20000
salinispora-fragment-0197	3920001	3940000	20000
salinispora-fragment-0198	3940001	3960000	20000
salinispora-fragment-0199	3960001	3980000	20000
salinispora-fragment-0200	3980001	4000000	20000
salinispora-fragment-0201	4000001	4020000	20000
salinispora-fragment-0202	4020001	4040000	20000
salinispora-fragment-0203	4040001	4060000	20000
salinispora-fragment-0204	4060001	4080000	20000
salinispora-fragment-0205	4080001	4100000	20000
salinispora-fragment-0206	4100001	4120000	20000
salinispora-fragment-0207	4120001	4140000	20000
salinispora-fragment-0208	4140001	4160000	20000
salinispora-fragment-0209	4160001	4180000	20000
salinispora-fragment-0210	4180001	4200000	20000
salinispora-fragment-0211	4200001	4220000	20000
salinispora-fragment-0212	4220001	4240000	20000
salinispora-fragment-0213	4240001	4260000	20000
salinispora-fragment-0214	4260001	4280000	20000
salinispora-fragment-0215	4280001	4300000	20000
salinispora-fragment-0216	4300001	4320000	20000
salinispora-fragment-0217	4320001	4340000	20000
salinispora-fragment-0218	4340001	4360000	20000
salinispora-fragment-0219	4360001	4380000	20000
salinispora-fragment-0220	4380001	4400000	20000
salinispora-fragment-0221	4400001	4420000	20000
salinispora-fragment-0222	4420001	4440000	20000
salinispora-fragment-0223	4440001	4460000	20000
salinispora-fragment-0224	4460001	4480000	20000
salinispora-fragment-0225	4480001	4500000	20000
salinispora-fragment-0226	4500001	4520000	20000
salinispora-fragment-0227	4520001	4540000	20000
salinispora-fragment-0228	4540001	4560000	20000
salinispora-fragment-0229	4560001	4580000	20000
salinispora-fragment-0230	4580001	4600000	20000
salinispora-fragment-0231	4600001	4620000	20000
salinispora-fragment-0232	4620001	4640000	20000
salinispora-fragment-0233	4640001	4660000	20000
salinispora-fragment-0234	4660001	4680000	20000
salinispora-fragment-0235	4680001	4700000	20000
salinispora-fragment-0236	4700001	4720000	20000
salinispora-fragment-0237	4720001	4740000	20000
salinispora-fragment-0238	4740001	4760000	20000
salinispora-fragment-0239	4760001	4780000	20000
salinispora-fragment-0240	4780001	4800000	20000
salinispora-fragment-0241	4800001	4820000	20000
salinispora-fragment-0242	4820001	4840000	20000
salinispora-fragment-0243	4840001	4860000	20000
salinispora-fragment-0244	4860001	4880000	20000
salinispora-fragment-0245	4880001	4900000	20000
salinispora-fragment-0246	4900001	4920000	20000
salinispora-fragment-0247	4920001	4940000	20000
salinispora-fragment-0248	4940001	4960000	20000
salinispora-fragment-0249	4960001	4980000	20000
salinispora-fragment-0250	4980001	5000000	20000
salinispora-fragment-0251	5000001	5020000	20000
salinispora-fragment-0252	5020001	5040000	20000
salinispora-fragment-0253	5040001	5060000	20000
salinispora-fragment-0254	5060001	5080000	20000
salinispora-fragment-0255	5080001	5100000	20000
salinispora-fragment-0256	5100001	5120000	20000
salinispora-fragment-0257	5120001	5140000	20000
salinispora-fragment-0258	5140001	5160000	20000
salinispora-fragment-0259	5160001	5180000	20000
salinispora-fragment-0260	5180001	5183331	3331
