Method	Spring	Axis1	Axis2	Axis1VarianceTotal	Axis2VarianceTotal	Axis1VarianceWithinConstrained	Axis2VarianceWithinConstrained	NegativeEigenvaluesRaw	NegativeEigenvalueMassRaw	Correction	BroadRegion	TemperatureRegime	MedianTemperatureC	MedianPH
PCoA (Lingoes policy)	LS02	-0.327443468004135	0.111924649456247	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	ALK	80–100	82.3	6.8
PCoA (Lingoes policy)	LT01	0.332468290804387	0.137614878148838	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	SIE	30–<50	42.7	6.77
PCoA (Lingoes policy)	LT12	0.257699958052554	-0.0677819387278413	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	SIE	30–<50	44.2	6.77
PCoA (Lingoes policy)	LT16	0.245533537406222	-0.136139787933951	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	SIE	30–<50	38.575	6.765
PCoA (Lingoes policy)	LU02	0.0483295821137744	-0.0623597514894496	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	59	7.32
PCoA (Lingoes policy)	LU04	0.00303671152462785	-0.0547318635744732	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	GBD	50–<70	61.4	7.02
PCoA (Lingoes policy)	LV02	0.105364775517603	-0.138332036309193	0.195750457041026	0.104579424217726			0	0	Lingoes requested; not needed	SIE	30–<50	46.95	6.77
Partial CAP/dbRDA	AA01	-0.0138294804981136	0.251949229209679	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	51.7	8.23
Partial CAP/dbRDA	AA03	-0.137028103176035	0.125889092659099	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	58.65	8.49
Partial CAP/dbRDA	AB02	-0.124112064495531	-0.224888686142963	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	68.5	6.925
Partial CAP/dbRDA	AB03	-0.0316917560859329	0.0394795286177609	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	56.05	7.445
Partial CAP/dbRDA	AB04	-0.0967727418274163	-0.290478279302266	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	70–<80	70.6	6.939074074
Partial CAP/dbRDA	AB07	-0.133482683391726	0.00477698925746469	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	52.5	7.22
Partial CAP/dbRDA	AB08	-0.192707875969392	-0.0495140126507416	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	53.15	7.822222222
Partial CAP/dbRDA	AB09	-0.141351031879464	0.0469198691673181	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	30–<50	44.2	7.73
Partial CAP/dbRDA	AB11	-0.192629728956744	-0.15887414699305	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	70–<80	71.15	7.07
Partial CAP/dbRDA	AB20	0.743044855346926	0.0135064987071048	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	Below 30	26.5	5.962037037
Partial CAP/dbRDA	AB22	0.0152660019602629	0.218669420073565	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	30–<50	46	7.515
Partial CAP/dbRDA	AB31	-0.192974757602149	-0.185231999248732	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	70–<80	73.5	6.85
Partial CAP/dbRDA	AB32	-0.160134650295056	-0.226226673726484	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	50–<70	68.25	6.915
Partial CAP/dbRDA	AB35	0.65840401687037	0.434023170372245	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALV	30–<50	35.4	6.76
Partial CAP/dbRDA	AM01	0.068283964428308	0.101014383162777	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	BLR	30–<50	49.9	8.52
Partial CAP/dbRDA	AM02	-0.139843309934764	-0.0429153385132229	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	BLR	50–<70	55.4	8.5
Partial CAP/dbRDA	AR01	-0.233445026115474	-0.164919988398805	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	BLR	70–<80	74.6	7.751481481
Partial CAP/dbRDA	AR08	0.0132729470415183	-0.0131462227844192	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	BLR	Below 30	28.95	7.77
Partial CAP/dbRDA	AR10	0.203373505039824	0.107229368154498	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	BLR	30–<50	45.95	6.77
Partial CAP/dbRDA	AR11	0.0883579195405874	0.0127377983791714	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	BLR	30–<50	49.35	8.33
Partial CAP/dbRDA	AW01	-0.0445401628603055	0.119848715278235	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	53	6.67
Partial CAP/dbRDA	AW03	0.481425106929191	-0.0407930838388885	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	Below 30	28.8	7.13
Partial CAP/dbRDA	AY01	-0.0554078520622937	0.28827941623105	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	54.85	8.407711111
Partial CAP/dbRDA	AY02	-0.090454113821331	0.206236283571612	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	57.95	8.67
Partial CAP/dbRDA	AY03	-0.202718356572599	0.0852606071640644	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	69.8	9.2
Partial CAP/dbRDA	AY04	-0.0477993006463027	0.297044096004879	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	51.8	9.06
Partial CAP/dbRDA	AY05	-0.099196698175464	0.172304943218098	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	58.3	8.875177778
Partial CAP/dbRDA	AY06	-0.114879914590743	0.22021696201643	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	30–<50	40.55	9.08
Partial CAP/dbRDA	AY07	-0.279199876854858	-0.0426830737685883	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	63.75	7.54
Partial CAP/dbRDA	AY08	-0.209425373487387	0.0399430126431548	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	69.75	8.0432
Partial CAP/dbRDA	AY10	0.666547239287964	-0.719371533078963	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	80–100	88.8	3.14
Partial CAP/dbRDA	AY11	0.57979486704493	-0.425414064552639	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	51.5	3.63
Partial CAP/dbRDA	AY12	-0.147260620121916	-0.121816649449098	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	YEL	50–<70	67.55	7.085
Partial CAP/dbRDA	LB01	-0.219148011825156	-0.278200270940295	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	63.9	6.78
Partial CAP/dbRDA	LB02	0.0196994380036252	-0.038879132607874	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	56.3	7.13
Partial CAP/dbRDA	LB04	-0.230946963796235	-0.336390008025031	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	61.8	7.02
Partial CAP/dbRDA	LB07	-0.127116631752323	-0.202006363652983	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	52.7	6.78
Partial CAP/dbRDA	LC02	-0.174355123407588	-0.0118638579388012	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	56.8	7.94
Partial CAP/dbRDA	LC04	-0.287543954932668	-0.235160578307329	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	69	8.03
Partial CAP/dbRDA	LC05	-0.264789230491708	-0.0254781486191882	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	55.2	9.02
Partial CAP/dbRDA	LD01	-0.31695528783371	-0.112438777497694	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	67.35	8.195
Partial CAP/dbRDA	LE01	0.302288631264085	0.30034944266225	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	30–<50	47	7.07
Partial CAP/dbRDA	LH02	-0.142656055350248	-0.00839238424038883	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	54.9	7.415
Partial CAP/dbRDA	LH03	-0.211315649672291	-0.0922305719409215	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	62.2	6.53
Partial CAP/dbRDA	LP01	0.483151364755146	0.220589523055422	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	30–<50	41.3	7.03
Partial CAP/dbRDA	LP02	0.361488304910996	0.269230042155532	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	30–<50	45	7.03
Partial CAP/dbRDA	LP03	0.412866640964094	0.262350918080086	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	30–<50	42.65	6.94
Partial CAP/dbRDA	LR01	0.325986320760996	0.289633732485739	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	30–<50	43.6	7.03
Partial CAP/dbRDA	LS01	0.0312953481873659	0.00989999241526147	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALK	80–100	81.7	6.8
Partial CAP/dbRDA	LS02	-0.0312953481873657	-0.00989999241526135	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	ALK	80–100	82.3	6.8
Partial CAP/dbRDA	LT01	0.218627979117938	-0.059762494078171	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	SIE	30–<50	42.7	6.77
Partial CAP/dbRDA	LT12	0.00295905219853348	0.0217340713633129	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	SIE	30–<50	44.2	6.77
Partial CAP/dbRDA	LT16	-0.0129090996055292	0.0668758070285111	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	SIE	30–<50	38.575	6.765
Partial CAP/dbRDA	LU02	-0.168869140082329	-0.025484913480374	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	59	7.32
Partial CAP/dbRDA	LU04	-0.198669595583572	-0.0546842826274952	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	GBD	50–<70	61.4	7.02
Partial CAP/dbRDA	LV02	-0.208677931710942	-0.028847384313653	0.0991648461188826	0.0556806286559385	0.459457202421519	0.257983215550592	0	0	Lingoes policy in dbrda	SIE	30–<50	46.95	6.77
