Spring	BroadRegion	TemperatureRegime	Samples	EqualWeightSum	CatalogReadWeightSum	EqualRecalculationMaxAbsError	WeightedRecalculationMaxAbsError	MeanRecruitment
AY10	YEL	80–100	1	1	1	1.11022302462516e-16	1.11022302462516e-16	0.597195
AY11	YEL	50–<70	14	1	1	1.66533453693773e-16	3.88578058618805e-16	0.304982857142857
AY12	YEL	50–<70	2	1	1	4.33680868994202e-17	5.55111512312578e-17	0.1000525
LB01	GBD	50–<70	1	1	1	4.85722573273506e-17	4.85722573273506e-17	0.11444
LB02	GBD	50–<70	1	1	1	4.16333634234434e-17	4.16333634234434e-17	0.272255
LB04	GBD	50–<70	1	1	1	5.20417042793042e-17	5.20417042793042e-17	0.09597
LB07	GBD	50–<70	1	1	1	4.5102810375397e-17	4.5102810375397e-17	0.09446
LC02	GBD	50–<70	1	1	1	3.60822483003176e-16	3.60822483003176e-16	0.18536
LC04	GBD	50–<70	1	1	1	3.05311331771918e-16	3.05311331771918e-16	0.20073
LC05	GBD	50–<70	1	1	1	4.5102810375397e-17	4.5102810375397e-17	0.080205
LD01	GBD	50–<70	2	1	1	4.85722573273506e-17	4.85722573273506e-17	0.1577475
LE01	GBD	30–<50	3	0.999999999999999	1	5.20417042793042e-17	5.55111512312578e-17	0.139798333333333
LH02	GBD	50–<70	2	1	1	5.55111512312578e-17	4.16333634234434e-17	0.13826
LH03	GBD	50–<70	3	0.999999999999999	1	4.85722573273506e-17	4.16333634234434e-17	0.122125
LP01	GBD	30–<50	1	1	1	4.85722573273506e-17	4.85722573273506e-17	0.03778
LP02	GBD	30–<50	1	1	1	4.33680868994202e-17	4.33680868994202e-17	0.076765
LP03	GBD	30–<50	2	1	1	4.5102810375397e-17	5.20417042793042e-17	0.0811025
LR01	GBD	30–<50	3	0.999999999999999	0.999999999999999	5.55111512312578e-17	4.85722573273506e-17	0.151648333333333
LS01	ALK	80–100	3	0.999999999999999	0.999999999999999	2.77555756156289e-16	5.55111512312578e-17	0.119983333333333
LS02	ALK	80–100	3	0.999999999999999	1	4.68375338513738e-17	4.5102810375397e-17	0.103625
LT01	SIE	30–<50	3	0.999999999999999	1	4.85722573273506e-17	5.20417042793042e-17	0.524945
LT12	SIE	30–<50	3	0.999999999999999	0.999999999999999	4.5102810375397e-17	4.85722573273506e-17	0.142993333333333
LT16	SIE	30–<50	4	1	1	4.85722573273506e-17	4.85722573273506e-17	0.18825375
LU02	GBD	50–<70	2	1	1	4.5102810375397e-17	4.16333634234434e-17	0.122725
LU04	GBD	50–<70	3	0.999999999999999	1	4.85722573273506e-17	3.98986399474666e-17	0.142588333333333
LV02	SIE	30–<50	4	1	1	4.85722573273506e-17	4.5102810375397e-17	0.15106125
