Sample1	Sample2	Study1	Study2	Country1	Country2	PairStratum	JaccardDistance
CCMD34381688ST-21-0	T2D-063	ZellerG_2014	QinJ_2012	DEU	CHN	Different country	0.43181818
CCMD34381688ST-21-0	T2D-105	ZellerG_2014	QinJ_2012	DEU	CHN	Different country	0.43192133
CCMD34381688ST-21-0	YSZC12003_36795	ZellerG_2014	XieH_2016	DEU	GBR	Different country	0.43279874
G78505	G88884	VatanenT_2016	SchirmerM_2016	RUS	NLD	Different country	0.46040516
G78505	G88970	VatanenT_2016	SchirmerM_2016	RUS	NLD	Different country	0.3687789
G78505	G89027	VatanenT_2016	SchirmerM_2016	RUS	NLD	Different country	0.30843869
G78505	H2M514903	VatanenT_2016	LiJ_2017	RUS	CHN	Different country	0.38555241
G78505	H3M518116	VatanenT_2016	LiJ_2017	RUS	CHN	Different country	0.39291465
G78505	HD-1	VatanenT_2016	QinN_2014	RUS	CHN	Different country	0.38839849
G78505	HD-5	VatanenT_2016	QinN_2014	RUS	CHN	Different country	0.38626609
G78505	HV-6	VatanenT_2016	QinN_2014	RUS	CHN	Different country	0.39433609
G78505	LD-48	VatanenT_2016	QinN_2014	RUS	CHN	Different country	0.41783798
G78505	M1.48.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	0.31492718
G78505	M2.48.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	0.3923881
G78505	M2.58.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	0.30856461
G78505	N021	VatanenT_2016	WenC_2017	RUS	CHN	Different country	0.42893082
G78505	S353	VatanenT_2016	KarlssonFH_2013	RUS	SWE	Different country	0.46198217
G78505	SID530054	VatanenT_2016	FengQ_2015	RUS	AUT	Different country	0.48675
G78505	SZAXPI003417-4	VatanenT_2016	YuJ_2015	RUS	CHN	Different country	0.44769268
G78505	T2D-025	VatanenT_2016	QinJ_2012	RUS	CHN	Different country	0.42676448
G78505	T2D-063	VatanenT_2016	QinJ_2012	RUS	CHN	Different country	0.35420394
G78505	T2D-105	VatanenT_2016	QinJ_2012	RUS	CHN	Different country	0.35973692
G78505	YSZC12003_36795	VatanenT_2016	XieH_2016	RUS	GBR	Different country	0.50336193
G88884	G88970	SchirmerM_2016	SchirmerM_2016	NLD	NLD	Same study	0.43748434
G88884	G89027	SchirmerM_2016	SchirmerM_2016	NLD	NLD	Same study	0.45113754
G88884	H2M514903	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	0.46826625
G88884	H3M518116	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	0.45776567
G88884	HD-1	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.44486157
G88884	HD-5	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.4656526
G88884	HV-6	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.47869491
G88884	LD-48	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.46489971
G88884	M1.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.49870399
G88884	M2.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.51946819
G88884	M2.58.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.47074055
G88884	N021	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	0.47923997
G88884	S353	SchirmerM_2016	KarlssonFH_2013	NLD	SWE	Different country	0.32583653
G88884	SID530054	SchirmerM_2016	FengQ_2015	NLD	AUT	Different country	0.39351379
G88884	SZAXPI003417-4	SchirmerM_2016	YuJ_2015	NLD	CHN	Different country	0.5117266
G88884	T2D-025	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.47099219
G88884	T2D-063	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.49856584
G88884	T2D-105	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.49217567
G88884	YSZC12003_36795	SchirmerM_2016	XieH_2016	NLD	GBR	Different country	0.36795903
G88970	G89027	SchirmerM_2016	SchirmerM_2016	NLD	NLD	Same study	0.35336732
G88970	H2M514903	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	0.40592243
G88970	H3M518116	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	0.42081784
G88970	HD-1	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.38944365
G88970	HD-5	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.3979975
G88970	HV-6	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.41182315
G88970	LD-48	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.42212623
G88970	M1.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.38860244
G88970	M2.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.4479572
G88970	M2.58.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.38999734
G88970	N021	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	0.39646831
G88970	S353	SchirmerM_2016	KarlssonFH_2013	NLD	SWE	Different country	0.43671836
G88970	SID530054	SchirmerM_2016	FengQ_2015	NLD	AUT	Different country	0.43534273
G88970	SZAXPI003417-4	SchirmerM_2016	YuJ_2015	NLD	CHN	Different country	0.45320309
G88970	T2D-025	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.40853218
G88970	T2D-063	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.42307692
G88970	T2D-105	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.42430484
G88970	YSZC12003_36795	SchirmerM_2016	XieH_2016	NLD	GBR	Different country	0.45061169
G89027	H2M514903	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	0.37923376
G89027	H3M518116	SchirmerM_2016	LiJ_2017	NLD	CHN	Different country	0.40650195
G89027	HD-1	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.36242789
G89027	HD-5	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.40544041
G89027	HV-6	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.40119605
G89027	LD-48	SchirmerM_2016	QinN_2014	NLD	CHN	Different country	0.40954774
G89027	M1.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.30867499
G89027	M2.48.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.36695051
G89027	M2.58.ST	SchirmerM_2016	BritoIL_2016	NLD	FJI	Different country	0.31778679
G89027	N021	SchirmerM_2016	WenC_2017	NLD	CHN	Different country	0.41114983
G89027	S353	SchirmerM_2016	KarlssonFH_2013	NLD	SWE	Different country	0.4562982
G89027	SID530054	SchirmerM_2016	FengQ_2015	NLD	AUT	Different country	0.46390474
G89027	SZAXPI003417-4	SchirmerM_2016	YuJ_2015	NLD	CHN	Different country	0.435653
G89027	T2D-025	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.40090543
G89027	T2D-063	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.3677531
G89027	T2D-105	SchirmerM_2016	QinJ_2012	NLD	CHN	Different country	0.37752002
G89027	YSZC12003_36795	SchirmerM_2016	XieH_2016	NLD	GBR	Different country	0.48553055
H2M514903	H3M518116	LiJ_2017	LiJ_2017	CHN	CHN	Same study	0.3856991
H2M514903	HD-1	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.38649389
H2M514903	HD-5	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.37653007
H2M514903	HV-6	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.39351608
H2M514903	LD-48	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.40386572
H2M514903	M1.48.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	0.4079616
H2M514903	M2.48.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	0.42286751
H2M514903	M2.58.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	0.3803491
H2M514903	N021	LiJ_2017	WenC_2017	CHN	CHN	Same country, different study	0.40312815
H2M514903	S353	LiJ_2017	KarlssonFH_2013	CHN	SWE	Different country	0.4674221
H2M514903	SID530054	LiJ_2017	FengQ_2015	CHN	AUT	Different country	0.44252728
H2M514903	SZAXPI003417-4	LiJ_2017	YuJ_2015	CHN	CHN	Same country, different study	0.46353552
H2M514903	T2D-025	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	0.40081177
H2M514903	T2D-063	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	0.38890486
H2M514903	T2D-105	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	0.39198895
H2M514903	YSZC12003_36795	LiJ_2017	XieH_2016	CHN	GBR	Different country	0.4765898
H3M518116	HD-1	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.35825243
H3M518116	HD-5	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.34712882
H3M518116	HV-6	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.32264845
H3M518116	LD-48	LiJ_2017	QinN_2014	CHN	CHN	Same country, different study	0.3244002
H3M518116	M1.48.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	0.4305004
H3M518116	M2.48.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	0.46900529
H3M518116	M2.58.ST	LiJ_2017	BritoIL_2016	CHN	FJI	Different country	0.40074113
H3M518116	N021	LiJ_2017	WenC_2017	CHN	CHN	Same country, different study	0.3530729
H3M518116	S353	LiJ_2017	KarlssonFH_2013	CHN	SWE	Different country	0.47693434
H3M518116	SID530054	LiJ_2017	FengQ_2015	CHN	AUT	Different country	0.47085415
H3M518116	SZAXPI003417-4	LiJ_2017	YuJ_2015	CHN	CHN	Same country, different study	0.39456907
H3M518116	T2D-025	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	0.3405487
H3M518116	T2D-063	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	0.36640798
H3M518116	T2D-105	LiJ_2017	QinJ_2012	CHN	CHN	Same country, different study	0.36631016
H3M518116	YSZC12003_36795	LiJ_2017	XieH_2016	CHN	GBR	Different country	0.47566964
HD-1	HD-5	QinN_2014	QinN_2014	CHN	CHN	Same study	0.38593156
HD-1	HV-6	QinN_2014	QinN_2014	CHN	CHN	Same study	0.38081603
HD-1	LD-48	QinN_2014	QinN_2014	CHN	CHN	Same study	0.37295656
HD-1	M1.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.41512268
HD-1	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.43664897
HD-1	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.37886792
HD-1	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	0.38634797
HD-1	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	0.47169811
HD-1	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	0.45567616
HD-1	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	0.40580031
HD-1	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.35101367
HD-1	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.42007528
HD-1	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.39170165
HD-1	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	0.45985091
HD-5	HV-6	QinN_2014	QinN_2014	CHN	CHN	Same study	0.28830753
HD-5	LD-48	QinN_2014	QinN_2014	CHN	CHN	Same study	0.31639428
HD-5	M1.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.43756558
HD-5	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.46227775
HD-5	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.3946046
HD-5	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	0.33575363
HD-5	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	0.4704734
HD-5	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	0.44157412
HD-5	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	0.3764566
HD-5	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.30404713
HD-5	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.35910224
HD-5	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.36972112
HD-5	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	0.46736701
HV-6	LD-48	QinN_2014	QinN_2014	CHN	CHN	Same study	0.29793282
HV-6	M1.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.4354457
HV-6	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.4563013
HV-6	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.40379047
HV-6	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	0.32467205
HV-6	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	0.49253731
HV-6	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	0.44564955
HV-6	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	0.37942504
HV-6	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.30514988
HV-6	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.34006734
HV-6	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.35779325
HV-6	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	0.48663574
LD-48	M1.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.45059388
LD-48	M2.48.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.46521942
LD-48	M2.58.ST	QinN_2014	BritoIL_2016	CHN	FJI	Different country	0.42098609
LD-48	N021	QinN_2014	WenC_2017	CHN	CHN	Same country, different study	0.33487918
LD-48	S353	QinN_2014	KarlssonFH_2013	CHN	SWE	Different country	0.48826842
LD-48	SID530054	QinN_2014	FengQ_2015	CHN	AUT	Different country	0.47410817
LD-48	SZAXPI003417-4	QinN_2014	YuJ_2015	CHN	CHN	Same country, different study	0.35247059
LD-48	T2D-025	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.28123419
LD-48	T2D-063	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.3619022
LD-48	T2D-105	QinN_2014	QinJ_2012	CHN	CHN	Same country, different study	0.35427529
LD-48	YSZC12003_36795	QinN_2014	XieH_2016	CHN	GBR	Different country	0.47825146
M1.48.ST	M2.48.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	0.38069266
M1.48.ST	M2.58.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	0.32246485
M1.48.ST	N021	BritoIL_2016	WenC_2017	FJI	CHN	Different country	0.46105997
M1.48.ST	S353	BritoIL_2016	KarlssonFH_2013	FJI	SWE	Different country	0.50051653
M1.48.ST	SID530054	BritoIL_2016	FengQ_2015	FJI	AUT	Different country	0.51364087
M1.48.ST	SZAXPI003417-4	BritoIL_2016	YuJ_2015	FJI	CHN	Different country	0.46958403
M1.48.ST	T2D-025	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.44783266
M1.48.ST	T2D-063	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.38318034
M1.48.ST	T2D-105	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.37689448
M1.48.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	0.53022294
M2.48.ST	M2.58.ST	BritoIL_2016	BritoIL_2016	FJI	FJI	Same study	0.36917273
M2.48.ST	N021	BritoIL_2016	WenC_2017	FJI	CHN	Different country	0.48825542
M2.48.ST	S353	BritoIL_2016	KarlssonFH_2013	FJI	SWE	Different country	0.53320817
M2.48.ST	SID530054	BritoIL_2016	FengQ_2015	FJI	AUT	Different country	0.54036281
M2.48.ST	SZAXPI003417-4	BritoIL_2016	YuJ_2015	FJI	CHN	Different country	0.43110599
M2.48.ST	T2D-025	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.45976207
M2.48.ST	T2D-063	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.43353675
M2.48.ST	T2D-105	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.43358075
M2.48.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	0.5492151
M2.58.ST	N021	BritoIL_2016	WenC_2017	FJI	CHN	Different country	0.43113325
M2.58.ST	S353	BritoIL_2016	KarlssonFH_2013	FJI	SWE	Different country	0.45993757
M2.58.ST	SID530054	BritoIL_2016	FengQ_2015	FJI	AUT	Different country	0.45782828
M2.58.ST	SZAXPI003417-4	BritoIL_2016	YuJ_2015	FJI	CHN	Different country	0.45185185
M2.58.ST	T2D-025	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.40988593
M2.58.ST	T2D-063	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.35865724
M2.58.ST	T2D-105	BritoIL_2016	QinJ_2012	FJI	CHN	Different country	0.36671368
M2.58.ST	YSZC12003_36795	BritoIL_2016	XieH_2016	FJI	GBR	Different country	0.49258916
N021	S353	WenC_2017	KarlssonFH_2013	CHN	SWE	Different country	0.4866061
N021	SID530054	WenC_2017	FengQ_2015	CHN	AUT	Different country	0.44413408
N021	SZAXPI003417-4	WenC_2017	YuJ_2015	CHN	CHN	Same country, different study	0.39709223
N021	T2D-025	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	0.34300919
N021	T2D-063	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	0.38429209
N021	T2D-105	WenC_2017	QinJ_2012	CHN	CHN	Same country, different study	0.4118234
N021	YSZC12003_36795	WenC_2017	XieH_2016	CHN	GBR	Different country	0.48233026
S353	SID530054	KarlssonFH_2013	FengQ_2015	SWE	AUT	Different country	0.3164219
S353	SZAXPI003417-4	KarlssonFH_2013	YuJ_2015	SWE	CHN	Different country	0.51391053
S353	T2D-025	KarlssonFH_2013	QinJ_2012	SWE	CHN	Different country	0.47848577
S353	T2D-063	KarlssonFH_2013	QinJ_2012	SWE	CHN	Different country	0.48979592
S353	T2D-105	KarlssonFH_2013	QinJ_2012	SWE	CHN	Different country	0.50673317
S353	YSZC12003_36795	KarlssonFH_2013	XieH_2016	SWE	GBR	Different country	0.31482412
SID530054	SZAXPI003417-4	FengQ_2015	YuJ_2015	AUT	CHN	Different country	0.50457516
SID530054	T2D-025	FengQ_2015	QinJ_2012	AUT	CHN	Different country	0.46695832
SID530054	T2D-063	FengQ_2015	QinJ_2012	AUT	CHN	Different country	0.48139653
SID530054	T2D-105	FengQ_2015	QinJ_2012	AUT	CHN	Different country	0.49720127
SID530054	YSZC12003_36795	FengQ_2015	XieH_2016	AUT	GBR	Different country	0.32507289
SZAXPI003417-4	T2D-025	YuJ_2015	QinJ_2012	CHN	CHN	Same country, different study	0.24074074
SZAXPI003417-4	T2D-063	YuJ_2015	QinJ_2012	CHN	CHN	Same country, different study	0.39883662
SZAXPI003417-4	T2D-105	YuJ_2015	QinJ_2012	CHN	CHN	Same country, different study	0.3766427
SZAXPI003417-4	YSZC12003_36795	YuJ_2015	XieH_2016	CHN	GBR	Different country	0.51714286
T2D-025	T2D-063	QinJ_2012	QinJ_2012	CHN	CHN	Same study	0.36098475
T2D-025	T2D-105	QinJ_2012	QinJ_2012	CHN	CHN	Same study	0.3648788
T2D-025	YSZC12003_36795	QinJ_2012	XieH_2016	CHN	GBR	Different country	0.48172043
T2D-063	T2D-105	QinJ_2012	QinJ_2012	CHN	CHN	Same study	0.32780083
T2D-063	YSZC12003_36795	QinJ_2012	XieH_2016	CHN	GBR	Different country	0.51274258
T2D-105	YSZC12003_36795	QinJ_2012	XieH_2016	CHN	GBR	Different country	0.52202247
